                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018f09a6b0 (__TEXT,__text) non-external _au_assemble
000000018f0a4fdc (__TEXT,__text) external _au_to_sock_inet32
000000018f0a4f04 (__TEXT,__text) external _au_to_sock_unix
000000018f0a4d4c (__TEXT,__text) external _au_to_socket_ex
000000018f0a5a2c (__TEXT,__text) non-external _au_to_strings
000000018f0a54a8 (__TEXT,__text) external _au_to_subject
000000018f0a5130 (__TEXT,__text) external _au_to_subject32
000000018f0a54ac (__TEXT,__text) external _au_to_subject32_ex
000000018f0a52cc (__TEXT,__text) external _au_to_subject64
000000018f0a56f4 (__TEXT,__text) external _au_to_subject64_ex
000000018f0a5978 (__TEXT,__text) external _au_to_subject_ex
000000018f0a412c (__TEXT,__text) external _au_to_text
000000018f0a63c8 (__TEXT,__text) external _au_to_trailer
000000018f0a5b7c (__TEXT,__text) external _au_to_zonename
000000018f0a67d8 (__TEXT,__text) external _au_user_mask
000000018f09a52c (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001eb04e558 (__DATA,__bss) non-external _audit_free_q
000000018f0a7de4 (__TEXT,__text) external _audit_get_car
000000018f0a7a90 (__TEXT,__text) external _audit_get_class
000000018f0a6c9c (__TEXT,__text) external _audit_get_cond
000000018f0a7df4 (__TEXT,__text) external _audit_get_ctlmode
000000018f0a7dd4 (__TEXT,__text) external _audit_get_cwd
000000018f0a7e40 (__TEXT,__text) external _audit_get_expire_after
000000018f0a7bc0 (__TEXT,__text) external _audit_get_fsize
000000018f0a79f8 (__TEXT,__text) external _audit_get_kaudit
000000018f0a7b28 (__TEXT,__text) external _audit_get_kmask
000000018f0a7ca4 (__TEXT,__text) external _audit_get_pinfo
000000018f0a7cf0 (__TEXT,__text) external _audit_get_pinfo_addr
000000018f0a7708 (__TEXT,__text) external _audit_get_policy
000000018f0a7880 (__TEXT,__text) external _audit_get_qctrl
000000018f0a77f8 (__TEXT,__text) external _audit_get_sflags
000000018f0a7838 (__TEXT,__text) external _audit_get_sflags_mask
000000018f099f84 (__TEXT,__text) external _audit_get_sinfo_addr
000000018f0a7d3c (__TEXT,__text) external _audit_get_stat
00000001eb04e550 (__DATA,__bss) non-external _audit_rec_count
000000018f0a79e8 (__TEXT,__text) external _audit_send_trigger
000000018f0a7adc (__TEXT,__text) external _audit_set_class
000000018f0a7690 (__TEXT,__text) external _audit_set_cond
000000018f0a7c0c (__TEXT,__text) external _audit_set_fsize
000000018f0a7a44 (__TEXT,__text) external _audit_set_kaudit
000000018f0a7b74 (__TEXT,__text) external _audit_set_kmask
000000018f0a7c58 (__TEXT,__text) external _audit_set_pmask
000000018f0a7780 (__TEXT,__text) external _audit_set_policy
000000018f0a7934 (__TEXT,__text) external _audit_set_qctrl
000000018f0a7808 (__TEXT,__text) external _audit_set_sflags
000000018f0a785c (__TEXT,__text) external _audit_set_sflags_mask
000000018f0a7d88 (__TEXT,__text) external _audit_set_stat
000000018f0a6e44 (__TEXT,__text) non-external _audit_set_terminal_host
000000018f0a6d14 (__TEXT,__text) external _audit_set_terminal_id
000000018f0a6f08 (__TEXT,__text) external _audit_set_terminal_id_ex
000000018f0a6d68 (__TEXT,__text) non-external _audit_set_terminal_port
000000018f0a6974 (__TEXT,__text) external _audit_submit
000000018f099718 (__TEXT,__text) external _audit_token_to_asid
000000018f099758 (__TEXT,__text) external _audit_token_to_au32
000000018f099738 (__TEXT,__text) external _audit_token_to_auid
000000018f099740 (__TEXT,__text) external _audit_token_to_egid
000000018f099728 (__TEXT,__text) external _audit_token_to_euid
000000018f099720 (__TEXT,__text) external _audit_token_to_pid
000000018f099750 (__TEXT,__text) external _audit_token_to_pidversion
000000018f099748 (__TEXT,__text) external _audit_token_to_rgid
000000018f099730 (__TEXT,__text) external _audit_token_to_ruid
000000018f0a6f5c (__TEXT,__text) external _audit_write
000000018f0a730c (__TEXT,__text) external _audit_write_failure
000000018f0a7418 (__TEXT,__text) external _audit_write_failure_ex
000000018f0a7608 (__TEXT,__text) external _audit_write_failure_na
000000018f0a764c (__TEXT,__text) external _audit_write_failure_na_ex
000000018f0a7524 (__TEXT,__text) external _audit_write_failure_self
000000018f0a7118 (__TEXT,__text) external _audit_write_success
000000018f0a71cc (__TEXT,__text) external _audit_write_success_ex
000000018f0a7280 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018f0a26ec (__TEXT,__text) non-external _be64dec
000000018f0a83e8 (__TEXT,__const) non-external _bsm_domains
00000001e73f2268 (__DATA_CONST,__const) non-external _bsm_errnos
000000018f0a8670 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018f0a8610 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018f0a35c0 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018f0a2ae4 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018f09b404 (__TEXT,__text) external _endac
000000018f09af54 (__TEXT,__text) external _endauclass
000000018f09bf30 (__TEXT,__text) external _endauevent
000000018f0a64c8 (__TEXT,__text) external _endauuser
00000001eb04e920 (__DATA,__bss) non-external _ev_cache
000000018f09c37c (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
000000018f09dd74 (__TEXT,__text) non-external _fetch_arb_tok
000000018f09ccc4 (__TEXT,__text) non-external _fetch_arg32_tok
000000018f09cd48 (__TEXT,__text) non-external _fetch_arg64_tok
000000018f09cdcc (__TEXT,__text) non-external _fetch_attr32_tok
000000018f09ce90 (__TEXT,__text) non-external _fetch_attr64_tok
000000018f09de04 (__TEXT,__text) non-external _fetch_cert_hash_tok
000000018f09cfd8 (__TEXT,__text) non-external _fetch_execarg_tok
000000018f09cfd8 (__TEXT,__text) non-external _fetch_execenv_tok
000000018f09cf84 (__TEXT,__text) non-external _fetch_exit_tok
000000018f09d070 (__TEXT,__text) non-external _fetch_file_tok
000000018f09c86c (__TEXT,__text) non-external _fetch_header32_ex_tok
000000018f09c7a4 (__TEXT,__text) non-external _fetch_header32_tok
000000018f09cae4 (__TEXT,__text) non-external _fetch_header64_ex_tok
000000018f09c9ec (__TEXT,__text) non-external _fetch_header64_tok
000000018f09de9c (__TEXT,__text) non-external _fetch_identity_tok
000000018f09d168 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
000000018f09d208 (__TEXT,__text) non-external _fetch_ip_tok
000000018f09d314 (__TEXT,__text) non-external _fetch_ipc_tok
000000018f09d364 (__TEXT,__text) non-external _fetch_ipcperm_tok
000000018f09de04 (__TEXT,__text) non-external _fetch_krb5_principal_tok
000000018f09d0f8 (__TEXT,__text) non-external _fetch_newgroups_tok
000000018f09d444 (__TEXT,__text) non-external _fetch_process32_tok
000000018f09d558 (__TEXT,__text) non-external _fetch_process32ex_tok
000000018f09d6d8 (__TEXT,__text) non-external _fetch_process64_tok
000000018f09d81c (__TEXT,__text) non-external _fetch_process64ex_tok
000000018f09d314 (__TEXT,__text) non-external _fetch_return32_tok
000000018f09d9a4 (__TEXT,__text) non-external _fetch_return64_tok
000000018f09dba4 (__TEXT,__text) non-external _fetch_sock_inet128_tok
000000018f09da90 (__TEXT,__text) non-external _fetch_sock_inet32_tok
000000018f09dafc (__TEXT,__text) non-external _fetch_sock_unix_tok
000000018f09d9f4 (__TEXT,__text) non-external _fetch_socket_tok
000000018f09dc10 (__TEXT,__text) non-external _fetch_socketex32_tok
000000018f09d444 (__TEXT,__text) non-external _fetch_subject32_tok
000000018f09d558 (__TEXT,__text) non-external _fetch_subject32ex_tok
000000018f09d6d8 (__TEXT,__text) non-external _fetch_subject64_tok
000000018f09d81c (__TEXT,__text) non-external _fetch_subject64ex_tok
000000018f09cc6c (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001eb04e918 (__DATA,__bss) non-external _firsttime
000000018f0a33ac (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001ecf573d0 (__DATA_DIRTY,__bss) non-external _fp
00000001ecf573d8 (__DATA_DIRTY,__bss) non-external _fp
00000001ecf573e0 (__DATA_DIRTY,__bss) non-external _fp
00000001ecf573e8 (__DATA_DIRTY,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018f09b458 (__TEXT,__text) external _getacdir
000000018f09bb80 (__TEXT,__text) external _getacexpire
000000018f09b6f4 (__TEXT,__text) external _getacfilesz
000000018f09b89c (__TEXT,__text) external _getacflg
000000018f09bad0 (__TEXT,__text) external _getachost
000000018f09b670 (__TEXT,__text) external _getacmin
000000018f09b94c (__TEXT,__text) external _getacna
000000018f09b9fc (__TEXT,__text) external _getacpol
000000018f09baac (__TEXT,__text) external _getacsflagsmask
000000018f09ad04 (__TEXT,__text) external _getauclassent
00000001eb04e650 (__DATA,__bss) non-external _getauclassent.c
00000001eb04e608 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001eb04e600 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001eb04e668 (__DATA,__bss) non-external _getauclassent.cp
000000018f09ab64 (__TEXT,__text) external _getauclassent_r
000000018f09abac (__TEXT,__text) non-external _getauclassent_r_locked
000000018f09ae5c (__TEXT,__text) external _getauclassnam
00000001eb04e6c0 (__DATA,__bss) non-external _getauclassnam.c
00000001eb04e678 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001eb04e670 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018f09add0 (__TEXT,__text) external _getauclassnam_r
000000018f09af18 (__TEXT,__text) external _getauclassnum
00000001eb04e728 (__DATA,__bss) non-external _getauclassnum.c
00000001eb04e6e0 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001eb04e6d8 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018f09ae98 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018f09c4ac (__TEXT,__text) external _getauditflagsbin
000000018f09c614 (__TEXT,__text) external _getauditflagschar
000000018f09c048 (__TEXT,__text) external _getauevent
00000001eb04e798 (__DATA,__bss) non-external _getauevent.e
00000001eb04e766 (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001eb04e748 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018f09bf84 (__TEXT,__text) external _getauevent_r
000000018f09c178 (__TEXT,__text) external _getauevnam
00000001eb04e808 (__DATA,__bss) non-external _getauevnam.e
00000001eb04e7d6 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001eb04e7b8 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018f09c088 (__TEXT,__text) external _getauevnam_r
000000018f09c36c (__TEXT,__text) external _getauevnonam
00000001eb04e910 (__DATA,__bss) non-external _getauevnonam.event
000000018f09c2e8 (__TEXT,__text) external _getauevnonam_r
00000001eb04e8e8 (__DATA,__bss) non-external _getauevnonam_r.e
00000001eb04e908 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001eb04e8b6 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001eb04e898 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018f09c2a4 (__TEXT,__text) external _getauevnum
00000001eb04e878 (__DATA,__bss) non-external _getauevnum.e
00000001eb04e846 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001eb04e828 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018f09c1bc (__TEXT,__text) external _getauevnum_r
000000018f0a66b4 (__TEXT,__text) external _getauuserent
00000001eb04e960 (__DATA,__bss) non-external _getauuserent.u
00000001eb04e928 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018f0a651c (__TEXT,__text) external _getauuserent_r
000000018f0a6564 (__TEXT,__text) non-external _getauuserent_r_locked
000000018f0a67a8 (__TEXT,__text) external _getauusernam
00000001eb04e9b0 (__DATA,__bss) non-external _getauusernam.u
00000001eb04e978 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018f0a6720 (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018f0a689c (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018f09b504 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001ecf56fc8 (__DATA_DIRTY,__bss) non-external _linestr
00000001ecf570c8 (__DATA_DIRTY,__bss) non-external _linestr
00000001ecf571ca (__DATA_DIRTY,__bss) non-external _linestr
00000001ecf572d0 (__DATA_DIRTY,__bss) non-external _linestr
000000018f0a32dc (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001ecf56e48 (__DATA_DIRTY,__data) non-external _mutex
00000001ecf56e88 (__DATA_DIRTY,__data) non-external _mutex
00000001ecf56ec8 (__DATA_DIRTY,__data) non-external _mutex
00000001ecf56f08 (__DATA_DIRTY,__data) non-external _mutex
00000001ecf56f48 (__DATA_DIRTY,__data) non-external _mutex
00000001ecf56f88 (__DATA_DIRTY,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001eb04e560 (__DATA,__bss) non-external _open_desc_table
000000018f0a2980 (__TEXT,__text) non-external _print_event
000000018f0a2f60 (__TEXT,__text) non-external _print_group
000000018f0a2c44 (__TEXT,__text) non-external _print_ip_ex_address
000000018f0a3078 (__TEXT,__text) non-external _print_ipctype
000000018f0a2fe4 (__TEXT,__text) non-external _print_mem
000000018f0a3114 (__TEXT,__text) non-external _print_retval
000000018f0a2a50 (__TEXT,__text) non-external _print_sec32
000000018f0a2d30 (__TEXT,__text) non-external _print_sec64
000000018f0a2dc0 (__TEXT,__text) non-external _print_string
000000018f0a26f8 (__TEXT,__text) non-external _print_tok_type
000000018f0a2edc (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018f09b330 (__TEXT,__text) external _setac
000000018f09b374 (__TEXT,__text) non-external _setac_locked
00000001eb04e740 (__DATA,__bss) non-external _setac_locked.lastctime
000000018f09ad80 (__TEXT,__text) external _setauclass
000000018f09bee0 (__TEXT,__text) external _setauevent
000000018f0a6478 (__TEXT,__text) external _setauuser
000000018f09bd5c (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001ecf573f4 (__DATA_DIRTY,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
