00007ffa4291b0f0 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa14b789cf (__TEXT,__text) external __newrpclib_svcerr_weakauth
00007ffa14b761ce (__TEXT,__text) external __newrpclib_svcfd_create
00007ffa14b74ddc (__TEXT,__text) external __newrpclib_svcraw_create
00007ffa14b75a35 (__TEXT,__text) external __newrpclib_svctcp_create
00007ffa14b80270 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.1
00007ffa14b8031e (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.2
00007ffa14b803b9 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.3
00007ffa14b80467 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.4
00007ffa14b80515 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.5
00007ffa14b805b0 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.6
00007ffa14b8064b (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.7
00007ffa14b76cef (__TEXT,__text) external __newrpclib_svcudp_bufcreate
00007ffa14b8181d (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.1
00007ffa14b818cb (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.2
00007ffa14b81979 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.3
00007ffa14b81a27 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.4
00007ffa14b81ad5 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.5
00007ffa14b81b83 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.6
00007ffa14b77034 (__TEXT,__text) external __newrpclib_svcudp_create
00007ffa14b7bb21 (__TEXT,__text) external __newrpclib_uaddr2sa
00007ffa14b791a2 (__TEXT,__text) external __newrpclib_xdr_array
00007ffa14b82c4a (__TEXT,__text) non-external __newrpclib_xdr_array.cold.1
00007ffa14b6f60c (__TEXT,__text) external __newrpclib_xdr_authunix_parms
00007ffa14b7aa04 (__TEXT,__text) external __newrpclib_xdr_bool
00007ffa14b7ab20 (__TEXT,__text) external __newrpclib_xdr_bytes
00007ffa14b82fb0 (__TEXT,__text) non-external __newrpclib_xdr_bytes.cold.1
00007ffa14b74882 (__TEXT,__text) external __newrpclib_xdr_callhdr
00007ffa14b7416a (__TEXT,__text) external __newrpclib_xdr_callmsg
00007ffa14b7a9a4 (__TEXT,__text) external __newrpclib_xdr_char
00007ffa14b7480d (__TEXT,__text) external __newrpclib_xdr_des_block
00007ffa14b79370 (__TEXT,__text) external __newrpclib_xdr_double
00007ffa14b7aa71 (__TEXT,__text) external __newrpclib_xdr_enum
00007ffa14b7931d (__TEXT,__text) external __newrpclib_xdr_float
00007ffa14b7a5f4 (__TEXT,__text) external __newrpclib_xdr_free
00007ffa14b7b06e (__TEXT,__text) external __newrpclib_xdr_getrecord
00007ffa14b7b046 (__TEXT,__text) external __newrpclib_xdr_hyper
00007ffa14b7a62a (__TEXT,__text) external __newrpclib_xdr_int
00007ffa14b7a8dc (__TEXT,__text) external __newrpclib_xdr_int16_t
00007ffa14b7a752 (__TEXT,__text) external __newrpclib_xdr_int32_t
00007ffa14b7aea4 (__TEXT,__text) external __newrpclib_xdr_int64_t
00007ffa14b7a6ec (__TEXT,__text) external __newrpclib_xdr_long
00007ffa14b7b05a (__TEXT,__text) external __newrpclib_xdr_longlong_t
00007ffa14b7d9c6 (__TEXT,__text) external __newrpclib_xdr_netbuf
00007ffa14b7acf6 (__TEXT,__text) external __newrpclib_xdr_netobj
00007ffa14b7aa7b (__TEXT,__text) external __newrpclib_xdr_opaque
00007ffa4291b100 (__DATA,__bss) non-external __newrpclib_xdr_opaque.crud
00007ffa14b747d4 (__TEXT,__text) external __newrpclib_xdr_opaque_auth
00007ffa14b7c322 (__TEXT,__text) external __newrpclib_xdr_pmap
00007ffa14b7c4ed (__TEXT,__text) external __newrpclib_xdr_pmap_call_args
00007ffa14b7c558 (__TEXT,__text) external __newrpclib_xdr_pmap_call_result
00007ffa14b7c3a0 (__TEXT,__text) external __newrpclib_xdr_pmaplist
00007ffa14b7c380 (__TEXT,__text) external __newrpclib_xdr_pmaplist_ptr
00007ffa14b7a29a (__TEXT,__text) external __newrpclib_xdr_pointer
00007ffa14b7a1e5 (__TEXT,__text) external __newrpclib_xdr_reference
00007ffa14b82f02 (__TEXT,__text) non-external __newrpclib_xdr_reference.cold.1
00007ffa14b7481c (__TEXT,__text) external __newrpclib_xdr_replymsg
00007ffa14b73298 (__TEXT,__text) external __newrpclib_xdr_rmtcall_args
00007ffa14b73376 (__TEXT,__text) external __newrpclib_xdr_rmtcallres
00007ffa14b7cf73 (__TEXT,__text) external __newrpclib_xdr_rp__list
00007ffa14b7cef6 (__TEXT,__text) external __newrpclib_xdr_rpcb
00007ffa14b7d190 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry
00007ffa14b7d212 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list
00007ffa14b7d35f (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list_ptr
00007ffa14b7d0e0 (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallargs
00007ffa14b7d14b (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallres
00007ffa14b7d906 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat
00007ffa14b7d9a1 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat_byvers
00007ffa14b7d0c0 (__TEXT,__text) external __newrpclib_xdr_rpcblist_ptr
00007ffa14b7d37f (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist
00007ffa14b7d8c6 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist_ptr
00007ffa14b7d8a1 (__TEXT,__text) external __newrpclib_xdr_rpcbs_proc
00007ffa14b7d5d9 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist
00007ffa14b7d8e6 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist_ptr
00007ffa14b7a814 (__TEXT,__text) external __newrpclib_xdr_short
00007ffa14b7a303 (__TEXT,__text) external __newrpclib_xdr_sizeof
00007ffa14b7ad93 (__TEXT,__text) external __newrpclib_xdr_string
00007ffa14b8310c (__TEXT,__text) non-external __newrpclib_xdr_string.cold.1
00007ffa14b7a9d4 (__TEXT,__text) external __newrpclib_xdr_u_char
00007ffa14b7b050 (__TEXT,__text) external __newrpclib_xdr_u_hyper
00007ffa14b7a68b (__TEXT,__text) external __newrpclib_xdr_u_int
00007ffa14b7a71f (__TEXT,__text) external __newrpclib_xdr_u_long
00007ffa14b7b064 (__TEXT,__text) external __newrpclib_xdr_u_longlong_t
00007ffa14b7a878 (__TEXT,__text) external __newrpclib_xdr_u_short
00007ffa14b7a940 (__TEXT,__text) external __newrpclib_xdr_uint16_t
00007ffa14b7a7b3 (__TEXT,__text) external __newrpclib_xdr_uint32_t
00007ffa14b7af75 (__TEXT,__text) external __newrpclib_xdr_uint64_t
00007ffa14b7ad0c (__TEXT,__text) external __newrpclib_xdr_union
00007ffa14b792cb (__TEXT,__text) external __newrpclib_xdr_vector
00007ffa14b7a61f (__TEXT,__text) external __newrpclib_xdr_void
00007ffa14b7ae95 (__TEXT,__text) external __newrpclib_xdr_wrapstring
00007ffa14b79406 (__TEXT,__text) external __newrpclib_xdrmem_create
00007ffa14b79972 (__TEXT,__text) external __newrpclib_xdrrec_create
00007ffa14b82cf8 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.1
00007ffa14b82da6 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.2
00007ffa14b82e54 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.3
00007ffa14b79efa (__TEXT,__text) external __newrpclib_xdrrec_endofrecord
00007ffa14b79e9e (__TEXT,__text) external __newrpclib_xdrrec_eof
00007ffa14b79c55 (__TEXT,__text) external __newrpclib_xdrrec_skiprecord
00007ffa14b7a4a5 (__TEXT,__text) external __newrpclib_xdrstdio_create
00007ffa14b77b3f (__TEXT,__text) external __newrpclib_xprt_register
00007ffa14b77d88 (__TEXT,__text) external __newrpclib_xprt_unregister
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
00007ffa14b74dac (__TEXT,__text) non-external (was a private external) __svcauth_null
00007ffa14b74c4e (__TEXT,__text) non-external (was a private external) __svcauth_short
00007ffa14b74aad (__TEXT,__text) non-external (was a private external) __svcauth_unix
                 (undefined) external _abort (from libSystem)
                 (undefined) external _accept (from libSystem)
00007ffa14b752a6 (__TEXT,__text) non-external (was a private external) _add_working_xprt
00007ffa14b7fc41 (__TEXT,__text) non-external _add_working_xprt.cold.1
00007ffa14b7fcca (__TEXT,__text) non-external _add_working_xprt.cold.2
                 (undefined) external _asprintf (from libSystem)
00007ffa40c3b000 (__DATA_CONST,__const) non-external _auth_errlist
00007ffa4291ab58 (__DATA,__data) non-external _auth_unix_ops
00007ffa14b6ef08 (__TEXT,__text) non-external _authnone_destroy
00007ffa14b6edf7 (__TEXT,__text) non-external _authnone_init
00007ffa14b6eec9 (__TEXT,__text) non-external _authnone_marshal
00007ffa4291ab20 (__DATA,__data) non-external _authnone_once_init
00007ffa4291b0a8 (__DATA,__bss) non-external _authnone_private
00007ffa14b6ef00 (__TEXT,__text) non-external _authnone_refresh
00007ffa14b6eef5 (__TEXT,__text) non-external _authnone_validate
00007ffa14b6eec3 (__TEXT,__text) non-external _authnone_verf
00007ffa14b6f5c4 (__TEXT,__text) non-external _authunix_destroy
00007ffa14b6f3cf (__TEXT,__text) non-external _authunix_marshal
00007ffa14b6f3c9 (__TEXT,__text) non-external _authunix_nextverf
00007ffa14b6f4a2 (__TEXT,__text) non-external _authunix_refresh
00007ffa14b6f3f2 (__TEXT,__text) non-external _authunix_validate
00007ffa4291ac58 (__DATA,__data) non-external _bcast
                 (undefined) external _bcmp (from libSystem)
                 (undefined) external _bind (from libSystem)
                 (undefined) external _bindresvport_sa (from libSystem)
00007ffa4291b0b8 (__DATA,__bss) non-external _buf
00007ffa14b70d95 (__TEXT,__text) non-external _bufdestroy
00007ffa14b73724 (__TEXT,__text) non-external _build_callit_rpc
00007ffa4291afe0 (__DATA,__data) non-external _cache_control_init
00007ffa14b7c10d (__TEXT,__text) non-external _cache_init
00007ffa14b83268 (__TEXT,__text) non-external _cache_init.cold.1
00007ffa4291b140 (__DATA,__bss) non-external _cache_rwlock
                 (undefined) external _calloc (from libSystem)
00007ffa4291b0a0 (__DATA,__bss) non-external _callrpc_private
00007ffa14b71c45 (__TEXT,__text) non-external _check_raddr
                 (undefined) external _chmod (from libSystem)
00007ffa4291aba8 (__DATA,__data) non-external _client_ops
00007ffa14b6f952 (__TEXT,__text) external _clnt_auth_set
00007ffa4291ab98 (__DATA,__data) non-external _clnt_perror_once
00007ffa14b70796 (__TEXT,__text) non-external _clnt_sperror_r
00007ffa14b710b4 (__TEXT,__text) non-external _clntraw_abort
00007ffa14b70ec9 (__TEXT,__text) non-external _clntraw_call
00007ffa14b710f1 (__TEXT,__text) non-external _clntraw_control
00007ffa14b710eb (__TEXT,__text) non-external _clntraw_destroy
00007ffa14b710c0 (__TEXT,__text) non-external _clntraw_freeres
00007ffa14b710ba (__TEXT,__text) non-external _clntraw_geterr
00007ffa4291b0c0 (__DATA,__bss) non-external _clntraw_private
00007ffa14b72263 (__TEXT,__text) non-external _clntstrm_abort
00007ffa14b71f2b (__TEXT,__text) non-external _clntstrm_call
00007ffa14b722fb (__TEXT,__text) non-external _clntstrm_control
00007ffa14b710f9 (__TEXT,__text) external _clntstrm_create_timeout
00007ffa14b7f1cf (__TEXT,__text) non-external _clntstrm_create_timeout.cold.1
00007ffa14b7f26a (__TEXT,__text) non-external _clntstrm_create_timeout.cold.2
00007ffa14b7f302 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.3
00007ffa14b7f3a0 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.4
00007ffa14b7f438 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.5
00007ffa14b7f4d3 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.6
00007ffa14b7f581 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.7
00007ffa14b722a8 (__TEXT,__text) non-external _clntstrm_destroy
00007ffa14b72286 (__TEXT,__text) non-external _clntstrm_freeres
00007ffa14b72269 (__TEXT,__text) non-external _clntstrm_geterr
00007ffa14b71c76 (__TEXT,__text) external _clntticots_create
00007ffa14b7f6b0 (__TEXT,__text) non-external _clntticots_create.cold.1
00007ffa14b71f21 (__TEXT,__text) external _clntticots_create_timeout
00007ffa14b71bc5 (__TEXT,__text) external _clntticotsord_create
00007ffa14b7f615 (__TEXT,__text) non-external _clntticotsord_create.cold.1
00007ffa14b71e9c (__TEXT,__text) external _clntticotsord_create_timeout
00007ffa14b7f91c (__TEXT,__text) non-external _clntticotsord_create_timeout.cold.1
00007ffa14b72d43 (__TEXT,__text) non-external _clntudp_abort
00007ffa14b7285d (__TEXT,__text) non-external _clntudp_call
00007ffa14b72dd2 (__TEXT,__text) non-external _clntudp_control
00007ffa14b72d88 (__TEXT,__text) non-external _clntudp_destroy
00007ffa14b72d66 (__TEXT,__text) non-external _clntudp_freeres
00007ffa14b72d49 (__TEXT,__text) non-external _clntudp_geterr
                 (undefined) external _close (from libSystem)
00007ffa14b7c1e6 (__TEXT,__text) non-external _compare_sa
00007ffa14b836f0 (__TEXT,__const) non-external _compare_sa.allones
00007ffa4291b210 (__DATA,__common) non-external (was a private external) _conncount
                 (undefined) external _connect (from libSystem)
00007ffa4291afc8 (__DATA,__data) non-external _create_key_init
00007ffa14b78220 (__TEXT,__text) non-external _create_svc_req_key
00007ffa14b7b128 (__TEXT,__text) non-external (was a private external) _cvt4to6
00007ffa14b7b0d8 (__TEXT,__text) non-external (was a private external) _cvt6to4
00007ffa14b836c0 (__TEXT,__const) non-external _default_tottimeout
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ffa14b7a18a (__TEXT,__text) non-external _fill_input_buf
00007ffa14b79f53 (__TEXT,__text) non-external _flush_out
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffa14b70595 (__TEXT,__text) non-external _free_interface_list
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freehostent (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
00007ffa14b7bf15 (__TEXT,__text) external _freenetconfigent
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ffa14b7a070 (__TEXT,__text) non-external _get_input_bytes
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getgroups (from libSystem)
00007ffa14b7b15f (__TEXT,__text) non-external (was a private external) _gethostaddr
                 (undefined) external _gethostbyname (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getipnodebyname (from libSystem)
00007ffa14b7bf4c (__TEXT,__text) external _getnetconfigent
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid_r (from libSystem)
00007ffa14b7dcc4 (__TEXT,__text) non-external _getrpcbind_handle
                 (undefined) external _getsockname (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
00007ffa14b7e053 (__TEXT,__text) non-external _handle_callerror
00007ffa14b7a49d (__TEXT,__text) non-external _harmless
00007ffa4291b110 (__DATA,__bss) non-external _if_addr_cache
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _in6addr_loopback (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _inet_pton (from libSystem)
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _kevent64 (from libSystem)
00007ffa4291aee0 (__DATA,__data) non-external (was a private external) _kq
00007ffa4291aef8 (__DATA,__data) non-external _kq_control_fd
                 (undefined) external _kqueue (from libSystem)
                 (undefined) external _listen (from libSystem)
                 (undefined) external _lseek (from libSystem)
