00007ffb444d6fb0 (__DATA,__common) external _AfterColour
00007ffb1ce62be1 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffb1ce6268c (__TEXT,__text) external _LLVMAddDCEPass
00007ffb1c7fcfa8 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffb1ce62798 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffb1ce62b96 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffb1c3da4e4 (__TEXT,__text) external _LLVMAddDestination
00007ffb1ce62c40 (__TEXT,__text) external _LLVMAddEarlyCSEMemSSAPass
00007ffb1ce62c04 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffb1c3d77b3 (__TEXT,__text) external _LLVMAddFunction
00007ffb1c7fcfcb (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffb1c7fcfee (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffb1ce627de (__TEXT,__text) external _LLVMAddGVNPass
00007ffb1c3d71c8 (__TEXT,__text) external _LLVMAddGlobal
00007ffb1c7fd039 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffb1c3d81e5 (__TEXT,__text) external _LLVMAddGlobalIFunc
00007ffb1c3d7260 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffb1c7fd05c (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffb1c3da552 (__TEXT,__text) external _LLVMAddHandler
00007ffb1c7fd0a2 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffb1c3d908c (__TEXT,__text) external _LLVMAddIncoming
00007ffb1ce6284d (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffb1c8cb8d6 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffb1ce62870 (__TEXT,__text) external _LLVMAddInstructionSimplifyPass
00007ffb1c7fd0e8 (__TEXT,__text) external _LLVMAddInternalizePass
00007ffb1c7fd16c (__TEXT,__text) external _LLVMAddInternalizePassWithMustPreservePredicate
00007ffb1ce62893 (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffb1ce628e0 (__TEXT,__text) external _LLVMAddLICMPass
00007ffb1ce62903 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffb1ce62949 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffb1ce62996 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffb1ce6296c (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffb1ce62a06 (__TEXT,__text) external _LLVMAddLoopUnrollAndJamPass
00007ffb1ce629b9 (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffb1ce62a2e (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffb1d42984c (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffb1ce62a55 (__TEXT,__text) external _LLVMAddLowerAtomicPass
00007ffb1ce62d08 (__TEXT,__text) external _LLVMAddLowerConstantIntrinsicsPass
00007ffb1ce62d2b (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007ffb1d30a142 (__TEXT,__text) external _LLVMAddLowerSwitchPass
00007ffb1ce62a78 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffb1c7fd0c5 (__TEXT,__text) external _LLVMAddMergeFunctionsPass
00007ffb1ce62828 (__TEXT,__text) external _LLVMAddMergedLoadStoreMotionPass
00007ffb1c3d9c2c (__TEXT,__text) external _LLVMAddMetadataToInst
00007ffb1c3d2d73 (__TEXT,__text) external _LLVMAddModuleFlag
00007ffb1c3d5140 (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007ffb1ce62805 (__TEXT,__text) external _LLVMAddNewGVNPass
00007ffb1ce62a9b (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007ffb1d30a165 (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00007ffb1c7fd07f (__TEXT,__text) external _LLVMAddPruneEHPass
00007ffb1ce62abe (__TEXT,__text) external _LLVMAddReassociatePass
00007ffb1ce62ae1 (__TEXT,__text) external _LLVMAddSCCPPass
00007ffb1d42986f (__TEXT,__text) external _LLVMAddSLPVectorizePass
00007ffb1ce62b04 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00007ffb1ce62b27 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00007ffb1ce62b4a (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00007ffb1ce627bb (__TEXT,__text) external _LLVMAddScalarizerPass
00007ffb1ce62cc2 (__TEXT,__text) external _LLVMAddScopedNoAliasAAPass
00007ffb1ce62b6d (__TEXT,__text) external _LLVMAddSimplifyLibCallsPass
00007ffb1c7fd1f4 (__TEXT,__text) external _LLVMAddStripDeadPrototypesPass
00007ffb1c7fd217 (__TEXT,__text) external _LLVMAddStripSymbolsPass
00007ffb1d15dca6 (__TEXT,__text) external _LLVMAddSymbol
00007ffb1ce62b73 (__TEXT,__text) external _LLVMAddTailCallEliminationPass
00007ffb1c3d7e4a (__TEXT,__text) external _LLVMAddTargetDependentFunctionAttr
00007ffb1d16b4b5 (__TEXT,__text) external _LLVMAddTargetLibraryInfo
00007ffb1ce62c9f (__TEXT,__text) external _LLVMAddTypeBasedAliasAnalysisPass
00007ffb1ce62d4e (__TEXT,__text) external _LLVMAddUnifyFunctionExitNodesPass
00007ffb1ce62bb9 (__TEXT,__text) external _LLVMAddVerifierPass
00007ffb1c4bea0c (__TEXT,__text) external _LLVMAdvanceCoverageIterator
00007ffb1c3d779f (__TEXT,__text) external _LLVMAliasGetAliasee
00007ffb1c3d77a9 (__TEXT,__text) external _LLVMAliasSetAliasee
00007ffb1c3d5ef7 (__TEXT,__text) external _LLVMAlignOf
00007ffb1c3d86c4 (__TEXT,__text) external _LLVMAppendBasicBlock
00007ffb1c3d8659 (__TEXT,__text) external _LLVMAppendBasicBlockInContext
00007ffb1c3d861a (__TEXT,__text) external _LLVMAppendExistingBasicBlock
00007ffb1c3d301b (__TEXT,__text) external _LLVMAppendModuleInlineAsm
00007ffb1c3d396d (__TEXT,__text) external _LLVMArrayType
00007ffb1c3d3563 (__TEXT,__text) external _LLVMBFloatType
00007ffb1c3d34b8 (__TEXT,__text) external _LLVMBFloatTypeInContext
00007ffb1c3d8377 (__TEXT,__text) external _LLVMBasicBlockAsValue
00007ffb1cbe377f (__TEXT,__text) external _LLVMBinaryCopyMemoryBuffer
00007ffb1cbe37e4 (__TEXT,__text) external _LLVMBinaryGetType
00007ffb1c3d69f7 (__TEXT,__text) external _LLVMBlockAddress
00007ffb1c3dad6a (__TEXT,__text) external _LLVMBuildAShr
00007ffb1c3da64b (__TEXT,__text) external _LLVMBuildAdd
00007ffb1c3dc6b0 (__TEXT,__text) external _LLVMBuildAddrSpaceCast
00007ffb1c3d9d3c (__TEXT,__text) external _LLVMBuildAggregateRet
00007ffb1c3db254 (__TEXT,__text) external _LLVMBuildAlloca
00007ffb1c3dad9a (__TEXT,__text) external _LLVMBuildAnd
00007ffb1c3db283 (__TEXT,__text) external _LLVMBuildArrayAlloca
00007ffb1c3db071 (__TEXT,__text) external _LLVMBuildArrayMalloc
00007ffb1c3dce91 (__TEXT,__text) external _LLVMBuildAtomicCmpXchg
00007ffb1c3dce67 (__TEXT,__text) external _LLVMBuildAtomicRMW
00007ffb1c3dae21 (__TEXT,__text) external _LLVMBuildBinOp
00007ffb1c3dc594 (__TEXT,__text) external _LLVMBuildBitCast
00007ffb1c3d9e4f (__TEXT,__text) external _LLVMBuildBr
00007ffb1c3dcad6 (__TEXT,__text) external _LLVMBuildCall
00007ffb1c3dcb24 (__TEXT,__text) external _LLVMBuildCall2
00007ffb1c3dc853 (__TEXT,__text) external _LLVMBuildCast
00007ffb1c3da277 (__TEXT,__text) external _LLVMBuildCatchPad
00007ffb1c3da441 (__TEXT,__text) external _LLVMBuildCatchRet
00007ffb1c3da380 (__TEXT,__text) external _LLVMBuildCatchSwitch
00007ffb1c3da2a6 (__TEXT,__text) external _LLVMBuildCleanupPad
00007ffb1c3da4c6 (__TEXT,__text) external _LLVMBuildCleanupRet
00007ffb1c3d9eff (__TEXT,__text) external _LLVMBuildCondBr
00007ffb1c3dab68 (__TEXT,__text) external _LLVMBuildExactSDiv
00007ffb1c3daa4a (__TEXT,__text) external _LLVMBuildExactUDiv
00007ffb1c3dcbbf (__TEXT,__text) external _LLVMBuildExtractElement
00007ffb1c3dcc48 (__TEXT,__text) external _LLVMBuildExtractValue
00007ffb1c3da792 (__TEXT,__text) external _LLVMBuildFAdd
00007ffb1c3dca6e (__TEXT,__text) external _LLVMBuildFCmp
00007ffb1c3dab9b (__TEXT,__text) external _LLVMBuildFDiv
00007ffb1c3da930 (__TEXT,__text) external _LLVMBuildFMul
00007ffb1c3daf28 (__TEXT,__text) external _LLVMBuildFNeg
00007ffb1c3dca13 (__TEXT,__text) external _LLVMBuildFPCast
00007ffb1c3dc32f (__TEXT,__text) external _LLVMBuildFPExt
00007ffb1c3dc05d (__TEXT,__text) external _LLVMBuildFPToSI
00007ffb1c3dbf21 (__TEXT,__text) external _LLVMBuildFPToUI
00007ffb1c3dc1f3 (__TEXT,__text) external _LLVMBuildFPTrunc
00007ffb1c3dacd9 (__TEXT,__text) external _LLVMBuildFRem
00007ffb1c3da861 (__TEXT,__text) external _LLVMBuildFSub
00007ffb1c3db691 (__TEXT,__text) external _LLVMBuildFence
00007ffb1c3db2b0 (__TEXT,__text) external _LLVMBuildFree
00007ffb1c3dccbe (__TEXT,__text) external _LLVMBuildFreeze
00007ffb1c3db71e (__TEXT,__text) external _LLVMBuildGEP
00007ffb1c3db77b (__TEXT,__text) external _LLVMBuildGEP2
00007ffb1c3dba3f (__TEXT,__text) external _LLVMBuildGlobalString
00007ffb1c3dba9e (__TEXT,__text) external _LLVMBuildGlobalStringPtr
00007ffb1c3dca3f (__TEXT,__text) external _LLVMBuildICmp
00007ffb1c3db7ad (__TEXT,__text) external _LLVMBuildInBoundsGEP
00007ffb1c3db983 (__TEXT,__text) external _LLVMBuildInBoundsGEP2
00007ffb1c3da02f (__TEXT,__text) external _LLVMBuildIndirectBr
00007ffb1c3dcbec (__TEXT,__text) external _LLVMBuildInsertElement
00007ffb1c3dcc82 (__TEXT,__text) external _LLVMBuildInsertValue
00007ffb1c3dc9e0 (__TEXT,__text) external _LLVMBuildIntCast
00007ffb1c3dc9a6 (__TEXT,__text) external _LLVMBuildIntCast2
00007ffb1c3dc478 (__TEXT,__text) external _LLVMBuildIntToPtr
00007ffb1c3da09d (__TEXT,__text) external _LLVMBuildInvoke
00007ffb1c3da195 (__TEXT,__text) external _LLVMBuildInvoke2
00007ffb1c3dcda2 (__TEXT,__text) external _LLVMBuildIsNotNull
00007ffb1c3dcd4b (__TEXT,__text) external _LLVMBuildIsNull
00007ffb1c3dad3a (__TEXT,__text) external _LLVMBuildLShr
00007ffb1c3da1e7 (__TEXT,__text) external _LLVMBuildLandingPad
00007ffb1c3db32f (__TEXT,__text) external _LLVMBuildLoad
00007ffb1c3db430 (__TEXT,__text) external _LLVMBuildLoad2
00007ffb1c3daf84 (__TEXT,__text) external _LLVMBuildMalloc
00007ffb1c3db19e (__TEXT,__text) external _LLVMBuildMemCpy
00007ffb1c3db204 (__TEXT,__text) external _LLVMBuildMemMove
00007ffb1c3db165 (__TEXT,__text) external _LLVMBuildMemSet
00007ffb1c3da891 (__TEXT,__text) external _LLVMBuildMul
00007ffb1c3da6c8 (__TEXT,__text) external _LLVMBuildNSWAdd
00007ffb1c3da8c4 (__TEXT,__text) external _LLVMBuildNSWMul
00007ffb1c3daec2 (__TEXT,__text) external _LLVMBuildNSWNeg
00007ffb1c3da7f5 (__TEXT,__text) external _LLVMBuildNSWSub
00007ffb1c3da764 (__TEXT,__text) external _LLVMBuildNUWAdd
00007ffb1c3da8fa (__TEXT,__text) external _LLVMBuildNUWMul
00007ffb1c3daef5 (__TEXT,__text) external _LLVMBuildNUWNeg
00007ffb1c3da82b (__TEXT,__text) external _LLVMBuildNUWSub
00007ffb1c3dae92 (__TEXT,__text) external _LLVMBuildNeg
00007ffb1c3daf57 (__TEXT,__text) external _LLVMBuildNot
00007ffb1c3dadc7 (__TEXT,__text) external _LLVMBuildOr
00007ffb1c3dcaa7 (__TEXT,__text) external _LLVMBuildPhi
00007ffb1c3dc979 (__TEXT,__text) external _LLVMBuildPointerCast
00007ffb1c3dcdf9 (__TEXT,__text) external _LLVMBuildPtrDiff
00007ffb1c3dce3a (__TEXT,__text) external _LLVMBuildPtrDiff2
00007ffb1c3dc35c (__TEXT,__text) external _LLVMBuildPtrToInt
00007ffb1c3da310 (__TEXT,__text) external _LLVMBuildResume
00007ffb1c3d9c8d (__TEXT,__text) external _LLVMBuildRet
00007ffb1c3d9c83 (__TEXT,__text) external _LLVMBuildRetVoid
00007ffb1c3daa7d (__TEXT,__text) external _LLVMBuildSDiv
00007ffb1c3dbe05 (__TEXT,__text) external _LLVMBuildSExt
00007ffb1c3dc7f9 (__TEXT,__text) external _LLVMBuildSExtOrBitCast
00007ffb1c3dc1c6 (__TEXT,__text) external _LLVMBuildSIToFP
00007ffb1c3dacab (__TEXT,__text) external _LLVMBuildSRem
00007ffb1c3dcb5e (__TEXT,__text) external _LLVMBuildSelect
00007ffb1c3dad07 (__TEXT,__text) external _LLVMBuildShl
00007ffb1c3dcc1b (__TEXT,__text) external _LLVMBuildShuffleVector
00007ffb1c3db52a (__TEXT,__text) external _LLVMBuildStore
00007ffb1c3db9b5 (__TEXT,__text) external _LLVMBuildStructGEP
00007ffb1c3dba09 (__TEXT,__text) external _LLVMBuildStructGEP2
00007ffb1c3da7c2 (__TEXT,__text) external _LLVMBuildSub
00007ffb1c3d9f91 (__TEXT,__text) external _LLVMBuildSwitch
00007ffb1c3dbbcd (__TEXT,__text) external _LLVMBuildTrunc
00007ffb1c3dc825 (__TEXT,__text) external _LLVMBuildTruncOrBitCast
00007ffb1c3da960 (__TEXT,__text) external _LLVMBuildUDiv
00007ffb1c3dc199 (__TEXT,__text) external _LLVMBuildUIToFP
00007ffb1c3dabcb (__TEXT,__text) external _LLVMBuildURem
00007ffb1c3da4d0 (__TEXT,__text) external _LLVMBuildUnreachable
00007ffb1c3dcb90 (__TEXT,__text) external _LLVMBuildVAArg
00007ffb1c3dadf4 (__TEXT,__text) external _LLVMBuildXor
00007ffb1c3dbce9 (__TEXT,__text) external _LLVMBuildZExt
00007ffb1c3dc7cc (__TEXT,__text) external _LLVMBuildZExtOrBitCast
00007ffb1c3d9c79 (__TEXT,__text) external _LLVMBuilderGetDefaultFPMathTag
00007ffb1c3d9c6f (__TEXT,__text) external _LLVMBuilderSetDefaultFPMathTag
00007ffb1d16b57d (__TEXT,__text) external _LLVMByteOrder
00007ffb1d16b7ad (__TEXT,__text) external _LLVMCallFrameAlignmentOfType
00007ffb1c3d9587 (__TEXT,__text) external _LLVMClearInsertionPosition
00007ffb1d1d3189 (__TEXT,__text) external _LLVMCloneModule
00007ffb1c3d64b0 (__TEXT,__text) external _LLVMConstAShr
00007ffb1c3d6288 (__TEXT,__text) external _LLVMConstAdd
00007ffb1c3d677c (__TEXT,__text) external _LLVMConstAddrSpaceCast
00007ffb1c3d4bc4 (__TEXT,__text) external _LLVMConstAllOnes
00007ffb1c3d645a (__TEXT,__text) external _LLVMConstAnd
00007ffb1c3d5da9 (__TEXT,__text) external _LLVMConstArray
00007ffb1c3d675b (__TEXT,__text) external _LLVMConstBitCast
00007ffb1c3d635d (__TEXT,__text) external _LLVMConstExactSDiv
00007ffb1c3d6342 (__TEXT,__text) external _LLVMConstExactUDiv
00007ffb1c3d67d9 (__TEXT,__text) external _LLVMConstExtractElement
00007ffb1c3d6942 (__TEXT,__text) external _LLVMConstExtractValue
00007ffb1c3d62b8 (__TEXT,__text) external _LLVMConstFAdd
00007ffb1c3d6487 (__TEXT,__text) external _LLVMConstFCmp
00007ffb1c3d636c (__TEXT,__text) external _LLVMConstFDiv
00007ffb1c3d632c (__TEXT,__text) external _LLVMConstFMul
00007ffb1c3d6268 (__TEXT,__text) external _LLVMConstFNeg
00007ffb1c3d67c3 (__TEXT,__text) external _LLVMConstFPCast
00007ffb1c3d66ba (__TEXT,__text) external _LLVMConstFPExt
00007ffb1c3d6716 (__TEXT,__text) external _LLVMConstFPToSI
00007ffb1c3d66ff (__TEXT,__text) external _LLVMConstFPToUI
00007ffb1c3d66a3 (__TEXT,__text) external _LLVMConstFPTrunc
00007ffb1c3d638a (__TEXT,__text) external _LLVMConstFRem
00007ffb1c3d62f2 (__TEXT,__text) external _LLVMConstFSub
00007ffb1c3d6580 (__TEXT,__text) external _LLVMConstGEP
00007ffb1c3d65c9 (__TEXT,__text) external _LLVMConstGEP2
00007ffb1c3d6478 (__TEXT,__text) external _LLVMConstICmp
00007ffb1c3d65ec (__TEXT,__text) external _LLVMConstInBoundsGEP
00007ffb1c3d6638 (__TEXT,__text) external _LLVMConstInBoundsGEP2
00007ffb1c3d695f (__TEXT,__text) external _LLVMConstInlineAsm
00007ffb1c3d68a2 (__TEXT,__text) external _LLVMConstInsertElement
00007ffb1c3d6950 (__TEXT,__text) external _LLVMConstInsertValue
00007ffb1c3d595b (__TEXT,__text) external _LLVMConstInt
00007ffb1c3d67b0 (__TEXT,__text) external _LLVMConstIntCast
00007ffb1c3d5af9 (__TEXT,__text) external _LLVMConstIntGetSExtValue
00007ffb1c3d5ae3 (__TEXT,__text) external _LLVMConstIntGetZExtValue
00007ffb1c3d59ec (__TEXT,__text) external _LLVMConstIntOfArbitraryPrecision
00007ffb1c3d5a51 (__TEXT,__text) external _LLVMConstIntOfString
00007ffb1c3d5a91 (__TEXT,__text) external _LLVMConstIntOfStringAndSize
00007ffb1c3d6744 (__TEXT,__text) external _LLVMConstIntToPtr
00007ffb1c3d64a4 (__TEXT,__text) external _LLVMConstLShr
00007ffb1c3d62fc (__TEXT,__text) external _LLVMConstMul
00007ffb1c3d6296 (__TEXT,__text) external _LLVMConstNSWAdd
00007ffb1c3d630a (__TEXT,__text) external _LLVMConstNSWMul
00007ffb1c3d602a (__TEXT,__text) external _LLVMConstNSWNeg
00007ffb1c3d62d0 (__TEXT,__text) external _LLVMConstNSWSub
00007ffb1c3d62a7 (__TEXT,__text) external _LLVMConstNUWAdd
00007ffb1c3d631b (__TEXT,__text) external _LLVMConstNUWMul
00007ffb1c3d6149 (__TEXT,__text) external _LLVMConstNUWNeg
00007ffb1c3d62e1 (__TEXT,__text) external _LLVMConstNUWSub
00007ffb1c3d5e6e (__TEXT,__text) external _LLVMConstNamedStruct
00007ffb1c3d5f0b (__TEXT,__text) external _LLVMConstNeg
00007ffb1c3d627e (__TEXT,__text) external _LLVMConstNot
00007ffb1c3d4bba (__TEXT,__text) external _LLVMConstNull
00007ffb1c3d6464 (__TEXT,__text) external _LLVMConstOr
00007ffb1c3d67a6 (__TEXT,__text) external _LLVMConstPointerCast
00007ffb1c3d4cba (__TEXT,__text) external _LLVMConstPointerNull
00007ffb1c3d672d (__TEXT,__text) external _LLVMConstPtrToInt
00007ffb1c3d5a9d (__TEXT,__text) external _LLVMConstReal
00007ffb1c3d5b1c (__TEXT,__text) external _LLVMConstRealGetDouble
00007ffb1c3d5aa7 (__TEXT,__text) external _LLVMConstRealOfString
00007ffb1c3d5ad7 (__TEXT,__text) external _LLVMConstRealOfStringAndSize
00007ffb1c3d6351 (__TEXT,__text) external _LLVMConstSDiv
00007ffb1c3d6675 (__TEXT,__text) external _LLVMConstSExt
00007ffb1c3d6792 (__TEXT,__text) external _LLVMConstSExtOrBitCast
00007ffb1c3d66e8 (__TEXT,__text) external _LLVMConstSIToFP
00007ffb1c3d6380 (__TEXT,__text) external _LLVMConstSRem
00007ffb1c3d67cd (__TEXT,__text) external _LLVMConstSelect
00007ffb1c3d6496 (__TEXT,__text) external _LLVMConstShl
00007ffb1c3d68ae (__TEXT,__text) external _LLVMConstShuffleVector
00007ffb1c3d5d07 (__TEXT,__text) external _LLVMConstString
00007ffb1c3d5cf2 (__TEXT,__text) external _LLVMConstStringInContext
00007ffb1c3d5e00 (__TEXT,__text) external _LLVMConstStruct
00007ffb1c3d5dd0 (__TEXT,__text) external _LLVMConstStructInContext
00007ffb1c3d62c2 (__TEXT,__text) external _LLVMConstSub
00007ffb1c3d665e (__TEXT,__text) external _LLVMConstTrunc
00007ffb1c3d679c (__TEXT,__text) external _LLVMConstTruncOrBitCast
00007ffb1c3d6336 (__TEXT,__text) external _LLVMConstUDiv
00007ffb1c3d66d1 (__TEXT,__text) external _LLVMConstUIToFP
00007ffb1c3d6376 (__TEXT,__text) external _LLVMConstURem
00007ffb1c3d5e7a (__TEXT,__text) external _LLVMConstVector
00007ffb1c3d646e (__TEXT,__text) external _LLVMConstXor
00007ffb1c3d668c (__TEXT,__text) external _LLVMConstZExt
00007ffb1c3d6788 (__TEXT,__text) external _LLVMConstZExtOrBitCast
00007ffb1d0c9932 (__TEXT,__text) external _LLVMConsumeError
00007ffb1c3d2478 (__TEXT,__text) external _LLVMContextCreate
00007ffb1c3d2552 (__TEXT,__text) external _LLVMContextDispose
00007ffb1c3d2508 (__TEXT,__text) external _LLVMContextGetDiagnosticContext
00007ffb1c3d24f7 (__TEXT,__text) external _LLVMContextGetDiagnosticHandler
00007ffb1c3d24da (__TEXT,__text) external _LLVMContextSetDiagnosticHandler
00007ffb1c3d2540 (__TEXT,__text) external _LLVMContextSetDiscardValueNames
00007ffb1c3d2519 (__TEXT,__text) external _LLVMContextSetYieldCallback
00007ffb1c3d2530 (__TEXT,__text) external _LLVMContextShouldDiscardValueNames
00007ffb1c3d2b10 (__TEXT,__text) external _LLVMCopyModuleFlagsMetadata
00007ffb1d16b500 (__TEXT,__text) external _LLVMCopyStringRepOfTargetData
00007ffb1c3d8463 (__TEXT,__text) external _LLVMCountBasicBlocks
00007ffb1c3d92f9 (__TEXT,__text) external _LLVMCountIncoming
00007ffb1c3d376f (__TEXT,__text) external _LLVMCountParamTypes
00007ffb1c3d7ecc (__TEXT,__text) external _LLVMCountParams
00007ffb1c3d3875 (__TEXT,__text) external _LLVMCountStructElementTypes
00007ffb1c3d8568 (__TEXT,__text) external _LLVMCreateBasicBlockInContext
00007ffb1cbe3670 (__TEXT,__text) external _LLVMCreateBinary
00007ffb1c3d947b (__TEXT,__text) external _LLVMCreateBuilder
00007ffb1c3d93e6 (__TEXT,__text) external _LLVMCreateBuilderInContext
00007ffb1c4be832 (__TEXT,__text) external _LLVMCreateCoverageDataForFile
00007ffb1c4be889 (__TEXT,__text) external _LLVMCreateCoverageDataForFunction
00007ffb1c4be603 (__TEXT,__text) external _LLVMCreateCoverageFunctionRange
00007ffb1c4be697 (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForFile
00007ffb1c4bef2c (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForInstantiationGroup
00007ffb1c4bed08 (__TEXT,__text) external _LLVMCreateCoverageInstantiationGroupRangeForFile
00007ffb1c4be928 (__TEXT,__text) external _LLVMCreateCoverageIterator
00007ffb1c4bdfde (__TEXT,__text) external _LLVMCreateCoverageMappingAggregate
00007ffb1c4bdfce (__TEXT,__text) external _LLVMCreateCoverageMappingAggregateForArch
00007ffb1c4bdf76 (__TEXT,__text) external _LLVMCreateCoverageMappingForArch
00007ffb1c4bbebf (__TEXT,__text) external _LLVMCreateCoverageSourceFileRange
00007ffb1c3e80a3 (__TEXT,__text) external _LLVMCreateDIBuilder
00007ffb1c3e806b (__TEXT,__text) external _LLVMCreateDIBuilderDisallowUnresolved
00007ffb1cb49054 (__TEXT,__text) external _LLVMCreateDisasm
00007ffb1cb4902a (__TEXT,__text) external _LLVMCreateDisasmCPU
00007ffb1cb4884e (__TEXT,__text) external _LLVMCreateDisasmCPUFeatures
00007ffb1c3d25e8 (__TEXT,__text) external _LLVMCreateEnumAttribute
