00007ffb43be0fe8 (__DATA,__data) non-external _.compoundliteral
00007ffb0b1b6f53 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007ffb0b1b970b (__TEXT,__text) non-external (was a private external) _FreeScanner
00007ffb0b0d120c (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007ffb0b0d6fdc (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007ffb417470c0 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007ffb0b233dd0 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007ffb43be0fc8 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffb0b232fc0 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffb41749100 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffb0b233de0 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffb0b232f70 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffb0b1b6831 (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffb0b20a5fc (__TEXT,__text) non-external _GetOpRegs
00007ffb0b207ed4 (__TEXT,__text) non-external _GetOrAddBlock
00007ffb0b20dc4e (__TEXT,__text) non-external _GetRegChunk
00007ffb0b206844 (__TEXT,__text) non-external _GetRegister
00007ffb0b20fe80 (__TEXT,__text) non-external _GetRegisterIndicies
00007ffb0b2092fd (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffb0b1b6884 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffb0b211ab4 (__TEXT,__text) non-external _GetStreamArray
00007ffb0b1b6b97 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffb0b1b69f7 (__TEXT,__text) non-external _GrowAtomTable
00007ffb43be0f80 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffb0b2048f8 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffb0b204898 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffb0b2049ce (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffb0b204ae4 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffb0b204ad3 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffb0b2047cd (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffb0b204a4b (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffb0b204c34 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffb0b204bac (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffb0b204d71 (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffb0b204b5e (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffb0b1b689e (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffb0b1b6d79 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffb0b19dfb1 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffb0b1b96c0 (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffb0b206c78 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffb0b2075a4 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffb0b206d36 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffb0b20a6f6 (__TEXT,__text) non-external _IsBadUsage
00007ffb0b19f821 (__TEXT,__text) non-external (was a private external) _Load
00007ffb0b1b6600 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffb0b1b66b2 (__TEXT,__text) non-external _LookUpAddStringHash
00007ffb0b1bb535 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffb0b1bb59c (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffb0b1b87e0 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffb0b1bbdb8 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffb0b1bb39d (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffb0b1bb5e4 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffb41745de0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffb41745a80 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffb41746000 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffb41746140 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffb41745c40 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffb41745d40 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffb41746240 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffb41745db0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffb0b0cc383 (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffb0b0cc14b (__TEXT,__text) external _PPParserAttachStream
00007ffb0b0cbfcd (__TEXT,__text) external _PPParserAttachString
00007ffb0b0d5eba (__TEXT,__text) external _PPParserBuildErrorString
00007ffb0b0cbee1 (__TEXT,__text) external _PPParserCreate
00007ffb0b0cca85 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffb0b0d47a9 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffb0b0cc09d (__TEXT,__text) external _PPParserFree
00007ffb0b0cc75a (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffb0b0d6fbb (__TEXT,__text) external _PPParserGetErrorString
00007ffb0b0d6fd2 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffb0b0ccac4 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffb0b0d6f70 (__TEXT,__text) external _PPParserGetLimits
00007ffb0b0d6fae (__TEXT,__text) external _PPParserGetOptions
00007ffb0b0cc80d (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffb0b0ccbc7 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffb0b0d6fc8 (__TEXT,__text) external _PPParserGetStream
00007ffb0b0cb077 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffb0b0cb0a6 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffb0b0cb15d (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffb0b0cb0e8 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffb0b0d6042 (__TEXT,__text) non-external _PPParserInherit
00007ffb0b0cbf5c (__TEXT,__text) external _PPParserInit
00007ffb0b0d70b8 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffb0b0cc114 (__TEXT,__text) non-external _PPParserLabelsFree
00007ffb0b0cacc0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffb0b0cace4 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffb0b0cae50 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffb0b0caf33 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffb0b0caddf (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffb0b0cadab (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffb0b0caeae (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffb0b0d705d (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffb0b0d4c0d (__TEXT,__text) external _PPParserParse
00007ffb0b0cdbb0 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffb0b0d2298 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffb0b0d37f3 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffb0b0d458c (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffb0b0cd4d3 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffb0b0d05dc (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffb0b0d1261 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffb0b0cd357 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffb0b0d2463 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffb0b0cd5e4 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffb0b0d2810 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffb0b0d1c0e (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffb0b0d6e88 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffb0b0cd8b5 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffb0b0d20da (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffb0b0d4260 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffb0b0d38f5 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffb0b0d61c6 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffb0b0ccd45 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffb0b0d13fe (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffb0b0d1a84 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffb0b0ce586 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffb0b0d03f8 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffb0b0cd724 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffb0b0d1df8 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffb0b0d2c19 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffb0b0d62dd (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffb0b0d3185 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffb0b0d2fca (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffb0b0ce30c (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffb0b0d347c (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffb0b0d609e (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffb0b0cb2f9 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffb0b0cc7b7 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffb0b0cca1e (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffb0b0cbda0 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffb0b0cb181 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffb0b0cbd02 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffb0b0cbe6e (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffb0b0cbea7 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffb0b0cbdeb (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffb0b0d6f7d (__TEXT,__text) external _PPParserSetLimits
00007ffb0b0d6f63 (__TEXT,__text) external _PPParserSetPrefs
00007ffb0b0cbf62 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffb0b0cdd72 (__TEXT,__text) non-external _PPParserValidateName
00007ffb0b1fd921 (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffb0b1fda2d (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffb0b1fdf1c (__TEXT,__text) external _PPStreamAddConstant
00007ffb0b1fde48 (__TEXT,__text) external _PPStreamAddLabel
00007ffb0b1fdb3b (__TEXT,__text) external _PPStreamAddOperation
00007ffb0b1fdff3 (__TEXT,__text) external _PPStreamAddOption
00007ffb0b1fda87 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffb0b1fd979 (__TEXT,__text) external _PPStreamAddParamBinding
00007ffb0b1fd9d3 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffb0b1fdf99 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffb0b1fd6f5 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffb0b1fd74f (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffb0b1fd86d (__TEXT,__text) external _PPStreamAddTempUsage
00007ffb0b1fd8c7 (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffb0b1fdae1 (__TEXT,__text) external _PPStreamAddTexImage
00007ffb0b1feb17 (__TEXT,__text) external _PPStreamAttachStream
00007ffb0b1fce39 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffb0b1ff260 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffb0b1fcf20 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffb0b1fd84a (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffb0b1fce5b (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffb0b1fd130 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffb0b1fd40e (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffb0b1fd4a0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffb0b1fcfe4 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffb0b1fd008 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffb0b1fd165 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffb0b1fd500 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffb0b1fd315 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffb0b1fd1fb (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffb0b1fd1a1 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffb0b1fd245 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffb0b1fd283 (__TEXT,__text) external _PPStreamChunkListSort
00007ffb0b1ff10f (__TEXT,__text) external _PPStreamCompare
00007ffb0b1fd604 (__TEXT,__text) external _PPStreamCreate
00007ffb0b1fd7a9 (__TEXT,__text) external _PPStreamFree
00007ffb0b1fe048 (__TEXT,__text) external _PPStreamGetStream
00007ffb0b1feaf5 (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffb0b1fdd41 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffb0b1fdc1e (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffb0b1fce4a (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffb0b1ff327 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffb0b1fce28 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffb0b1fdedc (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffb0b1ffa22 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffb0b1ff904 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffb0b0d86ee (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffb0b0d93f8 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffb0b1fe9b4 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffb0b1fe3a7 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffb0b0d958e (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffb0b0d950f (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffb0b1fead1 (__TEXT,__text) external _PPStreamTokenAlloc
00007ffb0b0d99b7 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffb0b0d9d75 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffb0b0d9bcf (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffb0b0d9cc3 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffb0b1feaeb (__TEXT,__text) external _PPStreamTokenFree
00007ffb0b0d86c2 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffb0b0d8670 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffb0b230360 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffb0b230420 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffb0b2304f0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffb41746440 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffb0b0d9e14 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffb417468f0 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffb0b2336f0 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffb0b233700 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffb0b233740 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffb0b233710 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffb0b2080cc (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffb0b20802b (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffb0b1bbe68 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffb0b1bb844 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffb0b211670 (__TEXT,__text) non-external _RecordFunctionCall
00007ffb0b1bb70f (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffb0b206b83 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffb0b206b13 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffb0b205491 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffb0b20542c (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffb0b20779a (__TEXT,__text) non-external (was a private external) _Registerify
00007ffb0b206881 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffb0b207931 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffb0b20774c (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffb0b2051bd (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffb0b2054e7 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffb0b20555f (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffb0b20d6c3 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffb0b0d7026 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffb0b1bb82a (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffb0b1ba820 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffb0b1ba9c9 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffb0b1b9744 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffb0b1bab6b (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffb0b19f72f (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffb0b1ad0cc (__TEXT,__text) external _ShAttributeBindingRequest
00007ffb0b1ad037 (__TEXT,__text) external _ShCleanup
00007ffb0b1aca7a (__TEXT,__text) external _ShCompile
00007ffb0b1ac6af (__TEXT,__text) external _ShConstructCompiler
00007ffb0b1ac739 (__TEXT,__text) external _ShConstructLinker
00007ffb0b1ac7ff (__TEXT,__text) external _ShDestruct
00007ffb0b1aca6f (__TEXT,__text) external _ShFinalize
00007ffb0b1ae0c5 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffb0b1ad8d5 (__TEXT,__text) external _ShGetActiveAttrib
00007ffb0b1ad5ac (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffb0b1ad597 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffb0b1ad569 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffb0b1af26b (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffb0b1af82b (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffb0b1af76a (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffb0b1af611 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffb0b1af078 (__TEXT,__text) external _ShGetActiveUniform
00007ffb0b1ae863 (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffb0b1ae5ce (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffb0b1aeaf0 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffb0b1aed20 (__TEXT,__text) external _ShGetActiveUniformName
00007ffb0b1ada37 (__TEXT,__text) external _ShGetAttribLocation
00007ffb0b1ad7c0 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
