00000001ef461980 (__TEXT,__const) non-external _SHA256_K
00000001ef45d290 (__TEXT,__text) non-external _ia64_code
00000001ef463bb8 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00000001ef450550 (__TEXT,__text) non-external _index_cat_helper
00000001ef454550 (__TEXT,__text) non-external _index_decode
00000001ef454838 (__TEXT,__text) non-external _index_decoder_end
00000001ef454308 (__TEXT,__text) non-external _index_decoder_init
00000001ef45487c (__TEXT,__text) non-external _index_decoder_memconfig
00000001ef4523dc (__TEXT,__text) non-external _index_encode
00000001ef452634 (__TEXT,__text) non-external _index_encoder_end
00000001ef44ffc0 (__TEXT,__text) non-external _index_file_size
00000001ef44fe04 (__TEXT,__text) non-external _index_stream_end
00000001ef44fd04 (__TEXT,__text) non-external _index_tree_append
00000001ef450cc0 (__TEXT,__text) non-external _index_tree_node_end
00000001ef458c08 (__TEXT,__text) non-external _is_options_valid
00000001ef450a20 (__TEXT,__text) non-external _iter_set_info
00000001ef459250 (__TEXT,__text) non-external _length
00000001ef458c60 (__TEXT,__text) non-external _length_encoder_reset
00000001ef459400 (__TEXT,__text) non-external _length_update_prices
00000001ef44f08c (__TEXT,__text) non-external _lz_decode
00000001ef4580f4 (__TEXT,__text) non-external _lz_decoder_end
00000001ef456d8c (__TEXT,__text) non-external _lz_encode
00000001ef456f90 (__TEXT,__text) non-external _lz_encoder_end
00000001ef456940 (__TEXT,__text) non-external _lz_encoder_prepare
00000001ef457010 (__TEXT,__text) non-external _lz_encoder_update
00000001ef44eda4 (__TEXT,__text) non-external _lzma2_decode
00000001ef45c534 (__TEXT,__text) non-external _lzma2_decoder_end
00000001ef45c38c (__TEXT,__text) non-external _lzma2_decoder_init
00000001ef45bf30 (__TEXT,__text) non-external _lzma2_encode
00000001ef45c298 (__TEXT,__text) non-external _lzma2_encoder_end
00000001ef45bd3c (__TEXT,__text) non-external _lzma2_encoder_init
00000001ef45c2dc (__TEXT,__text) non-external _lzma2_encoder_options_update
00000001ef45d818 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00000001ef45d7f0 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00000001ef44ebfc (__TEXT,__text) non-external (was a private external) _lzma_alloc
00000001ef453690 (__TEXT,__text) external _lzma_alone_decoder
00000001ef45325c (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00000001ef450e0c (__TEXT,__text) external _lzma_alone_encoder
00000001ef44ecbc (__TEXT,__text) external _lzma_auto_decoder
00000001ef451160 (__TEXT,__text) external _lzma_block_buffer_bound
00000001ef453914 (__TEXT,__text) external _lzma_block_buffer_decode
00000001ef4511ac (__TEXT,__text) external _lzma_block_buffer_encode
00000001ef44f6ac (__TEXT,__text) external _lzma_block_compressed_size
00000001ef453c00 (__TEXT,__text) external _lzma_block_decoder
00000001ef453a58 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00000001ef4519b8 (__TEXT,__text) external _lzma_block_encoder
00000001ef451614 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00000001ef453c6c (__TEXT,__text) external _lzma_block_header_decode
00000001ef451b18 (__TEXT,__text) external _lzma_block_header_encode
00000001ef451a24 (__TEXT,__text) external _lzma_block_header_size
00000001ef44f7b0 (__TEXT,__text) external _lzma_block_total_size
00000001ef44f720 (__TEXT,__text) external _lzma_block_unpadded_size
00000001ef44ed30 (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00000001ef455ab8 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00000001ef4559f8 (__TEXT,__text) non-external (was a private external) _lzma_check_init
00000001ef4559b8 (__TEXT,__text) external _lzma_check_is_supported
00000001ef45d940 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00000001ef4559d8 (__TEXT,__text) external _lzma_check_size
00000001ef45d950 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00000001ef455a24 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00000001ef44b648 (__TEXT,__text) external _lzma_code
00000001ef455aec (__TEXT,__text) external _lzma_crc32
00000001ef45d960 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00000001ef455c14 (__TEXT,__text) external _lzma_crc64
00000001ef45f960 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00000001ef44b880 (__TEXT,__text) non-external _lzma_decode
00000001ef463ad8 (__TEXT,__const) non-external _lzma_decode.next_state
00000001ef45baf4 (__TEXT,__text) non-external _lzma_decoder_init
00000001ef45b87c (__TEXT,__text) non-external _lzma_decoder_reset
00000001ef45bad8 (__TEXT,__text) non-external _lzma_decoder_uncompressed
00000001ef45c578 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00000001ef45c6b0 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00000001ef45c880 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00000001ef45c6dc (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00000001ef45c930 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00000001ef45c838 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00000001ef451c7c (__TEXT,__text) external _lzma_easy_buffer_encode
00000001ef453e9c (__TEXT,__text) external _lzma_easy_decoder_memusage
00000001ef451d2c (__TEXT,__text) external _lzma_easy_encoder
00000001ef451d98 (__TEXT,__text) external _lzma_easy_encoder_memusage
00000001ef44f7d8 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00000001ef4595bc (__TEXT,__text) non-external _lzma_encode
00000001ef458e74 (__TEXT,__text) non-external _lzma_encoder_init
00000001ef44f514 (__TEXT,__text) external _lzma_end
00000001ef461ad8 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00000001ef45407c (__TEXT,__text) external _lzma_filter_decoder_is_supported
00000001ef451f08 (__TEXT,__text) external _lzma_filter_encoder_is_supported
00000001ef4541d4 (__TEXT,__text) external _lzma_filter_flags_decode
00000001ef452234 (__TEXT,__text) external _lzma_filter_flags_encode
00000001ef4521c0 (__TEXT,__text) external _lzma_filter_flags_size
00000001ef44f820 (__TEXT,__text) external _lzma_filters_copy
00000001ef451f70 (__TEXT,__text) external _lzma_filters_update
00000001ef45d916 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00000001ef44f2dc (__TEXT,__text) non-external (was a private external) _lzma_free
00000001ef44f570 (__TEXT,__text) external _lzma_get_check
00000001ef45d910 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00000001ef450164 (__TEXT,__text) external _lzma_index_append
00000001ef44fefc (__TEXT,__text) external _lzma_index_block_count
00000001ef454424 (__TEXT,__text) external _lzma_index_buffer_decode
00000001ef4526a4 (__TEXT,__text) external _lzma_index_buffer_encode
00000001ef450350 (__TEXT,__text) external _lzma_index_cat
00000001ef45002c (__TEXT,__text) external _lzma_index_checks
00000001ef454294 (__TEXT,__text) external _lzma_index_decoder
00000001ef4505d0 (__TEXT,__text) external _lzma_index_dup
00000001ef452638 (__TEXT,__text) external _lzma_index_encoder
00000001ef452304 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00000001ef44fda0 (__TEXT,__text) external _lzma_index_end
00000001ef44ff90 (__TEXT,__text) external _lzma_index_file_size
00000001ef45499c (__TEXT,__text) external _lzma_index_hash_append
00000001ef454af0 (__TEXT,__text) external _lzma_index_hash_decode
00000001ef454960 (__TEXT,__text) external _lzma_index_hash_end
00000001ef4548f0 (__TEXT,__text) external _lzma_index_hash_init
00000001ef454964 (__TEXT,__text) external _lzma_index_hash_size
00000001ef44fc50 (__TEXT,__text) external _lzma_index_init
00000001ef450810 (__TEXT,__text) external _lzma_index_iter_init
00000001ef450bd8 (__TEXT,__text) external _lzma_index_iter_locate
00000001ef450844 (__TEXT,__text) external _lzma_index_iter_next
00000001ef45082c (__TEXT,__text) external _lzma_index_iter_rewind
00000001ef44fe30 (__TEXT,__text) external _lzma_index_memusage
00000001ef44fe9c (__TEXT,__text) external _lzma_index_memused
00000001ef450058 (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00000001ef44fe18 (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00000001ef44ff0c (__TEXT,__text) external _lzma_index_size
00000001ef44ff04 (__TEXT,__text) external _lzma_index_stream_count
00000001ef450094 (__TEXT,__text) external _lzma_index_stream_flags
00000001ef4500f4 (__TEXT,__text) external _lzma_index_stream_padding
00000001ef44ff4c (__TEXT,__text) external _lzma_index_stream_size
00000001ef44ff44 (__TEXT,__text) external _lzma_index_total_size
00000001ef450024 (__TEXT,__text) external _lzma_index_uncompressed_size
00000001ef44ea68 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00000001ef458168 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00000001ef458174 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
00000001ef456bb8 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00000001ef4568dc (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00000001ef45c378 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00000001ef45c464 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00000001ef45bd28 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00000001ef45be58 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00000001ef45c480 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00000001ef45be84 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00000001ef44ec24 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00000001ef45bae0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00000001ef45bbfc (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00000001ef45bbd8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00000001ef458180 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00000001ef458d24 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00000001ef458e60 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00000001ef458e88 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00000001ef458a10 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00000001ef45bb74 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00000001ef458f14 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00000001ef459728 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00000001ef459ab4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00000001ef4595d8 (__TEXT,__text) external _lzma_lzma_preset
00000001ef45bc54 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00000001ef458f64 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00000001ef44f5e8 (__TEXT,__text) external _lzma_memlimit_get
00000001ef44f644 (__TEXT,__text) external _lzma_memlimit_set
00000001ef44f58c (__TEXT,__text) external _lzma_memusage
00000001ef4577f8 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00000001ef4579e4 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00000001ef457b58 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00000001ef457cec (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00000001ef457dcc (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00000001ef457ff4 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00000001ef4570b4 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00000001ef45718c (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00000001ef457440 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00000001ef457500 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00000001ef457718 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00000001ef457088 (__TEXT,__text) external _lzma_mf_is_supported
00000001ef458fc0 (__TEXT,__text) external _lzma_mode_is_supported
00000001ef44f38c (__TEXT,__text) non-external (was a private external) _lzma_next_end
00000001ef44f300 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00000001ef44f408 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00000001ef44fc4c (__TEXT,__text) external _lzma_physmem
00000001ef454194 (__TEXT,__text) external _lzma_properties_decode
00000001ef452180 (__TEXT,__text) external _lzma_properties_encode
00000001ef452118 (__TEXT,__text) external _lzma_properties_size
00000001ef453ef4 (__TEXT,__text) external _lzma_raw_buffer_decode
00000001ef451df0 (__TEXT,__text) external _lzma_raw_buffer_encode
00000001ef44f99c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00000001ef44fbb8 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00000001ef4540fc (__TEXT,__text) external _lzma_raw_decoder
00000001ef4540e4 (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00000001ef45417c (__TEXT,__text) external _lzma_raw_decoder_memusage
00000001ef452094 (__TEXT,__text) external _lzma_raw_encoder
00000001ef45207c (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00000001ef452064 (__TEXT,__text) external _lzma_raw_encoder_memusage
00000001ef463b10 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00000001ef4567fc (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
00000001ef455d00 (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
00000001ef461960 (__TEXT,__const) non-external _lzma_sha256_init.s
00000001ef455d18 (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
00000001ef45d488 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00000001ef45d464 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00000001ef45d560 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00000001ef45d53c (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00000001ef45c990 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00000001ef45d26c (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00000001ef45d248 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00000001ef45d170 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00000001ef45d14c (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00000001ef45cebc (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00000001ef45cea4 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00000001ef45ce7c (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00000001ef45d664 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00000001ef45d640 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00000001ef45cfa4 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00000001ef45cf40 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00000001ef4527b4 (__TEXT,__text) external _lzma_stream_buffer_bound
00000001ef454e50 (__TEXT,__text) external _lzma_stream_buffer_decode
00000001ef4527e4 (__TEXT,__text) external _lzma_stream_buffer_encode
00000001ef455694 (__TEXT,__text) external _lzma_stream_decoder
00000001ef454fdc (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00000001ef452f98 (__TEXT,__text) external _lzma_stream_encoder
00000001ef452a20 (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
00000001ef450d40 (__TEXT,__text) external _lzma_stream_flags_compare
00000001ef4557c4 (__TEXT,__text) external _lzma_stream_footer_decode
00000001ef453100 (__TEXT,__text) external _lzma_stream_footer_encode
00000001ef455708 (__TEXT,__text) external _lzma_stream_header_decode
00000001ef453078 (__TEXT,__text) external _lzma_stream_header_encode
00000001ef44f444 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00000001ef44f2c4 (__TEXT,__text) external _lzma_version_number
00000001ef44f2d0 (__TEXT,__text) external _lzma_version_string
00000001ef45586c (__TEXT,__text) external _lzma_vli_decode
00000001ef4531a8 (__TEXT,__text) external _lzma_vli_encode
00000001ef450de8 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
00000001ef458fd0 (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00000001ef457310 (__TEXT,__text) non-external _move_pos
00000001ef45d194 (__TEXT,__text) non-external _powerpc_code
00000001ef455da4 (__TEXT,__text) non-external _process
00000001ef4587c0 (__TEXT,__text) non-external _rc_encode
00000001ef45cae4 (__TEXT,__text) non-external _simple_code
00000001ef45cd6c (__TEXT,__text) non-external _simple_coder_end
00000001ef45cdb8 (__TEXT,__text) non-external _simple_coder_update
00000001ef45d688 (__TEXT,__text) non-external _sparc_code
00000001ef455148 (__TEXT,__text) non-external _stream_decode
00000001ef4555fc (__TEXT,__text) non-external _stream_decoder_end
00000001ef45564c (__TEXT,__text) non-external _stream_decoder_get_check
00000001ef455654 (__TEXT,__text) non-external _stream_decoder_memconfig
00000001ef452b9c (__TEXT,__text) non-external _stream_encode
00000001ef45d930 (__TEXT,__const) non-external _stream_encode.convert
00000001ef452e2c (__TEXT,__text) non-external _stream_encoder_end
00000001ef452eb8 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
00000001ef44f248 (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00000001ef44fafc (__TEXT,__text) non-external _validate_chain
00000001ef45cfac (__TEXT,__text) non-external _x86_code
00000001ef463b98 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00000001ef45cf48 (__TEXT,__text) non-external _x86_coder_init
