000000021fdf4ae8 (__TEXT,__text) external _LLVMExtraCreateBinary
000000021fdf1678 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationIndirectAccelerationStructures
000000021fdf168c (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationMaxAccelerationStructureTraversalDepth
000000021fdf1080 (__TEXT,__text) external _MTLGPUCompilerSetStitcherScript
000000021fdf0680 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibrary
000000021fdf07f8 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToBuffer
000000021fdf0970 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToFD
000000021fdf0200 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunction
000000021fdf0378 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToBuffer
000000021fdf04f0 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToFD
000000021fdf10bc (__TEXT,__text) external _MTLGPUCompilerStitchFunctions
000000021fdf11d8 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToBuffer
000000021fdf12f4 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToFD
000000021fdf75bc (__TEXT,__text) external _MTLMetalDynamicLibraryGetInstallName
000000021fdf7250 (__TEXT,__text) external _MTLMetalFunctionCreate
000000021fdf7324 (__TEXT,__text) external _MTLMetalFunctionDestroy
000000021fdf73c4 (__TEXT,__text) external _MTLMetalFunctionGetAIRVersion
000000021fdf742c (__TEXT,__text) external _MTLMetalFunctionGetAlias
000000021fdf7378 (__TEXT,__text) external _MTLMetalFunctionGetKind
000000021fdf73f8 (__TEXT,__text) external _MTLMetalFunctionGetMetalVersion
000000021fdf73ac (__TEXT,__text) external _MTLMetalFunctionGetModule
000000021fdf7370 (__TEXT,__text) external _MTLMetalFunctionGetName
000000021fdf75b4 (__TEXT,__text) external _MTLMetalImportedSymbolGetName
000000021fdf67ac (__TEXT,__text) external _MTLMetalLibCreateCoreImage
000000021fdf6728 (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTriple
000000021fdf685c (__TEXT,__text) external _MTLMetalLibCreateDynamicLibrary
000000021fdf67b8 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibraryWithTriple
000000021fdf671c (__TEXT,__text) external _MTLMetalLibCreateExecutable
000000021fdf6698 (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTriple
000000021fdf686c (__TEXT,__text) external _MTLMetalLibDestroy
000000021fdf80b0 (__TEXT,__text) external _MTLMetalLibGetAsObject
000000021fdf7218 (__TEXT,__text) external _MTLMetalLibGetDynamicLibrariesCount
000000021fdf7228 (__TEXT,__text) external _MTLMetalLibGetDynamicLibraryNo
000000021fdf68ac (__TEXT,__text) external _MTLMetalLibGetFunctionNo
000000021fdf689c (__TEXT,__text) external _MTLMetalLibGetFunctionsCount
000000021fdf71f8 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolNo
000000021fdf71e8 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolsCount
000000021fdf7204 (__TEXT,__text) external _MTLMetalLibGetInstallName
000000021fdf7244 (__TEXT,__text) external _MTLMetalLibGetModuleNo
000000021fdf7234 (__TEXT,__text) external _MTLMetalLibGetModulesCount
000000021fdf6e48 (__TEXT,__text) external _MTLMetalLibGetVariableNo
000000021fdf6e38 (__TEXT,__text) external _MTLMetalLibGetVariablesCount
000000021fdf68b8 (__TEXT,__text) external _MTLMetalLibInsertFunction
000000021fdf6e54 (__TEXT,__text) external _MTLMetalLibInsertVariable
000000021fdf7434 (__TEXT,__text) external _MTLMetalVariableCreate
000000021fdf74f4 (__TEXT,__text) external _MTLMetalVariableDestroy
000000021fdf7544 (__TEXT,__text) external _MTLMetalVariableGetAIRVersion
000000021fdf75ac (__TEXT,__text) external _MTLMetalVariableGetAlias
000000021fdf7578 (__TEXT,__text) external _MTLMetalVariableGetMetalVersion
000000021fdf752c (__TEXT,__text) external _MTLMetalVariableGetModule
000000021fdf7524 (__TEXT,__text) external _MTLMetalVariableGetName
000000021fdf8098 (__TEXT,__text) external _MTLModuleGetAsObject
000000021fdf7e14 (__TEXT,__text) external _MTLObjectCreate
000000021fdf7fc0 (__TEXT,__text) external _MTLObjectDestroy
000000021fdf80d0 (__TEXT,__text) external _MTLObjectGetAsArchive
000000021fdf8100 (__TEXT,__text) external _MTLObjectGetAsMetalLib
000000021fdf80bc (__TEXT,__text) external _MTLObjectGetAsModule
000000021fded7ac (__TEXT,__text) external _MTLUpgradeAIRModule
000000021fdedbc8 (__TEXT,__text) external _MTLVerifyAIRModule
000000021fdedbe4 (__TEXT,__text) external _MTLWriteAIRBitcodeToMemoryBuffer
000000021fdedcd8 (__TEXT,__text) external _MTLWriteAIRReflectionToMemoryBuffer
000000021fdf75c4 (__TEXT,__text) external _MTLWriteMetalLibToMemoryBuffer
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary25findInExplicitLoadedImageEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary26findInImplicitLoadedImagesEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryC1EPKvPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm10TimerGroupD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoInfsEb (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoNaNsEb (from libLLVM)
                 (undefined) external __ZN4llvm11NamedMDNode10setOperandEjPNS_6MDNodeE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream14flush_nonemptyEv (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream16SetBufferAndModeEPcmNS0_10BufferKindE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamD2Ev (from libLLVM)
                 (undefined) external __ZN4llvm12MemoryBuffer16getMemBufferCopyENS_9StringRefERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm13ErrorInfoBase2IDE (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl11RehashTableEj (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl15LookupBucketForENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamC1EibbNS_11raw_ostream11OStreamKindE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm15MemoryBufferRefC1ERKNS_12MemoryBufferE (from libLLVM)
                 (undefined) weak external __ZN4llvm15SmallVectorBaseIjE13mallocForGrowEmmRm (from libLLVM)
                 (undefined) weak external __ZN4llvm15SmallVectorBaseIyE8grow_podEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm15ValueHandleBase17RemoveFromUseListEv (from libLLVM)
                 (undefined) external __ZN4llvm15allocate_bufferEmm (from libLLVM)
                 (undefined) external __ZN4llvm16IRChangedPrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm17TimePassesHandler5printEv (from libLLVM)
                 (undefined) external __ZN4llvm17deallocate_bufferEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm18report_fatal_errorERKNS_5TwineEb (from libLLVM)
                 (undefined) external __ZN4llvm19InLineChangePrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20DotCfgChangeReporterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm22PrintIRInstrumentationD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm3air10Reflection6createERKNS_6ModuleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10ScriptFile6createENS_15MemoryBufferRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air15verifyAIRModuleERKNS_6ModuleENS0_17VerificationLevelE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16MetalDefinedSymbC2ENSt3__110shared_ptrINS_6ModuleEEENS_9StringRefES6_NS1_10SymbolFlagENS3_INS0_11MetalSourceEEENS_8ArrayRefIS9_EENSA_IhEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16upgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air18downgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriter5writeEv (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriterC1ERKNS0_8MetalLibERNS_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air21WriteAIRBitcodeToFileEPKNS_6ModuleERNS_11raw_ostreamENS0_14BitcodeVersionEb (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air28NormalizeModuleForAIRBitcodeEPNS_6ModuleENS0_14BitcodeVersionE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air7Archive9addMemberENS_9StringRefENSt3__110unique_ptrINS_6ModuleENS3_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm5MachO26getArchitectureFromCpuTypeEjj (from libLLVM)
                 (undefined) external __ZN4llvm5TimerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6ModuleD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6SHA256D1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6TripleC1ERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm6legacy11PassManagerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6object12createBinaryENS_15MemoryBufferRefEPNS_11LLVMContextEb (from libLLVM)
                 (undefined) external __ZN4llvm7MDTuple7getImplERNS_11LLVMContextENS_8ArrayRefIPNS_8MetadataEEENS4_11StorageTypeEb (from libLLVM)
                 (undefined) external __ZN4llvm7airdyld6Loader17setFunctionGroupsENS_15MutableArrayRefINSt3__110unique_ptrINS_3air13FunctionGroupENS3_14default_deleteIS6_EEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm8Function9addFnAttrENS_9StringRefES1_ (from libLLVM)
                 (undefined) external __ZN4llvm8MDString3getERNS_11LLVMContextENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm9ErrorList2IDE (from libLLVM)
                 (undefined) external __ZN7metalfe11GPUArchiver10dumpToFileERN4llvm11raw_ostreamES3_ (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11addPipelineEjN4llvm8ArrayRefINS_16GPUArchiverIndexEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11buildToFileERN4llvm11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11setUnitHashENS_16GPUArchiverIndexEN4llvm8ArrayRefIjEENS3_IA32_hEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12createWriterENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12dumpToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13addDescriptorEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13buildToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver14setInstallNameEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setActivePlatformENS_25GPUArchiverActivePlatformERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setUnitReflectionENS_16GPUArchiverIndexEPKN4llvm12MemoryBufferES5_RNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18createWriterWithIdENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver5flushERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver6createEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addToolEN4llvm5MachO12ArchitectureEjRKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addUnitEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9packUnitsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9setTargetEN4llvm5MachO12PlatformTypeERKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiverD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10handleSPIsEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10loadToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12loadToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12stitchToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13lowerToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler14stitchToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler17setStitcherScriptENSt3__110unique_ptrIN4llvm3air10ScriptFileENS1_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler18specializeFunctionERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler24specializeDynamicLibraryERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler24specializeFunctionToFileERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler26specializeFunctionToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler30specializeDynamicLibraryToFileERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler32specializeDynamicLibraryToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler4loadERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler5lowerERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler6stitchERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompilerC1Eb (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm11NamedMDNode10getOperandEj (from libLLVM)
                 (undefined) external __ZNK4llvm11NamedMDNode14getNumOperandsEv (from libLLVM)
                 (undefined) external __ZNK4llvm12MemoryBuffer15getMemBufferRefEv (from libLLVM)
                 (undefined) external __ZNK4llvm3air16MetalDefinedSymb13getAIRVersionEv (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm3air16MetalDefinedSymb15getMetalVersionEv (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm3air16MetalDefinedSymb30ensureModuleReferencesAreAliveEv (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm6Module16getNamedMetadataERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile17getSymbolImplNameENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile17getSymbolImplSizeENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile20getSymbolImplAddressENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object20MachOUniversalBinary18getIRObjectForArchENS_9StringRefERNS_11LLVMContextE (from libLLVM)
                 (undefined) external __ZNK4llvm8Function14getFnAttributeENS_9StringRefE (from libLLVM)
                 (undefined) external __ZNK4llvm8Function14hasFnAttributeENS_9StringRefE (from libLLVM)
                 (undefined) external __ZNK4llvm8MDString9getStringEv (from libLLVM)
                 (undefined) external __ZNK4llvm9Attribute16getValueAsStringEv (from libLLVM)
                 (undefined) external __ZNKSt3__119__shared_weak_count13__get_deleterERKSt9type_info (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6appendEPKcm (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE7reserveEm (from libc++)
                 (undefined) external __ZNSt3__119__shared_weak_count14__release_weakEv (from libc++)
                 (undefined) external __ZNSt3__119__shared_weak_countD2Ev (from libc++)
                 (undefined) external __ZNSt3__15mutex4lockEv (from libc++)
                 (undefined) external __ZNSt3__15mutex6unlockEv (from libc++)
                 (undefined) external __ZNSt3__15mutexD1Ev (from libc++)
                 (undefined) external __ZTVN4llvm19raw_svector_ostreamE (from libLLVM)
                 (undefined) external __ZTVN4llvm9ErrorListE (from libLLVM)
                 (undefined) weak external __ZdaPv (from libc++)
                 (undefined) weak external __ZdlPv (from libc++)
                 (undefined) weak external __Znam (from libc++)
                 (undefined) weak external __Znwm (from libc++)
                 (undefined) external ___cxa_atexit (from libSystem)
                 (undefined) external ___cxa_guard_acquire (from libc++)
                 (undefined) external ___cxa_guard_release (from libc++)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strlen (from libSystem)
