00007ff80d92aa0c (__TEXT,__text) external _CCAESCmac
00007ff80d9276d9 (__TEXT,__text) external _CCRandomGenerateBytes
00007ff80d92d610 (__TEXT,__text) external _CCRandomUniform
00007ff80d92e906 (__TEXT,__text) external _CCSymmetricKeyUnwrap
00007ff80d92e7c0 (__TEXT,__text) external _CCSymmetricKeyWrap
00007ff80d92eb14 (__TEXT,__text) external _CCSymmetricUnwrappedSize
00007ff80d92eb07 (__TEXT,__text) external _CCSymmetricWrappedSize
00007ff80d9296c9 (__TEXT,__text) external _CC_MD2
00007ff80d92bdc0 (__TEXT,__text) external _CC_MD2_Final
00007ff80d92bc21 (__TEXT,__text) external _CC_MD2_Init
00007ff80d92bcce (__TEXT,__text) external _CC_MD2_Update
00007ff80d92bb53 (__TEXT,__text) external _CC_MD4
00007ff80d92951b (__TEXT,__text) external _CC_MD4_Final
00007ff80d929349 (__TEXT,__text) external _CC_MD4_Init
00007ff80d92940c (__TEXT,__text) external _CC_MD4_Update
00007ff80d92617d (__TEXT,__text) external _CC_MD5
00007ff80d925fd5 (__TEXT,__text) external _CC_MD5_Final
00007ff80d9259d3 (__TEXT,__text) external _CC_MD5_Init
00007ff80d925ec6 (__TEXT,__text) external _CC_MD5_Update
00007ff80d9260e7 (__TEXT,__text) external _CC_SHA1
00007ff80d92668f (__TEXT,__text) external _CC_SHA1_Final
00007ff80d9264bd (__TEXT,__text) external _CC_SHA1_Init
00007ff80d926580 (__TEXT,__text) external _CC_SHA1_Update
00007ff80d92bb87 (__TEXT,__text) external _CC_SHA224
00007ff80d92bf25 (__TEXT,__text) external _CC_SHA224_Final
00007ff80d92beb5 (__TEXT,__text) external _CC_SHA224_Init
00007ff80d92bf15 (__TEXT,__text) external _CC_SHA224_Update
00007ff80d926797 (__TEXT,__text) external _CC_SHA256
00007ff80d9263a3 (__TEXT,__text) external _CC_SHA256_Final
00007ff80d92622e (__TEXT,__text) external _CC_SHA256_Init
00007ff80d92628e (__TEXT,__text) external _CC_SHA256_Update
00007ff80d92bbb7 (__TEXT,__text) external _CC_SHA384
00007ff80d92bfef (__TEXT,__text) external _CC_SHA384_Final
00007ff80d92bf80 (__TEXT,__text) external _CC_SHA384_Init
00007ff80d92bfdf (__TEXT,__text) external _CC_SHA384_Update
00007ff80d92bbe7 (__TEXT,__text) external _CC_SHA512
00007ff80d9283a8 (__TEXT,__text) external _CC_SHA512_Final
00007ff80d9282e3 (__TEXT,__text) external _CC_SHA512_Init
00007ff80d928343 (__TEXT,__text) external _CC_SHA512_Update
00007ff8424cc470 (__DATA,__const) non-external (was a private external) _CC_adler32
00007ff8424cc730 (__DATA,__const) non-external (was a private external) _CC_crc16
00007ff8424cc4b0 (__DATA,__const) non-external (was a private external) _CC_crc16_a
00007ff8424cc4f0 (__DATA,__const) non-external (was a private external) _CC_crc16_b
00007ff8424cc530 (__DATA,__const) non-external (was a private external) _CC_crc16_ccitt_false
00007ff8424cc570 (__DATA,__const) non-external (was a private external) _CC_crc16_ccitt_true
00007ff8424cc5b0 (__DATA,__const) non-external (was a private external) _CC_crc16_dect_r
00007ff8424cc5f0 (__DATA,__const) non-external (was a private external) _CC_crc16_dect_x
00007ff8424cc630 (__DATA,__const) non-external (was a private external) _CC_crc16_icode
00007ff8424cc670 (__DATA,__const) non-external (was a private external) _CC_crc16_usb
00007ff8424cc6b0 (__DATA,__const) non-external (was a private external) _CC_crc16_verifone
00007ff8424cc6f0 (__DATA,__const) non-external (was a private external) _CC_crc16_xmodem
00007ff8424cc8b0 (__DATA,__const) non-external (was a private external) _CC_crc32
00007ff8424cc770 (__DATA,__const) non-external (was a private external) _CC_crc32_bzip2
00007ff8424cc7b0 (__DATA,__const) non-external (was a private external) _CC_crc32_castagnoli
00007ff8424cc7f0 (__DATA,__const) non-external (was a private external) _CC_crc32_mpeg_2
00007ff8424cc830 (__DATA,__const) non-external (was a private external) _CC_crc32_posix
00007ff8424cc870 (__DATA,__const) non-external (was a private external) _CC_crc32_xfer
00007ff8424cc8f0 (__DATA,__const) non-external (was a private external) _CC_crc64_ecma_182
00007ff8424cca30 (__DATA,__const) non-external (was a private external) _CC_crc8
00007ff8424cc930 (__DATA,__const) non-external (was a private external) _CC_crc8_icode
00007ff8424cc970 (__DATA,__const) non-external (was a private external) _CC_crc8_itu
00007ff8424cc9b0 (__DATA,__const) non-external (was a private external) _CC_crc8_rohc
00007ff8424cc9f0 (__DATA,__const) non-external (was a private external) _CC_crc8_wcdma
00007ff8424ccae0 (__DATA,__const) external _CCrfc3394_iv
00007ff80d930930 (__TEXT,__const) external _CCrfc3394_ivLen
00007ff80d9286ce (__TEXT,__text) non-external (was a private external) _CNBufferCreate
00007ff80d92f970 (__TEXT,__text) non-external (was a private external) _CNBufferEmpty
00007ff80d928c46 (__TEXT,__text) non-external (was a private external) _CNBufferFlushData
00007ff80d928797 (__TEXT,__text) non-external (was a private external) _CNBufferProcessData
00007ff80d928d20 (__TEXT,__text) non-external (was a private external) _CNBufferRelease
00007ff80d928dac (__TEXT,__text) external _CNCRC
00007ff80d92f29e (__TEXT,__text) external _CNCRCDumpTable
00007ff80d92f253 (__TEXT,__text) external _CNCRCFinal
00007ff80d92f16a (__TEXT,__text) external _CNCRCInit
00007ff80d92f1f5 (__TEXT,__text) external _CNCRCRelease
00007ff80d92f202 (__TEXT,__text) external _CNCRCUpdate
00007ff80d92f2f0 (__TEXT,__text) external _CNCRCWeakTest
00007ff80d928425 (__TEXT,__text) external _CNEncode
00007ff80d92f883 (__TEXT,__text) external _CNEncoderBlocksize
00007ff80d92f913 (__TEXT,__text) external _CNEncoderBlocksizeFromRef
00007ff80d9284ce (__TEXT,__text) external _CNEncoderCreate
00007ff80d92fcce (__TEXT,__text) non-external _CNEncoderCreate.cold.1
00007ff80d92fd58 (__TEXT,__text) non-external _CNEncoderCreate.cold.2
00007ff80d92fde2 (__TEXT,__text) non-external _CNEncoderCreate.cold.3
00007ff80d92f356 (__TEXT,__text) external _CNEncoderCreateCustom
00007ff80d928b4f (__TEXT,__text) external _CNEncoderFinal
00007ff80d92f573 (__TEXT,__text) external _CNEncoderGetOutputLength
00007ff80d92f669 (__TEXT,__text) external _CNEncoderGetOutputLengthFromEncoding
00007ff80d928cb6 (__TEXT,__text) external _CNEncoderRelease
00007ff80d92871a (__TEXT,__text) external _CNEncoderUpdate
00007ff80d92bc17 (__TEXT,__text) external _MD5Final
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff80d925ea0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80d92b1c0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
                 (undefined) external __os_crash (from libsystem_c)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
00007ff80d929844 (__TEXT,__text) non-external _adler32_final
00007ff80d9297e1 (__TEXT,__text) non-external _adler32_implementation
00007ff80d92984d (__TEXT,__text) non-external _adler32_oneshot
00007ff80d9298b0 (__TEXT,__text) non-external _adler32_setup
00007ff80d927612 (__TEXT,__text) non-external _ccClearCryptor
00007ff80d927728 (__TEXT,__text) external _ccDRBGGetRngState
00007ff80d92970d (__TEXT,__text) external _ccDevRandomGetRngState
00007ff80d92c305 (__TEXT,__text) non-external _ccECCryptorFree
00007ff80d92c243 (__TEXT,__text) non-external _ccECpairwiseConsistencyCheck
00007ff80d92c136 (__TEXT,__text) non-external _ccMallocECCryptor
00007ff80d92d783 (__TEXT,__text) non-external _ccMallocRSACryptor
00007ff80d92d842 (__TEXT,__text) non-external _ccRSACryptorClear
00007ff80d930920 (__TEXT,__const) non-external _ccRandomDefaultStruct
00007ff80d927ced (__TEXT,__text) non-external _ccSimpleUpdate
00007ff80d92a993 (__TEXT,__text) non-external _cc_alloc
                 (undefined) external _cc_clear (from libcorecrypto)
                 (undefined) external _cc_cmp_safe (from libcorecrypto)
00007ff80d92a9ea (__TEXT,__text) non-external _cc_free
00007ff80d92eb38 (__TEXT,__text) non-external _cc_rc4_crypt_mode
00007ff80d92a9a0 (__TEXT,__text) non-external _cc_realloc
                 (undefined) external _ccaes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccansikdf_x963 (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ofb_crypt_mode (from libcorecrypto)
00007ff80d92eb96 (__TEXT,__text) non-external _cccbc_getiv
00007ff8424ccf30 (__DATA,__const) non-external (was a private external) _cccbc_mode
00007ff80d927dbe (__TEXT,__text) non-external _cccbc_mode_crypt
00007ff80d927c52 (__TEXT,__text) non-external _cccbc_mode_get_block_size
00007ff80d9278f5 (__TEXT,__text) non-external _cccbc_mode_get_ctx_size
00007ff80d92790c (__TEXT,__text) non-external _cccbc_mode_setup
00007ff80d927f49 (__TEXT,__text) non-external _cccbc_setiv
                 (undefined) external _ccccm_cbcmac (from libcorecrypto)
00007ff8424cd160 (__DATA,__const) non-external (was a private external) _ccccm_mode
00007ff80d92ef30 (__TEXT,__text) non-external _ccccm_mode_crypt
00007ff80d92ef56 (__TEXT,__text) non-external _ccccm_mode_done
00007ff80d92eef5 (__TEXT,__text) non-external _ccccm_mode_get_block_size
00007ff80d92eee7 (__TEXT,__text) non-external _ccccm_mode_get_ctx_size
00007ff80d92eeff (__TEXT,__text) non-external _ccccm_mode_setup
                 (undefined) external _ccccm_set_iv (from libcorecrypto)
00007ff8424ccfd0 (__DATA,__const) non-external (was a private external) _cccfb8_mode
00007ff80d92ec40 (__TEXT,__text) non-external _cccfb8_mode_crypt
00007ff80d92ec1a (__TEXT,__text) non-external _cccfb8_mode_get_block_size
00007ff80d92ec11 (__TEXT,__text) non-external _cccfb8_mode_get_ctx_size
00007ff80d92ec24 (__TEXT,__text) non-external _cccfb8_mode_setup
00007ff8424ccf80 (__DATA,__const) non-external (was a private external) _cccfb_mode
00007ff80d92ebed (__TEXT,__text) non-external _cccfb_mode_crypt
00007ff80d92ebc7 (__TEXT,__text) non-external _cccfb_mode_get_block_size
00007ff80d92ebbe (__TEXT,__text) non-external _cccfb_mode_get_ctx_size
00007ff80d92ebd1 (__TEXT,__text) non-external _cccfb_mode_setup
                 (undefined) external _ccchacha20 (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_decrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_encrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_info (from libcorecrypto)
                 (undefined) external _ccckg_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg_init (from libcorecrypto)
                 (undefined) external _ccckg_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_ctx (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_share (from libcorecrypto)
                 (undefined) external _cccmac_final_generate (from libcorecrypto)
                 (undefined) external _cccmac_init (from libcorecrypto)
                 (undefined) external _cccmac_one_shot_generate (from libcorecrypto)
                 (undefined) external _cccmac_update (from libcorecrypto)
00007ff8424cca70 (__DATA,__const) non-external (was a private external) _ccconversionTable
00007ff8424cd020 (__DATA,__const) non-external (was a private external) _ccctr_mode
00007ff80d92ec93 (__TEXT,__text) non-external _ccctr_mode_crypt
00007ff80d92ec6d (__TEXT,__text) non-external _ccctr_mode_get_block_size
00007ff80d92ec64 (__TEXT,__text) non-external _ccctr_mode_get_ctx_size
00007ff80d92ec77 (__TEXT,__text) non-external _ccctr_mode_setup
00007ff80d92ecb7 (__TEXT,__text) non-external _ccctr_setiv
00007ff80d92f06d (__TEXT,__text) non-external _cccts3_decrypt_pad
00007ff80d92f03d (__TEXT,__text) non-external _cccts3_encrypt_pad
00007ff8424cd1f0 (__DATA,__const) non-external (was a private external) _cccts3_pad
00007ff80d92f09d (__TEXT,__text) non-external _cccts3_padlen
00007ff80d92f111 (__TEXT,__text) non-external _cccts3_reserve
                 (undefined) external _ccdes3_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb8_encrypt_mode (from libcorecrypto)
