00007ff841ea7718 (__DATA,__data) non-external _C
00007ff8002eca5f (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff841ea9ef8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff841ea9f00 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff8002eb941 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff8002ebafe (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff8002ec0d1 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff8002bac20 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff8002acf65 (__TEXT,__text) external ___copybits_D2A
00007ff8002d1024 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00007ff8002d0a44 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00007ff841ea95c0 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00007ff841eaa480 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00007ff800306df6 (__TEXT,__text) non-external ___cvt
00007ff841eaa410 (__DATA,__bss) non-external ___cvt.s
00007ff80029c8fb (__TEXT,__text) external ___cxa_atexit
00007ff8002c3a4e (__TEXT,__text) external ___cxa_finalize
00007ff8002c3a86 (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800302df0 (__TEXT,__text) external ___cxa_thread_atexit
00007ff8002a78f0 (__TEXT,__text) external ___d2b_D2A
00007ff843a48198 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00007ff8002de5b2 (__TEXT,__text) non-external ___dberr
00007ff8002de58d (__TEXT,__text) external ___dbpanic
00007ff8002e5250 (__TEXT,__text) external ___decrement_D2A
00007ff841ea7740 (__DATA,__data) external ___default_hash
00007ff80030b8fa (__TEXT,__text) external ___default_utx
00007ff841ea7bc0 (__DATA,__data) non-external ___default_utx.once
00007ff80030b91a (__TEXT,__text) non-external ___default_utx_init
00007ff8002e0954 (__TEXT,__text) external ___delpair
00007ff8002bcf16 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff8002a8a20 (__TEXT,__text) external ___diff_D2A
00007ff843a468b0 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00007ff8002a6a44 (__TEXT,__text) external ___dtoa
00007ff80030ba36 (__TEXT,__text) non-external (was a private external) ___endutxent
00007ff843a481f0 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00007ff800302e5d (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff841eaa3a8 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff8002c9587 (__TEXT,__text) non-external (was a private external) ___errstr
00007ff8002ae5b5 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff8002df156 (__TEXT,__text) external ___expand_table
00007ff841eaa1a0 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff8002aa05f (__TEXT,__text) external ___fflush
00007ff8002f3909 (__TEXT,__text) external ___fgetwc
00007ff8002f5194 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff8002dfb26 (__TEXT,__text) external ___find_bigpair
00007ff8002dfc3f (__TEXT,__text) external ___find_last_page
00007ff8002f66f4 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff80029658a (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff8003184e0 (__TEXT,__const) non-external (was a private external) ___fivesbits_D2A
00007ff8002beb0b (__TEXT,__text) external ___fix_locale_grouping_str
00007ff8002ed6fe (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff8002f3f87 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff8002a426e (__TEXT,__text) external ___fread
00007ff8002e1bbc (__TEXT,__text) external ___free_ovflpage
00007ff8002a7c2f (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
                 (undefined) external ___fstat_extended (from libsystem_kernel)
00007ff841ea7c14 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff8002a9230 (__TEXT,__text) non-external ___fts_open
00007ff800312bd4 (__TEXT,__text) non-external ___fts_open
00007ff8002e3ef4 (__TEXT,__text) external ___gdtoa
00007ff841eaa490 (__DATA,__common) external ___gdtoa_locks
00007ff8002e0326 (__TEXT,__text) external ___get_buf
00007ff8002edc86 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff80029b4fc (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff80029b51f (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff8002bb363 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff8002c5d8a (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff8002e1682 (__TEXT,__text) external ___get_page
00007ff8002c44a0 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff843a48120 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
00007ff8002ce550 (__TEXT,__text) external ___gethex_D2A
                 (undefined) external ___getlogin (from libsystem_kernel)
00007ff8002edca9 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff80030bafa (__TEXT,__text) non-external (was a private external) ___getutxent
00007ff80030be61 (__TEXT,__text) non-external ___getutxid
00007ff8002c8115 (__TEXT,__text) non-external (was a private external) ___gl_compare
00007ff8002c7b51 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00007ff8002e856f (__TEXT,__text) non-external (was a private external) ___gl_g_strchr
00007ff8002c7ef5 (__TEXT,__text) non-external (was a private external) ___gl_globextend
00007ff8002c717d (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00007ff8002c7c5b (__TEXT,__text) non-external (was a private external) ___gl_match
00007ff8002c6bea (__TEXT,__text) non-external ___glob
00007ff800310fca (__TEXT,__text) non-external ___glob
00007ff843a45620 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00007ff8002bace2 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff8002de5c0 (__TEXT,__text) external ___hash_open
00007ff8002ce224 (__TEXT,__text) external ___hdtoa
00007ff8002a5522 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff8003181f0 (__TEXT,__const) external ___hexdig_D2A
00007ff8002e509c (__TEXT,__text) external ___hexdig_init_D2A
00007ff8002e50b0 (__TEXT,__text) external ___hexnan_D2A
00007ff8002aaeeb (__TEXT,__text) external ___hi0bits_D2A
00007ff8002e3c85 (__TEXT,__text) external ___hldtoa
00007ff8002a86c4 (__TEXT,__text) external ___i2b_D2A
00007ff8002e1b04 (__TEXT,__text) external ___ibitmap
00007ff8002f2696 (__TEXT,__text) non-external ___inaddr_to_index
00007ff80031683c (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00007ff8002adea0 (__TEXT,__text) external ___increment_D2A
00007ff800306271 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff8002ee579 (__TEXT,__text) external ___isctype
00007ff8002ee510 (__TEXT,__text) external ___istype
00007ff8002ee657 (__TEXT,__text) external ___istype_l
00007ff843a461f8 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
00007ff843a468a0 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff8002edc72 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00007ff800307214 (__TEXT,__text) external ___ldtoa
00007ff8002d99d7 (__TEXT,__text) external ___libc_init
00007ff8002a7b17 (__TEXT,__text) external ___lo0bits_D2A
00007ff8002ae5e0 (__TEXT,__text) non-external ___loadevp
00007ff843a45be8 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00007ff8002e0938 (__TEXT,__text) external ___log2
00007ff841eaa4b0 (__DATA,__common) non-external (was a private external) ___logname
00007ff841ea7788 (__DATA,__data) non-external (was a private external) ___logname_mutex
00007ff8003192a0 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff8002a891b (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
                 (undefined) external ___lstat_extended (from libsystem_kernel)
00007ff8002aec68 (__TEXT,__text) external ___maskrune
00007ff8002ee603 (__TEXT,__text) external ___maskrune_l
00007ff8002e5213 (__TEXT,__text) external ___match_D2A
00007ff841ea78b4 (__DATA,__data) external ___mb_cur_max
00007ff841ea78b8 (__DATA,__data) external ___mb_sb_limit
00007ff8002fc8f2 (__TEXT,__text) non-external ___mbsconv
00007ff8002edeb2 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff80031519f (__TEXT,__text) external ___memccpy_chk
00007ff80029c2ec (__TEXT,__text) external ___memcpy_chk
00007ff80029cccb (__TEXT,__text) external ___memmove_chk
00007ff8002a6171 (__TEXT,__text) external ___memset_chk
00007ff8002bf0a4 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff841ea9f08 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00007ff8002be3f6 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff841ea9f18 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff8002a87f4 (__TEXT,__text) external ___mult_D2A
00007ff8002a8622 (__TEXT,__text) external ___multadd_D2A
00007ff8002f3655 (__TEXT,__text) non-external ___nls_free_resources
00007ff800318bd1 (__TEXT,__const) non-external ___nogrouping
00007ff8002aaeaa (__TEXT,__text) external ___nrv_alloc_D2A
00007ff8002d6854 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff8002bebb1 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff841ea9f28 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff8002bd6a2 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff80031202f (__TEXT,__text) external ___opendir2
00007ff80029b899 (__TEXT,__text) external ___opendir2$INODE64
00007ff80029ccdd (__TEXT,__text) non-external ___opendir_common
00007ff800312112 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00007ff8002dc391 (__TEXT,__text) external ___ovfl_delete
00007ff8002dc1ca (__TEXT,__text) external ___ovfl_get
00007ff8002dc29f (__TEXT,__text) external ___ovfl_put
00007ff8002aadb2 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff843a48138 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00007ff843a48130 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff843a46688 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff8002be8d9 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff841eaa4b8 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff841ea77c8 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff8002a86e7 (__TEXT,__text) external ___pow5mult_D2A
00007ff8003182f0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff80030aa9b (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff8003170ca (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff8003098e5 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff800316f50 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff8003099cc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff800316f74 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff80030a4d0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff800316fba (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff8002cb652 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff800316fdb (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff80030b0d2 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff800317132 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff80030b0b4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff80030a756 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff80031705e (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff80030a7f7 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff800317081 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff8002cb620 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff8003170a9 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff80030abe9 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff8003170f0 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff80030af2a (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff800317111 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff8002cad23 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff8002cb6cf (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff8002cc630 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff8002f85c3 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff8002cbe3e (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff80030b041 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff8002cbb3f (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff80030aada (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff800309900 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff800309a04 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff800316f97 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff80030a4f3 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff8002cbecc (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff800316ffe (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff80031703b (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff80030b0ed (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff80030b0bc (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff80030a77f (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff80030a812 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff8002cbbb2 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff80030ac04 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff80030af45 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff8002c3e20 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff843a468d0 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff8002e1822 (__TEXT,__text) external ___put_page
00007ff800318cdf (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff80030c0a2 (__TEXT,__text) non-external (was a private external) ___pututxline
00007ff8002aaf57 (__TEXT,__text) external ___quorem_D2A
00007ff8002c199f (__TEXT,__text) external ___ratio_D2A
00007ff8002e23f9 (__TEXT,__text) external ___rec_close
00007ff8002e2704 (__TEXT,__text) external ___rec_delete
00007ff8002e2810 (__TEXT,__text) external ___rec_dleaf
00007ff8002e3183 (__TEXT,__text) external ___rec_fd
00007ff8002e2c60 (__TEXT,__text) external ___rec_fmap
00007ff8002e2a04 (__TEXT,__text) external ___rec_fpipe
00007ff8002e2914 (__TEXT,__text) external ___rec_get
00007ff8002e348c (__TEXT,__text) external ___rec_iput
00007ff8002e2e38 (__TEXT,__text) external ___rec_open
00007ff8002e31d0 (__TEXT,__text) external ___rec_put
00007ff8002e3a28 (__TEXT,__text) external ___rec_ret
00007ff8002e36c9 (__TEXT,__text) external ___rec_search
00007ff8002e3870 (__TEXT,__text) external ___rec_seq
00007ff8002e24b5 (__TEXT,__text) external ___rec_sync
00007ff8002e2d81 (__TEXT,__text) external ___rec_vmap
00007ff8002e2b32 (__TEXT,__text) external ___rec_vpipe
00007ff8002e081d (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff8002adde3 (__TEXT,__text) external ___rshift_D2A
00007ff800318000 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00007ff8002acc47 (__TEXT,__text) non-external (was a private external) ___rvOK_D2A
00007ff8002a7ba0 (__TEXT,__text) external ___rv_alloc_D2A
00007ff8002a854e (__TEXT,__text) external ___s2b_D2A
00007ff843a46200 (__DATA_DIRTY,__data) external ___sF
00007ff843a463d0 (__DATA_DIRTY,__data) non-external ___sFX
00007ff8002ba8de (__TEXT,__text) external ___sclose
00007ff843a46920 (__DATA_DIRTY,__bss) non-external ___scounted
00007ff843a48180 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
