00007ff80e0629b0 (__TEXT,__const) non-external _SHA256_K
00007ff80e05e2b4 (__TEXT,__text) non-external _ia64_code
00007ff80e064bf0 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff80e053381 (__TEXT,__text) non-external _index_cat_helper
00007ff80e055b3b (__TEXT,__text) non-external _index_decode
00007ff80e055e48 (__TEXT,__text) non-external _index_decoder_end
00007ff80e055933 (__TEXT,__text) non-external _index_decoder_init
00007ff80e055e6d (__TEXT,__text) non-external _index_decoder_memconfig
00007ff80e0522df (__TEXT,__text) non-external _index_encode
00007ff80e052bbc (__TEXT,__text) non-external _index_encoder_end
00007ff80e052c24 (__TEXT,__text) non-external _index_stream_end
00007ff80e04ca7b (__TEXT,__text) non-external _index_tree_append
00007ff80e052bc6 (__TEXT,__text) non-external _index_tree_node_end
00007ff80e04d9f4 (__TEXT,__text) non-external _is_options_valid
00007ff80e052749 (__TEXT,__text) non-external _iter_set_info
00007ff80e051da7 (__TEXT,__text) non-external _length
00007ff80e04da35 (__TEXT,__text) non-external _length_encoder_reset
00007ff80e04db03 (__TEXT,__text) non-external _length_update_prices
00007ff80e058b8e (__TEXT,__text) non-external _lz_decode
00007ff80e058cf6 (__TEXT,__text) non-external _lz_decoder_end
00007ff80e04ebe3 (__TEXT,__text) non-external _lz_encode
00007ff80e052b34 (__TEXT,__text) non-external _lz_encoder_end
00007ff80e04dca0 (__TEXT,__text) non-external _lz_encoder_prepare
00007ff80e0580c2 (__TEXT,__text) non-external _lz_encoder_update
00007ff80e05d375 (__TEXT,__text) non-external _lzma2_decode
00007ff80e05d668 (__TEXT,__text) non-external _lzma2_decoder_end
00007ff80e05d24d (__TEXT,__text) non-external _lzma2_decoder_init
00007ff80e04edc4 (__TEXT,__text) non-external _lzma2_encode
00007ff80e052b94 (__TEXT,__text) non-external _lzma2_encoder_end
00007ff80e04d5bd (__TEXT,__text) non-external _lzma2_encoder_init
00007ff80e05d1cd (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff80e05e828 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff80e05e800 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff80e04c960 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff80e054b25 (__TEXT,__text) external _lzma_alone_decoder
00007ff80e05474c (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff80e053794 (__TEXT,__text) external _lzma_alone_encoder
00007ff80e054b81 (__TEXT,__text) external _lzma_auto_decoder
00007ff80e053a2e (__TEXT,__text) external _lzma_block_buffer_bound
00007ff80e054e51 (__TEXT,__text) external _lzma_block_buffer_decode
00007ff80e053a6e (__TEXT,__text) external _lzma_block_buffer_encode
00007ff80e052de2 (__TEXT,__text) external _lzma_block_compressed_size
00007ff80e05531c (__TEXT,__text) external _lzma_block_decoder
00007ff80e054f85 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff80e053fbf (__TEXT,__text) external _lzma_block_encoder
00007ff80e04cf37 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff80e055372 (__TEXT,__text) external _lzma_block_header_decode
00007ff80e04e635 (__TEXT,__text) external _lzma_block_header_encode
00007ff80e04cd9b (__TEXT,__text) external _lzma_block_header_size
00007ff80e052e41 (__TEXT,__text) external _lzma_block_total_size
00007ff80e04e775 (__TEXT,__text) external _lzma_block_unpadded_size
00007ff80e04e5da (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff80e056faf (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff80e04d08d (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff80e04d06f (__TEXT,__text) external _lzma_check_is_supported
00007ff80e05e960 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff80e051f78 (__TEXT,__text) external _lzma_check_size
00007ff80e05e970 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff80e04f863 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff80e04e080 (__TEXT,__text) external _lzma_code
00007ff80e04cb5f (__TEXT,__text) external _lzma_crc32
00007ff80e05e980 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff80e056fd6 (__TEXT,__text) external _lzma_crc64
00007ff80e060980 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff80e0593da (__TEXT,__text) non-external _lzma_decode
00007ff80e064af0 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff80e05d00b (__TEXT,__text) non-external _lzma_decoder_init
00007ff80e05cd74 (__TEXT,__text) non-external _lzma_decoder_reset
00007ff80e05cfed (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff80e05d68d (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff80e05d7d8 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff80e05d97d (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff80e05d80c (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff80e05da08 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff80e05d94f (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff80e054015 (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff80e055577 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff80e04c4e0 (__TEXT,__text) external _lzma_easy_encoder
00007ff80e054086 (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff80e04c529 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff80e058f7c (__TEXT,__text) non-external _lzma_encode
00007ff80e058e95 (__TEXT,__text) non-external _lzma_encoder_init
00007ff80e052a48 (__TEXT,__text) external _lzma_end
00007ff80e062af0 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff80e055723 (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff80e0541b2 (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff80e055845 (__TEXT,__text) external _lzma_filter_flags_decode
00007ff80e04e7ee (__TEXT,__text) external _lzma_filter_flags_encode
00007ff80e04ce7c (__TEXT,__text) external _lzma_filter_flags_size
00007ff80e04def6 (__TEXT,__text) external _lzma_filters_copy
00007ff80e0541e1 (__TEXT,__text) external _lzma_filters_update
00007ff80e05e926 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff80e04dece (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff80e052ced (__TEXT,__text) external _lzma_get_check
00007ff80e05e920 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff80e051f95 (__TEXT,__text) external _lzma_index_append
00007ff80e052580 (__TEXT,__text) external _lzma_index_block_count
00007ff80e055a23 (__TEXT,__text) external _lzma_index_buffer_decode
00007ff80e054370 (__TEXT,__text) external _lzma_index_buffer_encode
00007ff80e05316c (__TEXT,__text) external _lzma_index_cat
00007ff80e053097 (__TEXT,__text) external _lzma_index_checks
00007ff80e0558d8 (__TEXT,__text) external _lzma_index_decoder
00007ff80e0533e5 (__TEXT,__text) external _lzma_index_dup
00007ff80e05431a (__TEXT,__text) external _lzma_index_encoder
00007ff80e052218 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff80e04c992 (__TEXT,__text) external _lzma_index_end
00007ff80e053015 (__TEXT,__text) external _lzma_index_file_size
00007ff80e055f6e (__TEXT,__text) external _lzma_index_hash_append
00007ff80e0560c6 (__TEXT,__text) external _lzma_index_hash_decode
00007ff80e055f3a (__TEXT,__text) external _lzma_index_hash_end
00007ff80e055ec0 (__TEXT,__text) external _lzma_index_hash_init
00007ff80e055f44 (__TEXT,__text) external _lzma_index_hash_size
00007ff80e04c9cb (__TEXT,__text) external _lzma_index_init
00007ff80e0522bf (__TEXT,__text) external _lzma_index_iter_init
00007ff80e053653 (__TEXT,__text) external _lzma_index_iter_locate
00007ff80e05258a (__TEXT,__text) external _lzma_index_iter_next
00007ff80e05363c (__TEXT,__text) external _lzma_index_iter_rewind
00007ff80e052f09 (__TEXT,__text) external _lzma_index_memusage
00007ff80e052f6e (__TEXT,__text) external _lzma_index_memused
00007ff80e05296f (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff80e052eee (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff80e052999 (__TEXT,__text) external _lzma_index_size
00007ff80e052fce (__TEXT,__text) external _lzma_index_stream_count
00007ff80e0530b0 (__TEXT,__text) external _lzma_index_stream_flags
00007ff80e05310b (__TEXT,__text) external _lzma_index_stream_padding
00007ff80e052fe1 (__TEXT,__text) external _lzma_index_stream_size
00007ff80e052fd7 (__TEXT,__text) external _lzma_index_total_size
00007ff80e05308d (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff80e0589f6 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff80e058d46 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff80e058d53 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
00007ff80e04d3d9 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff80e05805a (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff80e05d23c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff80e05d2f7 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff80e04d3c8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff80e05d1b3 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff80e05d308 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff80e04e96d (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff80e059364 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff80e05cffa (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff80e05d0c7 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff80e05d0b4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff80e04f1b4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff80e04d6dd (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff80e058e84 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff80e058eaa (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff80e04d7e8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff80e05d069 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff80e051f3e (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff80e058f99 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff80e04fccc (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff80e04c560 (__TEXT,__text) external _lzma_lzma_preset
00007ff80e05d0fe (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff80e058f24 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff80e052d4f (__TEXT,__text) external _lzma_memlimit_get
00007ff80e052d96 (__TEXT,__text) external _lzma_memlimit_set
00007ff80e052d08 (__TEXT,__text) external _lzma_memusage
00007ff80e05868d (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff80e058721 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff80e05879d (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff80e0588f2 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff80e051733 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff80e04f8c1 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff80e0516a8 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff80e058144 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff80e05837c (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff80e058407 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff80e0585e1 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff80e05811d (__TEXT,__text) external _lzma_mf_is_supported
00007ff80e058f69 (__TEXT,__text) external _lzma_mode_is_supported
00007ff80e04c8ef (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff80e04d369 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff80e052cbd (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff80e052ee4 (__TEXT,__text) external _lzma_physmem
00007ff80e055807 (__TEXT,__text) external _lzma_properties_decode
00007ff80e04e939 (__TEXT,__text) external _lzma_properties_encode
00007ff80e04cecd (__TEXT,__text) external _lzma_properties_size
00007ff80e0555b0 (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff80e0540bf (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff80e04d0ce (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff80e052e5c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff80e05578f (__TEXT,__text) external _lzma_raw_decoder
00007ff80e05577b (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff80e0557f3 (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff80e0542b3 (__TEXT,__text) external _lzma_raw_encoder
00007ff80e04d0b7 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff80e05429f (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff80e064b20 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff80e057f71 (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
00007ff80e0570b6 (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
00007ff80e062990 (__TEXT,__const) non-external _lzma_sha256_init.s
00007ff80e0570da (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
00007ff80e05e501 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff80e05e4de (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff80e05e5c8 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff80e05e5a5 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff80e05da4e (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff80e05e291 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff80e05e26e (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff80e05e192 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff80e05e16f (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff80e05df1c (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff80e05df07 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff80e05deed (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff80e05e6c8 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff80e05e6a5 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff80e05dfd7 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007ff80e05df7f (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff80e054458 (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff80e056458 (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff80e054481 (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff80e056cfc (__TEXT,__text) external _lzma_stream_decoder
00007ff80e0565c8 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff80e04c689 (__TEXT,__text) external _lzma_stream_encoder
00007ff80e04c77c (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
00007ff80e05370f (__TEXT,__text) external _lzma_stream_flags_compare
00007ff80e056ddd (__TEXT,__text) external _lzma_stream_footer_decode
00007ff80e0529c3 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff80e056d57 (__TEXT,__text) external _lzma_stream_header_decode
00007ff80e04cb01 (__TEXT,__text) external _lzma_stream_header_encode
00007ff80e04c6e4 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff80e052ca4 (__TEXT,__text) external _lzma_version_number
00007ff80e052caf (__TEXT,__text) external _lzma_version_string
00007ff80e056e53 (__TEXT,__text) external _lzma_vli_decode
00007ff80e04e88f (__TEXT,__text) external _lzma_vli_encode
00007ff80e04cf18 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
00007ff80e051b65 (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff80e04faae (__TEXT,__text) non-external _move_pos
00007ff80e0589bd (__TEXT,__text) non-external _normalize
00007ff80e05e1b5 (__TEXT,__text) non-external _powerpc_code
00007ff80e057142 (__TEXT,__text) non-external _process
00007ff80e04fadb (__TEXT,__text) non-external _rc_encode
00007ff80e05dbaf (__TEXT,__text) non-external _simple_code
00007ff80e05de28 (__TEXT,__text) non-external _simple_coder_end
00007ff80e05de55 (__TEXT,__text) non-external _simple_coder_update
00007ff80e05e6eb (__TEXT,__text) non-external _sparc_code
00007ff80e056729 (__TEXT,__text) non-external _stream_decode
00007ff80e056c84 (__TEXT,__text) non-external _stream_decoder_end
00007ff80e056cb8 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff80e056cc4 (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff80e04e2df (__TEXT,__text) non-external _stream_encode
00007ff80e05e940 (__TEXT,__const) non-external _stream_encode.convert
00007ff80e052aa0 (__TEXT,__text) non-external _stream_encoder_end
00007ff80e04cc9b (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
00007ff80e052c3b (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00007ff80e04d28d (__TEXT,__text) non-external _validate_chain
00007ff80e05dfe3 (__TEXT,__text) non-external _x86_code
00007ff80e064ba0 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00007ff80e05df8e (__TEXT,__text) non-external _x86_coder_init
