00000002266284a8 (__TEXT,__text) non-external _DiToMD5
000000022661801c (__TEXT,__text) external _OSCreateSerializationFromObject
0000000226616220 (__TEXT,__text) external _OSDataAppendBytes
000000022663c1b8 (__TEXT,__text) non-external _OSDataAppendBytes.cold.1
0000000226616168 (__TEXT,__text) external _OSDataCreate
000000022663c18c (__TEXT,__text) non-external _OSDataCreate.cold.1
00000002266160fc (__TEXT,__text) external _OSDataGetBytes
00000002266160b0 (__TEXT,__text) external _OSDataGetBytesPtr
00000002266160ec (__TEXT,__text) external _OSDataGetLength
000000029ac44d10 (__AUTH_CONST,__const) external _OSData_Class
0000000226616434 (__TEXT,__text) external _OSDictionaryApply
00000002266163a8 (__TEXT,__text) external _OSDictionaryCreate
000000022661641c (__TEXT,__text) external _OSDictionaryGetCount
0000000226616c08 (__TEXT,__text) external _OSDictionaryGetStringValue
0000000226616e10 (__TEXT,__text) external _OSDictionaryGetUInt64Value
0000000226616b68 (__TEXT,__text) external _OSDictionaryGetValue
0000000226616d8c (__TEXT,__text) external _OSDictionarySetStringValue
0000000226616ed8 (__TEXT,__text) external _OSDictionarySetUInt64Value
0000000226616794 (__TEXT,__text) external _OSDictionarySetValue
000000029ac44e08 (__AUTH_CONST,__const) external _OSDictionary_Class
000000029ac44f00 (__AUTH_CONST,__const) external _OSMappedFile_Class
0000000226616328 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
0000000226616300 (__TEXT,__text) external _OSNumberGetUInt64Value
000000029ac44ff8 (__AUTH_CONST,__const) external _OSNumber_Class
0000000226618734 (__TEXT,__text) external _OSObjectLog
0000000226614eb0 (__TEXT,__text) external _OSObjectRelease
0000000226614e8c (__TEXT,__text) external _OSObjectRetain
000000029ac450f0 (__AUTH_CONST,__const) external _OSObject_Class
000000029ac452a0 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000002266084e4 (__TEXT,__text) external _OSReportWithBacktrace
00000002266182a4 (__TEXT,__text) external _OSSerializationGetBytes
000000029ac45398 (__AUTH_CONST,__const) external _OSSerialization_Class
000000029ac45490 (__AUTH_CONST,__const) external _OSSet_Class
0000000226615a78 (__TEXT,__text) external _OSStringCreate
000000022663c058 (__TEXT,__text) non-external _OSStringCreate.cold.1
000000022663c084 (__TEXT,__text) non-external _OSStringCreate.cold.2
000000022663c0b0 (__TEXT,__text) non-external _OSStringCreate.cold.3
0000000226615a24 (__TEXT,__text) external _OSStringGetLength
00000002266159e8 (__TEXT,__text) external _OSStringGetStringPtr
000000029ac45588 (__AUTH_CONST,__const) external _OSString_Class
0000000226607fb4 (__TEXT,__text) external _OSSynchronizeIO
0000000298f73ed8 (__DATA_DIRTY,__bss) non-external _OSUniqueStrings
00000002266088c8 (__TEXT,__text) external _PE_i_can_has_debugger
00000002266289a0 (__TEXT,__text) external _SHA1Final
0000000226628728 (__TEXT,__text) external _SHA1Init
0000000226628928 (__TEXT,__text) non-external _SHA1ToDi
0000000226628850 (__TEXT,__text) external _SHA1Update
0000000226629498 (__TEXT,__text) external _SHA256_Final
00000002266293f8 (__TEXT,__text) external _SHA256_Init
000000022663d13c (__TEXT,__text) non-external _SHA256_Init.cold.1
0000000226629448 (__TEXT,__text) external _SHA256_Update
000000022662957c (__TEXT,__text) external _SHA384_Final
00000002266294dc (__TEXT,__text) external _SHA384_Init
000000022663d164 (__TEXT,__text) non-external _SHA384_Init.cold.1
000000022662952c (__TEXT,__text) external _SHA384_Update
0000000226629660 (__TEXT,__text) external _SHA512_Final
00000002266295c0 (__TEXT,__text) external _SHA512_Init
000000022663d18c (__TEXT,__text) non-external _SHA512_Init.cold.1
0000000226629610 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
0000000226609570 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000002266296a4 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
000000029ac45680 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
0000000294b54c40 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000002266098e8 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
000000022663a43c (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
000000022660b6f8 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
000000022663ac04 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
000000022663ac30 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
000000022663ac5c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
000000022663ac88 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
000000022663acb4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
000000022660a4ec (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
000000022663a810 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
000000022663a83c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
000000022663a868 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
000000022663a894 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
0000000226609c18 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
000000022663a4ec (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
0000000226617480 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
000000022661a658 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
000000022660973c (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
000000022663a3b8 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
000000022663a3e4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
000000022663a410 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000002266175f4 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000002266176a4 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
0000000226617620 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
000000022660995c (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
0000000226617aa8 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
000000022663c4d0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
000000022663c4fc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
000000022663c528 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
000000022663c554 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
000000022663c580 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
000000022663c5ac (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
0000000226607b18 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
0000000226607c6c (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
0000000226609f54 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
000000022663a544 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
000000022660a0c8 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
000000022660bb44 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000002266096a8 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000002266095e8 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000002266182c0 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
000000022663c65c (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
0000000226609b28 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
000000022663a494 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
000000022663a4c0 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
0000000226614f5c (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
000000022663bf50 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
0000000226614ed4 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
000000022663bef8 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
0000000226606a84 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
0000000226616048 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
0000000226617750 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
000000022663c268 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
000000022663c294 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
000000022663c2c0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
000000022663c2ec (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
000000022663c318 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
0000000226616010 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000002266162dc (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
0000000226617894 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
000000022663c344 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
000000022663c370 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
000000022663c39c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
000000022660baf4 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
000000022660afa0 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
0000000226638bd0 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000002266079e8 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
0000000226608db0 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
000000022663a334 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
0000000226614918 (__TEXT,__text) non-external __ZL10uiomessagePv
00000002266389e0 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
000000022661981c (__TEXT,__text) non-external __ZL11OSSetCreatev
000000022663ddc0 (__TEXT,__const) non-external __ZL11yytranslate
000000022663a080 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000002266382ec (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
0000000226638ad0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
0000000226638d28 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
0000000226638d90 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
0000000226615dc4 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
0000000226615d74 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
000000022663c0dc (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
000000022663954c (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
0000000226629c4c (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
000000022662f74c (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
0000000226613200 (__TEXT,__text) non-external __ZL13IOThreadStartPv
000000022663bbe0 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
000000022663bc0c (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
000000022663bc38 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
0000000226638a68 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
000000022662f544 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
000000022660d2e4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
000000022663b4d4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
000000022663b500 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
000000022663b52c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
000000022663b558 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
000000022662c728 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
000000022662f224 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
0000000226637bf4 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
0000000226638b68 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
000000022660b934 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
000000022663ae14 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
000000022663ae40 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
000000022663ae6c (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
000000022663ae98 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
000000022660c7e8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
000000022663b258 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
000000022663b298 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
000000022663b2c4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
000000022663b2f0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
0000000226614318 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
000000022663bd14 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
000000022663bd40 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
000000022663bd6c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
000000022663bd98 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
000000022663bdc4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
000000022663bdf0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
000000022663be1c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
0000000294b54c58 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
0000000226629d3c (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
000000022663633c (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
000000022663737c (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
0000000226638b38 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000002266142b0 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
000000022660b7dc (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
000000022663ace0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
000000022663ad0c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
000000022663ad38 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
000000022663ad64 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
000000022663ad90 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.5
000000022663adbc (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.6
