00000001c6a787e0 (__TEXT,__text) non-external +[Cube initialize]
00000001c6a83d8c (__TEXT,__text) non-external +[DDXMLNode nodeWithPrimitive:]
00000001c6a83f7c (__TEXT,__text) non-external +[DDXMLNode nodeWithPrimitive:nsParent:]
00000001c6a85064 (__TEXT,__text) non-external +[DDXMLNode prefixForName:]
00000001c6a83c54 (__TEXT,__text) non-external +[DDXMLNode processingInstructionWithName:stringValue:]
00000001c6a85570 (__TEXT,__text) non-external +[DDXMLNode recursiveStripDocPointersFromNode:]
00000001c6a8577c (__TEXT,__text) non-external +[DDXMLNode removeAllAttributesFromNode:]
00000001c6a85a00 (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromDoc:]
00000001c6a859b4 (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromNode:]
00000001c6a858a4 (__TEXT,__text) non-external +[DDXMLNode removeAllNamespacesFromNode:]
00000001c6a85730 (__TEXT,__text) non-external +[DDXMLNode removeAttribute:fromNode:]
00000001c6a85970 (__TEXT,__text) non-external +[DDXMLNode removeChild:fromNode:]
00000001c6a85858 (__TEXT,__text) non-external +[DDXMLNode removeNamespace:fromNode:]
00000001c6a85554 (__TEXT,__text) non-external +[DDXMLNode stripDocPointersFromAttr:]
00000001c6a83d2c (__TEXT,__text) non-external +[DDXMLNode textWithStringValue:]
00000001c69b8a90 (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00000001c69b7610 (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00000001c69b97dc (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00000001c69bb4fc (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00000001c69bbc64 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00000001c69bbc6c (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00000001c69bcc68 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00000001c69bcc70 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00000001c69bbf90 (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00000001c69bd608 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00000001c69bd640 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00000001c69bdafc (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00000001c69bf0c0 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00000001c69bf3a4 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00000001c69bf328 (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00000001c69bfe00 (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00000001c69b93e8 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00000001c69c1088 (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00000001c69b832c (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00000001c69b8378 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00000001c69c2f20 (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00000001c69c808c (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00000001c69c9610 (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00000001c69bb1c8 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00000001c69ba658 (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00000001c69bae40 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00000001c69babb8 (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00000001c69cea54 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00000001c69ce7d8 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00000001c69ce5b0 (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00000001c69ce45c (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00000001c69ce3b4 (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00000001c69ce514 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00000001c69ce338 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00000001c69ce1a4 (__TEXT,__text) non-external +[MCObjectBase initialize]
00000001c69ce9a4 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00000001c69cf524 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00000001c69d1cb8 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00000001c69d63d8 (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00000001c69d6c58 (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00000001c69db92c (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00000001c69b9acc (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00000001c69ba384 (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00000001c69b9e2c (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00000001c69ba0b0 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00000001c69e4cc0 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00000001c69e550c (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00000001c69e3a28 (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00000001c69e3ac0 (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00000001c69e3920 (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00000001c69e4afc (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00000001c69e3a9c (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00000001c69e3a04 (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00000001c69e37d4 (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00000001c69e3990 (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00000001c69e3c84 (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00000001c69e3ea4 (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00000001c69e3f84 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00000001c69e45f4 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00000001c69e3d58 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00000001c69e3878 (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00000001c69b8e78 (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00000001c6a4b8e4 (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00000001c6a4b648 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00000001c6a4c630 (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00000001c6a4c980 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00000001c6a4b3c0 (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00000001c69dce88 (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00000001c69dd060 (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00000001c69dd7c8 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00000001c69dd8a0 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00000001c69dd8b8 (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00000001c69dd698 (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00000001c69dda14 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00000001c69ddcec (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00000001c69ddc7c (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00000001c6a3fd7c (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00000001c6a3fd18 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00000001c6a3fca4 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00000001c69dea64 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00000001c69de9e8 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00000001c6a30614 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00000001c6a30598 (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00000001c6a9a7d8 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00000001c6a9a740 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00000001c6a9c69c (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00000001c6a9c604 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00000001c687bac0 (__TEXT,__text) non-external +[MPAction action]
00000001c687bab8 (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00000001c687e2b4 (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00000001c687e2e4 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00000001c687ce00 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00000001c687cdf8 (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00000001c687ef8c (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00000001c6881838 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00000001c6881cfc (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00000001c6881d44 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00000001c6881cf4 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00000001c6882164 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00000001c68821bc (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00000001c688215c (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00000001c68835cc (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00000001c6883574 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00000001c688356c (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00000001c68830b8 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00000001c6883108 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00000001c68830b0 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00000001c6884350 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00000001c68842dc (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00000001c688442c (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00000001c68847c0 (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00000001c68847b8 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00000001c6884a20 (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00000001c6884a18 (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00000001c6885264 (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00000001c688525c (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00000001c687c8e0 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00000001c687c8d8 (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00000001c6887a74 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00000001c6887a68 (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00000001c686b398 (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00000001c688846c (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00000001c688873c (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00000001c6888624 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00000001c68888f4 (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00000001c68888c4 (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00000001c68888ec (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00000001c688a2ec (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00000001c688a280 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00000001c68b118c (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00000001c68b3614 (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00000001c68b1bd8 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00000001c68b3dbc (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00000001c68b0a14 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00000001c68b09cc (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00000001c68b0a5c (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00000001c68b13f0 (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00000001c68b3aa8 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00000001c68b3b1c (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00000001c68b13a0 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00000001c68b39c0 (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00000001c68b33d4 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00000001c68b30c0 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00000001c68b169c (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00000001c68b17e4 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00000001c68b1d44 (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00000001c68b2f50 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00000001c68b1220 (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00000001c68b0b2c (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00000001c68b0aa0 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00000001c68b3884 (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00000001c68b3fd0 (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00000001c68b1568 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00000001c68b0efc (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00000001c68b2eac (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00000001c68b1c18 (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00000001c68b1740 (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00000001c68b280c (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00000001c68b2920 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00000001c68b28b4 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00000001c68b3584 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00000001c68b3898 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00000001c68b1b18 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00000001c68b3da8 (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00000001c68b2420 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00000001c68b070c (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00000001c68b1e34 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00000001c68b1f84 (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00000001c68b2288 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00000001c68b3d24 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00000001c68b3efc (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00000001c68b0df4 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00000001c68b0e78 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00000001c68b0d80 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00000001c68b0f80 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00000001c68b0b94 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00000001c68b1010 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00000001c68b0c7c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00000001c68b0d0c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00000001c68b1cb0 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00000001c68b261c (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00000001c68b1098 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00000001c68b2990 (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00000001c68b2adc (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00000001c68b0988 (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00000001c68b1614 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00000001c68b1308 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00000001c68b36d4 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00000001c68b1264 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00000001c68b2848 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00000001c68b3ca0 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00000001c68b14c4 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00000001c68b0c40 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00000001c68b2240 (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00000001c68b2c94 (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00000001c68b2d40 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00000001c68b21fc (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00000001c68b2bec (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00000001c68b2e70 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00000001c68b3fec (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00000001c68b31a0 (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00000001c68b2b84 (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00000001c68b20b0 (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00000001c68b1ee0 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00000001c68b2e2c (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00000001c68b3808 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00000001c68b32b8 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00000001c68b3208 (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00000001c68b3a34 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00000001c68b3658 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00000001c68b2494 (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00000001c68b1b5c (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00000001c68b3744 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00000001c68b3ecc (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00000001c68b378c (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00000001c68b3008 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00000001c68b1d8c (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00000001c68b13a8 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00000001c68b348c (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00000001c68b3920 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00000001c68b2158 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00000001c68b3b90 (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00000001c68b24fc (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00000001c68b2764 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00000001c68b26b8 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00000001c68b256c (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
00000001c68b35cc (__TEXT,__text) non-external +[MPAuthoringUtilities shouldDuckMoviesFromOptions:]
00000001c68b0950 (__TEXT,__text) non-external +[MPAuthoringUtilities styleFromOptions:]
00000001c68b3870 (__TEXT,__text) non-external +[MPAuthoringUtilities subtitlesFromOptions:]
00000001c68b2324 (__TEXT,__text) non-external +[MPAuthoringUtilities titleEffectFromOptions:]
00000001c68b188c (__TEXT,__text) non-external +[MPAuthoringUtilities transitionDurationFromOptions:]
00000001c68b1e48 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionListFromOptions:]
00000001c68b083c (__TEXT,__text) non-external +[MPAuthoringUtilities urlsFromPaths:]
