00007ffa056b097a (__TEXT,__text) non-external +[NFPromise new]
00007ffa056b0217 (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa056b0011 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa056b0221 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa056b018b (__TEXT,__text) non-external -[NFLazy reset]
00007ffa056b00bd (__TEXT,__text) non-external -[NFLazy value]
00007ffa056b495c (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa056b42b1 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa056b4948 (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa056b4416 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa056b4952 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa056b42a8 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa056b47ae (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa056b41da (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa056b460e (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa056b4329 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa056b43a1 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa056b44a4 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa056b35c7 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa056b3536 (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa056b3522 (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa056b364f (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa056b3601 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa056b365d (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa056ad6cf (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa056ad541 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa056ad682 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa056ad6b6 (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa056ad69d (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa056ad68c (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa056ad6c0 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa056ad6a7 (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa056b1ba6 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa056b0ad6 (__TEXT,__text) non-external -[NFPromise always:]
00007ffa056b10f0 (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa056b0a18 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa056b1a5f (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa056b198d (__TEXT,__text) non-external -[NFPromise delay]
00007ffa056b0a97 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa056b105b (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa056b1510 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa056b1453 (__TEXT,__text) non-external -[NFPromise error]
00007ffa056b0996 (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa056b06fc (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa056b08f8 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa056b05b7 (__TEXT,__text) non-external -[NFPromise init]
00007ffa056b1349 (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa056b1249 (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa056b17b2 (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa056b157a (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa056b1b8b (__TEXT,__text) non-external -[NFPromise seal]
00007ffa056b1b95 (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa056b0a58 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa056b0b15 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa056b11df (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa056b1178 (__TEXT,__text) non-external -[NFPromise then]
00007ffa056b2ff5 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa056b2968 (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa056b25b1 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa056b5390 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa056b5457 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa056b2fa1 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa056b2fd0 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa056b253e (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa056b24cb (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa056b244e (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa056b2feb (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa056b2ac8 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa056b26c4 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa056b26ad (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa056b26e1 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa056b2c3b (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa056b551e (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa056b2fab (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa056b2fda (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa056b2fc6 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa056b2f90 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa056b2fbc (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa056b2f86 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa056b34ef (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa056b33d4 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa056b32d3 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa056b34d4 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa056b348a (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa056b3299 (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa056b30fe (__TEXT,__text) non-external -[NFReachability init]
00007ffa056b34b9 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa056b349e (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa056b34de (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa056b3494 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa056b34c3 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa056b34a8 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa056aff1d (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa056aef75 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa056aeef7 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa056af1ba (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa056b5202 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa056af08f (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa056b513b (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa056af041 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa056aefc3 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa056aee03 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa056aed65 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa056afed3 (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa056af2e5 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa056aec1a (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa056afeee (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa056afe91 (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa056afedd (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa056afef8 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa056afea7 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa056afe80 (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa056afec2 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa056afe6c (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa056aff13 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa056afe76 (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa056afeb8 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa056aff09 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa056afe62 (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa056b3a66 (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa056b383d (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa056b3a32 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa056b3a4d (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa056b3923 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa056b3722 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa056b366b (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa056b3766 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa056b39fe (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa056b3903 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa056b3a3c (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa056b3a57 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa056b3a08 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa056b3a21 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa056b3a17 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa056b3dd1 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa056b3d54 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa056b3c2a (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa056b3db8 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa056b3d9f (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa056b3b0f (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa056b3aa4 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa056b3b53 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa056b3d3b (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa056b3c9b (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa056b3d1b (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa056b3cdb (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa056b3cfb (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa056b3cbb (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa056b3d5e (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa056b3dc2 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa056b3da9 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa056b3d45 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa056b3d90 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa056b3d77 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa056b3d86 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa056b3d6d (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa056b3e25 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa056b40ff (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa056b4024 (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa056b3f7d (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa056b3ed6 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa056ad4f8 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa056ad4dd (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa056ad388 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa056ad48c (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa056ad4a7 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa056ad286 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa056ad4e7 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa056ad496 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa056ad4b1 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa056ad47b (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa056ad4cc (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa056ad471 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa056ad4c2 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa056ad1b3 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa056ad1fc (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa056ad267 (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa056ad210 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa056ad278 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa056b1bc1 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa056aeba2 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa056b035c (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa056b21b9 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa056b22b8 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa056aff64 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa056b4ac0 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa056b6f94 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa056b6ff0 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa056ae92e (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa056b4c58 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa41fc55c8 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa41fc55d0 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa056b4b4a (__TEXT,__text) external _NFDeviceIsA7
00007ffa056b4b52 (__TEXT,__text) external _NFDeviceIsA8
00007ffa056b4c3d (__TEXT,__text) external _NFDeviceModelString
00007ffa056b4c22 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa056b4b5a (__TEXT,__text) external _NFDevicePlatform
00007ffa41a6a498 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa41a6a490 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa056b4c15 (__TEXT,__text) external _NFGeneralDeviceString
00007ffa056ad100 (__TEXT,__text) external _NFInternalBuild
00007ffa41fc55c0 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00007ffa41a6a450 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa056b3033 (__TEXT,__text) external _NFLockSync
00007ffa056b2391 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa056ad144 (__TEXT,__text) external _NFSeedBuild
00007ffa4056e4c8 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa056ad14c (__TEXT,__text) external _NFStoreDemoMode
00007ffa41a6a458 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa41fc55c1 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa056b6330 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa056b62f0 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa41fc52b8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa41a6a180 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa41a6a1a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa41a6a220 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa41a6a400 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa41a6a3b0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa41fc5240 (__DATA,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa41a6a270 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa41a6a310 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa41a6a360 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa41fc52e0 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa41fc5330 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa41fc5380 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa41fc51f0 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa41a6a130 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa41a6a2e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa41fc50b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa41fc50b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00007ffa41fc50e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00007ffa41fc50d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00007ffa41fc50c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00007ffa41fc50c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00007ffa41fc50d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00007ffa41fc5128 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00007ffa41fc5130 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00007ffa41fc5120 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00007ffa41fc51e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00007ffa41fc51e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00007ffa41fc5188 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00007ffa41fc5098 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00007ffa41fc50a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00007ffa41fc50a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
00007ffa41fc5138 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00007ffa41fc5148 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
