00007ff81890124a (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff8189079db (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
00007ff818901590 (__TEXT,__text) non-external -[CalAlarm setUrl:]
00007ff81890237f (__TEXT,__text) non-external -[CalAlarm sound]
00007ff8189072bf (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
00007ff8189079d1 (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
00007ff818902369 (__TEXT,__text) non-external -[CalAlarm url]
00007ff818902f28 (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
00007ff818902930 (__TEXT,__text) non-external -[CalAttendee address]
00007ff818902946 (__TEXT,__text) non-external -[CalAttendee commonName]
00007ff818902e9b (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
00007ff818902856 (__TEXT,__text) non-external -[CalAttendee description]
00007ff818902f0d (__TEXT,__text) non-external -[CalAttendee ekParticipant]
00007ff818902bab (__TEXT,__text) non-external -[CalAttendee hash]
00007ff818902b19 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00007ff818902bc1 (__TEXT,__text) non-external -[CalAttendee isEqual:]
00007ff818902f17 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00007ff81890295c (__TEXT,__text) non-external -[CalAttendee status]
00007ff818907137 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00007ff818902184 (__TEXT,__text) non-external -[CalCalendar color]
00007ff8189070b2 (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00007ff818901fe2 (__TEXT,__text) non-external -[CalCalendar description]
00007ff81890711c (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00007ff818906be9 (__TEXT,__text) non-external -[CalCalendar hash]
00007ff818906b57 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00007ff818906a5c (__TEXT,__text) non-external -[CalCalendar init]
00007ff8189002c2 (__TEXT,__text) non-external -[CalCalendar isEditable]
00007ff818906bff (__TEXT,__text) non-external -[CalCalendar isEqual:]
00007ff818902139 (__TEXT,__text) non-external -[CalCalendar notes]
00007ff8189002ac (__TEXT,__text) non-external -[CalCalendar setColor:]
00007ff818907126 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00007ff818900296 (__TEXT,__text) non-external -[CalCalendar setNotes:]
00007ff818900280 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00007ff818902123 (__TEXT,__text) non-external -[CalCalendar title]
00007ff81890219a (__TEXT,__text) non-external -[CalCalendar type]
00007ff8189008c0 (__TEXT,__text) non-external -[CalCalendar uid]
00007ff81890b436 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00007ff818901345 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00007ff81890a4b0 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00007ff818901ccc (__TEXT,__text) non-external -[CalCalendarItem alarms]
00007ff818901c62 (__TEXT,__text) non-external -[CalCalendarItem calendar]
00007ff81890b396 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00007ff818901c0a (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00007ff818901a95 (__TEXT,__text) non-external -[CalCalendarItem description]
00007ff81890b400 (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00007ff81890a492 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00007ff81890b380 (__TEXT,__text) non-external -[CalCalendarItem hash]
00007ff81890a346 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00007ff81890a929 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00007ff81890a4a8 (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00007ff818901c36 (__TEXT,__text) non-external -[CalCalendarItem notes]
00007ff81890a5da (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00007ff81890a62a (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00007ff81890a754 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00007ff818901439 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00007ff81890b40a (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00007ff8189009be (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00007ff8189008d6 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00007ff81890b425 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00007ff8189009d4 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00007ff81890b08e (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00007ff818901c20 (__TEXT,__text) non-external -[CalCalendarItem title]
00007ff818901bf4 (__TEXT,__text) non-external -[CalCalendarItem uid]
00007ff81890b41b (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00007ff818901c4c (__TEXT,__text) non-external -[CalCalendarItem url]
00007ff818906a33 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00007ff818904d38 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00007ff818904d4c (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00007ff8189031d8 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00007ff8188fff4b (__TEXT,__text) non-external -[CalCalendarStore calendars]
00007ff8189031cd (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00007ff818903b79 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00007ff818906a18 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00007ff8189032b7 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00007ff81890063c (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00007ff818904f72 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00007ff8189036b7 (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00007ff818902f87 (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00007ff818902f4c (__TEXT,__text) non-external -[CalCalendarStore init]
00007ff81890574c (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00007ff818904199 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00007ff818904a97 (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00007ff818905086 (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00007ff818903b95 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00007ff8189045b0 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00007ff818906a22 (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00007ff8189035d8 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00007ff8189033b4 (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00007ff8189084f5 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00007ff818902637 (__TEXT,__text) non-external -[CalEvent attendees]
00007ff818901862 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00007ff8189018f3 (__TEXT,__text) non-external -[CalEvent description]
00007ff818907ae1 (__TEXT,__text) non-external -[CalEvent ekEvent]
00007ff8189024f6 (__TEXT,__text) non-external -[CalEvent endDate]
00007ff818907a38 (__TEXT,__text) non-external -[CalEvent init]
00007ff818902546 (__TEXT,__text) non-external -[CalEvent isAllDay]
00007ff8189082d8 (__TEXT,__text) non-external -[CalEvent isDetached]
00007ff818907b05 (__TEXT,__text) non-external -[CalEvent isEqual:]
00007ff8189024a6 (__TEXT,__text) non-external -[CalEvent location]
00007ff81890831d (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00007ff8189023ed (__TEXT,__text) non-external -[CalEvent occurrence]
00007ff81890258b (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00007ff818907af3 (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00007ff8189084e1 (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00007ff818900955 (__TEXT,__text) non-external -[CalEvent setEndDate:]
00007ff818900a53 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00007ff8189009ea (__TEXT,__text) non-external -[CalEvent setLocation:]
00007ff818900baf (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00007ff8189008ec (__TEXT,__text) non-external -[CalEvent setStartDate:]
00007ff818908124 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00007ff818900a9d (__TEXT,__text) non-external -[CalEvent startDate]
00007ff818909d63 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00007ff818909c54 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00007ff818909d1c (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00007ff818909ac6 (__TEXT,__text) non-external -[CalNthWeekDay description]
00007ff818909d48 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00007ff818909b81 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00007ff818909a34 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00007ff818909b97 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00007ff818909d52 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00007ff818909d32 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00007ff818902b06 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00007ff818902a42 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00007ff81890057a (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00007ff818902a98 (__TEXT,__text) non-external -[CalPredicate predicate]
00007ff818902a2e (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00007ff818902a19 (__TEXT,__text) non-external -[CalPredicate subpredicate]
00007ff81890a336 (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00007ff81890a0b4 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00007ff818909e2f (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00007ff81890a31b (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00007ff81890a2ef (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00007ff818909f50 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00007ff81890a25d (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00007ff81890a113 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00007ff81890a1c1 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00007ff818909f66 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00007ff81890a305 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00007ff81890a325 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00007ff818909df6 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00007ff818909a24 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00007ff818900cb7 (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00007ff818900f8b (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00007ff818900d5f (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00007ff81890298d (__TEXT,__text) non-external -[CalRecurrenceRule description]
00007ff818909a09 (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00007ff818909a01 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00007ff818908bb4 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00007ff818900aed (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00007ff81890859a (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00007ff818908754 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00007ff81890865f (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00007ff818901489 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00007ff8189015a6 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00007ff818908508 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00007ff81890888c (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00007ff818908a4f (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00007ff818908951 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00007ff818908bca (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00007ff8189011ca (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00007ff818900fa1 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00007ff8189011e0 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00007ff818900d49 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00007ff818900d21 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00007ff818909a13 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00007ff8189091e8 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00007ff81890bccf (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00007ff81890b5d3 (__TEXT,__text) non-external -[CalTask completedDate]
00007ff81890b96f (__TEXT,__text) non-external -[CalTask description]
00007ff81890b68c (__TEXT,__text) non-external -[CalTask dueDate]
00007ff81890b520 (__TEXT,__text) non-external -[CalTask ekReminder]
00007ff81890b477 (__TEXT,__text) non-external -[CalTask init]
00007ff81890b544 (__TEXT,__text) non-external -[CalTask isCompleted]
00007ff81890ba70 (__TEXT,__text) non-external -[CalTask isEqual:]
00007ff81890b7d5 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00007ff81890b745 (__TEXT,__text) non-external -[CalTask priority]
00007ff81890b623 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00007ff81890b6dc (__TEXT,__text) non-external -[CalTask setDueDate:]
00007ff81890b532 (__TEXT,__text) non-external -[CalTask setEKReminder:]
00007ff81890bcbb (__TEXT,__text) non-external -[CalTask setEkReminder:]
00007ff81890b589 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00007ff81890b789 (__TEXT,__text) non-external -[CalTask setPriority:]
00007ff81890d1f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff81890d208 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00007ff81890d21c (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ff8425f3db8 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00007ff8425f3dc0 (__DATA_CONST,__const) external _CalAlarmActionEmail
00007ff8425f3dc8 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00007ff8425f3dd0 (__DATA_CONST,__const) external _CalAlarmActionSound
00007ff8425f3c48 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00007ff8425f3c68 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00007ff8425f3c50 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00007ff8425f3c60 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00007ff8425f3c70 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00007ff8425f3c40 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00007ff8425f3c58 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00007ff8425f3d10 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00007ff8425f3d48 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00007ff8425f3d50 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00007ff8425f3d70 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00007ff8425f3d58 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00007ff8425f3d60 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00007ff8425f3d68 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00007ff8425f3d78 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00007ff8425f3d80 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00007ff8425f3cd0 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00007ff8425f3cb8 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00007ff81890d410 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00007ff8425f3cf8 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00007ff8425f3cd8 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00007ff8425f3cc0 (__DATA_CONST,__const) external _CalEventsChangedNotification
00007ff8425f3ce8 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00007ff8425f3d00 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00007ff8425f3e48 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00007ff8425f3ce0 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00007ff8425f3cc8 (__DATA_CONST,__const) external _CalTasksChangedNotification
00007ff8425f3cf0 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00007ff8425f3d08 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00007ff84405f6d0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAlarm
00007ff84405f5e0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAttendee
00007ff84405f680 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendar
00007ff84405f860 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00007ff84405f630 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00007ff84405f720 (__DATA,__objc_data) external _OBJC_CLASS_$_CalEvent
00007ff84405f7c0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00007ff84405f590 (__DATA,__objc_data) external _OBJC_CLASS_$_CalPredicate
00007ff84405f810 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00007ff84405f770 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00007ff84405f8b0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00007ff84405f540 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00007ff84405f548 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00007ff84405f550 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00007ff84405f528 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00007ff84405f538 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00007ff84405f578 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00007ff84405f580 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00007ff84405f530 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00007ff84405f558 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00007ff84405f568 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00007ff84405f520 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00007ff84405f570 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00007ff84405f560 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00007ff84405f588 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00007ff84405f6f8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00007ff84405f608 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00007ff84405f6a8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00007ff84405f888 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00007ff84405f658 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00007ff84405f748 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalEvent
00007ff84405f7e8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
