00007ff80bd57841 (__TEXT,__const) non-external _KW_ANY
00007ff80bd57f89 (__TEXT,__const) non-external _KW_version
00007ff80bd57fa5 (__TEXT,__const) non-external _KW_yes
00007ff80bd41e2e (__TEXT,__text) external _XML_DefaultCurrent
00007ff80bd41f48 (__TEXT,__text) external _XML_ErrorString
00007ff80bd41f66 (__TEXT,__text) external _XML_ExpatVersion
00007ff80bd41f73 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80bd403a4 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80bd41dd4 (__TEXT,__text) external _XML_FreeContentModel
00007ff80bd41289 (__TEXT,__text) external _XML_GetBase
00007ff80bd41788 (__TEXT,__text) external _XML_GetBuffer
00007ff80bd41cc3 (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80bd41c9a (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80bd41d7e (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80bd41d25 (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80bd41c83 (__TEXT,__text) external _XML_GetErrorCode
00007ff80bd41f88 (__TEXT,__text) external _XML_GetFeatureList
00007ff8408525c0 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80bd412b5 (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80bd41cec (__TEXT,__text) external _XML_GetInputContext
00007ff80bd41c64 (__TEXT,__text) external _XML_GetParsingStatus
00007ff80bd57615 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80bd4129e (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80bd41e19 (__TEXT,__text) external _XML_MemFree
00007ff80bd41de9 (__TEXT,__text) external _XML_MemMalloc
00007ff80bd41e00 (__TEXT,__text) external _XML_MemRealloc
00007ff80bd41550 (__TEXT,__text) external _XML_Parse
00007ff80bd419c4 (__TEXT,__text) external _XML_ParseBuffer
00007ff80bd3f9f0 (__TEXT,__text) external _XML_ParserCreate
00007ff80bd3fa0c (__TEXT,__text) external _XML_ParserCreateNS
00007ff80bd3fa00 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80bd40d99 (__TEXT,__text) external _XML_ParserFree
00007ff80bd3fd12 (__TEXT,__text) external _XML_ParserReset
00007ff80bd41b90 (__TEXT,__text) external _XML_ResumeParser
00007ff80bd414be (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80bd411e2 (__TEXT,__text) external _XML_SetBase
00007ff80bd41fcf (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80bd41f95 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80bd41330 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff80bd412fd (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80bd4131e (__TEXT,__text) external _XML_SetCommentHandler
00007ff80bd4136d (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80bd41386 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80bd4139f (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80bd414ac (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80bd412cc (__TEXT,__text) external _XML_SetElementHandler
00007ff80bd402f1 (__TEXT,__text) external _XML_SetEncoding
00007ff80bd4135b (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80bd413ca (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80bd412ee (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80bd4142b (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80bd414d0 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80bd4144f (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80bd41461 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80bd4151a (__TEXT,__text) external _XML_SetHashSalt
00007ff80bd41400 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff80bd4143d (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80bd413ee (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80bd414f4 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80bd4130c (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80bd411a5 (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80bd41481 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80bd41349 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80bd413b8 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff80bd412df (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80bd41419 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80bd41493 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80bd413dc (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80bd411c7 (__TEXT,__text) external _XML_SetUserData
00007ff80bd414e2 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80bd41b21 (__TEXT,__text) external _XML_StopParser
00007ff80bd41177 (__TEXT,__text) external _XML_UseForeignDTD
00007ff80bd41168 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80bd4b7af (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80bd4bcd5 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80bd4b7a2 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80bd4bcc8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80bd4b7bc (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80bd4bce2 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80bd4b236 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80bd4beb1 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff80bd4b8ba (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80bd4bd7b (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80bd49900 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80bd499e0 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80bd4b22b (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80bd4b1df (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80bd4b12f (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80bd4b0a4 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80bd44098 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff80bd5765b (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff80bd45c81 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff80bd5767e (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff80bd45cf9 (__TEXT,__text) non-external _accountingReportStats
00007ff80bd48610 (__TEXT,__text) non-external _addBinding
00007ff80bd58c80 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff80bd58cb0 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff80bd488e4 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff840853f08 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff840854858 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff80bd53651 (__TEXT,__text) non-external _ascii_toUtf8
00007ff80bd49ee5 (__TEXT,__text) non-external _attlist0
00007ff80bd4a5e4 (__TEXT,__text) non-external _attlist1
00007ff80bd4a654 (__TEXT,__text) non-external _attlist2
00007ff840852fe0 (__DATA_CONST,__const) non-external _attlist2.types
00007ff80bd4a878 (__TEXT,__text) non-external _attlist3
00007ff80bd4a9a6 (__TEXT,__text) non-external _attlist4
00007ff80bd4a832 (__TEXT,__text) non-external _attlist5
00007ff80bd4a90c (__TEXT,__text) non-external _attlist6
00007ff80bd4a952 (__TEXT,__text) non-external _attlist7
00007ff80bd4a73f (__TEXT,__text) non-external _attlist8
00007ff80bd4a8c6 (__TEXT,__text) non-external _attlist9
00007ff80bd558e8 (__TEXT,__text) non-external _big2_attributeValueTok
00007ff80bd554f8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff80bd5600c (__TEXT,__text) non-external _big2_charRefNumber
00007ff80bd56eb4 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff80bd54278 (__TEXT,__text) non-external _big2_contentTok
00007ff840853b68 (__DATA_CONST,__const) non-external _big2_encoding
00007ff8408544b8 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff80bd55a20 (__TEXT,__text) non-external _big2_entityValueTok
00007ff80bd55c50 (__TEXT,__text) non-external _big2_getAtts
00007ff80bd55758 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff80bd5629c (__TEXT,__text) non-external _big2_isPublicId
00007ff80bd55ba1 (__TEXT,__text) non-external _big2_nameLength
00007ff80bd55b5c (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff80bd560c7 (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff80bd53688 (__TEXT,__text) non-external _big2_prologTok
00007ff80bd57f83 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff80bd56d54 (__TEXT,__text) non-external _big2_scanComment
00007ff80bd5655a (__TEXT,__text) non-external _big2_scanLit
00007ff80bd56ae8 (__TEXT,__text) non-external _big2_scanPercent
00007ff80bd56688 (__TEXT,__text) non-external _big2_scanPi
00007ff80bd56f33 (__TEXT,__text) non-external _big2_scanRef
00007ff80bd55c16 (__TEXT,__text) non-external _big2_skipS
00007ff80bd564e5 (__TEXT,__text) non-external _big2_toUtf16
00007ff80bd56327 (__TEXT,__text) non-external _big2_toUtf8
00007ff80bd561cb (__TEXT,__text) non-external _big2_updatePosition
00007ff80bd49037 (__TEXT,__text) non-external _build_node
00007ff80bd48448 (__TEXT,__text) non-external _cdataSectionProcessor
00007ff80bd4b501 (__TEXT,__text) non-external _checkCharRefNumber
00007ff80bd4a359 (__TEXT,__text) non-external _condSect0
00007ff80bd4a3fc (__TEXT,__text) non-external _condSect1
00007ff80bd4a43c (__TEXT,__text) non-external _condSect2
00007ff80bd449f9 (__TEXT,__text) non-external _contentProcessor
00007ff80bd496dd (__TEXT,__text) non-external _copyEntityTable
00007ff80bd4035f (__TEXT,__text) non-external _copyString
00007ff80bd4a25c (__TEXT,__text) non-external _declClose
00007ff80bd44d9a (__TEXT,__text) non-external _defineAttribute
00007ff80bd48198 (__TEXT,__text) non-external _doCdataSection
00007ff80bd46028 (__TEXT,__text) non-external _doContent
00007ff80bd45564 (__TEXT,__text) non-external _doIgnoreSection
00007ff80bd4b8fb (__TEXT,__text) non-external _doParseXmlDecl
00007ff80bd422cd (__TEXT,__text) non-external _doProlog
00007ff80bd57742 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff80bd5775f (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff80bd57758 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff80bd57748 (__TEXT,__const) non-external _doProlog.atypeID
00007ff80bd5774b (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff80bd57751 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff80bd57768 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff80bd57770 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff80bd57638 (__TEXT,__text) non-external _doProlog.cold.1
00007ff80bd58b6b (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff80bd58b6d (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff80bd58b61 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff80bd49ad4 (__TEXT,__text) non-external _doctype0
00007ff80bd49b27 (__TEXT,__text) non-external _doctype1
00007ff80bd49e46 (__TEXT,__text) non-external _doctype2
00007ff80bd49e00 (__TEXT,__text) non-external _doctype3
00007ff80bd4b048 (__TEXT,__text) non-external _doctype4
00007ff80bd49fbe (__TEXT,__text) non-external _doctype5
00007ff80bd49f30 (__TEXT,__text) non-external _element0
00007ff80bd4a9fa (__TEXT,__text) non-external _element1
00007ff80bd4aacc (__TEXT,__text) non-external _element2
00007ff80bd4abcc (__TEXT,__text) non-external _element3
00007ff80bd4adf0 (__TEXT,__text) non-external _element4
00007ff80bd4ae3b (__TEXT,__text) non-external _element5
00007ff80bd4ac4b (__TEXT,__text) non-external _element6
00007ff80bd4ad1c (__TEXT,__text) non-external _element7
00007ff840853960 (__DATA_CONST,__const) non-external _encodings
00007ff8408540e0 (__DATA_CONST,__const) non-external _encodingsNS
00007ff80bd49e8c (__TEXT,__text) non-external _entity0
00007ff80bd4a004 (__TEXT,__text) non-external _entity1
00007ff80bd4a2a9 (__TEXT,__text) non-external _entity10
00007ff80bd4a04a (__TEXT,__text) non-external _entity2
00007ff80bd4a4c5 (__TEXT,__text) non-external _entity3
00007ff80bd4a47f (__TEXT,__text) non-external _entity4
00007ff80bd4a50b (__TEXT,__text) non-external _entity5
00007ff80bd4a596 (__TEXT,__text) non-external _entity6
00007ff80bd4a10d (__TEXT,__text) non-external _entity7
00007ff80bd4a216 (__TEXT,__text) non-external _entity8
00007ff80bd4a1d0 (__TEXT,__text) non-external _entity9
00007ff80bd45a1f (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff80bd48f84 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff80bd576a1 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff80bd4935e (__TEXT,__text) non-external _entityValueInitProcessor
00007ff80bd49604 (__TEXT,__text) non-external _entityValueProcessor
00007ff80bd47fbe (__TEXT,__text) non-external _epilogProcessor
00007ff80bd49b1f (__TEXT,__text) non-external _error
00007ff80bd4177c (__TEXT,__text) non-external _errorProcessor
00007ff80bd48880 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff80bd41046 (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff80bd4918c (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff80bd49282 (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff80bd41096 (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff80bd49503 (__TEXT,__text) non-external _externalParEntProcessor
00007ff80bd499f8 (__TEXT,__text) non-external _externalSubset0
00007ff80bd4a2fe (__TEXT,__text) non-external _externalSubset1
00007ff80bd4bbd3 (__TEXT,__text) non-external _findEncoding
00007ff80bd4bdbc (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80bd47f66 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff80bd44ada (__TEXT,__text) non-external _getAttributeId
00007ff80bd42087 (__TEXT,__text) non-external _getDebugLevel
00007ff80bd44a4e (__TEXT,__text) non-external _getElementType
00007ff80bd4b814 (__TEXT,__text) non-external _getEncodingIndex
00007ff840853930 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff80bd421b0 (__TEXT,__text) non-external _handleUnknownEncoding
00007ff80bd45d5d (__TEXT,__text) non-external _hash
00007ff80bd496a5 (__TEXT,__text) non-external _hashTableDestroy
00007ff80bd456e4 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff80bd57780 (__TEXT,__const) non-external _implicitContext
00007ff80bd53492 (__TEXT,__text) non-external _initScan
00007ff80bd4b887 (__TEXT,__text) non-external _initScanContent
00007ff80bd4bd59 (__TEXT,__text) non-external _initScanContentNS
00007ff80bd4b868 (__TEXT,__text) non-external _initScanProlog
00007ff80bd4bd3a (__TEXT,__text) non-external _initScanPrologNS
00007ff80bd4b8a9 (__TEXT,__text) non-external _initUpdatePosition
00007ff80bd420e6 (__TEXT,__text) non-external _initializeEncoding
00007ff80bd48d6c (__TEXT,__text) non-external _internalEntityProcessor
00007ff80bd49c00 (__TEXT,__text) non-external _internalSubset
00007ff8408533c0 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff840853760 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff8408531f0 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff840853590 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff80bd4f723 (__TEXT,__text) non-external _isNever
00007ff840853020 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff840854118 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff80bd4e8d2 (__TEXT,__text) non-external _latin1_toUtf16
00007ff80bd4e850 (__TEXT,__text) non-external _latin1_toUtf8
00007ff80bd51aa8 (__TEXT,__text) non-external _little2_attributeValueTok
00007ff80bd516bc (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff80bd521cc (__TEXT,__text) non-external _little2_charRefNumber
00007ff80bd5305c (__TEXT,__text) non-external _little2_checkPiTarget
00007ff80bd5047c (__TEXT,__text) non-external _little2_contentTok
00007ff840853d38 (__DATA_CONST,__const) non-external _little2_encoding
00007ff840854688 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff80bd51be0 (__TEXT,__text) non-external _little2_entityValueTok
00007ff80bd51e0f (__TEXT,__text) non-external _little2_getAtts
00007ff80bd51918 (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff80bd52458 (__TEXT,__text) non-external _little2_isPublicId
00007ff80bd51d61 (__TEXT,__text) non-external _little2_nameLength
00007ff80bd51d1c (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff80bd52283 (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff80bd4f89c (__TEXT,__text) non-external _little2_prologTok
00007ff80bd52f00 (__TEXT,__text) non-external _little2_scanComment
00007ff80bd52712 (__TEXT,__text) non-external _little2_scanLit
00007ff80bd52c9c (__TEXT,__text) non-external _little2_scanPercent
00007ff80bd52840 (__TEXT,__text) non-external _little2_scanPi
00007ff80bd530db (__TEXT,__text) non-external _little2_scanRef
00007ff80bd51dd5 (__TEXT,__text) non-external _little2_skipS
00007ff80bd526a1 (__TEXT,__text) non-external _little2_toUtf16
00007ff80bd524e3 (__TEXT,__text) non-external _little2_toUtf8
00007ff80bd52387 (__TEXT,__text) non-external _little2_updatePosition
00007ff80bd44686 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff80bd57e50 (__TEXT,__const) non-external _namePages
00007ff80bd57850 (__TEXT,__const) non-external _namingBitmap
00007ff80bd45760 (__TEXT,__text) non-external _nextScaffoldPart
00007ff80bd57d50 (__TEXT,__const) non-external _nmstrtPages
00007ff80bd4e010 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff80bd4dbb8 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff80bd4e5cc (__TEXT,__text) non-external _normal_charRefNumber
00007ff80bd4f1bc (__TEXT,__text) non-external _normal_checkPiTarget
00007ff80bd4ca4c (__TEXT,__text) non-external _normal_contentTok
00007ff80bd4e148 (__TEXT,__text) non-external _normal_entityValueTok
00007ff80bd4e2fb (__TEXT,__text) non-external _normal_getAtts
00007ff80bd4de70 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff80bd4e7d0 (__TEXT,__text) non-external _normal_isPublicId
00007ff80bd4e294 (__TEXT,__text) non-external _normal_nameLength
00007ff80bd4e258 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff80bd4e684 (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff80bd4bec8 (__TEXT,__text) non-external _normal_prologTok
00007ff80bd4f030 (__TEXT,__text) non-external _normal_scanComment
00007ff80bd4e916 (__TEXT,__text) non-external _normal_scanLit
00007ff80bd4ee28 (__TEXT,__text) non-external _normal_scanPercent
00007ff80bd4ea7c (__TEXT,__text) non-external _normal_scanPi
00007ff80bd4f227 (__TEXT,__text) non-external _normal_scanRef
00007ff80bd4e2d1 (__TEXT,__text) non-external _normal_skipS
00007ff80bd4e716 (__TEXT,__text) non-external _normal_updatePosition
00007ff80bd49149 (__TEXT,__text) non-external _normalizeLines
00007ff80bd44996 (__TEXT,__text) non-external _normalizePublicId
00007ff80bd49f7b (__TEXT,__text) non-external _notation0
00007ff80bd4ae98 (__TEXT,__text) non-external _notation1
00007ff80bd4af8f (__TEXT,__text) non-external _notation2
00007ff80bd4af41 (__TEXT,__text) non-external _notation3
00007ff80bd4afd5 (__TEXT,__text) non-external _notation4
00007ff80bd57280 (__TEXT,__text) non-external _parsePseudoAttribute
00007ff80bd3fa2a (__TEXT,__text) non-external _parserCreate
00007ff80bd40131 (__TEXT,__text) non-external _parserInit
00007ff80bd44d28 (__TEXT,__text) non-external _poolAppend
00007ff80bd4122d (__TEXT,__text) non-external _poolCopyString
00007ff80bd41124 (__TEXT,__text) non-external _poolDestroy
00007ff80bd44e92 (__TEXT,__text) non-external _poolGrow
00007ff80bd4463f (__TEXT,__text) non-external _poolStoreString
00007ff80bd45870 (__TEXT,__text) non-external _processInternalEntity
00007ff80bd442bd (__TEXT,__text) non-external _processXmlDecl
00007ff80bd49925 (__TEXT,__text) non-external _prolog0
00007ff80bd49a18 (__TEXT,__text) non-external _prolog1
00007ff80bd49d78 (__TEXT,__text) non-external _prolog2
00007ff80bd42037 (__TEXT,__text) non-external _prologInitProcessor
00007ff80bd42141 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff80bd45bb6 (__TEXT,__text) non-external _reportComment
00007ff80bd41e7a (__TEXT,__text) non-external _reportDefault
00007ff80bd45a6a (__TEXT,__text) non-external _reportProcessingInstruction
00007ff80bd40b0b (__TEXT,__text) non-external _setContext
00007ff80bd484fe (__TEXT,__text) non-external _setElementTypePrefix
00007ff80bd45ee2 (__TEXT,__text) non-external _sip24_final
00007ff80bd45e21 (__TEXT,__text) non-external _sip24_update
00007ff80bd45fcc (__TEXT,__text) non-external _sip_round
00007ff80bd416e3 (__TEXT,__text) non-external _startParsing
00007ff80bd4505c (__TEXT,__text) non-external _storeAttributeValue
00007ff80bd472bc (__TEXT,__text) non-external _storeAtts
00007ff80bd450cb (__TEXT,__text) non-external _storeEntityValue
00007ff80bd471f0 (__TEXT,__text) non-external _storeRawNames
00007ff80bd53430 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff80bd41ff4 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff80bd42009 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff80bd4b5f0 (__TEXT,__text) non-external _unknown_isInvalid
00007ff80bd4b54e (__TEXT,__text) non-external _unknown_isName
00007ff80bd4b59f (__TEXT,__text) non-external _unknown_isNmstrt
00007ff80bd4b704 (__TEXT,__text) non-external _unknown_toUtf16
00007ff80bd4b61d (__TEXT,__text) non-external _unknown_toUtf8
00007ff80bd4201e (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff840853998 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff8408542e8 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff80bd4f7c3 (__TEXT,__text) non-external _utf8_isInvalid2
00007ff80bd4f7e2 (__TEXT,__text) non-external _utf8_isInvalid3
00007ff80bd4f849 (__TEXT,__text) non-external _utf8_isInvalid4
00007ff80bd4f68b (__TEXT,__text) non-external _utf8_isName2
00007ff80bd4f6d1 (__TEXT,__text) non-external _utf8_isName3
00007ff80bd4f72b (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff80bd4f771 (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff80bd4f52b (__TEXT,__text) non-external _utf8_toUtf16
00007ff80bd4f495 (__TEXT,__text) non-external _utf8_toUtf8
