00007ffd432b6f00 (__DATA,__bss) non-external __ZL12reportShadow
00007ffd0b643e6c (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_
00007ffd0b646f60 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.1
00007ffd0b646f81 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.2
00007ffd0b646624 (__TEXT,__text) non-external (was a private external) __ZN4asan10initShadowEv
00007ffd0b64731e (__TEXT,__text) non-external __ZN4asan10initShadowEv.cold.1
00007ffd0b64733f (__TEXT,__text) non-external __ZN4asan10initShadowEv.cold.2
00007ffd0b645c32 (__TEXT,__text) non-external (was a private external) __ZN4asan11initRuntimeEP6ShadowPNS_15GlobalsRegistryE
00007ffd0b645bf6 (__TEXT,__text) non-external (was a private external) __ZN4asan11initRuntimeERKN6config4ASanE
00007ffd0b647276 (__TEXT,__text) non-external __ZN4asan11initRuntimeERKN6config4ASanE.cold.1
00007ffd0b645d3a (__TEXT,__text) non-external (was a private external) __ZN4asan11reportErrorENS_9RegistersENS_12MemoryAccessE
00007ffd0b6455be (__TEXT,__text) non-external (was a private external) __ZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryE
00007ffd0b6437e0 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator12createReportENS_9RegistersENS_12MemoryAccessE
00007ffd0b646e0d (__TEXT,__text) non-external __ZN4asan15ReportGenerator12createReportENS_9RegistersENS_12MemoryAccessE.cold.1
00007ffd0b643be6 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE
00007ffd0b646e97 (__TEXT,__text) non-external __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE.cold.1
00007ffd0b646eb8 (__TEXT,__text) non-external __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE.cold.2
00007ffd0b646ed9 (__TEXT,__text) non-external __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE.cold.3
00007ffd0b646efa (__TEXT,__text) non-external __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE.cold.4
00007ffd0b643a12 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator19addUseAfterFreeInfoERNS_6ReportE
00007ffd0b646e51 (__TEXT,__text) non-external __ZN4asan15ReportGenerator19addUseAfterFreeInfoERNS_6ReportE.cold.1
00007ffd0b643978 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator25addHeapBufferOverflowInfoERNS_6ReportE
00007ffd0b646e2e (__TEXT,__text) non-external __ZN4asan15ReportGenerator25addHeapBufferOverflowInfoERNS_6ReportE.cold.1
00007ffd0b643bca (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator25addStackUseAfterScopeInfoERNS_6ReportE
00007ffd0b643b2a (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator26addStackBufferOverflowInfoERNS_6ReportE
00007ffd0b643b62 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator26addStackUseAfterReturnInfoERNS_6ReportE
00007ffd0b643ab0 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator27addGlobalBufferOverflowInfoERNS_6ReportE
00007ffd0b646e74 (__TEXT,__text) non-external __ZN4asan15ReportGenerator27addGlobalBufferOverflowInfoERNS_6ReportE.cold.1
00007ffd0b643b46 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator27addStackBufferUnderflowInfoERNS_6ReportE
00007ffd0b643cc2 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator8StackVar11getStackVarEPKcm
00007ffd0b646f1b (__TEXT,__text) non-external __ZN4asan15ReportGenerator8StackVar11getStackVarEPKcm.cold.1
00007ffd0b643d64 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator8StackVar5parseERPKc
00007ffd0b64585e (__TEXT,__text) non-external (was a private external) __ZN4asan15initCompilerABIEP6Shadow
00007ffd0b645c75 (__TEXT,__text) non-external (was a private external) __ZN4asan18initLibmallocHooksEP6Shadow
00007ffd0b6455de (__TEXT,__text) non-external (was a private external) __ZN4asan19GlobalsRegistryImpl15registerSectionE10array_viewIKNS_9GlobalVarEE
00007ffd0b647184 (__TEXT,__text) non-external __ZN4asan19GlobalsRegistryImpl15registerSectionE10array_viewIKNS_9GlobalVarEE.cold.1
00007ffd0b645658 (__TEXT,__text) non-external (was a private external) __ZN4asan19initGlobalsRegistryEv
00007ffd0b645c8d (__TEXT,__text) non-external (was a private external) __ZN4asan20initReportGenerationEPK6ShadowPKNS_15GlobalsRegistryE
00007ffd0b646360 (__TEXT,__text) non-external (was a private external) __ZN4asan28callDebuggerBreakpointSymbolERKNS_6ReportE
00007ffd432b6ed8 (__DATA,__bss) non-external __ZN4asanL7_shadowE
00007ffd432b6ee0 (__DATA,__bss) non-external __ZN4asanL8_globalsE
00007ffd0b6443da (__TEXT,__text) non-external (was a private external) __ZN4hash7Murmur212hashPointersE10array_viewImE
00007ffd0b64458e (__TEXT,__text) non-external __ZN5debugL5printEPKcz
00007ffd0b645781 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
00007ffd0b64627a (__TEXT,__text) non-external __ZN5debugL5printEPKcz
00007ffd0b646d2d (__TEXT,__text) non-external __ZN5debugL5printEPKcz
00007ffd0b643fa9 (__TEXT,__text) non-external (was a private external) __ZN5trace12lookupTracesEmR24sanitizers_stack_trace_tS1_
00007ffd0b64445c (__TEXT,__text) non-external (was a private external) __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE15addDeallocTraceEmNS_2IdE
00007ffd0b647053 (__TEXT,__text) non-external __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE15addDeallocTraceEmNS_2IdE.cold.1
00007ffd0b644246 (__TEXT,__text) non-external (was a private external) __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE6insertEmmNS_2IdE
00007ffd0b64700f (__TEXT,__text) non-external __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE6insertEmmNS_2IdE.cold.1
00007ffd0b643e0a (__TEXT,__text) non-external (was a private external) __ZN5trace19initTraceCollectionEb
00007ffd0b646f3f (__TEXT,__text) non-external __ZN5trace19initTraceCollectionEb.cold.1
00007ffd0b644330 (__TEXT,__text) non-external (was a private external) __ZN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE11insertTraceEPmm
00007ffd0b647030 (__TEXT,__text) non-external __ZN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE11insertTraceEPmm.cold.1
00007ffd0b643f72 (__TEXT,__text) non-external (was a private external) __ZN5trace6Lookup6createERA24_h
00007ffd0b646fee (__TEXT,__text) non-external __ZN5trace6Lookup6createERA24_h.cold.1
00007ffd0b644fe8 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser10consumeEnvEPPKc
00007ffd0b64518e (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser13removeEnvVarsEv
00007ffd0b645548 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm18EEEvPPKcRAT__S3_
00007ffd0b64545c (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm19EEEvPPKcRAT__S3_
00007ffd0b6454d2 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm27EEEvPPKcRAT__S3_
00007ffd0b6453e6 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm30EEEvPPKcRAT__S3_
00007ffd0b645370 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm34EEEvPPKcRAT__S3_
00007ffd0b64466c (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj
00007ffd0b647074 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.1
00007ffd0b647097 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.2
00007ffd0b6470ba (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.3
00007ffd0b6470dd (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.4
00007ffd432b6ed0 (__DATA,__bss) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE14previousLoggerE
00007ffd0b6469c2 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14addressIsInMemEm
00007ffd0b6469fc (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14getShadowStartEv
00007ffd0b646a06 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14getShadowValueEmm
00007ffd0b647389 (__TEXT,__text) non-external __ZNK10ASanShadow14getShadowValueEmm.cold.1
00007ffd0b6473ac (__TEXT,__text) non-external __ZNK10ASanShadow14getShadowValueEmm.cold.2
00007ffd0b646a62 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE
00007ffd0b6473cf (__TEXT,__text) non-external __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE.cold.1
00007ffd0b6473f2 (__TEXT,__text) non-external __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE.cold.2
00007ffd0b64682a (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16regionIsPoisonedEmm
00007ffd0b6469ac (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16shadowForAddressEm
00007ffd0b6469de (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17addressIsInShadowEm
00007ffd0b646802 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17addressIsPoisonedEm
00007ffd0b646b8c (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17getAllocationInfoEN4asan12MemoryAccessE
00007ffd0b647415 (__TEXT,__text) non-external __ZNK10ASanShadow17getAllocationInfoEN4asan12MemoryAccessE.cold.1
00007ffd0b646978 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow23getShadowByteForAddressEPv
00007ffd0b645608 (__TEXT,__text) non-external (was a private external) __ZNK4asan19GlobalsRegistryImpl12getGlobalVarEm
00007ffd0b644936 (__TEXT,__text) non-external (was a private external) __ZNK5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE3getEm
00007ffd0b647100 (__TEXT,__text) non-external __ZNK5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE3getEm.cold.1
00007ffd0b644b76 (__TEXT,__text) non-external (was a private external) __ZNK5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE12forEachFrameIZNKS3_13retrieveTraceENS_2IdERA64_mEUlmmE_EEvNS3_5EntryET_
00007ffd0b644aba (__TEXT,__text) non-external (was a private external) __ZNK5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE13retrieveTraceENS_2IdERA64_m
00007ffd0b644c32 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE13diagnoseFaultEm
00007ffd0b644a36 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_
00007ffd0b647121 (__TEXT,__text) non-external __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_.cold.1
00007ffd0b64402e (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesEmR24sanitizers_stack_trace_tS9_
00007ffd0b644184 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE19diagnoseMemoryErrorEmR25sanitizers_memory_error_t
00007ffd0b6451e8 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingINS0_16AllocationTracesELm4EEET_PKcS4_RAT0__KNS1_7SettingIS4_EE
00007ffd0b645248 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingINS0_7AddressELm2EEET_PKcS4_RAT0__KNS1_7SettingIS4_EE
00007ffd0b6452a8 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingIbLm3EEET_PKcS3_RAT0__KNS1_7SettingIS3_EE
00007ffd0b645026 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getConfigEv
00007ffd0b64530c (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getNumberIlXadL_Z6strtolEEEET_PKcS3_
00007ffd0b644eec (__TEXT,__text) non-external (was a private external) __ZNK9BlockInfo11absDistanceEm
00007ffd0b644f22 (__TEXT,__text) non-external (was a private external) __ZNK9BlockInfo12endInclusiveEv
00007ffd0b647163 (__TEXT,__text) non-external __ZNK9BlockInfo12endInclusiveEv.cold.1
00007ffd417a7e90 (__DATA_CONST,__const) non-external (was a private external) __ZTV10ASanShadow
00007ffd417a7e70 (__DATA_CONST,__const) non-external (was a private external) __ZTVN4asan19GlobalsRegistryImplE
00007ffd417a7dc8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEEE
00007ffd432b6ea0 (__DATA,__data) non-external __ZZL21unsetIntegrationHooksvE5funcs
00007ffd0b64626e (__TEXT,__text) non-external __ZZL21unsetIntegrationHooksvEN3$_08__invokeEmmmm
00007ffd0b646274 (__TEXT,__text) non-external __ZZL21unsetIntegrationHooksvEN3$_18__invokeEmm
00007ffd0b6456f8 (__TEXT,__text) non-external __ZZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryEEN3$_08__invokeEPK11mach_headerl
00007ffd0b6471ec (__TEXT,__text) non-external __ZZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryEEN3$_08__invokeEPK11mach_headerl.cold.1
00007ffd432b6e88 (__DATA,__data) non-external __ZZN4asan18initLibmallocHooksEP6ShadowE5funcs
00007ffd0b645ca2 (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_08__invokeEmmmm
00007ffd0b647297 (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_08__invokeEmmmm.cold.1
00007ffd0b645d0c (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_18__invokeEmm
00007ffd0b645b11 (__TEXT,__text) external ___asan_abi_addr_is_in_fake_stack
00007ffd0b645a40 (__TEXT,__text) external ___asan_abi_address_is_poisoned
00007ffd0b645895 (__TEXT,__text) external ___asan_abi_after_dynamic_init
00007ffd0b645b19 (__TEXT,__text) external ___asan_abi_alloca_poison
00007ffd0b645b1f (__TEXT,__text) external ___asan_abi_allocas_unpoison
00007ffd0b64588f (__TEXT,__text) external ___asan_abi_before_dynamic_init
00007ffd0b64597d (__TEXT,__text) external ___asan_abi_exp_load_n
00007ffd0b645a1e (__TEXT,__text) external ___asan_abi_exp_store_n
00007ffd0b645b09 (__TEXT,__text) external ___asan_abi_get_current_fake_stack
00007ffd0b6458bf (__TEXT,__text) external ___asan_abi_handle_no_return
00007ffd0b6458b9 (__TEXT,__text) external ___asan_abi_init
00007ffd0b645b01 (__TEXT,__text) external ___asan_abi_load_cxx_array_cookie
00007ffd0b6458dd (__TEXT,__text) external ___asan_abi_load_n
00007ffd0b64589b (__TEXT,__text) external ___asan_abi_memcpy
00007ffd0b6458a5 (__TEXT,__text) external ___asan_abi_memmove
00007ffd0b6458af (__TEXT,__text) external ___asan_abi_memset
00007ffd0b645afb (__TEXT,__text) external ___asan_abi_poison_cxx_array_cookie
00007ffd0b645aef (__TEXT,__text) external ___asan_abi_poison_intra_object_redzone
00007ffd0b645a61 (__TEXT,__text) external ___asan_abi_poison_memory_region
00007ffd0b645ae3 (__TEXT,__text) external ___asan_abi_poison_stack_memory
00007ffd0b64595c (__TEXT,__text) external ___asan_abi_region_is_poisoned
00007ffd0b645877 (__TEXT,__text) external ___asan_abi_register_elf_globals
00007ffd0b645883 (__TEXT,__text) external ___asan_abi_register_globals
00007ffd0b64586b (__TEXT,__text) external ___asan_abi_register_image_globals
00007ffd0b6458d1 (__TEXT,__text) external ___asan_abi_report_exp_load_n
00007ffd0b6458d7 (__TEXT,__text) external ___asan_abi_report_exp_store_n
00007ffd0b6458c5 (__TEXT,__text) external ___asan_abi_report_load_n
00007ffd0b6458cb (__TEXT,__text) external ___asan_abi_report_store_n
00007ffd0b645aaf (__TEXT,__text) external ___asan_abi_set_shadow_xx_n
00007ffd0b645bb1 (__TEXT,__text) external ___asan_abi_stack_free_n
00007ffd0b647253 (__TEXT,__text) non-external ___asan_abi_stack_free_n.cold.1
00007ffd0b645b6b (__TEXT,__text) external ___asan_abi_stack_malloc_always_n
00007ffd0b647230 (__TEXT,__text) non-external ___asan_abi_stack_malloc_always_n.cold.1
00007ffd0b645b25 (__TEXT,__text) external ___asan_abi_stack_malloc_n
00007ffd0b64720d (__TEXT,__text) non-external ___asan_abi_stack_malloc_n.cold.1
00007ffd0b64599f (__TEXT,__text) external ___asan_abi_store_n
00007ffd0b645af5 (__TEXT,__text) external ___asan_abi_unpoison_intra_object_redzone
00007ffd0b645a8d (__TEXT,__text) external ___asan_abi_unpoison_memory_region
00007ffd0b645ae9 (__TEXT,__text) external ___asan_abi_unpoison_stack_memory
00007ffd0b64587d (__TEXT,__text) external ___asan_abi_unregister_elf_globals
00007ffd0b645889 (__TEXT,__text) external ___asan_abi_unregister_globals
00007ffd0b645871 (__TEXT,__text) external ___asan_abi_unregister_image_globals
00007ffd0b6464b7 (__TEXT,__text) external ___asan_get_alloc_stack
00007ffd0b646569 (__TEXT,__text) external ___asan_get_free_stack
00007ffd0b6463ee (__TEXT,__text) external ___asan_get_report_access_size
00007ffd0b6463e1 (__TEXT,__text) external ___asan_get_report_access_type
00007ffd0b6463d4 (__TEXT,__text) external ___asan_get_report_address
00007ffd0b6463ba (__TEXT,__text) external ___asan_get_report_bp
00007ffd0b6463fb (__TEXT,__text) external ___asan_get_report_description
00007ffd0b6463ad (__TEXT,__text) external ___asan_get_report_pc
00007ffd0b6463c7 (__TEXT,__text) external ___asan_get_report_sp
00007ffd0b64649d (__TEXT,__text) external ___asan_get_shadow_mapping
00007ffd0b646408 (__TEXT,__text) external ___asan_locate_address
00007ffd0b6472bb (__TEXT,__text) non-external ___asan_locate_address.cold.1
00007ffd0b6472dc (__TEXT,__text) non-external ___asan_locate_address.cold.2
00007ffd0b6472fd (__TEXT,__text) non-external ___asan_locate_address.cold.3
00007ffd0b64639a (__TEXT,__text) external ___asan_report_present
                 (undefined) external ___assert_rtn (from libsystem_c)
                 (undefined) external ___bzero (from libsystem_platform)
00007ffd0b64661b (__TEXT,__text) non-external (was a private external) ___cxa_pure_virtual
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external __dyld_register_func_for_add_image (from libdyld)
                 (undefined) external __exit (from libsystem_kernel)
00007ffd0b644f44 (__TEXT,__text) external __sanitizers_init
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external _abort (from libsystem_c)
                 (undefined) external _backtrace_from_fp (from libsystem_c)
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _fputs (from libsystem_c)
                 (undefined) external _free (from libsystem_malloc)
                 (undefined) external _getsectiondata (from libmacho)
00007ffd0b6475c0 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionNumber
00007ffd0b647580 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionString
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _malloc_logger (from libsystem_malloc)
                 (undefined) external _malloc_sanitizer_set_functions (from libsystem_malloc)
                 (undefined) external _malloc_size (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memmove (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
00007ffd0b646390 (__TEXT,__text) external _sanitizers_address_on_report
00007ffd0b644096 (__TEXT,__text) external _sanitizers_diagnose_memory_error
00007ffd432b73e8 (__DATA,__common) external _sanitizers_report_globals
00007ffd0b6461ba (__TEXT,__text) external _sanitizers_testonly_diagnose_error
00007ffd0b646d12 (__TEXT,__text) external _sanitizers_testonly_get_shadow_address
                 (undefined) external _strtol (from libsystem_c)
                 (undefined) external _strtoul (from libsystem_c)
                 (undefined) external _thread_stack_pcs (from libsystem_c)
                 (undefined) external _vm_map (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _vsnprintf (from libsystem_c)
