00000001920b36c0 (__TEXT,__text) non-external +[CalAlarm alarm]
00000001920bb01c (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithOccurrenceCount:]
00000001920ba530 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDate:isDateOnly:isFloating:]
00000001920ba508 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDayOfTheWeek:]
00000001920ba4e4 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromRecurrenceType:]
00000001920bc3a8 (__TEXT,__text) non-external +[CalTask task]
00000001920b9038 (__TEXT,__text) non-external -[CalAlarm .cxx_destruct]
00000001920b4574 (__TEXT,__text) non-external -[CalAlarm absoluteTrigger]
00000001920b457c (__TEXT,__text) non-external -[CalAlarm acknowledged]
00000001920b4514 (__TEXT,__text) non-external -[CalAlarm action]
00000001920b8f98 (__TEXT,__text) non-external -[CalAlarm copyWithZone:]
00000001920b43bc (__TEXT,__text) non-external -[CalAlarm description]
00000001920b8ffc (__TEXT,__text) non-external -[CalAlarm ekAlarm]
00000001920b4564 (__TEXT,__text) non-external -[CalAlarm emailAddress]
00000001920b8a9c (__TEXT,__text) non-external -[CalAlarm hash]
00000001920b8868 (__TEXT,__text) non-external -[CalAlarm initWithEKAlarm:]
00000001920b36f0 (__TEXT,__text) non-external -[CalAlarm init]
00000001920b8aa4 (__TEXT,__text) non-external -[CalAlarm isEqual:]
00000001920b9010 (__TEXT,__text) non-external -[CalAlarm relatedToString]
00000001920b8990 (__TEXT,__text) non-external -[CalAlarm relatedTo]
00000001920b456c (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
00000001920b375c (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
00000001920b39d0 (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
00000001920b3758 (__TEXT,__text) non-external -[CalAlarm setAction:]
00000001920b9004 (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
00000001920b39e0 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
00000001920b8908 (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
00000001920b9018 (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
00000001920b3764 (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
00000001920b39d8 (__TEXT,__text) non-external -[CalAlarm setSound:]
00000001920b902c (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
00000001920b39e8 (__TEXT,__text) non-external -[CalAlarm setUrl:]
00000001920b455c (__TEXT,__text) non-external -[CalAlarm sound]
00000001920b8a04 (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
00000001920b9024 (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
00000001920b4554 (__TEXT,__text) non-external -[CalAlarm url]
00000001920b4fd8 (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
00000001920b4a1c (__TEXT,__text) non-external -[CalAttendee address]
00000001920b4a24 (__TEXT,__text) non-external -[CalAttendee commonName]
00000001920b4f60 (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
00000001920b4944 (__TEXT,__text) non-external -[CalAttendee description]
00000001920b4fc4 (__TEXT,__text) non-external -[CalAttendee ekParticipant]
00000001920b4cac (__TEXT,__text) non-external -[CalAttendee hash]
00000001920b4c0c (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00000001920b4cb4 (__TEXT,__text) non-external -[CalAttendee isEqual:]
00000001920b4fcc (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00000001920b4a2c (__TEXT,__text) non-external -[CalAttendee status]
00000001920b885c (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00000001920b4378 (__TEXT,__text) non-external -[CalCalendar color]
00000001920b87ec (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00000001920b41f0 (__TEXT,__text) non-external -[CalCalendar description]
00000001920b8848 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00000001920b83dc (__TEXT,__text) non-external -[CalCalendar hash]
00000001920b833c (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00000001920b825c (__TEXT,__text) non-external -[CalCalendar init]
00000001920b28f8 (__TEXT,__text) non-external -[CalCalendar isEditable]
00000001920b83e4 (__TEXT,__text) non-external -[CalCalendar isEqual:]
00000001920b4320 (__TEXT,__text) non-external -[CalCalendar notes]
00000001920b28f0 (__TEXT,__text) non-external -[CalCalendar setColor:]
00000001920b8850 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00000001920b28e8 (__TEXT,__text) non-external -[CalCalendar setNotes:]
00000001920b28e0 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00000001920b4318 (__TEXT,__text) non-external -[CalCalendar title]
00000001920b4380 (__TEXT,__text) non-external -[CalCalendar type]
00000001920b2f34 (__TEXT,__text) non-external -[CalCalendar uid]
00000001920bc364 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00000001920b37dc (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00000001920bb694 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00000001920b3ff0 (__TEXT,__text) non-external -[CalCalendarItem alarms]
00000001920b3f80 (__TEXT,__text) non-external -[CalCalendarItem calendar]
00000001920bc2e0 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00000001920b3f60 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00000001920b3e10 (__TEXT,__text) non-external -[CalCalendarItem description]
00000001920bc33c (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00000001920bb684 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00000001920bc2d8 (__TEXT,__text) non-external -[CalCalendarItem hash]
00000001920bb558 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00000001920bba2c (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00000001920bb68c (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00000001920b3f70 (__TEXT,__text) non-external -[CalCalendarItem notes]
00000001920bb78c (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00000001920bb7e0 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00000001920bb8d8 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00000001920b38b4 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00000001920bc344 (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00000001920b300c (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00000001920b2f3c (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00000001920bc358 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00000001920b3014 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00000001920bc034 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00000001920b3f68 (__TEXT,__text) non-external -[CalCalendarItem title]
00000001920b3f58 (__TEXT,__text) non-external -[CalCalendarItem uid]
00000001920bc350 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00000001920b3f78 (__TEXT,__text) non-external -[CalCalendarItem url]
00000001920b8220 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00000001920b67d0 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00000001920b67d8 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00000001920b529c (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00000001920b2694 (__TEXT,__text) non-external -[CalCalendarStore calendars]
00000001920b5298 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00000001920b5a54 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00000001920b820c (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00000001920b5388 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00000001920b2c5c (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00000001920b696c (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00000001920b5740 (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00000001920b5034 (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00000001920b4ff4 (__TEXT,__text) non-external -[CalCalendarStore init]
00000001920b701c (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00000001920b5f00 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00000001920b65a8 (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00000001920b6a7c (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00000001920b5a6c (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00000001920b6220 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00000001920b8214 (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00000001920b5654 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00000001920b5490 (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00000001920b99fc (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00000001920b47a0 (__TEXT,__text) non-external -[CalEvent attendees]
00000001920b3c00 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00000001920b3c88 (__TEXT,__text) non-external -[CalEvent description]
00000001920b9150 (__TEXT,__text) non-external -[CalEvent ekEvent]
00000001920b4670 (__TEXT,__text) non-external -[CalEvent endDate]
00000001920b90b8 (__TEXT,__text) non-external -[CalEvent init]
00000001920b46c8 (__TEXT,__text) non-external -[CalEvent isAllDay]
00000001920b984c (__TEXT,__text) non-external -[CalEvent isDetached]
00000001920b9158 (__TEXT,__text) non-external -[CalEvent isEqual:]
00000001920b4618 (__TEXT,__text) non-external -[CalEvent location]
00000001920b988c (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00000001920b4584 (__TEXT,__text) non-external -[CalEvent occurrence]
00000001920b4708 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00000001920b9154 (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00000001920b99e8 (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00000001920b2fa8 (__TEXT,__text) non-external -[CalEvent setEndDate:]
00000001920b3080 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00000001920b301c (__TEXT,__text) non-external -[CalEvent setLocation:]
00000001920b31ec (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00000001920b2f44 (__TEXT,__text) non-external -[CalEvent setStartDate:]
00000001920b968c (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00000001920b30cc (__TEXT,__text) non-external -[CalEvent startDate]
00000001920bafb0 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00000001920baec8 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00000001920baf8c (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00000001920bad4c (__TEXT,__text) non-external -[CalNthWeekDay description]
00000001920baf9c (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00000001920bae08 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00000001920bacac (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00000001920bae10 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00000001920bafa4 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00000001920baf94 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00000001920b4bf8 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00000001920b4b28 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00000001920b2b98 (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00000001920b4b84 (__TEXT,__text) non-external -[CalPredicate predicate]
00000001920b4b14 (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00000001920b4b04 (__TEXT,__text) non-external -[CalPredicate subpredicate]
00000001920bb54c (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00000001920bb2e4 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00000001920bb09c (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00000001920bb538 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00000001920bb528 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00000001920bb1a8 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00000001920bb488 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00000001920bb338 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00000001920bb3e8 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00000001920bb1b0 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00000001920bb530 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00000001920bb540 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00000001920bb060 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00000001920baca0 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00000001920b3278 (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00000001920b34a0 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00000001920b3304 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00000001920b4a68 (__TEXT,__text) non-external -[CalRecurrenceRule description]
00000001920bac8c (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00000001920bac84 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00000001920ba0b8 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00000001920b3124 (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00000001920b9ab0 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00000001920b9c6c (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00000001920b9b78 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00000001920b3908 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00000001920b39f0 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00000001920b9a10 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00000001920b9da8 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00000001920b9f64 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00000001920b9e70 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00000001920ba0c0 (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00000001920b3648 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00000001920b34a8 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00000001920b3650 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00000001920b32fc (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00000001920b32d4 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00000001920bac94 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00000001920ba62c (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00000001920bcb6c (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00000001920bc504 (__TEXT,__text) non-external -[CalTask completedDate]
00000001920bc85c (__TEXT,__text) non-external -[CalTask description]
00000001920bc5c0 (__TEXT,__text) non-external -[CalTask dueDate]
00000001920bc470 (__TEXT,__text) non-external -[CalTask ekReminder]
00000001920bc3d8 (__TEXT,__text) non-external -[CalTask init]
00000001920bc478 (__TEXT,__text) non-external -[CalTask isCompleted]
00000001920bc950 (__TEXT,__text) non-external -[CalTask isEqual:]
00000001920bc708 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00000001920bc67c (__TEXT,__text) non-external -[CalTask priority]
00000001920bc55c (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00000001920bc618 (__TEXT,__text) non-external -[CalTask setDueDate:]
00000001920bc474 (__TEXT,__text) non-external -[CalTask setEKReminder:]
00000001920bcb58 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00000001920bc4b8 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00000001920bc6bc (__TEXT,__text) non-external -[CalTask setPriority:]
00000001920be250 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001920be264 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001920be278 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001d4ec66f8 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00000001d4ec6700 (__DATA_CONST,__const) external _CalAlarmActionEmail
00000001d4ec6708 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00000001d4ec6710 (__DATA_CONST,__const) external _CalAlarmActionSound
00000001d4ec65b8 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00000001d4ec65d8 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00000001d4ec65c0 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00000001d4ec65d0 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00000001d4ec65e0 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00000001d4ec65b0 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00000001d4ec65c8 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00000001d4ec6680 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00000001d4ec6688 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00000001d4ec6690 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00000001d4ec66b0 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00000001d4ec6698 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00000001d4ec66a0 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00000001d4ec66a8 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00000001d4ec66b8 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00000001d4ec66c0 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00000001d4ec6640 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00000001d4ec6628 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00000001920be2a0 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00000001d4ec6668 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00000001d4ec6648 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00000001d4ec6630 (__DATA_CONST,__const) external _CalEventsChangedNotification
00000001d4ec6658 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00000001d4ec6670 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00000001d4ec6788 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00000001d4ec6650 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00000001d4ec6638 (__DATA_CONST,__const) external _CalTasksChangedNotification
00000001d4ec6660 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00000001d4ec6678 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
                 (undefined) external _OBJC_CLASS_$_CADEventPredicate (from CalendarDaemon)
00000001dbf70a38 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAlarm
00000001dbf70948 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAttendee
00000001dbf709e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendar
00000001dbf70bc8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00000001dbf70998 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00000001dbf70a88 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEvent
00000001dbf70b28 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00000001dbf708f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalPredicate
00000001dbf70b78 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00000001dbf70ad8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00000001dbf70c18 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00000001d98ad700 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00000001d98ad704 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00000001d98ad708 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00000001d98ad6f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00000001d98ad6fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00000001d98ad71c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00000001d98ad720 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00000001d98ad6f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00000001d98ad70c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00000001d98ad714 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00000001d98ad6f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00000001d98ad718 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00000001d98ad710 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00000001d98ad724 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00000001dbf70a60 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00000001dbf70970 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00000001dbf70a10 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00000001dbf70bf0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00000001dbf709c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00000001dbf70ab0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalEvent
00000001dbf70b50 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00000001dbf70920 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00000001dbf70ba0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
