00007ff8165b2ca3 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff8165bab96 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDate:isDateOnly:isFloating:]
00007ff8165bab72 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDayOfTheWeek:]
00007ff8165bab51 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromRecurrenceType:]
00007ff8165bcf70 (__TEXT,__text) non-external +[CalTask task]
00007ff8165b9483 (__TEXT,__text) non-external -[CalAlarm .cxx_destruct]
00007ff8165b3e1c (__TEXT,__text) non-external -[CalAlarm absoluteTrigger]
00007ff8165b3e32 (__TEXT,__text) non-external -[CalAlarm acknowledged]
00007ff8165b3d8e (__TEXT,__text) non-external -[CalAlarm action]
00007ff8165b93c0 (__TEXT,__text) non-external -[CalAlarm copyWithZone:]
00007ff8165b3c28 (__TEXT,__text) non-external -[CalAlarm description]
00007ff8165b9432 (__TEXT,__text) non-external -[CalAlarm ekAlarm]
00007ff8165b3df0 (__TEXT,__text) non-external -[CalAlarm emailAddress]
00007ff8165b8dc8 (__TEXT,__text) non-external -[CalAlarm hash]
00007ff8165b8bb0 (__TEXT,__text) non-external -[CalAlarm initWithEKAlarm:]
00007ff8165b2cbc (__TEXT,__text) non-external -[CalAlarm init]
00007ff8165b8dde (__TEXT,__text) non-external -[CalAlarm isEqual:]
00007ff8165b944d (__TEXT,__text) non-external -[CalAlarm relatedToString]
00007ff8165b8cbf (__TEXT,__text) non-external -[CalAlarm relatedTo]
00007ff8165b3e06 (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
00007ff8165b2d18 (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
00007ff8165b2fa7 (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
00007ff8165b2d12 (__TEXT,__text) non-external -[CalAlarm setAction:]
00007ff8165b943c (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
00007ff8165b2fd3 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
00007ff8165b8c42 (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
00007ff8165b9457 (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
00007ff8165b2d2e (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
00007ff8165b2fbd (__TEXT,__text) non-external -[CalAlarm setSound:]
00007ff8165b9472 (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
00007ff8165b2fe9 (__TEXT,__text) non-external -[CalAlarm setUrl:]
00007ff8165b3dda (__TEXT,__text) non-external -[CalAlarm sound]
00007ff8165b8d28 (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
00007ff8165b9468 (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
00007ff8165b3dc4 (__TEXT,__text) non-external -[CalAlarm url]
00007ff8165b4986 (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
00007ff8165b438b (__TEXT,__text) non-external -[CalAttendee address]
00007ff8165b43a1 (__TEXT,__text) non-external -[CalAttendee commonName]
00007ff8165b48f9 (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
00007ff8165b42b1 (__TEXT,__text) non-external -[CalAttendee description]
00007ff8165b496b (__TEXT,__text) non-external -[CalAttendee ekParticipant]
00007ff8165b4606 (__TEXT,__text) non-external -[CalAttendee hash]
00007ff8165b4574 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00007ff8165b461c (__TEXT,__text) non-external -[CalAttendee isEqual:]
00007ff8165b4975 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00007ff8165b43b7 (__TEXT,__text) non-external -[CalAttendee status]
00007ff8165b8ba0 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00007ff8165b3be1 (__TEXT,__text) non-external -[CalCalendar color]
00007ff8165b8b1b (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00007ff8165b3a3f (__TEXT,__text) non-external -[CalCalendar description]
00007ff8165b8b85 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00007ff8165b8655 (__TEXT,__text) non-external -[CalCalendar hash]
00007ff8165b85c3 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00007ff8165b84c8 (__TEXT,__text) non-external -[CalCalendar init]
00007ff8165b1d25 (__TEXT,__text) non-external -[CalCalendar isEditable]
00007ff8165b866b (__TEXT,__text) non-external -[CalCalendar isEqual:]
00007ff8165b3b96 (__TEXT,__text) non-external -[CalCalendar notes]
00007ff8165b1d0f (__TEXT,__text) non-external -[CalCalendar setColor:]
00007ff8165b8b8f (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00007ff8165b1cf9 (__TEXT,__text) non-external -[CalCalendar setNotes:]
00007ff8165b1ce3 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00007ff8165b3b80 (__TEXT,__text) non-external -[CalCalendar title]
00007ff8165b3bf7 (__TEXT,__text) non-external -[CalCalendar type]
00007ff8165b2321 (__TEXT,__text) non-external -[CalCalendar uid]
00007ff8165bcf48 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00007ff8165b2d9e (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00007ff8165bbf61 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00007ff8165b3729 (__TEXT,__text) non-external -[CalCalendarItem alarms]
00007ff8165b36bf (__TEXT,__text) non-external -[CalCalendarItem calendar]
00007ff8165bcea8 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00007ff8165b3667 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00007ff8165b34f2 (__TEXT,__text) non-external -[CalCalendarItem description]
00007ff8165bcf12 (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00007ff8165bbf43 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00007ff8165bce92 (__TEXT,__text) non-external -[CalCalendarItem hash]
00007ff8165bbdf7 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00007ff8165bc3d8 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00007ff8165bbf59 (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00007ff8165b3693 (__TEXT,__text) non-external -[CalCalendarItem notes]
00007ff8165bc08b (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00007ff8165bc0db (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00007ff8165bc205 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00007ff8165b2e92 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00007ff8165bcf1c (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00007ff8165b241f (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00007ff8165b2337 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00007ff8165bcf37 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00007ff8165b2435 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00007ff8165bcba0 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00007ff8165b367d (__TEXT,__text) non-external -[CalCalendarItem title]
00007ff8165b3651 (__TEXT,__text) non-external -[CalCalendarItem uid]
00007ff8165bcf2d (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00007ff8165b36a9 (__TEXT,__text) non-external -[CalCalendarItem url]
00007ff8165b849f (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00007ff8165b67aa (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00007ff8165b67be (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00007ff8165b4c36 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00007ff8165b19ae (__TEXT,__text) non-external -[CalCalendarStore calendars]
00007ff8165b4c2b (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00007ff8165b55ef (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00007ff8165b8484 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00007ff8165b4d15 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00007ff8165b209f (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00007ff8165b69e6 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00007ff8165b5113 (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00007ff8165b49e5 (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00007ff8165b49aa (__TEXT,__text) non-external -[CalCalendarStore init]
00007ff8165b71b8 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00007ff8165b5c10 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00007ff8165b6509 (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00007ff8165b6afa (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00007ff8165b560c (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00007ff8165b6027 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00007ff8165b848e (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00007ff8165b5034 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00007ff8165b4e12 (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00007ff8165b9faf (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00007ff8165b4092 (__TEXT,__text) non-external -[CalEvent attendees]
00007ff8165b32bf (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00007ff8165b3350 (__TEXT,__text) non-external -[CalEvent description]
00007ff8165b9578 (__TEXT,__text) non-external -[CalEvent ekEvent]
00007ff8165b3f51 (__TEXT,__text) non-external -[CalEvent endDate]
00007ff8165b94cf (__TEXT,__text) non-external -[CalEvent init]
00007ff8165b3fa1 (__TEXT,__text) non-external -[CalEvent isAllDay]
00007ff8165b9d8f (__TEXT,__text) non-external -[CalEvent isDetached]
00007ff8165b959c (__TEXT,__text) non-external -[CalEvent isEqual:]
00007ff8165b3f01 (__TEXT,__text) non-external -[CalEvent location]
00007ff8165b9dd4 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00007ff8165b3e48 (__TEXT,__text) non-external -[CalEvent occurrence]
00007ff8165b3fe6 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00007ff8165b958a (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00007ff8165b9f9b (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00007ff8165b23b6 (__TEXT,__text) non-external -[CalEvent setEndDate:]
00007ff8165b24b4 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00007ff8165b244b (__TEXT,__text) non-external -[CalEvent setLocation:]
00007ff8165b2610 (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00007ff8165b234d (__TEXT,__text) non-external -[CalEvent setStartDate:]
00007ff8165b9bdb (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00007ff8165b24fe (__TEXT,__text) non-external -[CalEvent startDate]
00007ff8165bb814 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00007ff8165bb705 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00007ff8165bb7cd (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00007ff8165bb577 (__TEXT,__text) non-external -[CalNthWeekDay description]
00007ff8165bb7f9 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00007ff8165bb632 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00007ff8165bb4e5 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00007ff8165bb648 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00007ff8165bb803 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00007ff8165bb7e3 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00007ff8165b4561 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00007ff8165b449d (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00007ff8165b1fdd (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00007ff8165b44f3 (__TEXT,__text) non-external -[CalPredicate predicate]
00007ff8165b4489 (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00007ff8165b4474 (__TEXT,__text) non-external -[CalPredicate subpredicate]
00007ff8165bbde7 (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00007ff8165bbb65 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00007ff8165bb8e0 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00007ff8165bbdcc (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00007ff8165bbda0 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00007ff8165bba01 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00007ff8165bbd0e (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00007ff8165bbbc4 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00007ff8165bbc72 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00007ff8165bba17 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00007ff8165bbdb6 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00007ff8165bbdd6 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00007ff8165bb8a7 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00007ff8165bb4d5 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00007ff8165b2718 (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00007ff8165b29e8 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00007ff8165b27c0 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00007ff8165b43e8 (__TEXT,__text) non-external -[CalRecurrenceRule description]
00007ff8165bb4ba (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00007ff8165bb4b2 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00007ff8165ba66f (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00007ff8165b254e (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00007ff8165ba054 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00007ff8165ba21b (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00007ff8165ba119 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00007ff8165b2ee2 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00007ff8165b2fff (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00007ff8165b9fc2 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00007ff8165ba34d (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00007ff8165ba510 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00007ff8165ba412 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00007ff8165ba685 (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00007ff8165b2c23 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00007ff8165b29fe (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00007ff8165b2c39 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00007ff8165b27aa (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00007ff8165b2782 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00007ff8165bb4c4 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00007ff8165bac99 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00007ff8165bd7dd (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00007ff8165bd0e5 (__TEXT,__text) non-external -[CalTask completedDate]
00007ff8165bd484 (__TEXT,__text) non-external -[CalTask description]
00007ff8165bd19e (__TEXT,__text) non-external -[CalTask dueDate]
00007ff8165bd032 (__TEXT,__text) non-external -[CalTask ekReminder]
00007ff8165bcf89 (__TEXT,__text) non-external -[CalTask init]
00007ff8165bd056 (__TEXT,__text) non-external -[CalTask isCompleted]
00007ff8165bd585 (__TEXT,__text) non-external -[CalTask isEqual:]
00007ff8165bd2e7 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00007ff8165bd257 (__TEXT,__text) non-external -[CalTask priority]
00007ff8165bd135 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00007ff8165bd1ee (__TEXT,__text) non-external -[CalTask setDueDate:]
00007ff8165bd044 (__TEXT,__text) non-external -[CalTask setEKReminder:]
00007ff8165bd7c9 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00007ff8165bd09b (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00007ff8165bd29b (__TEXT,__text) non-external -[CalTask setPriority:]
00007ff8165bece8 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff8165becfc (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00007ff8165bed10 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ff841e07a38 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00007ff841e07a40 (__DATA_CONST,__const) external _CalAlarmActionEmail
00007ff841e07a48 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00007ff841e07a50 (__DATA_CONST,__const) external _CalAlarmActionSound
00007ff841e078c8 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00007ff841e078e8 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00007ff841e078d0 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00007ff841e078e0 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00007ff841e078f0 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00007ff841e078c0 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00007ff841e078d8 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00007ff841e07990 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00007ff841e079c8 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00007ff841e079d0 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00007ff841e079f0 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00007ff841e079d8 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00007ff841e079e0 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00007ff841e079e8 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00007ff841e079f8 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00007ff841e07a00 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00007ff841e07950 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00007ff841e07938 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00007ff8165bef00 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00007ff841e07978 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00007ff841e07958 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00007ff841e07940 (__DATA_CONST,__const) external _CalEventsChangedNotification
00007ff841e07968 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00007ff841e07980 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00007ff841e07ac8 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00007ff841e07960 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00007ff841e07948 (__DATA_CONST,__const) external _CalTasksChangedNotification
00007ff841e07970 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00007ff841e07988 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00007ff843911090 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAlarm
00007ff843910fa0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAttendee
00007ff843911040 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendar
00007ff843911220 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00007ff843910ff0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00007ff8439110e0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalEvent
00007ff843911180 (__DATA,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00007ff843910f50 (__DATA,__objc_data) external _OBJC_CLASS_$_CalPredicate
00007ff8439111d0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00007ff843911130 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00007ff843911270 (__DATA,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00007ff843910f00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00007ff843910f08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00007ff843910f10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00007ff843910ee8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00007ff843910ef8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00007ff843910f38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00007ff843910f40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00007ff843910ef0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00007ff843910f18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00007ff843910f28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00007ff843910ee0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00007ff843910f30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00007ff843910f20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00007ff843910f48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
