00007ffa42908de0 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa149f696e (__TEXT,__text) non-external __newrpclib_authunix_create.cold.2
00007ffa149f6a1c (__TEXT,__text) non-external __newrpclib_authunix_create.cold.3
00007ffa149f6ab7 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.4
00007ffa149e726d (__TEXT,__text) external __newrpclib_authunix_create_default
00007ffa149f6bed (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.1
00007ffa149f6c9b (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.2
00007ffa149e6b90 (__TEXT,__text) external __newrpclib_callrpc
00007ffa149ebe6d (__TEXT,__text) external __newrpclib_clnt_broadcast
00007ffa149e78a3 (__TEXT,__text) external __newrpclib_clnt_create
00007ffa149e768e (__TEXT,__text) external __newrpclib_clnt_create_timeout
00007ffa149e79f4 (__TEXT,__text) external __newrpclib_clnt_multicasts_buf_timeout
00007ffa149e8d1a (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007ffa149e8a89 (__TEXT,__text) external __newrpclib_clnt_perrno
00007ffa149e899c (__TEXT,__text) external __newrpclib_clnt_perror
00007ffa149e8acb (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007ffa149e8a57 (__TEXT,__text) external __newrpclib_clnt_sperrno
00007ffa149e86bd (__TEXT,__text) external __newrpclib_clnt_sperror
00007ffa149e8da6 (__TEXT,__text) external __newrpclib_clntraw_create
00007ffa149f7134 (__TEXT,__text) non-external __newrpclib_clntraw_create.cold.1
00007ffa149e9e1c (__TEXT,__text) external __newrpclib_clnttcp_create
00007ffa149f7881 (__TEXT,__text) non-external __newrpclib_clnttcp_create.cold.1
00007ffa149e9cf8 (__TEXT,__text) external __newrpclib_clnttcp_create_sa
00007ffa149f774b (__TEXT,__text) non-external __newrpclib_clnttcp_create_sa.cold.1
00007ffa149e9d89 (__TEXT,__text) external __newrpclib_clnttcp_create_timeout
00007ffa149f77e6 (__TEXT,__text) non-external __newrpclib_clnttcp_create_timeout.cold.1
00007ffa149ea7a3 (__TEXT,__text) external __newrpclib_clntudp_bufcreate
00007ffa149ea7fb (__TEXT,__text) external __newrpclib_clntudp_bufcreate_sa
00007ffa149ea378 (__TEXT,__text) external __newrpclib_clntudp_bufcreate_timeout
00007ffa149ea7e5 (__TEXT,__text) external __newrpclib_clntudp_create
00007ffa149ea82d (__TEXT,__text) external __newrpclib_clntudp_create_sa
00007ffa149eaea8 (__TEXT,__text) external __newrpclib_getrpcport
00007ffa149f3a63 (__TEXT,__text) external __newrpclib_netid2socparms
00007ffa149ebbfd (__TEXT,__text) external __newrpclib_pmap_callit
00007ffa149eaf44 (__TEXT,__text) external __newrpclib_pmap_getmaps
00007ffa149eb18b (__TEXT,__text) external __newrpclib_pmap_getport
00007ffa149eb19b (__TEXT,__text) external __newrpclib_pmap_getport_sa
00007ffa149ec006 (__TEXT,__text) external __newrpclib_pmap_indirect
00007ffa149eb1ab (__TEXT,__text) external __newrpclib_pmap_rmtcall
00007ffa149f4598 (__TEXT,__text) external __newrpclib_pmap_set
00007ffa149f46a0 (__TEXT,__text) external __newrpclib_pmap_unset
00007ffa149eb3da (__TEXT,__text) external __newrpclib_pmap_wakeup
00007ffa149f48d9 (__TEXT,__text) external __newrpclib_pmapproc_callit_2
00007ffa149f4898 (__TEXT,__text) external __newrpclib_pmapproc_dump_2
00007ffa149f4853 (__TEXT,__text) external __newrpclib_pmapproc_getport_2
00007ffa149f4799 (__TEXT,__text) external __newrpclib_pmapproc_null_2
00007ffa149f47c9 (__TEXT,__text) external __newrpclib_pmapproc_set_2
00007ffa149f480e (__TEXT,__text) external __newrpclib_pmapproc_unset_2
00007ffa149ed760 (__TEXT,__text) external __newrpclib_registerrpc
00007ffa149f7e15 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.1
00007ffa149f7eb0 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.2
00007ffa149f7f4b (__TEXT,__text) non-external __newrpclib_registerrpc.cold.3
00007ffa149f7ff0 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.4
00007ffa42908dc8 (__DATA,__bss) non-external __newrpclib_registerrpc.transp
00007ffa149ec504 (__TEXT,__text) external __newrpclib_rpc_control
00007ffa149f79b4 (__TEXT,__text) non-external __newrpclib_rpc_control.cold.1
00007ffa42908f08 (__DATA,__common) external __newrpclib_rpc_ipmode
00007ffa42908cc8 (__DATA,__data) external __newrpclib_rpc_v4mapped_ok
00007ffa149eb4c0 (__TEXT,__text) external __newrpclib_rpcb_callit
00007ffa149f61a8 (__TEXT,__text) external __newrpclib_rpcb_getaddr
00007ffa149f61c8 (__TEXT,__text) external __newrpclib_rpcb_getaddr_for_host
00007ffa149f5a06 (__TEXT,__text) external __newrpclib_rpcb_getaddr_timeout
00007ffa149fb2f1 (__TEXT,__text) non-external __newrpclib_rpcb_getaddr_timeout.cold.1
00007ffa149f61b8 (__TEXT,__text) external __newrpclib_rpcb_getversaddr
00007ffa149f60f4 (__TEXT,__text) external __newrpclib_rpcb_getversaddr_timeout
00007ffa149ebe77 (__TEXT,__text) external __newrpclib_rpcb_indirect
00007ffa149f62e4 (__TEXT,__text) external __newrpclib_rpcb_set
00007ffa149f659e (__TEXT,__text) external __newrpclib_rpcb_unset
00007ffa149f4c6c (__TEXT,__text) external __newrpclib_rpcbproc_bcast_4
00007ffa149f4a37 (__TEXT,__text) external __newrpclib_rpcbproc_callit_3
00007ffa149f49f6 (__TEXT,__text) external __newrpclib_rpcbproc_dump_3
00007ffa149f4c2b (__TEXT,__text) external __newrpclib_rpcbproc_dump_4
00007ffa149f49b0 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_3
00007ffa149f4be5 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_4
00007ffa149f4e23 (__TEXT,__text) external __newrpclib_rpcbproc_getaddrlist_4
00007ffa149f4e69 (__TEXT,__text) external __newrpclib_rpcbproc_getstat_4
00007ffa149f4a84 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_3
00007ffa149f4cb9 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_4
00007ffa149f4d90 (__TEXT,__text) external __newrpclib_rpcbproc_getversaddr_4
00007ffa149f4dd6 (__TEXT,__text) external __newrpclib_rpcbproc_indirect_4
00007ffa149f4926 (__TEXT,__text) external __newrpclib_rpcbproc_set_3
00007ffa149f4b5b (__TEXT,__text) external __newrpclib_rpcbproc_set_4
00007ffa149f4b15 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_3
00007ffa149f4d4a (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_4
00007ffa149f4ac4 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_3
00007ffa149f4cf9 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_4
00007ffa149f496b (__TEXT,__text) external __newrpclib_rpcbproc_unset_3
00007ffa149f4ba0 (__TEXT,__text) external __newrpclib_rpcbproc_unset_4
00007ffa149f3e0f (__TEXT,__text) external __newrpclib_sa2uaddr
00007ffa149e7259 (__TEXT,__text) external __newrpclib_set_rpc_maxgrouplist
00007ffa149f39a1 (__TEXT,__text) external __newrpclib_socparms2netid
00007ffa149f107d (__TEXT,__text) external __newrpclib_svc_enable_localaddr
00007ffa149faa6e (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.1
00007ffa149fab02 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.2
00007ffa149fabb0 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.3
00007ffa149ed6cc (__TEXT,__text) external __newrpclib_svc_exit
00007ffa149f1193 (__TEXT,__text) external __newrpclib_svc_getcallee_sa
00007ffa149f1185 (__TEXT,__text) external __newrpclib_svc_getcaller_sa
00007ffa149f1178 (__TEXT,__text) external __newrpclib_svc_getnetid
00007ffa149f0c6e (__TEXT,__text) external __newrpclib_svc_getsomerequests
00007ffa149ed348 (__TEXT,__text) external __newrpclib_svc_pollnext
00007ffa149f7d5e (__TEXT,__text) non-external __newrpclib_svc_pollnext.cold.1
00007ffa149f006a (__TEXT,__text) external __newrpclib_svc_register
00007ffa149f0469 (__TEXT,__text) external __newrpclib_svc_reqsendreply
00007ffa149ece79 (__TEXT,__text) external __newrpclib_svc_run
00007ffa149f03d8 (__TEXT,__text) external __newrpclib_svc_sendreply
00007ffa149f0188 (__TEXT,__text) external __newrpclib_svc_unregister
00007ffa149f08ae (__TEXT,__text) external __newrpclib_svcerr_auth
00007ffa149f0656 (__TEXT,__text) external __newrpclib_svcerr_decode
00007ffa149f052a (__TEXT,__text) external __newrpclib_svcerr_noproc
00007ffa149f09ed (__TEXT,__text) external __newrpclib_svcerr_noprog
00007ffa149f0b16 (__TEXT,__text) external __newrpclib_svcerr_progvers
00007ffa149f0926 (__TEXT,__text) external __newrpclib_svcerr_reqauth
00007ffa149f06d6 (__TEXT,__text) external __newrpclib_svcerr_reqdecode
00007ffa149f05aa (__TEXT,__text) external __newrpclib_svcerr_reqnoproc
00007ffa149f0a6a (__TEXT,__text) external __newrpclib_svcerr_reqnoprog
00007ffa149f0ba8 (__TEXT,__text) external __newrpclib_svcerr_reqprogvers
00007ffa149f0802 (__TEXT,__text) external __newrpclib_svcerr_reqsystemerr
00007ffa149f09de (__TEXT,__text) external __newrpclib_svcerr_reqweakauth
00007ffa149f0782 (__TEXT,__text) external __newrpclib_svcerr_systemerr
00007ffa149f09cf (__TEXT,__text) external __newrpclib_svcerr_weakauth
00007ffa149ee1ce (__TEXT,__text) external __newrpclib_svcfd_create
00007ffa149ecddc (__TEXT,__text) external __newrpclib_svcraw_create
00007ffa149eda35 (__TEXT,__text) external __newrpclib_svctcp_create
00007ffa149f8270 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.1
00007ffa149f831e (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.2
00007ffa149f83b9 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.3
00007ffa149f8467 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.4
00007ffa149f8515 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.5
00007ffa149f85b0 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.6
00007ffa149f864b (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.7
00007ffa149eecef (__TEXT,__text) external __newrpclib_svcudp_bufcreate
00007ffa149f981d (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.1
00007ffa149f98cb (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.2
00007ffa149f9979 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.3
00007ffa149f9a27 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.4
00007ffa149f9ad5 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.5
00007ffa149f9b83 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.6
00007ffa149ef034 (__TEXT,__text) external __newrpclib_svcudp_create
00007ffa149f3b21 (__TEXT,__text) external __newrpclib_uaddr2sa
00007ffa149f11a2 (__TEXT,__text) external __newrpclib_xdr_array
00007ffa149fac4a (__TEXT,__text) non-external __newrpclib_xdr_array.cold.1
00007ffa149e760c (__TEXT,__text) external __newrpclib_xdr_authunix_parms
00007ffa149f2a04 (__TEXT,__text) external __newrpclib_xdr_bool
00007ffa149f2b20 (__TEXT,__text) external __newrpclib_xdr_bytes
00007ffa149fafb0 (__TEXT,__text) non-external __newrpclib_xdr_bytes.cold.1
00007ffa149ec882 (__TEXT,__text) external __newrpclib_xdr_callhdr
00007ffa149ec16a (__TEXT,__text) external __newrpclib_xdr_callmsg
00007ffa149f29a4 (__TEXT,__text) external __newrpclib_xdr_char
00007ffa149ec80d (__TEXT,__text) external __newrpclib_xdr_des_block
00007ffa149f1370 (__TEXT,__text) external __newrpclib_xdr_double
00007ffa149f2a71 (__TEXT,__text) external __newrpclib_xdr_enum
00007ffa149f131d (__TEXT,__text) external __newrpclib_xdr_float
00007ffa149f25f4 (__TEXT,__text) external __newrpclib_xdr_free
00007ffa149f306e (__TEXT,__text) external __newrpclib_xdr_getrecord
00007ffa149f3046 (__TEXT,__text) external __newrpclib_xdr_hyper
00007ffa149f262a (__TEXT,__text) external __newrpclib_xdr_int
00007ffa149f28dc (__TEXT,__text) external __newrpclib_xdr_int16_t
00007ffa149f2752 (__TEXT,__text) external __newrpclib_xdr_int32_t
00007ffa149f2ea4 (__TEXT,__text) external __newrpclib_xdr_int64_t
00007ffa149f26ec (__TEXT,__text) external __newrpclib_xdr_long
00007ffa149f305a (__TEXT,__text) external __newrpclib_xdr_longlong_t
00007ffa149f59c6 (__TEXT,__text) external __newrpclib_xdr_netbuf
00007ffa149f2cf6 (__TEXT,__text) external __newrpclib_xdr_netobj
00007ffa149f2a7b (__TEXT,__text) external __newrpclib_xdr_opaque
00007ffa42908df0 (__DATA,__bss) non-external __newrpclib_xdr_opaque.crud
00007ffa149ec7d4 (__TEXT,__text) external __newrpclib_xdr_opaque_auth
00007ffa149f4322 (__TEXT,__text) external __newrpclib_xdr_pmap
00007ffa149f44ed (__TEXT,__text) external __newrpclib_xdr_pmap_call_args
00007ffa149f4558 (__TEXT,__text) external __newrpclib_xdr_pmap_call_result
00007ffa149f43a0 (__TEXT,__text) external __newrpclib_xdr_pmaplist
00007ffa149f4380 (__TEXT,__text) external __newrpclib_xdr_pmaplist_ptr
00007ffa149f229a (__TEXT,__text) external __newrpclib_xdr_pointer
00007ffa149f21e5 (__TEXT,__text) external __newrpclib_xdr_reference
00007ffa149faf02 (__TEXT,__text) non-external __newrpclib_xdr_reference.cold.1
00007ffa149ec81c (__TEXT,__text) external __newrpclib_xdr_replymsg
00007ffa149eb298 (__TEXT,__text) external __newrpclib_xdr_rmtcall_args
00007ffa149eb376 (__TEXT,__text) external __newrpclib_xdr_rmtcallres
00007ffa149f4f73 (__TEXT,__text) external __newrpclib_xdr_rp__list
00007ffa149f4ef6 (__TEXT,__text) external __newrpclib_xdr_rpcb
00007ffa149f5190 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry
00007ffa149f5212 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list
00007ffa149f535f (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list_ptr
00007ffa149f50e0 (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallargs
00007ffa149f514b (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallres
00007ffa149f5906 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat
00007ffa149f59a1 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat_byvers
00007ffa149f50c0 (__TEXT,__text) external __newrpclib_xdr_rpcblist_ptr
00007ffa149f537f (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist
00007ffa149f58c6 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist_ptr
00007ffa149f58a1 (__TEXT,__text) external __newrpclib_xdr_rpcbs_proc
00007ffa149f55d9 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist
00007ffa149f58e6 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist_ptr
00007ffa149f2814 (__TEXT,__text) external __newrpclib_xdr_short
00007ffa149f2303 (__TEXT,__text) external __newrpclib_xdr_sizeof
00007ffa149f2d93 (__TEXT,__text) external __newrpclib_xdr_string
00007ffa149fb10c (__TEXT,__text) non-external __newrpclib_xdr_string.cold.1
00007ffa149f29d4 (__TEXT,__text) external __newrpclib_xdr_u_char
00007ffa149f3050 (__TEXT,__text) external __newrpclib_xdr_u_hyper
00007ffa149f268b (__TEXT,__text) external __newrpclib_xdr_u_int
00007ffa149f271f (__TEXT,__text) external __newrpclib_xdr_u_long
00007ffa149f3064 (__TEXT,__text) external __newrpclib_xdr_u_longlong_t
00007ffa149f2878 (__TEXT,__text) external __newrpclib_xdr_u_short
00007ffa149f2940 (__TEXT,__text) external __newrpclib_xdr_uint16_t
00007ffa149f27b3 (__TEXT,__text) external __newrpclib_xdr_uint32_t
00007ffa149f2f75 (__TEXT,__text) external __newrpclib_xdr_uint64_t
00007ffa149f2d0c (__TEXT,__text) external __newrpclib_xdr_union
00007ffa149f12cb (__TEXT,__text) external __newrpclib_xdr_vector
00007ffa149f261f (__TEXT,__text) external __newrpclib_xdr_void
00007ffa149f2e95 (__TEXT,__text) external __newrpclib_xdr_wrapstring
00007ffa149f1406 (__TEXT,__text) external __newrpclib_xdrmem_create
00007ffa149f1972 (__TEXT,__text) external __newrpclib_xdrrec_create
00007ffa149facf8 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.1
00007ffa149fada6 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.2
00007ffa149fae54 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.3
00007ffa149f1efa (__TEXT,__text) external __newrpclib_xdrrec_endofrecord
00007ffa149f1e9e (__TEXT,__text) external __newrpclib_xdrrec_eof
00007ffa149f1c55 (__TEXT,__text) external __newrpclib_xdrrec_skiprecord
00007ffa149f24a5 (__TEXT,__text) external __newrpclib_xdrstdio_create
00007ffa149efb3f (__TEXT,__text) external __newrpclib_xprt_register
00007ffa149efd88 (__TEXT,__text) external __newrpclib_xprt_unregister
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
00007ffa149ecdac (__TEXT,__text) non-external (was a private external) __svcauth_null
00007ffa149ecc4e (__TEXT,__text) non-external (was a private external) __svcauth_short
00007ffa149ecaad (__TEXT,__text) non-external (was a private external) __svcauth_unix
                 (undefined) external _abort (from libSystem)
                 (undefined) external _accept (from libSystem)
00007ffa149ed2a6 (__TEXT,__text) non-external (was a private external) _add_working_xprt
00007ffa149f7c41 (__TEXT,__text) non-external _add_working_xprt.cold.1
00007ffa149f7cca (__TEXT,__text) non-external _add_working_xprt.cold.2
                 (undefined) external _asprintf (from libSystem)
00007ffa40c3a510 (__DATA_CONST,__const) non-external _auth_errlist
00007ffa42908848 (__DATA,__data) non-external _auth_unix_ops
00007ffa149e6f08 (__TEXT,__text) non-external _authnone_destroy
00007ffa149e6df7 (__TEXT,__text) non-external _authnone_init
00007ffa149e6ec9 (__TEXT,__text) non-external _authnone_marshal
00007ffa42908810 (__DATA,__data) non-external _authnone_once_init
00007ffa42908d98 (__DATA,__bss) non-external _authnone_private
00007ffa149e6f00 (__TEXT,__text) non-external _authnone_refresh
00007ffa149e6ef5 (__TEXT,__text) non-external _authnone_validate
00007ffa149e6ec3 (__TEXT,__text) non-external _authnone_verf
00007ffa149e75c4 (__TEXT,__text) non-external _authunix_destroy
00007ffa149e73cf (__TEXT,__text) non-external _authunix_marshal
00007ffa149e73c9 (__TEXT,__text) non-external _authunix_nextverf
00007ffa149e74a2 (__TEXT,__text) non-external _authunix_refresh
00007ffa149e73f2 (__TEXT,__text) non-external _authunix_validate
00007ffa42908948 (__DATA,__data) non-external _bcast
                 (undefined) external _bcmp (from libSystem)
                 (undefined) external _bind (from libSystem)
                 (undefined) external _bindresvport_sa (from libSystem)
00007ffa42908da8 (__DATA,__bss) non-external _buf
00007ffa149e8d95 (__TEXT,__text) non-external _bufdestroy
00007ffa149eb724 (__TEXT,__text) non-external _build_callit_rpc
00007ffa42908cd0 (__DATA,__data) non-external _cache_control_init
00007ffa149f410d (__TEXT,__text) non-external _cache_init
00007ffa149fb268 (__TEXT,__text) non-external _cache_init.cold.1
00007ffa42908e30 (__DATA,__bss) non-external _cache_rwlock
                 (undefined) external _calloc (from libSystem)
00007ffa42908d90 (__DATA,__bss) non-external _callrpc_private
00007ffa149e9c45 (__TEXT,__text) non-external _check_raddr
                 (undefined) external _chmod (from libSystem)
00007ffa42908898 (__DATA,__data) non-external _client_ops
00007ffa149e7952 (__TEXT,__text) external _clnt_auth_set
00007ffa42908888 (__DATA,__data) non-external _clnt_perror_once
00007ffa149e8796 (__TEXT,__text) non-external _clnt_sperror_r
00007ffa149e90b4 (__TEXT,__text) non-external _clntraw_abort
00007ffa149e8ec9 (__TEXT,__text) non-external _clntraw_call
00007ffa149e90f1 (__TEXT,__text) non-external _clntraw_control
00007ffa149e90eb (__TEXT,__text) non-external _clntraw_destroy
00007ffa149e90c0 (__TEXT,__text) non-external _clntraw_freeres
00007ffa149e90ba (__TEXT,__text) non-external _clntraw_geterr
00007ffa42908db0 (__DATA,__bss) non-external _clntraw_private
00007ffa149ea263 (__TEXT,__text) non-external _clntstrm_abort
00007ffa149e9f2b (__TEXT,__text) non-external _clntstrm_call
00007ffa149ea2fb (__TEXT,__text) non-external _clntstrm_control
00007ffa149e90f9 (__TEXT,__text) external _clntstrm_create_timeout
00007ffa149f71cf (__TEXT,__text) non-external _clntstrm_create_timeout.cold.1
00007ffa149f726a (__TEXT,__text) non-external _clntstrm_create_timeout.cold.2
00007ffa149f7302 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.3
00007ffa149f73a0 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.4
00007ffa149f7438 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.5
00007ffa149f74d3 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.6
00007ffa149f7581 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.7
00007ffa149ea2a8 (__TEXT,__text) non-external _clntstrm_destroy
00007ffa149ea286 (__TEXT,__text) non-external _clntstrm_freeres
00007ffa149ea269 (__TEXT,__text) non-external _clntstrm_geterr
00007ffa149e9c76 (__TEXT,__text) external _clntticots_create
00007ffa149f76b0 (__TEXT,__text) non-external _clntticots_create.cold.1
00007ffa149e9f21 (__TEXT,__text) external _clntticots_create_timeout
00007ffa149e9bc5 (__TEXT,__text) external _clntticotsord_create
00007ffa149f7615 (__TEXT,__text) non-external _clntticotsord_create.cold.1
00007ffa149e9e9c (__TEXT,__text) external _clntticotsord_create_timeout
00007ffa149f791c (__TEXT,__text) non-external _clntticotsord_create_timeout.cold.1
00007ffa149ead43 (__TEXT,__text) non-external _clntudp_abort
00007ffa149ea85d (__TEXT,__text) non-external _clntudp_call
00007ffa149eadd2 (__TEXT,__text) non-external _clntudp_control
00007ffa149ead88 (__TEXT,__text) non-external _clntudp_destroy
00007ffa149ead66 (__TEXT,__text) non-external _clntudp_freeres
00007ffa149ead49 (__TEXT,__text) non-external _clntudp_geterr
                 (undefined) external _close (from libSystem)
00007ffa149f41e6 (__TEXT,__text) non-external _compare_sa
00007ffa149fb6f0 (__TEXT,__const) non-external _compare_sa.allones
00007ffa42908f00 (__DATA,__common) non-external (was a private external) _conncount
                 (undefined) external _connect (from libSystem)
00007ffa42908cb8 (__DATA,__data) non-external _create_key_init
00007ffa149f0220 (__TEXT,__text) non-external _create_svc_req_key
00007ffa149f3128 (__TEXT,__text) non-external (was a private external) _cvt4to6
00007ffa149f30d8 (__TEXT,__text) non-external (was a private external) _cvt6to4
00007ffa149fb6c0 (__TEXT,__const) non-external _default_tottimeout
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ffa149f218a (__TEXT,__text) non-external _fill_input_buf
00007ffa149f1f53 (__TEXT,__text) non-external _flush_out
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffa149e8595 (__TEXT,__text) non-external _free_interface_list
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freehostent (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
00007ffa149f3f15 (__TEXT,__text) external _freenetconfigent
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ffa149f2070 (__TEXT,__text) non-external _get_input_bytes
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getgroups (from libSystem)
00007ffa149f315f (__TEXT,__text) non-external (was a private external) _gethostaddr
                 (undefined) external _gethostbyname (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getipnodebyname (from libSystem)
00007ffa149f3f4c (__TEXT,__text) external _getnetconfigent
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid_r (from libSystem)
00007ffa149f5cc4 (__TEXT,__text) non-external _getrpcbind_handle
                 (undefined) external _getsockname (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
00007ffa149f6053 (__TEXT,__text) non-external _handle_callerror
00007ffa149f249d (__TEXT,__text) non-external _harmless
00007ffa42908e00 (__DATA,__bss) non-external _if_addr_cache
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _in6addr_loopback (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _inet_pton (from libSystem)
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _kevent64 (from libSystem)
00007ffa42908bd0 (__DATA,__data) non-external (was a private external) _kq
00007ffa42908be8 (__DATA,__data) non-external _kq_control_fd
                 (undefined) external _kqueue (from libSystem)
                 (undefined) external _listen (from libSystem)
                 (undefined) external _lseek (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
00007ffa149ee1dd (__TEXT,__text) non-external _makefd_xprt
00007ffa149f8ee5 (__TEXT,__text) non-external _makefd_xprt.cold.1
00007ffa149f8f93 (__TEXT,__text) non-external _makefd_xprt.cold.2
00007ffa149f9041 (__TEXT,__text) non-external _makefd_xprt.cold.3
00007ffa149f90ef (__TEXT,__text) non-external _makefd_xprt.cold.4
00007ffa149f918a (__TEXT,__text) non-external _makefd_xprt.cold.5
