00007ffc027df935 (__TEXT,__text) external _LLVMExtraCreateBinary
00007ffc027d8c32 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationIndirectAccelerationStructures
00007ffc027d8c78 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationMaxAccelerationStructureTraversalDepth
00007ffc027d8d8f (__TEXT,__text) external _MTLGPUCompilerSetRequiredThreadsPerThreadgroup
00007ffc027d7d07 (__TEXT,__text) external _MTLGPUCompilerSetStitcherScript
00007ffc027d1e75 (__TEXT,__text) external _MTLGPUCompilerSetTargetArch
00007ffc027d1d57 (__TEXT,__text) external _MTLGPUCompilerSetTargetTriple
00007ffc027d5f86 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibrary
00007ffc027d6403 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToBuffer
00007ffc027d6878 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToFD
00007ffc027d4fb3 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunction
00007ffc027d54b0 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToBuffer
00007ffc027d59a5 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToFD
00007ffc027d7d7d (__TEXT,__text) external _MTLGPUCompilerStitchFunctions
00007ffc027d80cc (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToBuffer
00007ffc027d8410 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToFD
00007ffc027e1b8c (__TEXT,__text) external _MTLMakeSharedMetalModule
00007ffc027e2a01 (__TEXT,__text) external _MTLMetalDynamicLibraryGetInstallName
00007ffc027e1e92 (__TEXT,__text) external _MTLMetalFunctionCreate
00007ffc027e1c84 (__TEXT,__text) external _MTLMetalFunctionCreateWithModule
00007ffc027e2084 (__TEXT,__text) external _MTLMetalFunctionDestroy
00007ffc027e22da (__TEXT,__text) external _MTLMetalFunctionGetAIRVersion
00007ffc027e23d2 (__TEXT,__text) external _MTLMetalFunctionGetAlias
00007ffc027e211b (__TEXT,__text) external _MTLMetalFunctionGetKind
00007ffc027e220f (__TEXT,__text) external _MTLMetalFunctionGetLLVMModule
00007ffc027e21cc (__TEXT,__text) external _MTLMetalFunctionGetMetalModule
00007ffc027e2356 (__TEXT,__text) external _MTLMetalFunctionGetMetalVersion
00007ffc027e2296 (__TEXT,__text) external _MTLMetalFunctionGetModule
00007ffc027e20de (__TEXT,__text) external _MTLMetalFunctionGetName
00007ffc027e29c5 (__TEXT,__text) external _MTLMetalImportedSymbolGetName
00007ffc027e0b37 (__TEXT,__text) external _MTLMetalLibCreateCoreImage
00007ffc027e0aec (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTriple
00007ffc027e0a1d (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTripleAndInstallName
00007ffc027e0c75 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibrary
00007ffc027e0ba6 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibraryWithTriple
00007ffc027e09ae (__TEXT,__text) external _MTLMetalLibCreateExecutable
00007ffc027e0963 (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTriple
00007ffc027e0894 (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTripleAndInstallName
00007ffc027e0cc0 (__TEXT,__text) external _MTLMetalLibDestroy
00007ffc027e3b3a (__TEXT,__text) external _MTLMetalLibGetAsObject
00007ffc027e17c4 (__TEXT,__text) external _MTLMetalLibGetDynamicLibrariesCount
00007ffc027e1810 (__TEXT,__text) external _MTLMetalLibGetDynamicLibraryNo
00007ffc027e0d58 (__TEXT,__text) external _MTLMetalLibGetFunctionNo
00007ffc027e0d0c (__TEXT,__text) external _MTLMetalLibGetFunctionsCount
00007ffc027e1732 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolNo
00007ffc027e16e6 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolsCount
00007ffc027e177b (__TEXT,__text) external _MTLMetalLibGetInstallName
00007ffc027e18ee (__TEXT,__text) external _MTLMetalLibGetLLVMModuleNo
00007ffc027e18a5 (__TEXT,__text) external _MTLMetalLibGetMetalModuleNo
00007ffc027e196f (__TEXT,__text) external _MTLMetalLibGetModuleNo
00007ffc027e1859 (__TEXT,__text) external _MTLMetalLibGetModulesCount
00007ffc027e1a04 (__TEXT,__text) external _MTLMetalLibGetSourceNo
00007ffc027e19b8 (__TEXT,__text) external _MTLMetalLibGetSourcesCount
00007ffc027e162c (__TEXT,__text) external _MTLMetalLibGetVariableNo
00007ffc027e15e0 (__TEXT,__text) external _MTLMetalLibGetVariablesCount
00007ffc027e0da1 (__TEXT,__text) external _MTLMetalLibInsertFunction
00007ffc027e1675 (__TEXT,__text) external _MTLMetalLibInsertVariable
00007ffc027e1a51 (__TEXT,__text) external _MTLMetalModuleCreatePersistentWithModule
00007ffc027e1b40 (__TEXT,__text) external _MTLMetalModuleDestroy
00007ffc027e2c9b (__TEXT,__text) external _MTLMetalSourceExtractToSubDirectory
00007ffc027e2c09 (__TEXT,__text) external _MTLMetalSourceGetCommandLine
00007ffc027e2bc2 (__TEXT,__text) external _MTLMetalSourceGetObjectFileName
00007ffc027e2c52 (__TEXT,__text) external _MTLMetalSourceGetWorkingDir
00007ffc027e2505 (__TEXT,__text) external _MTLMetalVariableCreate
00007ffc027e240f (__TEXT,__text) external _MTLMetalVariableCreateWithModule
00007ffc027e26f9 (__TEXT,__text) external _MTLMetalVariableDestroy
00007ffc027e2890 (__TEXT,__text) external _MTLMetalVariableGetAIRVersion
00007ffc027e2988 (__TEXT,__text) external _MTLMetalVariableGetAlias
00007ffc027e27c5 (__TEXT,__text) external _MTLMetalVariableGetLLVMModule
00007ffc027e2782 (__TEXT,__text) external _MTLMetalVariableGetMetalModule
00007ffc027e290c (__TEXT,__text) external _MTLMetalVariableGetMetalVersion
00007ffc027e284c (__TEXT,__text) external _MTLMetalVariableGetModule
00007ffc027e2745 (__TEXT,__text) external _MTLMetalVariableGetName
00007ffc027e3ab8 (__TEXT,__text) external _MTLModuleGetAsObject
00007ffc027e381c (__TEXT,__text) external _MTLObjectCreate
00007ffc027e39cf (__TEXT,__text) external _MTLObjectDestroy
00007ffc027e3bc8 (__TEXT,__text) external _MTLObjectGetAsArchive
00007ffc027e3c26 (__TEXT,__text) external _MTLObjectGetAsMetalLib
00007ffc027e3b7b (__TEXT,__text) external _MTLObjectGetAsModule
00007ffc027d0599 (__TEXT,__text) external _MTLUpgradeAIRModule
00007ffc027d0a1e (__TEXT,__text) external _MTLVerifyAIRModule
00007ffc027d0ac7 (__TEXT,__text) external _MTLWriteAIRBitcodeToMemoryBuffer
00007ffc027d0c97 (__TEXT,__text) external _MTLWriteAIRReflectionToMemoryBuffer
00007ffc027e2a3d (__TEXT,__text) external _MTLWriteMetalLibToMemoryBuffer
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary25findInExplicitLoadedImageEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary26findInImplicitLoadedImagesEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryC1EPKvPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm10TimerGroupD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoInfsEb (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoNaNsEb (from libLLVM)
                 (undefined) external __ZN4llvm11LLVMContextD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11NamedMDNode10setOperandEjPNS_6MDNodeE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream16SetBufferAndModeEPcmNS0_10BufferKindE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEPKcm (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEh (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamD2Ev (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEPKv (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEl (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEm (from libLLVM)
                 (undefined) external __ZN4llvm12MemoryBuffer16getMemBufferCopyENS_9StringRefERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm13ErrorInfoBase2IDE (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl11RehashTableEj (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl15LookupBucketForENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamC1EibbNS_11raw_ostream11OStreamKindE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm15MemoryBufferRefC1ERKNS_12MemoryBufferE (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIjE13mallocForGrowEmmRm (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIyE8grow_podEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm15allocate_bufferEmm (from libLLVM)
                 (undefined) external __ZN4llvm15setBugReportMsgEPKc (from libLLVM)
                 (undefined) external __ZN4llvm16IRChangedPrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm17TimePassesHandler5printEv (from libLLVM)
                 (undefined) external __ZN4llvm17deallocate_bufferEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm18report_fatal_errorERKNS_5TwineEb (from libLLVM)
                 (undefined) external __ZN4llvm19InLineChangePrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20CrashRecoveryContext9RunSafelyENS_12function_refIFvvEEE (from libLLVM)
                 (undefined) external __ZN4llvm20CrashRecoveryContextC1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20CrashRecoveryContextD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20DotCfgChangeReporterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm22EnablePrettyStackTraceEv (from libLLVM)
                 (undefined) external __ZN4llvm22PrintIRInstrumentationD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm3air10APITrackerC2EPKcSt16initializer_listINSt3__18functionIFvRNS_11raw_ostreamEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10APITrackerD2Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10Reflection6createERKNS_6ModuleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10ScriptFile6createENS_15MemoryBufferRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air11MetalModuleC1ENSt3__110shared_ptrINS_6ModuleEEENS1_19MaterializationKindERNS_5ErrorE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air15verifyAIRModuleERKNS_6ModuleENS0_17VerificationLevelE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16MetalDefinedSymbC2ENSt3__110shared_ptrINS0_11MetalModuleEEENS_9StringRefES6_NS1_10SymbolFlagENS3_INS0_11MetalSourceEEENS_8ArrayRefIS9_EENSA_IhEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16upgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air18downgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriter5writeEv (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriterC1ENSt3__110unique_ptrINS0_8MetalLibENS2_14default_deleteIS4_EEEERNS_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air21WriteAIRBitcodeToFileEPKNS_6ModuleERNS_11raw_ostreamENS0_14BitcodeVersionEb (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air28NormalizeModuleForAIRBitcodeEPNS_6ModuleENS0_14BitcodeVersionE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air7Archive9addMemberENS_9StringRefENSt3__110unique_ptrINS_6ModuleENS3_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3sys2fs16createUniqueFileERKNS_5TwineERiRNS_15SmallVectorImplIcEENS1_9OpenFlagsEj (from libLLVM)
                 (undefined) external __ZN4llvm3sys2fs18create_directoriesERKNS_5TwineEbNS1_5permsE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path14home_directoryERNS_15SmallVectorImplIcEE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path6appendERNS_15SmallVectorImplIcEERKNS_5TwineES7_S7_S7_ (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path8filenameENS_9StringRefENS1_5StyleE (from libLLVM)
                 (undefined) external __ZN4llvm5MachO19getArchitectureNameENS0_12ArchitectureE (from libLLVM)
                 (undefined) external __ZN4llvm5MachO26getArchitectureFromCpuTypeEjj (from libLLVM)
                 (undefined) external __ZN4llvm5MachOlsERNS_11raw_ostreamENS0_12ArchitectureE (from libLLVM)
                 (undefined) external __ZN4llvm5TimerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6ModuleD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6SHA256D1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6TripleC1ERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm6legacy11PassManagerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6object12createBinaryENS_15MemoryBufferRefEPNS_11LLVMContextEb (from libLLVM)
                 (undefined) external __ZN4llvm7MDTuple7getImplERNS_11LLVMContextENS_8ArrayRefIPNS_8MetadataEEENS4_11StorageTypeEb (from libLLVM)
                 (undefined) external __ZN4llvm7airdyld6Loader17setFunctionGroupsENS_15MutableArrayRefINSt3__110unique_ptrINS_3air13FunctionGroupENS3_14default_deleteIS6_EEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm8Function9addFnAttrENS_9StringRefES1_ (from libLLVM)
                 (undefined) external __ZN4llvm8MDString3getERNS_11LLVMContextENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm9ErrorList2IDE (from libLLVM)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_12VersionTupleE (from libLLVM)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_3air15UniversalBinaryE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_3air7ArchiveE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_3air8MetalLibE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver10dumpToFileERN4llvm11raw_ostreamES3_ (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11addPipelineEjN4llvm8ArrayRefINS_16GPUArchiverIndexEEENS1_9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11buildToFileERN4llvm11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11compressAllERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11setUnitHashENS_16GPUArchiverIndexEN4llvm8ArrayRefIjEENS3_IA32_hEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12compressNoneERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12createWriterENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12deleteWithIdEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12dumpToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13addDescriptorEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13buildToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver14setInstallNameEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver15compressModulesERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver15compressSourcesERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver16addLinkedModulesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPNS2_12MemoryBufferEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setActivePlatformENS_25GPUArchiverActivePlatformERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setUnitReflectionENS_16GPUArchiverIndexEPKN4llvm12MemoryBufferES5_RNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18createWriterWithIdENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18keepPackingSymbolsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver19compressDescriptorsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver19compressReflectionsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver20addUnitWithReferenceEN4llvm5MachO12ArchitectureEPKNS_18GPUArchiverUnitRefES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30addLinkedModulesWithReferencesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPKNS_18GPUArchiverUnitRefEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30setUnitReflectionWithReferenceENS_16GPUArchiverIndexEPKNS_18GPUArchiverUnitRefES4_RN4llvm11raw_ostreamE (from libGPUCompilerImpl)
