00000001981ef71c (__TEXT,__text) non-external +[CalAlarm alarm]
00000001981f0720 (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00000001981f0710 (__TEXT,__text) non-external -[CalPredicate subpredicate]
00000001981f7e98 (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00000001981f7c30 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00000001981f79e8 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00000001981f7e84 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00000001981f7e74 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00000001981f7af4 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00000001981f7dd4 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00000001981f7c84 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00000001981f7d34 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00000001981f7afc (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00000001981f7e7c (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00000001981f7e8c (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00000001981f79ac (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00000001981f75ec (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00000001981f6df8 (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00000001981ef4fc (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00000001981ef360 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00000001981f05b0 (__TEXT,__text) non-external -[CalRecurrenceRule description]
00000001981f75d8 (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00000001981f75d0 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00000001981f69c4 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00000001981f601c (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00000001981f63bc (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00000001981f6578 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00000001981f6484 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00000001981f60e4 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00000001981f61ac (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00000001981f5f7c (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00000001981f66b4 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00000001981f6870 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00000001981f677c (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00000001981f69cc (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00000001981ef6a4 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00000001981ef504 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00000001981ef6ac (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00000001981ef358 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00000001981ef330 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00000001981f75e0 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00000001981f6f74 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00000001981f9618 (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00000001981f8fb0 (__TEXT,__text) non-external -[CalTask completedDate]
00000001981f9308 (__TEXT,__text) non-external -[CalTask description]
00000001981f906c (__TEXT,__text) non-external -[CalTask dueDate]
00000001981f8f1c (__TEXT,__text) non-external -[CalTask ekReminder]
00000001981f8e84 (__TEXT,__text) non-external -[CalTask init]
00000001981f8f24 (__TEXT,__text) non-external -[CalTask isCompleted]
00000001981f93fc (__TEXT,__text) non-external -[CalTask isEqual:]
00000001981f91b4 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00000001981f9128 (__TEXT,__text) non-external -[CalTask priority]
00000001981f9008 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00000001981f90c4 (__TEXT,__text) non-external -[CalTask setDueDate:]
00000001981f8f20 (__TEXT,__text) non-external -[CalTask setEKReminder:]
00000001981f9604 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00000001981f8f64 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00000001981f9168 (__TEXT,__text) non-external -[CalTask setPriority:]
00000001981fac28 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001981fac3c (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001981fac54 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001e749c4c8 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00000001e749c4d0 (__DATA_CONST,__const) external _CalAlarmActionEmail
00000001e749c4d8 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00000001e749c4e0 (__DATA_CONST,__const) external _CalAlarmActionSound
00000001e749c388 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00000001e749c3a8 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00000001e749c390 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00000001e749c3a0 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00000001e749c3b0 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00000001e749c380 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00000001e749c398 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00000001e749c450 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00000001e749c458 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00000001e749c460 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00000001e749c480 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00000001e749c468 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00000001e749c470 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00000001e749c478 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00000001e749c488 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00000001e749c490 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00000001e749c410 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00000001e749c3f8 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00000001981fac78 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00000001e749c438 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00000001e749c418 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00000001e749c400 (__DATA_CONST,__const) external _CalEventsChangedNotification
00000001e749c428 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00000001e749c440 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00000001e749c520 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00000001e749c420 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00000001e749c408 (__DATA_CONST,__const) external _CalTasksChangedNotification
00000001e749c430 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00000001e749c448 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00000001ee1c7948 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAlarm
00000001ee1c7858 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAttendee
00000001ee1c78f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendar
00000001ee1c7ad8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00000001ee1c78a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00000001ee1c7998 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEvent
00000001ee1c7a38 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00000001ee1c7808 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalPredicate
                 (undefined) external _OBJC_CLASS_$_CalRecurrenceDayOfWeek (from CalendarFoundation)
00000001ee1c7a88 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00000001ee1c79e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00000001ee1c7b28 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00000001eae45e70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00000001eae45e74 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00000001eae45e78 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00000001eae45e64 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00000001eae45e6c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00000001eae45e8c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00000001eae45e90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00000001eae45e68 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00000001eae45e7c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00000001eae45e84 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00000001eae45e60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00000001eae45e88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00000001eae45e80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00000001eae45e94 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00000001ee1c7970 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00000001ee1c7880 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00000001ee1c7920 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00000001ee1c7b00 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00000001ee1c78d0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00000001ee1c79c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalEvent
00000001ee1c7a60 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00000001ee1c7830 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00000001ee1c7ab0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00000001ee1c7a10 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
