00007ff812d16a6d (__TEXT,__text) external _CCAESCmac
00007ff812d1906e (__TEXT,__text) external _CCECCryptorGenerateBlindingKeys
00007ff812d186a0 (__TEXT,__text) external _CCECCryptorGeneratePair
00007ff812d18969 (__TEXT,__text) external _CCECCryptorGetKeyComponents
00007ff812d1b8dd (__TEXT,__text) external _CCECCryptorGetPublicKeyFromPrivateKey
00007ff812d18fc3 (__TEXT,__text) external _CCECCryptorH2C
00007ff812d18a8c (__TEXT,__text) external _CCECCryptorImportKey
00007ff812d18a75 (__TEXT,__text) external _CCECCryptorImportPublicKey
00007ff812d18a6b (__TEXT,__text) external _CCECCryptorRelease
00007ff812d18d54 (__TEXT,__text) external _CCECCryptorSignHash
00007ff812d18eb6 (__TEXT,__text) external _CCECCryptorTwinDiversifyEntropySize
00007ff812d18eca (__TEXT,__text) external _CCECCryptorTwinDiversifyKey
00007ff812d1919e (__TEXT,__text) external _CCECCryptorUnblind
00007ff812d18e47 (__TEXT,__text) external _CCECCryptorUnwrapKey
00007ff812d18dce (__TEXT,__text) external _CCECCryptorVerifyHash
00007ff812d18e3c (__TEXT,__text) external _CCECCryptorWrapKey
00007ff812d18a56 (__TEXT,__text) external _CCECGetKeySize
00007ff812d18a36 (__TEXT,__text) external _CCECGetKeyType
00007ff812d1606b (__TEXT,__text) external _CCHKDFExpand
00007ff812d15fe0 (__TEXT,__text) external _CCHKDFExtract
00007ff812d12133 (__TEXT,__text) external _CCHmac
00007ff812d196c1 (__TEXT,__text) external _CCHmacClone
00007ff812d19600 (__TEXT,__text) external _CCHmacCreate
00007ff812d195c6 (__TEXT,__text) external _CCHmacDestroy
00007ff812d156cb (__TEXT,__text) external _CCHmacFinal
00007ff812d1562f (__TEXT,__text) external _CCHmacInit
00007ff812d1967a (__TEXT,__text) external _CCHmacOneShot
00007ff812d195f6 (__TEXT,__text) external _CCHmacOutputSize
00007ff812d195ea (__TEXT,__text) external _CCHmacOutputSizeFromRef
00007ff812d156b4 (__TEXT,__text) external _CCHmacUpdate
00007ff812d15c6a (__TEXT,__text) external _CCKDFParametersCreateAnsiX963
00007ff812d15aec (__TEXT,__text) external _CCKDFParametersCreateCtrHmac
00007ff812d15b78 (__TEXT,__text) external _CCKDFParametersCreateCtrHmacFixed
00007ff812d15bde (__TEXT,__text) external _CCKDFParametersCreateHkdf
00007ff812d15a7c (__TEXT,__text) external _CCKDFParametersCreatePbkdf2
00007ff812d15cd0 (__TEXT,__text) external _CCKDFParametersDestroy
00007ff812d15cf4 (__TEXT,__text) external _CCKeyDerivationHMac
00007ff812d15772 (__TEXT,__text) external _CCKeyDerivationPBKDF
00007ff812d1a0c9 (__TEXT,__text) external _CCRSACryptorCreateFromData
00007ff812d19c63 (__TEXT,__text) external _CCRSACryptorCreatePublicKeyFromPrivateKey
00007ff812d1ba7e (__TEXT,__text) external _CCRSACryptorCrypt
00007ff812d1a010 (__TEXT,__text) external _CCRSACryptorDecrypt
00007ff812d19f30 (__TEXT,__text) external _CCRSACryptorEncrypt
00007ff812d19e7e (__TEXT,__text) external _CCRSACryptorExport
00007ff812d1b943 (__TEXT,__text) external _CCRSACryptorGeneratePair
00007ff812d19d20 (__TEXT,__text) external _CCRSACryptorGetPublicKeyFromPrivateKey
00007ff812d19d5e (__TEXT,__text) external _CCRSACryptorImport
00007ff812d1a2c9 (__TEXT,__text) external _CCRSACryptorRecoverPrivateKey
00007ff812d19d16 (__TEXT,__text) external _CCRSACryptorRelease
00007ff812d1a5d9 (__TEXT,__text) external _CCRSACryptorSign
00007ff812d1a704 (__TEXT,__text) external _CCRSACryptorVerify
00007ff812d1bbbc (__TEXT,__text) external _CCRSAGetCRTComponents
00007ff812d1a455 (__TEXT,__text) external _CCRSAGetCRTComponentsSizes
00007ff812d1a3d3 (__TEXT,__text) external _CCRSAGetKeyComponents
00007ff812d19d4a (__TEXT,__text) external _CCRSAGetKeySize
00007ff812d19d2a (__TEXT,__text) external _CCRSAGetKeyType
                 (undefined) external _CCRSA_PKCS1_FAULT_CANARY (from libcorecrypto)
                 (undefined) external _CCRSA_PSS_FAULT_CANARY (from libcorecrypto)
00007ff812d13708 (__TEXT,__text) external _CCRandomCopyBytes
00007ff812d13718 (__TEXT,__text) external _CCRandomGenerateBytes
00007ff812d19bc0 (__TEXT,__text) external _CCRandomUniform
00007ff812d1be3f (__TEXT,__text) external _CCSymmetricKeyUnwrap
00007ff812d1a860 (__TEXT,__text) external _CCSymmetricKeyWrap
00007ff812d1a9c3 (__TEXT,__text) external _CCSymmetricUnwrappedSize
00007ff812d1a9b6 (__TEXT,__text) external _CCSymmetricWrappedSize
00007ff812d156fb (__TEXT,__text) external _CC_MD2
00007ff812d18406 (__TEXT,__text) external _CC_MD2_Final
00007ff812d18271 (__TEXT,__text) external _CC_MD2_Init
00007ff812d1831e (__TEXT,__text) external _CC_MD2_Update
00007ff812d1819f (__TEXT,__text) external _CC_MD4
00007ff812d1551d (__TEXT,__text) external _CC_MD4_Final
00007ff812d1533b (__TEXT,__text) external _CC_MD4_Init
00007ff812d153fe (__TEXT,__text) external _CC_MD4_Update
00007ff812d12103 (__TEXT,__text) external _CC_MD5
00007ff812d11f51 (__TEXT,__text) external _CC_MD5_Final
00007ff812d1198f (__TEXT,__text) external _CC_MD5_Init
00007ff812d11e32 (__TEXT,__text) external _CC_MD5_Update
00007ff812d12067 (__TEXT,__text) external _CC_SHA1
00007ff812d12625 (__TEXT,__text) external _CC_SHA1_Final
00007ff812d12443 (__TEXT,__text) external _CC_SHA1_Init
00007ff812d12506 (__TEXT,__text) external _CC_SHA1_Update
00007ff812d181d7 (__TEXT,__text) external _CC_SHA224
00007ff812d18567 (__TEXT,__text) external _CC_SHA224_Final
00007ff812d184f7 (__TEXT,__text) external _CC_SHA224_Init
00007ff812d18557 (__TEXT,__text) external _CC_SHA224_Update
00007ff812d12737 (__TEXT,__text) external _CC_SHA256
00007ff812d1232b (__TEXT,__text) external _CC_SHA256_Final
00007ff812d121aa (__TEXT,__text) external _CC_SHA256_Init
00007ff812d1220a (__TEXT,__text) external _CC_SHA256_Update
00007ff812d18207 (__TEXT,__text) external _CC_SHA384
00007ff812d18631 (__TEXT,__text) external _CC_SHA384_Final
00007ff812d185c2 (__TEXT,__text) external _CC_SHA384_Init
00007ff812d18621 (__TEXT,__text) external _CC_SHA384_Update
00007ff812d18237 (__TEXT,__text) external _CC_SHA512
00007ff812d14437 (__TEXT,__text) external _CC_SHA512_Final
00007ff812d1436c (__TEXT,__text) external _CC_SHA512_Init
00007ff812d143cc (__TEXT,__text) external _CC_SHA512_Update
00007ff8416b4a70 (__DATA_CONST,__const) non-external (was a private external) _CC_adler32
00007ff8416b4d30 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16
00007ff8416b4ab0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_a
00007ff8416b4af0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_b
00007ff8416b4b30 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_ccitt_false
00007ff8416b4b70 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_ccitt_true
00007ff8416b4bb0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_dect_r
00007ff8416b4bf0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_dect_x
00007ff8416b4c30 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_icode
00007ff8416b4c70 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_usb
00007ff8416b4cb0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_verifone
00007ff8416b4cf0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_xmodem
00007ff8416b4eb0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32
00007ff8416b4d70 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_bzip2
00007ff8416b4db0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_castagnoli
00007ff8416b4df0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_mpeg_2
00007ff8416b4e30 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_posix
00007ff8416b4e70 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_xfer
00007ff8416b4ef0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc64_ecma_182
00007ff8416b5030 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8
00007ff8416b4f30 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_icode
00007ff8416b4f70 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_itu
00007ff8416b4fb0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_rohc
00007ff8416b4ff0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_wcdma
00007ff8416b50e0 (__DATA_CONST,__const) external _CCrfc3394_iv
00007ff812d1cf50 (__TEXT,__const) external _CCrfc3394_ivLen
00007ff812d1472f (__TEXT,__text) non-external (was a private external) _CNBufferCreate
00007ff812d1b70a (__TEXT,__text) non-external (was a private external) _CNBufferEmpty
00007ff812d14c9d (__TEXT,__text) non-external (was a private external) _CNBufferFlushData
00007ff812d147ff (__TEXT,__text) non-external (was a private external) _CNBufferProcessData
00007ff812d14d77 (__TEXT,__text) non-external (was a private external) _CNBufferRelease
00007ff812d14dfd (__TEXT,__text) external _CNCRC
00007ff812d1b148 (__TEXT,__text) external _CNCRCDumpTable
00007ff812d1b0fd (__TEXT,__text) external _CNCRCFinal
00007ff812d1b00a (__TEXT,__text) external _CNCRCInit
00007ff812d1b09f (__TEXT,__text) external _CNCRCRelease
00007ff812d1b0ac (__TEXT,__text) external _CNCRCUpdate
00007ff812d1b19a (__TEXT,__text) external _CNCRCWeakTest
00007ff812d144b7 (__TEXT,__text) external _CNEncode
00007ff812d1c238 (__TEXT,__text) external _CNEncoderBlocksize
00007ff812d1c2c3 (__TEXT,__text) external _CNEncoderBlocksizeFromRef
00007ff812d14561 (__TEXT,__text) external _CNEncoderCreate
00007ff812d1c31d (__TEXT,__text) non-external _CNEncoderCreate.cold.1
00007ff812d1b200 (__TEXT,__text) external _CNEncoderCreateCustom
00007ff812d14ba8 (__TEXT,__text) external _CNEncoderFinal
00007ff812d1c180 (__TEXT,__text) external _CNEncoderGetOutputLength
00007ff812d1b4df (__TEXT,__text) external _CNEncoderGetOutputLengthFromEncoding
00007ff812d14d0d (__TEXT,__text) external _CNEncoderRelease
00007ff812d14785 (__TEXT,__text) external _CNEncoderUpdate
00007ff812d18267 (__TEXT,__text) external _MD5Final
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff812d11e10 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff812d17850 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
                 (undefined) external __os_crash (from libsystem_c)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
00007ff812d1587c (__TEXT,__text) non-external _adler32_final
00007ff812d15818 (__TEXT,__text) non-external _adler32_implementation
00007ff812d15885 (__TEXT,__text) non-external _adler32_oneshot
00007ff812d158e9 (__TEXT,__text) non-external _adler32_setup
00007ff812d13651 (__TEXT,__text) non-external _ccClearCryptor
00007ff812d13766 (__TEXT,__text) external _ccDRBGGetRngState
00007ff812d1573f (__TEXT,__text) external _ccDevRandomGetRngState
00007ff812d188ef (__TEXT,__text) non-external _ccECCryptorFree
00007ff812d18833 (__TEXT,__text) non-external _ccECpairwiseConsistencyCheck
00007ff812d18776 (__TEXT,__text) non-external _ccMallocECCryptor
00007ff812d19bfb (__TEXT,__text) non-external _ccMallocRSACryptor
00007ff812d19cc2 (__TEXT,__text) non-external _ccRSACryptorClear
00007ff812d1cf40 (__TEXT,__const) non-external _ccRandomDefaultStruct
00007ff812d13d6c (__TEXT,__text) non-external _ccSimpleUpdate
00007ff812d169ea (__TEXT,__text) non-external _cc_alloc
                 (undefined) external _cc_clear (from libcorecrypto)
                 (undefined) external _cc_cmp_safe (from libcorecrypto)
00007ff812d16a4b (__TEXT,__text) non-external _cc_free
00007ff812d1a9d8 (__TEXT,__text) non-external _cc_rc4_crypt_mode
00007ff812d169fc (__TEXT,__text) non-external _cc_realloc
                 (undefined) external _ccaes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccansikdf_x963 (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ofb_crypt_mode (from libcorecrypto)
00007ff812d1aa36 (__TEXT,__text) non-external _cccbc_getiv
00007ff8416b5530 (__DATA_CONST,__const) non-external (was a private external) _cccbc_mode
00007ff812d13e3e (__TEXT,__text) non-external _cccbc_mode_crypt
00007ff812d13cd2 (__TEXT,__text) non-external _cccbc_mode_get_block_size
00007ff812d13955 (__TEXT,__text) non-external _cccbc_mode_get_ctx_size
00007ff812d1396c (__TEXT,__text) non-external _cccbc_mode_setup
00007ff812d13fd9 (__TEXT,__text) non-external _cccbc_setiv
                 (undefined) external _ccccm_cbcmac (from libcorecrypto)
00007ff8416b5760 (__DATA_CONST,__const) non-external (was a private external) _ccccm_mode
00007ff812d1add1 (__TEXT,__text) non-external _ccccm_mode_crypt
00007ff812d1adf7 (__TEXT,__text) non-external _ccccm_mode_done
00007ff812d1ad96 (__TEXT,__text) non-external _ccccm_mode_get_block_size
00007ff812d1ad88 (__TEXT,__text) non-external _ccccm_mode_get_ctx_size
00007ff812d1ada0 (__TEXT,__text) non-external _ccccm_mode_setup
                 (undefined) external _ccccm_set_iv (from libcorecrypto)
00007ff8416b55d0 (__DATA_CONST,__const) non-external (was a private external) _cccfb8_mode
00007ff812d1aae1 (__TEXT,__text) non-external _cccfb8_mode_crypt
00007ff812d1aabb (__TEXT,__text) non-external _cccfb8_mode_get_block_size
00007ff812d1aab2 (__TEXT,__text) non-external _cccfb8_mode_get_ctx_size
00007ff812d1aac5 (__TEXT,__text) non-external _cccfb8_mode_setup
00007ff8416b5580 (__DATA_CONST,__const) non-external (was a private external) _cccfb_mode
00007ff812d1aa8e (__TEXT,__text) non-external _cccfb_mode_crypt
00007ff812d1aa68 (__TEXT,__text) non-external _cccfb_mode_get_block_size
00007ff812d1aa5f (__TEXT,__text) non-external _cccfb_mode_get_ctx_size
00007ff812d1aa72 (__TEXT,__text) non-external _cccfb_mode_setup
                 (undefined) external _ccchacha20 (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_decrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_encrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_info (from libcorecrypto)
                 (undefined) external _ccckg2_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg2_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg2_ctx_cp (from libcorecrypto)
                 (undefined) external _ccckg2_init (from libcorecrypto)
                 (undefined) external _ccckg2_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg2_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg2_params_p224_sha256_v2 (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_ctx (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_share (from libcorecrypto)
                 (undefined) external _ccckg_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg_ctx_cp (from libcorecrypto)
                 (undefined) external _ccckg_init (from libcorecrypto)
                 (undefined) external _ccckg_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_ctx (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_share (from libcorecrypto)
                 (undefined) external _cccmac_final_generate (from libcorecrypto)
                 (undefined) external _cccmac_init (from libcorecrypto)
                 (undefined) external _cccmac_one_shot_generate (from libcorecrypto)
