0000000182cbb2a8 (__DATA,__data) non-external _C
0000000180b48a50 (__TEXT,__text) non-external (was a private external) __GB18030_init
0000000180b48aa0 (__TEXT,__text) non-external __GB18030_mbrtowc
0000000180b48d14 (__TEXT,__text) non-external __GB18030_mbsinit
0000000180b48c0c (__TEXT,__text) non-external __GB18030_wcrtomb
0000000180b48d30 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180b48d80 (__TEXT,__text) non-external __GB2312_mbrtowc
0000000180b48ef0 (__TEXT,__text) non-external __GB2312_mbsinit
0000000180b48e98 (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180b48f0c (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180b48f5c (__TEXT,__text) non-external __GBK_mbrtowc
0000000180b49080 (__TEXT,__text) non-external __GBK_mbsinit
0000000180b49028 (__TEXT,__text) non-external __GBK_wcrtomb
0000000180b4a5b8 (__TEXT,__text) non-external (was a private external) __MSKanji_init
0000000180b4a608 (__TEXT,__text) non-external __MSKanji_mbrtowc
0000000180b4a808 (__TEXT,__text) non-external __MSKanji_mbsinit
0000000180b4a6e0 (__TEXT,__text) non-external __MSKanji_wcrtomb
0000000180b2e3b0 (__TEXT,__text) external __NSGetArgc
0000000180b2e3a4 (__TEXT,__text) external __NSGetArgv
0000000180b2e3bc (__TEXT,__text) external __NSGetEnviron
0000000180b2e3d4 (__TEXT,__text) external __NSGetMachExecuteHeader
0000000180b2e3c8 (__TEXT,__text) external __NSGetProgname
0000000182cc7d28 (__DATA,__common) external __PathLocale
0000000180b76874 (__TEXT,__text) external __Read_RuneMagi
0000000180b6ca7c (__TEXT,__text) non-external (was a private external) __UTF2_init
0000000180b6caf4 (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180b6ccec (__TEXT,__text) non-external __UTF2_mbsinit
0000000180b6cd08 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
0000000180b6cc44 (__TEXT,__text) non-external __UTF2_wcrtomb
0000000180b6cea8 (__TEXT,__text) non-external __UTF2_wcsnrtombs
0000000180b4c3c0 (__TEXT,__text) non-external (was a private external) __UTF8_init
0000000180b4c438 (__TEXT,__text) non-external __UTF8_mbrtowc
0000000180b4c6f4 (__TEXT,__text) non-external __UTF8_mbsinit
0000000180b4c710 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
0000000180b4c628 (__TEXT,__text) non-external __UTF8_wcrtomb
0000000180b4c8b0 (__TEXT,__text) non-external __UTF8_wcsnrtombs
0000000180b3b230 (__TEXT,__text) external ___Balloc_D2A
0000000180b3b3cc (__TEXT,__text) external ___Bfree_D2A
0000000180b2c040 (__TEXT,__text) external ____mb_cur_max
0000000180b2c06c (__TEXT,__text) external ____mb_cur_max_l
0000000180b4b3c8 (__TEXT,__text) external ____runetype
0000000180b4b330 (__TEXT,__text) external ____runetype_l
0000000180b4c2dc (__TEXT,__text) external ____tolower
0000000180b4c240 (__TEXT,__text) external ____tolower_l
0000000180b4c39c (__TEXT,__text) external ____toupper
0000000180b4c300 (__TEXT,__text) external ____toupper_l
0000000180b8abe8 (__TEXT,__text) non-external (was a private external) ___abort
0000000180b3600c (__TEXT,__text) external ___add_ovflpage
0000000180b35d10 (__TEXT,__text) external ___addel
0000000180b3bfc4 (__TEXT,__text) external ___any_on_D2A
0000000180b89edc (__TEXT,__text) external ___assert_rtn
0000000182cc7c20 (__DATA,__bss) non-external ___atexit
0000000180b6d2e0 (__TEXT,__text) non-external (was a private external) ___atexit_init
0000000182cc7c28 (__DATA,__bss) non-external ___atexit_new_registration
0000000180b3bb3c (__TEXT,__text) external ___b2d_D2A
0000000180b34648 (__TEXT,__text) external ___big_delete
0000000180b343ac (__TEXT,__text) external ___big_insert
0000000180b34ce4 (__TEXT,__text) external ___big_keydata
0000000180b3497c (__TEXT,__text) external ___big_return
0000000180b34e74 (__TEXT,__text) external ___big_split
0000000180b8c628 (__TEXT,__const) external ___bigtens_D2A
0000000180b2f144 (__TEXT,__text) external ___bt_close
0000000180b32ef8 (__TEXT,__text) external ___bt_cmp
0000000180b32fb4 (__TEXT,__text) external ___bt_defcmp
0000000180b32ff8 (__TEXT,__text) external ___bt_defpfx
0000000180b2f5d0 (__TEXT,__text) external ___bt_delete
0000000180b2fc40 (__TEXT,__text) external ___bt_dleaf
0000000180b30a50 (__TEXT,__text) external ___bt_fd
0000000180b31aa8 (__TEXT,__text) non-external ___bt_first
0000000180b30e5c (__TEXT,__text) external ___bt_free
0000000180b302c0 (__TEXT,__text) external ___bt_get
0000000180b30e84 (__TEXT,__text) external ___bt_new
0000000180b303b4 (__TEXT,__text) external ___bt_open
0000000180b30018 (__TEXT,__text) non-external ___bt_pdelete
0000000180b2f2dc (__TEXT,__text) external ___bt_pgin
0000000180b2f468 (__TEXT,__text) external ___bt_pgout
0000000180b30f00 (__TEXT,__text) external ___bt_put
0000000180b30230 (__TEXT,__text) non-external ___bt_relink
0000000180b32d54 (__TEXT,__text) external ___bt_ret
0000000180b31420 (__TEXT,__text) external ___bt_search
0000000180b31670 (__TEXT,__text) external ___bt_seq
0000000180b31a4c (__TEXT,__text) external ___bt_setcur
0000000180b31cc0 (__TEXT,__text) external ___bt_split
0000000180b2f8d0 (__TEXT,__text) non-external ___bt_stkacq
0000000180b2f200 (__TEXT,__text) external ___bt_sync
0000000180b353e8 (__TEXT,__text) external ___buf_free
0000000180b353b8 (__TEXT,__text) non-external (was a private external) ___buf_init
0000000182cbb2b0 (__DATA,__data) non-external ___c_locale
0000000180b7c740 (__TEXT,__text) non-external ___calc_left_pad
0000000180b33f00 (__TEXT,__text) external ___call_hash
0000000182cbc170 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180b88fcc (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180b88fe8 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
0000000180b3c368 (__TEXT,__text) non-external (was a private external) ___chk_init
0000000180b89004 (__TEXT,__text) non-external (was a private external) ___chk_overlap
0000000182cc7d90 (__DATA,__common) external ___cleanup
0000000180b3b994 (__TEXT,__text) external ___cmp_D2A
0000000180b4739c (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
0000000180b4756c (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180b476f0 (__TEXT,__text) external ___collate_equiv_match
0000000180b48210 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
0000000180b47a20 (__TEXT,__text) non-external (was a private external) ___collate_equiv_wchar
0000000180b8a648 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.1
0000000180b8a674 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.2
0000000180b46b28 (__TEXT,__text) non-external (was a private external) ___collate_err
0000000182cbb968 (__DATA,__data) external ___collate_load_error
0000000180b45eac (__TEXT,__text) non-external (was a private external) ___collate_load_tables
0000000182cbd0b8 (__DATA,__bss) non-external ___collate_load_tables.cache
0000000180b46330 (__TEXT,__text) non-external ___collate_load_tables_legacy
0000000180b470b8 (__TEXT,__text) external ___collate_lookup
0000000180b46f0c (__TEXT,__text) external ___collate_lookup_l
0000000180b4729c (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
0000000180b47198 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
0000000180b47c4c (__TEXT,__text) non-external ___collate_pri_for
0000000180b8a6a0 (__TEXT,__text) non-external ___collate_pri_for.cold.1
0000000180b48308 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
0000000182cbd0c0 (__DATA,__bss) non-external ___collate_range_cmp.s1
0000000182cbd0c8 (__DATA,__bss) non-external ___collate_range_cmp.s2
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
0000000180b246c8 (__TEXT,__text) non-external (was a private external) ___confstr_init
0000000180b2ed68 (__TEXT,__text) non-external (was a private external) ___copy_assignment_8_8_t0w8_pa0_28660_8_pa0_36689_16_pa0_31171_24_pa0_29245_32
0000000180b3bf44 (__TEXT,__text) external ___copybits_D2A
0000000180b75d24 (__TEXT,__text) non-external ___cvt
0000000182cc7c98 (__DATA,__bss) non-external ___cvt.s
0000000180b6d4bc (__TEXT,__text) external ___cxa_atexit
0000000180b6d7d0 (__TEXT,__text) external ___cxa_finalize
0000000180b6d4f0 (__TEXT,__text) external ___cxa_finalize_ranges
0000000180b3bc3c (__TEXT,__text) external ___d2b_D2A
0000000182cc7d48 (__DATA,__common) non-external (was a private external) ___darwin_altzone
0000000180b33150 (__TEXT,__text) non-external ___dberr
0000000180b330f8 (__TEXT,__text) external ___dbpanic
0000000182ce18a0 (__AUTH,__data) external ___default_hash
0000000180b355e8 (__TEXT,__text) external ___delpair
0000000180b4bac4 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
0000000180b3b9e4 (__TEXT,__text) external ___diff_D2A
0000000182cbce10 (__DATA,__bss) non-external ___dirhelper_func
0000000180b39200 (__TEXT,__text) external ___dtoa
0000000182cc7db0 (__DATA,__common) non-external (was a private external) ___env_owned
0000000180b6db80 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
0000000182cc7c2c (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
0000000180b6a254 (__TEXT,__text) non-external (was a private external) ___errstr
0000000180b53f6c (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
0000000180b33d98 (__TEXT,__text) external ___expand_table
0000000182cbeb48 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
0000000180b50548 (__TEXT,__text) external ___fflush
0000000180b50a90 (__TEXT,__text) external ___fgetwc
0000000180b549e0 (__TEXT,__text) non-external (was a private external) ___find_arguments
0000000180b347b8 (__TEXT,__text) external ___find_bigpair
0000000180b348e4 (__TEXT,__text) external ___find_last_page
0000000180b55af0 (__TEXT,__text) non-external (was a private external) ___find_warguments
0000000180b6daac (__TEXT,__text) non-external (was a private external) ___findenv_locked
0000000180b48968 (__TEXT,__text) external ___fix_locale_grouping_str
0000000180b48a30 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
0000000180b519a0 (__TEXT,__text) non-external (was a private external) ___fputwc
0000000180b51f80 (__TEXT,__text) external ___fread
0000000180b36998 (__TEXT,__text) external ___free_ovflpage
0000000180b39090 (__TEXT,__text) external ___freedtoa
0000000182cbc174 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
0000000180b253f8 (__TEXT,__text) non-external ___fts_open
0000000180b3a020 (__TEXT,__text) external ___gdtoa
0000000182cc7cf8 (__DATA,__common) external ___gdtoa_locks
0000000180b35014 (__TEXT,__text) external ___get_buf
0000000180b49568 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
0000000180b499fc (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
0000000180b49c70 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
0000000180b69838 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
0000000180b4b8b0 (__TEXT,__text) non-external (was a private external) ___get_locale_env
0000000180b36400 (__TEXT,__text) external ___get_page
0000000180b4002c (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
0000000182cbeb10 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000182cbace0 (__DATA,__data) non-external (was a private external) ___global_locale
0000000180b6d024 (__TEXT,__text) non-external (was a private external) ___guard_setup
0000000180b33158 (__TEXT,__text) external ___hash_open
0000000180b38c60 (__TEXT,__text) external ___hdtoa
0000000180b76518 (__TEXT,__text) non-external (was a private external) ___heapsort_r
0000000180b3b5a8 (__TEXT,__text) external ___hi0bits_D2A
0000000180b38fd8 (__TEXT,__text) external ___hldtoa
0000000180b3b624 (__TEXT,__text) external ___i2b_D2A
0000000180b368c8 (__TEXT,__text) external ___ibitmap
0000000180b73720 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
0000000180b4aec0 (__TEXT,__text) external ___isctype
0000000180b4ae78 (__TEXT,__text) external ___istype
0000000180b4b018 (__TEXT,__text) external ___istype_l
0000000182cbb8e1 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
0000000180b767e0 (__TEXT,__text) external ___ldtoa
0000000180b2e318 (__TEXT,__text) external ___libc_init
0000000180b3b444 (__TEXT,__text) external ___lo0bits_D2A
0000000180b54028 (__TEXT,__text) non-external ___loadevp
0000000182cbb2a0 (__DATA,__data) non-external (was a private external) ___locale_key
0000000180b355b8 (__TEXT,__text) external ___log2
0000000180b8d350 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
0000000180b3b8a0 (__TEXT,__text) external ___lshift_D2A
0000000180b4ae14 (__TEXT,__text) external ___maskrune
0000000180b4afac (__TEXT,__text) external ___maskrune_l
0000000180b3bf00 (__TEXT,__text) external ___match_D2A
0000000182cbba3c (__DATA,__data) external ___mb_cur_max
0000000182cbba40 (__DATA,__data) external ___mb_sb_limit
0000000180b60798 (__TEXT,__text) non-external ___mbsconv
0000000180b4a1a0 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180b89238 (__TEXT,__text) external ___memccpy_chk
0000000180b89568 (__TEXT,__text) external ___memcpy_chk
0000000180b891a4 (__TEXT,__text) external ___memmove_chk
0000000180b89048 (__TEXT,__text) external ___memset_chk
0000000180b4934c (__TEXT,__text) non-external (was a private external) ___messages_load_locale
0000000182cbd0d0 (__DATA,__bss) non-external ___messages_load_locale.cache
0000000180b49588 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
0000000182cbd0e0 (__DATA,__bss) non-external ___monetary_load_locale.cache
0000000180b3b654 (__TEXT,__text) external ___mult_D2A
0000000180b3b4f4 (__TEXT,__text) external ___multadd_D2A
0000000180b4fcc8 (__TEXT,__text) non-external ___nls_free_resources
0000000180b8cda9 (__TEXT,__const) non-external ___nogrouping
0000000180b39038 (__TEXT,__text) external ___nrv_alloc_D2A
0000000180b2bdc4 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
0000000180b49a1c (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
0000000182cbd0f0 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
0000000180b4bb6c (__TEXT,__text) non-external (was a private external) ___open_path_locale
0000000180b40978 (__TEXT,__text) external ___opendir2
0000000180b40aa4 (__TEXT,__text) non-external ___opendir_common
0000000180b30d90 (__TEXT,__text) external ___ovfl_delete
0000000180b30ba8 (__TEXT,__text) external ___ovfl_get
0000000180b30c90 (__TEXT,__text) external ___ovfl_put
0000000180b5db1c (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
0000000182cbeb70 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
0000000182cbeb68 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
0000000182cbbe40 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
0000000180b4909c (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
0000000182cc7d18 (__DATA,__common) non-external (was a private external) ___popen_pidlist
0000000182cbb8e8 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
0000000180b3b788 (__TEXT,__text) external ___pow5mult_D2A
0000000180b8c618 (__TEXT,__const) non-external ___pow5mult_D2A.p05
0000000180b799ac (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180b8af88 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
0000000180b77dc4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180b8adac (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
0000000180b77f00 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
0000000180b8add8 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
0000000180b78904 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180b8ae30 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
0000000180b78bb4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180b8ae5c (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180b7a1c0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
0000000180b8b00c (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
0000000180b7a1a8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
0000000180b79358 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
0000000180b8af04 (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
0000000180b79414 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180b8af30 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
0000000180b796f4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180b8af5c (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180b79b40 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
0000000180b8afb4 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
0000000180b79e3c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
0000000180b8afe0 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
0000000180b7a3c0 (__TEXT,__text) non-external (was a private external) ___printf_comp
0000000180b7aae4 (__TEXT,__text) non-external (was a private external) ___printf_exec
0000000180b79f9c (__TEXT,__text) non-external (was a private external) ___printf_flush
0000000180b588f4 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180b7a0f4 (__TEXT,__text) non-external (was a private external) ___printf_out
0000000180b7a048 (__TEXT,__text) non-external (was a private external) ___printf_pad
0000000180b79fd4 (__TEXT,__text) non-external (was a private external) ___printf_puts
0000000180b799f4 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
0000000180b77de8 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
0000000180b77f4c (__TEXT,__text) non-external (was a private external) ___printf_render_float
0000000180b8ae04 (__TEXT,__text) non-external ___printf_render_float.cold.1
0000000180b78930 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
0000000180b78c54 (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180b8ae88 (__TEXT,__text) non-external ___printf_render_int.cold.1
0000000180b8aeb4 (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180b7a1e4 (__TEXT,__text) non-external (was a private external) ___printf_render_n
0000000180b7a1b0 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
0000000180b7938c (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
0000000180b79438 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
0000000180b79730 (__TEXT,__text) non-external (was a private external) ___printf_render_str
0000000180b79b64 (__TEXT,__text) non-external (was a private external) ___printf_render_time
0000000180b79e60 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
0000000180b3fb8c (__TEXT,__text) non-external (was a private external) ___private_getcwd
0000000182cbcf98 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
0000000180b365dc (__TEXT,__text) external ___put_page
0000000180b8ce78 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180b390a4 (__TEXT,__text) external ___quorem_D2A
0000000180b3be60 (__TEXT,__text) external ___ratio_D2A
0000000180b37398 (__TEXT,__text) external ___rec_close
0000000180b37694 (__TEXT,__text) external ___rec_delete
0000000180b377d8 (__TEXT,__text) external ___rec_dleaf
0000000180b381e0 (__TEXT,__text) external ___rec_fd
0000000180b37c50 (__TEXT,__text) external ___rec_fmap
0000000180b37a10 (__TEXT,__text) external ___rec_fpipe
0000000180b37904 (__TEXT,__text) external ___rec_get
0000000180b384e4 (__TEXT,__text) external ___rec_iput
0000000180b37e40 (__TEXT,__text) external ___rec_open
0000000180b38238 (__TEXT,__text) external ___rec_put
0000000180b38aec (__TEXT,__text) external ___rec_ret
0000000180b38734 (__TEXT,__text) external ___rec_search
0000000180b38910 (__TEXT,__text) external ___rec_seq
0000000180b37450 (__TEXT,__text) external ___rec_sync
0000000180b37d64 (__TEXT,__text) external ___rec_vmap
0000000180b37b28 (__TEXT,__text) external ___rec_vpipe
0000000180b354bc (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
0000000180b3b0f4 (__TEXT,__text) external ___rshift_D2A
0000000180b38fdc (__TEXT,__text) external ___rv_alloc_D2A
0000000180b3bd74 (__TEXT,__text) external ___s2b_D2A
0000000182ce18a8 (__AUTH,__data) external ___sF
0000000182cbbb30 (__DATA,__data) non-external ___sFX
0000000180b57798 (__TEXT,__text) external ___sclose
0000000182cbd318 (__DATA,__bss) non-external ___scounted
0000000182cc7d30 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
0000000180b73798 (__TEXT,__text) non-external (was a private external) ___setenv_locked
0000000180b4bc8c (__TEXT,__text) non-external (was a private external) ___setrunelocale
0000000182cbd2c8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
0000000182cbd2d0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
0000000180b7c7fc (__TEXT,__text) non-external ___setup_vars
0000000180b51438 (__TEXT,__text) external ___sflags
0000000180b503d8 (__TEXT,__text) external ___sflush
0000000180b50f58 (__TEXT,__text) external ___sfp
0000000180b5131c (__TEXT,__text) non-external (was a private external) ___sfprelease
0000000180b52f2c (__TEXT,__text) external ___sfvwrite
0000000182cbbdd0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
0000000180b51150 (__TEXT,__text) external ___sinit
0000000180b505e0 (__TEXT,__text) external ___slbexpand
0000000180b53bec (__TEXT,__text) external ___smakebuf
0000000180b8a7e0 (__TEXT,__text) non-external ___smakebuf.cold.1
0000000180b8929c (__TEXT,__text) external ___snprintf_chk
0000000180b892d8 (__TEXT,__text) external ___snprintf_object_size_chk
0000000180b35758 (__TEXT,__text) external ___split_page
0000000180b60e24 (__TEXT,__text) non-external ___sprint
0000000180b8948c (__TEXT,__text) external ___sprintf_chk
0000000180b894fc (__TEXT,__text) external ___sprintf_object_size_chk
0000000180b57750 (__TEXT,__text) external ___sread
0000000180b57070 (__TEXT,__text) external ___srefill
0000000180b56e58 (__TEXT,__text) non-external (was a private external) ___srefill0
0000000180b57000 (__TEXT,__text) non-external (was a private external) ___srefill1
0000000180b571c0 (__TEXT,__text) external ___srget
0000000180b57790 (__TEXT,__text) external ___sseek
0000000180b6d18c (__TEXT,__text) external ___stack_chk_fail
0000000182cc7d50 (__DATA,__common) external ___stack_chk_guard
0000000182cbeb38 (__DATA,__bss) non-external ___stderr_evp
0000000182cbbdb0 (__DATA,__data) external ___stderrp
0000000182cbeb18 (__DATA,__bss) non-external ___stdin_evp
0000000182cbbda0 (__DATA,__data) external ___stdinp
0000000180b3c368 (__TEXT,__text) non-external (was a private external) ___stdio_init
0000000182cbeb28 (__DATA,__bss) non-external ___stdout_evp
0000000182cbbda8 (__DATA,__data) external ___stdoutp
0000000180b8941c (__TEXT,__text) external ___stpcpy_chk
0000000180b89590 (__TEXT,__text) external ___stpncpy_chk
0000000180b8b0b4 (__TEXT,__text) non-external ___stpncpy_chk.cold.1
0000000180b8931c (__TEXT,__text) external ___strcat_chk
0000000180b3bd54 (__TEXT,__text) external ___strcp_D2A
0000000180b891cc (__TEXT,__text) external ___strcpy_chk
0000000182cc7c00 (__DATA,__bss) non-external ___strerror_ebuf
0000000180b88ef4 (__TEXT,__text) external ___strlcat_chk
0000000180b89070 (__TEXT,__text) external ___strlcpy_chk
0000000180b890d0 (__TEXT,__text) external ___strncat_chk
0000000180b89170 (__TEXT,__text) external ___strncpy_chk
0000000180b8b038 (__TEXT,__text) non-external ___strncpy_chk.cold.1
0000000180b3c034 (__TEXT,__text) external ___sum_D2A
0000000180b5daf0 (__TEXT,__text) external ___svfscanf
0000000180b5bdd0 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
0000000180b8cec0 (__TEXT,__const) non-external ___svfscanf_l.basefix
