00007ff8136aa6c0 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff81369d9fd (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00007ff81369da0b (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00007ff81369d4b8 (__TEXT,__text) external _nghttp2_hd_deflate_hd
00007ff81369d4c2 (__TEXT,__text) external _nghttp2_hd_deflate_hd2
00007ff81369912c (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
00007ff81369d5cb (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
00007ff81369d5d5 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec2
00007ff81369d799 (__TEXT,__text) external _nghttp2_hd_deflate_new
00007ff81369d7a5 (__TEXT,__text) external _nghttp2_hd_deflate_new2
00007ff81369d467 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
00007ff81369d9da (__TEXT,__text) external _nghttp2_hd_inflate_del
00007ff81369c530 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
00007ff81369cd35 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
00007ff81369da86 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
00007ff81369da90 (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
00007ff81369da6e (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
00007ff81369da7c (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
00007ff81369d8c6 (__TEXT,__text) external _nghttp2_hd_inflate_hd
00007ff81369d946 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
00007ff81369d8d0 (__TEXT,__text) external _nghttp2_hd_inflate_hd3
00007ff81369ba29 (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
00007ff813695ae4 (__TEXT,__text) non-external _nghttp2_hd_inflate_init
00007ff81369d95e (__TEXT,__text) external _nghttp2_hd_inflate_new
00007ff81369d96a (__TEXT,__text) external _nghttp2_hd_inflate_new2
00007ff81369a671 (__TEXT,__text) non-external _nghttp2_hd_table_get
00007ff8136a5941 (__TEXT,__text) external _nghttp2_http2_strerror
00007ff81369f5ad (__TEXT,__text) non-external _nghttp2_http_on_request_headers
00007ff81369c575 (__TEXT,__text) non-external _nghttp2_http_on_response_headers
00007ff81369f363 (__TEXT,__text) non-external _nghttp2_http_parse_priority
00007ff813698f2f (__TEXT,__text) non-external _nghttp2_http_record_request_method
00007ff8136a5542 (__TEXT,__text) non-external _nghttp2_increase_local_window_size
00007ff8136a02d9 (__TEXT,__text) external _nghttp2_is_fatal
00007ff8136964a1 (__TEXT,__text) non-external _nghttp2_iv_check
00007ff813696746 (__TEXT,__text) non-external _nghttp2_map_find
00007ff813696aeb (__TEXT,__text) non-external _nghttp2_nv_array_copy
00007ff81369d416 (__TEXT,__text) external _nghttp2_nv_compare_name
00007ff8136948f4 (__TEXT,__text) external _nghttp2_option_del
00007ff8136947fb (__TEXT,__text) external _nghttp2_option_new
00007ff81369d004 (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
00007ff81369d0be (__TEXT,__text) external _nghttp2_option_set_glitch_rate_limit
00007ff81369d0b0 (__TEXT,__text) external _nghttp2_option_set_max_continuations
00007ff81369d04e (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
00007ff81369d069 (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
00007ff81369cfd2 (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
00007ff81369d040 (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
00007ff81369d077 (__TEXT,__text) external _nghttp2_option_set_max_settings
00007ff81369d033 (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
00007ff81369483e (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
00007ff81369489c (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
00007ff813694865 (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
00007ff813694880 (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
00007ff81369cfb8 (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
00007ff81369d092 (__TEXT,__text) external _nghttp2_option_set_no_rfc9113_leading_and_trailing_ws_validation
00007ff81369484b (__TEXT,__text) external _nghttp2_option_set_peer_max_concurrent_streams
00007ff81369d085 (__TEXT,__text) external _nghttp2_option_set_server_fallback_rfc7540_priorities
00007ff81369d09f (__TEXT,__text) external _nghttp2_option_set_stream_reset_rate_limit
00007ff81369cfdf (__TEXT,__text) external _nghttp2_option_set_user_recv_extension_type
00007ff813695d6a (__TEXT,__text) non-external _nghttp2_outbound_item_free
00007ff8136a016a (__TEXT,__text) external _nghttp2_pack_settings_payload
00007ff8136a0174 (__TEXT,__text) external _nghttp2_pack_settings_payload2
00007ff81369dc09 (__TEXT,__text) non-external _nghttp2_pq_push
00007ff81369dd7f (__TEXT,__text) non-external _nghttp2_pq_remove
00007ff81369de48 (__TEXT,__text) external _nghttp2_priority_spec_check_default
00007ff813696ad1 (__TEXT,__text) external _nghttp2_priority_spec_default_init
00007ff813695420 (__TEXT,__text) external _nghttp2_priority_spec_init
00007ff81369f671 (__TEXT,__text) non-external _nghttp2_ratelim_update
00007ff813694c4f (__TEXT,__text) external _nghttp2_rcbuf_decref
00007ff81369f654 (__TEXT,__text) external _nghttp2_rcbuf_get_buf
00007ff81369a6fc (__TEXT,__text) external _nghttp2_rcbuf_incref
00007ff81369f662 (__TEXT,__text) external _nghttp2_rcbuf_is_static
00007ff81369a71d (__TEXT,__text) non-external _nghttp2_rcbuf_new2
00007ff81369db9e (__TEXT,__text) external _nghttp2_select_alpn
00007ff81369daa2 (__TEXT,__text) external _nghttp2_select_next_protocol
00007ff81369c997 (__TEXT,__text) non-external _nghttp2_session_add_goaway
00007ff813696537 (__TEXT,__text) non-external _nghttp2_session_add_item
00007ff8136a0ba1 (__TEXT,__text) non-external _nghttp2_session_add_ping
00007ff8136a0501 (__TEXT,__text) non-external _nghttp2_session_add_rst_stream_continue
00007ff81369608c (__TEXT,__text) non-external _nghttp2_session_add_settings
00007ff81369687b (__TEXT,__text) non-external _nghttp2_session_add_window_update
00007ff8136948e9 (__TEXT,__text) external _nghttp2_session_callbacks_del
00007ff813694700 (__TEXT,__text) external _nghttp2_session_callbacks_new
00007ff813694748 (__TEXT,__text) external _nghttp2_session_callbacks_set_before_frame_send_callback
00007ff81369cf1c (__TEXT,__text) external _nghttp2_session_callbacks_set_data_source_read_length_callback
00007ff81369cf29 (__TEXT,__text) external _nghttp2_session_callbacks_set_data_source_read_length_callback2
00007ff81369cf84 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback
00007ff813694dc1 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback2
00007ff81369cf36 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_frame_callback
00007ff813694770 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_headers_callback
00007ff81369478e (__TEXT,__text) external _nghttp2_session_callbacks_set_on_data_chunk_recv_callback
00007ff81369cf77 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_extension_chunk_recv_callback
00007ff813694d9c (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_not_send_callback
00007ff81369477a (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_recv_callback
00007ff8136947b2 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_send_callback
00007ff81369475a (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback
00007ff81369cee4 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback2
00007ff813694d84 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_frame_recv_callback
00007ff813694dae (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback
00007ff81369cef8 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback2
00007ff8136947a6 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_stream_close_callback
00007ff81369cf50 (__TEXT,__text) external _nghttp2_session_callbacks_set_pack_extension_callback
00007ff81369cf5d (__TEXT,__text) external _nghttp2_session_callbacks_set_pack_extension_callback2
00007ff81369cf9e (__TEXT,__text) external _nghttp2_session_callbacks_set_rand_callback
00007ff813694d76 (__TEXT,__text) external _nghttp2_session_callbacks_set_recv_callback
00007ff81369ced0 (__TEXT,__text) external _nghttp2_session_callbacks_set_recv_callback2
00007ff81369cf02 (__TEXT,__text) external _nghttp2_session_callbacks_set_select_padding_callback
00007ff81369cf0f (__TEXT,__text) external _nghttp2_session_callbacks_set_select_padding_callback2
00007ff8136947c3 (__TEXT,__text) external _nghttp2_session_callbacks_set_send_callback
00007ff81369cebc (__TEXT,__text) external _nghttp2_session_callbacks_set_send_callback2
00007ff8136947d3 (__TEXT,__text) external _nghttp2_session_callbacks_set_send_data_callback
00007ff81369cf6a (__TEXT,__text) external _nghttp2_session_callbacks_set_unpack_extension_callback
00007ff8136a53fa (__TEXT,__text) external _nghttp2_session_change_extpri_stream_priority
00007ff8136a53c3 (__TEXT,__text) external _nghttp2_session_change_stream_priority
00007ff8136a0726 (__TEXT,__text) external _nghttp2_session_check_request_allowed
00007ff8136a53b6 (__TEXT,__text) external _nghttp2_session_check_server_session
00007ff8136a03ae (__TEXT,__text) external _nghttp2_session_client_new
00007ff8136948ac (__TEXT,__text) external _nghttp2_session_client_new2
00007ff8136a0416 (__TEXT,__text) external _nghttp2_session_client_new3
00007ff81369c6f6 (__TEXT,__text) non-external _nghttp2_session_close_stream
00007ff8136a4e41 (__TEXT,__text) external _nghttp2_session_consume
00007ff813694bb6 (__TEXT,__text) external _nghttp2_session_consume_connection
00007ff813694cf4 (__TEXT,__text) external _nghttp2_session_consume_stream
00007ff8136a53cb (__TEXT,__text) external _nghttp2_session_create_idle_stream
00007ff81369521d (__TEXT,__text) external _nghttp2_session_del
00007ff8136a5392 (__TEXT,__text) external _nghttp2_session_find_stream
00007ff8136a4fbd (__TEXT,__text) external _nghttp2_session_get_effective_local_window_size
00007ff8136a4faa (__TEXT,__text) external _nghttp2_session_get_effective_recv_data_length
00007ff8136a548a (__TEXT,__text) external _nghttp2_session_get_extpri_stream_priority
00007ff8136a53e0 (__TEXT,__text) external _nghttp2_session_get_hd_deflate_dynamic_table_size
00007ff8136a53d3 (__TEXT,__text) external _nghttp2_session_get_hd_inflate_dynamic_table_size
00007ff8136a5386 (__TEXT,__text) external _nghttp2_session_get_last_proc_stream_id
00007ff8136a502b (__TEXT,__text) external _nghttp2_session_get_local_settings
00007ff8136a4fc9 (__TEXT,__text) external _nghttp2_session_get_local_window_size
00007ff813694eca (__TEXT,__text) external _nghttp2_session_get_next_stream_id
00007ff8136a4f17 (__TEXT,__text) external _nghttp2_session_get_outbound_queue_size
00007ff8136a4fe3 (__TEXT,__text) external _nghttp2_session_get_remote_settings
00007ff813694af7 (__TEXT,__text) external _nghttp2_session_get_remote_window_size
00007ff8136a53a9 (__TEXT,__text) external _nghttp2_session_get_root_stream
00007ff81369671b (__TEXT,__text) non-external _nghttp2_session_get_stream
00007ff8136a4f55 (__TEXT,__text) external _nghttp2_session_get_stream_effective_local_window_size
00007ff8136a4f29 (__TEXT,__text) external _nghttp2_session_get_stream_effective_recv_data_length
00007ff8136a5330 (__TEXT,__text) external _nghttp2_session_get_stream_local_close
00007ff8136a4f7b (__TEXT,__text) external _nghttp2_session_get_stream_local_window_size
00007ff8136a535c (__TEXT,__text) external _nghttp2_session_get_stream_remote_close
00007ff813694acb (__TEXT,__text) external _nghttp2_session_get_stream_remote_window_size
00007ff813694f72 (__TEXT,__text) external _nghttp2_session_get_stream_user_data
00007ff813694baa (__TEXT,__text) external _nghttp2_session_mem_recv
00007ff8136a0ce4 (__TEXT,__text) external _nghttp2_session_mem_recv2
00007ff8136a075a (__TEXT,__text) external _nghttp2_session_mem_send
00007ff8136a0764 (__TEXT,__text) external _nghttp2_session_mem_send2
00007ff813696cae (__TEXT,__text) non-external _nghttp2_session_mem_send_internal
00007ff81369c60c (__TEXT,__text) non-external _nghttp2_session_on_data_received
00007ff81369ad58 (__TEXT,__text) non-external _nghttp2_session_on_settings_received
00007ff813698cf0 (__TEXT,__text) non-external _nghttp2_session_open_stream
00007ff8136a0915 (__TEXT,__text) non-external _nghttp2_session_predicate_data_send
00007ff813694fcc (__TEXT,__text) external _nghttp2_session_recv
00007ff8136953bc (__TEXT,__text) external _nghttp2_session_resume_data
00007ff813694b08 (__TEXT,__text) external _nghttp2_session_send
00007ff8136a0452 (__TEXT,__text) external _nghttp2_session_server_new
00007ff8136a04c4 (__TEXT,__text) external _nghttp2_session_server_new2
00007ff8136a048b (__TEXT,__text) external _nghttp2_session_server_new3
00007ff813694921 (__TEXT,__text) external _nghttp2_session_set_local_window_size
00007ff813694ee4 (__TEXT,__text) external _nghttp2_session_set_next_stream_id
00007ff813695145 (__TEXT,__text) external _nghttp2_session_set_stream_user_data
00007ff8136a53ed (__TEXT,__text) external _nghttp2_session_set_user_data
00007ff8136951fa (__TEXT,__text) external _nghttp2_session_terminate_session
00007ff8136a039f (__TEXT,__text) external _nghttp2_session_terminate_session2
00007ff8136a07d5 (__TEXT,__text) non-external _nghttp2_session_update_recv_connection_window_size
00007ff8136a0873 (__TEXT,__text) non-external _nghttp2_session_update_recv_stream_window_size
00007ff8136a5073 (__TEXT,__text) external _nghttp2_session_upgrade
00007ff8136a52c0 (__TEXT,__text) external _nghttp2_session_upgrade2
00007ff8136a50cf (__TEXT,__text) non-external _nghttp2_session_upgrade_internal
00007ff813694f96 (__TEXT,__text) external _nghttp2_session_want_read
00007ff813694a5a (__TEXT,__text) external _nghttp2_session_want_write
00007ff8136947ec (__TEXT,__text) external _nghttp2_set_debug_vprintf_callback
00007ff81369d323 (__TEXT,__text) external _nghttp2_stream_get_first_child
00007ff81369d313 (__TEXT,__text) external _nghttp2_stream_get_next_sibling
00007ff81369d30b (__TEXT,__text) external _nghttp2_stream_get_parent
00007ff81369d31b (__TEXT,__text) external _nghttp2_stream_get_previous_sibling
00007ff81369d2a7 (__TEXT,__text) external _nghttp2_stream_get_state
00007ff81369d33e (__TEXT,__text) external _nghttp2_stream_get_stream_id
00007ff81369d336 (__TEXT,__text) external _nghttp2_stream_get_sum_dependency_weight
00007ff81369d32b (__TEXT,__text) external _nghttp2_stream_get_weight
00007ff843c8d768 (__DATA,__bss) non-external _nghttp2_stream_root
00007ff8136a55a1 (__TEXT,__text) external _nghttp2_strerror
00007ff81369f918 (__TEXT,__text) external _nghttp2_submit_altsvc
00007ff813694c9e (__TEXT,__text) external _nghttp2_submit_data
00007ff8136a0114 (__TEXT,__text) external _nghttp2_submit_data2
00007ff8136a0035 (__TEXT,__text) non-external _nghttp2_submit_data_shared
00007ff8136a01ee (__TEXT,__text) external _nghttp2_submit_extension
00007ff81369f73d (__TEXT,__text) external _nghttp2_submit_goaway
00007ff813694c05 (__TEXT,__text) external _nghttp2_submit_headers
00007ff81369fafa (__TEXT,__text) external _nghttp2_submit_origin
00007ff81369f70d (__TEXT,__text) external _nghttp2_submit_ping
00007ff81369f71a (__TEXT,__text) external _nghttp2_submit_priority
00007ff81369fd35 (__TEXT,__text) external _nghttp2_submit_priority_update
00007ff81369f7a4 (__TEXT,__text) external _nghttp2_submit_push_promise
00007ff813694f1f (__TEXT,__text) external _nghttp2_submit_request
00007ff81369ff14 (__TEXT,__text) external _nghttp2_submit_request2
00007ff81369ff5d (__TEXT,__text) external _nghttp2_submit_response
00007ff81369fff3 (__TEXT,__text) external _nghttp2_submit_response2
00007ff81369f722 (__TEXT,__text) external _nghttp2_submit_rst_stream
00007ff813694908 (__TEXT,__text) external _nghttp2_submit_settings
00007ff81369f761 (__TEXT,__text) external _nghttp2_submit_shutdown_notice
00007ff81369f6cf (__TEXT,__text) external _nghttp2_submit_trailer
00007ff813694dd3 (__TEXT,__text) external _nghttp2_submit_window_update
00007ff8136a54f6 (__TEXT,__text) non-external _nghttp2_time_now_sec
00007ff81369f6b6 (__TEXT,__text) external _nghttp2_version
00007ff81369cc4e (__TEXT,__text) non-external _ob_q_free
00007ff81369f302 (__TEXT,__text) non-external _parse_uint
00007ff81369e234 (__TEXT,__text) non-external _parser_bare_item
00007ff81369ec64 (__TEXT,__text) non-external _parser_boolean
00007ff81369ea00 (__TEXT,__text) non-external _parser_byteseq
00007ff81369e970 (__TEXT,__text) non-external _parser_date
00007ff81369ecd4 (__TEXT,__text) non-external _parser_dispstring
00007ff81369e080 (__TEXT,__text) non-external _parser_key
00007ff81369e818 (__TEXT,__text) non-external _parser_number
00007ff81369df6c (__TEXT,__text) non-external _parser_skip_inner_list
00007ff81369e5b4 (__TEXT,__text) non-external _parser_string
00007ff81369db03 (__TEXT,__text) non-external _select_alpn
00007ff813698768 (__TEXT,__text) non-external _session_after_frame_sent1
00007ff813698b26 (__TEXT,__text) non-external _session_after_frame_sent2
00007ff8136a4c10 (__TEXT,__text) non-external _session_call_error_callback
00007ff81369ac1e (__TEXT,__text) non-external _session_call_select_padding
00007ff81369cb44 (__TEXT,__text) non-external _session_close_stream_on_goaway
00007ff8136a099a (__TEXT,__text) non-external _session_defer_stream_item
00007ff8136a09e0 (__TEXT,__text) non-external _session_handle_invalid_connection
00007ff8136a0a48 (__TEXT,__text) non-external _session_handle_invalid_stream2
00007ff81369abb2 (__TEXT,__text) non-external _session_headers_add_pad
00007ff813695e39 (__TEXT,__text) non-external _session_inbound_frame_reset
00007ff813698c12 (__TEXT,__text) non-external _session_is_closing
00007ff813695434 (__TEXT,__text) non-external _session_new
00007ff8136a02ec (__TEXT,__text) non-external _session_ob_data_push
00007ff8136a06ae (__TEXT,__text) non-external _session_ob_data_remove
00007ff81369b5ff (__TEXT,__text) non-external _session_process_headers_frame
00007ff8136a0b63 (__TEXT,__text) non-external _session_resume_deferred_stream_item
00007ff81369c91e (__TEXT,__text) non-external _session_terminate_session
00007ff813698c59 (__TEXT,__text) non-external _session_update_consumed_size
00007ff8136a4ddf (__TEXT,__text) non-external _session_update_glitch_ratelim
00007ff8136a0c8b (__TEXT,__text) non-external _session_update_stream_priority
00007ff81369de64 (__TEXT,__text) non-external _sfparse_parser_param
00007ff8417db480 (__DATA_CONST,__const) non-external _static_table
00007ff8136a03f0 (__TEXT,__text) non-external _stream_less
                 (undefined) external _strlen (from libSystem)
00007ff813696934 (__TEXT,__text) non-external _submit_headers_shared_nva
00007ff81369fec8 (__TEXT,__text) non-external _submit_request_shared
00007ff81369ff9f (__TEXT,__text) non-external _submit_response_shared
                 (undefined) external _time (from libSystem)
00007ff8136aa3a0 (__TEXT,__const) non-external _utf8d
00007ff843c8d750 (__DATA,__data) non-external _version
                 (undefined) external _vsnprintf (from libSystem)
