00007ffa18597ee0 (__TEXT,__text) external _AMFDRDecodeCertificate
00007ffa1859a675 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.2
00007ffa1859a693 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.3
00007ffa1859a6b1 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.4
00007ffa18594e56 (__TEXT,__text) non-external __AMFDRDecodeVerifyTrustObject
00007ffa4215c908 (__DATA_CONST,__const) non-external ____oidAppleFDRClientID
00007ffa4215c918 (__DATA_CONST,__const) non-external ____oidAppleSecureBootCertificateProperties
                 (undefined) external ___bzero (from libSystem)
00007ffa1859b118 (__TEXT,__const) non-external ___oidAppleFDRClientID
00007ffa1859b121 (__TEXT,__const) non-external ___oidAppleSecureBootCertificateProperties
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ffa43b6bfb8 (__DATA,__data) non-external __dyld_private
00007ffa42f0d7f0 (__DATA_DIRTY,__bss) non-external __logHandler
00007ffa1859b2ea (__TEXT,__const) non-external __oidAnsip224r1
00007ffa1859b2ef (__TEXT,__const) non-external __oidAnsip384r1
00007ffa1859b2e2 (__TEXT,__const) non-external __oidEcPrime256v1
00007ffa1859b2b4 (__TEXT,__const) non-external __oidEcPubKey
00007ffa1859b290 (__TEXT,__const) non-external __oidRsa
00007ffa1859b2cb (__TEXT,__const) non-external __oidSha1
00007ffa1859b299 (__TEXT,__const) non-external __oidSha1Rsa
00007ffa1859b2d0 (__TEXT,__const) non-external __oidSha256
00007ffa1859b2bb (__TEXT,__const) non-external __oidSha256Ecdsa
00007ffa1859b2a2 (__TEXT,__const) non-external __oidSha256Rsa
00007ffa1859b2d9 (__TEXT,__const) non-external __oidSha384
00007ffa1859b2c3 (__TEXT,__const) non-external __oidSha384Ecdsa
00007ffa1859b2ab (__TEXT,__const) non-external __oidSha384Rsa
                 (undefined) external _free (from libSystem)
00007ffa4215c8f0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeClientCallback
00007ffa43b6bfa0 (__DATA,__data) non-external (was a private external) _kAMFDRDecodeEcdsaInfoList
00007ffa4215c7f0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP224
00007ffa4215c7b0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP256
00007ffa4215c7d0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP384
00007ffa4215c880 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationOffline
00007ffa4215c810 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha1
00007ffa4215c848 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha384
00007ffa4215c8b8 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationTestStationSha1
00007ffa4215c780 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha1
00007ffa4215c798 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha384
00007ffa1859aa20 (__TEXT,__const) non-external (was a private external) _kFDRKnownTag
00007ffa1859a9e7 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_CRTP
00007ffa1859a9e2 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_IM4C
00007ffa1859a9b0 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_comb
00007ffa1859a9d3 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdr2
00007ffa1859a9c4 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdrd
00007ffa1859a9ec (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mcmb
00007ffa1859a9d8 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mft2
00007ffa1859a9b5 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rssl
00007ffa1859a9bf (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rvok
00007ffa1859a9c9 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_secb
00007ffa1859a9ce (__TEXT,__const) non-external (was a private external) _kFDRTagStr_sreq
00007ffa1859a9dd (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trpk
00007ffa1859a9ba (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trst
                 (undefined) external _kImg4TagStr_IM4M (from libamsupport)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ffa4215c9d8 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip224r1
00007ffa4215c9e8 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip384r1
00007ffa4215c9c8 (__DATA_CONST,__const) non-external (was a private external) _oidEcPrime256v1
00007ffa4215c968 (__DATA_CONST,__const) non-external (was a private external) _oidEcPubKey
00007ffa4215c928 (__DATA_CONST,__const) non-external (was a private external) _oidRsa
00007ffa4215c998 (__DATA_CONST,__const) non-external (was a private external) _oidSha1
00007ffa4215c938 (__DATA_CONST,__const) non-external (was a private external) _oidSha1Rsa
00007ffa4215c9a8 (__DATA_CONST,__const) non-external (was a private external) _oidSha256
00007ffa4215c978 (__DATA_CONST,__const) non-external (was a private external) _oidSha256Ecdsa
00007ffa4215c948 (__DATA_CONST,__const) non-external (was a private external) _oidSha256Rsa
00007ffa4215c9b8 (__DATA_CONST,__const) non-external (was a private external) _oidSha384
00007ffa4215c988 (__DATA_CONST,__const) non-external (was a private external) _oidSha384Ecdsa
00007ffa4215c958 (__DATA_CONST,__const) non-external (was a private external) _oidSha384Rsa
                 (undefined) external _vsnprintf (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)
