00007ffc417666a8 (__DATA,__bss) non-external _A
00007ffc12b3481e (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffc12b37aab (__TEXT,__text) non-external _alloc_arena_chunk
00007ffc12b37be6 (__TEXT,__text) non-external _arena_calloc
00007ffc12b37cf5 (__TEXT,__text) non-external _arena_free
00007ffc41766668 (__DATA,__bss) non-external _arena_lock
00007ffc41766460 (__DATA,__data) non-external _arena_once
00007ffc12b37cad (__TEXT,__text) non-external _arena_realloc
00007ffc12b205ba (__TEXT,__text) non-external _autolink_delim
00007ffc417662a0 (__DATA,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _calloc (from libSystem)
00007ffc12b1eed1 (__TEXT,__text) non-external _can_contain
00007ffc12b218cd (__TEXT,__text) non-external _can_contain
00007ffc12b3665a (__TEXT,__text) non-external _can_contain
00007ffc12b204b1 (__TEXT,__text) non-external _check_domain
00007ffc12b34b47 (__TEXT,__text) non-external _chunk_clone
00007ffc12b37b02 (__TEXT,__text) external _cmark_arena_pop
00007ffc12b37a5a (__TEXT,__text) external _cmark_arena_push
00007ffc12b37b80 (__TEXT,__text) external _cmark_arena_reset
00007ffc12b35b3c (__TEXT,__text) non-external _cmark_chunk_to_cstr
00007ffc12b30e69 (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
00007ffc12b30ddc (__TEXT,__text) non-external (was a private external) _cmark_clean_title
00007ffc12b30d09 (__TEXT,__text) non-external (was a private external) _cmark_clean_url
00007ffc12b3827d (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffc12b3829e (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffc12b21d2c (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffc12b38cf0 (__TEXT,__const) non-external _cmark_ctype_class
00007ffc12b2f4dc (__TEXT,__text) external _cmark_enable_safety_checks
00007ffc4175ddd0 (__DATA,__const) non-external _cmark_entities
00007ffc12b208ce (__TEXT,__text) external _cmark_find_syntax_extension
00007ffc12b2c39e (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
00007ffc12b37ffe (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffc12b2c40f (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
00007ffc12b37cfb (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffc12b1d99a (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffc12b2c485 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffc12b3736e (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffc12b3745d (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
00007ffc12b3748e (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
00007ffc12b3734b (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffc12b37410 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffc12b1ece3 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffc12b373b7 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffc12b374c0 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
00007ffc12b374ec (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
00007ffc12b3738f (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffc12b37433 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffc12b1ec91 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffc12b2f584 (__TEXT,__text) external _cmark_init_standard_node_flags
00007ffc12b346df (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffc12b3470d (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffc12b346fa (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffc12b34791 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffc12b3479b (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffc12b346e8 (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffc12b34717 (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffc12b3441e (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffc12b3440d (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffc12b343e5 (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffc12b38858 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffc12b344ce (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffc12b34551 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffc12b3455b (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffc12b3889e (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffc12b346f1 (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffc12b3442f (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffc12b3887b (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffc12b30e9c (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
00007ffc12b30ebe (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
00007ffc12b1ec3e (__TEXT,__text) external _cmark_isalnum
00007ffc12b1ec77 (__TEXT,__text) external _cmark_isalpha
00007ffc12b1ec5d (__TEXT,__text) external _cmark_isdigit
00007ffc12b1ec24 (__TEXT,__text) external _cmark_ispunct
00007ffc12b1ec0a (__TEXT,__text) external _cmark_isspace
00007ffc12b21c4c (__TEXT,__text) external _cmark_iter_free
00007ffc12b21d19 (__TEXT,__text) external _cmark_iter_get_event_type
00007ffc12b21d0f (__TEXT,__text) external _cmark_iter_get_node
00007ffc12b21d22 (__TEXT,__text) external _cmark_iter_get_root
00007ffc12b21c04 (__TEXT,__text) external _cmark_iter_new
00007ffc12b21c57 (__TEXT,__text) external _cmark_iter_next
00007ffc12b37fb8 (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffc12b21cfe (__TEXT,__text) external _cmark_iter_reset
00007ffc12b20862 (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffc12b22c6f (__TEXT,__text) external _cmark_llist_append
00007ffc12b22cfb (__TEXT,__text) external _cmark_llist_free
00007ffc12b22cb9 (__TEXT,__text) external _cmark_llist_free_full
00007ffc12b2d249 (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffc12b2c6f5 (__TEXT,__text) non-external (was a private external) _cmark_map_free
00007ffc12b2c58d (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
00007ffc12b2c73a (__TEXT,__text) non-external (was a private external) _cmark_map_new
00007ffc12b1d9a7 (__TEXT,__text) external _cmark_markdown_to_html
00007ffc12b30afc (__TEXT,__text) external _cmark_node_append_child
00007ffc12b2f58a (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
00007ffc12b30b52 (__TEXT,__text) non-external (was a private external) _cmark_node_check
00007ffc12b2fbbe (__TEXT,__text) external _cmark_node_first_child
00007ffc12b2f719 (__TEXT,__text) external _cmark_node_free
00007ffc12b304f6 (__TEXT,__text) external _cmark_node_get_attributes
00007ffc12b2fd94 (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffc12b3093e (__TEXT,__text) external _cmark_node_get_end_column
00007ffc12b3092d (__TEXT,__text) external _cmark_node_get_end_line
00007ffc12b3009c (__TEXT,__text) external _cmark_node_get_fence_info
00007ffc12b301e4 (__TEXT,__text) external _cmark_node_get_fenced
00007ffc12b2fee5 (__TEXT,__text) external _cmark_node_get_heading_level
00007ffc12b30055 (__TEXT,__text) external _cmark_node_get_item_index
00007ffc12b2ff7b (__TEXT,__text) external _cmark_node_get_list_delim
00007ffc12b2ffc6 (__TEXT,__text) external _cmark_node_get_list_start
00007ffc12b3000d (__TEXT,__text) external _cmark_node_get_list_tight
00007ffc12b2ff30 (__TEXT,__text) external _cmark_node_get_list_type
00007ffc12b2fc6a (__TEXT,__text) external _cmark_node_get_literal
00007ffc12b3063e (__TEXT,__text) external _cmark_node_get_on_enter
00007ffc12b30790 (__TEXT,__text) external _cmark_node_get_on_exit
00007ffc12b3091c (__TEXT,__text) external _cmark_node_get_start_column
00007ffc12b3090b (__TEXT,__text) external _cmark_node_get_start_line
00007ffc12b2fecb (__TEXT,__text) external _cmark_node_get_string_content
00007ffc12b308e2 (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffc12b303a8 (__TEXT,__text) external _cmark_node_get_title
00007ffc12b2f7f7 (__TEXT,__text) external _cmark_node_get_type
00007ffc12b2f9d8 (__TEXT,__text) external _cmark_node_get_type_string
00007ffc12b3025a (__TEXT,__text) external _cmark_node_get_url
00007ffc12b2fc2a (__TEXT,__text) external _cmark_node_get_user_data
00007ffc12b309f0 (__TEXT,__text) external _cmark_node_insert_after
00007ffc12b30973 (__TEXT,__text) external _cmark_node_insert_before
00007ffc12b2fbd0 (__TEXT,__text) external _cmark_node_last_child
00007ffc12b2f706 (__TEXT,__text) external _cmark_node_new
00007ffc12b2f6e6 (__TEXT,__text) external _cmark_node_new_with_ext
00007ffc12b2f6fa (__TEXT,__text) external _cmark_node_new_with_mem
00007ffc12b2f648 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffc12b2fb88 (__TEXT,__text) external _cmark_node_next
00007ffc12b2fbe2 (__TEXT,__text) external _cmark_node_nth_child
00007ffc12b21ec5 (__TEXT,__text) external _cmark_node_own
00007ffc12b2fbac (__TEXT,__text) external _cmark_node_parent
00007ffc12b2fc15 (__TEXT,__text) external _cmark_node_parent_footnote_def
00007ffc12b30aa6 (__TEXT,__text) external _cmark_node_prepend_child
00007ffc12b2fb9a (__TEXT,__text) external _cmark_node_previous
00007ffc12b30a6d (__TEXT,__text) external _cmark_node_replace
00007ffc12b3057e (__TEXT,__text) external _cmark_node_set_attributes
00007ffc12b30124 (__TEXT,__text) external _cmark_node_set_fence_info
00007ffc12b30220 (__TEXT,__text) external _cmark_node_set_fenced
00007ffc12b2ff04 (__TEXT,__text) external _cmark_node_set_heading_level
00007ffc12b30074 (__TEXT,__text) external _cmark_node_set_item_index
00007ffc12b2ff9a (__TEXT,__text) external _cmark_node_set_list_delim
00007ffc12b2ffe5 (__TEXT,__text) external _cmark_node_set_list_start
00007ffc12b3002d (__TEXT,__text) external _cmark_node_set_list_tight
00007ffc12b2ff4f (__TEXT,__text) external _cmark_node_set_list_type
00007ffc12b2fd9d (__TEXT,__text) external _cmark_node_set_literal
00007ffc12b306cd (__TEXT,__text) external _cmark_node_set_on_enter
00007ffc12b3081f (__TEXT,__text) external _cmark_node_set_on_exit
00007ffc12b2fed5 (__TEXT,__text) external _cmark_node_set_string_content
00007ffc12b308f4 (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffc12b30433 (__TEXT,__text) external _cmark_node_set_title
00007ffc12b2f809 (__TEXT,__text) external _cmark_node_set_type
00007ffc12b302e5 (__TEXT,__text) external _cmark_node_set_url
00007ffc12b2fc3c (__TEXT,__text) external _cmark_node_set_user_data
00007ffc12b2fc53 (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffc12b3094f (__TEXT,__text) external _cmark_node_unlink
00007ffc12b34748 (__TEXT,__text) external _cmark_node_unput
00007ffc12b2d9e0 (__TEXT,__text) external _cmark_parse_document
00007ffc12b2d2b5 (__TEXT,__text) external _cmark_parse_file
00007ffc12b30ee0 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffc12b382bf (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffc12b383fa (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffc12b3841d (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffc12b38440 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffc12b38463 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffc12b38486 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffc12b384a9 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffc12b384cc (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffc12b384ef (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffc12b38512 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffc12b38535 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffc12b382e2 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffc12b38305 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffc12b38328 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffc12b3834b (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffc12b3836e (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffc12b38391 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffc12b383b4 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffc12b383d7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffc12b341c3 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffc12b387a9 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffc12b387cc (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffc12b387ef (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffc12b38812 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffc12b38835 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffc12b33ab7 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffc12b3857b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffc12b3859e (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffc12b385c1 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffc12b385e4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffc12b38607 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffc12b3862a (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffc12b3864d (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffc12b2eceb (__TEXT,__text) external _cmark_parser_add_child
00007ffc12b2edc3 (__TEXT,__text) external _cmark_parser_advance_offset
00007ffc12b2cf70 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffc12b2d21b (__TEXT,__text) non-external _cmark_parser_dispose
00007ffc12b2da35 (__TEXT,__text) external _cmark_parser_feed
00007ffc12b2da41 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffc12b2d52d (__TEXT,__text) external _cmark_parser_finish
00007ffc12b2d19d (__TEXT,__text) external _cmark_parser_free
00007ffc12b2ecaa (__TEXT,__text) external _cmark_parser_get_column
00007ffc12b2ecb3 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffc12b2ecbc (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffc12b2ecc5 (__TEXT,__text) external _cmark_parser_get_indent
00007ffc12b2ece2 (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffc12b2ec98 (__TEXT,__text) external _cmark_parser_get_line_number
00007ffc12b2eca1 (__TEXT,__text) external _cmark_parser_get_offset
00007ffc12b2eeb0 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffc12b2ecd8 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffc12b2ecce (__TEXT,__text) external _cmark_parser_is_blank
00007ffc12b2d18c (__TEXT,__text) external _cmark_parser_new
00007ffc12b2d021 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffc12b2d079 (__TEXT,__text) non-external _cmark_parser_reset
00007ffc12b2eea3 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffc12b21789 (__TEXT,__text) external _cmark_plugin_free
00007ffc12b21769 (__TEXT,__text) external _cmark_plugin_new
00007ffc12b2173f (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffc12b217b9 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffc12b2cd72 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffc12b380a8 (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffc12b2ce39 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffc12b380c9 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffc12b2ced9 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffc12b2f519 (__TEXT,__text) external _cmark_register_node_flag
00007ffc12b38233 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffc12b38258 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffc41766350 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
00007ffc12b2075d (__TEXT,__text) external _cmark_register_plugin
00007ffc12b20808 (__TEXT,__text) external _cmark_release_plugins
00007ffc12b20998 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffc12b2094f (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffc12b20978 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffc12b1c848 (__TEXT,__text) external _cmark_render_commonmark
00007ffc12b1c871 (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffc12b1d9d8 (__TEXT,__text) external _cmark_render_html
00007ffc12b1d9e5 (__TEXT,__text) external _cmark_render_html_with_mem
00007ffc12b37f06 (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffc12b220e0 (__TEXT,__text) external _cmark_render_latex
00007ffc12b22102 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffc12b1f0cc (__TEXT,__text) external _cmark_render_man
00007ffc12b1f0ee (__TEXT,__text) external _cmark_render_man_with_mem
00007ffc12b355b8 (__TEXT,__text) external _cmark_render_plaintext
00007ffc12b355e1 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffc12b34ba0 (__TEXT,__text) external _cmark_render_xml
00007ffc12b34bad (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffc12b30ce0 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffc41766560 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffc12b30e73 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffc41766360 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffc417666b4 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffc12b2c85e (__TEXT,__text) external _cmark_strbuf_clear
00007ffc12b2ca90 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffc12b2c9d5 (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffc12b38087 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffc12b2ca5a (__TEXT,__text) external _cmark_strbuf_detach
00007ffc12b2cb7d (__TEXT,__text) external _cmark_strbuf_drop
00007ffc12b2c828 (__TEXT,__text) external _cmark_strbuf_free
00007ffc12b2c7be (__TEXT,__text) external _cmark_strbuf_grow
00007ffc12b38040 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffc12b38061 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffc12b2c793 (__TEXT,__text) external _cmark_strbuf_init
00007ffc12b2c81f (__TEXT,__text) external _cmark_strbuf_len
00007ffc12b2cc62 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffc12b2c95b (__TEXT,__text) external _cmark_strbuf_put
00007ffc12b2c922 (__TEXT,__text) external _cmark_strbuf_putc
