00007ff81f2581b7 (__TEXT,__text) non-external +[Calculate _lock]
00007ff81f26b008 (__TEXT,__text) non-external -[CalculateTokenizer .cxx_destruct]
00007ff81f269978 (__TEXT,__text) non-external -[CalculateTokenizer _findTokens]
00007ff81f2688b1 (__TEXT,__text) non-external -[CalculateTokenizer _loadIfNeeded]
00007ff81f26af27 (__TEXT,__text) non-external -[CalculateTokenizer index]
00007ff81f2687e8 (__TEXT,__text) non-external -[CalculateTokenizer initWithUnits:]
00007ff81f26afbe (__TEXT,__text) non-external -[CalculateTokenizer lastToken]
00007ff81f26af3b (__TEXT,__text) non-external -[CalculateTokenizer locales]
00007ff81f26adbc (__TEXT,__text) non-external -[CalculateTokenizer nextToken]
00007ff81f26af8f (__TEXT,__text) non-external -[CalculateTokenizer peekIndex]
00007ff81f26ae41 (__TEXT,__text) non-external -[CalculateTokenizer peekToken]
00007ff81f26afa3 (__TEXT,__text) non-external -[CalculateTokenizer peekTokens]
00007ff81f2695da (__TEXT,__text) non-external -[CalculateTokenizer reset]
00007ff81f26afc8 (__TEXT,__text) non-external -[CalculateTokenizer setLastToken:]
00007ff81f269934 (__TEXT,__text) non-external -[CalculateTokenizer setLocales:]
00007ff81f26af99 (__TEXT,__text) non-external -[CalculateTokenizer setPeekIndex:]
00007ff81f26afad (__TEXT,__text) non-external -[CalculateTokenizer setPeekTokens:]
00007ff81f26965d (__TEXT,__text) non-external -[CalculateTokenizer setString:]
00007ff81f26af85 (__TEXT,__text) non-external -[CalculateTokenizer setStringLength:]
00007ff81f26af6a (__TEXT,__text) non-external -[CalculateTokenizer setTrie:]
00007ff81f26af4f (__TEXT,__text) non-external -[CalculateTokenizer setUnitsInfo:]
00007ff81f26afe3 (__TEXT,__text) non-external -[CalculateTokenizer setWordBreakIndices:]
00007ff81f26affe (__TEXT,__text) non-external -[CalculateTokenizer setWordBreakIndicesIndex:]
00007ff81f26af7b (__TEXT,__text) non-external -[CalculateTokenizer stringLength]
00007ff81f26af31 (__TEXT,__text) non-external -[CalculateTokenizer string]
00007ff81f26af60 (__TEXT,__text) non-external -[CalculateTokenizer trie]
00007ff81f26af45 (__TEXT,__text) non-external -[CalculateTokenizer unitsInfo]
00007ff81f26aff4 (__TEXT,__text) non-external -[CalculateTokenizer wordBreakIndicesIndex]
00007ff81f26afd9 (__TEXT,__text) non-external -[CalculateTokenizer wordBreakIndices]
00007ff81f2678b0 (__TEXT,__text) non-external -[CalculateUnit .cxx_destruct]
00007ff81f266fd1 (__TEXT,__text) non-external -[CalculateUnit compactNameForLocalization:]
00007ff81f2676b2 (__TEXT,__text) non-external -[CalculateUnit compare:]
00007ff81f2677af (__TEXT,__text) non-external -[CalculateUnit description]
00007ff81f267871 (__TEXT,__text) non-external -[CalculateUnit exponent]
00007ff81f266fbb (__TEXT,__text) non-external -[CalculateUnit formatNextSmallest]
00007ff81f266e30 (__TEXT,__text) non-external -[CalculateUnit isDenominator]
00007ff81f26774d (__TEXT,__text) non-external -[CalculateUnit isEqual:]
00007ff81f266e14 (__TEXT,__text) non-external -[CalculateUnit isNumerator]
00007ff81f267054 (__TEXT,__text) non-external -[CalculateUnit localizedNameForValue:localization:retainingFormat:]
00007ff81f267867 (__TEXT,__text) non-external -[CalculateUnit name]
00007ff81f266e46 (__TEXT,__text) non-external -[CalculateUnit nextSmallest]
00007ff81f267884 (__TEXT,__text) non-external -[CalculateUnit setNextSmallest:]
00007ff81f26789f (__TEXT,__text) non-external -[CalculateUnit setUnitInfo:]
00007ff81f267895 (__TEXT,__text) non-external -[CalculateUnit unitInfo]
00007ff81f26787a (__TEXT,__text) non-external -[CalculateUnit unitType]
00007ff81f2712a5 (__TEXT,__text) non-external -[Converter .cxx_destruct]
00007ff81f26d75d (__TEXT,__text) non-external -[Converter _calculate:]
00007ff81f26fa32 (__TEXT,__text) non-external -[Converter _doubleWithoutUnrelevantDecimalsForNumber:]
00007ff81f26fb17 (__TEXT,__text) non-external -[Converter _localizedPluralizedStringsforNumber:unit:]
00007ff81f26df1a (__TEXT,__text) non-external -[Converter _normalizedUnitNamesForName:]
00007ff81f26f0ef (__TEXT,__text) non-external -[Converter _operateConversionForOutputUnit:]
00007ff81f26cb82 (__TEXT,__text) non-external -[Converter _parseInputQuery]
00007ff81f26ef26 (__TEXT,__text) non-external -[Converter _performUnitPluralization]
00007ff81f26d6da (__TEXT,__text) non-external -[Converter _safe_subStringOf:withRange:]
00007ff81f26e09f (__TEXT,__text) non-external -[Converter _standardizeInputAndOutputUnits]
00007ff81f26e56f (__TEXT,__text) non-external -[Converter _unitInfoForNormalizedName:]
00007ff81f26d83d (__TEXT,__text) non-external -[Converter _updateInputValueFromMatch:]
00007ff81f27126f (__TEXT,__text) non-external -[Converter additionalResults]
00007ff81f27128a (__TEXT,__text) non-external -[Converter conversionType]
00007ff81f271259 (__TEXT,__text) non-external -[Converter currencyUpdateTimeOut]
00007ff81f26c9da (__TEXT,__text) non-external -[Converter initWithInput:]
00007ff81f27115c (__TEXT,__text) non-external -[Converter inputString]
00007ff81f271177 (__TEXT,__text) non-external -[Converter inputUnit]
00007ff81f271192 (__TEXT,__text) non-external -[Converter inputValue]
00007ff81f27124f (__TEXT,__text) non-external -[Converter isCurrency]
00007ff81f2711e3 (__TEXT,__text) non-external -[Converter localizedInputValueAndUnit]
00007ff81f271234 (__TEXT,__text) non-external -[Converter localizedOutputUnit]
00007ff81f2711fe (__TEXT,__text) non-external -[Converter localizedOutputValueAndUnit]
00007ff81f271219 (__TEXT,__text) non-external -[Converter localizedOutputValue]
00007ff81f2711ad (__TEXT,__text) non-external -[Converter outputUnit]
00007ff81f2711c8 (__TEXT,__text) non-external -[Converter outputValue]
00007ff81f26cacd (__TEXT,__text) non-external -[Converter processConversionWithCompletion:]
00007ff81f271279 (__TEXT,__text) non-external -[Converter setAdditionalResults:]
00007ff81f271294 (__TEXT,__text) non-external -[Converter setConversionType:]
00007ff81f271264 (__TEXT,__text) non-external -[Converter setCurrencyUpdateTimeOut:]
00007ff81f271166 (__TEXT,__text) non-external -[Converter setInputString:]
00007ff81f271181 (__TEXT,__text) non-external -[Converter setInputUnit:]
00007ff81f27119c (__TEXT,__text) non-external -[Converter setInputValue:]
00007ff81f2711ed (__TEXT,__text) non-external -[Converter setLocalizedInputValueAndUnit:]
00007ff81f27123e (__TEXT,__text) non-external -[Converter setLocalizedOutputUnit:]
00007ff81f271223 (__TEXT,__text) non-external -[Converter setLocalizedOutputValue:]
00007ff81f271208 (__TEXT,__text) non-external -[Converter setLocalizedOutputValueAndUnit:]
00007ff81f2711b7 (__TEXT,__text) non-external -[Converter setOutputUnit:]
00007ff81f2711d2 (__TEXT,__text) non-external -[Converter setOutputValue:]
00007ff81f26e994 (__TEXT,__text) non-external -[Converter similarUnitsForNormalizedName:]
00007ff81f240f20 (__TEXT,__text) non-external -[CurrencyCache .cxx_destruct]
00007ff81f24001f (__TEXT,__text) non-external -[CurrencyCache _consumerKey]
00007ff81f23ffa1 (__TEXT,__text) non-external -[CurrencyCache _consumerSecret]
00007ff81f240602 (__TEXT,__text) non-external -[CurrencyCache _loadPersistedCurrencyCache]
00007ff81f23fea0 (__TEXT,__text) non-external -[CurrencyCache _needsRefresh]
00007ff81f240419 (__TEXT,__text) non-external -[CurrencyCache _queue_persistCurrencyCache]
00007ff81f2400cc (__TEXT,__text) non-external -[CurrencyCache _queue_refresh:]
00007ff81f2403eb (__TEXT,__text) non-external -[CurrencyCache _queue_refresh]
00007ff81f24002c (__TEXT,__text) non-external -[CurrencyCache createCredential]
00007ff81f23ff52 (__TEXT,__text) non-external -[CurrencyCache currencyData]
00007ff81f23faf0 (__TEXT,__text) non-external -[CurrencyCache init]
00007ff81f23fe4d (__TEXT,__text) non-external -[CurrencyCache lastRefreshDate]
00007ff81f240eef (__TEXT,__text) non-external -[CurrencyCache lastRefreshTimeInternal]
00007ff81f240f05 (__TEXT,__text) non-external -[CurrencyCache lock]
00007ff81f23ff03 (__TEXT,__text) non-external -[CurrencyCache needsRefresh]
00007ff81f23fce9 (__TEXT,__text) non-external -[CurrencyCache refreshIfNeeded]
00007ff81f240ec3 (__TEXT,__text) non-external -[CurrencyCache refreshInterval]
00007ff81f23fd26 (__TEXT,__text) non-external -[CurrencyCache refreshWithTimeOut:]
00007ff81f23fbd4 (__TEXT,__text) non-external -[CurrencyCache refresh]
00007ff81f240ea8 (__TEXT,__text) non-external -[CurrencyCache serializer]
00007ff81f240e97 (__TEXT,__text) non-external -[CurrencyCache setCurrencyData:]
00007ff81f240efa (__TEXT,__text) non-external -[CurrencyCache setLastRefreshTimeInternal:]
00007ff81f240f0f (__TEXT,__text) non-external -[CurrencyCache setLock:]
00007ff81f240ece (__TEXT,__text) non-external -[CurrencyCache setRefreshInterval:]
00007ff81f240eb2 (__TEXT,__text) non-external -[CurrencyCache setSerializer:]
00007ff81f240ee4 (__TEXT,__text) non-external -[CurrencyCache setTimeout:]
00007ff81f240ed9 (__TEXT,__text) non-external -[CurrencyCache timeout]
00007ff81f24080c (__TEXT,__text) non-external -[CurrencyCache updateCurrencyCacheWithData:]
00007ff81f240e8d (__TEXT,__text) non-external -[CurrencyCache uuid]
00007ff81f253aec (__TEXT,__text) non-external -[NSLocale(Whitespace) usesWhitespace]
00007ff81f2575f7 (__TEXT,__text) non-external -[Trie .cxx_destruct]
00007ff81f257559 (__TEXT,__text) non-external -[Trie characterCount]
00007ff81f25756b (__TEXT,__text) non-external -[Trie characterSize]
00007ff81f257545 (__TEXT,__text) non-external -[Trie characters]
00007ff81f2575e4 (__TEXT,__text) non-external -[Trie compressed]
00007ff81f257415 (__TEXT,__text) non-external -[Trie dealloc]
00007ff81f2575d0 (__TEXT,__text) non-external -[Trie firstByteCache]
00007ff81f257308 (__TEXT,__text) non-external -[Trie init]
00007ff81f257591 (__TEXT,__text) non-external -[Trie nodeCount]
00007ff81f2575a3 (__TEXT,__text) non-external -[Trie nodeSize]
00007ff81f25757d (__TEXT,__text) non-external -[Trie nodes]
00007ff81f2575b5 (__TEXT,__text) non-external -[Trie objects]
00007ff81f257562 (__TEXT,__text) non-external -[Trie setCharacterCount:]
00007ff81f257574 (__TEXT,__text) non-external -[Trie setCharacterSize:]
00007ff81f25754f (__TEXT,__text) non-external -[Trie setCharacters:]
00007ff81f2575ee (__TEXT,__text) non-external -[Trie setCompressed:]
00007ff81f2575da (__TEXT,__text) non-external -[Trie setFirstByteCache:]
00007ff81f25759a (__TEXT,__text) non-external -[Trie setNodeCount:]
00007ff81f2575ac (__TEXT,__text) non-external -[Trie setNodeSize:]
00007ff81f257587 (__TEXT,__text) non-external -[Trie setNodes:]
00007ff81f2575bf (__TEXT,__text) non-external -[Trie setObjects:]
00007ff81f257470 (__TEXT,__text) non-external -[Trie writeCharacter:]
00007ff81f2574cc (__TEXT,__text) non-external -[Trie writeNode:]
00007ff81f2572fa (__TEXT,__text) non-external -[TrieNode .cxx_destruct]
00007ff81f2572d6 (__TEXT,__text) non-external -[TrieNode node]
00007ff81f2576af (__TEXT,__text) non-external -[TrieNode objectForByte:leaf:create:]
00007ff81f257d6b (__TEXT,__text) non-external -[TrieNode objectForKey:create:]
00007ff81f257e8a (__TEXT,__text) non-external -[TrieNode objectForKeyedSubscript:]
00007ff81f257b51 (__TEXT,__text) non-external -[TrieNode object]
00007ff81f2572e8 (__TEXT,__text) non-external -[TrieNode offset]
00007ff81f2572df (__TEXT,__text) non-external -[TrieNode setNode:]
00007ff81f257c33 (__TEXT,__text) non-external -[TrieNode setObject:]
00007ff81f2572f1 (__TEXT,__text) non-external -[TrieNode setOffset:]
00007ff81f2572c5 (__TEXT,__text) non-external -[TrieNode setTrie:]
00007ff81f2572af (__TEXT,__text) non-external -[TrieNode trie]
00007ff81f257741 (__TEXT,__text) non-external -[TrieNode updateForByte:leaf:create:]
00007ff81f254c9d (__TEXT,__text) non-external -[UnitInfo .cxx_destruct]
00007ff81f254c67 (__TEXT,__text) non-external -[UnitInfo allSubunitIDs]
00007ff81f254afc (__TEXT,__text) non-external -[UnitInfo baseDenominator]
00007ff81f254ae0 (__TEXT,__text) non-external -[UnitInfo baseNumerator]
00007ff81f254bc4 (__TEXT,__text) non-external -[UnitInfo bestEquivalent]
00007ff81f2546b6 (__TEXT,__text) non-external -[UnitInfo compactNameForLocalization:]
00007ff81f2545dd (__TEXT,__text) non-external -[UnitInfo compare:]
00007ff81f254bff (__TEXT,__text) non-external -[UnitInfo doNotSuggest]
00007ff81f254c39 (__TEXT,__text) non-external -[UnitInfo formatNextSmallest]
00007ff81f254669 (__TEXT,__text) non-external -[UnitInfo hash]
00007ff81f254b51 (__TEXT,__text) non-external -[UnitInfo impliesDivision]
00007ff81f2544a5 (__TEXT,__text) non-external -[UnitInfo init]
00007ff81f254b2b (__TEXT,__text) non-external -[UnitInfo isBaseUnit]
00007ff81f254b77 (__TEXT,__text) non-external -[UnitInfo isCelsius]
00007ff81f254b3e (__TEXT,__text) non-external -[UnitInfo isDisplayName]
00007ff81f25455b (__TEXT,__text) non-external -[UnitInfo isEqual:]
00007ff81f254b64 (__TEXT,__text) non-external -[UnitInfo isFahrenheit]
00007ff81f254b18 (__TEXT,__text) non-external -[UnitInfo isInverted]
00007ff81f254b8a (__TEXT,__text) non-external -[UnitInfo isKelvin]
00007ff81f254c82 (__TEXT,__text) non-external -[UnitInfo localizationToCompactName]
00007ff81f254beb (__TEXT,__text) non-external -[UnitInfo measurementSystem]
00007ff81f254ac5 (__TEXT,__text) non-external -[UnitInfo name]
00007ff81f254c12 (__TEXT,__text) non-external -[UnitInfo nextSmallest]
00007ff81f254c71 (__TEXT,__text) non-external -[UnitInfo setAllSubunitIDs:]
00007ff81f254b0a (__TEXT,__text) non-external -[UnitInfo setBaseDenominator:]
00007ff81f254aee (__TEXT,__text) non-external -[UnitInfo setBaseNumerator:]
00007ff81f254bda (__TEXT,__text) non-external -[UnitInfo setBestEquivalent:]
00007ff81f254c09 (__TEXT,__text) non-external -[UnitInfo setDoNotSuggest:]
00007ff81f254c43 (__TEXT,__text) non-external -[UnitInfo setFormatNextSmallest:]
00007ff81f254b5b (__TEXT,__text) non-external -[UnitInfo setImpliesDivision:]
00007ff81f254b35 (__TEXT,__text) non-external -[UnitInfo setIsBaseUnit:]
00007ff81f254b81 (__TEXT,__text) non-external -[UnitInfo setIsCelsius:]
00007ff81f254b48 (__TEXT,__text) non-external -[UnitInfo setIsDisplayName:]
00007ff81f254b6e (__TEXT,__text) non-external -[UnitInfo setIsFahrenheit:]
00007ff81f254b22 (__TEXT,__text) non-external -[UnitInfo setIsInverted:]
00007ff81f254b94 (__TEXT,__text) non-external -[UnitInfo setIsKelvin:]
00007ff81f254c8c (__TEXT,__text) non-external -[UnitInfo setLocalizationToCompactName:]
00007ff81f254bf5 (__TEXT,__text) non-external -[UnitInfo setMeasurementSystem:]
00007ff81f254acf (__TEXT,__text) non-external -[UnitInfo setName:]
00007ff81f254c28 (__TEXT,__text) non-external -[UnitInfo setNextSmallest:]
00007ff81f254c56 (__TEXT,__text) non-external -[UnitInfo setSubunitIDs:]
00007ff81f254bb3 (__TEXT,__text) non-external -[UnitInfo setTypeInfo:]
00007ff81f254aaa (__TEXT,__text) non-external -[UnitInfo setUnitID:]
00007ff81f254abc (__TEXT,__text) non-external -[UnitInfo setUnitType:]
00007ff81f254c4c (__TEXT,__text) non-external -[UnitInfo subunitIDs]
00007ff81f254b9d (__TEXT,__text) non-external -[UnitInfo typeInfo]
00007ff81f254aa1 (__TEXT,__text) non-external -[UnitInfo unitID]
00007ff81f254ab3 (__TEXT,__text) non-external -[UnitInfo unitType]
00007ff81f253f29 (__TEXT,__text) non-external -[UnitRank .cxx_destruct]
00007ff81f253d85 (__TEXT,__text) non-external -[UnitRank compare:]
00007ff81f253f0e (__TEXT,__text) non-external -[UnitRank context]
00007ff81f253e6d (__TEXT,__text) non-external -[UnitRank description]
00007ff81f253e14 (__TEXT,__text) non-external -[UnitRank hash]
00007ff81f253c14 (__TEXT,__text) non-external -[UnitRank initWithUnitID:rank:locale:]
00007ff81f253c29 (__TEXT,__text) non-external -[UnitRank initWithUnitID:rank:locale:context:]
00007ff81f253cf5 (__TEXT,__text) non-external -[UnitRank isEqual:]
00007ff81f253ef3 (__TEXT,__text) non-external -[UnitRank locale]
00007ff81f253edd (__TEXT,__text) non-external -[UnitRank rank]
00007ff81f253f18 (__TEXT,__text) non-external -[UnitRank setContext:]
