00007ff84338a698 (__DATA,__data) non-external _C
00007ff8003454d8 (__TEXT,__text) non-external __EUC_KR_mbrtowc
00007ff80034551e (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
00007ff8003454fc (__TEXT,__text) non-external __EUC_KR_wcrtomb
00007ff800345528 (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00007ff800345667 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
00007ff8003456cd (__TEXT,__text) non-external __EUC_TW_mbrtowc
00007ff80034571f (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
00007ff8003456f7 (__TEXT,__text) non-external __EUC_TW_wcrtomb
00007ff800345729 (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
00007ff800345601 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff800345733 (__TEXT,__text) non-external __EUC_mbrtowc_impl
00007ff800345458 (__TEXT,__text) non-external __EUC_mbsinit
00007ff800345850 (__TEXT,__text) non-external __EUC_wcrtomb_impl
00007ff80035a29b (__TEXT,__text) external __Exit
00007ff800345957 (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff80034598e (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff800345bc8 (__TEXT,__text) non-external __GB18030_mbsinit
00007ff800345ad7 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff800345be1 (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff800345c18 (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff800345d59 (__TEXT,__text) non-external __GB2312_mbsinit
00007ff800345d1a (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff800345d72 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff800345da9 (__TEXT,__text) non-external __GBK_mbrtowc
00007ff800345ea9 (__TEXT,__text) non-external __GBK_mbsinit
00007ff800345e6a (__TEXT,__text) non-external __GBK_wcrtomb
00007ff80034633b (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff800346372 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff8003465db (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff800346441 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff8002f3f1e (__TEXT,__text) external __NSGetArgc
00007ff8002f3f11 (__TEXT,__text) external __NSGetArgv
00007ff8002ed68d (__TEXT,__text) external __NSGetEnviron
00007ff8002ed737 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff8002f32ee (__TEXT,__text) external __NSGetProgname
00007ff84338c898 (__DATA,__common) external __PathLocale
00007ff8003125ab (__TEXT,__text) external __Read_RuneMagi
00007ff800359c68 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff800359cb5 (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff800359e9a (__TEXT,__text) non-external __UTF2_mbsinit
00007ff800359eb4 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff800359e13 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff80035a028 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff80031317e (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff800314bce (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff800346c7d (__TEXT,__text) non-external __UTF8_mbsinit
00007ff800314e67 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff8003155e2 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff800346c97 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff8002fdce5 (__TEXT,__text) external ___Balloc_D2A
00007ff8002fdea9 (__TEXT,__text) external ___Bfree_D2A
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff80032ee29 (__TEXT,__text) external ____mb_cur_max
00007ff80032ee57 (__TEXT,__text) external ____mb_cur_max_l
00007ff8003035a2 (__TEXT,__text) external ____runetype
00007ff8003035ca (__TEXT,__text) external ____runetype_l
00007ff800346b83 (__TEXT,__text) external ____tolower
00007ff800346ad9 (__TEXT,__text) external ____tolower_l
00007ff800346c55 (__TEXT,__text) external ____toupper
00007ff800346bab (__TEXT,__text) external ____toupper_l
00007ff80036cb28 (__TEXT,__text) non-external (was a private external) ___abort
00007ff800339869 (__TEXT,__text) external ___add_ovflpage
00007ff8003395e5 (__TEXT,__text) external ___addel
00007ff800302820 (__TEXT,__text) external ___any_on_D2A
00007ff80036bca2 (__TEXT,__text) external ___assert_rtn
00007ff8431a9388 (__DATA_DIRTY,__bss) non-external ___atexit
00007ff80030f641 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8431a9390 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00007ff8003167aa (__TEXT,__text) external ___b2d_D2A
00007ff800337f3e (__TEXT,__text) external ___big_delete
00007ff800337c80 (__TEXT,__text) external ___big_insert
00007ff80033856b (__TEXT,__text) external ___big_keydata
00007ff800338205 (__TEXT,__text) external ___big_return
00007ff8003386da (__TEXT,__text) external ___big_split
00007ff80036f090 (__TEXT,__const) external ___bigtens_D2A
00007ff800332d84 (__TEXT,__text) external ___bt_close
00007ff800336980 (__TEXT,__text) external ___bt_cmp
00007ff800336a19 (__TEXT,__text) external ___bt_defcmp
00007ff800336a60 (__TEXT,__text) external ___bt_defpfx
00007ff8003331eb (__TEXT,__text) external ___bt_delete
00007ff800333832 (__TEXT,__text) external ___bt_dleaf
00007ff800334658 (__TEXT,__text) external ___bt_fd
00007ff80033564e (__TEXT,__text) non-external ___bt_first
00007ff800334a04 (__TEXT,__text) external ___bt_free
00007ff800333e89 (__TEXT,__text) external ___bt_get
00007ff800334a35 (__TEXT,__text) external ___bt_new
00007ff800333f5f (__TEXT,__text) external ___bt_open
00007ff800333bf5 (__TEXT,__text) non-external ___bt_pdelete
00007ff800332f1e (__TEXT,__text) external ___bt_pgin
00007ff8003330a6 (__TEXT,__text) external ___bt_pgout
00007ff800334a88 (__TEXT,__text) external ___bt_put
00007ff800333e00 (__TEXT,__text) non-external ___bt_relink
00007ff8003367ce (__TEXT,__text) external ___bt_ret
00007ff800334fe9 (__TEXT,__text) external ___bt_search
00007ff800335240 (__TEXT,__text) external ___bt_seq
00007ff800335604 (__TEXT,__text) external ___bt_setcur
00007ff80033581f (__TEXT,__text) external ___bt_split
00007ff8003334e6 (__TEXT,__text) non-external ___bt_stkacq
00007ff800332e50 (__TEXT,__text) external ___bt_sync
00007ff800338cac (__TEXT,__text) external ___buf_free
00007ff800338c74 (__TEXT,__text) non-external (was a private external) ___buf_init
                 (undefined) external ___bzero (from libsystem_platform)
00007ff8431a6e28 (__DATA_DIRTY,__data) non-external ___c_locale
00007ff80036490a (__TEXT,__text) non-external ___calc_left_pad
00007ff80033782a (__TEXT,__text) external ___call_hash
00007ff84338abc0 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff80036ae8d (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff80036ae9f (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff80031e600 (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff8002f335c (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff800328ab0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff800328ad0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00007ff8431a9410 (__DATA_DIRTY,__common) external ___cleanup
00007ff8002fee10 (__TEXT,__text) external ___cmp_D2A
00007ff800344b95 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff800344d7b (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff800344f30 (__TEXT,__text) external ___collate_equiv_match
00007ff80030a000 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff8003442c3 (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff84338a7b0 (__DATA,__data) external ___collate_load_error
00007ff80031194f (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff84338c270 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff800343ada (__TEXT,__text) non-external ___collate_load_tables_legacy
00007ff800344697 (__TEXT,__text) external ___collate_lookup
00007ff80034437e (__TEXT,__text) external ___collate_lookup_l
00007ff800344867 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff800344758 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff800345374 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff84338c278 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff84338c280 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff8003440a8 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff800344271 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff800344957 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff80030f630 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff800301912 (__TEXT,__text) external ___copybits_D2A
00007ff800329367 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00007ff800328d30 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00007ff84338b940 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00007ff84338c828 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00007ff80035e332 (__TEXT,__text) non-external ___cvt
00007ff84338c7b0 (__DATA,__bss) non-external ___cvt.s
00007ff8002f3b4b (__TEXT,__text) external ___cxa_atexit
00007ff8003186d4 (__TEXT,__text) external ___cxa_finalize
00007ff80031870c (__TEXT,__text) external ___cxa_finalize_ranges
00007ff80035a2b1 (__TEXT,__text) external ___cxa_thread_atexit
00007ff8002fdbc4 (__TEXT,__text) external ___d2b_D2A
00007ff8431a93c8 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00007ff800336b49 (__TEXT,__text) non-external ___dberr
00007ff800336b24 (__TEXT,__text) external ___dbpanic
00007ff84338a6c0 (__DATA,__data) external ___default_hash
00007ff800362de3 (__TEXT,__text) external ___default_utx
00007ff84338ab70 (__DATA,__data) non-external ___default_utx.once
00007ff800362e03 (__TEXT,__text) non-external ___default_utx_init
00007ff800338ec4 (__TEXT,__text) external ___delpair
00007ff8003118bc (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff8002fed00 (__TEXT,__text) external ___diff_D2A
00007ff8431a7ae0 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00007ff8002fcc5c (__TEXT,__text) external ___dtoa
00007ff800362f30 (__TEXT,__text) non-external (was a private external) ___endutxent
00007ff8431a9420 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00007ff80035a31e (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff84338c748 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff80031ec5d (__TEXT,__text) non-external (was a private external) ___errstr
00007ff800302e4d (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff8003376d7 (__TEXT,__text) external ___expand_table
00007ff84338c540 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff800300886 (__TEXT,__text) external ___fflush
00007ff80034badb (__TEXT,__text) external ___fgetwc
00007ff80034d440 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff800338079 (__TEXT,__text) external ___find_bigpair
00007ff80033818f (__TEXT,__text) external ___find_last_page
00007ff80034e4f4 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff8002ed69a (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff8003138cb (__TEXT,__text) external ___fix_locale_grouping_str
00007ff800345936 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff80034c1c6 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff8002fa1fa (__TEXT,__text) external ___fread
00007ff80033a134 (__TEXT,__text) external ___free_ovflpage
00007ff8002fdef4 (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
                 (undefined) external ___fstat_extended (from libsystem_kernel)
00007ff84338abc4 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff8002ff535 (__TEXT,__text) non-external ___fts_open
00007ff8002ff7d9 (__TEXT,__text) non-external ___fts_open
00007ff80033c478 (__TEXT,__text) external ___gdtoa
00007ff84338c860 (__DATA,__common) external ___gdtoa_locks
00007ff800338868 (__TEXT,__text) external ___get_buf
00007ff800345ee7 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff8002f25e6 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff8002f2609 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff80030fd6a (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff80031a91c (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff800339c0a (__TEXT,__text) external ___get_page
00007ff80031900e (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff8431a9350 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
00007ff800345f0a (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff800362ffb (__TEXT,__text) non-external (was a private external) ___getutxent
00007ff80036337e (__TEXT,__text) non-external ___getutxid
00007ff80031d79c (__TEXT,__text) non-external (was a private external) ___gl_compare
00007ff80031d1e3 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00007ff8003405a9 (__TEXT,__text) non-external (was a private external) ___gl_g_strchr
00007ff80031d57c (__TEXT,__text) non-external (was a private external) ___gl_globextend
00007ff80031c310 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00007ff80031d2f7 (__TEXT,__text) non-external (was a private external) ___gl_match
00007ff80031b77a (__TEXT,__text) non-external ___glob
00007ff80031baea (__TEXT,__text) non-external ___glob
00007ff8431a6860 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00007ff80030f6f5 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff800336b54 (__TEXT,__text) external ___hash_open
00007ff80032423c (__TEXT,__text) external ___hdtoa
00007ff8002fb74b (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff800301747 (__TEXT,__text) external ___hi0bits_D2A
00007ff80033c20e (__TEXT,__text) external ___hldtoa
00007ff8002fe9b2 (__TEXT,__text) external ___i2b_D2A
00007ff80033a079 (__TEXT,__text) external ___ibitmap
00007ff80034a862 (__TEXT,__text) non-external ___inaddr_to_index
00007ff80036c6a6 (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00007ff80035d711 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff8003467c8 (__TEXT,__text) external ___isctype
00007ff80034675e (__TEXT,__text) external ___istype
00007ff8003468a3 (__TEXT,__text) external ___istype_l
00007ff8431a7428 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
00007ff8431a7ad0 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff80035e770 (__TEXT,__text) external ___ldtoa
00007ff800331dd5 (__TEXT,__text) external ___libc_init
00007ff8002fdddf (__TEXT,__text) external ___lo0bits_D2A
00007ff800302ee3 (__TEXT,__text) non-external ___loadevp
00007ff8431a6e20 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00007ff800338ea8 (__TEXT,__text) external ___log2
00007ff84338c880 (__DATA,__common) non-external (was a private external) ___logname
00007ff84338a6f0 (__DATA,__data) non-external (was a private external) ___logname_mutex
00007ff80036ff60 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff8002fec08 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
                 (undefined) external ___lstat_extended (from libsystem_kernel)
00007ff800303550 (__TEXT,__text) external ___maskrune
00007ff80034684e (__TEXT,__text) external ___maskrune_l
00007ff80033d64b (__TEXT,__text) external ___match_D2A
00007ff84338a8ec (__DATA,__data) external ___mb_cur_max
00007ff84338a8f0 (__DATA,__data) external ___mb_sb_limit
00007ff800353fae (__TEXT,__text) non-external ___mbsconv
00007ff8003460f3 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff80036aeb1 (__TEXT,__text) external ___memccpy_chk
00007ff8002f3538 (__TEXT,__text) external ___memcpy_chk
00007ff8002f3f2b (__TEXT,__text) external ___memmove_chk
00007ff8002fc3a1 (__TEXT,__text) external ___memset_chk
00007ff800313db1 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff84338c288 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00007ff8003131cb (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff84338c298 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff8002feadc (__TEXT,__text) external ___mult_D2A
00007ff8002fe919 (__TEXT,__text) external ___multadd_D2A
00007ff80034b824 (__TEXT,__text) non-external ___nls_free_resources
00007ff80036f76d (__TEXT,__const) non-external ___nogrouping
00007ff800301704 (__TEXT,__text) external ___nrv_alloc_D2A
00007ff80032ecc8 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff800313987 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff84338c2a8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff800311de5 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff8003695ef (__TEXT,__text) external ___opendir2
00007ff8002f29ac (__TEXT,__text) external ___opendir2$INODE64
00007ff8002f3f3d (__TEXT,__text) non-external ___opendir_common
00007ff8002f4150 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00007ff800334942 (__TEXT,__text) external ___ovfl_delete
00007ff800334778 (__TEXT,__text) external ___ovfl_get
00007ff800334853 (__TEXT,__text) external ___ovfl_put
00007ff800301602 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff8431a9368 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00007ff8431a9360 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff8431a78b8 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff80031368a (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff84338c888 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff84338a730 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff8002fe9d5 (__TEXT,__text) external ___pow5mult_D2A
00007ff80036f080 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff800361eb9 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff80036cf21 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff800360cb9 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff80036cda3 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff800360da8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff80036cdc4 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff8003618f8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff80036ce0a (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff800321576 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff80036ce2b (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff8003624da (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff80036cf95 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff8003624bc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff800361b6c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff80036ceae (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff800361c11 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff80036ced1 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff800321540 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff80036cf00 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff800362010 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff80036cf50 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff80036231d (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff80036cf71 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff800320c3f (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff8003215f7 (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff800322638 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff80034fb1d (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff800321e8b (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff80036243a (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff800321b77 (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff800361efc (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff800360cd8 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff800360de4 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff80036cde7 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff80036191f (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff800321f10 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff80036ce4e (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff80036ce8b (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff8003624f9 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff8003624c4 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff800361b99 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff800361c30 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff800321bf6 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff80036202f (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff80036233c (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff800318ab0 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff8431a7b00 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff800339da3 (__TEXT,__text) external ___put_page
00007ff80036f8cf (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff8003635cd (__TEXT,__text) non-external (was a private external) ___pututxline
00007ff8003017b3 (__TEXT,__text) external ___quorem_D2A
00007ff800316707 (__TEXT,__text) external ___ratio_D2A
00007ff80033a986 (__TEXT,__text) external ___rec_close
00007ff80033ac7d (__TEXT,__text) external ___rec_delete
00007ff80033ad8d (__TEXT,__text) external ___rec_dleaf
00007ff80033b706 (__TEXT,__text) external ___rec_fd
00007ff80033b1ea (__TEXT,__text) external ___rec_fmap
00007ff80033af84 (__TEXT,__text) external ___rec_fpipe
00007ff80033aea0 (__TEXT,__text) external ___rec_get
00007ff80033ba20 (__TEXT,__text) external ___rec_iput
00007ff80033b3b8 (__TEXT,__text) external ___rec_open
00007ff80033b754 (__TEXT,__text) external ___rec_put
00007ff80033bfb0 (__TEXT,__text) external ___rec_ret
00007ff80033bc5e (__TEXT,__text) external ___rec_search
00007ff80033bdfc (__TEXT,__text) external ___rec_seq
00007ff80033aa45 (__TEXT,__text) external ___rec_sync
00007ff80033b2fd (__TEXT,__text) external ___rec_vmap
00007ff80033b0b2 (__TEXT,__text) external ___rec_vpipe
00007ff800338d8d (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff80030287e (__TEXT,__text) external ___rshift_D2A
00007ff80036ee70 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00007ff8002fde6e (__TEXT,__text) external ___rv_alloc_D2A
00007ff8002fe84d (__TEXT,__text) external ___s2b_D2A
