00007ffa42e92020 (__DATA,__data) non-external _.compoundliteral
00007ffa17ac1031 (__TEXT,__text) non-external (was a private external) _BitSetGetEquals
00007ffa17ac1028 (__TEXT,__text) non-external (was a private external) _BitSetGetSizeInBits
00007ffa17ac11e5 (__TEXT,__text) non-external (was a private external) _BitSetLastSetBit
00007ffa17ac0d30 (__TEXT,__text) non-external (was a private external) _BitSetNew
00007ffa17ac0dae (__TEXT,__text) non-external (was a private external) _BitSetNewWithAllocator
00007ffa17ac1190 (__TEXT,__text) non-external (was a private external) _BitSetNextSetBit
00007ffa17ac123e (__TEXT,__text) non-external (was a private external) _BitSetOr
00007ffa17ac136e (__TEXT,__text) non-external (was a private external) _BitSetOrEquals
00007ffa17ac11f2 (__TEXT,__text) non-external (was a private external) _BitSetPreviousSetBit
00007ffa17ac106a (__TEXT,__text) non-external (was a private external) _BitSetSetEquals
00007ffa17ac10d8 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEquals
00007ffa17ac0e82 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEqualsInternal
00007ffa17ac1118 (__TEXT,__text) non-external (was a private external) _BitSetSetSizeEquals
00007ffa17acc2d6 (__TEXT,__text) non-external (was a private external) _BlockAdd
00007ffa17accc4c (__TEXT,__text) non-external (was a private external) _BlockAddSuccessor
00007ffa17acc3a1 (__TEXT,__text) non-external (was a private external) _BlockFree
00007ffa17acc6b0 (__TEXT,__text) non-external (was a private external) _Blockify
00007ffa17acccc1 (__TEXT,__text) non-external (was a private external) _BlocksFree
00007ffa17ac9720 (__TEXT,__text) non-external (was a private external) _BuildGenKill
00007ffa17ac9985 (__TEXT,__text) non-external (was a private external) _BuildInterferenceSets
00007ffa17ac988b (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00007ffa17a7921c (__TEXT,__text) non-external _CPPelse
00007ffa17a79ce4 (__TEXT,__text) non-external _CPPerror
00007ffa17a79eb8 (__TEXT,__text) non-external _CPPextension
00007ffa17a7946c (__TEXT,__text) non-external _CPPif
00007ffa17a7952c (__TEXT,__text) non-external _CPPifdef
00007ffa17a79661 (__TEXT,__text) non-external _CPPinclude
00007ffa17a798c4 (__TEXT,__text) non-external _CPPline
00007ffa17a79a6a (__TEXT,__text) non-external _CPPpragma
00007ffa17a79c52 (__TEXT,__text) non-external _CPPundef
00007ffa17a79db0 (__TEXT,__text) non-external _CPPversion
00007ffa17ad6254 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00007ffa17ad47f1 (__TEXT,__text) non-external _ClearDestedOpRegisters
00007ffa17ad6213 (__TEXT,__text) non-external _ClearJumpTable
00007ffa17ad4793 (__TEXT,__text) non-external _ClearRegisterState
00007ffa17ad23e9 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00007ffa17aca2a4 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00007ffa17ad26bc (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00007ffa17ace078 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00007ffa17a60e90 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00007ffa17acfc6e (__TEXT,__text) non-external _EmulateOp
00007ffa17ad4753 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00007ffa17ad4717 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007ffa17a784e1 (__TEXT,__text) non-external _FindHashLoc
00007ffa17ad650f (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007ffa17a5f6b0 (__TEXT,__text) non-external (was a private external) _FinishType
00007ffa17accf70 (__TEXT,__text) non-external (was a private external) _FlattenIf
00007ffa17accdd6 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007ffa17a78478 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00007ffa17a78822 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007ffa17a7af73 (__TEXT,__text) non-external (was a private external) _FreeScanner
00007ffa179943b0 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007ffa1799960e (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007ffa41d30d80 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007ffa17af8f10 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007ffa42e91f88 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffa17af8540 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffa41d32dc0 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffa17af8f20 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffa17af84f0 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffa17a7811c (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffa17acf14c (__TEXT,__text) non-external _GetOpRegs
00007ffa17accbc4 (__TEXT,__text) non-external _GetOrAddBlock
00007ffa17ad2661 (__TEXT,__text) non-external _GetRegChunk
00007ffa17acb428 (__TEXT,__text) non-external _GetRegister
00007ffa17ad4681 (__TEXT,__text) non-external _GetRegisterIndicies
00007ffa17acdf70 (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffa17a7816e (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffa17ad6494 (__TEXT,__text) non-external _GetStreamArray
00007ffa17a78464 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffa17a782d4 (__TEXT,__text) non-external _GrowAtomTable
00007ffa42e91f40 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffa17ac91a9 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffa17ac9149 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffa17ac92ae (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffa17ac93d5 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffa17ac93c4 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffa17ac908e (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffa17ac9333 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffa17ac9514 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffa17ac947e (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffa17ac9685 (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffa17ac9436 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffa17a78188 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffa17a78648 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffa17a5f6f1 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffa17a7af28 (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffa17acb9d5 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffa17acc2a8 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffa17acbaa0 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffa17acf248 (__TEXT,__text) non-external _IsBadUsage
00007ffa17a61038 (__TEXT,__text) non-external (was a private external) _Load
00007ffa17a77ee0 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffa17a77f8f (__TEXT,__text) non-external _LookUpAddStringHash
00007ffa17a7cdc9 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffa17a7ce2e (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffa17a7a005 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffa17a7d680 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffa17a7cc2e (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffa17a7ce78 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffa41d2fad0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffa41d2f770 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffa41d2fcf0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffa41d2fe30 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffa41d2f930 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffa41d2fa30 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffa41d2ff30 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffa41d2faa0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffa1798fb2f (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffa1798f8f6 (__TEXT,__text) external _PPParserAttachStream
00007ffa1798f779 (__TEXT,__text) external _PPParserAttachString
00007ffa17998754 (__TEXT,__text) external _PPParserBuildErrorString
00007ffa1798f67a (__TEXT,__text) external _PPParserCreate
00007ffa179901ad (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffa17997207 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffa1798f847 (__TEXT,__text) external _PPParserFree
00007ffa1798fed6 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffa179995ed (__TEXT,__text) external _PPParserGetErrorString
00007ffa17999604 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffa179901ec (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffa179995a2 (__TEXT,__text) external _PPParserGetLimits
00007ffa179995e0 (__TEXT,__text) external _PPParserGetOptions
00007ffa1798ff8a (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffa17990289 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffa179995fa (__TEXT,__text) external _PPParserGetStream
00007ffa1798e772 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffa1798e79c (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffa1798e854 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffa1798e7e4 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffa1799885a (__TEXT,__text) non-external _PPParserInherit
00007ffa1798f6f0 (__TEXT,__text) external _PPParserInit
00007ffa179996e2 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffa1798f8be (__TEXT,__text) non-external _PPParserLabelsFree
00007ffa1798e3f0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffa1798e40f (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffa1798e574 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffa1798e63a (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffa1798e503 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffa1798e4d3 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffa1798e5d3 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffa1799968c (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffa179975ef (__TEXT,__text) external _PPParserParse
00007ffa17990f9c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffa17995159 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffa17996460 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffa17997052 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffa17990a49 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffa17993902 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffa17994405 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffa1799094d (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffa179952c7 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffa17990b00 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffa17995630 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffa17994cb4 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffa17999514 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffa17990d03 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffa17994ff6 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffa17996d68 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffa17996508 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffa179989b0 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffa1799039f (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffa17994548 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffa17994b84 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffa1799186e (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffa17993778 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffa17990be6 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffa17994e30 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffa179959ff (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffa17998a6d (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffa17995eac (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffa17995d57 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffa17991674 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffa17996154 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffa179988d4 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffa1798eabd (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffa1798f73b (__TEXT,__text) non-external (was a private external) _PPParserRemoveScope
00007ffa1798ff33 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffa17990149 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffa1798f504 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffa1798e878 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffa1798f462 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffa1798f607 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffa1798f640 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffa1798f54f (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffa1798f58c (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveIdentifier
00007ffa1798f5c9 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveMacro
00007ffa179995af (__TEXT,__text) external _PPParserSetLimits
00007ffa17999595 (__TEXT,__text) external _PPParserSetPrefs
00007ffa1798f6f6 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffa179910f4 (__TEXT,__text) non-external _PPParserValidateName
00007ffa17ac1f63 (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffa17ac209c (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffa17ac25a7 (__TEXT,__text) external _PPStreamAddConstant
00007ffa17ac24d1 (__TEXT,__text) external _PPStreamAddLabel
00007ffa17ac21d7 (__TEXT,__text) external _PPStreamAddOperation
00007ffa17ac269c (__TEXT,__text) external _PPStreamAddOption
00007ffa17ac2105 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffa17ac1fca (__TEXT,__text) external _PPStreamAddParamBinding
00007ffa17ac2033 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffa17ac2633 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffa17ac1d00 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffa17ac1d69 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffa17ac1e91 (__TEXT,__text) external _PPStreamAddTempUsage
00007ffa17ac1efa (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffa17ac216e (__TEXT,__text) external _PPStreamAddTexImage
00007ffa17ac325e (__TEXT,__text) external _PPStreamAttachStream
00007ffa17ac1455 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffa17ac3a7f (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffa17ac1540 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffa17ac1e73 (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffa17ac1477 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffa17ac174c (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffa17ac1a27 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffa17ac1ab8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffa17ac1604 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffa17ac1623 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffa17ac1781 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffa17ac1b0f (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffa17ac1935 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffa17ac181a (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffa17ac17ba (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffa17ac186b (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffa17ac18ad (__TEXT,__text) external _PPStreamChunkListSort
00007ffa17ac3927 (__TEXT,__text) external _PPStreamCompare
00007ffa17ac1c14 (__TEXT,__text) external _PPStreamCreate
00007ffa17ac1dd2 (__TEXT,__text) external _PPStreamFree
00007ffa17ac2702 (__TEXT,__text) external _PPStreamGetStream
00007ffa17ac323c (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffa17ac23d3 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffa17ac22b5 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffa17ac1466 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffa17ac3b22 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffa17ac1444 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffa17ac2565 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffa17ac41bc (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffa17ac40a0 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffa1799ad3d (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffa1799b9e8 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffa17ac3118 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffa17ac2a73 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffa1799bb93 (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffa1799bb12 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffa17ac321d (__TEXT,__text) external _PPStreamTokenAlloc
00007ffa1799bf10 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffa1799c356 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffa1799c116 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffa1799c2a0 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffa17ac3232 (__TEXT,__text) external _PPStreamTokenFree
00007ffa1799ad11 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffa1799acc0 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffa17af6df0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffa17af6eb0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffa17af6f80 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffa41d30130 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffa1799c449 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffa41d305e0 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffa17af8a50 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffa17af8a60 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffa17af8aa0 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffa17af8a70 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffa17accda1 (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffa17accd14 (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffa17a7d733 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffa17a7d0e7 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffa17ad6052 (__TEXT,__text) non-external _RecordFunctionCall
00007ffa17a7cfb6 (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffa17acb8df (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffa17acb86f (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffa17ac9e43 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffa17ac9dde (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffa17acc4a1 (__TEXT,__text) non-external (was a private external) _Registerify
00007ffa17acb4a4 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffa17acc651 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffa17acc454 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffa17ac9b44 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffa17ac9eab (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffa17ac9f26 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffa17ad210b (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffa17999658 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffa17999752 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00007ffa17a7d0cd (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffa17a7c12a (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffa17a7c2c0 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffa17a7afac (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffa17a7c441 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffa17a60f5f (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffa17a6e9d2 (__TEXT,__text) external _ShAttributeBindingRequest
00007ffa17a6e93d (__TEXT,__text) external _ShCleanup
00007ffa17a6e384 (__TEXT,__text) external _ShCompile
00007ffa17a6dfbf (__TEXT,__text) external _ShConstructCompiler
00007ffa17a6e044 (__TEXT,__text) external _ShConstructLinker
00007ffa17a6e105 (__TEXT,__text) external _ShDestruct
00007ffa17a6e379 (__TEXT,__text) external _ShFinalize
00007ffa17a6f9a6 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffa17a6f18e (__TEXT,__text) external _ShGetActiveAttrib
00007ffa17a6ee8a (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffa17a6ee75 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffa17a6ee46 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffa17a70b1c (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffa17a7107d (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffa17a70fcd (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffa17a70ea8 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffa17a70947 (__TEXT,__text) external _ShGetActiveUniform
00007ffa17a701b7 (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffa17a6fe70 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffa17a70413 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffa17a7061c (__TEXT,__text) external _ShGetActiveUniformName
00007ffa17a6f2e9 (__TEXT,__text) external _ShGetAttribLocation
00007ffa17a6f081 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffa17a710f2 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffa17a71107 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00007ffa17a6f374 (__TEXT,__text) external _ShGetContextStateUniforms
00007ffa17a6fb0b (__TEXT,__text) external _ShGetFragDataLocation
00007ffa17a6e952 (__TEXT,__text) external _ShGetInfoLog
00007ffa17a7111b (__TEXT,__text) external _ShGetInteger
00007ffa17a6f5fc (__TEXT,__text) external _ShGetLinkerPPStream
