00007ffa4291b0f0 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa14b771ce (__TEXT,__text) external __newrpclib_svcfd_create
00007ffa14b75ddc (__TEXT,__text) external __newrpclib_svcraw_create
00007ffa14b76a35 (__TEXT,__text) external __newrpclib_svctcp_create
00007ffa14b81270 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.1
00007ffa14b8131e (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.2
00007ffa14b813b9 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.3
00007ffa14b81467 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.4
00007ffa14b81515 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.5
00007ffa14b815b0 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.6
00007ffa14b8164b (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.7
00007ffa14b77cef (__TEXT,__text) external __newrpclib_svcudp_bufcreate
00007ffa14b8281d (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.1
00007ffa14b828cb (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.2
00007ffa14b82979 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.3
00007ffa14b82a27 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.4
00007ffa14b82ad5 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.5
00007ffa14b82b83 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.6
00007ffa14b78034 (__TEXT,__text) external __newrpclib_svcudp_create
00007ffa14b7cb21 (__TEXT,__text) external __newrpclib_uaddr2sa
00007ffa14b7a1a2 (__TEXT,__text) external __newrpclib_xdr_array
00007ffa14b83c4a (__TEXT,__text) non-external __newrpclib_xdr_array.cold.1
00007ffa14b7060c (__TEXT,__text) external __newrpclib_xdr_authunix_parms
00007ffa14b7ba04 (__TEXT,__text) external __newrpclib_xdr_bool
00007ffa14b7bb20 (__TEXT,__text) external __newrpclib_xdr_bytes
00007ffa14b83fb0 (__TEXT,__text) non-external __newrpclib_xdr_bytes.cold.1
00007ffa14b75882 (__TEXT,__text) external __newrpclib_xdr_callhdr
00007ffa14b7516a (__TEXT,__text) external __newrpclib_xdr_callmsg
00007ffa14b7b9a4 (__TEXT,__text) external __newrpclib_xdr_char
00007ffa14b7580d (__TEXT,__text) external __newrpclib_xdr_des_block
00007ffa14b7a370 (__TEXT,__text) external __newrpclib_xdr_double
00007ffa14b7ba71 (__TEXT,__text) external __newrpclib_xdr_enum
00007ffa14b7a31d (__TEXT,__text) external __newrpclib_xdr_float
00007ffa14b7b5f4 (__TEXT,__text) external __newrpclib_xdr_free
00007ffa14b7c06e (__TEXT,__text) external __newrpclib_xdr_getrecord
00007ffa14b7c046 (__TEXT,__text) external __newrpclib_xdr_hyper
00007ffa14b7b62a (__TEXT,__text) external __newrpclib_xdr_int
00007ffa14b7b8dc (__TEXT,__text) external __newrpclib_xdr_int16_t
00007ffa14b7b752 (__TEXT,__text) external __newrpclib_xdr_int32_t
00007ffa14b7bea4 (__TEXT,__text) external __newrpclib_xdr_int64_t
00007ffa14b7b6ec (__TEXT,__text) external __newrpclib_xdr_long
00007ffa14b7c05a (__TEXT,__text) external __newrpclib_xdr_longlong_t
00007ffa14b7e9c6 (__TEXT,__text) external __newrpclib_xdr_netbuf
00007ffa14b7bcf6 (__TEXT,__text) external __newrpclib_xdr_netobj
00007ffa14b7ba7b (__TEXT,__text) external __newrpclib_xdr_opaque
00007ffa4291b100 (__DATA,__bss) non-external __newrpclib_xdr_opaque.crud
00007ffa14b757d4 (__TEXT,__text) external __newrpclib_xdr_opaque_auth
00007ffa14b7d322 (__TEXT,__text) external __newrpclib_xdr_pmap
00007ffa14b7d4ed (__TEXT,__text) external __newrpclib_xdr_pmap_call_args
00007ffa14b7d558 (__TEXT,__text) external __newrpclib_xdr_pmap_call_result
00007ffa14b7d3a0 (__TEXT,__text) external __newrpclib_xdr_pmaplist
00007ffa14b7d380 (__TEXT,__text) external __newrpclib_xdr_pmaplist_ptr
00007ffa14b7b29a (__TEXT,__text) external __newrpclib_xdr_pointer
00007ffa14b7b1e5 (__TEXT,__text) external __newrpclib_xdr_reference
00007ffa14b83f02 (__TEXT,__text) non-external __newrpclib_xdr_reference.cold.1
00007ffa14b7581c (__TEXT,__text) external __newrpclib_xdr_replymsg
00007ffa14b74298 (__TEXT,__text) external __newrpclib_xdr_rmtcall_args
00007ffa14b74376 (__TEXT,__text) external __newrpclib_xdr_rmtcallres
00007ffa14b7df73 (__TEXT,__text) external __newrpclib_xdr_rp__list
00007ffa14b7def6 (__TEXT,__text) external __newrpclib_xdr_rpcb
00007ffa14b7e190 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry
00007ffa14b7e212 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list
00007ffa14b7e35f (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list_ptr
00007ffa14b7e0e0 (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallargs
00007ffa14b7e14b (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallres
00007ffa14b7e906 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat
00007ffa14b7e9a1 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat_byvers
00007ffa14b7e0c0 (__TEXT,__text) external __newrpclib_xdr_rpcblist_ptr
00007ffa14b7e37f (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist
00007ffa14b7e8c6 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist_ptr
00007ffa14b7e8a1 (__TEXT,__text) external __newrpclib_xdr_rpcbs_proc
00007ffa14b7e5d9 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist
00007ffa14b7e8e6 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist_ptr
00007ffa14b7b814 (__TEXT,__text) external __newrpclib_xdr_short
00007ffa14b7b303 (__TEXT,__text) external __newrpclib_xdr_sizeof
00007ffa14b7bd93 (__TEXT,__text) external __newrpclib_xdr_string
00007ffa14b8410c (__TEXT,__text) non-external __newrpclib_xdr_string.cold.1
00007ffa14b7b9d4 (__TEXT,__text) external __newrpclib_xdr_u_char
00007ffa14b7c050 (__TEXT,__text) external __newrpclib_xdr_u_hyper
00007ffa14b7b68b (__TEXT,__text) external __newrpclib_xdr_u_int
00007ffa14b7b71f (__TEXT,__text) external __newrpclib_xdr_u_long
00007ffa14b7c064 (__TEXT,__text) external __newrpclib_xdr_u_longlong_t
00007ffa14b7b878 (__TEXT,__text) external __newrpclib_xdr_u_short
00007ffa14b7b940 (__TEXT,__text) external __newrpclib_xdr_uint16_t
00007ffa14b7b7b3 (__TEXT,__text) external __newrpclib_xdr_uint32_t
00007ffa14b7bf75 (__TEXT,__text) external __newrpclib_xdr_uint64_t
00007ffa14b7bd0c (__TEXT,__text) external __newrpclib_xdr_union
00007ffa14b7a2cb (__TEXT,__text) external __newrpclib_xdr_vector
00007ffa14b7b61f (__TEXT,__text) external __newrpclib_xdr_void
00007ffa14b7be95 (__TEXT,__text) external __newrpclib_xdr_wrapstring
00007ffa14b7a406 (__TEXT,__text) external __newrpclib_xdrmem_create
00007ffa14b7a972 (__TEXT,__text) external __newrpclib_xdrrec_create
00007ffa14b83cf8 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.1
00007ffa14b83da6 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.2
00007ffa14b83e54 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.3
00007ffa14b7aefa (__TEXT,__text) external __newrpclib_xdrrec_endofrecord
00007ffa14b7ae9e (__TEXT,__text) external __newrpclib_xdrrec_eof
00007ffa14b7ac55 (__TEXT,__text) external __newrpclib_xdrrec_skiprecord
00007ffa14b7b4a5 (__TEXT,__text) external __newrpclib_xdrstdio_create
00007ffa14b78b3f (__TEXT,__text) external __newrpclib_xprt_register
00007ffa14b78d88 (__TEXT,__text) external __newrpclib_xprt_unregister
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
00007ffa14b75dac (__TEXT,__text) non-external (was a private external) __svcauth_null
00007ffa14b75c4e (__TEXT,__text) non-external (was a private external) __svcauth_short
00007ffa14b75aad (__TEXT,__text) non-external (was a private external) __svcauth_unix
                 (undefined) external _abort (from libSystem)
                 (undefined) external _accept (from libSystem)
00007ffa14b762a6 (__TEXT,__text) non-external (was a private external) _add_working_xprt
00007ffa14b80c41 (__TEXT,__text) non-external _add_working_xprt.cold.1
00007ffa14b80cca (__TEXT,__text) non-external _add_working_xprt.cold.2
                 (undefined) external _asprintf (from libSystem)
00007ffa40c3b000 (__DATA_CONST,__const) non-external _auth_errlist
00007ffa4291ab58 (__DATA,__data) non-external _auth_unix_ops
00007ffa14b6ff08 (__TEXT,__text) non-external _authnone_destroy
00007ffa14b6fdf7 (__TEXT,__text) non-external _authnone_init
00007ffa14b6fec9 (__TEXT,__text) non-external _authnone_marshal
00007ffa4291ab20 (__DATA,__data) non-external _authnone_once_init
00007ffa4291b0a8 (__DATA,__bss) non-external _authnone_private
00007ffa14b6ff00 (__TEXT,__text) non-external _authnone_refresh
00007ffa14b6fef5 (__TEXT,__text) non-external _authnone_validate
00007ffa14b6fec3 (__TEXT,__text) non-external _authnone_verf
00007ffa14b705c4 (__TEXT,__text) non-external _authunix_destroy
00007ffa14b703cf (__TEXT,__text) non-external _authunix_marshal
00007ffa14b703c9 (__TEXT,__text) non-external _authunix_nextverf
00007ffa14b704a2 (__TEXT,__text) non-external _authunix_refresh
00007ffa14b703f2 (__TEXT,__text) non-external _authunix_validate
00007ffa4291ac58 (__DATA,__data) non-external _bcast
                 (undefined) external _bcmp (from libSystem)
                 (undefined) external _bind (from libSystem)
                 (undefined) external _bindresvport_sa (from libSystem)
00007ffa4291b0b8 (__DATA,__bss) non-external _buf
00007ffa14b71d95 (__TEXT,__text) non-external _bufdestroy
00007ffa14b74724 (__TEXT,__text) non-external _build_callit_rpc
00007ffa4291afe0 (__DATA,__data) non-external _cache_control_init
00007ffa14b7d10d (__TEXT,__text) non-external _cache_init
00007ffa14b84268 (__TEXT,__text) non-external _cache_init.cold.1
00007ffa4291b140 (__DATA,__bss) non-external _cache_rwlock
                 (undefined) external _calloc (from libSystem)
00007ffa4291b0a0 (__DATA,__bss) non-external _callrpc_private
00007ffa14b72c45 (__TEXT,__text) non-external _check_raddr
                 (undefined) external _chmod (from libSystem)
00007ffa4291aba8 (__DATA,__data) non-external _client_ops
00007ffa14b70952 (__TEXT,__text) external _clnt_auth_set
00007ffa4291ab98 (__DATA,__data) non-external _clnt_perror_once
00007ffa14b71796 (__TEXT,__text) non-external _clnt_sperror_r
00007ffa14b720b4 (__TEXT,__text) non-external _clntraw_abort
00007ffa14b71ec9 (__TEXT,__text) non-external _clntraw_call
00007ffa14b720f1 (__TEXT,__text) non-external _clntraw_control
00007ffa14b720eb (__TEXT,__text) non-external _clntraw_destroy
00007ffa14b720c0 (__TEXT,__text) non-external _clntraw_freeres
00007ffa14b720ba (__TEXT,__text) non-external _clntraw_geterr
00007ffa4291b0c0 (__DATA,__bss) non-external _clntraw_private
00007ffa14b73263 (__TEXT,__text) non-external _clntstrm_abort
00007ffa14b72f2b (__TEXT,__text) non-external _clntstrm_call
00007ffa14b732fb (__TEXT,__text) non-external _clntstrm_control
00007ffa14b720f9 (__TEXT,__text) external _clntstrm_create_timeout
00007ffa14b801cf (__TEXT,__text) non-external _clntstrm_create_timeout.cold.1
00007ffa14b8026a (__TEXT,__text) non-external _clntstrm_create_timeout.cold.2
00007ffa14b80302 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.3
00007ffa14b803a0 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.4
00007ffa14b80438 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.5
00007ffa14b804d3 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.6
00007ffa14b80581 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.7
00007ffa14b732a8 (__TEXT,__text) non-external _clntstrm_destroy
00007ffa14b73286 (__TEXT,__text) non-external _clntstrm_freeres
00007ffa14b73269 (__TEXT,__text) non-external _clntstrm_geterr
00007ffa14b72c76 (__TEXT,__text) external _clntticots_create
00007ffa14b806b0 (__TEXT,__text) non-external _clntticots_create.cold.1
00007ffa14b72f21 (__TEXT,__text) external _clntticots_create_timeout
00007ffa14b72bc5 (__TEXT,__text) external _clntticotsord_create
00007ffa14b80615 (__TEXT,__text) non-external _clntticotsord_create.cold.1
00007ffa14b72e9c (__TEXT,__text) external _clntticotsord_create_timeout
00007ffa14b8091c (__TEXT,__text) non-external _clntticotsord_create_timeout.cold.1
00007ffa14b73d43 (__TEXT,__text) non-external _clntudp_abort
00007ffa14b7385d (__TEXT,__text) non-external _clntudp_call
00007ffa14b73dd2 (__TEXT,__text) non-external _clntudp_control
00007ffa14b73d88 (__TEXT,__text) non-external _clntudp_destroy
00007ffa14b73d66 (__TEXT,__text) non-external _clntudp_freeres
00007ffa14b73d49 (__TEXT,__text) non-external _clntudp_geterr
                 (undefined) external _close (from libSystem)
00007ffa14b7d1e6 (__TEXT,__text) non-external _compare_sa
00007ffa14b846f0 (__TEXT,__const) non-external _compare_sa.allones
00007ffa4291b210 (__DATA,__common) non-external (was a private external) _conncount
                 (undefined) external _connect (from libSystem)
00007ffa4291afc8 (__DATA,__data) non-external _create_key_init
00007ffa14b79220 (__TEXT,__text) non-external _create_svc_req_key
00007ffa14b7c128 (__TEXT,__text) non-external (was a private external) _cvt4to6
00007ffa14b7c0d8 (__TEXT,__text) non-external (was a private external) _cvt6to4
00007ffa14b846c0 (__TEXT,__const) non-external _default_tottimeout
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ffa14b7b18a (__TEXT,__text) non-external _fill_input_buf
00007ffa14b7af53 (__TEXT,__text) non-external _flush_out
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffa14b71595 (__TEXT,__text) non-external _free_interface_list
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freehostent (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
00007ffa14b7cf15 (__TEXT,__text) external _freenetconfigent
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ffa14b7b070 (__TEXT,__text) non-external _get_input_bytes
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getgroups (from libSystem)
00007ffa14b7c15f (__TEXT,__text) non-external (was a private external) _gethostaddr
                 (undefined) external _gethostbyname (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getipnodebyname (from libSystem)
00007ffa14b7cf4c (__TEXT,__text) external _getnetconfigent
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid_r (from libSystem)
00007ffa14b7ecc4 (__TEXT,__text) non-external _getrpcbind_handle
                 (undefined) external _getsockname (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
00007ffa14b7f053 (__TEXT,__text) non-external _handle_callerror
00007ffa14b7b49d (__TEXT,__text) non-external _harmless
00007ffa4291b110 (__DATA,__bss) non-external _if_addr_cache
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _in6addr_loopback (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _inet_pton (from libSystem)
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _kevent64 (from libSystem)
00007ffa4291aee0 (__DATA,__data) non-external (was a private external) _kq
00007ffa4291aef8 (__DATA,__data) non-external _kq_control_fd
                 (undefined) external _kqueue (from libSystem)
                 (undefined) external _listen (from libSystem)
                 (undefined) external _lseek (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
