0000000242d696e4 (__TEXT,__text) external _LLVMExtraCreateBinary
0000000242d579ac (__TEXT,__text) external _MTLGPUArchiverCompressAll
0000000242d57794 (__TEXT,__text) external _MTLGPUArchiverCompressDescriptors
0000000242d5757c (__TEXT,__text) external _MTLGPUArchiverCompressModules
0000000242d57ab8 (__TEXT,__text) external _MTLGPUArchiverCompressNone
0000000242d578a0 (__TEXT,__text) external _MTLGPUArchiverCompressReflections
0000000242d57688 (__TEXT,__text) external _MTLGPUArchiverCompressSources
0000000242d55e88 (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriter
0000000242d56278 (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriterWithId
0000000242d55fd8 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriter
0000000242d563c8 (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriterWithId
0000000242d55d38 (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriter
0000000242d56128 (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriterWithId
0000000242d56518 (__TEXT,__text) external _MTLGPUArchiverDeleteWithId
0000000242d56640 (__TEXT,__text) external _MTLGPUArchiverDestroy
0000000242d582a0 (__TEXT,__text) external _MTLGPUArchiverDumpStateToBuffer
0000000242d583b4 (__TEXT,__text) external _MTLGPUArchiverDumpStateToFD
0000000242d58194 (__TEXT,__text) external _MTLGPUArchiverFlush
0000000242d58580 (__TEXT,__text) external _MTLGPUArchiverFromId
0000000242d57bc4 (__TEXT,__text) external _MTLGPUArchiverKeepPackingSymbols
0000000242d57e28 (__TEXT,__text) external _MTLGPUArchiverPackUnits
0000000242d57468 (__TEXT,__text) external _MTLGPUArchiverSetActivePlatform
0000000242d571f8 (__TEXT,__text) external _MTLGPUArchiverSetInstallName
0000000242d57330 (__TEXT,__text) external _MTLGPUArchiverSetTarget
0000000242d570b8 (__TEXT,__text) external _MTLGPUArchiverSetUnitHash
0000000242d56e50 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflection
0000000242d56f84 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflectionWithReference
0000000242d58500 (__TEXT,__text) external _MTLGPUArchiverToId
0000000242d55c60 (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithMemoryBuffer
0000000242d55bf0 (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithUnitId
0000000242d55cd4 (__TEXT,__text) external _MTLGPUArchiverUnitRefDestroy
0000000242d5c978 (__TEXT,__text) external _MTLGPUCompilerBuildFromSource
0000000242d5d02c (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToBuffer
0000000242d5d6c8 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToFD
0000000242d5a35c (__TEXT,__text) external _MTLGPUCompilerCompileFromSource
0000000242d5a9e8 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToBuffer
0000000242d5afc8 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToFD
0000000242d59324 (__TEXT,__text) external _MTLGPUCompilerCreate
0000000242d59440 (__TEXT,__text) external _MTLGPUCompilerDestroy
0000000242d61ec4 (__TEXT,__text) external _MTLGPUCompilerDisableMeshEmulation
0000000242d61ae0 (__TEXT,__text) external _MTLGPUCompilerEnable16BitTextureCoordinateEmulation
0000000242d61b3c (__TEXT,__text) external _MTLGPUCompilerEnableBFloatEmulation
0000000242d61b98 (__TEXT,__text) external _MTLGPUCompilerEnableDegenerateVertexAmplificationEmulation
0000000242d61bf4 (__TEXT,__text) external _MTLGPUCompilerEnableDoubleEmulation
0000000242d61c50 (__TEXT,__text) external _MTLGPUCompilerEnableExternallyInitializedVariableSupport
0000000242d61cac (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBindingInDylibSupport
0000000242d61ce8 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBuiltinInDylibSupport
0000000242d61e1c (__TEXT,__text) external _MTLGPUCompilerEnableMeshFragmentEmulation
0000000242d61d24 (__TEXT,__text) external _MTLGPUCompilerEnableMeshKernelEmulation
0000000242d61da0 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVertexEmulation
0000000242d61e70 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVisibleOrDylibEmulation
0000000242d62088 (__TEXT,__text) external _MTLGPUCompilerEnableRaytracingEmulation
0000000242d62194 (__TEXT,__text) external _MTLGPUCompilerEnableResourcePatchingInstrumentation
0000000242d621f0 (__TEXT,__text) external _MTLGPUCompilerEnableResourceUsageInstrumentation
0000000242d6224c (__TEXT,__text) external _MTLGPUCompilerEnableTLSEmulation
0000000242d62310 (__TEXT,__text) external _MTLGPUCompilerHandleSPIs
0000000242d5b770 (__TEXT,__text) external _MTLGPUCompilerLink
0000000242d5bd14 (__TEXT,__text) external _MTLGPUCompilerLinkToBuffer
0000000242d5c2a4 (__TEXT,__text) external _MTLGPUCompilerLinkToFD
0000000242d609f0 (__TEXT,__text) external _MTLGPUCompilerLoadModules
0000000242d60b74 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToBuffer
0000000242d60cf8 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToFD
0000000242d62858 (__TEXT,__text) external _MTLGPUCompilerLowerModule
0000000242d629c0 (__TEXT,__text) external _MTLGPUCompilerLowerModuleToBuffer
0000000242d61220 (__TEXT,__text) external _MTLGPUCompilerSetFunctionGroups
0000000242d60928 (__TEXT,__text) external _MTLGPUCompilerSetLoaderScript
0000000242d60998 (__TEXT,__text) external _MTLGPUCompilerSetLoadingMode
0000000242d6243c (__TEXT,__text) external _MTLGPUCompilerSetLoweringRuntimes
0000000242d61f30 (__TEXT,__text) external _MTLGPUCompilerSetMeshEmulationUsedFragmentInputs
0000000242d5a2f0 (__TEXT,__text) external _MTLGPUCompilerSetNativeArch
0000000242d620e4 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationIndirectAccelerationStructures
0000000242d62140 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationMaxAccelerationStructureTraversalDepth
0000000242d622a8 (__TEXT,__text) external _MTLGPUCompilerSetRequiredThreadsPerThreadgroup
0000000242d61288 (__TEXT,__text) external _MTLGPUCompilerSetStitcherScript
0000000242d5a13c (__TEXT,__text) external _MTLGPUCompilerSetTargetArch
0000000242d59fa4 (__TEXT,__text) external _MTLGPUCompilerSetTargetTriple
0000000242d5f280 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibrary
0000000242d5f808 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToBuffer
0000000242d5fd8c (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToFD
0000000242d5dea8 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunction
0000000242d5e4dc (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToBuffer
0000000242d5eb08 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToFD
0000000242d61308 (__TEXT,__text) external _MTLGPUCompilerStitchFunctions
0000000242d615a4 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToBuffer
0000000242d61838 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToFD
0000000242d6c264 (__TEXT,__text) external _MTLMakeSharedMetalModule
0000000242d6d37c (__TEXT,__text) external _MTLMetalDynamicLibraryGetInstallName
0000000242d6c614 (__TEXT,__text) external _MTLMetalFunctionCreate
0000000242d6c3b0 (__TEXT,__text) external _MTLMetalFunctionCreateWithModule
0000000242d6c860 (__TEXT,__text) external _MTLMetalFunctionDestroy
0000000242d6cb34 (__TEXT,__text) external _MTLMetalFunctionGetAIRVersion
0000000242d6cc24 (__TEXT,__text) external _MTLMetalFunctionGetAlias
0000000242d6c924 (__TEXT,__text) external _MTLMetalFunctionGetKind
0000000242d6ca30 (__TEXT,__text) external _MTLMetalFunctionGetLLVMModule
0000000242d6c9d4 (__TEXT,__text) external _MTLMetalFunctionGetMetalModule
0000000242d6cbac (__TEXT,__text) external _MTLMetalFunctionGetMetalVersion
0000000242d6cadc (__TEXT,__text) external _MTLMetalFunctionGetModule
0000000242d6c8d4 (__TEXT,__text) external _MTLMetalFunctionGetName
0000000242d6d32c (__TEXT,__text) external _MTLMetalImportedSymbolGetName
0000000242d6b13c (__TEXT,__text) external _MTLMetalLibCreateCoreImage
0000000242d6b0dc (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTriple
0000000242d6b004 (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTripleAndInstallName
0000000242d6b294 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibrary
0000000242d6b1bc (__TEXT,__text) external _MTLMetalLibCreateDynamicLibraryWithTriple
0000000242d6af84 (__TEXT,__text) external _MTLMetalLibCreateExecutable
0000000242d6af24 (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTriple
0000000242d6ae4c (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTripleAndInstallName
0000000242d6b2f4 (__TEXT,__text) external _MTLMetalLibDestroy
0000000242d6e784 (__TEXT,__text) external _MTLMetalLibGetAsObject
0000000242d6bdb0 (__TEXT,__text) external _MTLMetalLibGetDynamicLibrariesCount
0000000242d6be08 (__TEXT,__text) external _MTLMetalLibGetDynamicLibraryNo
0000000242d6b3b4 (__TEXT,__text) external _MTLMetalLibGetFunctionNo
0000000242d6b35c (__TEXT,__text) external _MTLMetalLibGetFunctionsCount
0000000242d6bcfc (__TEXT,__text) external _MTLMetalLibGetImportedSymbolNo
0000000242d6bca4 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolsCount
0000000242d6bd54 (__TEXT,__text) external _MTLMetalLibGetInstallName
0000000242d6bf10 (__TEXT,__text) external _MTLMetalLibGetLLVMModuleNo
0000000242d6beb8 (__TEXT,__text) external _MTLMetalLibGetMetalModuleNo
0000000242d6bfb0 (__TEXT,__text) external _MTLMetalLibGetModuleNo
0000000242d6be60 (__TEXT,__text) external _MTLMetalLibGetModulesCount
0000000242d6c068 (__TEXT,__text) external _MTLMetalLibGetSourceNo
0000000242d6c010 (__TEXT,__text) external _MTLMetalLibGetSourcesCount
0000000242d6bc4c (__TEXT,__text) external _MTLMetalLibGetVariableNo
0000000242d6bbf4 (__TEXT,__text) external _MTLMetalLibGetVariablesCount
0000000242d6b40c (__TEXT,__text) external _MTLMetalLibInsertFunction
0000000242d708ec (__TEXT,__text) external _MTLMetalLibInsertVariable
0000000242d6c0c4 (__TEXT,__text) external _MTLMetalModuleCreatePersistentWithModule
0000000242d6c1fc (__TEXT,__text) external _MTLMetalModuleDestroy
0000000242d6d64c (__TEXT,__text) external _MTLMetalSourceExtractToSubDirectory
0000000242d6d594 (__TEXT,__text) external _MTLMetalSourceGetCommandLine
0000000242d6d538 (__TEXT,__text) external _MTLMetalSourceGetObjectFileName
0000000242d6d5f0 (__TEXT,__text) external _MTLMetalSourceGetWorkingDir
0000000242d6cd98 (__TEXT,__text) external _MTLMetalVariableCreate
0000000242d6cc74 (__TEXT,__text) external _MTLMetalVariableCreateWithModule
0000000242d6cfd4 (__TEXT,__text) external _MTLMetalVariableDestroy
0000000242d6d1ec (__TEXT,__text) external _MTLMetalVariableGetAIRVersion
0000000242d6d2dc (__TEXT,__text) external _MTLMetalVariableGetAlias
0000000242d6d0e8 (__TEXT,__text) external _MTLMetalVariableGetLLVMModule
0000000242d6d08c (__TEXT,__text) external _MTLMetalVariableGetMetalModule
0000000242d6d264 (__TEXT,__text) external _MTLMetalVariableGetMetalVersion
0000000242d6d194 (__TEXT,__text) external _MTLMetalVariableGetModule
0000000242d6d03c (__TEXT,__text) external _MTLMetalVariableGetName
0000000242d6e6e4 (__TEXT,__text) external _MTLModuleGetAsObject
0000000242d6e3e4 (__TEXT,__text) external _MTLObjectCreate
0000000242d6e5e4 (__TEXT,__text) external _MTLObjectDestroy
0000000242d6e830 (__TEXT,__text) external _MTLObjectGetAsArchive
0000000242d6e8a4 (__TEXT,__text) external _MTLObjectGetAsMetalLib
0000000242d6e7d4 (__TEXT,__text) external _MTLObjectGetAsModule
0000000242d58918 (__TEXT,__text) external _MTLUpgradeAIRModule
0000000242d58df0 (__TEXT,__text) external _MTLVerifyAIRModule
0000000242d58ee8 (__TEXT,__text) external _MTLWriteAIRBitcodeToMemoryBuffer
0000000242d59120 (__TEXT,__text) external _MTLWriteAIRReflectionToMemoryBuffer
0000000242d6d3cc (__TEXT,__text) external _MTLWriteMetalLibToMemoryBuffer
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary25findInExplicitLoadedImageEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary26findInImplicitLoadedImagesEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryC1EPKvPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm10TimerGroupD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoInfsEb (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoNaNsEb (from libLLVM)
                 (undefined) external __ZN4llvm11LLVMContextD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11NamedMDNode10setOperandEjPNS_6MDNodeE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream16SetBufferAndModeEPcmNS0_10BufferKindE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEPKcm (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEh (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamD2Ev (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEPKv (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEl (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEm (from libLLVM)
                 (undefined) external __ZN4llvm12MemoryBuffer16getMemBufferCopyENS_9StringRefERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm13ErrorInfoBase2IDE (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl11RehashTableEj (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl15LookupBucketForENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamC1EibbNS_11raw_ostream11OStreamKindE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm15MemoryBufferRefC1ERKNS_12MemoryBufferE (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIjE13mallocForGrowEmmRm (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIyE8grow_podEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm15allocate_bufferEmm (from libLLVM)
                 (undefined) external __ZN4llvm15setBugReportMsgEPKc (from libLLVM)
                 (undefined) external __ZN4llvm16IRChangedPrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm17TimePassesHandler5printEv (from libLLVM)
                 (undefined) external __ZN4llvm17deallocate_bufferEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm18report_fatal_errorERKNS_5TwineEb (from libLLVM)
                 (undefined) external __ZN4llvm19InLineChangePrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20CrashRecoveryContext9RunSafelyENS_12function_refIFvvEEE (from libLLVM)
                 (undefined) external __ZN4llvm20CrashRecoveryContextC1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20CrashRecoveryContextD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20DotCfgChangeReporterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm22EnablePrettyStackTraceEv (from libLLVM)
                 (undefined) external __ZN4llvm22PrintIRInstrumentationD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm3air10APITrackerC2EPKcSt16initializer_listINSt3__18functionIFvRNS_11raw_ostreamEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10APITrackerD2Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10Reflection6createERKNS_6ModuleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10ScriptFile6createENS_15MemoryBufferRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air11MetalModuleC1ENSt3__110shared_ptrINS_6ModuleEEENS1_19MaterializationKindERNS_5ErrorE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air15verifyAIRModuleERKNS_6ModuleENS0_17VerificationLevelE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16MetalDefinedSymbC2ENSt3__110shared_ptrINS0_11MetalModuleEEENS_9StringRefES6_NS1_10SymbolFlagENS3_INS0_11MetalSourceEEENS_8ArrayRefIS9_EENSA_IhEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16upgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air18downgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriter5writeEv (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriterC1ENSt3__110unique_ptrINS0_8MetalLibENS2_14default_deleteIS4_EEEERNS_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air21WriteAIRBitcodeToFileEPKNS_6ModuleERNS_11raw_ostreamENS0_14BitcodeVersionEb (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air28NormalizeModuleForAIRBitcodeEPNS_6ModuleENS0_14BitcodeVersionE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air7Archive9addMemberENS_9StringRefENSt3__110unique_ptrINS_6ModuleENS3_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3sys2fs16createUniqueFileERKNS_5TwineERiRNS_15SmallVectorImplIcEENS1_9OpenFlagsEj (from libLLVM)
                 (undefined) external __ZN4llvm3sys2fs18create_directoriesERKNS_5TwineEbNS1_5permsE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path14home_directoryERNS_15SmallVectorImplIcEE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path6appendERNS_15SmallVectorImplIcEERKNS_5TwineES7_S7_S7_ (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path8filenameENS_9StringRefENS1_5StyleE (from libLLVM)
                 (undefined) external __ZN4llvm5MachO19getArchitectureNameENS0_12ArchitectureE (from libLLVM)
                 (undefined) external __ZN4llvm5MachO26getArchitectureFromCpuTypeEjj (from libLLVM)
                 (undefined) external __ZN4llvm5MachOlsERNS_11raw_ostreamENS0_12ArchitectureE (from libLLVM)
                 (undefined) external __ZN4llvm5TimerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6ModuleD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6SHA256D1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6TripleC1ERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm6legacy11PassManagerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6object12createBinaryENS_15MemoryBufferRefEPNS_11LLVMContextEb (from libLLVM)
                 (undefined) external __ZN4llvm7MDTuple7getImplERNS_11LLVMContextENS_8ArrayRefIPNS_8MetadataEEENS4_11StorageTypeEb (from libLLVM)
                 (undefined) external __ZN4llvm7airdyld6Loader17setFunctionGroupsENS_15MutableArrayRefINSt3__110unique_ptrINS_3air13FunctionGroupENS3_14default_deleteIS6_EEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm8Function9addFnAttrENS_9StringRefES1_ (from libLLVM)
                 (undefined) external __ZN4llvm8MDString3getERNS_11LLVMContextENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm9ErrorList2IDE (from libLLVM)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_12VersionTupleE (from libLLVM)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_3air15UniversalBinaryE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_3air7ArchiveE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_3air8MetalLibE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver10dumpToFileERN4llvm11raw_ostreamES3_ (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11addPipelineEjN4llvm8ArrayRefINS_16GPUArchiverIndexEEENS1_9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11buildToFileERN4llvm11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11compressAllERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11setUnitHashENS_16GPUArchiverIndexEN4llvm8ArrayRefIjEENS3_IA32_hEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12compressNoneERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12createWriterENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12deleteWithIdEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12dumpToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13addDescriptorEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13buildToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver14setInstallNameEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver15compressModulesERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver15compressSourcesERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver16addLinkedModulesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPNS2_12MemoryBufferEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setActivePlatformENS_25GPUArchiverActivePlatformERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setUnitReflectionENS_16GPUArchiverIndexEPKN4llvm12MemoryBufferES5_RNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18createWriterWithIdENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18keepPackingSymbolsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver19compressDescriptorsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver19compressReflectionsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver20addUnitWithReferenceEN4llvm5MachO12ArchitectureEPKNS_18GPUArchiverUnitRefES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30addLinkedModulesWithReferencesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPKNS_18GPUArchiverUnitRefEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30setUnitReflectionWithReferenceENS_16GPUArchiverIndexEPKNS_18GPUArchiverUnitRefES4_RN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver5flushERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver6createEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addToolEN4llvm5MachO12ArchitectureEjRKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
