00007fff849e1c40 (__DATA,__bss) non-external _SVC_REQ_KEY
00007fff5dbad3e1 (__TEXT,__text) non-external _clntstrm_geterr
00007fff5dbace09 (__TEXT,__text) external _clntticots_create
00007fff5dbba19e (__TEXT,__text) non-external _clntticots_create.cold.1
00007fff5dbad0a8 (__TEXT,__text) external _clntticots_create_timeout
00007fff5dbacd5c (__TEXT,__text) external _clntticotsord_create
00007fff5dbba103 (__TEXT,__text) non-external _clntticotsord_create.cold.1
00007fff5dbad023 (__TEXT,__text) external _clntticotsord_create_timeout
00007fff5dbba40a (__TEXT,__text) non-external _clntticotsord_create_timeout.cold.1
00007fff5dbaddda (__TEXT,__text) non-external _clntudp_abort
00007fff5dbad975 (__TEXT,__text) non-external _clntudp_call
00007fff5dbade67 (__TEXT,__text) non-external _clntudp_control
00007fff5dbade1f (__TEXT,__text) non-external _clntudp_destroy
00007fff5dbaddfd (__TEXT,__text) non-external _clntudp_freeres
00007fff5dbadde0 (__TEXT,__text) non-external _clntudp_geterr
                 (undefined) external _close (from libSystem)
00007fff5dbb6e76 (__TEXT,__text) non-external _compare_sa
00007fff5dbbe6e0 (__TEXT,__const) non-external _compare_sa.allones
00007fff849e1d60 (__DATA,__common) non-external (was a private external) _conncount
                 (undefined) external _connect (from libSystem)
00007fff849e1b18 (__DATA,__data) non-external _create_key_init
00007fff5dbb3199 (__TEXT,__text) non-external _create_svc_req_key
00007fff5dbb5e58 (__TEXT,__text) non-external (was a private external) _cvt4to6
00007fff5dbb5e00 (__TEXT,__text) non-external (was a private external) _cvt6to4
00007fff5dbbe6c8 (__TEXT,__const) non-external _default_tottimeout
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007fff5dbb4f0d (__TEXT,__text) non-external _fill_input_buf
00007fff5dbb4d45 (__TEXT,__text) non-external _flush_out
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007fff5dbab7d5 (__TEXT,__text) non-external _free_interface_list
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freehostent (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
00007fff5dbb6bc8 (__TEXT,__text) external _freenetconfigent
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007fff5dbb4e4f (__TEXT,__text) non-external _get_input_bytes
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getgroups (from libSystem)
00007fff5dbb5e99 (__TEXT,__text) non-external (was a private external) _gethostaddr
                 (undefined) external _gethostbyname (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getipnodebyname (from libSystem)
00007fff5dbb6bff (__TEXT,__text) external _getnetconfigent
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid_r (from libSystem)
00007fff5dbb88c3 (__TEXT,__text) non-external _getrpcbind_handle
                 (undefined) external _getsockname (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
00007fff5dbb8c4f (__TEXT,__text) non-external _handle_callerror
00007fff5dbb5207 (__TEXT,__text) non-external _harmless
00007fff849e1c60 (__DATA,__bss) non-external _if_addr_cache
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _in6addr_loopback (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _inet_pton (from libSystem)
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _kevent64 (from libSystem)
00007fff849e1a30 (__DATA,__data) non-external (was a private external) _kq
00007fff849e1a48 (__DATA,__data) non-external _kq_control_fd
                 (undefined) external _kqueue (from libSystem)
