                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff811e881d2 (__TEXT,__text) non-external _au_assemble
00007ff811e94323 (__TEXT,__text) external _audit_set_sflags_mask
00007ff811e946ee (__TEXT,__text) external _audit_set_stat
00007ff811e93b78 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff811e93aa2 (__TEXT,__text) external _audit_set_terminal_id
00007ff811e93c1c (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff811e93ad7 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff811e935da (__TEXT,__text) external _audit_submit
00007ff811e876a0 (__TEXT,__text) external _audit_token_to_asid
00007ff811e876e8 (__TEXT,__text) external _audit_token_to_au32
00007ff811e876c4 (__TEXT,__text) external _audit_token_to_auid
00007ff811e876cd (__TEXT,__text) external _audit_token_to_egid
00007ff811e876b2 (__TEXT,__text) external _audit_token_to_euid
00007ff811e876a9 (__TEXT,__text) external _audit_token_to_pid
00007ff811e876df (__TEXT,__text) external _audit_token_to_pidversion
00007ff811e876d6 (__TEXT,__text) external _audit_token_to_rgid
00007ff811e876bb (__TEXT,__text) external _audit_token_to_ruid
00007ff811e93c51 (__TEXT,__text) external _audit_write
00007ff811e93f14 (__TEXT,__text) external _audit_write_failure
00007ff811e93fd9 (__TEXT,__text) external _audit_write_failure_ex
00007ff811e9413b (__TEXT,__text) external _audit_write_failure_na
00007ff811e9416c (__TEXT,__text) external _audit_write_failure_na_ex
00007ff811e9409e (__TEXT,__text) external _audit_write_failure_self
00007ff811e93dd3 (__TEXT,__text) external _audit_write_success
00007ff811e93e4a (__TEXT,__text) external _audit_write_success_ex
00007ff811e93ec1 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff811e8fa63 (__TEXT,__text) non-external _be64dec
00007ff811e96300 (__TEXT,__const) non-external _bsm_domains
00007ff8414ad030 (__DATA_CONST,__const) non-external _bsm_errnos
00007ff811e96580 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff811e96530 (__TEXT,__const) non-external _bsm_socket_types
00007ff811e9092e (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff811e8ff33 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff811e88d75 (__TEXT,__text) external _endac
00007ff811e889d3 (__TEXT,__text) external _endauclass
00007ff811e896bf (__TEXT,__text) external _endauevent
00007ff811e9317d (__TEXT,__text) external _endauuser
00007ff843ca3a98 (__DATA,__bss) non-external _ev_cache
00007ff811e89b5a (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
00007ff811e8b23d (__TEXT,__text) non-external _fetch_arb_tok
00007ff811e8a3af (__TEXT,__text) non-external _fetch_arg32_tok
00007ff811e8a424 (__TEXT,__text) non-external _fetch_arg64_tok
00007ff811e8a499 (__TEXT,__text) non-external _fetch_attr32_tok
00007ff811e8a547 (__TEXT,__text) non-external _fetch_attr64_tok
00007ff811e8b2b9 (__TEXT,__text) non-external _fetch_cert_hash_tok
00007ff811e8a649 (__TEXT,__text) non-external _fetch_execarg_tok
00007ff811e8a649 (__TEXT,__text) non-external _fetch_execenv_tok
00007ff811e8a606 (__TEXT,__text) non-external _fetch_exit_tok
00007ff811e8a6c9 (__TEXT,__text) non-external _fetch_file_tok
00007ff811e89ff8 (__TEXT,__text) non-external _fetch_header32_ex_tok
00007ff811e89f48 (__TEXT,__text) non-external _fetch_header32_tok
00007ff811e8a201 (__TEXT,__text) non-external _fetch_header64_ex_tok
00007ff811e8a13c (__TEXT,__text) non-external _fetch_header64_tok
00007ff811e8b337 (__TEXT,__text) non-external _fetch_identity_tok
00007ff811e8a7ae (__TEXT,__text) non-external _fetch_inaddr_ex_tok
00007ff811e8a813 (__TEXT,__text) non-external _fetch_ip_tok
00007ff811e8a91e (__TEXT,__text) non-external _fetch_ipc_tok
00007ff811e8a95f (__TEXT,__text) non-external _fetch_ipcperm_tok
00007ff811e8b2b9 (__TEXT,__text) non-external _fetch_krb5_principal_tok
00007ff811e8a740 (__TEXT,__text) non-external _fetch_newgroups_tok
00007ff811e8aa27 (__TEXT,__text) non-external _fetch_process32_tok
00007ff811e8ab27 (__TEXT,__text) non-external _fetch_process32ex_tok
00007ff811e8ac5a (__TEXT,__text) non-external _fetch_process64_tok
00007ff811e8ad6d (__TEXT,__text) non-external _fetch_process64ex_tok
00007ff811e8a91e (__TEXT,__text) non-external _fetch_return32_tok
00007ff811e8aeda (__TEXT,__text) non-external _fetch_return64_tok
00007ff811e8b09c (__TEXT,__text) non-external _fetch_sock_inet128_tok
00007ff811e8afa9 (__TEXT,__text) non-external _fetch_sock_inet32_tok
00007ff811e8b007 (__TEXT,__text) non-external _fetch_sock_unix_tok
00007ff811e8af1d (__TEXT,__text) non-external _fetch_socket_tok
00007ff811e8b0fe (__TEXT,__text) non-external _fetch_socketex32_tok
00007ff811e8aa27 (__TEXT,__text) non-external _fetch_subject32_tok
00007ff811e8ab27 (__TEXT,__text) non-external _fetch_subject32ex_tok
00007ff811e8ac5a (__TEXT,__text) non-external _fetch_subject64_tok
00007ff811e8ad6d (__TEXT,__text) non-external _fetch_subject64ex_tok
00007ff811e8a368 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff843ca3a90 (__DATA,__bss) non-external _firsttime
00007ff811e9078e (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff843748480 (__DATA_DIRTY,__bss) non-external _fp
00007ff843748490 (__DATA_DIRTY,__bss) non-external _fp
00007ff8437484a0 (__DATA_DIRTY,__bss) non-external _fp
00007ff8437484b0 (__DATA_DIRTY,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff811e88dae (__TEXT,__text) external _getacdir
00007ff811e8938a (__TEXT,__text) external _getacexpire
00007ff811e88fe6 (__TEXT,__text) external _getacfilesz
00007ff811e89136 (__TEXT,__text) external _getacflg
00007ff811e892f7 (__TEXT,__text) external _getachost
00007ff811e88f83 (__TEXT,__text) external _getacmin
00007ff811e891c2 (__TEXT,__text) external _getacna
00007ff811e8924e (__TEXT,__text) external _getacpol
00007ff811e892e1 (__TEXT,__text) external _getacsflagsmask
00007ff811e88769 (__TEXT,__text) external _getauclassent
00007ff843ca3778 (__DATA,__bss) non-external _getauclassent.c
00007ff843ca3730 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff843ca3720 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff843ca3790 (__DATA,__bss) non-external _getauclassent.cp
00007ff811e885e4 (__TEXT,__text) external _getauclassent_r
00007ff811e88618 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff811e888a6 (__TEXT,__text) external _getauclassnam
00007ff843ca37e8 (__DATA,__bss) non-external _getauclassnam.c
00007ff843ca37a0 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff843ca3798 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff811e8882d (__TEXT,__text) external _getauclassnam_r
00007ff811e8896e (__TEXT,__text) external _getauclassnum
00007ff843ca3858 (__DATA,__bss) non-external _getauclassnum.c
00007ff843ca3810 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff843ca3800 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff811e8890c (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff811e89c72 (__TEXT,__text) external _getauditflagsbin
00007ff811e89dc7 (__TEXT,__text) external _getauditflagschar
00007ff811e897ac (__TEXT,__text) external _getauevent
00007ff843ca38d8 (__DATA,__bss) non-external _getauevent.e
00007ff843ca38a0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff843ca3880 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff811e896f8 (__TEXT,__text) external _getauevent_r
00007ff811e89902 (__TEXT,__text) external _getauevnam
00007ff843ca3958 (__DATA,__bss) non-external _getauevnam.e
00007ff843ca3920 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff843ca3900 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff811e89816 (__TEXT,__text) external _getauevnam_r
00007ff811e89b46 (__TEXT,__text) external _getauevnonam
00007ff843ca3a80 (__DATA,__bss) non-external _getauevnonam.event
00007ff811e89ab4 (__TEXT,__text) external _getauevnonam_r
00007ff843ca3a58 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff843ca3a78 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff843ca3a20 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff843ca3a00 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff811e89a48 (__TEXT,__text) external _getauevnum
00007ff843ca39d8 (__DATA,__bss) non-external _getauevnum.e
00007ff843ca39a0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff843ca3980 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff811e8996f (__TEXT,__text) external _getauevnum_r
00007ff811e9332f (__TEXT,__text) external _getauuserent
00007ff843ca3ad8 (__DATA,__bss) non-external _getauuserent.u
00007ff843ca3aa0 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff811e931b6 (__TEXT,__text) external _getauuserent_r
00007ff811e931ea (__TEXT,__text) non-external _getauuserent_r_locked
00007ff811e93408 (__TEXT,__text) external _getauusernam
00007ff843ca3b28 (__DATA,__bss) non-external _getauusernam.u
00007ff843ca3af0 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff811e9339d (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff811e93512 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff811e88e35 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff843748080 (__DATA_DIRTY,__bss) non-external _linestr
00007ff843748180 (__DATA_DIRTY,__bss) non-external _linestr
00007ff843748280 (__DATA_DIRTY,__bss) non-external _linestr
00007ff843748380 (__DATA_DIRTY,__bss) non-external _linestr
00007ff811e906aa (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff843747f00 (__DATA_DIRTY,__data) non-external _mutex
00007ff843747f40 (__DATA_DIRTY,__data) non-external _mutex
00007ff843747f80 (__DATA_DIRTY,__data) non-external _mutex
00007ff843747fc0 (__DATA_DIRTY,__data) non-external _mutex
00007ff843748000 (__DATA_DIRTY,__data) non-external _mutex
00007ff843748040 (__DATA_DIRTY,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff843ca3680 (__DATA,__bss) non-external _open_desc_table
00007ff811e8fde4 (__TEXT,__text) non-external _print_event
00007ff811e90403 (__TEXT,__text) non-external _print_group
00007ff811e901ac (__TEXT,__text) non-external _print_ip_ex_address
00007ff811e904b6 (__TEXT,__text) non-external _print_ipctype
00007ff811e90446 (__TEXT,__text) non-external _print_mem
00007ff811e9051f (__TEXT,__text) non-external _print_retval
00007ff811e8feac (__TEXT,__text) non-external _print_sec32
00007ff811e9024c (__TEXT,__text) non-external _print_sec64
00007ff811e902d2 (__TEXT,__text) non-external _print_string
00007ff811e8fa6f (__TEXT,__text) non-external _print_tok_type
00007ff811e903c0 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff811e88cd9 (__TEXT,__text) external _setac
00007ff811e88d01 (__TEXT,__text) non-external _setac_locked
00007ff843ca3878 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff811e887fb (__TEXT,__text) external _setauclass
00007ff811e8968d (__TEXT,__text) external _setauevent
00007ff811e9314b (__TEXT,__text) external _setauuser
00007ff811e89563 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff8437484c4 (__DATA_DIRTY,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
