00000001918ce968 (__TEXT,__const) non-external _KW_ANY
00000001918b8110 (__TEXT,__text) external _XML_ParseBuffer
00000001918b65f0 (__TEXT,__text) external _XML_ParserCreate
00000001918b6608 (__TEXT,__text) external _XML_ParserCreateNS
00000001918b6600 (__TEXT,__text) external _XML_ParserCreate_MM
00000001918b75a0 (__TEXT,__text) external _XML_ParserFree
00000001918b68a8 (__TEXT,__text) external _XML_ParserReset
00000001918b8444 (__TEXT,__text) external _XML_ResumeParser
00000001918b7cbc (__TEXT,__text) external _XML_SetAttlistDeclHandler
00000001918b7a90 (__TEXT,__text) external _XML_SetBase
00000001918b88a8 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00000001918b8878 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00000001918b7bc0 (__TEXT,__text) external _XML_SetCdataSectionHandler
00000001918b7b9c (__TEXT,__text) external _XML_SetCharacterDataHandler
00000001918b7bb4 (__TEXT,__text) external _XML_SetCommentHandler
00000001918b7be4 (__TEXT,__text) external _XML_SetDefaultHandler
00000001918b7bf4 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00000001918b7c08 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00000001918b7cb0 (__TEXT,__text) external _XML_SetElementDeclHandler
00000001918b7b78 (__TEXT,__text) external _XML_SetElementHandler
00000001918b6de8 (__TEXT,__text) external _XML_SetEncoding
00000001918b7bd8 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00000001918b7c20 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00000001918b7b90 (__TEXT,__text) external _XML_SetEndElementHandler
00000001918b7c5c (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00000001918b7cc8 (__TEXT,__text) external _XML_SetEntityDeclHandler
00000001918b7c74 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00000001918b7c80 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00000001918b7d08 (__TEXT,__text) external _XML_SetHashSalt
00000001918b7c44 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00000001918b7c68 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00000001918b7c38 (__TEXT,__text) external _XML_SetNotationDeclHandler
00000001918b7ce0 (__TEXT,__text) external _XML_SetParamEntityParsing
00000001918b7ba8 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00000001918b88c8 (__TEXT,__text) external _XML_SetReparseDeferralEnabled
00000001918b7a4c (__TEXT,__text) external _XML_SetReturnNSTriplet
00000001918b7c94 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00000001918b7bcc (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00000001918b7c14 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00000001918b7b84 (__TEXT,__text) external _XML_SetStartElementHandler
00000001918b7c50 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00000001918b7ca0 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00000001918b7c2c (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00000001918b7a70 (__TEXT,__text) external _XML_SetUserData
00000001918b7cd4 (__TEXT,__text) external _XML_SetXmlDeclHandler
00000001918b83a4 (__TEXT,__text) external _XML_StopParser
00000001918ce5d4 (__TEXT,__text) non-external _XML_StopParser.cold.1
00000001918b7a18 (__TEXT,__text) external _XML_UseForeignDTD
00000001918b7a0c (__TEXT,__text) external _XML_UseParserAsHandlerArg
00000001918c2150 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00000001918c26e4 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00000001918c2144 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00000001918c26d8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00000001918c215c (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00000001918c26f0 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00000001918c1bb4 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00000001918c2908 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00000001918c2288 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00000001918c27ac (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00000001918bfa64 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00000001918bfb98 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00000001918c1bac (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00000001918c1b5c (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00000001918c1aa0 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00000001918c19f4 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00000001918ba530 (__TEXT,__text) non-external _accountingDiffTolerated
00000001918ce684 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00000001918bbd78 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00000001918ce6dc (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00000001918bbdc4 (__TEXT,__text) non-external _accountingReportStats
00000001918be3ac (__TEXT,__text) non-external _addBinding
00000001918cfddb (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00000001918cfe00 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00000001918be748 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001ef3b3520 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001ef3b3e30 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
00000001918ca674 (__TEXT,__text) non-external _ascii_toUtf8
00000001918c01c4 (__TEXT,__text) non-external _attlist0
00000001918c0b8c (__TEXT,__text) non-external _attlist1
00000001918c0c30 (__TEXT,__text) non-external _attlist2
00000001e75021e0 (__DATA_CONST,__const) non-external _attlist2.types
00000001918c0ef0 (__TEXT,__text) non-external _attlist3
00000001918c1078 (__TEXT,__text) non-external _attlist4
00000001918c0e9c (__TEXT,__text) non-external _attlist5
00000001918c0fb4 (__TEXT,__text) non-external _attlist6
00000001918c1010 (__TEXT,__text) non-external _attlist7
00000001918c0d5c (__TEXT,__text) non-external _attlist8
00000001918c0f58 (__TEXT,__text) non-external _attlist9
00000001918cbd88 (__TEXT,__text) non-external _big2_attributeValueTok
00000001918cb920 (__TEXT,__text) non-external _big2_cdataSectionTok
00000001918cc5b4 (__TEXT,__text) non-external _big2_charRefNumber
00000001918cd7f8 (__TEXT,__text) non-external _big2_checkPiTarget
00000001918cae38 (__TEXT,__text) non-external _big2_contentTok
00000001ef3b3180 (__AUTH_CONST,__const) non-external _big2_encoding
00000001ef3b3a90 (__AUTH_CONST,__const) non-external _big2_encoding_ns
00000001918cbeec (__TEXT,__text) non-external _big2_entityValueTok
00000001918cc198 (__TEXT,__text) non-external _big2_getAtts
00000001918cbbc0 (__TEXT,__text) non-external _big2_ignoreSectionTok
00000001918cc8d4 (__TEXT,__text) non-external _big2_isPublicId
00000001918cc0b4 (__TEXT,__text) non-external _big2_nameLength
00000001918cc068 (__TEXT,__text) non-external _big2_nameMatchesAscii
00000001918cc694 (__TEXT,__text) non-external _big2_predefinedEntityName
00000001918ca6c0 (__TEXT,__text) non-external _big2_prologTok
00000001918cdb9c (__TEXT,__text) non-external _big2_scanAtts
00000001918cf0ab (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00000001918cd680 (__TEXT,__text) non-external _big2_scanComment
00000001918cccfc (__TEXT,__text) non-external _big2_scanDecl
00000001918ccba8 (__TEXT,__text) non-external _big2_scanLit
00000001918cd260 (__TEXT,__text) non-external _big2_scanPercent
00000001918cce38 (__TEXT,__text) non-external _big2_scanPi
00000001918cd474 (__TEXT,__text) non-external _big2_scanPoundName
00000001918cd894 (__TEXT,__text) non-external _big2_scanRef
00000001918cc154 (__TEXT,__text) non-external _big2_skipS
00000001918ccb20 (__TEXT,__text) non-external _big2_toUtf16
00000001918cc98c (__TEXT,__text) non-external _big2_toUtf8
00000001918cc7e8 (__TEXT,__text) non-external _big2_updatePosition
                 (undefined) external _bzero (from libSystem)
00000001918b827c (__TEXT,__text) non-external _callProcessor
00000001918be1b8 (__TEXT,__text) non-external _cdataSectionProcessor
00000001918c1e3c (__TEXT,__text) non-external _checkCharRefNumber
00000001918c07ec (__TEXT,__text) non-external _condSect0
00000001918c08c8 (__TEXT,__text) non-external _condSect1
00000001918c0938 (__TEXT,__text) non-external _condSect2
00000001918baec0 (__TEXT,__text) non-external _contentProcessor
00000001918bf8a8 (__TEXT,__text) non-external _copyEntityTable
00000001918b6e5c (__TEXT,__text) non-external _copyString
00000001918c0670 (__TEXT,__text) non-external _declClose
00000001918bb254 (__TEXT,__text) non-external _defineAttribute
00000001918bdec0 (__TEXT,__text) non-external _doCdataSection
00000001918bc180 (__TEXT,__text) non-external _doContent
00000001918bb714 (__TEXT,__text) non-external _doIgnoreSection
00000001918c22e4 (__TEXT,__text) non-external _doParseXmlDecl
00000001918b8c34 (__TEXT,__text) non-external _doProlog
00000001918ce863 (__TEXT,__const) non-external _doProlog.atypeCDATA
00000001918ce880 (__TEXT,__const) non-external _doProlog.atypeENTITIES
00000001918ce879 (__TEXT,__const) non-external _doProlog.atypeENTITY
00000001918ce869 (__TEXT,__const) non-external _doProlog.atypeID
00000001918ce86c (__TEXT,__const) non-external _doProlog.atypeIDREF
00000001918ce872 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00000001918ce889 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00000001918ce891 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00000001918ce62c (__TEXT,__text) non-external _doProlog.cold.1
00000001918ce658 (__TEXT,__text) non-external _doProlog.cold.2
00000001918cfcd0 (__TEXT,__cstring) non-external _doProlog.enumValueSep
00000001918cfcd2 (__TEXT,__cstring) non-external _doProlog.enumValueStart
00000001918cfcc6 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00000001918bfcc4 (__TEXT,__text) non-external _doctype0
00000001918bfd30 (__TEXT,__text) non-external _doctype1
00000001918c00fc (__TEXT,__text) non-external _doctype2
00000001918c00a0 (__TEXT,__text) non-external _doctype3
00000001918c197c (__TEXT,__text) non-external _doctype4
00000001918c02e8 (__TEXT,__text) non-external _doctype5
00000001918c0228 (__TEXT,__text) non-external _element0
00000001918c10e0 (__TEXT,__text) non-external _element1
00000001918c1204 (__TEXT,__text) non-external _element2
00000001918c1340 (__TEXT,__text) non-external _element3
00000001918c1654 (__TEXT,__text) non-external _element4
00000001918c16b8 (__TEXT,__text) non-external _element5
00000001918c13f0 (__TEXT,__text) non-external _element6
00000001918c14e4 (__TEXT,__text) non-external _element7
00000001e7502250 (__DATA_CONST,__const) non-external _encodings
00000001e7502288 (__DATA_CONST,__const) non-external _encodingsNS
00000001918c0158 (__TEXT,__text) non-external _entity0
00000001918c0344 (__TEXT,__text) non-external _entity1
00000001918c06e4 (__TEXT,__text) non-external _entity10
00000001918c03a0 (__TEXT,__text) non-external _entity2
00000001918c09f0 (__TEXT,__text) non-external _entity3
00000001918c0994 (__TEXT,__text) non-external _entity4
00000001918c0a4c (__TEXT,__text) non-external _entity5
00000001918c0b24 (__TEXT,__text) non-external _entity6
00000001918c04ac (__TEXT,__text) non-external _entity7
00000001918c0614 (__TEXT,__text) non-external _entity8
00000001918c05b8 (__TEXT,__text) non-external _entity9
00000001918bbb48 (__TEXT,__text) non-external _entityTrackingOnOpen
00000001918bf158 (__TEXT,__text) non-external _entityTrackingReportStats
00000001918ce734 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00000001918bf488 (__TEXT,__text) non-external _entityValueInitProcessor
00000001918bf770 (__TEXT,__text) non-external _entityValueProcessor
00000001918bdc9c (__TEXT,__text) non-external _epilogProcessor
00000001918bfd28 (__TEXT,__text) non-external _error
00000001918b839c (__TEXT,__text) non-external _errorProcessor
00000001918be6e4 (__TEXT,__text) non-external _externalEntityContentProcessor
00000001918b7860 (__TEXT,__text) non-external _externalEntityInitProcessor
00000001918bf254 (__TEXT,__text) non-external _externalEntityInitProcessor2
00000001918bf360 (__TEXT,__text) non-external _externalEntityInitProcessor3
00000001918b78dc (__TEXT,__text) non-external _externalParEntInitProcessor
00000001918bf63c (__TEXT,__text) non-external _externalParEntProcessor
00000001918bfbb0 (__TEXT,__text) non-external _externalSubset0
00000001918c075c (__TEXT,__text) non-external _externalSubset1
00000001918c25d8 (__TEXT,__text) non-external _findEncoding
00000001918c2808 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00000001918bdc38 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00000001918ce860 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
00000001918bafbc (__TEXT,__text) non-external _getAttributeId
00000001918bceb0 (__TEXT,__text) non-external _getContext
00000001918b8990 (__TEXT,__text) non-external _getDebugLevel
00000001918baf2c (__TEXT,__text) non-external _getElementType
00000001918c21d8 (__TEXT,__text) non-external _getEncodingIndex
00000001e7502220 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00000001918b8b28 (__TEXT,__text) non-external _handleUnknownEncoding
00000001918bbe3c (__TEXT,__text) non-external _hash
00000001918bf83c (__TEXT,__text) non-external _hashTableDestroy
00000001918bb89c (__TEXT,__text) non-external _ignoreSectionProcessor
00000001918ce89a (__TEXT,__const) non-external _implicitContext
00000001918ca484 (__TEXT,__text) non-external _initScan
00000001918c225c (__TEXT,__text) non-external _initScanContent
00000001918c278c (__TEXT,__text) non-external _initScanContentNS
00000001918c223c (__TEXT,__text) non-external _initScanProlog
00000001918c276c (__TEXT,__text) non-external _initScanPrologNS
00000001918c227c (__TEXT,__text) non-external _initUpdatePosition
00000001918b8a1c (__TEXT,__text) non-external _initializeEncoding
00000001918bef90 (__TEXT,__text) non-external _internalEntityProcessor
00000001918ce708 (__TEXT,__text) non-external _internalEntityProcessor.cold.1
00000001918bfe48 (__TEXT,__text) non-external _internalSubset
00000001ef3b2a40 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001ef3b2de0 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001ef3b2870 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001ef3b2c10 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
00000001918c675c (__TEXT,__text) non-external _isNever
00000001ef3b26a0 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001ef3b36f0 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
00000001918c4c50 (__TEXT,__text) non-external _latin1_toUtf16
00000001918c4bbc (__TEXT,__text) non-external _latin1_toUtf8
00000001918c7fa4 (__TEXT,__text) non-external _little2_attributeValueTok
00000001918c7b3c (__TEXT,__text) non-external _little2_cdataSectionTok
00000001918c87dc (__TEXT,__text) non-external _little2_charRefNumber
00000001918c9a14 (__TEXT,__text) non-external _little2_checkPiTarget
00000001918c708c (__TEXT,__text) non-external _little2_contentTok
00000001ef3b3350 (__AUTH_CONST,__const) non-external _little2_encoding
00000001ef3b3c60 (__AUTH_CONST,__const) non-external _little2_encoding_ns
00000001918c8108 (__TEXT,__text) non-external _little2_entityValueTok
00000001918c83c0 (__TEXT,__text) non-external _little2_getAtts
00000001918c7ddc (__TEXT,__text) non-external _little2_ignoreSectionTok
00000001918c8afc (__TEXT,__text) non-external _little2_isPublicId
00000001918c82d0 (__TEXT,__text) non-external _little2_nameLength
00000001918c8284 (__TEXT,__text) non-external _little2_nameMatchesAscii
00000001918c88bc (__TEXT,__text) non-external _little2_predefinedEntityName
00000001918c6914 (__TEXT,__text) non-external _little2_prologTok
00000001918c9db4 (__TEXT,__text) non-external _little2_scanAtts
00000001918c989c (__TEXT,__text) non-external _little2_scanComment
00000001918c8f18 (__TEXT,__text) non-external _little2_scanDecl
00000001918c8dc4 (__TEXT,__text) non-external _little2_scanLit
00000001918c9478 (__TEXT,__text) non-external _little2_scanPercent
00000001918c9054 (__TEXT,__text) non-external _little2_scanPi
00000001918c9690 (__TEXT,__text) non-external _little2_scanPoundName
00000001918c9ab0 (__TEXT,__text) non-external _little2_scanRef
00000001918c8370 (__TEXT,__text) non-external _little2_skipS
00000001918c8d40 (__TEXT,__text) non-external _little2_toUtf16
00000001918c8bac (__TEXT,__text) non-external _little2_toUtf8
00000001918c8a10 (__TEXT,__text) non-external _little2_updatePosition
00000001918baae4 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001918cef78 (__TEXT,__const) non-external _namePages
00000001918ce978 (__TEXT,__const) non-external _namingBitmap
00000001918bb94c (__TEXT,__text) non-external _nextScaffoldPart
00000001918cee78 (__TEXT,__const) non-external _nmstrtPages
00000001918c41ec (__TEXT,__text) non-external _normal_attributeValueTok
00000001918c3d64 (__TEXT,__text) non-external _normal_cdataSectionTok
00000001918c488c (__TEXT,__text) non-external _normal_charRefNumber
00000001918c5a18 (__TEXT,__text) non-external _normal_checkPiTarget
00000001918c31a4 (__TEXT,__text) non-external _normal_contentTok
00000001918c432c (__TEXT,__text) non-external _normal_entityValueTok
00000001918c4550 (__TEXT,__text) non-external _normal_getAtts
00000001918c400c (__TEXT,__text) non-external _normal_ignoreSectionTok
00000001918c4b14 (__TEXT,__text) non-external _normal_isPublicId
00000001918c44c8 (__TEXT,__text) non-external _normal_nameLength
00000001918c4484 (__TEXT,__text) non-external _normal_nameMatchesAscii
00000001918c4958 (__TEXT,__text) non-external _normal_predefinedEntityName
00000001918c292c (__TEXT,__text) non-external _normal_prologTok
00000001918c5dfc (__TEXT,__text) non-external _normal_scanAtts
00000001918c587c (__TEXT,__text) non-external _normal_scanComment
00000001918c4e3c (__TEXT,__text) non-external _normal_scanDecl
00000001918c4ca4 (__TEXT,__text) non-external _normal_scanLit
00000001918c5368 (__TEXT,__text) non-external _normal_scanPercent
00000001918c4f5c (__TEXT,__text) non-external _normal_scanPi
00000001918c55f4 (__TEXT,__text) non-external _normal_scanPoundName
00000001918c5a9c (__TEXT,__text) non-external _normal_scanRef
00000001918c4514 (__TEXT,__text) non-external _normal_skipS
00000001918c4a40 (__TEXT,__text) non-external _normal_updatePosition
00000001918bf1fc (__TEXT,__text) non-external _normalizeLines
00000001918bae3c (__TEXT,__text) non-external _normalizePublicId
00000001918c028c (__TEXT,__text) non-external _notation0
00000001918c1738 (__TEXT,__text) non-external _notation1
00000001918c187c (__TEXT,__text) non-external _notation2
00000001918c1814 (__TEXT,__text) non-external _notation3
00000001918c18d8 (__TEXT,__text) non-external _notation4
00000001918ce1dc (__TEXT,__text) non-external _parsePseudoAttribute
00000001918b663c (__TEXT,__text) non-external _parserCreate
00000001918b6c9c (__TEXT,__text) non-external _parserInit
00000001918bb1d0 (__TEXT,__text) non-external _poolAppend
00000001918b7adc (__TEXT,__text) non-external _poolCopyString
00000001918b79ac (__TEXT,__text) non-external _poolDestroy
00000001918bb384 (__TEXT,__text) non-external _poolGrow
00000001918baa88 (__TEXT,__text) non-external _poolStoreString
00000001918bba48 (__TEXT,__text) non-external _processEntity
00000001918ba75c (__TEXT,__text) non-external _processXmlDecl
00000001918bfa88 (__TEXT,__text) non-external _prolog0
00000001918bfbd4 (__TEXT,__text) non-external _prolog1
00000001918c0014 (__TEXT,__text) non-external _prolog2
00000001918b8914 (__TEXT,__text) non-external _prologInitProcessor
00000001918b8aa0 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00000001918bbcc0 (__TEXT,__text) non-external _reportComment
00000001918b8730 (__TEXT,__text) non-external _reportDefault
00000001918bbb94 (__TEXT,__text) non-external _reportProcessingInstruction
00000001918b735c (__TEXT,__text) non-external _setContext
00000001918be2b4 (__TEXT,__text) non-external _setElementTypePrefix
00000001918bc020 (__TEXT,__text) non-external _sip24_final
00000001918bbf2c (__TEXT,__text) non-external _sip24_update
00000001918bc134 (__TEXT,__text) non-external _sip_round
00000001918b7e30 (__TEXT,__text) non-external _startParsing
00000001918bb538 (__TEXT,__text) non-external _storeAttributeValue
00000001918ce6b0 (__TEXT,__text) non-external _storeAttributeValue.cold.1
00000001918bd1ec (__TEXT,__text) non-external _storeAtts
00000001918beb8c (__TEXT,__text) non-external _storeEntityValue
00000001918bcdc4 (__TEXT,__text) non-external _storeRawNames
00000001918ca42c (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00000001918b88e8 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00000001918b88f4 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00000001918c1f48 (__TEXT,__text) non-external _unknown_isInvalid
00000001918c1e88 (__TEXT,__text) non-external _unknown_isName
00000001918c1ee8 (__TEXT,__text) non-external _unknown_isNmstrt
00000001918c207c (__TEXT,__text) non-external _unknown_toUtf16
00000001918c1f7c (__TEXT,__text) non-external _unknown_toUtf8
00000001918b8900 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001ef3b2fb0 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001ef3b38c0 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
00000001918c67ec (__TEXT,__text) non-external _utf8_isInvalid2
00000001918c6820 (__TEXT,__text) non-external _utf8_isInvalid3
00000001918c68ac (__TEXT,__text) non-external _utf8_isInvalid4
00000001918c66d4 (__TEXT,__text) non-external _utf8_isName2
00000001918c6714 (__TEXT,__text) non-external _utf8_isName3
00000001918c6764 (__TEXT,__text) non-external _utf8_isNmstrt2
00000001918c67a4 (__TEXT,__text) non-external _utf8_isNmstrt3
00000001918c6598 (__TEXT,__text) non-external _utf8_toUtf16
00000001918c64dc (__TEXT,__text) non-external _utf8_toUtf8
