                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80a75acc3 (__TEXT,__text) non-external _au_assemble
00007ff80a76403d (__TEXT,__text) external _au_to_certificate_hash
00007ff80a762526 (__TEXT,__text) external _au_to_data
00007ff80a763f08 (__TEXT,__text) external _au_to_exec_args
00007ff80a76402e (__TEXT,__text) external _au_to_exec_env
00007ff80a7625fe (__TEXT,__text) external _au_to_exit
00007ff80a762a52 (__TEXT,__text) external _au_to_file
00007ff80a76268d (__TEXT,__text) external _au_to_groups
00007ff80a7646d3 (__TEXT,__text) external _au_to_header
00007ff80a76462d (__TEXT,__text) external _au_to_header32
00007ff80a76459a (__TEXT,__text) external _au_to_header32_ex
00007ff80a76432b (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80a76423c (__TEXT,__text) external _au_to_header32_tm
00007ff80a764680 (__TEXT,__text) external _au_to_header64
00007ff80a76447a (__TEXT,__text) external _au_to_header64_tm
00007ff80a7646dd (__TEXT,__text) external _au_to_header_ex
00007ff80a7640f5 (__TEXT,__text) external _au_to_identity
00007ff80a762739 (__TEXT,__text) external _au_to_in_addr
00007ff80a76278c (__TEXT,__text) external _au_to_in_addr_ex
00007ff80a7627e8 (__TEXT,__text) external _au_to_ip
00007ff80a762844 (__TEXT,__text) external _au_to_ipc
00007ff80a7628bc (__TEXT,__text) external _au_to_ipc_perm
00007ff80a76296c (__TEXT,__text) external _au_to_iport
00007ff80a764755 (__TEXT,__text) external _au_to_kevent
00007ff80a76404c (__TEXT,__text) external _au_to_krb5_principal
00007ff80a763e7c (__TEXT,__text) external _au_to_me
00007ff80a76269f (__TEXT,__text) external _au_to_newgroups
00007ff80a7629c2 (__TEXT,__text) external _au_to_opaque
00007ff80a762be4 (__TEXT,__text) external _au_to_path
00007ff80a762f32 (__TEXT,__text) external _au_to_process
00007ff80a762c7e (__TEXT,__text) external _au_to_process32
00007ff80a762f3c (__TEXT,__text) external _au_to_process32_ex
00007ff80a762db8 (__TEXT,__text) external _au_to_process64
00007ff80a763130 (__TEXT,__text) external _au_to_process64_ex
00007ff80a763345 (__TEXT,__text) external _au_to_process_ex
00007ff80a763468 (__TEXT,__text) external _au_to_return
00007ff80a76334f (__TEXT,__text) external _au_to_return32
00007ff80a7633c7 (__TEXT,__text) external _au_to_return64
00007ff80a763472 (__TEXT,__text) external _au_to_seq
00007ff80a7637ad (__TEXT,__text) external _au_to_sock_inet
00007ff80a763741 (__TEXT,__text) external _au_to_sock_inet128
00007ff80a7636d9 (__TEXT,__text) external _au_to_sock_inet32
00007ff80a763639 (__TEXT,__text) external _au_to_sock_unix
00007ff80a7634dc (__TEXT,__text) external _au_to_socket_ex
00007ff80a763f17 (__TEXT,__text) non-external _au_to_strings
00007ff80a763a6b (__TEXT,__text) external _au_to_subject
00007ff80a7637b7 (__TEXT,__text) external _au_to_subject32
00007ff80a763a75 (__TEXT,__text) external _au_to_subject32_ex
00007ff80a7638f1 (__TEXT,__text) external _au_to_subject64
00007ff80a763c63 (__TEXT,__text) external _au_to_subject64_ex
00007ff80a763e72 (__TEXT,__text) external _au_to_subject_ex
00007ff80a762b4a (__TEXT,__text) external _au_to_text
00007ff80a7646e7 (__TEXT,__text) external _au_to_trailer
00007ff80a76405b (__TEXT,__text) external _au_to_zonename
00007ff80a764a84 (__TEXT,__text) external _au_user_mask
00007ff80a75ab74 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff8422a94a8 (__DATA,__bss) non-external _audit_free_q
00007ff80a765e1b (__TEXT,__text) external _audit_get_car
00007ff80a765beb (__TEXT,__text) external _audit_get_class
00007ff80a764fe9 (__TEXT,__text) external _audit_get_cond
00007ff80a765e30 (__TEXT,__text) external _audit_get_ctlmode
00007ff80a765e06 (__TEXT,__text) external _audit_get_cwd
00007ff80a765e61 (__TEXT,__text) external _audit_get_expire_after
00007ff80a765caf (__TEXT,__text) external _audit_get_fsize
00007ff80a765b89 (__TEXT,__text) external _audit_get_kaudit
00007ff80a765c4d (__TEXT,__text) external _audit_get_kmask
00007ff80a765d42 (__TEXT,__text) external _audit_get_pinfo
00007ff80a765d73 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80a7657b2 (__TEXT,__text) external _audit_get_policy
00007ff80a765a0c (__TEXT,__text) external _audit_get_qctrl
00007ff80a76587a (__TEXT,__text) external _audit_get_sflags
00007ff80a7658b5 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80a75a9e0 (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80a765da4 (__TEXT,__text) external _audit_get_stat
00007ff8422a94a0 (__DATA,__bss) non-external _audit_rec_count
00007ff80a765b72 (__TEXT,__text) external _audit_send_trigger
00007ff80a765c1c (__TEXT,__text) external _audit_set_class
00007ff80a76574e (__TEXT,__text) external _audit_set_cond
00007ff80a765ce0 (__TEXT,__text) external _audit_set_fsize
00007ff80a765bba (__TEXT,__text) external _audit_set_kaudit
00007ff80a765c7e (__TEXT,__text) external _audit_set_kmask
00007ff80a765d11 (__TEXT,__text) external _audit_set_pmask
00007ff80a765816 (__TEXT,__text) external _audit_set_policy
00007ff80a765abf (__TEXT,__text) external _audit_set_qctrl
00007ff80a765891 (__TEXT,__text) external _audit_set_sflags
00007ff80a765965 (__TEXT,__text) external _audit_set_sflags_mask
00007ff80a765dd5 (__TEXT,__text) external _audit_set_stat
00007ff80a765132 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80a76504d (__TEXT,__text) external _audit_set_terminal_id
00007ff80a7651b3 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80a765082 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80a764c05 (__TEXT,__text) external _audit_submit
00007ff80a758cc0 (__TEXT,__text) external _audit_token_to_asid
00007ff80a758d08 (__TEXT,__text) external _audit_token_to_au32
00007ff80a758ce4 (__TEXT,__text) external _audit_token_to_auid
00007ff80a758ced (__TEXT,__text) external _audit_token_to_egid
00007ff80a758cd2 (__TEXT,__text) external _audit_token_to_euid
00007ff80a758cc9 (__TEXT,__text) external _audit_token_to_pid
00007ff80a758cff (__TEXT,__text) external _audit_token_to_pidversion
00007ff80a758cf6 (__TEXT,__text) external _audit_token_to_rgid
00007ff80a758cdb (__TEXT,__text) external _audit_token_to_ruid
00007ff80a7651e8 (__TEXT,__text) external _audit_write
00007ff80a7654cc (__TEXT,__text) external _audit_write_failure
00007ff80a765590 (__TEXT,__text) external _audit_write_failure_ex
00007ff80a7656f2 (__TEXT,__text) external _audit_write_failure_na
00007ff80a765720 (__TEXT,__text) external _audit_write_failure_na_ex
00007ff80a765654 (__TEXT,__text) external _audit_write_failure_self
00007ff80a765373 (__TEXT,__text) external _audit_write_success
00007ff80a7653f7 (__TEXT,__text) external _audit_write_success_ex
00007ff80a76547b (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff80a767a00 (__TEXT,__const) non-external _bsm_domains
00007ff8422a89b0 (__DATA,__const) non-external _bsm_errnos
00007ff80a767c80 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff80a767c30 (__TEXT,__const) non-external _bsm_socket_types
00007ff80a762303 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff80a761933 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff80a75b884 (__TEXT,__text) external _endac
00007ff80a75b4e4 (__TEXT,__text) external _endauclass
00007ff80a75c215 (__TEXT,__text) external _endauevent
00007ff80a76478f (__TEXT,__text) external _endauuser
00007ff8422a9be8 (__DATA,__bss) non-external _ev_cache
00007ff80a75c6cf (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff8422a9be0 (__DATA,__bss) non-external _firsttime
00007ff80a762171 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff8422a96a0 (__DATA,__bss) non-external _fp
00007ff8422a97b0 (__DATA,__bss) non-external _fp
00007ff8422a98c0 (__DATA,__bss) non-external _fp
00007ff8422a9c00 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80a75b8bd (__TEXT,__text) external _getacdir
00007ff80a75beed (__TEXT,__text) external _getacexpire
00007ff80a75bae8 (__TEXT,__text) external _getacfilesz
00007ff80a75bc38 (__TEXT,__text) external _getacflg
00007ff80a75be5f (__TEXT,__text) external _getachost
00007ff80a75ba85 (__TEXT,__text) external _getacmin
00007ff80a75bcbe (__TEXT,__text) external _getacna
00007ff80a75bd44 (__TEXT,__text) external _getacpol
00007ff80a75bdd2 (__TEXT,__text) external _getacsflagsmask
00007ff80a75b27b (__TEXT,__text) external _getauclassent
00007ff8422a95a8 (__DATA,__bss) non-external _getauclassent.c
00007ff8422a9560 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff8422a9550 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff8422a95c0 (__DATA,__bss) non-external _getauclassent.cp
00007ff80a75b0df (__TEXT,__text) external _getauclassent_r
00007ff80a75b113 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff80a75b3b6 (__TEXT,__text) external _getauclassnam
00007ff8422a9618 (__DATA,__bss) non-external _getauclassnam.c
00007ff8422a95d0 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff8422a95c8 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff80a75b33f (__TEXT,__text) external _getauclassnam_r
00007ff80a75b47f (__TEXT,__text) external _getauclassnum
00007ff8422a9688 (__DATA,__bss) non-external _getauclassnum.c
00007ff8422a9640 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff8422a9630 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff80a75b41c (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff80a75c7ed (__TEXT,__text) external _getauditflagsbin
00007ff80a75c95c (__TEXT,__text) external _getauditflagschar
00007ff80a75c31f (__TEXT,__text) external _getauevent
00007ff8422a9928 (__DATA,__bss) non-external _getauevent.e
00007ff8422a98f0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff8422a98d0 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff80a75c24e (__TEXT,__text) external _getauevent_r
00007ff80a75c476 (__TEXT,__text) external _getauevnam
00007ff8422a99a8 (__DATA,__bss) non-external _getauevnam.e
00007ff8422a9970 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff8422a9950 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff80a75c389 (__TEXT,__text) external _getauevnam_r
00007ff80a75c6bb (__TEXT,__text) external _getauevnonam
00007ff8422a9ad0 (__DATA,__bss) non-external _getauevnonam.event
00007ff80a75c629 (__TEXT,__text) external _getauevnonam_r
00007ff8422a9aa8 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff8422a9ac8 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff8422a9a70 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff8422a9a50 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff80a75c5bd (__TEXT,__text) external _getauevnum
00007ff8422a9a28 (__DATA,__bss) non-external _getauevnum.e
00007ff8422a99f0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff8422a99d0 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff80a75c4e3 (__TEXT,__text) external _getauevnum_r
00007ff80a764958 (__TEXT,__text) external _getauuserent
00007ff8422a9c48 (__DATA,__bss) non-external _getauuserent.u
00007ff8422a9c10 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff80a7647c8 (__TEXT,__text) external _getauuserent_r
00007ff80a7647fc (__TEXT,__text) non-external _getauuserent_r_locked
00007ff80a764a3a (__TEXT,__text) external _getauusernam
00007ff8422a9c98 (__DATA,__bss) non-external _getauusernam.u
00007ff8422a9c60 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff80a7649cf (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff80a764b44 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff80a75b93e (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff8422a96b0 (__DATA,__bss) non-external _linestr
00007ff8422a97c0 (__DATA,__bss) non-external _linestr
00007ff8422a9ae0 (__DATA,__bss) non-external _linestr
00007ff8422a9cb0 (__DATA,__bss) non-external _linestr
00007ff80a7620b2 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff8422a9320 (__DATA,__data) non-external _mutex
00007ff8422a9360 (__DATA,__data) non-external _mutex
00007ff8422a93a0 (__DATA,__data) non-external _mutex
00007ff8422a93e0 (__DATA,__data) non-external _mutex
00007ff8422a9420 (__DATA,__data) non-external _mutex
00007ff8422a9460 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff8422a94b0 (__DATA,__bss) non-external _open_desc_table
00007ff80a7617dc (__TEXT,__text) non-external _print_event
00007ff80a761e11 (__TEXT,__text) non-external _print_group
00007ff80a761ba8 (__TEXT,__text) non-external _print_ip_ex_address
00007ff80a761ec1 (__TEXT,__text) non-external _print_ipctype
00007ff80a761e54 (__TEXT,__text) non-external _print_mem
00007ff80a761f28 (__TEXT,__text) non-external _print_retval
00007ff80a7618a2 (__TEXT,__text) non-external _print_sec32
00007ff80a761c52 (__TEXT,__text) non-external _print_sec64
00007ff80a761ce2 (__TEXT,__text) non-external _print_string
00007ff80a761468 (__TEXT,__text) non-external _print_tok_type
00007ff80a761dce (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80a75b7e8 (__TEXT,__text) external _setac
00007ff80a75b810 (__TEXT,__text) non-external _setac_locked
00007ff8422a97b8 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff80a75b30d (__TEXT,__text) external _setauclass
00007ff80a75c1e3 (__TEXT,__text) external _setauevent
00007ff80a76475d (__TEXT,__text) external _setauuser
00007ff80a75c0bd (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff8422a9bf0 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
