00007ffb18b8652c (__TEXT,__text) non-external _Done_iODBC
00007ffb18b89704 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffb18ba0c22 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffb18b93966 (__TEXT,__text) external _SQLGetConnectAttr
00007ffb18b93e62 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffb18b93fb4 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffb18b93ab8 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffb18b85ae8 (__TEXT,__text) external _SQLGetConnectOption
00007ffb18b85c11 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffb18b85d3a (__TEXT,__text) external _SQLGetConnectOptionW
00007ffb18b8ec42 (__TEXT,__text) external _SQLGetCursorName
00007ffb18b8ed9d (__TEXT,__text) external _SQLGetCursorNameA
00007ffb18b8eef8 (__TEXT,__text) external _SQLGetCursorNameW
00007ffb18b8ea31 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffb18b84095 (__TEXT,__text) external _SQLGetData
00007ffb18b9438a (__TEXT,__text) external _SQLGetDescField
00007ffb18b94504 (__TEXT,__text) external _SQLGetDescFieldA
00007ffb18b9467e (__TEXT,__text) external _SQLGetDescFieldW
00007ffb18b94106 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffb18b94f9f (__TEXT,__text) external _SQLGetDescRec
00007ffb18b95141 (__TEXT,__text) external _SQLGetDescRecA
00007ffb18b952e3 (__TEXT,__text) external _SQLGetDescRecW
00007ffb18b94da3 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffb18b88c94 (__TEXT,__text) external _SQLGetDiagField
00007ffb18b88d7f (__TEXT,__text) external _SQLGetDiagFieldA
00007ffb18b88e6a (__TEXT,__text) external _SQLGetDiagFieldW
00007ffb18b87b42 (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffb18b8786c (__TEXT,__text) external _SQLGetDiagRec
00007ffb18b8795e (__TEXT,__text) external _SQLGetDiagRecA
00007ffb18b87a50 (__TEXT,__text) external _SQLGetDiagRecW
00007ffb18b870e6 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffb18b91355 (__TEXT,__text) external _SQLGetEnvAttr
00007ffb18b8c73f (__TEXT,__text) external _SQLGetFunctions
00007ffb18b8c319 (__TEXT,__text) external _SQLGetInfo
00007ffb18b8c47b (__TEXT,__text) external _SQLGetInfoA
00007ffb18b8c5dd (__TEXT,__text) external _SQLGetInfoW
00007ffb18b8bc12 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffb18ba3a04 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffb18ba3a3d (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffb18ba3438 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffb18ba36a7 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffb18b91d5c (__TEXT,__text) external _SQLGetStmtAttr
00007ffb18b91ed0 (__TEXT,__text) external _SQLGetStmtAttrA
00007ffb18b92044 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffb18b91524 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffb18b8a182 (__TEXT,__text) external _SQLGetStmtOption
00007ffb18b8a2c5 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffb18b89f8a (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffb18b77b19 (__TEXT,__text) external _SQLGetTypeInfo
00007ffb18b77c44 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffb18b77d6f (__TEXT,__text) external _SQLGetTypeInfoW
00007ffb18b77980 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffb18b84423 (__TEXT,__text) external _SQLMoreResults
00007ffb18b820c8 (__TEXT,__text) external _SQLNativeSql
00007ffb18b8223f (__TEXT,__text) external _SQLNativeSqlA
00007ffb18b823b6 (__TEXT,__text) external _SQLNativeSqlW
00007ffb18b81e21 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffb18b83606 (__TEXT,__text) external _SQLNumParams
00007ffb18b8f337 (__TEXT,__text) external _SQLNumResultCols
00007ffb18b8337c (__TEXT,__text) external _SQLParamData
00007ffb18b8dde2 (__TEXT,__text) external _SQLParamOptions
00007ffb18b8cfd1 (__TEXT,__text) external _SQLPrepare
00007ffb18b8d116 (__TEXT,__text) external _SQLPrepareA
00007ffb18b8d25b (__TEXT,__text) external _SQLPrepareW
00007ffb18b8cddc (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffb18b7b624 (__TEXT,__text) external _SQLPrimaryKeys
00007ffb18b7b80f (__TEXT,__text) external _SQLPrimaryKeysA
00007ffb18b7b9fa (__TEXT,__text) external _SQLPrimaryKeysW
00007ffb18b7b3cc (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffb18b7be9c (__TEXT,__text) external _SQLProcedureColumns
00007ffb18b7c088 (__TEXT,__text) external _SQLProcedureColumnsA
00007ffb18b7c274 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffb18b7bbe5 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffb18b7c6b8 (__TEXT,__text) external _SQLProcedures
00007ffb18b7c8a3 (__TEXT,__text) external _SQLProceduresA
00007ffb18b7ca8e (__TEXT,__text) external _SQLProceduresW
00007ffb18b7c460 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffb18b830f7 (__TEXT,__text) external _SQLPutData
00007ffb18ba0394 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffb18ba04fb (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffb18b8f053 (__TEXT,__text) external _SQLRowCount
00007ffb18ba3a76 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffb18b933be (__TEXT,__text) external _SQLSetConnectAttr
00007ffb18b93700 (__TEXT,__text) external _SQLSetConnectAttrA
00007ffb18b93833 (__TEXT,__text) external _SQLSetConnectAttrW
00007ffb18b934f1 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffb18b85348 (__TEXT,__text) external _SQLSetConnectOption
00007ffb18b85471 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffb18b8559a (__TEXT,__text) external _SQLSetConnectOptionW
00007ffb18b8d553 (__TEXT,__text) external _SQLSetCursorName
00007ffb18b8d69b (__TEXT,__text) external _SQLSetCursorNameA
00007ffb18b8d7e3 (__TEXT,__text) external _SQLSetCursorNameW
00007ffb18b8d3a0 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffb18b94986 (__TEXT,__text) external _SQLSetDescField
00007ffb18b94ae5 (__TEXT,__text) external _SQLSetDescFieldA
00007ffb18b94c44 (__TEXT,__text) external _SQLSetDescFieldW
00007ffb18b947f8 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffb18b95485 (__TEXT,__text) external _SQLSetDescRec
00007ffb18b91168 (__TEXT,__text) external _SQLSetEnvAttr
00007ffb18b91282 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffb18ba3fb2 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffb18ba3fc3 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffb18b8e634 (__TEXT,__text) external _SQLSetParam
00007ffb18b8483a (__TEXT,__text) external _SQLSetPos
00007ffb18b8e102 (__TEXT,__text) external _SQLSetScrollOptions
00007ffb18b92fc8 (__TEXT,__text) external _SQLSetStmtAttr
00007ffb18b9311a (__TEXT,__text) external _SQLSetStmtAttrA
00007ffb18b9326c (__TEXT,__text) external _SQLSetStmtAttrW
00007ffb18b921b8 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffb18b89a8e (__TEXT,__text) external _SQLSetStmtOption
00007ffb18b89e47 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffb18b89bd1 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffb18b7815d (__TEXT,__text) external _SQLSpecialColumns
00007ffb18b7836b (__TEXT,__text) external _SQLSpecialColumnsA
00007ffb18b78579 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffb18b77e9a (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffb18b78a36 (__TEXT,__text) external _SQLStatistics
00007ffb18b78c28 (__TEXT,__text) external _SQLStatisticsA
00007ffb18b78e1a (__TEXT,__text) external _SQLStatisticsW
00007ffb18b78787 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffb18b7ced1 (__TEXT,__text) external _SQLTablePrivileges
00007ffb18b7d0bc (__TEXT,__text) external _SQLTablePrivilegesA
00007ffb18b7d2a7 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffb18b7cc79 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffb18b792c3 (__TEXT,__text) external _SQLTables
00007ffb18b794af (__TEXT,__text) external _SQLTablesA
00007ffb18b7969b (__TEXT,__text) external _SQLTablesW
00007ffb18b7900c (__TEXT,__text) non-external _SQLTables_Internal
00007ffb18b8615b (__TEXT,__text) external _SQLTransact
00007ffb18b85e63 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffb18ba0d0d (__TEXT,__text) non-external _SQLValidDSN
00007ffb18ba0d70 (__TEXT,__text) non-external _SQLValidDSNW
00007ffb18ba0136 (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffb18ba01e1 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffb18ba3bd7 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffb18ba3dff (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffb18b8ae9d (__TEXT,__text) non-external _SectSorter
00007ffb18ba0c6f (__TEXT,__text) non-external _ValidDSN
00007ffb18ba0cc1 (__TEXT,__text) non-external _ValidDSNW
00007ffb18ba3acd (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffb18b82610 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb18b82630 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb18ba1dfb (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffb4302f550 (__DATA,__common) non-external __iodbc_env_counter
00007ffb18ba0737 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffb18b8a8bc (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffb18b8a98d (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffb18b83d95 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffb18b896b1 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffb18b856c3 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffb18b8f216 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffb18b89911 (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffb18b84cc4 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffb18b7d6fb (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffb18b846dc (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffb18b8a942 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffb18b8a62b (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffb4302f558 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffb18b8aa5a (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffb18b77a7e (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffb18b77ad1 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffb18ba24d2 (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffb18ba177d (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffb18ba1f7e (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffb18ba1c2a (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffb18ba16d1 (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffb18b8cc0b (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffb18ba2785 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffb18ba1ec9 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffb18b8cc82 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffb18b8cb10 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffb18ba17ae (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffb18ba1ea3 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffb18ba27b7 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffb18ba1cf7 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffb18b8ccd0 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffb18ba207d (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffb18ba0980 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffb18b80966 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffb18b8a6d9 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffb18b8a7ce (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffb18b80a90 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffb18b82758 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffb18b827a0 (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffb18b826b0 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffb18b826a6 (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffb18b827d0 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffb18b7d916 (__TEXT,__text) non-external __iodbcdm_driverload
00007ffb18b7e0d9 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffb18b895bc (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffb18b7d4f2 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffb18b86534 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffb18b8252d (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffb18ba0a24 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffb18b8265a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffb4302f4f8 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffb18ba2998 (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffb18ba28da (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffb18b8f4b9 (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffb18b8f45d (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffb18b7d4a0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffb18ba3fd5 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffb18b80570 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffb18b80c6f (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffb18b7d5cc (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffb18b80bce (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffb18b86557 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffb18ba09cb (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffb18b827aa (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffb18b865ba (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffb18ba0ba8 (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffb18ba0b54 (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffb18b85f45 (__TEXT,__text) non-external __iodbcdm_transact
00007ffb4099cc90 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffb4099d930 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffb4099d9e0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffb4099cd50 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffb4099cdf0 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffb4099d490 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffb4099d4d0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffb4099d1a0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffb4099d520 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffb4099d540 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffb4099d560 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffb4099d250 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffb4099d590 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffb4099d5b0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffb4099cc60 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffb4099cc70 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffb4099d170 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffb4099d5e0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffb4099d630 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffb4099d650 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffb4099d660 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffb4099d6b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffb4099d6d0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffb4099d750 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffb4099d760 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffb4099d790 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffb4099d7b0 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffb4099d830 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffb4099d870 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffb4099d880 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffb4099d890 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffb4099d8a0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffb4099d8c0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffb4099d8e0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffb4099d900 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffb4099d910 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffb4099d850 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffb4099cda0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffb4099d2e0 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffb4099d290 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffb4099d2c0 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffb4099da70 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffb4099da90 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffb4099db50 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffb4099d300 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffb4099d190 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffb4099d320 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffb4099ce20 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffb4099cef0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffb4099db70 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffb4099cf10 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffb4099cf20 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffb4099d340 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffb4099db90 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
