00007ffa42c26ae0 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa0fe476ff (__TEXT,__text) external __newrpclib_xdr_long
00007ffa0fe48021 (__TEXT,__text) external __newrpclib_xdr_longlong_t
00007ffa0fe4a9c6 (__TEXT,__text) external __newrpclib_xdr_netbuf
00007ffa0fe47d10 (__TEXT,__text) external __newrpclib_xdr_netobj
00007ffa0fe47a8e (__TEXT,__text) external __newrpclib_xdr_opaque
00007ffa42c26af0 (__DATA,__bss) non-external __newrpclib_xdr_opaque.crud
00007ffa0fe417b4 (__TEXT,__text) external __newrpclib_xdr_opaque_auth
00007ffa0fe4930c (__TEXT,__text) external __newrpclib_xdr_pmap
00007ffa0fe494db (__TEXT,__text) external __newrpclib_xdr_pmap_call_args
00007ffa0fe49546 (__TEXT,__text) external __newrpclib_xdr_pmap_call_result
00007ffa0fe4938e (__TEXT,__text) external __newrpclib_xdr_pmaplist
00007ffa0fe4936e (__TEXT,__text) external __newrpclib_xdr_pmaplist_ptr
00007ffa0fe472ac (__TEXT,__text) external __newrpclib_xdr_pointer
00007ffa0fe471f6 (__TEXT,__text) external __newrpclib_xdr_reference
00007ffa0fe4fef2 (__TEXT,__text) non-external __newrpclib_xdr_reference.cold.1
00007ffa0fe417fc (__TEXT,__text) external __newrpclib_xdr_replymsg
00007ffa0fe4023b (__TEXT,__text) external __newrpclib_xdr_rmtcall_args
00007ffa0fe40319 (__TEXT,__text) external __newrpclib_xdr_rmtcallres
00007ffa0fe49f65 (__TEXT,__text) external __newrpclib_xdr_rp__list
00007ffa0fe49ee4 (__TEXT,__text) external __newrpclib_xdr_rpcb
00007ffa0fe4a182 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry
00007ffa0fe4a208 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list
00007ffa0fe4a355 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list_ptr
00007ffa0fe4a0d2 (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallargs
00007ffa0fe4a13d (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallres
00007ffa0fe4a906 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat
00007ffa0fe4a9a1 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat_byvers
00007ffa0fe4a0b2 (__TEXT,__text) external __newrpclib_xdr_rpcblist_ptr
00007ffa0fe4a375 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist
00007ffa0fe4a8c6 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist_ptr
00007ffa0fe4a8a1 (__TEXT,__text) external __newrpclib_xdr_rpcbs_proc
00007ffa0fe4a5cf (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist
00007ffa0fe4a8e6 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist_ptr
00007ffa0fe47827 (__TEXT,__text) external __newrpclib_xdr_short
00007ffa0fe47316 (__TEXT,__text) external __newrpclib_xdr_sizeof
00007ffa0fe47da6 (__TEXT,__text) external __newrpclib_xdr_string
00007ffa0fe500fc (__TEXT,__text) non-external __newrpclib_xdr_string.cold.1
00007ffa0fe479e7 (__TEXT,__text) external __newrpclib_xdr_u_char
00007ffa0fe48017 (__TEXT,__text) external __newrpclib_xdr_u_hyper
00007ffa0fe4769e (__TEXT,__text) external __newrpclib_xdr_u_int
00007ffa0fe47732 (__TEXT,__text) external __newrpclib_xdr_u_long
00007ffa0fe4802b (__TEXT,__text) external __newrpclib_xdr_u_longlong_t
00007ffa0fe4788b (__TEXT,__text) external __newrpclib_xdr_u_short
00007ffa0fe47953 (__TEXT,__text) external __newrpclib_xdr_uint16_t
00007ffa0fe477c6 (__TEXT,__text) external __newrpclib_xdr_uint32_t
00007ffa0fe47f62 (__TEXT,__text) external __newrpclib_xdr_uint64_t
00007ffa0fe47d26 (__TEXT,__text) external __newrpclib_xdr_union
00007ffa0fe462d9 (__TEXT,__text) external __newrpclib_xdr_vector
00007ffa0fe47632 (__TEXT,__text) external __newrpclib_xdr_void
00007ffa0fe47ea8 (__TEXT,__text) external __newrpclib_xdr_wrapstring
00007ffa0fe46419 (__TEXT,__text) external __newrpclib_xdrmem_create
00007ffa0fe46985 (__TEXT,__text) external __newrpclib_xdrrec_create
00007ffa0fe4fce8 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.1
00007ffa0fe4fd96 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.2
00007ffa0fe4fe44 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.3
00007ffa0fe46f0f (__TEXT,__text) external __newrpclib_xdrrec_endofrecord
00007ffa0fe46eb3 (__TEXT,__text) external __newrpclib_xdrrec_eof
00007ffa0fe46c66 (__TEXT,__text) external __newrpclib_xdrrec_skiprecord
00007ffa0fe474b8 (__TEXT,__text) external __newrpclib_xdrstdio_create
00007ffa0fe44b62 (__TEXT,__text) external __newrpclib_xprt_register
00007ffa0fe44dab (__TEXT,__text) external __newrpclib_xprt_unregister
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
00007ffa0fe41d79 (__TEXT,__text) non-external (was a private external) __svcauth_null
00007ffa0fe41c1b (__TEXT,__text) non-external (was a private external) __svcauth_short
00007ffa0fe41a91 (__TEXT,__text) non-external (was a private external) __svcauth_unix
                 (undefined) external _abort (from libSystem)
                 (undefined) external _accept (from libSystem)
00007ffa0fe42275 (__TEXT,__text) non-external (was a private external) _add_working_xprt
00007ffa0fe4cc3d (__TEXT,__text) non-external _add_working_xprt.cold.1
00007ffa0fe4ccc6 (__TEXT,__text) non-external _add_working_xprt.cold.2
                 (undefined) external _asprintf (from libSystem)
00007ffa40ad27b0 (__DATA_CONST,__const) non-external _auth_errlist
00007ffa42c26548 (__DATA,__data) non-external _auth_unix_ops
00007ffa0fe3bf04 (__TEXT,__text) non-external _authnone_destroy
00007ffa0fe3bdf3 (__TEXT,__text) non-external _authnone_init
00007ffa0fe3bec5 (__TEXT,__text) non-external _authnone_marshal
00007ffa42c26510 (__DATA,__data) non-external _authnone_once_init
00007ffa42c26a98 (__DATA,__bss) non-external _authnone_private
00007ffa0fe3befc (__TEXT,__text) non-external _authnone_refresh
00007ffa0fe3bef1 (__TEXT,__text) non-external _authnone_validate
00007ffa0fe3bebf (__TEXT,__text) non-external _authnone_verf
00007ffa0fe3c5cc (__TEXT,__text) non-external _authunix_destroy
00007ffa0fe3c3c5 (__TEXT,__text) non-external _authunix_marshal
00007ffa0fe3c3bf (__TEXT,__text) non-external _authunix_nextverf
00007ffa0fe3c4a9 (__TEXT,__text) non-external _authunix_refresh
00007ffa0fe3c3e8 (__TEXT,__text) non-external _authunix_validate
00007ffa42c26648 (__DATA,__data) non-external _bcast
                 (undefined) external _bcmp (from libSystem)
                 (undefined) external _bind (from libSystem)
                 (undefined) external _bindresvport_sa (from libSystem)
00007ffa42c26aa8 (__DATA,__bss) non-external _buf
00007ffa0fe3dd70 (__TEXT,__text) non-external _bufdestroy
00007ffa0fe406d4 (__TEXT,__text) non-external _build_callit_rpc
00007ffa42c269d0 (__DATA,__data) non-external _cache_control_init
00007ffa0fe490f0 (__TEXT,__text) non-external _cache_init
00007ffa0fe5025a (__TEXT,__text) non-external _cache_init.cold.1
00007ffa42c26b30 (__DATA,__bss) non-external _cache_rwlock
                 (undefined) external _calloc (from libSystem)
00007ffa42c26a90 (__DATA,__bss) non-external _callrpc_private
00007ffa0fe3ec0e (__TEXT,__text) non-external _check_raddr
                 (undefined) external _chmod (from libSystem)
00007ffa42c26598 (__DATA,__data) non-external _client_ops
00007ffa0fe3c95d (__TEXT,__text) external _clnt_auth_set
00007ffa42c26588 (__DATA,__data) non-external _clnt_perror_once
00007ffa0fe3d76a (__TEXT,__text) non-external _clnt_sperror_r
00007ffa0fe3e0a6 (__TEXT,__text) non-external _clntraw_abort
00007ffa0fe3dea4 (__TEXT,__text) non-external _clntraw_call
00007ffa0fe3e0e3 (__TEXT,__text) non-external _clntraw_control
00007ffa0fe3e0dd (__TEXT,__text) non-external _clntraw_destroy
00007ffa0fe3e0b2 (__TEXT,__text) non-external _clntraw_freeres
00007ffa0fe3e0ac (__TEXT,__text) non-external _clntraw_geterr
00007ffa42c26ab0 (__DATA,__bss) non-external _clntraw_private
00007ffa0fe3f21b (__TEXT,__text) non-external _clntstrm_abort
00007ffa0fe3eeec (__TEXT,__text) non-external _clntstrm_call
00007ffa0fe3f2b1 (__TEXT,__text) non-external _clntstrm_control
00007ffa0fe3e0eb (__TEXT,__text) external _clntstrm_create_timeout
00007ffa0fe4c1ca (__TEXT,__text) non-external _clntstrm_create_timeout.cold.1
00007ffa0fe4c265 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.2
00007ffa0fe4c2fd (__TEXT,__text) non-external _clntstrm_create_timeout.cold.3
00007ffa0fe4c39b (__TEXT,__text) non-external _clntstrm_create_timeout.cold.4
00007ffa0fe4c433 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.5
00007ffa0fe4c4ce (__TEXT,__text) non-external _clntstrm_create_timeout.cold.6
00007ffa0fe4c57c (__TEXT,__text) non-external _clntstrm_create_timeout.cold.7
00007ffa0fe3f260 (__TEXT,__text) non-external _clntstrm_destroy
00007ffa0fe3f23e (__TEXT,__text) non-external _clntstrm_freeres
00007ffa0fe3f221 (__TEXT,__text) non-external _clntstrm_geterr
00007ffa0fe3ec3f (__TEXT,__text) external _clntticots_create
00007ffa0fe4c6ab (__TEXT,__text) non-external _clntticots_create.cold.1
00007ffa0fe3eee2 (__TEXT,__text) external _clntticots_create_timeout
00007ffa0fe3eb90 (__TEXT,__text) external _clntticotsord_create
00007ffa0fe4c610 (__TEXT,__text) non-external _clntticotsord_create.cold.1
00007ffa0fe3ee5d (__TEXT,__text) external _clntticotsord_create_timeout
00007ffa0fe4c917 (__TEXT,__text) non-external _clntticotsord_create_timeout.cold.1
00007ffa0fe3fcef (__TEXT,__text) non-external _clntudp_abort
00007ffa0fe3f80e (__TEXT,__text) non-external _clntudp_call
00007ffa0fe3fd7c (__TEXT,__text) non-external _clntudp_control
00007ffa0fe3fd34 (__TEXT,__text) non-external _clntudp_destroy
00007ffa0fe3fd12 (__TEXT,__text) non-external _clntudp_freeres
00007ffa0fe3fcf5 (__TEXT,__text) non-external _clntudp_geterr
                 (undefined) external _close (from libSystem)
00007ffa0fe491d4 (__TEXT,__text) non-external _compare_sa
00007ffa0fe506f0 (__TEXT,__const) non-external _compare_sa.allones
00007ffa42c26c00 (__DATA,__common) non-external (was a private external) _conncount
                 (undefined) external _connect (from libSystem)
00007ffa42c269b8 (__DATA,__data) non-external _create_key_init
00007ffa0fe45244 (__TEXT,__text) non-external _create_svc_req_key
00007ffa0fe480f0 (__TEXT,__text) non-external (was a private external) _cvt4to6
00007ffa0fe480a0 (__TEXT,__text) non-external (was a private external) _cvt6to4
00007ffa0fe506d0 (__TEXT,__const) non-external _default_tottimeout
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ffa0fe4719b (__TEXT,__text) non-external _fill_input_buf
00007ffa0fe46f68 (__TEXT,__text) non-external _flush_out
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffa0fe3d566 (__TEXT,__text) non-external _free_interface_list
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freehostent (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
00007ffa0fe48efa (__TEXT,__text) external _freenetconfigent
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ffa0fe4707e (__TEXT,__text) non-external _get_input_bytes
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getgroups (from libSystem)
00007ffa0fe48127 (__TEXT,__text) non-external (was a private external) _gethostaddr
                 (undefined) external _gethostbyname (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getipnodebyname (from libSystem)
00007ffa0fe48f31 (__TEXT,__text) external _getnetconfigent
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid_r (from libSystem)
00007ffa0fe4acb3 (__TEXT,__text) non-external _getrpcbind_handle
                 (undefined) external _getsockname (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
00007ffa0fe4b046 (__TEXT,__text) non-external _handle_callerror
00007ffa0fe474b0 (__TEXT,__text) non-external _harmless
