00000001e1a09830 (__DATA,__data) non-external _.compoundliteral
00000001c2569788 (__TEXT,__text) non-external (was a private external) _FlattenIf
00000001c25695dc (__TEXT,__text) non-external (was a private external) _FlattenIfs
00000001c250b900 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00000001c250bcb4 (__TEXT,__text) non-external (was a private external) _FreeCPP
00000001c250e5c0 (__TEXT,__text) non-external (was a private external) _FreeScanner
00000001c24429b4 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00000001c2447928 (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00000001e8678fc8 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00000001c258ee5c (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00000001ec43df70 (__AUTH,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00000001c258e6b0 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00000001e867b008 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00000001c258ee6c (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00000001c258e660 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00000001c250b540 (__TEXT,__text) non-external (was a private external) _GetAtomString
00000001c256b3dc (__TEXT,__text) non-external _GetOpRegs
00000001c2569370 (__TEXT,__text) non-external _GetOrAddBlock
00000001c256e3b8 (__TEXT,__text) non-external _GetRegChunk
00000001c2567ba0 (__TEXT,__text) non-external _GetRegister
00000001c256fd70 (__TEXT,__text) non-external _GetRegisterIndicies
00000001c256a4dc (__TEXT,__text) non-external _GetRegisterTypeInfo
00000001c250b5b4 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00000001c2571c18 (__TEXT,__text) non-external _GetStreamArray
00000001c250b8ec (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00000001c250b73c (__TEXT,__text) non-external _GrowAtomTable
00000001e1a097a8 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00000001c2565978 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00000001c25658f8 (__TEXT,__text) non-external (was a private external) _HashSetFree
00000001c2565a8c (__TEXT,__text) non-external (was a private external) _HashSetGet
00000001c2565bec (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00000001c2565be4 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00000001c2565844 (__TEXT,__text) non-external (was a private external) _HashSetNew
00000001c2565b30 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00000001c2565d6c (__TEXT,__text) non-external (was a private external) _HashTableAdd
00000001c2565cc4 (__TEXT,__text) non-external (was a private external) _HashTableFree
00000001c2565ed4 (__TEXT,__text) non-external (was a private external) _HashTableGet
00000001c2565c68 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00000001c250b5dc (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000001c250bae0 (__TEXT,__text) non-external (was a private external) _InitCPP
00000001c24f3238 (__TEXT,__text) non-external (was a private external) _InitReg
00000001c250e56c (__TEXT,__text) non-external (was a private external) _InitScanner
00000001c25680c0 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00000001c2568948 (__TEXT,__text) non-external (was a private external) _InstructionFree
00000001c25681ac (__TEXT,__text) non-external _InstructionInitSourcesTargets
00000001c256b514 (__TEXT,__text) non-external _IsBadUsage
00000001c24f4794 (__TEXT,__text) non-external (was a private external) _Load
00000001c250b2c4 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00000001c250b3a0 (__TEXT,__text) non-external _LookUpAddStringHash
00000001c25106b0 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000001c2510724 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000001c250d538 (__TEXT,__text) non-external (was a private external) _MacroExpand
00000001c2511054 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000001c2510504 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000001c2510780 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00000001e86775b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00000001e8677250 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00000001e86777d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00000001e8677910 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00000001e8677410 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00000001e8677510 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00000001e8677a10 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00000001e8677580 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001c243e394 (__TEXT,__text) external _PPParserAttachLLVMIR
00000001c243e0f8 (__TEXT,__text) external _PPParserAttachStream
00000001c243df40 (__TEXT,__text) external _PPParserAttachString
00000001c2446b70 (__TEXT,__text) external _PPParserBuildErrorString
00000001c243de64 (__TEXT,__text) external _PPParserCreate
00000001c243ead0 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001c2445820 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001c243e014 (__TEXT,__text) external _PPParserFree
00000001c243e7ac (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001c2447910 (__TEXT,__text) external _PPParserGetErrorString
00000001c2447920 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001c243eb24 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001c24478ec (__TEXT,__text) external _PPParserGetLimits
00000001c2447908 (__TEXT,__text) external _PPParserGetOptions
00000001c243e8b8 (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001c243ebcc (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001c2447918 (__TEXT,__text) external _PPParserGetStream
00000001c243ccc0 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001c243cd00 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001c243cdd0 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001c243cd54 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001c2446c6c (__TEXT,__text) non-external _PPParserInherit
00000001c243debc (__TEXT,__text) external _PPParserInit
00000001c2447a3c (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001c243e090 (__TEXT,__text) non-external _PPParserLabelsFree
00000001c243c8e4 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001c243c90c (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001c243ca94 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001c243cb80 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001c243ca20 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001c243c9e0 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001c243cb14 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001c24479d0 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001c2445bc4 (__TEXT,__text) external _PPParserParse
00000001c243fa4c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001c2443798 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001c2444ae0 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001c244565c (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001c243f4b4 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001c2441f0c (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001c24429f0 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001c243f39c (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001c2443910 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001c243f584 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001c2443c94 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001c244326c (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001c2447840 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001c243f7c8 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001c2443644 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001c24453d0 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001c2444bac (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001c2446dc0 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001c243ecdc (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001c2442b28 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001c244313c (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001c2440388 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001c2441d88 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001c243f688 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001c2443420 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001c2444000 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001c2446e9c (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001c24444b8 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001c2444324 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001c24401b0 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001c24447cc (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001c2446cb8 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001c243cff8 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001c243df0c (__TEXT,__text) non-external (was a private external) _PPParserRemoveScope
00000001c243e838 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001c243ea4c (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001c243dcb0 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001c243ce10 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001c243dc08 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001c243ddd4 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001c243de1c (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001c243dd0c (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001c243dd6c (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveIdentifier
00000001c243dda0 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveMacro
00000001c24478f4 (__TEXT,__text) external _PPParserSetLimits
00000001c24478e4 (__TEXT,__text) external _PPParserSetPrefs
00000001c243dec0 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001c243fbbc (__TEXT,__text) non-external _PPParserValidateName
00000001c255e738 (__TEXT,__text) external _PPStreamAddAddressUsage
00000001c255e8ac (__TEXT,__text) external _PPStreamAddAttribBinding
00000001c255ee1c (__TEXT,__text) external _PPStreamAddConstant
00000001c255ed18 (__TEXT,__text) external _PPStreamAddLabel
00000001c255ea20 (__TEXT,__text) external _PPStreamAddOperation
00000001c255ef14 (__TEXT,__text) external _PPStreamAddOption
00000001c255e928 (__TEXT,__text) external _PPStreamAddOutputBinding
00000001c255e7b4 (__TEXT,__text) external _PPStreamAddParamBinding
00000001c255e830 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001c255ee98 (__TEXT,__text) external _PPStreamAddRasterOp
00000001c255e474 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001c255e4e8 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001c255e640 (__TEXT,__text) external _PPStreamAddTempUsage
00000001c255e6bc (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001c255e9a4 (__TEXT,__text) external _PPStreamAddTexImage
00000001c255f9e8 (__TEXT,__text) external _PPStreamAttachStream
00000001c255da54 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001c256020c (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001c255db74 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001c255e618 (__TEXT,__text) non-external _PPStreamChunkCreate
00000001c255da7c (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001c255ddf0 (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001c255e14c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001c255e204 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001c255dc70 (__TEXT,__text) external _PPStreamChunkListCreate
00000001c255dc98 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001c255de28 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001c255e26c (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001c255e050 (__TEXT,__text) external _PPStreamChunkListGetStream
00000001c255def8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001c255de88 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001c255df5c (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001c255dfb8 (__TEXT,__text) external _PPStreamChunkListSort
00000001c25600e0 (__TEXT,__text) external _PPStreamCompare
00000001c255e39c (__TEXT,__text) external _PPStreamCreate
00000001c255e56c (__TEXT,__text) external _PPStreamFree
00000001c255ef90 (__TEXT,__text) external _PPStreamGetStream
00000001c255f9b8 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001c255ec14 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001c255eb08 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001c255da68 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001c25602c0 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001c255da40 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001c255edc4 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001c2560944 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001c2560824 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001c2449088 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001c2449c24 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001c255f8b0 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001c255f2d8 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001c2449dbc (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001c2449d24 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001c255f994 (__TEXT,__text) external _PPStreamTokenAlloc
00000001c244a120 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001c244a534 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001c244a350 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001c244a474 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001c255f9b4 (__TEXT,__text) external _PPStreamTokenFree
00000001c2449048 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001c2448fe4 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001c258d938 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001c258d9f8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001c258dac8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00000001e8677dd8 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001c244a5f4 (__TEXT,__text) external _PPStreamTokenValidateOptions
00000001e8678af0 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001c258e9dc (__TEXT,__const) non-external _PROMOTIONS_110
00000001c258e9e0 (__TEXT,__const) non-external _PROMOTIONS_120
00000001c258ea18 (__TEXT,__const) non-external _PROMOTIONS_400
00000001c258e9f0 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001c256958c (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001c2569504 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001c2511110 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001c2510a54 (__TEXT,__text) non-external (was a private external) _ReadToken
00000001c25716c8 (__TEXT,__text) non-external _RecordFunctionCall
00000001c25108e0 (__TEXT,__text) non-external (was a private external) _RecordToken
00000001c2567fe0 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001c2567f20 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001c256674c (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001c25666c0 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001c2568b94 (__TEXT,__text) non-external (was a private external) _Registerify
00000001c2567c4c (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001c2568d44 (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001c2568b34 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001c2566420 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001c25667b4 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001c2566844 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001c256de4c (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001c2447988 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001c2510a40 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001c250f80c (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001c250fa10 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001c250e61c (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001c250fc08 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001c24f46c8 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001c25019d0 (__TEXT,__text) external _ShAttributeBindingRequest
00000001c2501920 (__TEXT,__text) external _ShCleanup
00000001c25013c4 (__TEXT,__text) external _ShCompile
00000001c2500fec (__TEXT,__text) external _ShConstructCompiler
00000001c2501078 (__TEXT,__text) external _ShConstructLinker
00000001c2501138 (__TEXT,__text) external _ShDestruct
00000001c25013bc (__TEXT,__text) external _ShFinalize
00000001c2502aa4 (__TEXT,__text) external _ShFragDataBindingRequest
00000001c25021d4 (__TEXT,__text) external _ShGetActiveAttrib
00000001c2501e94 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001c2501e7c (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001c2501e40 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001c2503a84 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001c2504028 (__TEXT,__text) external _ShGetActiveSubroutineName
00000001c2503f74 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001c2503e40 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001c25038dc (__TEXT,__text) external _ShGetActiveUniform
00000001c25031b0 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001c2502f74 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001c25033e8 (__TEXT,__text) external _ShGetActiveUniformIndex
00000001c2503624 (__TEXT,__text) external _ShGetActiveUniformName
00000001c2502354 (__TEXT,__text) external _ShGetAttribLocation
00000001c25020d8 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001c25040d4 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001c25040ec (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001c2502404 (__TEXT,__text) external _ShGetContextStateUniforms
00000001c2502c28 (__TEXT,__text) external _ShGetFragDataLocation
00000001c2501930 (__TEXT,__text) external _ShGetInfoLog
00000001c2504104 (__TEXT,__text) external _ShGetInteger
00000001c25026c4 (__TEXT,__text) external _ShGetLinkerPPStream
00000001c2503b80 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001c2503be4 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001c2502e34 (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001c25037f8 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001c2502150 (__TEXT,__text) external _ShGetMaxAttributeLength
00000001c250299c (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001c2501b50 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001c2503360 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001c2503b70 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001c2503ae8 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00000001c2503ac4 (__TEXT,__text) external _ShGetNumActiveSubroutines
00000001c2502d7c (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00000001c250371c (__TEXT,__text) external _ShGetNumActiveUniforms
00000001c2502a94 (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00000001c2501e58 (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00000001c25026a4 (__TEXT,__text) external _ShGetPPStreamManager
00000001c25026b4 (__TEXT,__text) external _ShGetShaderByteCode
00000001c2503d90 (__TEXT,__text) external _ShGetSubroutineIndex
00000001c2503c68 (__TEXT,__text) external _ShGetSubroutineUniformLocation
00000001c2502a00 (__TEXT,__text) external _ShGetTransformFeedbackVarying
00000001c2502ec0 (__TEXT,__text) external _ShGetUniformBlockIndex
00000001c250326c (__TEXT,__text) external _ShGetUniformIndex
00000001c2502414 (__TEXT,__text) external _ShGetUniformLocation
00000001c2502148 (__TEXT,__text) external _ShGetUniformPartitionInfo
00000001c2500fb8 (__TEXT,__text) external _ShInitialize
