00007ff812dc8a6d (__TEXT,__text) external _CCAESCmac
00007ff812dcafc3 (__TEXT,__text) external _CCECCryptorH2C
00007ff812dcaa8c (__TEXT,__text) external _CCECCryptorImportKey
00007ff812dcaa75 (__TEXT,__text) external _CCECCryptorImportPublicKey
00007ff812dcaa6b (__TEXT,__text) external _CCECCryptorRelease
00007ff812dcad54 (__TEXT,__text) external _CCECCryptorSignHash
00007ff812dcaeb6 (__TEXT,__text) external _CCECCryptorTwinDiversifyEntropySize
00007ff812dcaeca (__TEXT,__text) external _CCECCryptorTwinDiversifyKey
00007ff812dcb19e (__TEXT,__text) external _CCECCryptorUnblind
00007ff812dcae47 (__TEXT,__text) external _CCECCryptorUnwrapKey
00007ff812dcadce (__TEXT,__text) external _CCECCryptorVerifyHash
00007ff812dcae3c (__TEXT,__text) external _CCECCryptorWrapKey
00007ff812dcaa56 (__TEXT,__text) external _CCECGetKeySize
00007ff812dcaa36 (__TEXT,__text) external _CCECGetKeyType
00007ff812dc806b (__TEXT,__text) external _CCHKDFExpand
00007ff812dc7fe0 (__TEXT,__text) external _CCHKDFExtract
00007ff812dc4133 (__TEXT,__text) external _CCHmac
00007ff812dcb6c1 (__TEXT,__text) external _CCHmacClone
00007ff812dcb600 (__TEXT,__text) external _CCHmacCreate
00007ff812dcb5c6 (__TEXT,__text) external _CCHmacDestroy
00007ff812dc76cb (__TEXT,__text) external _CCHmacFinal
00007ff812dc762f (__TEXT,__text) external _CCHmacInit
00007ff812dcb67a (__TEXT,__text) external _CCHmacOneShot
00007ff812dcb5f6 (__TEXT,__text) external _CCHmacOutputSize
00007ff812dcb5ea (__TEXT,__text) external _CCHmacOutputSizeFromRef
00007ff812dc76b4 (__TEXT,__text) external _CCHmacUpdate
00007ff812dc7c6a (__TEXT,__text) external _CCKDFParametersCreateAnsiX963
00007ff812dc7aec (__TEXT,__text) external _CCKDFParametersCreateCtrHmac
00007ff812dc7b78 (__TEXT,__text) external _CCKDFParametersCreateCtrHmacFixed
00007ff812dc7bde (__TEXT,__text) external _CCKDFParametersCreateHkdf
00007ff812dc7a7c (__TEXT,__text) external _CCKDFParametersCreatePbkdf2
00007ff812dc7cd0 (__TEXT,__text) external _CCKDFParametersDestroy
00007ff812dc7cf4 (__TEXT,__text) external _CCKeyDerivationHMac
00007ff812dc7772 (__TEXT,__text) external _CCKeyDerivationPBKDF
00007ff812dcc0c9 (__TEXT,__text) external _CCRSACryptorCreateFromData
00007ff812dcbc63 (__TEXT,__text) external _CCRSACryptorCreatePublicKeyFromPrivateKey
00007ff812dcda7e (__TEXT,__text) external _CCRSACryptorCrypt
00007ff812dcc010 (__TEXT,__text) external _CCRSACryptorDecrypt
00007ff812dcbf30 (__TEXT,__text) external _CCRSACryptorEncrypt
00007ff812dcbe7e (__TEXT,__text) external _CCRSACryptorExport
00007ff812dcd943 (__TEXT,__text) external _CCRSACryptorGeneratePair
00007ff812dcbd20 (__TEXT,__text) external _CCRSACryptorGetPublicKeyFromPrivateKey
00007ff812dcbd5e (__TEXT,__text) external _CCRSACryptorImport
00007ff812dcc2c9 (__TEXT,__text) external _CCRSACryptorRecoverPrivateKey
00007ff812dcbd16 (__TEXT,__text) external _CCRSACryptorRelease
00007ff812dcc5d9 (__TEXT,__text) external _CCRSACryptorSign
00007ff812dcc704 (__TEXT,__text) external _CCRSACryptorVerify
00007ff812dcdbbc (__TEXT,__text) external _CCRSAGetCRTComponents
00007ff812dcc455 (__TEXT,__text) external _CCRSAGetCRTComponentsSizes
00007ff812dcc3d3 (__TEXT,__text) external _CCRSAGetKeyComponents
00007ff812dcbd4a (__TEXT,__text) external _CCRSAGetKeySize
00007ff812dcbd2a (__TEXT,__text) external _CCRSAGetKeyType
                 (undefined) external _CCRSA_PKCS1_FAULT_CANARY (from libcorecrypto)
                 (undefined) external _CCRSA_PSS_FAULT_CANARY (from libcorecrypto)
00007ff812dc5708 (__TEXT,__text) external _CCRandomCopyBytes
00007ff812dc5718 (__TEXT,__text) external _CCRandomGenerateBytes
00007ff812dcbbc0 (__TEXT,__text) external _CCRandomUniform
00007ff812dcde3f (__TEXT,__text) external _CCSymmetricKeyUnwrap
00007ff812dcc860 (__TEXT,__text) external _CCSymmetricKeyWrap
00007ff812dcc9c3 (__TEXT,__text) external _CCSymmetricUnwrappedSize
00007ff812dcc9b6 (__TEXT,__text) external _CCSymmetricWrappedSize
00007ff812dc76fb (__TEXT,__text) external _CC_MD2
00007ff812dca406 (__TEXT,__text) external _CC_MD2_Final
00007ff812dca271 (__TEXT,__text) external _CC_MD2_Init
00007ff812dca31e (__TEXT,__text) external _CC_MD2_Update
00007ff812dca19f (__TEXT,__text) external _CC_MD4
00007ff812dc751d (__TEXT,__text) external _CC_MD4_Final
00007ff812dc733b (__TEXT,__text) external _CC_MD4_Init
00007ff812dc73fe (__TEXT,__text) external _CC_MD4_Update
00007ff812dc4103 (__TEXT,__text) external _CC_MD5
00007ff812dc3f51 (__TEXT,__text) external _CC_MD5_Final
00007ff812dc398f (__TEXT,__text) external _CC_MD5_Init
00007ff812dc3e32 (__TEXT,__text) external _CC_MD5_Update
00007ff812dc4067 (__TEXT,__text) external _CC_SHA1
00007ff812dc4625 (__TEXT,__text) external _CC_SHA1_Final
00007ff812dc4443 (__TEXT,__text) external _CC_SHA1_Init
00007ff812dc4506 (__TEXT,__text) external _CC_SHA1_Update
00007ff812dca1d7 (__TEXT,__text) external _CC_SHA224
00007ff812dca567 (__TEXT,__text) external _CC_SHA224_Final
00007ff812dca4f7 (__TEXT,__text) external _CC_SHA224_Init
00007ff812dca557 (__TEXT,__text) external _CC_SHA224_Update
00007ff812dc4737 (__TEXT,__text) external _CC_SHA256
00007ff812dc432b (__TEXT,__text) external _CC_SHA256_Final
00007ff812dc41aa (__TEXT,__text) external _CC_SHA256_Init
00007ff812dc420a (__TEXT,__text) external _CC_SHA256_Update
00007ff812dca207 (__TEXT,__text) external _CC_SHA384
00007ff812dca631 (__TEXT,__text) external _CC_SHA384_Final
00007ff812dca5c2 (__TEXT,__text) external _CC_SHA384_Init
00007ff812dca621 (__TEXT,__text) external _CC_SHA384_Update
00007ff812dca237 (__TEXT,__text) external _CC_SHA512
00007ff812dc6437 (__TEXT,__text) external _CC_SHA512_Final
00007ff812dc636c (__TEXT,__text) external _CC_SHA512_Init
00007ff812dc63cc (__TEXT,__text) external _CC_SHA512_Update
00007ff8416bbd10 (__DATA_CONST,__const) non-external (was a private external) _CC_adler32
00007ff8416bbfd0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16
00007ff8416bbd50 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_a
00007ff8416bbd90 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_b
00007ff8416bbdd0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_ccitt_false
00007ff8416bbe10 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_ccitt_true
00007ff8416bbe50 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_dect_r
00007ff8416bbe90 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_dect_x
00007ff8416bbed0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_icode
00007ff8416bbf10 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_usb
00007ff8416bbf50 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_verifone
00007ff8416bbf90 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_xmodem
00007ff8416bc150 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32
00007ff8416bc010 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_bzip2
00007ff8416bc050 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_castagnoli
00007ff8416bc090 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_mpeg_2
00007ff8416bc0d0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_posix
00007ff8416bc110 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_xfer
00007ff8416bc190 (__DATA_CONST,__const) non-external (was a private external) _CC_crc64_ecma_182
00007ff8416bc2d0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8
00007ff8416bc1d0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_icode
00007ff8416bc210 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_itu
00007ff8416bc250 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_rohc
00007ff8416bc290 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_wcdma
00007ff8416bc380 (__DATA_CONST,__const) external _CCrfc3394_iv
00007ff812dcef50 (__TEXT,__const) external _CCrfc3394_ivLen
00007ff812dc672f (__TEXT,__text) non-external (was a private external) _CNBufferCreate
00007ff812dcd70a (__TEXT,__text) non-external (was a private external) _CNBufferEmpty
00007ff812dc6c9d (__TEXT,__text) non-external (was a private external) _CNBufferFlushData
00007ff812dc67ff (__TEXT,__text) non-external (was a private external) _CNBufferProcessData
00007ff812dc6d77 (__TEXT,__text) non-external (was a private external) _CNBufferRelease
00007ff812dc6dfd (__TEXT,__text) external _CNCRC
00007ff812dcd148 (__TEXT,__text) external _CNCRCDumpTable
00007ff812dcd0fd (__TEXT,__text) external _CNCRCFinal
00007ff812dcd00a (__TEXT,__text) external _CNCRCInit
00007ff812dcd09f (__TEXT,__text) external _CNCRCRelease
00007ff812dcd0ac (__TEXT,__text) external _CNCRCUpdate
00007ff812dcd19a (__TEXT,__text) external _CNCRCWeakTest
00007ff812dc64b7 (__TEXT,__text) external _CNEncode
00007ff812dce238 (__TEXT,__text) external _CNEncoderBlocksize
00007ff812dce2c3 (__TEXT,__text) external _CNEncoderBlocksizeFromRef
00007ff812dc6561 (__TEXT,__text) external _CNEncoderCreate
00007ff812dce31d (__TEXT,__text) non-external _CNEncoderCreate.cold.1
00007ff812dcd200 (__TEXT,__text) external _CNEncoderCreateCustom
00007ff812dc6ba8 (__TEXT,__text) external _CNEncoderFinal
00007ff812dce180 (__TEXT,__text) external _CNEncoderGetOutputLength
00007ff812dcd4df (__TEXT,__text) external _CNEncoderGetOutputLengthFromEncoding
00007ff812dc6d0d (__TEXT,__text) external _CNEncoderRelease
00007ff812dc6785 (__TEXT,__text) external _CNEncoderUpdate
00007ff812dca267 (__TEXT,__text) external _MD5Final
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff812dc3e10 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff812dc9850 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
                 (undefined) external __os_crash (from libsystem_c)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
00007ff812dc787c (__TEXT,__text) non-external _adler32_final
00007ff812dc7818 (__TEXT,__text) non-external _adler32_implementation
00007ff812dc7885 (__TEXT,__text) non-external _adler32_oneshot
00007ff812dc78e9 (__TEXT,__text) non-external _adler32_setup
00007ff812dc5651 (__TEXT,__text) non-external _ccClearCryptor
00007ff812dc5766 (__TEXT,__text) external _ccDRBGGetRngState
00007ff812dc773f (__TEXT,__text) external _ccDevRandomGetRngState
00007ff812dca8ef (__TEXT,__text) non-external _ccECCryptorFree
00007ff812dca833 (__TEXT,__text) non-external _ccECpairwiseConsistencyCheck
00007ff812dca776 (__TEXT,__text) non-external _ccMallocECCryptor
00007ff812dcbbfb (__TEXT,__text) non-external _ccMallocRSACryptor
00007ff812dcbcc2 (__TEXT,__text) non-external _ccRSACryptorClear
00007ff812dcef40 (__TEXT,__const) non-external _ccRandomDefaultStruct
00007ff812dc5d6c (__TEXT,__text) non-external _ccSimpleUpdate
00007ff812dc89ea (__TEXT,__text) non-external _cc_alloc
                 (undefined) external _cc_clear (from libcorecrypto)
                 (undefined) external _cc_cmp_safe (from libcorecrypto)
00007ff812dc8a4b (__TEXT,__text) non-external _cc_free
00007ff812dcc9d8 (__TEXT,__text) non-external _cc_rc4_crypt_mode
00007ff812dc89fc (__TEXT,__text) non-external _cc_realloc
                 (undefined) external _ccaes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccansikdf_x963 (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ofb_crypt_mode (from libcorecrypto)
00007ff812dcca36 (__TEXT,__text) non-external _cccbc_getiv
00007ff8416bc7d0 (__DATA_CONST,__const) non-external (was a private external) _cccbc_mode
00007ff812dc5e3e (__TEXT,__text) non-external _cccbc_mode_crypt
00007ff812dc5cd2 (__TEXT,__text) non-external _cccbc_mode_get_block_size
00007ff812dc5955 (__TEXT,__text) non-external _cccbc_mode_get_ctx_size
00007ff812dc596c (__TEXT,__text) non-external _cccbc_mode_setup
00007ff812dc5fd9 (__TEXT,__text) non-external _cccbc_setiv
                 (undefined) external _ccccm_cbcmac (from libcorecrypto)
00007ff8416bca00 (__DATA_CONST,__const) non-external (was a private external) _ccccm_mode
00007ff812dccdd1 (__TEXT,__text) non-external _ccccm_mode_crypt
00007ff812dccdf7 (__TEXT,__text) non-external _ccccm_mode_done
00007ff812dccd96 (__TEXT,__text) non-external _ccccm_mode_get_block_size
00007ff812dccd88 (__TEXT,__text) non-external _ccccm_mode_get_ctx_size
00007ff812dccda0 (__TEXT,__text) non-external _ccccm_mode_setup
                 (undefined) external _ccccm_set_iv (from libcorecrypto)
00007ff8416bc870 (__DATA_CONST,__const) non-external (was a private external) _cccfb8_mode
00007ff812dccae1 (__TEXT,__text) non-external _cccfb8_mode_crypt
00007ff812dccabb (__TEXT,__text) non-external _cccfb8_mode_get_block_size
00007ff812dccab2 (__TEXT,__text) non-external _cccfb8_mode_get_ctx_size
00007ff812dccac5 (__TEXT,__text) non-external _cccfb8_mode_setup
00007ff8416bc820 (__DATA_CONST,__const) non-external (was a private external) _cccfb_mode
00007ff812dcca8e (__TEXT,__text) non-external _cccfb_mode_crypt
00007ff812dcca68 (__TEXT,__text) non-external _cccfb_mode_get_block_size
00007ff812dcca5f (__TEXT,__text) non-external _cccfb_mode_get_ctx_size
00007ff812dcca72 (__TEXT,__text) non-external _cccfb_mode_setup
                 (undefined) external _ccchacha20 (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_decrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_encrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_info (from libcorecrypto)
                 (undefined) external _ccckg2_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg2_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg2_ctx_cp (from libcorecrypto)
                 (undefined) external _ccckg2_init (from libcorecrypto)
                 (undefined) external _ccckg2_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg2_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg2_params_p224_sha256_v2 (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_ctx (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_share (from libcorecrypto)
                 (undefined) external _ccckg_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg_ctx_cp (from libcorecrypto)
                 (undefined) external _ccckg_init (from libcorecrypto)
                 (undefined) external _ccckg_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_ctx (from libcorecrypto)
