00000001e986e9a0 (__DATA,__data) external _NDR_record
00000001804b952c (__TEXT,__text) external ___nexus_register
00000001804b9558 (__TEXT,__text) external ___nexus_set_opt
00000001804ac68c (__TEXT,__text) external ___open
00000001804b17ec (__TEXT,__text) external ___open_dprotected_np
00000001804b82cc (__TEXT,__text) external ___open_extended
00000001804ac940 (__TEXT,__text) external ___open_nocancel
00000001804ad5a8 (__TEXT,__text) external ___openat
00000001804b9584 (__TEXT,__text) external ___openat_dprotected_np
00000001804b194c (__TEXT,__text) external ___openat_nocancel
00000001ec3058a8 (__DATA_DIRTY,__bss) non-external ___os_ch_md_redzone_cookie
00000001804c7fa4 (__TEXT,__text) non-external ___os_nexus_config_flow
00000001804c7e0c (__TEXT,__text) external ___os_nexus_flow_add
00000001804c7e94 (__TEXT,__text) external ___os_nexus_flow_del
00000001804c8020 (__TEXT,__text) external ___os_nexus_get_llink_info
00000001804c7c2c (__TEXT,__text) external ___os_nexus_ifattach
00000001804c7d4c (__TEXT,__text) external ___os_nexus_ifdetach
00000001804b95b0 (__TEXT,__text) external ___oslog_coproc
00000001804b95dc (__TEXT,__text) external ___oslog_coproc_reg
00000001804afc4c (__TEXT,__text) external ___persona
00000001804b23e0 (__TEXT,__text) external ___pipe
00000001804b9608 (__TEXT,__text) external ___poll_nocancel
00000001804b30d4 (__TEXT,__text) external ___posix_spawn
00000001804b9634 (__TEXT,__text) external ___pread_nocancel
00000001804b9660 (__TEXT,__text) external ___preadv_nocancel
00000001804ad108 (__TEXT,__text) external ___proc_info
00000001804b968c (__TEXT,__text) external ___proc_info_extended_id
00000001804b3a6c (__TEXT,__text) external ___process_policy
00000001804b2148 (__TEXT,__text) external ___pselect
00000001804b96b8 (__TEXT,__text) external ___pselect_nocancel
00000001804af530 (__TEXT,__text) external ___psynch_cvbroad
00000001804afbb0 (__TEXT,__text) external ___psynch_cvclrprepost
00000001804b0a5c (__TEXT,__text) external ___psynch_cvsignal
00000001804af504 (__TEXT,__text) external ___psynch_cvwait
00000001804aeba0 (__TEXT,__text) external ___psynch_mutexdrop
00000001804ae9d4 (__TEXT,__text) external ___psynch_mutexwait
00000001804b96e4 (__TEXT,__text) external ___psynch_rw_downgrade
00000001804b9710 (__TEXT,__text) external ___psynch_rw_longrdlock
00000001804b126c (__TEXT,__text) external ___psynch_rw_rdlock
00000001804b1240 (__TEXT,__text) external ___psynch_rw_unlock
00000001804b973c (__TEXT,__text) external ___psynch_rw_unlock2
00000001804b9768 (__TEXT,__text) external ___psynch_rw_upgrade
00000001804b1214 (__TEXT,__text) external ___psynch_rw_wrlock
00000001804b9794 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00000001804b7fb0 (__TEXT,__text) external ___pthread_canceled
00000001804b2e64 (__TEXT,__text) external ___pthread_chdir
00000001804b2e38 (__TEXT,__text) external ___pthread_fchdir
00000001804b45e0 (__TEXT,__text) external ___pthread_kill
00000001804b97c0 (__TEXT,__text) external ___pthread_markcancel
00000001804b34ec (__TEXT,__text) external ___pthread_sigmask
00000001804b4a64 (__TEXT,__text) external ___ptrace
00000001804b97ec (__TEXT,__text) external ___pwrite_nocancel
00000001804b9818 (__TEXT,__text) external ___pwritev_nocancel
00000001804adca4 (__TEXT,__text) external ___read_nocancel
00000001804b9844 (__TEXT,__text) external ___readv_nocancel
00000001804b9870 (__TEXT,__text) external ___reboot
00000001804b989c (__TEXT,__text) external ___record_system_event
00000001804b03b4 (__TEXT,__text) external ___recvfrom
00000001804b027c (__TEXT,__text) external ___recvfrom_nocancel
00000001804b07c4 (__TEXT,__text) external ___recvmsg
00000001804b98c8 (__TEXT,__text) external ___recvmsg_nocancel
00000001ec3058b0 (__DATA_DIRTY,__bss) non-external ___remove_counter
00000001804af884 (__TEXT,__text) external ___rename
00000001804b98f4 (__TEXT,__text) external ___renameat
00000001804b9920 (__TEXT,__text) external ___renameatx_np
00000001804af8f0 (__TEXT,__text) external ___rmdir
00000001804b8fd8 (__TEXT,__text) external ___sandbox_me
00000001804b9138 (__TEXT,__text) external ___sandbox_mm
00000001804ad728 (__TEXT,__text) external ___sandbox_ms
00000001804b4638 (__TEXT,__text) external ___sandbox_msp
00000001804b6e78 (__TEXT,__text) external ___select
00000001804b0250 (__TEXT,__text) external ___select_nocancel
00000001804b5724 (__TEXT,__text) external ___sem_open
00000001804b994c (__TEXT,__text) external ___sem_wait_nocancel
00000001804b9978 (__TEXT,__text) external ___semctl
00000001804b99a4 (__TEXT,__text) external ___semsys
00000001804af300 (__TEXT,__text) external ___semwait_signal
00000001804b3518 (__TEXT,__text) external ___semwait_signal_nocancel
00000001804b1978 (__TEXT,__text) external ___sendmsg
00000001804b02d4 (__TEXT,__text) external ___sendmsg_nocancel
00000001804b0388 (__TEXT,__text) external ___sendto
00000001804b01f0 (__TEXT,__text) external ___sendto_nocancel
00000001804af480 (__TEXT,__text) external ___setattrlist
00000001804b7c74 (__TEXT,__text) external ___setlogin
00000001804b4110 (__TEXT,__text) external ___setpriority
00000001804b99d0 (__TEXT,__text) external ___setregid
00000001804b99fc (__TEXT,__text) external ___setreuid
00000001804aea08 (__TEXT,__text) external ___setrlimit
00000001804b9a28 (__TEXT,__text) external ___setsgroups
00000001804b54ac (__TEXT,__text) external ___settid
00000001804b9a54 (__TEXT,__text) external ___settid_with_pid
00000001804b9a80 (__TEXT,__text) external ___settimeofday
00000001804b9aac (__TEXT,__text) external ___setwgroups
00000001804b57bc (__TEXT,__text) external ___sfi_ctl
00000001804b9ad8 (__TEXT,__text) external ___sfi_pidctl
00000001804b9b04 (__TEXT,__text) external ___shared_region_check_np
00000001804b9b30 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00000001804ad550 (__TEXT,__text) external ___shm_open
00000001804b9b5c (__TEXT,__text) external ___shmctl
00000001804b9b88 (__TEXT,__text) external ___shmsys
00000001804b2470 (__TEXT,__text) external ___sigaction
00000001804af3fc (__TEXT,__text) external ___sigaltstack
00000001804b77a8 (__TEXT,__text) external ___sigreturn
00000001804b9bb4 (__TEXT,__text) external ___sigsuspend
00000001804b3550 (__TEXT,__text) external ___sigsuspend_nocancel
00000001804b7800 (__TEXT,__text) external ___sigwait
00000001804b02a8 (__TEXT,__text) external ___socketpair
00000001804b9be0 (__TEXT,__text) external ___stack_snapshot_with_config
00000001804bb06c (__TEXT,__text) external ___stat
00000001804b1708 (__TEXT,__text) external ___stat64_extended
00000001804b9c0c (__TEXT,__text) external ___stat_extended
00000001804bb098 (__TEXT,__text) external ___statfs
00000001804c1460 (__TEXT,__text) non-external ___statfs_ext_impl
00000001804ae118 (__TEXT,__text) external ___syscall
00000001e986ea20 (__DATA,__common) external ___syscall_logger
00000001804ad458 (__TEXT,__text) external ___sysctl
00000001804ad684 (__TEXT,__text) external ___sysctlbyname
00000001804b9c38 (__TEXT,__text) external ___telemetry
00000001804b65f8 (__TEXT,__text) external ___terminate_with_payload
00000001804adac4 (__TEXT,__text) external ___thread_selfid
00000001804b9c64 (__TEXT,__text) external ___thread_selfusage
00000001804adaf0 (__TEXT,__text) external ___ulock_wait
00000001804b9c90 (__TEXT,__text) external ___ulock_wait2
00000001804adbc4 (__TEXT,__text) external ___ulock_wake
00000001804b9cbc (__TEXT,__text) external ___umask_extended
00000001804afca4 (__TEXT,__text) external ___unlink
00000001804b5aec (__TEXT,__text) external ___unlinkat
00000001804b9ce8 (__TEXT,__text) external ___vfork
00000001804b3470 (__TEXT,__text) external ___wait4
00000001804b82a0 (__TEXT,__text) external ___wait4_nocancel
00000001804b9d58 (__TEXT,__text) external ___waitid_nocancel
00000001804b4c48 (__TEXT,__text) external ___work_interval_ctl
00000001804ad9e8 (__TEXT,__text) external ___workq_kernreturn
00000001804ada14 (__TEXT,__text) external ___workq_open
00000001804afbdc (__TEXT,__text) external ___write_nocancel
00000001804b9d84 (__TEXT,__text) external ___writev_nocancel
00000001e986e9e4 (__DATA,__common) external __cpu_capabilities
00000001e986ea18 (__DATA,__common) external __cpu_has_altivec
00000001ec305898 (__DATA_DIRTY,__data) external __current_pid
00000001ec3058d0 (__DATA_DIRTY,__bss) non-external __dlsym
00000001804abcec (__TEXT,__text) external __exclaves_ctl_trap
00000001804bc5e4 (__TEXT,__text) non-external __execve_with_filter
00000001804b357c (__TEXT,__text) external __exit
00000001804b1cdc (__TEXT,__text) external __get_cpu_capabilities
00000001e986e9c0 (__DATA,__bss) non-external __gethostuuid_callback
00000001804c08a0 (__TEXT,__text) external __getprivatesystemidentifier
00000001804cd780 (__TEXT,__text) external __host_page_size
00000001804b1cd8 (__TEXT,__text) external __init_cpu_capabilities
00000001804ce924 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00000001804cfec8 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00000001804d0b70 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00000001804cfdac (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001804d0a00 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001804abad0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000001804d26d8 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001804d17cc (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001804abb24 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00000001804d0138 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001804abadc (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001804d001c (__TEXT,__text) external __kernelrpc_mach_port_destroy
00000001804d1938 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001804abb30 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00000001804d1160 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00000001804d1544 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001804abb18 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00000001804b6024 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000001804b6a40 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001804abbd8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001804b1304 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00000001804af1b0 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000001804d2500 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00000001804b7e1c (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00000001804d0e10 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00000001804d1a54 (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001804abbe4 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00000001804d1f34 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00000001804d1428 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001804abb0c (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00000001804d07bc (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001804abb00 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00000001804d23ac (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00000001804d12c4 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00000001804d1660 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00000001804d2174 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00000001804d0254 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001804abae8 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00000001804d06a0 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001804abaf4 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00000001804cfad0 (__TEXT,__text) external __kernelrpc_mach_port_names
00000001804d0370 (__TEXT,__text) external __kernelrpc_mach_port_peek
00000001804cfc90 (__TEXT,__text) external __kernelrpc_mach_port_rename
00000001804afcfc (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001804abce0 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001804ae6fc (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00000001804b7cfc (__TEXT,__text) external __kernelrpc_mach_port_set_context
00000001804d0584 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000001804d08e4 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00000001804d1c90 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00000001804d0f64 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00000001804d1de0 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00000001804d2054 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00000001804b4d10 (__TEXT,__text) external __kernelrpc_mach_port_type
00000001804abcd4 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00000001804d1b74 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001804abbf0 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000001804d6fb4 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00000001804d6e88 (__TEXT,__text) external __kernelrpc_mach_ports_register3
00000001804daac0 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00000001804d2840 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001804aba88 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000001804d2998 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001804abaa0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00000001804ad134 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001804abac4 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00000001804d2ab4 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001804abab8 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00000001804d3958 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001804aba94 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00000001804d2cf4 (__TEXT,__text) external __kernelrpc_mach_vm_read
00000001804d4954 (__TEXT,__text) external __kernelrpc_mach_vm_reallocate
00000001804d34cc (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001804d3df0 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000001804d4590 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
00000001804df8d8 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001804d0cf4 (__TEXT,__text) external __kernelrpc_task_set_port_space
00000001804b105c (__TEXT,__text) external __kernelrpc_thread_policy
00000001804b2258 (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001804dd154 (__TEXT,__text) external __kernelrpc_thread_set_policy
00000001804b8080 (__TEXT,__text) external __kernelrpc_vm_map
00000001804de9f4 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001804b559c (__TEXT,__text) external __kernelrpc_vm_read
00000001804decec (__TEXT,__text) external __kernelrpc_vm_reallocate
00000001804ae308 (__TEXT,__text) external __kernelrpc_vm_remap
00000001804deb48 (__TEXT,__text) external __kernelrpc_vm_remap_new
00000001804bb97c (__TEXT,__text) non-external __libkernel_bzero
00000001ec3058c8 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001ed97fa70 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001804bba10 (__TEXT,__text) non-external __libkernel_memmove
00000001804bb988 (__TEXT,__text) non-external __libkernel_memset
00000001804bb944 (__TEXT,__text) non-external __libkernel_strchr
00000001804b1cf0 (__TEXT,__text) non-external __libkernel_strcmp
00000001804bbdcc (__TEXT,__text) non-external __libkernel_strcpy
00000001ec305890 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00000001804bc728 (__TEXT,__text) non-external __libkernel_strlcpy
00000001804bb5d0 (__TEXT,__text) non-external __libkernel_strlen
00000001ec3058a0 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00000001804e0b18 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001804bd674 (__TEXT,__text) non-external __mach_continuous_time
00000001e55cbde8 (__DATA_CONST,__const) external __mach_errors
00000001804bdbc4 (__TEXT,__text) external __mach_fork_child
00000001804be994 (__TEXT,__text) external __mach_snprintf
00000001804be810 (__TEXT,__text) external __mach_vsnprintf
00000001ec305920 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001e986ea10 (__DATA,__common) external __os_xbs_chrooted
00000001804b299c (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001804bbe14 (__TEXT,__text) non-external __posix_spawn_with_filter
00000001804c08a4 (__TEXT,__text) external __register_gethostuuid_callback
00000001804bb744 (__TEXT,__text) non-external __simple_getenv
00000001804bc554 (__TEXT,__text) non-external __simple_getenv.26
00000001804bb6d8 (__TEXT,__text) non-external __simple_getenv_check
00000001804bbb28 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00000001804bbbcc (__TEXT,__text) non-external __system_version_compat_open_shim
00000001ec3058c4 (__DATA_DIRTY,__bss) non-external __task_reply_port
00000001804bb4e0 (__TEXT,__text) external __thread_set_tsd_base
00000001804dffc8 (__TEXT,__text) non-external _abort
00000001804dffc8 (__TEXT,__text) non-external _abort.344
00000001804dffc8 (__TEXT,__text) non-external _abort.389
00000001804dffc8 (__TEXT,__text) non-external _abort.580
00000001804e00e8 (__TEXT,__text) external _abort_with_payload
00000001804e005c (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00000001804e003c (__TEXT,__text) external _abort_with_reason
00000001804b46c4 (__TEXT,__text) external _accept
00000001804b8b34 (__TEXT,__text) external _accept$NOCANCEL
00000001804ac660 (__TEXT,__text) external _access
00000001804b8b60 (__TEXT,__text) external _accessx_np
00000001804b9db0 (__TEXT,__text) external _acct
00000001804dbae4 (__TEXT,__text) external _act_get_state
00000001804dbd2c (__TEXT,__text) external _act_set_state
00000001804b9ddc (__TEXT,__text) external _adjtime
00000001804b9e08 (__TEXT,__text) external _aio_cancel
00000001804b9e34 (__TEXT,__text) external _aio_error
00000001804b9e60 (__TEXT,__text) external _aio_fsync
00000001804b9e8c (__TEXT,__text) external _aio_read
00000001804b9eb8 (__TEXT,__text) external _aio_return
00000001804b9ee4 (__TEXT,__text) external _aio_suspend
00000001804b8b8c (__TEXT,__text) external _aio_suspend$NOCANCEL
00000001804b9f10 (__TEXT,__text) external _aio_write
00000001804b9f3c (__TEXT,__text) external _audit
00000001804b77d4 (__TEXT,__text) external _audit_session_join
00000001804b75c8 (__TEXT,__text) external _audit_session_port
00000001804aff6c (__TEXT,__text) external _audit_session_self
00000001804b9f68 (__TEXT,__text) external _auditctl
00000001804b577c (__TEXT,__text) external _auditon
00000001804b3b2c (__TEXT,__text) external _bind
00000001ec305914 (__DATA_DIRTY,__common) external _bootstrap_port
00000001804bb5c0 (__TEXT,__text) non-external _bzero
00000001804ad5d4 (__TEXT,__text) external _cerror
00000001804ac5f4 (__TEXT,__text) external _cerror_nocancel
00000001804afea8 (__TEXT,__text) external _change_fdguard_np
00000001804ad754 (__TEXT,__text) external _chdir
00000001804b402c (__TEXT,__text) external _chflags
00000001804af91c (__TEXT,__text) external _chmod
00000001804b3b00 (__TEXT,__text) external _chown
00000001804b9f94 (__TEXT,__text) external _chroot
00000001804ca4b8 (__TEXT,__text) external _clock_alarm
00000001804ca284 (__TEXT,__text) external _clock_alarm_reply
00000001804ca2ec (__TEXT,__text) external _clock_get_attributes
00000001804b150c (__TEXT,__text) external _clock_get_time
00000001804ca134 (__TEXT,__text) external _clock_set_attributes
00000001804ca01c (__TEXT,__text) external _clock_set_time
00000001804b7fdc (__TEXT,__text) external _clock_sleep
00000001804abca4 (__TEXT,__text) external _clock_sleep_trap
00000001804b5ec8 (__TEXT,__text) external _clonefile
00000001804b0d14 (__TEXT,__text) external _clonefileat
00000001804ac8e8 (__TEXT,__text) external _close
00000001804ad57c (__TEXT,__text) external _close$NOCANCEL
00000001804c6444 (__TEXT,__text) external _coalition_create
