00007ffb0e56dbd6 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb0e56a984 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb0e56b1a4 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType6FromBuffer:length:tag:]
00007ffb0e56b548 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
00007ffb0e5675ee (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
00007ffb0e567602 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
00007ffb0e570e4f (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
00007ffb0e572d51 (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
00007ffb0e56ddc7 (__TEXT,__text) non-external -[CBOR .cxx_destruct]
00007ffb0e56c409 (__TEXT,__text) non-external -[CBOR array]
00007ffb0e56c219 (__TEXT,__text) non-external -[CBOR boolValue]
00007ffb0e56dd98 (__TEXT,__text) non-external -[CBOR cachedHash]
00007ffb0e56bacc (__TEXT,__text) non-external -[CBOR copyWithZone:]
00007ffb0e56c373 (__TEXT,__text) non-external -[CBOR data]
00007ffb0e56c49d (__TEXT,__text) non-external -[CBOR date]
00007ffb0e56cb14 (__TEXT,__text) non-external -[CBOR description]
00007ffb0e56c453 (__TEXT,__text) non-external -[CBOR dictionary]
00007ffb0e56c15e (__TEXT,__text) non-external -[CBOR doubleValue]
00007ffb0e56dce3 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00007ffb0e56bfdf (__TEXT,__text) non-external -[CBOR hash]
00007ffb0e56bf1f (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00007ffb0e56bb07 (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00007ffb0e56c9fe (__TEXT,__text) non-external -[CBOR isBoolean]
00007ffb0e56ca13 (__TEXT,__text) non-external -[CBOR isDate]
00007ffb0e56cabc (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00007ffb0e56bff1 (__TEXT,__text) non-external -[CBOR isEqual:]
00007ffb0e56c9e9 (__TEXT,__text) non-external -[CBOR isFloatNumber]
00007ffb0e56c9cb (__TEXT,__text) non-external -[CBOR isWholeNumber]
00007ffb0e56c0af (__TEXT,__text) non-external -[CBOR longLongValue]
00007ffb0e56c1b2 (__TEXT,__text) non-external -[CBOR numeric]
00007ffb0e56ddac (__TEXT,__text) non-external -[CBOR orderedKeys]
00007ffb0e56dda2 (__TEXT,__text) non-external -[CBOR setCachedHash:]
00007ffb0e56ddb6 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00007ffb0e56dd58 (__TEXT,__text) non-external -[CBOR setTag:]
00007ffb0e56dd73 (__TEXT,__text) non-external -[CBOR setValue:]
00007ffb0e56dd8e (__TEXT,__text) non-external -[CBOR setValueSize:]
00007ffb0e56c275 (__TEXT,__text) non-external -[CBOR string]
00007ffb0e56dd4e (__TEXT,__text) non-external -[CBOR tag]
00007ffb0e56dd44 (__TEXT,__text) non-external -[CBOR type]
00007ffb0e56c104 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00007ffb0e56dd84 (__TEXT,__text) non-external -[CBOR valueSize]
00007ffb0e56dd69 (__TEXT,__text) non-external -[CBOR value]
00007ffb0e568e94 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00007ffb0e56f8c7 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00007ffb0e56e856 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00007ffb0e56f2f0 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00007ffb0e56f88b (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00007ffb0e56f89f (__TEXT,__text) non-external -[COSE contentType]
00007ffb0e56e789 (__TEXT,__text) non-external -[COSE content]
00007ffb0e56f895 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00007ffb0e56dfbc (__TEXT,__text) non-external -[COSE initWithCBOR:]
00007ffb0e56ddfc (__TEXT,__text) non-external -[COSE initWithData:]
00007ffb0e56de56 (__TEXT,__text) non-external -[COSE initWithData:type:]
00007ffb0e56e3b3 (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00007ffb0e56f8b3 (__TEXT,__text) non-external -[COSE initializationVector]
00007ffb0e56f8a9 (__TEXT,__text) non-external -[COSE keyIdentifier]
00007ffb0e56f8bd (__TEXT,__text) non-external -[COSE partialInitializationVector]
00007ffb0e56e686 (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00007ffb0e56f881 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00007ffb0e56f926 (__TEXT,__text) non-external -[COSE setType:]
00007ffb0e56f9c7 (__TEXT,__text) non-external -[COSE sourceObject]
00007ffb0e56e827 (__TEXT,__text) non-external -[COSE tag]
00007ffb0e56f877 (__TEXT,__text) non-external -[COSE type]
00007ffb0e56e706 (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00007ffb0e572ccf (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00007ffb0e571e5c (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00007ffb0e572c9d (__TEXT,__text) non-external -[COSEKey algorithm]
00007ffb0e572cbb (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00007ffb0e572c0b (__TEXT,__text) non-external -[COSEKey ecCurveD]
00007ffb0e572ba5 (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00007ffb0e572bc7 (__TEXT,__text) non-external -[COSEKey ecCurveX]
00007ffb0e572be9 (__TEXT,__text) non-external -[COSEKey ecCurveY]
00007ffb0e56f9c7 (__TEXT,__text) non-external -[COSEKey getSource]
00007ffb0e572ca7 (__TEXT,__text) non-external -[COSEKey identifier]
00007ffb0e572750 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00007ffb0e5728ea (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00007ffb0e572a5a (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00007ffb0e570efe (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00007ffb0e570ea4 (__TEXT,__text) non-external -[COSEKey initWithData:]
00007ffb0e572c71 (__TEXT,__text) non-external -[COSEKey okpCurveD]
00007ffb0e572c2d (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00007ffb0e572c4f (__TEXT,__text) non-external -[COSEKey okpCurveX]
00007ffb0e572cb1 (__TEXT,__text) non-external -[COSEKey operations]
00007ffb0e572cc5 (__TEXT,__text) non-external -[COSEKey symmetricKey]
00007ffb0e572c93 (__TEXT,__text) non-external -[COSEKey type]
00007ffb0e570e3c (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00007ffb0e570d95 (__TEXT,__text) non-external -[COSE_Mac0 description]
00007ffb0e570b6a (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00007ffb0e5707bc (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00007ffb0e570a55 (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00007ffb0e570e2b (__TEXT,__text) non-external -[COSE_Mac0 mac]
00007ffb0e5706d4 (__TEXT,__text) non-external -[COSE_Sign1 description]
00007ffb0e56fb19 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00007ffb0e56f9f7 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00007ffb0e570618 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00007ffb0e56fd78 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00007ffb0e570003 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00007ffb0e57033a (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00007ffb0e5704d1 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00007ffb0e5702a8 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00007ffb0e576f0c (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00007ffb0e575db0 (__TEXT,__const) external _CBORLibraryVersionNumber
00007ffb0e575d80 (__TEXT,__const) external _CBORLibraryVersionString
00007ffb0e575de8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00007ffb0e575de9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00007ffb434a1420 (__DATA,__data) external _COSEHeaderX509Bag
00007ffb434a1428 (__DATA,__data) external _COSEHeaderX509Chain
00007ffb434a1438 (__DATA,__data) external _COSEHeaderX509Hash
00007ffb434a1440 (__DATA,__data) external _COSEHeaderX509HashSender
00007ffb434a1448 (__DATA,__data) external _COSEHeaderX509Uri
00007ffb434a1450 (__DATA,__data) external _COSEHeaderX509UriSender
00007ffb434a1430 (__DATA,__data) external _COSEHeaderx509ChainSender
00007ffb434a0870 (__DATA,__objc_data) external _OBJC_CLASS_$_CBOR
00007ffb434a08c0 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE
00007ffb434a09b0 (__DATA,__objc_data) external _OBJC_CLASS_$_COSEKey
00007ffb434a0960 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00007ffb434a0910 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00007ffb434a0690 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
00007ffb434a0698 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00007ffb434a0678 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00007ffb434a0670 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00007ffb434a0680 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00007ffb434a0688 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00007ffb434a06b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00007ffb434a06a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00007ffb434a06c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00007ffb434a06c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00007ffb434a06d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00007ffb434a06d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
00007ffb434a06e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00007ffb434a06b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00007ffb434a06a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00007ffb434a0720 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00007ffb434a0738 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00007ffb434a06f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00007ffb434a06f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00007ffb434a0728 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00007ffb434a0730 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00007ffb434a0710 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00007ffb434a0700 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00007ffb434a0708 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00007ffb434a0740 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00007ffb434a0718 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00007ffb434a06e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
00007ffb434a0898 (__DATA,__objc_data) external _OBJC_METACLASS_$_CBOR
00007ffb434a08e8 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE
00007ffb434a09d8 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSEKey
00007ffb434a0988 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00007ffb434a0938 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb434a0e20 (__DATA,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb4120a1c8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00007ffb4120a468 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00007ffb4120a560 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb434a0748 (__DATA,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb4120a638 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb4120a2c0 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb0e573370 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb4120a1a0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00007ffb4120a400 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00007ffb4120a4f8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb4120a350 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb4120a5f0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb4120a258 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb4120a158 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00007ffb4120a3b8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00007ffb4120a4b0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb4120a308 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb4120a5a8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb4120a210 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb4120a680 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00007ffb0e573390 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb0e5734f8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00007ffb0e573530 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb0e5736e0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00007ffb0e5737a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00007ffb0e573898 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00007ffb0e5738e8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00007ffb4120aa20 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
00007ffb4120acd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00007ffb4120b118 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
00007ffb4120b048 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00007ffb4120aae8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00007ffb4120adf8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
00007ffb4120b280 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
00007ffb4120b070 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
00007ffb4120af50 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00007ffb4120a8b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb4120a998 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ffb4120a6c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb4120a890 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb4120a9b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ffb4120a8f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb4120a9c0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
00007ffb4120ac40 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
00007ffb4120aec0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
00007ffb4120b358 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
00007ffb4120b088 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
00007ffb4120afb8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
00007ffb4120a148 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ffb4120a140 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffb4120a9d8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
00007ffb4120ac88 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
00007ffb4120b0d0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00007ffb4120b000 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00007ffb4120af08 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
00007ffb434a13c0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00007ffb434a1360 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffb4120b930 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb0e56f590 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00007ffb0e56f73f (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.101
00007ffb0e5672b6 (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00007ffb0e56f56b (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb0e56f581 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb41209850 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
00007ffb41209870 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e26_v32?0"CBOR"8"CBOR"16*24l
                 (undefined) external ___bzero (from libSystem)
00007ffb0e552d50 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb0e552d70 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb0e56f6c8 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00007ffb0e56f70a (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffb0e551a10 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb0e551a10 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb0e551b00 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00007ffb0e5519a0 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00007ffb0e551ad0 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00007ffb0e551ad0 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb0e551ad0 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb0e546f10 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
00007ffb0e552cc0 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
00007ffb0e552d00 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00007ffb0e566d40 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00007ffb0e5641c0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00007ffb0e55a920 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00007ffb0e551cd0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
