00007ffa182bdf0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa182bdc29 (__TEXT,__text) external _glBufferParameteriAPPLE
00007ffa182b78e5 (__TEXT,__text) external _glBufferSubData
00007ffa182bbeb0 (__TEXT,__text) external _glBufferSubDataARB
00007ffa182b3e6e (__TEXT,__text) external _glCallList
00007ffa182b3e87 (__TEXT,__text) external _glCallLists
00007ffa182b87af (__TEXT,__text) external _glCheckFramebufferStatus
00007ffa182bcdbf (__TEXT,__text) external _glCheckFramebufferStatusEXT
00007ffa182b8ba5 (__TEXT,__text) external _glClampColor
00007ffa182bc518 (__TEXT,__text) external _glClampColorARB
00007ffa182b3ea5 (__TEXT,__text) external _glClear
00007ffa182b3ebe (__TEXT,__text) external _glClearAccum
00007ffa182b914e (__TEXT,__text) external _glClearBufferfi
00007ffa182b912c (__TEXT,__text) external _glClearBufferfv
00007ffa182b90e8 (__TEXT,__text) external _glClearBufferiv
00007ffa182b910a (__TEXT,__text) external _glClearBufferuiv
00007ffa182b3ed5 (__TEXT,__text) external _glClearColor
00007ffa182bd5ca (__TEXT,__text) external _glClearColorIiEXT
00007ffa182bd5ee (__TEXT,__text) external _glClearColorIuiEXT
00007ffa182b3eec (__TEXT,__text) external _glClearDepth
00007ffa182ba038 (__TEXT,__text) external _glClearDepthf
00007ffa182b3f03 (__TEXT,__text) external _glClearIndex
00007ffa182b3f1a (__TEXT,__text) external _glClearStencil
00007ffa182b6bca (__TEXT,__text) external _glClientActiveTexture
00007ffa182bb4da (__TEXT,__text) external _glClientActiveTextureARB
00007ffa182b9473 (__TEXT,__text) external _glClientWaitSync
00007ffa182b3f36 (__TEXT,__text) external _glClipPlane
00007ffa182b3f55 (__TEXT,__text) external _glColor3b
00007ffa182b3f75 (__TEXT,__text) external _glColor3bv
00007ffa182b3f92 (__TEXT,__text) external _glColor3d
00007ffa182b3fac (__TEXT,__text) external _glColor3dv
00007ffa182b3fc9 (__TEXT,__text) external _glColor3f
00007ffa182b3fe3 (__TEXT,__text) external _glColor3fv
00007ffa182b4000 (__TEXT,__text) external _glColor3i
00007ffa182b4020 (__TEXT,__text) external _glColor3iv
00007ffa182b403d (__TEXT,__text) external _glColor3s
00007ffa182b405d (__TEXT,__text) external _glColor3sv
00007ffa182b407a (__TEXT,__text) external _glColor3ub
00007ffa182b409a (__TEXT,__text) external _glColor3ubv
00007ffa182b40b7 (__TEXT,__text) external _glColor3ui
00007ffa182b40d7 (__TEXT,__text) external _glColor3uiv
00007ffa182b40f4 (__TEXT,__text) external _glColor3us
00007ffa182b4114 (__TEXT,__text) external _glColor3usv
00007ffa182b4131 (__TEXT,__text) external _glColor4b
00007ffa182b4154 (__TEXT,__text) external _glColor4bv
00007ffa182b4171 (__TEXT,__text) external _glColor4d
00007ffa182b418b (__TEXT,__text) external _glColor4dv
00007ffa182b41a8 (__TEXT,__text) external _glColor4f
00007ffa182b41c2 (__TEXT,__text) external _glColor4fv
00007ffa182b41df (__TEXT,__text) external _glColor4i
00007ffa182b4202 (__TEXT,__text) external _glColor4iv
00007ffa182b421f (__TEXT,__text) external _glColor4s
00007ffa182b4242 (__TEXT,__text) external _glColor4sv
00007ffa182b425f (__TEXT,__text) external _glColor4ub
00007ffa182b4282 (__TEXT,__text) external _glColor4ubv
00007ffa182b429f (__TEXT,__text) external _glColor4ui
00007ffa182b42c2 (__TEXT,__text) external _glColor4uiv
00007ffa182b42df (__TEXT,__text) external _glColor4us
00007ffa182b4302 (__TEXT,__text) external _glColor4usv
00007ffa182b431f (__TEXT,__text) external _glColorMask
00007ffa182bd69a (__TEXT,__text) external _glColorMaskIndexedEXT
00007ffa182b8a10 (__TEXT,__text) external _glColorMaski
00007ffa182b4342 (__TEXT,__text) external _glColorMaterial
00007ffa182b4360 (__TEXT,__text) external _glColorPointer
00007ffa182b6801 (__TEXT,__text) external _glColorSubTable
00007ffa182bc85d (__TEXT,__text) external _glColorSubTableEXT
00007ffa182b66fa (__TEXT,__text) external _glColorTable
00007ffa182bc829 (__TEXT,__text) external _glColorTableEXT
00007ffa182b672e (__TEXT,__text) external _glColorTableParameterfv
00007ffa182b6750 (__TEXT,__text) external _glColorTableParameteriv
00007ffa182bde9f (__TEXT,__text) external _glCombinerInputNV
00007ffa182bdea5 (__TEXT,__text) external _glCombinerOutputNV
00007ffa182bde8d (__TEXT,__text) external _glCombinerParameterfNV
00007ffa182bde87 (__TEXT,__text) external _glCombinerParameterfvNV
00007ffa182bde99 (__TEXT,__text) external _glCombinerParameteriNV
00007ffa182bde93 (__TEXT,__text) external _glCombinerParameterivNV
00007ffa182bded5 (__TEXT,__text) external _glCombinerStageParameterfvNV
00007ffa182b7fa4 (__TEXT,__text) external _glCompileShader
00007ffa182bc015 (__TEXT,__text) external _glCompileShaderARB
00007ffa182bc687 (__TEXT,__text) external _glCompileShaderIncludeARB
00007ffa182b70d2 (__TEXT,__text) external _glCompressedTexImage1D
00007ffa182bb9e2 (__TEXT,__text) external _glCompressedTexImage1DARB
00007ffa182b7098 (__TEXT,__text) external _glCompressedTexImage2D
00007ffa182bb9a8 (__TEXT,__text) external _glCompressedTexImage2DARB
00007ffa182b705a (__TEXT,__text) external _glCompressedTexImage3D
00007ffa182bb96a (__TEXT,__text) external _glCompressedTexImage3DARB
00007ffa182b7191 (__TEXT,__text) external _glCompressedTexSubImage1D
00007ffa182bbaa1 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00007ffa182b7153 (__TEXT,__text) external _glCompressedTexSubImage2D
00007ffa182bba63 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00007ffa182b7102 (__TEXT,__text) external _glCompressedTexSubImage3D
00007ffa182bba12 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00007ffa182b685c (__TEXT,__text) external _glConvolutionFilter1D
00007ffa182b6890 (__TEXT,__text) external _glConvolutionFilter2D
00007ffa182b68c0 (__TEXT,__text) external _glConvolutionParameterf
00007ffa182b68de (__TEXT,__text) external _glConvolutionParameterfv
00007ffa182b6900 (__TEXT,__text) external _glConvolutionParameteri
00007ffa182b6921 (__TEXT,__text) external _glConvolutionParameteriv
00007ffa182b918d (__TEXT,__text) external _glCopyBufferSubData
00007ffa182b6835 (__TEXT,__text) external _glCopyColorSubTable
00007ffa182b6772 (__TEXT,__text) external _glCopyColorTable
00007ffa182b6943 (__TEXT,__text) external _glCopyConvolutionFilter1D
00007ffa182b696a (__TEXT,__text) external _glCopyConvolutionFilter2D
00007ffa182b4383 (__TEXT,__text) external _glCopyPixels
00007ffa182b43a9 (__TEXT,__text) external _glCopyTexImage1D
00007ffa182b43dc (__TEXT,__text) external _glCopyTexImage2D
00007ffa182b441b (__TEXT,__text) external _glCopyTexSubImage1D
00007ffa182b444f (__TEXT,__text) external _glCopyTexSubImage2D
00007ffa182b66b7 (__TEXT,__text) external _glCopyTexSubImage3D
00007ffa182b7fc3 (__TEXT,__text) external _glCreateProgram
00007ffa182bc032 (__TEXT,__text) external _glCreateProgramObjectARB
00007ffa182b7f60 (__TEXT,__text) external _glCreateShader
00007ffa182bbfd3 (__TEXT,__text) external _glCreateShaderObjectARB
00007ffa182ba0ff (__TEXT,__text) external _glCreateShaderProgramv
00007ffa182b448e (__TEXT,__text) external _glCullFace
00007ffa182b7865 (__TEXT,__text) external _glDeleteBuffers
00007ffa182bbe30 (__TEXT,__text) external _glDeleteBuffersARB
00007ffa182bd986 (__TEXT,__text) external _glDeleteFencesAPPLE
00007ffa182b8771 (__TEXT,__text) external _glDeleteFramebuffers
00007ffa182bcd81 (__TEXT,__text) external _glDeleteFramebuffersEXT
00007ffa182b44aa (__TEXT,__text) external _glDeleteLists
00007ffa182bc668 (__TEXT,__text) external _glDeleteNamedStringARB
00007ffa182bbf7a (__TEXT,__text) external _glDeleteObjectARB
00007ffa182b803d (__TEXT,__text) external _glDeleteProgram
00007ffa182ba13d (__TEXT,__text) external _glDeleteProgramPipelines
00007ffa182babc2 (__TEXT,__text) external _glDeleteProgramsARB
00007ffa182b776c (__TEXT,__text) external _glDeleteQueries
00007ffa182bbd37 (__TEXT,__text) external _glDeleteQueriesARB
00007ffa182b86b3 (__TEXT,__text) external _glDeleteRenderbuffers
00007ffa182bccc3 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00007ffa182b9672 (__TEXT,__text) external _glDeleteSamplers
00007ffa182b7f1c (__TEXT,__text) external _glDeleteShader
00007ffa182b9456 (__TEXT,__text) external _glDeleteSync
00007ffa182b44c8 (__TEXT,__text) external _glDeleteTextures
00007ffa182b9def (__TEXT,__text) external _glDeleteTransformFeedbacks
00007ffa182b89b6 (__TEXT,__text) external _glDeleteVertexArrays
00007ffa182bdac9 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00007ffa182bc80f (__TEXT,__text) external _glDepthBoundsEXT
00007ffa182b44e7 (__TEXT,__text) external _glDepthFunc
00007ffa182b4503 (__TEXT,__text) external _glDepthMask
00007ffa182b451f (__TEXT,__text) external _glDepthRange
00007ffa182bab22 (__TEXT,__text) external _glDepthRangeArrayv
00007ffa182bab44 (__TEXT,__text) external _glDepthRangeIndexed
00007ffa182ba01e (__TEXT,__text) external _glDepthRangef
00007ffa182bbfb3 (__TEXT,__text) external _glDetachObjectARB
00007ffa182b7f3b (__TEXT,__text) external _glDetachShader
00007ffa182b4539 (__TEXT,__text) external _glDisable
00007ffa182b4555 (__TEXT,__text) external _glDisableClientState
00007ffa182bd6df (__TEXT,__text) external _glDisableIndexedEXT
00007ffa182bd839 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00007ffa182b7e78 (__TEXT,__text) external _glDisableVertexAttribArray
00007ffa182bb0c6 (__TEXT,__text) external _glDisableVertexAttribArrayARB
00007ffa182b8a99 (__TEXT,__text) external _glDisablei
00007ffa182b4571 (__TEXT,__text) external _glDrawArrays
00007ffa182b99ba (__TEXT,__text) external _glDrawArraysIndirect
00007ffa182b92b4 (__TEXT,__text) external _glDrawArraysInstanced
00007ffa182bc554 (__TEXT,__text) external _glDrawArraysInstancedARB
00007ffa182b4592 (__TEXT,__text) external _glDrawBuffer
00007ffa182b79af (__TEXT,__text) external _glDrawBuffers
00007ffa182bc4f9 (__TEXT,__text) external _glDrawBuffersARB
00007ffa182bdb42 (__TEXT,__text) external _glDrawElementArrayAPPLE
00007ffa182b45ae (__TEXT,__text) external _glDrawElements
00007ffa182b933c (__TEXT,__text) external _glDrawElementsBaseVertex
00007ffa182b99d9 (__TEXT,__text) external _glDrawElementsIndirect
00007ffa182b92d8 (__TEXT,__text) external _glDrawElementsInstanced
00007ffa182bc578 (__TEXT,__text) external _glDrawElementsInstancedARB
00007ffa182b9396 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00007ffa182b45d2 (__TEXT,__text) external _glDrawPixels
00007ffa182bdb63 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00007ffa182b65e8 (__TEXT,__text) external _glDrawRangeElements
00007ffa182b9363 (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00007ffa182bcb8f (__TEXT,__text) external _glDrawRangeElementsEXT
00007ffa182b9e77 (__TEXT,__text) external _glDrawTransformFeedback
00007ffa182b9e95 (__TEXT,__text) external _glDrawTransformFeedbackStream
00007ffa182b45f9 (__TEXT,__text) external _glEdgeFlag
00007ffa182b4615 (__TEXT,__text) external _glEdgeFlagPointer
00007ffa182b4634 (__TEXT,__text) external _glEdgeFlagv
00007ffa182bdb23 (__TEXT,__text) external _glElementPointerAPPLE
00007ffa182b4651 (__TEXT,__text) external _glEnable
00007ffa182b466d (__TEXT,__text) external _glEnableClientState
00007ffa182bd6c1 (__TEXT,__text) external _glEnableIndexedEXT
00007ffa182bd81b (__TEXT,__text) external _glEnableVertexAttribAPPLE
00007ffa182b7e5c (__TEXT,__text) external _glEnableVertexAttribArray
00007ffa182bb0aa (__TEXT,__text) external _glEnableVertexAttribArrayARB
00007ffa182b8a7b (__TEXT,__text) external _glEnablei
00007ffa182b4689 (__TEXT,__text) external _glEnd
00007ffa182b8be1 (__TEXT,__text) external _glEndConditionalRender
00007ffa182bde1c (__TEXT,__text) external _glEndConditionalRenderNV
00007ffa182b46a0 (__TEXT,__text) external _glEndList
00007ffa182b77c5 (__TEXT,__text) external _glEndQuery
00007ffa182bbd90 (__TEXT,__text) external _glEndQueryARB
00007ffa182b9ed7 (__TEXT,__text) external _glEndQueryIndexed
00007ffa182b8af1 (__TEXT,__text) external _glEndTransformFeedback
00007ffa182bd055 (__TEXT,__text) external _glEndTransformFeedbackEXT
00007ffa182b46b7 (__TEXT,__text) external _glEvalCoord1d
00007ffa182b46d1 (__TEXT,__text) external _glEvalCoord1dv
00007ffa182b46ee (__TEXT,__text) external _glEvalCoord1f
00007ffa182b4708 (__TEXT,__text) external _glEvalCoord1fv
00007ffa182b4725 (__TEXT,__text) external _glEvalCoord2d
00007ffa182b473f (__TEXT,__text) external _glEvalCoord2dv
00007ffa182b475c (__TEXT,__text) external _glEvalCoord2f
00007ffa182b4776 (__TEXT,__text) external _glEvalCoord2fv
00007ffa182b4793 (__TEXT,__text) external _glEvalMesh1
00007ffa182b47b4 (__TEXT,__text) external _glEvalMesh2
00007ffa182b47db (__TEXT,__text) external _glEvalPoint1
00007ffa182b47f7 (__TEXT,__text) external _glEvalPoint2
00007ffa182b4815 (__TEXT,__text) external _glFeedbackBuffer
00007ffa182b941b (__TEXT,__text) external _glFenceSync
00007ffa182bdeab (__TEXT,__text) external _glFinalCombinerInputNV
00007ffa182b4837 (__TEXT,__text) external _glFinish
00007ffa182bd9f9 (__TEXT,__text) external _glFinishFenceAPPLE
00007ffa182bda33 (__TEXT,__text) external _glFinishObjectAPPLE
00007ffa182bdbfb (__TEXT,__text) external _glFinishRenderAPPLE
00007ffa182b484e (__TEXT,__text) external _glFlush
00007ffa182b8977 (__TEXT,__text) external _glFlushMappedBufferRange
00007ffa182bdc4a (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00007ffa182bdbe4 (__TEXT,__text) external _glFlushRenderAPPLE
00007ffa182bda70 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00007ffa182b726d (__TEXT,__text) external _glFogCoordPointer
00007ffa182bcb6d (__TEXT,__text) external _glFogCoordPointerEXT
00007ffa182b7236 (__TEXT,__text) external _glFogCoordd
00007ffa182bcb36 (__TEXT,__text) external _glFogCoorddEXT
00007ffa182b7250 (__TEXT,__text) external _glFogCoorddv
00007ffa182bcb50 (__TEXT,__text) external _glFogCoorddvEXT
00007ffa182b71ff (__TEXT,__text) external _glFogCoordf
00007ffa182bcaff (__TEXT,__text) external _glFogCoordfEXT
00007ffa182b7219 (__TEXT,__text) external _glFogCoordfv
00007ffa182bcb19 (__TEXT,__text) external _glFogCoordfvEXT
00007ffa182b4865 (__TEXT,__text) external _glFogf
00007ffa182b4881 (__TEXT,__text) external _glFogfv
00007ffa182b48a0 (__TEXT,__text) external _glFogi
00007ffa182b48be (__TEXT,__text) external _glFogiv
00007ffa182b884d (__TEXT,__text) external _glFramebufferRenderbuffer
00007ffa182bce5d (__TEXT,__text) external _glFramebufferRenderbufferEXT
00007ffa182b95ec (__TEXT,__text) external _glFramebufferTexture
00007ffa182b87cb (__TEXT,__text) external _glFramebufferTexture1D
00007ffa182bcddb (__TEXT,__text) external _glFramebufferTexture1DEXT
00007ffa182b87f2 (__TEXT,__text) external _glFramebufferTexture2D
00007ffa182bce02 (__TEXT,__text) external _glFramebufferTexture2DEXT
00007ffa182b8819 (__TEXT,__text) external _glFramebufferTexture3D
00007ffa182bce29 (__TEXT,__text) external _glFramebufferTexture3DEXT
00007ffa182bcf5b (__TEXT,__text) external _glFramebufferTextureEXT
00007ffa182bcfa6 (__TEXT,__text) external _glFramebufferTextureFaceEXT
00007ffa182b892a (__TEXT,__text) external _glFramebufferTextureLayer
00007ffa182bcf7f (__TEXT,__text) external _glFramebufferTextureLayerEXT
00007ffa182b48dd (__TEXT,__text) external _glFrontFace
00007ffa182b48f9 (__TEXT,__text) external _glFrustum
00007ffa182b7884 (__TEXT,__text) external _glGenBuffers
00007ffa182bbe4f (__TEXT,__text) external _glGenBuffersARB
00007ffa182bd967 (__TEXT,__text) external _glGenFencesAPPLE
00007ffa182b8790 (__TEXT,__text) external _glGenFramebuffers
00007ffa182bcda0 (__TEXT,__text) external _glGenFramebuffersEXT
00007ffa182b4913 (__TEXT,__text) external _glGenLists
00007ffa182ba15c (__TEXT,__text) external _glGenProgramPipelines
00007ffa182babe1 (__TEXT,__text) external _glGenProgramsARB
00007ffa182b774d (__TEXT,__text) external _glGenQueries
00007ffa182bbd18 (__TEXT,__text) external _glGenQueriesARB
00007ffa182b86d2 (__TEXT,__text) external _glGenRenderbuffers
00007ffa182bcce2 (__TEXT,__text) external _glGenRenderbuffersEXT
00007ffa182b9653 (__TEXT,__text) external _glGenSamplers
00007ffa182b492f (__TEXT,__text) external _glGenTextures
00007ffa182b9e0e (__TEXT,__text) external _glGenTransformFeedbacks
00007ffa182b89d5 (__TEXT,__text) external _glGenVertexArrays
00007ffa182bdae8 (__TEXT,__text) external _glGenVertexArraysAPPLE
00007ffa182b8895 (__TEXT,__text) external _glGenerateMipmap
00007ffa182bcea5 (__TEXT,__text) external _glGenerateMipmapEXT
00007ffa182b84c8 (__TEXT,__text) external _glGetActiveAttrib
00007ffa182bc4a8 (__TEXT,__text) external _glGetActiveAttribARB
00007ffa182b9cf8 (__TEXT,__text) external _glGetActiveSubroutineName
00007ffa182b9cc4 (__TEXT,__text) external _glGetActiveSubroutineUniformName
00007ffa182b9c9d (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00007ffa182b83fe (__TEXT,__text) external _glGetActiveUniform
00007ffa182bc3e8 (__TEXT,__text) external _glGetActiveUniformARB
00007ffa182b926c (__TEXT,__text) external _glGetActiveUniformBlockName
00007ffa182b9248 (__TEXT,__text) external _glGetActiveUniformBlockiv
00007ffa182b9202 (__TEXT,__text) external _glGetActiveUniformName
00007ffa182b91da (__TEXT,__text) external _glGetActiveUniformsiv
00007ffa182bc3a2 (__TEXT,__text) external _glGetAttachedObjectsARB
00007ffa182b836d (__TEXT,__text) external _glGetAttachedShaders
00007ffa182b84fb (__TEXT,__text) external _glGetAttribLocation
00007ffa182bc4d9 (__TEXT,__text) external _glGetAttribLocationARB
00007ffa182bd0e3 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00007ffa182b8a37 (__TEXT,__text) external _glGetBooleani_v
00007ffa182b494e (__TEXT,__text) external _glGetBooleanv
00007ffa182b95ca (__TEXT,__text) external _glGetBufferParameteri64v
00007ffa182b796b (__TEXT,__text) external _glGetBufferParameteriv
00007ffa182bbf36 (__TEXT,__text) external _glGetBufferParameterivARB
00007ffa182b798d (__TEXT,__text) external _glGetBufferPointerv
00007ffa182bbf58 (__TEXT,__text) external _glGetBufferPointervARB
00007ffa182b790b (__TEXT,__text) external _glGetBufferSubData
00007ffa182bbed6 (__TEXT,__text) external _glGetBufferSubDataARB
00007ffa182b496d (__TEXT,__text) external _glGetClipPlane
00007ffa182b6799 (__TEXT,__text) external _glGetColorTable
00007ffa182bc891 (__TEXT,__text) external _glGetColorTableEXT
00007ffa182b67bd (__TEXT,__text) external _glGetColorTableParameterfv
00007ffa182bc8b5 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00007ffa182b67df (__TEXT,__text) external _glGetColorTableParameteriv
00007ffa182bc8d7 (__TEXT,__text) external _glGetColorTableParameterivEXT
00007ffa182bdeb1 (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00007ffa182bdeb7 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00007ffa182bdebd (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00007ffa182bdec3 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00007ffa182bdedb (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00007ffa182b71c1 (__TEXT,__text) external _glGetCompressedTexImage
00007ffa182bbad1 (__TEXT,__text) external _glGetCompressedTexImageARB
00007ffa182b699e (__TEXT,__text) external _glGetConvolutionFilter
00007ffa182b69c2 (__TEXT,__text) external _glGetConvolutionParameterfv
00007ffa182b69e4 (__TEXT,__text) external _glGetConvolutionParameteriv
00007ffa182bab82 (__TEXT,__text) external _glGetDoublei_v
00007ffa182b498c (__TEXT,__text) external _glGetDoublev
00007ffa182b49ab (__TEXT,__text) external _glGetError
00007ffa182bdec9 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00007ffa182bdecf (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00007ffa182bab60 (__TEXT,__text) external _glGetFloati_v
00007ffa182b49c2 (__TEXT,__text) external _glGetFloatv
00007ffa182b9634 (__TEXT,__text) external _glGetFragDataIndex
00007ffa182b8f2f (__TEXT,__text) external _glGetFragDataLocation
00007ffa182bd5ab (__TEXT,__text) external _glGetFragDataLocationEXT
00007ffa182b8871 (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00007ffa182bce81 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00007ffa182bbf97 (__TEXT,__text) external _glGetHandleARB
00007ffa182b6a77 (__TEXT,__text) external _glGetHistogram
00007ffa182b6a9e (__TEXT,__text) external _glGetHistogramParameterfv
00007ffa182b6ac0 (__TEXT,__text) external _glGetHistogramParameteriv
00007ffa182bc37c (__TEXT,__text) external _glGetInfoLogARB
00007ffa182b95a8 (__TEXT,__text) external _glGetInteger64i_v
00007ffa182b94b9 (__TEXT,__text) external _glGetInteger64v
00007ffa182bd0c1 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00007ffa182b8a59 (__TEXT,__text) external _glGetIntegeri_v
00007ffa182b49e1 (__TEXT,__text) external _glGetIntegerv
00007ffa182bc718 (__TEXT,__text) external _glGetInternalformativ
00007ffa182b4a00 (__TEXT,__text) external _glGetLightfv
00007ffa182b4a22 (__TEXT,__text) external _glGetLightiv
00007ffa182b4a44 (__TEXT,__text) external _glGetMapdv
00007ffa182b4a66 (__TEXT,__text) external _glGetMapfv
00007ffa182b4a88 (__TEXT,__text) external _glGetMapiv
00007ffa182b4aaa (__TEXT,__text) external _glGetMaterialfv
00007ffa182b4acc (__TEXT,__text) external _glGetMaterialiv
00007ffa182b6ae2 (__TEXT,__text) external _glGetMinmax
00007ffa182b6b09 (__TEXT,__text) external _glGetMinmaxParameterfv
00007ffa182b6b2b (__TEXT,__text) external _glGetMinmaxParameteriv
00007ffa182b9568 (__TEXT,__text) external _glGetMultisamplefv
00007ffa182bc6cb (__TEXT,__text) external _glGetNamedStringARB
00007ffa182bc6f3 (__TEXT,__text) external _glGetNamedStringivARB
00007ffa182bd79f (__TEXT,__text) external _glGetObjectLabelEXT
00007ffa182bc336 (__TEXT,__text) external _glGetObjectParameterfvARB
00007ffa182bdcaf (__TEXT,__text) external _glGetObjectParameterivAPPLE
00007ffa182bc359 (__TEXT,__text) external _glGetObjectParameterivARB
00007ffa182b4aee (__TEXT,__text) external _glGetPixelMapfv
00007ffa182b4b0d (__TEXT,__text) external _glGetPixelMapuiv
00007ffa182b4b2c (__TEXT,__text) external _glGetPixelMapusv
00007ffa182b4b4b (__TEXT,__text) external _glGetPointerv
00007ffa182b4b6a (__TEXT,__text) external _glGetPolygonStipple
00007ffa182ba052 (__TEXT,__text) external _glGetProgramBinary
