00000002265c04a8 (__TEXT,__text) non-external _DiToMD5
000000029aaaabc0 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000002265a005c (__TEXT,__text) external _IOParseBootArgNumber
00000002265a04dc (__TEXT,__text) external _IOParseBootArgString
00000002265a225c (__TEXT,__text) external _IORPCMessageFromMach
00000002265d26f4 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000002265d2720 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000002265a353c (__TEXT,__text) external _IORWLockAlloc
00000002265d2b54 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000002265a3590 (__TEXT,__text) external _IORWLockFree
00000002265a35d4 (__TEXT,__text) external _IORWLockRead
00000002265d2b80 (__TEXT,__text) non-external _IORWLockRead.cold.1
00000002265a3614 (__TEXT,__text) external _IORWLockUnlock
00000002265d2bd8 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000002265a35f4 (__TEXT,__text) external _IORWLockWrite
00000002265d2bac (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000002265a334c (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000002265a3398 (__TEXT,__text) external _IORecursiveConditionLockFree
00000002265a3480 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000002265d2ad0 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000002265a33a8 (__TEXT,__text) external _IORecursiveConditionLockLock
00000002265d2a20 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000002265d2a4c (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000002265a34c4 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000002265d2afc (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000002265d2b28 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00000002265a3410 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000002265d2a78 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000002265d2aa4 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000002265a32f4 (__TEXT,__text) external _IORecursiveLockAlloc
00000002265a3328 (__TEXT,__text) external _IORecursiveLockFree
00000002265a3344 (__TEXT,__text) external _IORecursiveLockHaveLock
00000002265a3338 (__TEXT,__text) external _IORecursiveLockLock
00000002265a3348 (__TEXT,__text) external _IORecursiveLockTryLock
00000002265a3340 (__TEXT,__text) external _IORecursiveLockUnlock
000000029aaaaff0 (__AUTH_CONST,__const) external _IOReportLegend_Class
000000029aaaad70 (__AUTH_CONST,__const) external _IOReporter_Class
000000029aaab620 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
000000029aaab7d0 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
000000029aaab470 (__AUTH_CONST,__const) external _IOService_Class
000000029aaaae10 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
000000022659ffa4 (__TEXT,__text) external _IOSleep
000000029aaaaeb0 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000002265a36f4 (__TEXT,__text) external _IOThreadLocalStorageGet
00000002265a3648 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00000002265a3698 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00000002265a36c0 (__TEXT,__text) external _IOThreadLocalStorageSet
000000029aaad5d0 (__AUTH_CONST,__const) external _IOThread_Class
000000029aaab980 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
000000029aaabb30 (__AUTH_CONST,__const) external _IOUserClient_Class
00000002265a3df8 (__TEXT,__text) external _IOUserServerMain
00000002265d2f30 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000002265d30bc (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000002265d2f5c (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000002265d2f88 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000002265d2fb4 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000002265d2fe0 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000002265d300c (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000002265d3038 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000002265d3064 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000002265d3090 (__TEXT,__text) non-external _IOUserServerMain.cold.9
000000029aaabeb0 (__AUTH_CONST,__const) external _IOUserServer_Class
0000000298ddfec8 (__DATA_DIRTY,__common) external _IOVMPageSize
000000029aaac060 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000002265c066c (__TEXT,__text) external _MD5Final
00000002265c03f8 (__TEXT,__text) external _MD5Init
00000002265c05f0 (__TEXT,__text) non-external _MD5ToDi
00000002265c0518 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
000000029aaac210 (__AUTH_CONST,__const) external _OSAction_Class
000000029aaabbd0 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
000000029aaad310 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000002265af470 (__TEXT,__text) external _OSArrayAppendValue
00000002265aefcc (__TEXT,__text) external _OSArrayApply
00000002265aef58 (__TEXT,__text) external _OSArrayCreate
00000002265ae428 (__TEXT,__text) external _OSArrayGetCount
00000002265af518 (__TEXT,__text) external _OSArrayGetStringValue
00000002265af5c8 (__TEXT,__text) external _OSArrayGetUInt64Value
00000002265af4a4 (__TEXT,__text) external _OSArrayGetValue
00000002265af468 (__TEXT,__text) external _OSArrayReplaceValue
00000002265af544 (__TEXT,__text) external _OSArraySetStringValue
00000002265af6d0 (__TEXT,__text) external _OSArraySetUInt64Value
00000002265af284 (__TEXT,__text) external _OSArraySetValue
000000029aaac3c0 (__AUTH_CONST,__const) external _OSArray_Class
000000029aaac4b8 (__AUTH_CONST,__const) external _OSBoolean_Class
000000029aaac5b0 (__AUTH_CONST,__const) external _OSBundle_Class
00000002265acf18 (__TEXT,__text) external _OSCollectionTypeID
00000002265d3f24 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000002265ace54 (__TEXT,__text) external _OSCollectionTypeName
00000002265d3ecc (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
000000029aaac6a8 (__AUTH_CONST,__const) external _OSCollection_Class
00000002265b26cc (__TEXT,__text) external _OSCollectionsInitialize
000000029aaac7a0 (__AUTH_CONST,__const) external _OSContainer_Class
00000002265acf9c (__TEXT,__text) external _OSCreateObjectFromSerialization
00000002265d3f7c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000002265b0154 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000002265d4630 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000002265b001c (__TEXT,__text) external _OSCreateSerializationFromObject
00000002265ae220 (__TEXT,__text) external _OSDataAppendBytes
00000002265d41b8 (__TEXT,__text) non-external _OSDataAppendBytes.cold.1
00000002265ae168 (__TEXT,__text) external _OSDataCreate
00000002265d418c (__TEXT,__text) non-external _OSDataCreate.cold.1
00000002265ae0fc (__TEXT,__text) external _OSDataGetBytes
00000002265ae0b0 (__TEXT,__text) external _OSDataGetBytesPtr
00000002265ae0ec (__TEXT,__text) external _OSDataGetLength
000000029aaac900 (__AUTH_CONST,__const) external _OSData_Class
00000002265ae434 (__TEXT,__text) external _OSDictionaryApply
00000002265ae3a8 (__TEXT,__text) external _OSDictionaryCreate
00000002265ae41c (__TEXT,__text) external _OSDictionaryGetCount
00000002265aec08 (__TEXT,__text) external _OSDictionaryGetStringValue
00000002265aee10 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000002265aeb68 (__TEXT,__text) external _OSDictionaryGetValue
00000002265aed8c (__TEXT,__text) external _OSDictionarySetStringValue
00000002265aeed8 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000002265ae794 (__TEXT,__text) external _OSDictionarySetValue
000000029aaac9f8 (__AUTH_CONST,__const) external _OSDictionary_Class
000000029aaacaf0 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000002265ae328 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000002265ae300 (__TEXT,__text) external _OSNumberGetUInt64Value
000000029aaacbe8 (__AUTH_CONST,__const) external _OSNumber_Class
00000002265b0734 (__TEXT,__text) external _OSObjectLog
00000002265aceb0 (__TEXT,__text) external _OSObjectRelease
00000002265ace8c (__TEXT,__text) external _OSObjectRetain
000000029aaacce0 (__AUTH_CONST,__const) external _OSObject_Class
000000029aaace90 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000002265a04e4 (__TEXT,__text) external _OSReportWithBacktrace
00000002265b02a4 (__TEXT,__text) external _OSSerializationGetBytes
000000029aaacf88 (__AUTH_CONST,__const) external _OSSerialization_Class
000000029aaad080 (__AUTH_CONST,__const) external _OSSet_Class
00000002265ada78 (__TEXT,__text) external _OSStringCreate
00000002265d4058 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000002265d4084 (__TEXT,__text) non-external _OSStringCreate.cold.2
00000002265d40b0 (__TEXT,__text) non-external _OSStringCreate.cold.3
00000002265ada24 (__TEXT,__text) external _OSStringGetLength
00000002265ad9e8 (__TEXT,__text) external _OSStringGetStringPtr
000000029aaad178 (__AUTH_CONST,__const) external _OSString_Class
000000022659ffb4 (__TEXT,__text) external _OSSynchronizeIO
0000000298ddfed8 (__DATA_DIRTY,__bss) non-external _OSUniqueStrings
00000002265a08c8 (__TEXT,__text) external _PE_i_can_has_debugger
00000002265c09a0 (__TEXT,__text) external _SHA1Final
00000002265c0728 (__TEXT,__text) external _SHA1Init
00000002265c0928 (__TEXT,__text) non-external _SHA1ToDi
00000002265c0850 (__TEXT,__text) external _SHA1Update
00000002265c1498 (__TEXT,__text) external _SHA256_Final
00000002265c13f8 (__TEXT,__text) external _SHA256_Init
00000002265d513c (__TEXT,__text) non-external _SHA256_Init.cold.1
00000002265c1448 (__TEXT,__text) external _SHA256_Update
00000002265c157c (__TEXT,__text) external _SHA384_Final
00000002265c14dc (__TEXT,__text) external _SHA384_Init
00000002265d5164 (__TEXT,__text) non-external _SHA384_Init.cold.1
00000002265c152c (__TEXT,__text) external _SHA384_Update
00000002265c1660 (__TEXT,__text) external _SHA512_Final
00000002265c15c0 (__TEXT,__text) external _SHA512_Init
00000002265d518c (__TEXT,__text) non-external _SHA512_Init.cold.1
00000002265c1610 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000002265a1570 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000002265c16a4 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
000000029aaad270 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
00000002949c4c40 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000002265a18e8 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000002265d243c (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000002265a36f8 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000002265d2c04 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000002265d2c30 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000002265d2c5c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000002265d2c88 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000002265d2cb4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000002265a24ec (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000002265d2810 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000002265d283c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000002265d2868 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000002265d2894 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000002265a1c18 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000002265d24ec (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000002265af480 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000002265b2658 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000002265a173c (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000002265d23b8 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000002265d23e4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000002265d2410 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000002265af5f4 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000002265af6a4 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000002265af620 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000002265a195c (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000002265afaa8 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000002265d44d0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000002265d44fc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000002265d4528 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000002265d4554 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000002265d4580 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000002265d45ac (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
000000022659fb18 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
000000022659fc6c (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000002265a1f54 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000002265d2544 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00000002265a20c8 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000002265a3b44 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000002265a16a8 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000002265a15e8 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000002265b02c0 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000002265d465c (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000002265a1b28 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000002265d2494 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000002265d24c0 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00000002265acf5c (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000002265d3f50 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000002265aced4 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000002265d3ef8 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
000000022659ea84 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000002265ae048 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000002265af750 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000002265d4268 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000002265d4294 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000002265d42c0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000002265d42ec (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000002265d4318 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000002265ae010 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000002265ae2dc (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000002265af894 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000002265d4344 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000002265d4370 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000002265d439c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000002265a3af4 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000002265a2fa0 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000002265d0bd0 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
000000022659f9e8 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000002265a0db0 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00000002265d2334 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00000002265ac918 (__TEXT,__text) non-external __ZL10uiomessagePv
00000002265d09e0 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000002265b181c (__TEXT,__text) non-external __ZL11OSSetCreatev
00000002265d5dc0 (__TEXT,__const) non-external __ZL11yytranslate
00000002265d2080 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000002265d02ec (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000002265d0ad0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000002265d0d28 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000002265d0d90 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000002265addc4 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00000002265add74 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000002265d40dc (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000002265d154c (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000002265c1c4c (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000002265c774c (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000002265ab200 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000002265d3be0 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000002265d3c0c (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000002265d3c38 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000002265d0a68 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000002265c7544 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000002265a52e4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000002265d34d4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000002265d3500 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000002265d352c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000002265d3558 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000002265c4728 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000002265c7224 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000002265cfbf4 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000002265d0b68 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000002265a3934 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000002265d2e14 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000002265d2e40 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000002265d2e6c (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000002265d2e98 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000002265a47e8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000002265d3258 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000002265d3298 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000002265d32c4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000002265d32f0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000002265ac318 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000002265d3d14 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000002265d3d40 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000002265d3d6c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000002265d3d98 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000002265d3dc4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000002265d3df0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000002265d3e1c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00000002949c4c58 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000002265c1d3c (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000002265ce33c (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000002265cf37c (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000002265d0b38 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000002265ac2b0 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000002265a37dc (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000002265d2ce0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000002265d2d0c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000002265d2d38 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
