                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007fff77cf4f28 (__TEXT,__text) external __crypt_blowfish_rn
00007fff77cf0880 (__TEXT,__text) external _apr_brigade_to_iovec
00007fff77cf0e91 (__TEXT,__text) external _apr_brigade_vprintf
00007fff77cf091c (__TEXT,__text) external _apr_brigade_vputstrs
00007fff77cf0726 (__TEXT,__text) external _apr_brigade_write
00007fff77cf0a17 (__TEXT,__text) external _apr_brigade_writev
00007fff77cf110e (__TEXT,__text) external _apr_bucket_alloc
00007fff77cf1005 (__TEXT,__text) external _apr_bucket_alloc_create
00007fff77cf1080 (__TEXT,__text) external _apr_bucket_alloc_create_ex
00007fff77cf10db (__TEXT,__text) external _apr_bucket_alloc_destroy
00007fff77cf0ff4 (__TEXT,__text) external _apr_bucket_copy_notimpl
00007fff77cf0fff (__TEXT,__text) external _apr_bucket_destroy_noop
00007fff77cf1218 (__TEXT,__text) external _apr_bucket_eos_create
00007fff77cf11f6 (__TEXT,__text) external _apr_bucket_eos_make
00007fff77cf12d9 (__TEXT,__text) external _apr_bucket_file_create
00007fff77cf1365 (__TEXT,__text) external _apr_bucket_file_enable_mmap
00007fff77cf1274 (__TEXT,__text) external _apr_bucket_file_make
00007fff77cf16a6 (__TEXT,__text) external _apr_bucket_flush_create
00007fff77cf1684 (__TEXT,__text) external _apr_bucket_flush_make
00007fff77cf11c1 (__TEXT,__text) external _apr_bucket_free
00007fff77cf17a8 (__TEXT,__text) external _apr_bucket_heap_create
00007fff77cf1702 (__TEXT,__text) external _apr_bucket_heap_make
00007fff77cf1f56 (__TEXT,__text) external _apr_bucket_immortal_create
00007fff77cf1f32 (__TEXT,__text) external _apr_bucket_immortal_make
00007fff77cf18cb (__TEXT,__text) external _apr_bucket_mmap_create
00007fff77cf1847 (__TEXT,__text) external _apr_bucket_mmap_make
00007fff77cf1a5a (__TEXT,__text) external _apr_bucket_pipe_create
00007fff77cf1a33 (__TEXT,__text) external _apr_bucket_pipe_make
00007fff77cf1d03 (__TEXT,__text) external _apr_bucket_pool_create
00007fff77cf1c2a (__TEXT,__text) external _apr_bucket_pool_make
00007fff77cf0fd6 (__TEXT,__text) external _apr_bucket_setaside_noop
00007fff77cf0fde (__TEXT,__text) external _apr_bucket_setaside_notimpl
00007fff77cf1e02 (__TEXT,__text) external _apr_bucket_shared_copy
00007fff77cf1e1c (__TEXT,__text) external _apr_bucket_shared_destroy
00007fff77cf1e29 (__TEXT,__text) external _apr_bucket_shared_make
00007fff77cf1de6 (__TEXT,__text) external _apr_bucket_shared_split
00007fff77cf1e44 (__TEXT,__text) external _apr_bucket_simple_copy
00007fff77cf1ea7 (__TEXT,__text) external _apr_bucket_simple_split
00007fff77cf20a0 (__TEXT,__text) external _apr_bucket_socket_create
00007fff77cf2079 (__TEXT,__text) external _apr_bucket_socket_make
00007fff77cf0fe9 (__TEXT,__text) external _apr_bucket_split_notimpl
00007fff77cf1fd6 (__TEXT,__text) external _apr_bucket_transient_create
00007fff77cf1fb2 (__TEXT,__text) external _apr_bucket_transient_make
00007fff8d84bab0 (__DATA_CONST,__const) external _apr_bucket_type_eos
00007fff8d84bae8 (__DATA_CONST,__const) external _apr_bucket_type_file
00007fff8d84bb20 (__DATA_CONST,__const) external _apr_bucket_type_flush
00007fff8d84bb58 (__DATA_CONST,__const) external _apr_bucket_type_heap
00007fff8d84bc38 (__DATA_CONST,__const) external _apr_bucket_type_immortal
00007fff8d84bb90 (__DATA_CONST,__const) external _apr_bucket_type_mmap
00007fff8d84bbc8 (__DATA_CONST,__const) external _apr_bucket_type_pipe
00007fff8d84bc00 (__DATA_CONST,__const) external _apr_bucket_type_pool
00007fff8d84bca8 (__DATA_CONST,__const) external _apr_bucket_type_socket
00007fff8d84bc70 (__DATA_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
00007fff86920ca0 (__DATA,__common) external _apr_current_hooking_module
00007fff77cfcc44 (__TEXT,__text) external _apr_date_checkmask
00007fff77cfcd50 (__TEXT,__text) external _apr_date_parse_http
00007fff77cfd132 (__TEXT,__text) external _apr_date_parse_rfc
00007fff77cf76cd (__TEXT,__text) external _apr_dbd_check_conn
00007fff77cf76ee (__TEXT,__text) external _apr_dbd_close
00007fff77cf7fe0 (__TEXT,__text) external _apr_dbd_datum_get
00007fff77cf76de (__TEXT,__text) external _apr_dbd_error
00007fff77cf7852 (__TEXT,__text) external _apr_dbd_escape
00007fff77cf7627 (__TEXT,__text) external _apr_dbd_get_driver
00007fff77cf782f (__TEXT,__text) external _apr_dbd_get_entry
00007fff77cf783f (__TEXT,__text) external _apr_dbd_get_name
00007fff77cf7818 (__TEXT,__text) external _apr_dbd_get_row
00007fff77cf752a (__TEXT,__text) external _apr_dbd_init
00007fff77cf7508 (__TEXT,__text) external _apr_dbd_mutex_lock
00007fff77cf7519 (__TEXT,__text) external _apr_dbd_mutex_unlock
00007fff77cf77a3 (__TEXT,__text) external _apr_dbd_name
00007fff77cf77ac (__TEXT,__text) external _apr_dbd_native_handle
00007fff77cf77fc (__TEXT,__text) external _apr_dbd_num_cols
00007fff77cf780a (__TEXT,__text) external _apr_dbd_num_tuples
00007fff77cf76fc (__TEXT,__text) external _apr_dbd_open
00007fff77cf765a (__TEXT,__text) external _apr_dbd_open_ex
00007fff77cf7e5c (__TEXT,__text) external _apr_dbd_pbquery
00007fff77cf7e79 (__TEXT,__text) external _apr_dbd_pbselect
00007fff77cf7cd4 (__TEXT,__text) external _apr_dbd_pquery
00007fff77cf7869 (__TEXT,__text) external _apr_dbd_prepare
00007fff77cf7cf5 (__TEXT,__text) external _apr_dbd_pselect
00007fff77cf7e9d (__TEXT,__text) external _apr_dbd_pvbquery
00007fff77cf7f3f (__TEXT,__text) external _apr_dbd_pvbselect
00007fff77cf7d19 (__TEXT,__text) external _apr_dbd_pvquery
00007fff77cf7dbb (__TEXT,__text) external _apr_dbd_pvselect
00007fff77cf77ce (__TEXT,__text) external _apr_dbd_query
00007fff77cf77e2 (__TEXT,__text) external _apr_dbd_select
00007fff77cf77ba (__TEXT,__text) external _apr_dbd_set_dbname
00007fff8d84bea0 (__DATA_CONST,__const) external _apr_dbd_sqlite3_driver
00007fff77cf7756 (__TEXT,__text) external _apr_dbd_transaction_end
00007fff77cf777f (__TEXT,__text) external _apr_dbd_transaction_mode_get
00007fff77cf7790 (__TEXT,__text) external _apr_dbd_transaction_mode_set
00007fff77cf7709 (__TEXT,__text) external _apr_dbd_transaction_start
00007fff77cf811d (__TEXT,__text) external _apr_dbm_close
00007fff77cf8147 (__TEXT,__text) external _apr_dbm_delete
00007fff77cf8156 (__TEXT,__text) external _apr_dbm_exists
00007fff77cf8129 (__TEXT,__text) external _apr_dbm_fetch
00007fff77cf8165 (__TEXT,__text) external _apr_dbm_firstkey
00007fff77cf8183 (__TEXT,__text) external _apr_dbm_freedatum
00007fff77cf8215 (__TEXT,__text) external _apr_dbm_get_usednames
00007fff77cf81c8 (__TEXT,__text) external _apr_dbm_get_usednames_ex
00007fff77cf8192 (__TEXT,__text) external _apr_dbm_geterror
00007fff77cf8174 (__TEXT,__text) external _apr_dbm_nextkey
00007fff77cf80c0 (__TEXT,__text) external _apr_dbm_open
00007fff77cf7ff8 (__TEXT,__text) external _apr_dbm_open_ex
00007fff77cf8138 (__TEXT,__text) external _apr_dbm_store
00007fff8d84bcf0 (__DATA_CONST,__const) external _apr_dbm_type_sdbm
00007fff86920c98 (__DATA,__common) external _apr_debug_module_hooks
00007fff77cfa009 (__TEXT,__text) external _apr_dynamic_fn_register
00007fff77cf9fd5 (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get$INODE64 (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
00007fff86920c90 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
00007fff86920c88 (__DATA,__common) external _apr_hook_debug_current
00007fff86920c80 (__DATA,__common) external _apr_hook_debug_enabled
00007fff77cf9d7a (__TEXT,__text) external _apr_hook_debug_show
00007fff77cf9d2b (__TEXT,__text) external _apr_hook_deregister_all
00007fff86920c78 (__DATA,__common) external _apr_hook_global_pool
00007fff77cf9828 (__TEXT,__text) external _apr_hook_sort_all
00007fff77cf97de (__TEXT,__text) external _apr_hook_sort_register
00007fff77d02f84 (__TEXT,__text) external _apr_ldap_get_option
00007fff77d02f4e (__TEXT,__text) external _apr_ldap_info
00007fff77d02ea7 (__TEXT,__text) external _apr_ldap_init
00007fff77cfa06a (__TEXT,__text) external _apr_ldap_is_ldap_url
00007fff77cfa1aa (__TEXT,__text) external _apr_ldap_is_ldapi_url
00007fff77cfa168 (__TEXT,__text) external _apr_ldap_is_ldaps_url
00007fff77d03314 (__TEXT,__text) external _apr_ldap_rebind_add
00007fff77d032b8 (__TEXT,__text) external _apr_ldap_rebind_init
00007fff77d03407 (__TEXT,__text) external _apr_ldap_rebind_remove
00007fff77d0301c (__TEXT,__text) external _apr_ldap_set_option
00007fff77d02e9f (__TEXT,__text) external _apr_ldap_ssl_deinit
00007fff77d02df4 (__TEXT,__text) external _apr_ldap_ssl_init
00007fff77cfa921 (__TEXT,__text) external _apr_ldap_url_parse
00007fff77cfa1ec (__TEXT,__text) external _apr_ldap_url_parse_ext
00007fff77cf2b2e (__TEXT,__text) external _apr_md4
00007fff77cf2a1d (__TEXT,__text) external _apr_md4_final
00007fff77cf2268 (__TEXT,__text) external _apr_md4_init
00007fff77cf2284 (__TEXT,__text) external _apr_md4_set_xlate
00007fff77cf22c1 (__TEXT,__text) external _apr_md4_update
00007fff77cf2ec8 (__TEXT,__text) external _apr_md5
00007fff77cf2f31 (__TEXT,__text) external _apr_md5_encode
00007fff77cf2db3 (__TEXT,__text) external _apr_md5_final
00007fff77cf2b95 (__TEXT,__text) external _apr_md5_init
00007fff77cf2bb1 (__TEXT,__text) external _apr_md5_set_xlate
00007fff77cf2bee (__TEXT,__text) external _apr_md5_update
00007fff77cfb1f1 (__TEXT,__text) external _apr_memcache_add
00007fff77cfbb30 (__TEXT,__text) external _apr_memcache_add_multget_key
00007fff77cfa962 (__TEXT,__text) external _apr_memcache_add_server
00007fff77cfae7b (__TEXT,__text) external _apr_memcache_create
00007fff77cfb9f0 (__TEXT,__text) external _apr_memcache_decr
00007fff77cfb65a (__TEXT,__text) external _apr_memcache_delete
00007fff77cfabbb (__TEXT,__text) external _apr_memcache_disable_server
00007fff77cfaba6 (__TEXT,__text) external _apr_memcache_enable_server
00007fff77cfab48 (__TEXT,__text) external _apr_memcache_find_server
00007fff77cfa98f (__TEXT,__text) external _apr_memcache_find_server_hash
00007fff77cfa9ae (__TEXT,__text) external _apr_memcache_find_server_hash_default
00007fff77cfb24b (__TEXT,__text) external _apr_memcache_getp
00007fff77cfaf68 (__TEXT,__text) external _apr_memcache_hash
00007fff77cfaede (__TEXT,__text) external _apr_memcache_hash_crc32
00007fff77cfaf1f (__TEXT,__text) external _apr_memcache_hash_default
00007fff77cfb806 (__TEXT,__text) external _apr_memcache_incr
00007fff77cfbbc3 (__TEXT,__text) external _apr_memcache_multgetp
00007fff77cfb21e (__TEXT,__text) external _apr_memcache_replace
00007fff77cfabef (__TEXT,__text) external _apr_memcache_server_create
00007fff77cfafc2 (__TEXT,__text) external _apr_memcache_set
00007fff77cfc506 (__TEXT,__text) external _apr_memcache_stats
00007fff77cfba09 (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
00007fff77cf9eb5 (__TEXT,__text) external _apr_optional_hook_add
00007fff77cf9e7b (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
00007fff77cf3d77 (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
00007fff77cf8264 (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
00007fff77cfd9b2 (__TEXT,__text) external _apr_queue_create
00007fff77cfdddf (__TEXT,__text) external _apr_queue_interrupt_all
00007fff77cfdc48 (__TEXT,__text) external _apr_queue_pop
00007fff77cfdaaf (__TEXT,__text) external _apr_queue_push
00007fff77cfdc3f (__TEXT,__text) external _apr_queue_size
00007fff77cfde1d (__TEXT,__text) external _apr_queue_term
00007fff77cfdd37 (__TEXT,__text) external _apr_queue_trypop
00007fff77cfdb99 (__TEXT,__text) external _apr_queue_trypush
00007fff77cfe21b (__TEXT,__text) external _apr_reslist_acquire
00007fff77cfe4e4 (__TEXT,__text) external _apr_reslist_acquired_count
00007fff77cfe553 (__TEXT,__text) external _apr_reslist_cleanup_order_set
00007fff77cfdfd8 (__TEXT,__text) external _apr_reslist_create
00007fff77cfe204 (__TEXT,__text) external _apr_reslist_destroy
00007fff77cfe510 (__TEXT,__text) external _apr_reslist_invalidate
00007fff77cfde5c (__TEXT,__text) external _apr_reslist_maintain
00007fff77cfe414 (__TEXT,__text) external _apr_reslist_release
00007fff77cfe4da (__TEXT,__text) external _apr_reslist_timeout_set
00007fff77cfed45 (__TEXT,__text) external _apr_rmm_addr_get
00007fff77cfe844 (__TEXT,__text) external _apr_rmm_attach
00007fff77cfebb8 (__TEXT,__text) external _apr_rmm_calloc
00007fff77cfe70c (__TEXT,__text) external _apr_rmm_destroy
00007fff77cfe8ce (__TEXT,__text) external _apr_rmm_detach
00007fff77cfed52 (__TEXT,__text) external _apr_rmm_free
00007fff77cfe5a4 (__TEXT,__text) external _apr_rmm_init
00007fff77cfe8d6 (__TEXT,__text) external _apr_rmm_malloc
00007fff77cfed38 (__TEXT,__text) external _apr_rmm_offset_get
00007fff77cfeed0 (__TEXT,__text) external _apr_rmm_overhead_get
00007fff77cfecb0 (__TEXT,__text) external _apr_rmm_realloc
00007fff77cf8714 (__TEXT,__text) external _apr_sdbm_close
00007fff77cf8973 (__TEXT,__text) external _apr_sdbm_delete
00007fff77cf8766 (__TEXT,__text) external _apr_sdbm_fetch
00007fff77cf8e07 (__TEXT,__text) external _apr_sdbm_firstkey
00007fff77cf906c (__TEXT,__text) external _apr_sdbm_lock
00007fff77cf8edb (__TEXT,__text) external _apr_sdbm_nextkey
00007fff77cf857b (__TEXT,__text) external _apr_sdbm_open
00007fff77cf8a1d (__TEXT,__text) external _apr_sdbm_rdonly
00007fff77cf8a73 (__TEXT,__text) external _apr_sdbm_store
00007fff77cf9138 (__TEXT,__text) external _apr_sdbm_unlock
00007fff77cf4e4f (__TEXT,__text) external _apr_sha1_base64
00007fff77cf4d48 (__TEXT,__text) external _apr_sha1_final
00007fff77cf3f49 (__TEXT,__text) external _apr_sha1_init
00007fff77cf4d3e (__TEXT,__text) external _apr_sha1_update
00007fff77cf3f6a (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
00007fff77cffeb5 (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
00007fff77d0140a (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
00007fff77cffa18 (__TEXT,__text) external _apr_thread_pool_busy_count
00007fff77cfeee1 (__TEXT,__text) external _apr_thread_pool_create
00007fff77cff513 (__TEXT,__text) external _apr_thread_pool_destroy
00007fff77cffa26 (__TEXT,__text) external _apr_thread_pool_idle_count
00007fff77cffa58 (__TEXT,__text) external _apr_thread_pool_idle_max_get
00007fff77cffa6c (__TEXT,__text) external _apr_thread_pool_idle_max_set
00007fff77cffa62 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
00007fff77cffb44 (__TEXT,__text) external _apr_thread_pool_idle_wait_set
00007fff77cff523 (__TEXT,__text) external _apr_thread_pool_push
00007fff77cff744 (__TEXT,__text) external _apr_thread_pool_schedule
00007fff77cffa04 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
00007fff77cffbdf (__TEXT,__text) external _apr_thread_pool_task_owner_get
00007fff77cff86e (__TEXT,__text) external _apr_thread_pool_tasks_cancel
00007fff77cff9fa (__TEXT,__text) external _apr_thread_pool_tasks_count
00007fff77cffa3a (__TEXT,__text) external _apr_thread_pool_tasks_high_count
00007fff77cffa30 (__TEXT,__text) external _apr_thread_pool_tasks_run_count
00007fff77cffb52 (__TEXT,__text) external _apr_thread_pool_thread_max_get
00007fff77cffb5c (__TEXT,__text) external _apr_thread_pool_thread_max_set
00007fff77cffa0e (__TEXT,__text) external _apr_thread_pool_threads_count
00007fff77cffa44 (__TEXT,__text) external _apr_thread_pool_threads_high_count
00007fff77cffa4e (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
00007fff77cffbc7 (__TEXT,__text) external _apr_thread_pool_threshold_get
00007fff77cffbd1 (__TEXT,__text) external _apr_thread_pool_threshold_set
00007fff77cff85e (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
00007fff77d003c2 (__TEXT,__text) external _apr_uri_parse
00007fff77d007a2 (__TEXT,__text) external _apr_uri_parse_hostinfo
00007fff77d000f5 (__TEXT,__text) external _apr_uri_port_of_scheme
00007fff77d0013a (__TEXT,__text) external _apr_uri_unparse
00007fff77cf71b4 (__TEXT,__text) external _apr_uuid_format
00007fff77cf705a (__TEXT,__text) external _apr_uuid_get
00007fff77cf725f (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
00007fff77d00c55 (__TEXT,__text) external _apr_xlate_close
00007fff77d00b7d (__TEXT,__text) external _apr_xlate_conv_buffer
00007fff77d00c37 (__TEXT,__text) external _apr_xlate_conv_byte
00007fff77d008aa (__TEXT,__text) external _apr_xlate_open
00007fff77d00b69 (__TEXT,__text) external _apr_xlate_sb_get
00007fff77d01c44 (__TEXT,__text) external _apr_xml_empty_elem
00007fff77d00d6c (__TEXT,__text) external _apr_xml_insert_uri
00007fff77d0136a (__TEXT,__text) external _apr_xml_parse_file
00007fff77d00c6c (__TEXT,__text) external _apr_xml_parser_create
00007fff77d01272 (__TEXT,__text) external _apr_xml_parser_done
00007fff77d0121b (__TEXT,__text) external _apr_xml_parser_feed
00007fff77d012c6 (__TEXT,__text) external _apr_xml_parser_geterror
00007fff77d0151f (__TEXT,__text) external _apr_xml_quote_elem
00007fff77d0144b (__TEXT,__text) external _apr_xml_quote_string
00007fff77d015b6 (__TEXT,__text) external _apr_xml_to_text
00007fff77cf94ff (__TEXT,__text) external _apu__sdbm_chkpage
00007fff77cf9344 (__TEXT,__text) external _apu__sdbm_delpair
00007fff77cf92d8 (__TEXT,__text) external _apu__sdbm_duppair
00007fff77cf9171 (__TEXT,__text) external _apu__sdbm_fitpair
00007fff77cf92fd (__TEXT,__text) external _apu__sdbm_getnkey
00007fff77cf9216 (__TEXT,__text) external _apu__sdbm_getpair
00007fff77cf8f90 (__TEXT,__text) external _apu__sdbm_hash
00007fff77d06380 (__TEXT,__const) external _apu__sdbm_nullitem
00007fff77cf919c (__TEXT,__text) external _apu__sdbm_putpair
00007fff77cf93e3 (__TEXT,__text) external _apu__sdbm_splpage
00007fff77cffe98 (__TEXT,__text) external _apu_version
00007fff77cffea8 (__TEXT,__text) external _apu_version_string
