00007ff80b3be7fc (__TEXT,__text) non-external _Annihilate
00007ff80b3f3fa4 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80b3f4f88 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80b3f5f6c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80b3f6f50 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80b3f7f34 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80b3f8f18 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80b3f9efc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80b3faf61 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80b3f1fdc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80b3f2fc0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80b3ce5fe (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80b3e1894 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80b3d5631 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80b3cdbba (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80b3d5502 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80b3c4440 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80b3c4511 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80b3c45ec (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80b3c44dc (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80b3c8afc (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80b3c8af3 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80b3c89d4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80b3caedc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80b3c8ab5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80b3c8a9c (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80b3c43f4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80b3caea1 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80b3cae11 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80b3caca4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80b3cad9c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80b3c8a08 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80b3c8b20 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80b3c4170 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80b3c417d (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80b3bf47f (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80b3b0407 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80b3b23cc (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80b3b0188 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80b3b02d9 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80b3b7334 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80b3b351e (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80b3b03dd (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80b3b00e0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80b3b7347 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80b3b73b9 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80b3c724c (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80b3cd378 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80b3efa84 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80b3be708 (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80b3be8c5 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80b3d8ce8 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80b3d191c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80b3d2715 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80b3d0b23 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80b3d151e (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80b3d2317 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80b3d0725 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80b3d1b2d (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80b3d2926 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80b3d0d34 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80b3d19aa (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80b3d27a3 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80b3d0bb1 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80b3c4242 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80b3bf469 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80b3fe1d1 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80b3d8c84 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80b3be5ad (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80b3d36db (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80b3f177a (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80b3ffd41 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80b3cde05 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80b3de584 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80b3dea88 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80b3de080 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80b425650 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80b3c42a5 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80b3cdb0f (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80b3be8d2 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80b3bf4ba (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80b3d9fb4 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80b459a08 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80b459a02 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80b4599f0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80b3daa11 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80b3dd289 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80b3be0dc (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80b3fbfc6 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80b3dc8d5 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80b3dd68c (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80b3d8cf5 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80b3c4256 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80b3be74c (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80b3ce1f3 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80b3d3a1d (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80b3d3700 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80b3db760 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80b3be381 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80b3dcc08 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80b3be199 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80b3dcb40 (__TEXT,__text) non-external _BuildHistograms
00007ff80b405410 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80b405510 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80b3b73c4 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80b3be640 (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80b3feaca (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80b3d548d (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80b400703 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80b3c6bc4 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80b3e1a68 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80b3e2c84 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80b3ec06f (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80b3e3986 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80b3e751b (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80b3e8959 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80b3e9dec (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80b3e4b08 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80b3eb37f (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80b3ed08b (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80b3e5fa8 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80b3ee09a (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80b405300 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80b3c8fe1 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80b3c6d52 (__TEXT,__text) non-external _DecodeContextMap
00007ff80b3c9b14 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80b3c9577 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80b3c5906 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80b3c5f11 (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80b3be05c (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80b3dbc6b (__TEXT,__text) non-external _EncodeContextMap
00007ff80b3b3654 (__TEXT,__text) non-external _EncodeData
00007ff80b3d52bc (__TEXT,__text) non-external _EvaluateNode
00007ff80b3b773d (__TEXT,__text) non-external _GetBrotliStorage
00007ff80b3b77ab (__TEXT,__text) non-external _GetHashTable
00007ff80b405200 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80b47b9b0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80b405180 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80b3d4878 (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80b3b353c (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80b3c8bc5 (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80b3cf8de (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80b3cf892 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80b3cf7bd (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80b3b76d9 (__TEXT,__text) non-external _PrepareH54
00007ff80b3b7672 (__TEXT,__text) non-external _PrepareH6
00007ff80b3c72f0 (__TEXT,__text) non-external _ProcessCommands
00007ff80b3c60ee (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80b3c8c7b (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80b3c979e (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80b3c91c0 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80b3c8b2b (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80b3c7df0 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80b3c57b0 (__TEXT,__text) non-external _SaveErrorCode
00007ff80b3d6a2e (__TEXT,__text) non-external _SetCost
00007ff80b3d8f10 (__TEXT,__text) non-external _Shift
00007ff80b3b740c (__TEXT,__text) non-external _ShouldCompress
00007ff80b405310 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80b3be787 (__TEXT,__text) non-external _SortPointers
00007ff80b4058b0 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80b45a7d0 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80b45a5d0 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80b3db614 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80b3dcfb6 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80b3dc53a (__TEXT,__text) non-external _StoreSymbol
00007ff80b3dc6fe (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80b3dba27 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80b3dd81f (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80b3d4a23 (__TEXT,__text) non-external _UpdateNodes
00007ff80b3c89a0 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80b3c57c4 (__TEXT,__text) non-external _WriteRingBuffer
00007ff80b3d48ea (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff84231aef8 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80b3cc0af (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80b4619a0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80b459db0 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80b405620 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80b461ba0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80b3fdf11 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80b3a830a (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80b3a61ed (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80b3fddec (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80b3fe13b (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80b3a609f (__TEXT,__text) non-external (was a private external) _adler32
00007ff80b3caf4a (__TEXT,__text) non-external (was a private external) _adler32_combine
00007ff80b3cb032 (__TEXT,__text) non-external (was a private external) _adler32_combine64
00007ff80b3caf54 (__TEXT,__text) non-external _adler32_combine_
00007ff80b3afbd0 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80b3a60a9 (__TEXT,__text) non-external (was a private external) _adler32_z
00007ff80b462390 (__TEXT,__const) non-external _base_dist
00007ff80b462310 (__TEXT,__const) non-external _base_length
00007ff80b3fe0b9 (__TEXT,__text) non-external _bi_flush
00007ff80b3a9e34 (__TEXT,__text) non-external _bi_windup
00007ff80b4622f0 (__TEXT,__const) non-external _bl_order
00007ff80b459ad0 (__TEXT,__const) non-external _breverse.brev8
00007ff80b3fc5d1 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80b3fc606 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80b3fc642 (__TEXT,__text) non-external (was a private external) _brotli_stream_decode
00007ff80b3fc681 (__TEXT,__text) non-external (was a private external) _brotli_stream_encode
00007ff80b3fc7ec (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80b3fc704 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80b3fc6e5 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80b3a8e3e (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80b3a9a3f (__TEXT,__text) non-external _compress_block
00007ff80b3ab845 (__TEXT,__text) external _compression_decode_buffer
00007ff80b3ab767 (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80b3f1a83 (__TEXT,__text) external _compression_encode_buffer
00007ff80b3f197c (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80b3a9fee (__TEXT,__text) external _compression_stream_destroy
00007ff80b3cd286 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80b3cd230 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80b3cd1e8 (__TEXT,__text) external _compression_stream_get_state_size
00007ff80b3cd166 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80b3a5ac0 (__TEXT,__text) external _compression_stream_init
00007ff80b3cd11f (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80b3cd2dc (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80b3a68c7 (__TEXT,__text) external _compression_stream_process
00007ff80b3abe8f (__TEXT,__text) external _compression_stream_reinit
00007ff84231b770 (__DATA,__const) non-external _configuration_table
00007ff80b3e002e (__TEXT,__text) external _cosmix_codec_decode
00007ff80b3df68a (__TEXT,__text) external _cosmix_codec_encode
00007ff80b3dff4f (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80b3e0b43 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80b3e09b3 (__TEXT,__text) external _cosmix_codec_map
00007ff80b3e0afb (__TEXT,__text) external _cosmix_codec_unmap
00007ff80b3e05d7 (__TEXT,__text) external _cosmix_model_create
00007ff80b3e070e (__TEXT,__text) external _cosmix_model_destroy
00007ff80b3e0737 (__TEXT,__text) external _cosmix_model_save_codec
00007ff80b3def8c (__TEXT,__text) external _cosmix_model_update
00007ff80b3fc090 (__TEXT,__text) non-external (was a private external) _crc32
00007ff80b3fc34b (__TEXT,__text) non-external (was a private external) _crc32_combine
00007ff80b3fc574 (__TEXT,__text) non-external (was a private external) _crc32_combine64
00007ff80b3fc355 (__TEXT,__text) non-external _crc32_combine_
00007ff80b45a830 (__TEXT,__const) non-external _crc_table
00007ff80b3c418a (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80b4048f2 (__TEXT,__text) non-external (was a private external) _debug_verify_offsets
00007ff80b3a6ac0 (__TEXT,__text) non-external (was a private external) _deflate
00007ff80b4040ae (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80b4041b6 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80b3a9f03 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80b3a5c8c (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80b403dd7 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80b403f87 (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80b403f5a (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80b3a5f4d (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80b403e01 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80b403f35 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80b40407a (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80b4630d0 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80b404557 (__TEXT,__text) non-external _deflate_fast
00007ff80b3a79ef (__TEXT,__text) non-external _deflate_slow
00007ff80b404399 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80b3d99aa (__TEXT,__text) non-external _emitMatch
00007ff80b4622a0 (__TEXT,__const) non-external _extra_blbits
00007ff80b462220 (__TEXT,__const) non-external _extra_dbits
00007ff80b4621a0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80b3a7ee0 (__TEXT,__text) non-external _fill_window
00007ff80b3a9ea4 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80b462f60 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80b4624e0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80b462620 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80b3fc083 (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80b3d3699 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80b3cb03c (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80b3cb054 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80b3cb068 (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80b3d3665 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
00007ff80b3cfaf4 (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80b3fdd64 (__TEXT,__text) non-external _init_quantization_lut
00007ff80b3c4224 (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80b4239c0 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80b405030 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80b405090 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff84231ad30 (__DATA,__const) non-external _kBrotliDictionary
00007ff80b4058d0 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80b404f70 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80b404fd0 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80b463120 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80b425620 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff84231b720 (__DATA,__const) non-external _kBrotliTransforms
00007ff80b4056b0 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80b423b60 (__TEXT,__const) non-external _kCmdLut
00007ff80b456fa0 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80b423b20 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80b456f80 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80b423b40 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80b423b50 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80b425490 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80b425450 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80b4259e0 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80b425a20 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80b425390 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80b425370 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80b425400 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80b4253e0 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80b457af0 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80b456ff0 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80b454ae0 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80b454bc0 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80b404c40 (__TEXT,__const) non-external _kReverseBits
00007ff80b4593b0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80b4590f0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80b425b70 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80b473930 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80b463930 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80b435b70 (__TEXT,__const) non-external _kStaticDictionaryWords
00007ff80b459970 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00007ff80b459930 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00007ff80b454c30 (__TEXT,__const) non-external _kTransformsData
00007ff80b455980 (__TEXT,__const) non-external _kZeroRepsBits
