00007ffc4191e7f8 (__DATA,__bss) non-external _A
00007ffc13bfcff0 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffc13be4f5c (__TEXT,__text) non-external (was a private external) __scan_table_start
00007ffc13bfcdf0 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffc13be5456 (__TEXT,__text) non-external (was a private external) __scan_tasklist
00007ffc13bfd0f0 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffc13bf2cf5 (__TEXT,__text) non-external _add_child
00007ffc13bfc19c (__TEXT,__text) non-external _add_child.cold.1
00007ffc13bf33f2 (__TEXT,__text) non-external _add_line
00007ffc13bfc205 (__TEXT,__text) non-external _add_line.cold.1
00007ffc13bf881e (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffc13bfbaab (__TEXT,__text) non-external _alloc_arena_chunk
00007ffc13bfbbe6 (__TEXT,__text) non-external _arena_calloc
00007ffc13bfbcf5 (__TEXT,__text) non-external _arena_free
00007ffc4191e7b8 (__DATA,__bss) non-external _arena_lock
00007ffc4191e5b0 (__DATA,__data) non-external _arena_once
00007ffc13bfbcad (__TEXT,__text) non-external _arena_realloc
00007ffc13be45ba (__TEXT,__text) non-external _autolink_delim
00007ffc4191e3f0 (__DATA,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _calloc (from libSystem)
00007ffc13be2ed1 (__TEXT,__text) non-external _can_contain
00007ffc13be58cd (__TEXT,__text) non-external _can_contain
00007ffc13bfa65a (__TEXT,__text) non-external _can_contain
00007ffc13be44b1 (__TEXT,__text) non-external _check_domain
00007ffc13bf8b47 (__TEXT,__text) non-external _chunk_clone
00007ffc13bfbb02 (__TEXT,__text) external _cmark_arena_pop
00007ffc13bfba5a (__TEXT,__text) external _cmark_arena_push
00007ffc13bfbb80 (__TEXT,__text) external _cmark_arena_reset
00007ffc13bf9b3c (__TEXT,__text) non-external _cmark_chunk_to_cstr
00007ffc13bf4e69 (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
00007ffc13bf4ddc (__TEXT,__text) non-external (was a private external) _cmark_clean_title
00007ffc13bf4d09 (__TEXT,__text) non-external (was a private external) _cmark_clean_url
00007ffc13bfc27d (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffc13bfc29e (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffc13be5d2c (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffc13bfccf0 (__TEXT,__const) non-external _cmark_ctype_class
00007ffc13bf34dc (__TEXT,__text) external _cmark_enable_safety_checks
00007ffc41915f20 (__DATA,__const) non-external _cmark_entities
00007ffc13be48ce (__TEXT,__text) external _cmark_find_syntax_extension
00007ffc13bf039e (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
00007ffc13bfbffe (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffc13bf040f (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
00007ffc13bfbcfb (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffc13be199a (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffc13bf0485 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffc13bfb36e (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffc13bfb45d (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
00007ffc13bfb48e (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
00007ffc13bfb34b (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffc13bfb410 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffc13be2ce3 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffc13bfb3b7 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffc13bfb4c0 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
00007ffc13bfb4ec (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
00007ffc13bfb38f (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffc13bfb433 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffc13be2c91 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffc13bf3584 (__TEXT,__text) external _cmark_init_standard_node_flags
00007ffc13bf86df (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffc13bf870d (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffc13bf86fa (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffc13bf8791 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffc13bf879b (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffc13bf86e8 (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffc13bf8717 (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffc13bf841e (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffc13bf840d (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffc13bf83e5 (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffc13bfc858 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffc13bf84ce (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffc13bf8551 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffc13bf855b (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffc13bfc89e (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffc13bf86f1 (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffc13bf842f (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffc13bfc87b (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffc13bf4e9c (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
00007ffc13bf4ebe (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
00007ffc13be2c3e (__TEXT,__text) external _cmark_isalnum
00007ffc13be2c77 (__TEXT,__text) external _cmark_isalpha
00007ffc13be2c5d (__TEXT,__text) external _cmark_isdigit
00007ffc13be2c24 (__TEXT,__text) external _cmark_ispunct
00007ffc13be2c0a (__TEXT,__text) external _cmark_isspace
00007ffc13be5c4c (__TEXT,__text) external _cmark_iter_free
00007ffc13be5d19 (__TEXT,__text) external _cmark_iter_get_event_type
00007ffc13be5d0f (__TEXT,__text) external _cmark_iter_get_node
00007ffc13be5d22 (__TEXT,__text) external _cmark_iter_get_root
00007ffc13be5c04 (__TEXT,__text) external _cmark_iter_new
00007ffc13be5c57 (__TEXT,__text) external _cmark_iter_next
00007ffc13bfbfb8 (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffc13be5cfe (__TEXT,__text) external _cmark_iter_reset
00007ffc13be4862 (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffc13be6c6f (__TEXT,__text) external _cmark_llist_append
00007ffc13be6cfb (__TEXT,__text) external _cmark_llist_free
00007ffc13be6cb9 (__TEXT,__text) external _cmark_llist_free_full
00007ffc13bf1249 (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffc13bf06f5 (__TEXT,__text) non-external (was a private external) _cmark_map_free
00007ffc13bf058d (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
00007ffc13bf073a (__TEXT,__text) non-external (was a private external) _cmark_map_new
00007ffc13be19a7 (__TEXT,__text) external _cmark_markdown_to_html
00007ffc13bf4afc (__TEXT,__text) external _cmark_node_append_child
00007ffc13bf358a (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
00007ffc13bf4b52 (__TEXT,__text) non-external (was a private external) _cmark_node_check
00007ffc13bf3bbe (__TEXT,__text) external _cmark_node_first_child
00007ffc13bf3719 (__TEXT,__text) external _cmark_node_free
00007ffc13bf44f6 (__TEXT,__text) external _cmark_node_get_attributes
00007ffc13bf3d94 (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffc13bf493e (__TEXT,__text) external _cmark_node_get_end_column
00007ffc13bf492d (__TEXT,__text) external _cmark_node_get_end_line
00007ffc13bf409c (__TEXT,__text) external _cmark_node_get_fence_info
00007ffc13bf41e4 (__TEXT,__text) external _cmark_node_get_fenced
00007ffc13bf3ee5 (__TEXT,__text) external _cmark_node_get_heading_level
00007ffc13bf4055 (__TEXT,__text) external _cmark_node_get_item_index
00007ffc13bf3f7b (__TEXT,__text) external _cmark_node_get_list_delim
00007ffc13bf3fc6 (__TEXT,__text) external _cmark_node_get_list_start
00007ffc13bf400d (__TEXT,__text) external _cmark_node_get_list_tight
00007ffc13bf3f30 (__TEXT,__text) external _cmark_node_get_list_type
00007ffc13bf3c6a (__TEXT,__text) external _cmark_node_get_literal
00007ffc13bf463e (__TEXT,__text) external _cmark_node_get_on_enter
00007ffc13bf4790 (__TEXT,__text) external _cmark_node_get_on_exit
00007ffc13bf491c (__TEXT,__text) external _cmark_node_get_start_column
00007ffc13bf490b (__TEXT,__text) external _cmark_node_get_start_line
00007ffc13bf3ecb (__TEXT,__text) external _cmark_node_get_string_content
00007ffc13bf48e2 (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffc13bf43a8 (__TEXT,__text) external _cmark_node_get_title
00007ffc13bf37f7 (__TEXT,__text) external _cmark_node_get_type
00007ffc13bf39d8 (__TEXT,__text) external _cmark_node_get_type_string
00007ffc13bf425a (__TEXT,__text) external _cmark_node_get_url
00007ffc13bf3c2a (__TEXT,__text) external _cmark_node_get_user_data
00007ffc13bf49f0 (__TEXT,__text) external _cmark_node_insert_after
00007ffc13bf4973 (__TEXT,__text) external _cmark_node_insert_before
00007ffc13bf3bd0 (__TEXT,__text) external _cmark_node_last_child
00007ffc13bf3706 (__TEXT,__text) external _cmark_node_new
00007ffc13bf36e6 (__TEXT,__text) external _cmark_node_new_with_ext
00007ffc13bf36fa (__TEXT,__text) external _cmark_node_new_with_mem
00007ffc13bf3648 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffc13bf3b88 (__TEXT,__text) external _cmark_node_next
00007ffc13bf3be2 (__TEXT,__text) external _cmark_node_nth_child
00007ffc13be5ec5 (__TEXT,__text) external _cmark_node_own
00007ffc13bf3bac (__TEXT,__text) external _cmark_node_parent
00007ffc13bf3c15 (__TEXT,__text) external _cmark_node_parent_footnote_def
00007ffc13bf4aa6 (__TEXT,__text) external _cmark_node_prepend_child
00007ffc13bf3b9a (__TEXT,__text) external _cmark_node_previous
00007ffc13bf4a6d (__TEXT,__text) external _cmark_node_replace
00007ffc13bf457e (__TEXT,__text) external _cmark_node_set_attributes
00007ffc13bf4124 (__TEXT,__text) external _cmark_node_set_fence_info
00007ffc13bf4220 (__TEXT,__text) external _cmark_node_set_fenced
00007ffc13bf3f04 (__TEXT,__text) external _cmark_node_set_heading_level
00007ffc13bf4074 (__TEXT,__text) external _cmark_node_set_item_index
00007ffc13bf3f9a (__TEXT,__text) external _cmark_node_set_list_delim
00007ffc13bf3fe5 (__TEXT,__text) external _cmark_node_set_list_start
00007ffc13bf402d (__TEXT,__text) external _cmark_node_set_list_tight
00007ffc13bf3f4f (__TEXT,__text) external _cmark_node_set_list_type
00007ffc13bf3d9d (__TEXT,__text) external _cmark_node_set_literal
00007ffc13bf46cd (__TEXT,__text) external _cmark_node_set_on_enter
00007ffc13bf481f (__TEXT,__text) external _cmark_node_set_on_exit
00007ffc13bf3ed5 (__TEXT,__text) external _cmark_node_set_string_content
00007ffc13bf48f4 (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffc13bf4433 (__TEXT,__text) external _cmark_node_set_title
00007ffc13bf3809 (__TEXT,__text) external _cmark_node_set_type
00007ffc13bf42e5 (__TEXT,__text) external _cmark_node_set_url
00007ffc13bf3c3c (__TEXT,__text) external _cmark_node_set_user_data
00007ffc13bf3c53 (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffc13bf494f (__TEXT,__text) external _cmark_node_unlink
00007ffc13bf8748 (__TEXT,__text) external _cmark_node_unput
00007ffc13bf19e0 (__TEXT,__text) external _cmark_parse_document
00007ffc13bf12b5 (__TEXT,__text) external _cmark_parse_file
00007ffc13bf4ee0 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffc13bfc2bf (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffc13bfc3fa (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffc13bfc41d (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffc13bfc440 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffc13bfc463 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffc13bfc486 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffc13bfc4a9 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffc13bfc4cc (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffc13bfc4ef (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffc13bfc512 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffc13bfc535 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffc13bfc2e2 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffc13bfc305 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffc13bfc328 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffc13bfc34b (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffc13bfc36e (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffc13bfc391 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffc13bfc3b4 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffc13bfc3d7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffc13bf81c3 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffc13bfc7a9 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffc13bfc7cc (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffc13bfc7ef (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffc13bfc812 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffc13bfc835 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffc13bf7ab7 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffc13bfc57b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffc13bfc59e (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffc13bfc5c1 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffc13bfc5e4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffc13bfc607 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffc13bfc62a (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffc13bfc64d (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffc13bf2ceb (__TEXT,__text) external _cmark_parser_add_child
00007ffc13bf2dc3 (__TEXT,__text) external _cmark_parser_advance_offset
00007ffc13bf0f70 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffc13bf121b (__TEXT,__text) non-external _cmark_parser_dispose
00007ffc13bf1a35 (__TEXT,__text) external _cmark_parser_feed
00007ffc13bf1a41 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffc13bf152d (__TEXT,__text) external _cmark_parser_finish
00007ffc13bf119d (__TEXT,__text) external _cmark_parser_free
00007ffc13bf2caa (__TEXT,__text) external _cmark_parser_get_column
00007ffc13bf2cb3 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffc13bf2cbc (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffc13bf2cc5 (__TEXT,__text) external _cmark_parser_get_indent
00007ffc13bf2ce2 (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffc13bf2c98 (__TEXT,__text) external _cmark_parser_get_line_number
00007ffc13bf2ca1 (__TEXT,__text) external _cmark_parser_get_offset
00007ffc13bf2eb0 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffc13bf2cd8 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffc13bf2cce (__TEXT,__text) external _cmark_parser_is_blank
00007ffc13bf118c (__TEXT,__text) external _cmark_parser_new
00007ffc13bf1021 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffc13bf1079 (__TEXT,__text) non-external _cmark_parser_reset
00007ffc13bf2ea3 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffc13be5789 (__TEXT,__text) external _cmark_plugin_free
00007ffc13be5769 (__TEXT,__text) external _cmark_plugin_new
00007ffc13be573f (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffc13be57b9 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffc13bf0d72 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffc13bfc0a8 (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffc13bf0e39 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffc13bfc0c9 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffc13bf0ed9 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffc13bf3519 (__TEXT,__text) external _cmark_register_node_flag
00007ffc13bfc233 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffc13bfc258 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffc4191e4a0 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
00007ffc13be475d (__TEXT,__text) external _cmark_register_plugin
00007ffc13be4808 (__TEXT,__text) external _cmark_release_plugins
00007ffc13be4998 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffc13be494f (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffc13be4978 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffc13be0848 (__TEXT,__text) external _cmark_render_commonmark
00007ffc13be0871 (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffc13be19d8 (__TEXT,__text) external _cmark_render_html
00007ffc13be19e5 (__TEXT,__text) external _cmark_render_html_with_mem
00007ffc13bfbf06 (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffc13be60e0 (__TEXT,__text) external _cmark_render_latex
00007ffc13be6102 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffc13be30cc (__TEXT,__text) external _cmark_render_man
00007ffc13be30ee (__TEXT,__text) external _cmark_render_man_with_mem
00007ffc13bf95b8 (__TEXT,__text) external _cmark_render_plaintext
00007ffc13bf95e1 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffc13bf8ba0 (__TEXT,__text) external _cmark_render_xml
00007ffc13bf8bad (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffc13bf4ce0 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffc4191e6b0 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffc13bf4e73 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffc4191e4b0 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffc4191e804 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffc13bf085e (__TEXT,__text) external _cmark_strbuf_clear
00007ffc13bf0a90 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffc13bf09d5 (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffc13bfc087 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffc13bf0a5a (__TEXT,__text) external _cmark_strbuf_detach
00007ffc13bf0b7d (__TEXT,__text) external _cmark_strbuf_drop
00007ffc13bf0828 (__TEXT,__text) external _cmark_strbuf_free
00007ffc13bf07be (__TEXT,__text) external _cmark_strbuf_grow
00007ffc13bfc040 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffc13bfc061 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffc13bf0793 (__TEXT,__text) external _cmark_strbuf_init
