00007ffa17b1bf0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa17b17f58 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa17b1a5dc (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa17b17f3a (__TEXT,__text) external _glBlendEquationi
00007ffa17b1a5be (__TEXT,__text) external _glBlendEquationiARB
00007ffa17b11e66 (__TEXT,__text) external _glBlendFunc
00007ffa17b1551a (__TEXT,__text) external _glBlendFuncSeparate
00007ffa17b1abc4 (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffa17b17f9a (__TEXT,__text) external _glBlendFuncSeparatei
00007ffa17b1a61e (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffa17b17f79 (__TEXT,__text) external _glBlendFunci
00007ffa17b1a5fd (__TEXT,__text) external _glBlendFunciARB
00007ffa17b168bc (__TEXT,__text) external _glBlitFramebuffer
00007ffa17b1aec1 (__TEXT,__text) external _glBlitFramebufferEXT
00007ffa17b158cc (__TEXT,__text) external _glBufferData
00007ffa17b19e8f (__TEXT,__text) external _glBufferDataARB
00007ffa17b1bc29 (__TEXT,__text) external _glBufferParameteriAPPLE
00007ffa17b158f2 (__TEXT,__text) external _glBufferSubData
00007ffa17b19eb5 (__TEXT,__text) external _glBufferSubDataARB
00007ffa17b11e81 (__TEXT,__text) external _glCallList
00007ffa17b11e9a (__TEXT,__text) external _glCallLists
00007ffa17b167bb (__TEXT,__text) external _glCheckFramebufferStatus
00007ffa17b1adc0 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00007ffa17b16bb1 (__TEXT,__text) external _glClampColor
00007ffa17b1a51d (__TEXT,__text) external _glClampColorARB
00007ffa17b11eb8 (__TEXT,__text) external _glClear
00007ffa17b11ed1 (__TEXT,__text) external _glClearAccum
00007ffa17b1715a (__TEXT,__text) external _glClearBufferfi
00007ffa17b17138 (__TEXT,__text) external _glClearBufferfv
00007ffa17b170f4 (__TEXT,__text) external _glClearBufferiv
00007ffa17b17116 (__TEXT,__text) external _glClearBufferuiv
00007ffa17b11ee8 (__TEXT,__text) external _glClearColor
00007ffa17b1b5cb (__TEXT,__text) external _glClearColorIiEXT
00007ffa17b1b5ef (__TEXT,__text) external _glClearColorIuiEXT
00007ffa17b11eff (__TEXT,__text) external _glClearDepth
00007ffa17b1803f (__TEXT,__text) external _glClearDepthf
00007ffa17b11f16 (__TEXT,__text) external _glClearIndex
00007ffa17b11f2d (__TEXT,__text) external _glClearStencil
00007ffa17b14bd6 (__TEXT,__text) external _glClientActiveTexture
00007ffa17b194de (__TEXT,__text) external _glClientActiveTextureARB
00007ffa17b1747d (__TEXT,__text) external _glClientWaitSync
00007ffa17b11f49 (__TEXT,__text) external _glClipPlane
00007ffa17b11f68 (__TEXT,__text) external _glColor3b
00007ffa17b11f88 (__TEXT,__text) external _glColor3bv
00007ffa17b11fa5 (__TEXT,__text) external _glColor3d
00007ffa17b11fbf (__TEXT,__text) external _glColor3dv
00007ffa17b11fdc (__TEXT,__text) external _glColor3f
00007ffa17b11ff6 (__TEXT,__text) external _glColor3fv
00007ffa17b12013 (__TEXT,__text) external _glColor3i
00007ffa17b12033 (__TEXT,__text) external _glColor3iv
00007ffa17b12050 (__TEXT,__text) external _glColor3s
00007ffa17b12070 (__TEXT,__text) external _glColor3sv
00007ffa17b1208d (__TEXT,__text) external _glColor3ub
00007ffa17b120ad (__TEXT,__text) external _glColor3ubv
00007ffa17b120ca (__TEXT,__text) external _glColor3ui
00007ffa17b120ea (__TEXT,__text) external _glColor3uiv
00007ffa17b12107 (__TEXT,__text) external _glColor3us
00007ffa17b12127 (__TEXT,__text) external _glColor3usv
00007ffa17b12144 (__TEXT,__text) external _glColor4b
00007ffa17b12167 (__TEXT,__text) external _glColor4bv
00007ffa17b12184 (__TEXT,__text) external _glColor4d
00007ffa17b1219e (__TEXT,__text) external _glColor4dv
00007ffa17b121bb (__TEXT,__text) external _glColor4f
00007ffa17b121d5 (__TEXT,__text) external _glColor4fv
00007ffa17b121f2 (__TEXT,__text) external _glColor4i
00007ffa17b12215 (__TEXT,__text) external _glColor4iv
00007ffa17b12232 (__TEXT,__text) external _glColor4s
00007ffa17b12255 (__TEXT,__text) external _glColor4sv
00007ffa17b12272 (__TEXT,__text) external _glColor4ub
00007ffa17b12295 (__TEXT,__text) external _glColor4ubv
00007ffa17b122b2 (__TEXT,__text) external _glColor4ui
00007ffa17b122d5 (__TEXT,__text) external _glColor4uiv
00007ffa17b122f2 (__TEXT,__text) external _glColor4us
00007ffa17b12315 (__TEXT,__text) external _glColor4usv
00007ffa17b12332 (__TEXT,__text) external _glColorMask
00007ffa17b1b69b (__TEXT,__text) external _glColorMaskIndexedEXT
00007ffa17b16a1c (__TEXT,__text) external _glColorMaski
00007ffa17b12355 (__TEXT,__text) external _glColorMaterial
00007ffa17b12373 (__TEXT,__text) external _glColorPointer
00007ffa17b14812 (__TEXT,__text) external _glColorSubTable
00007ffa17b1a860 (__TEXT,__text) external _glColorSubTableEXT
00007ffa17b1470c (__TEXT,__text) external _glColorTable
00007ffa17b1a82d (__TEXT,__text) external _glColorTableEXT
00007ffa17b1473f (__TEXT,__text) external _glColorTableParameterfv
00007ffa17b14761 (__TEXT,__text) external _glColorTableParameteriv
00007ffa17b1be9f (__TEXT,__text) external _glCombinerInputNV
00007ffa17b1bea5 (__TEXT,__text) external _glCombinerOutputNV
00007ffa17b1be8d (__TEXT,__text) external _glCombinerParameterfNV
00007ffa17b1be87 (__TEXT,__text) external _glCombinerParameterfvNV
00007ffa17b1be99 (__TEXT,__text) external _glCombinerParameteriNV
00007ffa17b1be93 (__TEXT,__text) external _glCombinerParameterivNV
00007ffa17b1bed5 (__TEXT,__text) external _glCombinerStageParameterfvNV
00007ffa17b15fb0 (__TEXT,__text) external _glCompileShader
00007ffa17b1a01a (__TEXT,__text) external _glCompileShaderARB
00007ffa17b1a68c (__TEXT,__text) external _glCompileShaderIncludeARB
00007ffa17b150de (__TEXT,__text) external _glCompressedTexImage1D
00007ffa17b199e6 (__TEXT,__text) external _glCompressedTexImage1DARB
00007ffa17b150a4 (__TEXT,__text) external _glCompressedTexImage2D
00007ffa17b199ac (__TEXT,__text) external _glCompressedTexImage2DARB
00007ffa17b15066 (__TEXT,__text) external _glCompressedTexImage3D
00007ffa17b1996e (__TEXT,__text) external _glCompressedTexImage3DARB
00007ffa17b1519e (__TEXT,__text) external _glCompressedTexSubImage1D
00007ffa17b19aa6 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00007ffa17b15160 (__TEXT,__text) external _glCompressedTexSubImage2D
00007ffa17b19a68 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00007ffa17b1510e (__TEXT,__text) external _glCompressedTexSubImage3D
00007ffa17b19a16 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00007ffa17b1486c (__TEXT,__text) external _glConvolutionFilter1D
00007ffa17b1489f (__TEXT,__text) external _glConvolutionFilter2D
00007ffa17b148cf (__TEXT,__text) external _glConvolutionParameterf
00007ffa17b148ed (__TEXT,__text) external _glConvolutionParameterfv
00007ffa17b1490f (__TEXT,__text) external _glConvolutionParameteri
00007ffa17b14930 (__TEXT,__text) external _glConvolutionParameteriv
00007ffa17b17199 (__TEXT,__text) external _glCopyBufferSubData
00007ffa17b14845 (__TEXT,__text) external _glCopyColorSubTable
00007ffa17b14783 (__TEXT,__text) external _glCopyColorTable
00007ffa17b14952 (__TEXT,__text) external _glCopyConvolutionFilter1D
00007ffa17b14979 (__TEXT,__text) external _glCopyConvolutionFilter2D
00007ffa17b12396 (__TEXT,__text) external _glCopyPixels
00007ffa17b123bc (__TEXT,__text) external _glCopyTexImage1D
00007ffa17b123ef (__TEXT,__text) external _glCopyTexImage2D
00007ffa17b1242e (__TEXT,__text) external _glCopyTexSubImage1D
00007ffa17b12461 (__TEXT,__text) external _glCopyTexSubImage2D
00007ffa17b146c8 (__TEXT,__text) external _glCopyTexSubImage3D
00007ffa17b15fcf (__TEXT,__text) external _glCreateProgram
00007ffa17b1a037 (__TEXT,__text) external _glCreateProgramObjectARB
00007ffa17b15f6c (__TEXT,__text) external _glCreateShader
00007ffa17b19fd8 (__TEXT,__text) external _glCreateShaderObjectARB
00007ffa17b18106 (__TEXT,__text) external _glCreateShaderProgramv
00007ffa17b124a0 (__TEXT,__text) external _glCullFace
00007ffa17b15872 (__TEXT,__text) external _glDeleteBuffers
00007ffa17b19e35 (__TEXT,__text) external _glDeleteBuffersARB
00007ffa17b1b987 (__TEXT,__text) external _glDeleteFencesAPPLE
00007ffa17b1677d (__TEXT,__text) external _glDeleteFramebuffers
00007ffa17b1ad82 (__TEXT,__text) external _glDeleteFramebuffersEXT
00007ffa17b124bc (__TEXT,__text) external _glDeleteLists
00007ffa17b1a66d (__TEXT,__text) external _glDeleteNamedStringARB
00007ffa17b19f7f (__TEXT,__text) external _glDeleteObjectARB
00007ffa17b16049 (__TEXT,__text) external _glDeleteProgram
00007ffa17b18144 (__TEXT,__text) external _glDeleteProgramPipelines
00007ffa17b18bc7 (__TEXT,__text) external _glDeleteProgramsARB
00007ffa17b15779 (__TEXT,__text) external _glDeleteQueries
00007ffa17b19d3c (__TEXT,__text) external _glDeleteQueriesARB
00007ffa17b166bf (__TEXT,__text) external _glDeleteRenderbuffers
00007ffa17b1acc4 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00007ffa17b1767b (__TEXT,__text) external _glDeleteSamplers
00007ffa17b15f28 (__TEXT,__text) external _glDeleteShader
00007ffa17b17460 (__TEXT,__text) external _glDeleteSync
00007ffa17b124da (__TEXT,__text) external _glDeleteTextures
00007ffa17b17df6 (__TEXT,__text) external _glDeleteTransformFeedbacks
00007ffa17b169c2 (__TEXT,__text) external _glDeleteVertexArrays
00007ffa17b1baca (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00007ffa17b1a813 (__TEXT,__text) external _glDepthBoundsEXT
00007ffa17b124f9 (__TEXT,__text) external _glDepthFunc
00007ffa17b12515 (__TEXT,__text) external _glDepthMask
00007ffa17b12531 (__TEXT,__text) external _glDepthRange
00007ffa17b18b27 (__TEXT,__text) external _glDepthRangeArrayv
00007ffa17b18b49 (__TEXT,__text) external _glDepthRangeIndexed
00007ffa17b18025 (__TEXT,__text) external _glDepthRangef
00007ffa17b19fb8 (__TEXT,__text) external _glDetachObjectARB
00007ffa17b15f47 (__TEXT,__text) external _glDetachShader
00007ffa17b1254b (__TEXT,__text) external _glDisable
00007ffa17b12567 (__TEXT,__text) external _glDisableClientState
00007ffa17b1b6e0 (__TEXT,__text) external _glDisableIndexedEXT
00007ffa17b1b83a (__TEXT,__text) external _glDisableVertexAttribAPPLE
00007ffa17b15e84 (__TEXT,__text) external _glDisableVertexAttribArray
00007ffa17b190ca (__TEXT,__text) external _glDisableVertexAttribArrayARB
00007ffa17b16aa5 (__TEXT,__text) external _glDisablei
00007ffa17b12583 (__TEXT,__text) external _glDrawArrays
00007ffa17b179c3 (__TEXT,__text) external _glDrawArraysIndirect
00007ffa17b172c0 (__TEXT,__text) external _glDrawArraysInstanced
00007ffa17b1a559 (__TEXT,__text) external _glDrawArraysInstancedARB
00007ffa17b125a4 (__TEXT,__text) external _glDrawBuffer
00007ffa17b159bc (__TEXT,__text) external _glDrawBuffers
00007ffa17b1a4fe (__TEXT,__text) external _glDrawBuffersARB
00007ffa17b1bb43 (__TEXT,__text) external _glDrawElementArrayAPPLE
00007ffa17b125c0 (__TEXT,__text) external _glDrawElements
00007ffa17b17348 (__TEXT,__text) external _glDrawElementsBaseVertex
00007ffa17b179e2 (__TEXT,__text) external _glDrawElementsIndirect
00007ffa17b172e4 (__TEXT,__text) external _glDrawElementsInstanced
00007ffa17b1a57d (__TEXT,__text) external _glDrawElementsInstancedARB
00007ffa17b173a2 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00007ffa17b125e4 (__TEXT,__text) external _glDrawPixels
00007ffa17b1bb64 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00007ffa17b145f8 (__TEXT,__text) external _glDrawRangeElements
00007ffa17b1736f (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00007ffa17b1ab91 (__TEXT,__text) external _glDrawRangeElementsEXT
00007ffa17b17e7e (__TEXT,__text) external _glDrawTransformFeedback
00007ffa17b17e9c (__TEXT,__text) external _glDrawTransformFeedbackStream
00007ffa17b1260b (__TEXT,__text) external _glEdgeFlag
00007ffa17b12627 (__TEXT,__text) external _glEdgeFlagPointer
00007ffa17b12646 (__TEXT,__text) external _glEdgeFlagv
00007ffa17b1bb24 (__TEXT,__text) external _glElementPointerAPPLE
00007ffa17b12663 (__TEXT,__text) external _glEnable
00007ffa17b1267f (__TEXT,__text) external _glEnableClientState
00007ffa17b1b6c2 (__TEXT,__text) external _glEnableIndexedEXT
00007ffa17b1b81c (__TEXT,__text) external _glEnableVertexAttribAPPLE
00007ffa17b15e68 (__TEXT,__text) external _glEnableVertexAttribArray
00007ffa17b190ae (__TEXT,__text) external _glEnableVertexAttribArrayARB
00007ffa17b16a87 (__TEXT,__text) external _glEnablei
00007ffa17b1269b (__TEXT,__text) external _glEnd
00007ffa17b16bed (__TEXT,__text) external _glEndConditionalRender
00007ffa17b1be1c (__TEXT,__text) external _glEndConditionalRenderNV
00007ffa17b126b2 (__TEXT,__text) external _glEndList
00007ffa17b157d2 (__TEXT,__text) external _glEndQuery
00007ffa17b19d95 (__TEXT,__text) external _glEndQueryARB
00007ffa17b17ede (__TEXT,__text) external _glEndQueryIndexed
00007ffa17b16afd (__TEXT,__text) external _glEndTransformFeedback
00007ffa17b1b056 (__TEXT,__text) external _glEndTransformFeedbackEXT
00007ffa17b126c9 (__TEXT,__text) external _glEvalCoord1d
00007ffa17b126e3 (__TEXT,__text) external _glEvalCoord1dv
00007ffa17b12700 (__TEXT,__text) external _glEvalCoord1f
00007ffa17b1271a (__TEXT,__text) external _glEvalCoord1fv
00007ffa17b12737 (__TEXT,__text) external _glEvalCoord2d
00007ffa17b12751 (__TEXT,__text) external _glEvalCoord2dv
00007ffa17b1276e (__TEXT,__text) external _glEvalCoord2f
00007ffa17b12788 (__TEXT,__text) external _glEvalCoord2fv
00007ffa17b127a5 (__TEXT,__text) external _glEvalMesh1
00007ffa17b127c6 (__TEXT,__text) external _glEvalMesh2
00007ffa17b127ed (__TEXT,__text) external _glEvalPoint1
00007ffa17b12809 (__TEXT,__text) external _glEvalPoint2
00007ffa17b12827 (__TEXT,__text) external _glFeedbackBuffer
00007ffa17b17425 (__TEXT,__text) external _glFenceSync
00007ffa17b1beab (__TEXT,__text) external _glFinalCombinerInputNV
00007ffa17b12849 (__TEXT,__text) external _glFinish
00007ffa17b1b9fa (__TEXT,__text) external _glFinishFenceAPPLE
00007ffa17b1ba34 (__TEXT,__text) external _glFinishObjectAPPLE
00007ffa17b1bbfb (__TEXT,__text) external _glFinishRenderAPPLE
00007ffa17b12860 (__TEXT,__text) external _glFlush
00007ffa17b16983 (__TEXT,__text) external _glFlushMappedBufferRange
00007ffa17b1bc4a (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00007ffa17b1bbe4 (__TEXT,__text) external _glFlushRenderAPPLE
00007ffa17b1ba71 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00007ffa17b1527a (__TEXT,__text) external _glFogCoordPointer
00007ffa17b1ab6f (__TEXT,__text) external _glFogCoordPointerEXT
00007ffa17b15243 (__TEXT,__text) external _glFogCoordd
00007ffa17b1ab38 (__TEXT,__text) external _glFogCoorddEXT
00007ffa17b1525d (__TEXT,__text) external _glFogCoorddv
00007ffa17b1ab52 (__TEXT,__text) external _glFogCoorddvEXT
00007ffa17b1520c (__TEXT,__text) external _glFogCoordf
00007ffa17b1ab01 (__TEXT,__text) external _glFogCoordfEXT
00007ffa17b15226 (__TEXT,__text) external _glFogCoordfv
00007ffa17b1ab1b (__TEXT,__text) external _glFogCoordfvEXT
00007ffa17b12877 (__TEXT,__text) external _glFogf
00007ffa17b12893 (__TEXT,__text) external _glFogfv
00007ffa17b128b2 (__TEXT,__text) external _glFogi
00007ffa17b128d0 (__TEXT,__text) external _glFogiv
00007ffa17b16858 (__TEXT,__text) external _glFramebufferRenderbuffer
00007ffa17b1ae5d (__TEXT,__text) external _glFramebufferRenderbufferEXT
00007ffa17b175f5 (__TEXT,__text) external _glFramebufferTexture
00007ffa17b167d7 (__TEXT,__text) external _glFramebufferTexture1D
00007ffa17b1addc (__TEXT,__text) external _glFramebufferTexture1DEXT
00007ffa17b167fe (__TEXT,__text) external _glFramebufferTexture2D
00007ffa17b1ae03 (__TEXT,__text) external _glFramebufferTexture2DEXT
00007ffa17b16825 (__TEXT,__text) external _glFramebufferTexture3D
00007ffa17b1ae2a (__TEXT,__text) external _glFramebufferTexture3DEXT
00007ffa17b1af5c (__TEXT,__text) external _glFramebufferTextureEXT
00007ffa17b1afa7 (__TEXT,__text) external _glFramebufferTextureFaceEXT
00007ffa17b16936 (__TEXT,__text) external _glFramebufferTextureLayer
00007ffa17b1af80 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00007ffa17b128ef (__TEXT,__text) external _glFrontFace
00007ffa17b1290b (__TEXT,__text) external _glFrustum
00007ffa17b15891 (__TEXT,__text) external _glGenBuffers
00007ffa17b19e54 (__TEXT,__text) external _glGenBuffersARB
00007ffa17b1b968 (__TEXT,__text) external _glGenFencesAPPLE
00007ffa17b1679c (__TEXT,__text) external _glGenFramebuffers
00007ffa17b1ada1 (__TEXT,__text) external _glGenFramebuffersEXT
00007ffa17b12925 (__TEXT,__text) external _glGenLists
00007ffa17b18163 (__TEXT,__text) external _glGenProgramPipelines
00007ffa17b18be6 (__TEXT,__text) external _glGenProgramsARB
00007ffa17b1575a (__TEXT,__text) external _glGenQueries
00007ffa17b19d1d (__TEXT,__text) external _glGenQueriesARB
00007ffa17b166de (__TEXT,__text) external _glGenRenderbuffers
00007ffa17b1ace3 (__TEXT,__text) external _glGenRenderbuffersEXT
00007ffa17b1765c (__TEXT,__text) external _glGenSamplers
00007ffa17b12941 (__TEXT,__text) external _glGenTextures
00007ffa17b17e15 (__TEXT,__text) external _glGenTransformFeedbacks
00007ffa17b169e1 (__TEXT,__text) external _glGenVertexArrays
00007ffa17b1bae9 (__TEXT,__text) external _glGenVertexArraysAPPLE
00007ffa17b168a0 (__TEXT,__text) external _glGenerateMipmap
00007ffa17b1aea5 (__TEXT,__text) external _glGenerateMipmapEXT
00007ffa17b164d4 (__TEXT,__text) external _glGetActiveAttrib
00007ffa17b1a4ad (__TEXT,__text) external _glGetActiveAttribARB
00007ffa17b17d00 (__TEXT,__text) external _glGetActiveSubroutineName
00007ffa17b17ccd (__TEXT,__text) external _glGetActiveSubroutineUniformName
00007ffa17b17ca6 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00007ffa17b1640a (__TEXT,__text) external _glGetActiveUniform
00007ffa17b1a3ed (__TEXT,__text) external _glGetActiveUniformARB
00007ffa17b17278 (__TEXT,__text) external _glGetActiveUniformBlockName
00007ffa17b17254 (__TEXT,__text) external _glGetActiveUniformBlockiv
00007ffa17b1720e (__TEXT,__text) external _glGetActiveUniformName
00007ffa17b171e6 (__TEXT,__text) external _glGetActiveUniformsiv
00007ffa17b1a3a7 (__TEXT,__text) external _glGetAttachedObjectsARB
00007ffa17b16379 (__TEXT,__text) external _glGetAttachedShaders
00007ffa17b16507 (__TEXT,__text) external _glGetAttribLocation
00007ffa17b1a4de (__TEXT,__text) external _glGetAttribLocationARB
00007ffa17b1b0e4 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00007ffa17b16a43 (__TEXT,__text) external _glGetBooleani_v
00007ffa17b12960 (__TEXT,__text) external _glGetBooleanv
00007ffa17b175d3 (__TEXT,__text) external _glGetBufferParameteri64v
00007ffa17b15978 (__TEXT,__text) external _glGetBufferParameteriv
00007ffa17b19f3b (__TEXT,__text) external _glGetBufferParameterivARB
00007ffa17b1599a (__TEXT,__text) external _glGetBufferPointerv
00007ffa17b19f5d (__TEXT,__text) external _glGetBufferPointervARB
00007ffa17b15918 (__TEXT,__text) external _glGetBufferSubData
00007ffa17b19edb (__TEXT,__text) external _glGetBufferSubDataARB
00007ffa17b1297f (__TEXT,__text) external _glGetClipPlane
00007ffa17b147aa (__TEXT,__text) external _glGetColorTable
00007ffa17b1a893 (__TEXT,__text) external _glGetColorTableEXT
00007ffa17b147ce (__TEXT,__text) external _glGetColorTableParameterfv
00007ffa17b1a8b7 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00007ffa17b147f0 (__TEXT,__text) external _glGetColorTableParameteriv
00007ffa17b1a8d9 (__TEXT,__text) external _glGetColorTableParameterivEXT
00007ffa17b1beb1 (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00007ffa17b1beb7 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00007ffa17b1bebd (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00007ffa17b1bec3 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00007ffa17b1bedb (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00007ffa17b151ce (__TEXT,__text) external _glGetCompressedTexImage
00007ffa17b19ad6 (__TEXT,__text) external _glGetCompressedTexImageARB
00007ffa17b149ac (__TEXT,__text) external _glGetConvolutionFilter
00007ffa17b149d0 (__TEXT,__text) external _glGetConvolutionParameterfv
00007ffa17b149f2 (__TEXT,__text) external _glGetConvolutionParameteriv
00007ffa17b18b87 (__TEXT,__text) external _glGetDoublei_v
00007ffa17b1299e (__TEXT,__text) external _glGetDoublev
00007ffa17b129bd (__TEXT,__text) external _glGetError
00007ffa17b1bec9 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00007ffa17b1becf (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00007ffa17b18b65 (__TEXT,__text) external _glGetFloati_v
00007ffa17b129d4 (__TEXT,__text) external _glGetFloatv
00007ffa17b1763d (__TEXT,__text) external _glGetFragDataIndex
00007ffa17b16f3b (__TEXT,__text) external _glGetFragDataLocation
00007ffa17b1b5ac (__TEXT,__text) external _glGetFragDataLocationEXT
00007ffa17b1687c (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00007ffa17b1ae81 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00007ffa17b19f9c (__TEXT,__text) external _glGetHandleARB
00007ffa17b14a83 (__TEXT,__text) external _glGetHistogram
00007ffa17b14aaa (__TEXT,__text) external _glGetHistogramParameterfv
00007ffa17b14acc (__TEXT,__text) external _glGetHistogramParameteriv
00007ffa17b1a381 (__TEXT,__text) external _glGetInfoLogARB
00007ffa17b175b1 (__TEXT,__text) external _glGetInteger64i_v
00007ffa17b174c3 (__TEXT,__text) external _glGetInteger64v
00007ffa17b1b0c2 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00007ffa17b16a65 (__TEXT,__text) external _glGetIntegeri_v
00007ffa17b129f3 (__TEXT,__text) external _glGetIntegerv
00007ffa17b1a71d (__TEXT,__text) external _glGetInternalformativ
00007ffa17b12a12 (__TEXT,__text) external _glGetLightfv
00007ffa17b12a34 (__TEXT,__text) external _glGetLightiv
00007ffa17b12a56 (__TEXT,__text) external _glGetMapdv
00007ffa17b12a78 (__TEXT,__text) external _glGetMapfv
00007ffa17b12a9a (__TEXT,__text) external _glGetMapiv
00007ffa17b12abc (__TEXT,__text) external _glGetMaterialfv
00007ffa17b12ade (__TEXT,__text) external _glGetMaterialiv
00007ffa17b14aee (__TEXT,__text) external _glGetMinmax
00007ffa17b14b15 (__TEXT,__text) external _glGetMinmaxParameterfv
00007ffa17b14b37 (__TEXT,__text) external _glGetMinmaxParameteriv
00007ffa17b17571 (__TEXT,__text) external _glGetMultisamplefv
00007ffa17b1a6d0 (__TEXT,__text) external _glGetNamedStringARB
00007ffa17b1a6f8 (__TEXT,__text) external _glGetNamedStringivARB
00007ffa17b1b7a0 (__TEXT,__text) external _glGetObjectLabelEXT
00007ffa17b1a33b (__TEXT,__text) external _glGetObjectParameterfvARB
00007ffa17b1bcaf (__TEXT,__text) external _glGetObjectParameterivAPPLE
00007ffa17b1a35e (__TEXT,__text) external _glGetObjectParameterivARB
00007ffa17b12b00 (__TEXT,__text) external _glGetPixelMapfv
00007ffa17b12b1f (__TEXT,__text) external _glGetPixelMapuiv
