00000001988d3ea8 (__TEXT,__text) non-external _Assembler
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
                 (undefined) external _getopt_long (from libSystem)
00000001ea0dda30 (__DATA,__common) external _iblen
00000001ea0dda34 (__DATA,__common) external _iboffset
00000001ea0ddb00 (__DATA,__common) external _inputBuf
00000001ea0dda18 (__DATA,__common) external _inputFile
00000001ea0dda20 (__DATA,__common) external _inputFileName
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kIOMainPortDefault (from IOKit)
00000001ea0dda38 (__DATA,__common) external _lineNum
00000001ea0dda3e (__DATA,__common) external _listSymbolTable
00000001988d3b38 (__TEXT,__text) external _main
00000001988d7a40 (__TEXT,__text) non-external _main.cold.1
00000001988d7a58 (__TEXT,__text) non-external _main.cold.2
00000001988d7a94 (__TEXT,__text) non-external _main.cold.3
00000001988d7aa8 (__TEXT,__text) non-external _main.cold.4
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _open (from libSystem)
                 (undefined) external _optarg (from libSystem)
00000001ea0dda28 (__DATA,__common) external _outputFileName
00000001ea0dda3f (__DATA,__common) external _outputReport
00000001988d6748 (__TEXT,__text) non-external _print_token
00000001988d3de8 (__TEXT,__text) non-external _print_usage
                 (undefined) external _printf (from libSystem)
                 (undefined) external _puts (from libSystem)
00000001ea0dda48 (__DATA,__common) external _savedToken
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
                 (undefined) external _write (from libSystem)
