                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00000002582b8134 (__TEXT,__text) external _PFCheckNATRule
00000002582b8790 (__TEXT,__text) external _PFXPCSetupAndSend
00000002582b9580 (__TEXT,__const) external _PacketFilterVersionNumber
00000002582b9548 (__TEXT,__const) external _PacketFilterVersionString
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFRuntimeCreateInstance (from CoreFoundation)
                 (undefined) external __CFRuntimeRegisterClass (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000002582b6170 (__TEXT,__text) non-external ___PFAddressCheck
00000002582b7594 (__TEXT,__text) non-external ___PFAllowOptsCheck
00000002582b5f44 (__TEXT,__text) non-external ___PFDirCheck
00000002582b78e4 (__TEXT,__text) non-external ___PFDummyNetCheck
00000002582b7fd8 (__TEXT,__text) non-external ___PFDummyNetConsistencyCheck
00000002582b761c (__TEXT,__text) non-external ___PFExtFilterCheck
00000002582b76b0 (__TEXT,__text) non-external ___PFExtMapCheck
00000002582b60b4 (__TEXT,__text) non-external ___PFFamilyCheck
00000002582b7a34 (__TEXT,__text) non-external ___PFFilterConsistencyCheck
00000002582b484c (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke
00000002582b48f8 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_2
00000002582b4994 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_3
00000002582b6854 (__TEXT,__text) non-external ___PFFlagsCheck
00000002582b6c24 (__TEXT,__text) non-external ___PFGroupCheck
00000002582b7030 (__TEXT,__text) non-external ___PFICMPCheck
00000002582b82ec (__TEXT,__text) non-external ___PFIPAddressCheck
00000002582b8258 (__TEXT,__text) non-external ___PFInterfaceExists
00000002582b6ea8 (__TEXT,__text) non-external ___PFLogCheck
000000029d17e3a0 (__AUTH_CONST,__const) non-external ___PFManagerClass
00000002582b51dc (__TEXT,__text) non-external ___PFManagerCreateAuthorization
00000002582b52c0 (__TEXT,__text) non-external ___PFManagerLogCreate
00000002582b8f14 (__TEXT,__text) non-external ___PFManagerLogCreate.cold.1
00000002582b5468 (__TEXT,__text) non-external ___PFManagerQueueCreate
00000002582b5718 (__TEXT,__text) non-external ___PFManagerRegister
00000002582b5740 (__TEXT,__text) non-external ___PFManagerRelease
00000002582b8f5c (__TEXT,__text) non-external ___PFManagerRelease.cold.1
00000002582b7868 (__TEXT,__text) non-external ___PFMaxStatesCheck
00000002582b77e0 (__TEXT,__text) non-external ___PFNatPassCheck
00000002582b8548 (__TEXT,__text) non-external ___PFNegatedCheck
00000002582b8468 (__TEXT,__text) non-external ___PFOperatorCheck
00000002582b85c8 (__TEXT,__text) non-external ___PFParseFlags
00000002582b8374 (__TEXT,__text) non-external ___PFPortCheck
00000002582b5fd4 (__TEXT,__text) non-external ___PFProtocolCheck
00000002582b4568 (__TEXT,__text) non-external ___PFQueryGatewayAddrAndPortForDescriptor_block_invoke
00000002582b7e10 (__TEXT,__text) non-external ___PFRDRConsistencyCheck
00000002582b7744 (__TEXT,__text) non-external ___PFRTableCheck
00000002582b8648 (__TEXT,__text) non-external ___PFRuleStrToNum
00000002582b733c (__TEXT,__text) non-external ___PFScrubOptionsCheck
00000002582b7504 (__TEXT,__text) non-external ___PFStateCheck
00000002582b2d9c (__TEXT,__text) non-external ___PFTableAddAddress_block_invoke
00000002582b2b5c (__TEXT,__text) non-external ___PFTableBegin_block_invoke
000000029d17e250 (__AUTH_CONST,__const) non-external ___PFTableClass
00000002582b3334 (__TEXT,__text) non-external ___PFTableClear_block_invoke
00000002582b2fb4 (__TEXT,__text) non-external ___PFTableCommit_block_invoke
00000002582b3178 (__TEXT,__text) non-external ___PFTableCommit_block_invoke_2
00000002582b29ac (__TEXT,__text) non-external ___PFTableCreate_block_invoke
00000002582b3524 (__TEXT,__text) non-external ___PFTableDelete_block_invoke
00000002582b362c (__TEXT,__text) non-external ___PFTableDelete_block_invoke_2
00000002582b4f14 (__TEXT,__text) non-external ___PFTableRegister
00000002582b4f3c (__TEXT,__text) non-external ___PFTableRelease
00000002582b7174 (__TEXT,__text) non-external ___PFTagCheck
00000002582b13ac (__TEXT,__text) non-external ___PFUserAddRule_block_invoke
00000002582b107c (__TEXT,__text) non-external ___PFUserBeginRules_block_invoke
00000002582b69a0 (__TEXT,__text) non-external ___PFUserCheck
000000029d17e130 (__AUTH_CONST,__const) non-external ___PFUserClass
00000002582b1a4c (__TEXT,__text) non-external ___PFUserClearRules_block_invoke
00000002582b3ca8 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke
00000002582b3df8 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke_2
00000002582b15ec (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke
00000002582b1774 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke_2
00000002582b3ac0 (__TEXT,__text) non-external ___PFUserCopyRules_S_block_invoke
00000002582b0e64 (__TEXT,__text) non-external ___PFUserCreate_block_invoke
00000002582b2648 (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke
00000002582b2794 (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke_2
00000002582b1be0 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke
00000002582b1d30 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke_2
00000002582b37e4 (__TEXT,__text) non-external ___PFUserGetRules_block_invoke
00000002582b38fc (__TEXT,__text) non-external ___PFUserGetRules_block_invoke_2
00000002582b1470 (__TEXT,__text) non-external ___PFUserGetTransArray
00000002582b2460 (__TEXT,__text) non-external ___PFUserInsertRule_S_block_invoke
00000002582b20f8 (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke
00000002582b220c (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke_2
00000002582b434c (__TEXT,__text) non-external ___PFUserNATLook_S_block_invoke
00000002582b4008 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke
00000002582b411c (__TEXT,__text) non-external ___PFUserNATLook_block_invoke_2
00000002582b4d38 (__TEXT,__text) non-external ___PFUserRegister
00000002582b4d60 (__TEXT,__text) non-external ___PFUserRelease
00000002582b1ec8 (__TEXT,__text) non-external ___PFUserRelease_block_invoke
00000002582b184c (__TEXT,__text) non-external ___PFUserRemoveTransArray
00000002582b0e5c (__TEXT,__text) non-external ___PFUserRuleDictionaryRelease
00000002582b8bf8 (__TEXT,__text) non-external ___PFXPCResponseHandler
00000002582b4e2c (__TEXT,__text) non-external _____PFUserRelease_block_invoke
00000002582b5024 (__TEXT,__text) non-external _____PFUserXPCClearStatesResponseHandler_block_invoke
00000002582b4e44 (__TEXT,__text) non-external _____PFUserXPCCommitRulesResponseHandler_block_invoke
00000002582b4f6c (__TEXT,__text) non-external _____PFUserXPCCommitTableResponseHandler_block_invoke
00000002582b4efc (__TEXT,__text) non-external _____PFUserXPCDeleteRuleResponseHandler_block_invoke
00000002582b4e5c (__TEXT,__text) non-external _____PFUserXPCDeleteRulesResponseHandler_block_invoke
00000002582b4f84 (__TEXT,__text) non-external _____PFUserXPCDeleteTableResponseHandler_block_invoke
00000002582b4f9c (__TEXT,__text) non-external _____PFUserXPCGetRulesResponseHandler_block_invoke
00000002582b4e74 (__TEXT,__text) non-external _____PFUserXPCInsertRuleResponseHandler_block_invoke
00000002582b503c (__TEXT,__text) non-external _____PFUserXPCNatLookResponseHandler_block_invoke
00000002582b8b5c (__TEXT,__text) non-external _____PFXPCCreate_block_invoke
00000002582b8d74 (__TEXT,__text) non-external _____PFXPCSendMessage_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
0000000290c0f3f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000029d17db00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000029d17df80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.102
000000029d17dfb0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.106
000000029d17dfe0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.109
0000000290c0f3b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.113
000000029d17e010 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.116
000000029d17e040 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.119
000000029d17e070 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.124
000000029d17e420 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.127
000000029d17e0a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.128
000000029d17e0d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.131
000000029d17e100 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.134
0000000290c0f3d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.148
000000029d17db30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.15
000000029d17e190 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.156
000000029d17e1c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.160
000000029d17e1f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.164
000000029d17e220 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.168
000000029d17e2b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.173
000000029d17e2e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.177
000000029d17e310 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.181
000000029d17e340 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.185
000000029d17e370 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.189
000000029d17db60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.24
000000029d17db90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.27
000000029d17dbc0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.29
000000029d17dbf0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.32
000000029d17dc20 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.36
000000029d17dc50 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.39
000000029d17dc80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.42
000000029d17dcb0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.47
000000029d17dce0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
000000029d17dd10 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.53
000000029d17dd40 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.57
000000029d17dd70 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.60
000000029d17dda0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.64
000000029d17ddd0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.69
000000029d17de00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.73
000000029d17de30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.77
000000029d17de60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
000000029d17de90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.83
000000029d17dec0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.88
000000029d17def0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.91
000000029d17df20 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.96
000000029d17df50 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.99
000000029d17e400 (__AUTH_CONST,__const) non-external ___block_literal_global
00000002582b1830 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000002582b18c8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00000002582b0f2c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000002582b1184 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000002582b1840 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000002582b1918 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00000002582b0f3c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000002582b11d4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
                 (undefined) external ___error (from libSystem)
0000000296a57c68 (__DATA,__bss) non-external ___pfDictIdentifier
00000002991981b0 (__DATA_DIRTY,__bss) non-external ___pfLog
0000000296a57c78 (__DATA,__bss) non-external ___pfLogError
0000000299198170 (__DATA_DIRTY,__data) non-external ___pfLogInit
00000002991981a8 (__DATA_DIRTY,__bss) non-external ___pfManager
00000002991981c8 (__DATA_DIRTY,__bss) non-external ___pfManagerTypeID
0000000299198190 (__DATA_DIRTY,__data) non-external ___pfManagerTypeInit
00000002991981b8 (__DATA_DIRTY,__bss) non-external ___pfQueue
0000000296a57c80 (__DATA,__bss) non-external ___pfQueueError
0000000299198180 (__DATA_DIRTY,__data) non-external ___pfQueueInit
0000000296a57c70 (__DATA,__bss) non-external ___pfTableTypeID
0000000296a57898 (__DATA,__data) non-external ___pfTableTypeInit
00000002991981a0 (__DATA_DIRTY,__bss) non-external ___pfUserTypeID
0000000299198160 (__DATA_DIRTY,__data) non-external ___pfUserTypeInit
00000002991981c0 (__DATA_DIRTY,__bss) non-external ___pfXpcQueue
00000002991981d8 (__DATA_DIRTY,__bss) non-external ___pfconnection
00000002991981d0 (__DATA_DIRTY,__bss) non-external ___pfresponse
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __xpc_error_key_description (from libSystem)
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_connection (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getgrnam (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getprotobyname (from libSystem)
                 (undefined) external _getpwnam (from libSystem)
                 (undefined) external _getservbyname (from libSystem)
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
0000000296a57a50 (__DATA,__data) external _kPFAction
0000000296a57a38 (__DATA,__data) external _kPFAdaptiveFirewall
0000000296a579b8 (__DATA,__data) external _kPFAirDrop
0000000296a57af0 (__DATA,__data) external _kPFAllowOpts
0000000296a57c58 (__DATA,__data) external _kPFAny
0000000296a579c0 (__DATA,__data) external _kPFApplicationFirewall
0000000296a579d0 (__DATA,__data) external _kPFBase
0000000296a579f0 (__DATA,__data) external _kPFBase_nat64
0000000296a579f8 (__DATA,__data) external _kPFBase_nat66
0000000296a579e0 (__DATA,__data) external _kPFBase_v4
0000000296a579e8 (__DATA,__data) external _kPFBase_v6
0000000296a57b40 (__DATA,__data) external _kPFBytesIn
0000000296a57b48 (__DATA,__data) external _kPFBytesOut
0000000296a57a40 (__DATA,__data) external _kPFCustomFirewall
0000000296a57a30 (__DATA,__data) external _kPFDefaultFirewall
0000000296a57a60 (__DATA,__data) external _kPFDirection
0000000296a57b00 (__DATA,__data) external _kPFDummyNet
0000000296a57b08 (__DATA,__data) external _kPFExtFilter
0000000296a57b10 (__DATA,__data) external _kPFExtMap
0000000296a579a8 (__DATA,__data) external _kPFFTPProxy
0000000296a57a70 (__DATA,__data) external _kPFFamily
0000000296a57ab8 (__DATA,__data) non-external (was a private external) _kPFFlagSet
0000000296a57ab0 (__DATA,__data) external _kPFFlags
0000000296a57a88 (__DATA,__data) external _kPFFrom
0000000296a57ac8 (__DATA,__data) external _kPFGroup
0000000296a57a10 (__DATA,__data) external _kPFHost_v4
0000000296a57a18 (__DATA,__data) external _kPFHost_v6
0000000296a57ad8 (__DATA,__data) external _kPFICMP
0000000296a57a68 (__DATA,__data) external _kPFInterface
0000000296a57990 (__DATA,__data) external _kPFInternetSharing
0000000296a57ae8 (__DATA,__data) external _kPFKeepState
0000000296a57ad0 (__DATA,__data) external _kPFLog
0000000296a57a28 (__DATA,__data) external _kPFMDNS
0000000296a57b28 (__DATA,__data) external _kPFMaxStates
0000000296a57a98 (__DATA,__data) external _kPFNATDest
0000000296a57b20 (__DATA,__data) external _kPFNATPass
0000000296a57aa8 (__DATA,__data) external _kPFNATRDRAddress
0000000296a57a90 (__DATA,__data) external _kPFNATSrc
0000000296a57998 (__DATA,__data) external _kPFNLC
0000000296a57a20 (__DATA,__data) external _kPFNetworkIsolation
0000000296a57b30 (__DATA,__data) external _kPFPacketsIn
0000000296a57b38 (__DATA,__data) external _kPFPacketsOut
0000000296a579d8 (__DATA,__data) external _kPFPortMapping
0000000296a57a78 (__DATA,__data) external _kPFProtocol
0000000296a57a80 (__DATA,__data) external _kPFQuick
0000000296a57b18 (__DATA,__data) external _kPFRTableID
0000000296a57a58 (__DATA,__data) external _kPFReturnOptions
0000000296a57b50 (__DATA,__data) external _kPFRuleID
0000000296a57ae0 (__DATA,__data) external _kPFScrubOptions
0000000296a579b0 (__DATA,__data) external _kPFServerFirewall
0000000296a57a00 (__DATA,__data) external _kPFShared_v4
0000000296a57a08 (__DATA,__data) external _kPFShared_v6
0000000296a57b60 (__DATA,__data) external _kPFSubAddress
0000000296a57b58 (__DATA,__data) external _kPFSubAddressLabel
0000000296a57c48 (__DATA,__data) external _kPFSubDummyNetPipe
0000000296a57c50 (__DATA,__data) external _kPFSubDummyNetPipeType
0000000296a57b68 (__DATA,__data) external _kPFSubDynInterface
0000000296a57bb8 (__DATA,__data) external _kPFSubGroupName
0000000296a57bd0 (__DATA,__data) external _kPFSubGroupOperator
0000000296a57bc8 (__DATA,__data) external _kPFSubHighGroupID
0000000296a57b80 (__DATA,__data) external _kPFSubHighPort
0000000296a57ba8 (__DATA,__data) external _kPFSubHighUserID
0000000296a57bf0 (__DATA,__data) external _kPFSubICMPCode
0000000296a57be8 (__DATA,__data) external _kPFSubICMPType
0000000296a57bd8 (__DATA,__data) external _kPFSubLogFlags
0000000296a57be0 (__DATA,__data) external _kPFSubLogTo
0000000296a57bc0 (__DATA,__data) external _kPFSubLowGroupID
0000000296a57b78 (__DATA,__data) external _kPFSubLowPort
0000000296a57ba0 (__DATA,__data) external _kPFSubLowUserID
0000000296a57b70 (__DATA,__data) external _kPFSubNegated
0000000296a57c28 (__DATA,__data) external _kPFSubNotTagged
0000000296a57b88 (__DATA,__data) external _kPFSubPortOperator
0000000296a57c10 (__DATA,__data) external _kPFSubReturnICMP6Code
0000000296a57c08 (__DATA,__data) external _kPFSubReturnICMPCode
0000000296a57c00 (__DATA,__data) external _kPFSubReturnTTL
0000000296a57bf8 (__DATA,__data) external _kPFSubReturnType
0000000296a57c30 (__DATA,__data) external _kPFSubScrubFlags
0000000296a57c40 (__DATA,__data) external _kPFSubScrubMaxMSS
0000000296a57c38 (__DATA,__data) external _kPFSubScrubMinTTL
0000000296a57b90 (__DATA,__data) external _kPFSubTable
0000000296a57c18 (__DATA,__data) external _kPFSubTag
0000000296a57c20 (__DATA,__data) external _kPFSubTagged
0000000296a57b98 (__DATA,__data) external _kPFSubUserName
0000000296a57bb0 (__DATA,__data) external _kPFSubUserOperator
0000000296a57af8 (__DATA,__data) external _kPFTagDict
0000000296a579c8 (__DATA,__data) external _kPFThreadBR
0000000296a57a48 (__DATA,__data) external _kPFThreadBR_nat64
0000000296a57aa0 (__DATA,__data) external _kPFTo
0000000296a57c60 (__DATA,__data) external _kPFUnknown
0000000296a57ac0 (__DATA,__data) external _kPFUser
0000000296a579a0 (__DATA,__data) external _kPFVPN
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_log_with_args (from libSystem)
0000000296a578a8 (__DATA,__data) non-external (was a private external) _pfLogSubsystem
0000000296a57978 (__DATA,__data) non-external (was a private external) _pfXPCEXTLANAddress
0000000296a57980 (__DATA,__data) non-external (was a private external) _pfXPCEXTLANPort
0000000296a57988 (__DATA,__data) non-external (was a private external) _pfXPCIPProto
0000000296a578c8 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppSubType
0000000296a578c0 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppType
0000000296a57910 (__DATA,__data) non-external (was a private external) _pfXPCKeyAuthRef
0000000296a57908 (__DATA,__data) non-external (was a private external) _pfXPCKeyGatewayQuery
0000000296a578f8 (__DATA,__data) non-external (was a private external) _pfXPCKeyInsertID
0000000296a578f0 (__DATA,__data) non-external (was a private external) _pfXPCKeyPriority
0000000296a578d8 (__DATA,__data) non-external (was a private external) _pfXPCKeyRule
0000000296a578d0 (__DATA,__data) non-external (was a private external) _pfXPCKeyRuleArray
0000000296a578e8 (__DATA,__data) non-external (was a private external) _pfXPCKeyTableAddressArray
0000000296a578e0 (__DATA,__data) non-external (was a private external) _pfXPCKeyTableName
0000000296a57900 (__DATA,__data) non-external (was a private external) _pfXPCKeyTrafficDescriptors
0000000296a578b8 (__DATA,__data) non-external (was a private external) _pfXPCKeyType
0000000296a57968 (__DATA,__data) non-external (was a private external) _pfXPCLANAddress
0000000296a57970 (__DATA,__data) non-external (was a private external) _pfXPCLANPort
0000000296a57930 (__DATA,__data) non-external (was a private external) _pfXPCResponseArray
0000000296a57938 (__DATA,__data) non-external (was a private external) _pfXPCResponseDescriptorId
0000000296a57960 (__DATA,__data) non-external (was a private external) _pfXPCResponseGatewayPort
0000000296a57948 (__DATA,__data) non-external (was a private external) _pfXPCResponsePacketCountIn
0000000296a57950 (__DATA,__data) non-external (was a private external) _pfXPCResponsePacketCountOut
0000000296a57940 (__DATA,__data) non-external (was a private external) _pfXPCResponseStatesFound
0000000296a57958 (__DATA,__data) non-external (was a private external) _pfXPCResponseV4GatewayAddress
0000000296a578b0 (__DATA,__data) non-external (was a private external) _pfXPCService
0000000296a57920 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptor
0000000296a57928 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptorId
0000000296a57918 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptors
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _sleep (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strerror (from libSystem)
