00007ffa447c0ae0 (__DATA,__data) non-external _.compoundliteral
00007ffa1e8857b2 (__TEXT,__text) non-external (was a private external) _BitSetSetSizeEquals
00007ffa1e890852 (__TEXT,__text) non-external (was a private external) _BlockAdd
00007ffa1e8911cf (__TEXT,__text) non-external (was a private external) _BlockAddSuccessor
00007ffa1e890928 (__TEXT,__text) non-external (was a private external) _BlockFree
00007ffa1e890c1f (__TEXT,__text) non-external (was a private external) _Blockify
00007ffa1e89124e (__TEXT,__text) non-external (was a private external) _BlocksFree
00007ffa1e88dba0 (__TEXT,__text) non-external (was a private external) _BuildGenKill
00007ffa1e88de18 (__TEXT,__text) non-external (was a private external) _BuildInterferenceSets
00007ffa1e88dd1f (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00007ffa1e83ff5f (__TEXT,__text) non-external _CPPelse
00007ffa1e840a5a (__TEXT,__text) non-external _CPPerror
00007ffa1e840c29 (__TEXT,__text) non-external _CPPextension
00007ffa1e8401b7 (__TEXT,__text) non-external _CPPif
00007ffa1e840277 (__TEXT,__text) non-external _CPPifdef
00007ffa1e8403ac (__TEXT,__text) non-external _CPPinclude
00007ffa1e84060b (__TEXT,__text) non-external _CPPline
00007ffa1e8407bc (__TEXT,__text) non-external _CPPpragma
00007ffa1e8409c5 (__TEXT,__text) non-external _CPPundef
00007ffa1e840b2b (__TEXT,__text) non-external _CPPversion
00007ffa1e89a669 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00007ffa1e898c9b (__TEXT,__text) non-external _ClearDestedOpRegisters
00007ffa1e89a628 (__TEXT,__text) non-external _ClearJumpTable
00007ffa1e898c41 (__TEXT,__text) non-external _ClearRegisterState
00007ffa1e896953 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00007ffa1e88e728 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00007ffa1e896c14 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00007ffa1e8925cc (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00007ffa1e827d80 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00007ffa1e894120 (__TEXT,__text) non-external _EmulateOp
00007ffa1e898c01 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00007ffa1e898bc0 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007ffa1e83f230 (__TEXT,__text) non-external _FindHashLoc
00007ffa1e89a925 (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007ffa1e8265b0 (__TEXT,__text) non-external (was a private external) _FinishType
00007ffa1e8914ff (__TEXT,__text) non-external (was a private external) _FlattenIf
00007ffa1e891377 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007ffa1e83f1c7 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00007ffa1e83f572 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007ffa1e841cd7 (__TEXT,__text) non-external (was a private external) _FreeScanner
00007ffa1e75c68c (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007ffa1e76190a (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007ffa4331bac0 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007ffa1e8bc0e0 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007ffa447c0a48 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffa1e8bb620 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffa4331db00 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffa1e8bc0f0 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffa1e8bb5d0 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffa1e83ee54 (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffa1e893658 (__TEXT,__text) non-external _GetOpRegs
00007ffa1e891150 (__TEXT,__text) non-external _GetOrAddBlock
00007ffa1e896bba (__TEXT,__text) non-external _GetRegChunk
00007ffa1e88f8f4 (__TEXT,__text) non-external _GetRegister
00007ffa1e898b2a (__TEXT,__text) non-external _GetRegisterIndicies
00007ffa1e8924c1 (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffa1e83eea6 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffa1e89a8a8 (__TEXT,__text) non-external _GetStreamArray
00007ffa1e83f1b3 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffa1e83f019 (__TEXT,__text) non-external _GrowAtomTable
00007ffa447c0a00 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffa1e88d607 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffa1e88d5a7 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffa1e88d718 (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffa1e88d83e (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffa1e88d82d (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffa1e88d4dc (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffa1e88d79d (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffa1e88d99a (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffa1e88d904 (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffa1e88db0b (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffa1e88d8b6 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffa1e83eec0 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffa1e83f398 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffa1e8265f1 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffa1e841c8c (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffa1e88feb8 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffa1e890824 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffa1e88ff7d (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffa1e893753 (__TEXT,__text) non-external _IsBadUsage
00007ffa1e827f09 (__TEXT,__text) non-external (was a private external) _Load
00007ffa1e83ec20 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffa1e83ecd2 (__TEXT,__text) non-external _LookUpAddStringHash
00007ffa1e843b6e (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffa1e843bd9 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffa1e840d7a (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffa1e8443d4 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffa1e8439d1 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffa1e843c24 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffa4331a7e0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffa4331a480 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffa4331aa00 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffa4331ab40 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffa4331a640 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffa4331a740 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffa4331ac40 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffa4331a7b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffa1e757da2 (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffa1e757b6a (__TEXT,__text) external _PPParserAttachStream
00007ffa1e7579ec (__TEXT,__text) external _PPParserAttachString
00007ffa1e760a8d (__TEXT,__text) external _PPParserBuildErrorString
00007ffa1e7578f8 (__TEXT,__text) external _PPParserCreate
00007ffa1e75841a (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffa1e75f484 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffa1e757abc (__TEXT,__text) external _PPParserFree
00007ffa1e758152 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffa1e7618e9 (__TEXT,__text) external _PPParserGetErrorString
00007ffa1e761900 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffa1e758459 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffa1e76189e (__TEXT,__text) external _PPParserGetLimits
00007ffa1e7618dc (__TEXT,__text) external _PPParserGetOptions
00007ffa1e758206 (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffa1e7584f7 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffa1e7618f6 (__TEXT,__text) external _PPParserGetStream
00007ffa1e756a8c (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffa1e756abb (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffa1e756b72 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffa1e756afd (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffa1e760b93 (__TEXT,__text) non-external _PPParserInherit
00007ffa1e757973 (__TEXT,__text) external _PPParserInit
00007ffa1e7619e6 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffa1e757b33 (__TEXT,__text) non-external _PPParserLabelsFree
00007ffa1e7566d0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffa1e7566f4 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffa1e756865 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffa1e756948 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffa1e7567ef (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffa1e7567bb (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffa1e7568c3 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffa1e76198b (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffa1e75f87a (__TEXT,__text) external _PPParserParse
00007ffa1e759228 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffa1e75d43e (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffa1e75e723 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffa1e75f2c2 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffa1e758cd5 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffa1e75bab6 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffa1e75c6e1 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffa1e758bac (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffa1e75d5af (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffa1e758d8c (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffa1e75d908 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffa1e75cf70 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffa1e761810 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffa1e758f8f (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffa1e75d2da (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffa1e75eff0 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffa1e75e7cb (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffa1e760ccb (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffa1e758605 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffa1e75c824 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffa1e75ce40 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffa1e759af6 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffa1e75b92c (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffa1e758e72 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffa1e75d100 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffa1e75dcb4 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffa1e760d88 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffa1e75e164 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffa1e75e011 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffa1e7598f8 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffa1e75e410 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffa1e760bef (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffa1e756d0e (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffa1e7581af (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffa1e7583b6 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffa1e75779c (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffa1e756b96 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffa1e7576fe (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffa1e757885 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffa1e7578be (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffa1e7577e7 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffa1e7618ab (__TEXT,__text) external _PPParserSetLimits
00007ffa1e761891 (__TEXT,__text) external _PPParserSetPrefs
00007ffa1e757979 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffa1e759380 (__TEXT,__text) non-external _PPParserValidateName
00007ffa1e886711 (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffa1e88681d (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffa1e886cfa (__TEXT,__text) external _PPStreamAddConstant
00007ffa1e886c26 (__TEXT,__text) external _PPStreamAddLabel
00007ffa1e88692b (__TEXT,__text) external _PPStreamAddOperation
00007ffa1e886dd1 (__TEXT,__text) external _PPStreamAddOption
00007ffa1e886877 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffa1e886769 (__TEXT,__text) external _PPStreamAddParamBinding
00007ffa1e8867c3 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffa1e886d77 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffa1e8864e5 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffa1e88653f (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffa1e88665d (__TEXT,__text) external _PPStreamAddTempUsage
00007ffa1e8866b7 (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffa1e8868d1 (__TEXT,__text) external _PPStreamAddTexImage
00007ffa1e88796a (__TEXT,__text) external _PPStreamAttachStream
00007ffa1e885c3d (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffa1e8880b4 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffa1e885d24 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffa1e88663a (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffa1e885c5f (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffa1e885f34 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffa1e88620d (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffa1e88629c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffa1e885de8 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffa1e885e0c (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffa1e885f69 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffa1e8862f0 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffa1e886122 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffa1e886005 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffa1e885fa5 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffa1e886056 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffa1e886098 (__TEXT,__text) external _PPStreamChunkListSort
00007ffa1e887f63 (__TEXT,__text) external _PPStreamCompare
00007ffa1e8863f4 (__TEXT,__text) external _PPStreamCreate
00007ffa1e886599 (__TEXT,__text) external _PPStreamFree
00007ffa1e886e26 (__TEXT,__text) external _PPStreamGetStream
00007ffa1e887948 (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffa1e886b27 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffa1e886a09 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffa1e885c4e (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffa1e888162 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffa1e885c2c (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffa1e886cba (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffa1e888850 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffa1e888734 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffa1e7630ad (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffa1e763d04 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffa1e887814 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffa1e887185 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffa1e763ea3 (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffa1e763e1b (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffa1e887924 (__TEXT,__text) external _PPStreamTokenAlloc
00007ffa1e764218 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffa1e7645bb (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffa1e76441c (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffa1e764509 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffa1e88793e (__TEXT,__text) external _PPStreamTokenFree
00007ffa1e763081 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffa1e763030 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffa1e8b9bf0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffa1e8b9cb0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffa1e8b9d80 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffa4331ae40 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffa1e764653 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffa4331b2f0 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffa1e8bbb30 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffa1e8bbb40 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffa1e8bbb80 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffa1e8bbb50 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffa1e891342 (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffa1e8912a1 (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffa1e844485 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffa1e843e84 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffa1e89a460 (__TEXT,__text) non-external _RecordFunctionCall
00007ffa1e843d4f (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffa1e88fdc3 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffa1e88fd53 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffa1e88e2e9 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffa1e88e284 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffa1e890a29 (__TEXT,__text) non-external (was a private external) _Registerify
00007ffa1e88f974 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffa1e890bc0 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffa1e8909db (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffa1e88dfd9 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffa1e88e33f (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffa1e88e3bb (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffa1e896661 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffa1e761954 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffa1e761a59 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00007ffa1e843e6a (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffa1e842e5c (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffa1e843005 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffa1e841d10 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffa1e8431a7 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffa1e827e2f (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffa1e83580e (__TEXT,__text) external _ShAttributeBindingRequest
00007ffa1e835779 (__TEXT,__text) external _ShCleanup
00007ffa1e8351bc (__TEXT,__text) external _ShCompile
00007ffa1e834def (__TEXT,__text) external _ShConstructCompiler
00007ffa1e834e79 (__TEXT,__text) external _ShConstructLinker
00007ffa1e834f3f (__TEXT,__text) external _ShDestruct
00007ffa1e8351b1 (__TEXT,__text) external _ShFinalize
00007ffa1e8367c5 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffa1e835fe2 (__TEXT,__text) external _ShGetActiveAttrib
00007ffa1e835cd9 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffa1e835cc4 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffa1e835c95 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffa1e837973 (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffa1e837ed9 (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffa1e837e27 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffa1e837d03 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffa1e83779b (__TEXT,__text) external _ShGetActiveUniform
00007ffa1e836fff (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffa1e836ca2 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffa1e83725d (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffa1e83746c (__TEXT,__text) external _ShGetActiveUniformName
00007ffa1e836141 (__TEXT,__text) external _ShGetAttribLocation
00007ffa1e835ed3 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffa1e837f50 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffa1e837f65 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00007ffa1e8361cf (__TEXT,__text) external _ShGetContextStateUniforms
00007ffa1e83693e (__TEXT,__text) external _ShGetFragDataLocation
00007ffa1e83578e (__TEXT,__text) external _ShGetInfoLog
00007ffa1e837f79 (__TEXT,__text) external _ShGetInteger
00007ffa1e83645d (__TEXT,__text) external _ShGetLinkerPPStream
00007ffa1e837a7e (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00007ffa1e837acc (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
