                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffc0e7c8538 (__TEXT,__text) external _PFCheckNATRule
00007ffc0e7c7b32 (__TEXT,__text) non-external ___PFAllowOptsCheck
00007ffc0e7c6672 (__TEXT,__text) non-external ___PFDirCheck
00007ffc0e7c7dcc (__TEXT,__text) non-external ___PFDummyNetCheck
00007ffc0e7c8401 (__TEXT,__text) non-external ___PFDummyNetConsistencyCheck
00007ffc0e7c7b97 (__TEXT,__text) non-external ___PFExtFilterCheck
00007ffc0e7c7c0b (__TEXT,__text) non-external ___PFExtMapCheck
00007ffc0e7c679a (__TEXT,__text) non-external ___PFFamilyCheck
00007ffc0e7c7ef3 (__TEXT,__text) non-external ___PFFilterConsistencyCheck
00007ffc0e7c5071 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke
00007ffc0e7c50f7 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_2
00007ffc0e7c516a (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_3
00007ffc0e7c6ed6 (__TEXT,__text) non-external ___PFFlagsCheck
00007ffc0e7c7287 (__TEXT,__text) non-external ___PFGroupCheck
00007ffc0e7c765e (__TEXT,__text) non-external ___PFICMPCheck
00007ffc0e7c86d6 (__TEXT,__text) non-external ___PFIPAddressCheck
00007ffc0e7c8650 (__TEXT,__text) non-external ___PFInterfaceExists
00007ffc0e7c74ea (__TEXT,__text) non-external ___PFLogCheck
00007ffc40e4da18 (__DATA_CONST,__const) non-external ___PFManagerClass
00007ffc0e7c5849 (__TEXT,__text) non-external ___PFManagerCreateAuthorization
00007ffc0e7c58ef (__TEXT,__text) non-external ___PFManagerLogCreate
00007ffc0e7c9153 (__TEXT,__text) non-external ___PFManagerLogCreate.cold.1
00007ffc0e7c5bb5 (__TEXT,__text) non-external ___PFManagerQueueCreate
00007ffc0e7c5e0b (__TEXT,__text) non-external ___PFManagerRegister
00007ffc0e7c5e24 (__TEXT,__text) non-external ___PFManagerRelease
00007ffc0e7c918b (__TEXT,__text) non-external ___PFManagerRelease.cold.1
00007ffc0e7c7d69 (__TEXT,__text) non-external ___PFMaxStatesCheck
00007ffc0e7c7d04 (__TEXT,__text) non-external ___PFNatPassCheck
00007ffc0e7c88ec (__TEXT,__text) non-external ___PFNegatedCheck
00007ffc0e7c8817 (__TEXT,__text) non-external ___PFOperatorCheck
00007ffc0e7c894a (__TEXT,__text) non-external ___PFParseFlags
00007ffc0e7c8741 (__TEXT,__text) non-external ___PFPortCheck
00007ffc0e7c66e0 (__TEXT,__text) non-external ___PFProtocolCheck
00007ffc0e7c4ded (__TEXT,__text) non-external ___PFQueryGatewayAddrAndPortForDescriptor_block_invoke
00007ffc0e7c8278 (__TEXT,__text) non-external ___PFRDRConsistencyCheck
00007ffc0e7c7c7f (__TEXT,__text) non-external ___PFRTableCheck
00007ffc0e7c89b5 (__TEXT,__text) non-external ___PFRuleStrToNum
00007ffc0e7c7920 (__TEXT,__text) non-external ___PFScrubOptionsCheck
00007ffc0e7c7ac4 (__TEXT,__text) non-external ___PFStateCheck
00007ffc0e7c7778 (__TEXT,__text) non-external ___PFTagCheck
00007ffc0e7c309b (__TEXT,__text) non-external ___PFUserAddRule_block_invoke
00007ffc0e7c2e0a (__TEXT,__text) non-external ___PFUserBeginRules_block_invoke
00007ffc0e7c7024 (__TEXT,__text) non-external ___PFUserCheck
00007ffc40e4d848 (__DATA_CONST,__const) non-external ___PFUserClass
00007ffc0e7c3602 (__TEXT,__text) non-external ___PFUserClearRules_block_invoke
00007ffc0e7c4681 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke
00007ffc0e7c4796 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke_2
00007ffc0e7c3269 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke
00007ffc0e7c33ca (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke_2
00007ffc0e7c44ec (__TEXT,__text) non-external ___PFUserCopyRules_S_block_invoke
00007ffc0e7c2c22 (__TEXT,__text) non-external ___PFUserCreate_block_invoke
00007ffc0e7c401f (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke
00007ffc0e7c4136 (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke_2
00007ffc0e7c3751 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke
00007ffc0e7c3866 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke_2
00007ffc0e7c4290 (__TEXT,__text) non-external ___PFUserGetRules_block_invoke
00007ffc0e7c4367 (__TEXT,__text) non-external ___PFUserGetRules_block_invoke_2
00007ffc0e7c3123 (__TEXT,__text) non-external ___PFUserGetTransArray
00007ffc0e7c3e83 (__TEXT,__text) non-external ___PFUserInsertRule_S_block_invoke
00007ffc0e7c3b91 (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke
00007ffc0e7c3c6d (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke_2
00007ffc0e7c4c2e (__TEXT,__text) non-external ___PFUserNATLook_S_block_invoke
00007ffc0e7c4960 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke
00007ffc0e7c4a39 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke_2
00007ffc0e7c548b (__TEXT,__text) non-external ___PFUserRegister
00007ffc0e7c54a4 (__TEXT,__text) non-external ___PFUserRelease
00007ffc0e7c39b2 (__TEXT,__text) non-external ___PFUserRelease_block_invoke
00007ffc0e7c346a (__TEXT,__text) non-external ___PFUserRemoveTransArray
00007ffc0e7c2c15 (__TEXT,__text) non-external ___PFUserRuleDictionaryRelease
00007ffc0e7c8e7d (__TEXT,__text) non-external ___PFXPCResponseHandler
00007ffc0e7c5553 (__TEXT,__text) non-external _____PFUserRelease_block_invoke
00007ffc0e7c5663 (__TEXT,__text) non-external _____PFUserXPCClearStatesResponseHandler_block_invoke
00007ffc0e7c556b (__TEXT,__text) non-external _____PFUserXPCCommitRulesResponseHandler_block_invoke
00007ffc0e7c55f2 (__TEXT,__text) non-external _____PFUserXPCDeleteRuleResponseHandler_block_invoke
00007ffc0e7c5581 (__TEXT,__text) non-external _____PFUserXPCDeleteRulesResponseHandler_block_invoke
00007ffc0e7c5608 (__TEXT,__text) non-external _____PFUserXPCGetRulesResponseHandler_block_invoke
00007ffc0e7c5597 (__TEXT,__text) non-external _____PFUserXPCInsertRuleResponseHandler_block_invoke
00007ffc0e7c5679 (__TEXT,__text) non-external _____PFUserXPCNatLookResponseHandler_block_invoke
00007ffc0e7c8e0e (__TEXT,__text) non-external _____PFXPCCreate_block_invoke
00007ffc0e7c8fea (__TEXT,__text) non-external _____PFXPCSendMessage_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffc40e4d378 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc40e4da78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc40e4dab8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.123
00007ffc40e4d3a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.15
00007ffc40e4d3d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.22
00007ffc40e4d408 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffc40e4d438 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27
00007ffc40e4d468 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.28
00007ffc40e4d498 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00007ffc40e4d4c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.31
00007ffc40e4d4f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.32
00007ffc40e4d528 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.35
00007ffc40e4d558 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.36
00007ffc40e4d588 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00007ffc40e4d5b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.39
00007ffc40e4d5e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.40
00007ffc40e4d618 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.43
00007ffc40e4d648 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.44
00007ffc40e4d678 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.45
00007ffc40e4d6a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00007ffc40e4d6d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.48
00007ffc40e4d708 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.52
00007ffc40e4d728 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.53
00007ffc40e4d758 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.54
00007ffc40e4d788 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.57
00007ffc40e4d7b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.59
00007ffc40e4d7e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.60
00007ffc40e4d818 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.61
00007ffc40e4d8a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.75
00007ffc40e4d8c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.81
00007ffc40e4d8f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.83
00007ffc40e4d928 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.85
00007ffc40e4d958 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.87
00007ffc40e4d988 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.89
00007ffc40e4d9b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.91
00007ffc40e4d9e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.93
00007ffc40e4da98 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc0e7c8ffe (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00007ffc0e7c34c8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00007ffc0e7c2cc0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ffc0e7c2ebc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00007ffc0e7c3457 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00007ffc0e7c3500 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00007ffc0e7c2cd7 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00007ffc0e7c2ef4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
                 (undefined) external ___error (from libSystem)
00007ffc42e50be0 (__DATA,__bss) non-external ___pfDictIdentifier
00007ffc42e50bf8 (__DATA,__bss) non-external ___pfLog
00007ffc42e50c00 (__DATA,__bss) non-external ___pfLogError
00007ffc42e50810 (__DATA,__data) non-external ___pfLogInit
00007ffc42e50bf0 (__DATA,__bss) non-external ___pfManager
00007ffc42e50c20 (__DATA,__bss) non-external ___pfManagerTypeID
00007ffc42e50830 (__DATA,__data) non-external ___pfManagerTypeInit
00007ffc42e50c08 (__DATA,__bss) non-external ___pfQueue
00007ffc42e50c10 (__DATA,__bss) non-external ___pfQueueError
00007ffc42e50820 (__DATA,__data) non-external ___pfQueueInit
00007ffc42e50be8 (__DATA,__bss) non-external ___pfUserTypeID
00007ffc42e50800 (__DATA,__data) non-external ___pfUserTypeInit
00007ffc42e50c18 (__DATA,__bss) non-external ___pfXpcQueue
00007ffc42e50c30 (__DATA,__bss) non-external ___pfconnection
00007ffc42e50c28 (__DATA,__bss) non-external ___pfresponse
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __xpc_error_key_description (from libSystem)
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_connection (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getgrnam (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getprotobyname (from libSystem)
                 (undefined) external _getpwnam (from libSystem)
                 (undefined) external _getservbyname (from libSystem)
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
00007ffc42e509d0 (__DATA,__data) external _kPFAction
00007ffc42e509b8 (__DATA,__data) external _kPFAdaptiveFirewall
00007ffc42e50940 (__DATA,__data) external _kPFAirDrop
00007ffc42e50a70 (__DATA,__data) external _kPFAllowOpts
00007ffc42e50bd0 (__DATA,__data) external _kPFAny
00007ffc42e50948 (__DATA,__data) external _kPFApplicationFirewall
00007ffc42e50958 (__DATA,__data) external _kPFBase
00007ffc42e50978 (__DATA,__data) external _kPFBase_nat64
00007ffc42e50980 (__DATA,__data) external _kPFBase_nat66
00007ffc42e50968 (__DATA,__data) external _kPFBase_v4
00007ffc42e50970 (__DATA,__data) external _kPFBase_v6
00007ffc42e50ac0 (__DATA,__data) external _kPFBytesIn
00007ffc42e50ac8 (__DATA,__data) external _kPFBytesOut
00007ffc42e509c0 (__DATA,__data) external _kPFCustomFirewall
00007ffc42e509b0 (__DATA,__data) external _kPFDefaultFirewall
00007ffc42e509e0 (__DATA,__data) external _kPFDirection
00007ffc42e50a80 (__DATA,__data) external _kPFDummyNet
00007ffc42e50a88 (__DATA,__data) external _kPFExtFilter
00007ffc42e50a90 (__DATA,__data) external _kPFExtMap
00007ffc42e50930 (__DATA,__data) external _kPFFTPProxy
00007ffc42e509f0 (__DATA,__data) external _kPFFamily
00007ffc42e50a38 (__DATA,__data) non-external (was a private external) _kPFFlagSet
00007ffc42e50a30 (__DATA,__data) external _kPFFlags
00007ffc42e50a08 (__DATA,__data) external _kPFFrom
00007ffc42e50a48 (__DATA,__data) external _kPFGroup
00007ffc42e50998 (__DATA,__data) external _kPFHost_v4
00007ffc42e509a0 (__DATA,__data) external _kPFHost_v6
00007ffc42e50a58 (__DATA,__data) external _kPFICMP
00007ffc42e509e8 (__DATA,__data) external _kPFInterface
00007ffc42e50918 (__DATA,__data) external _kPFInternetSharing
00007ffc42e50a68 (__DATA,__data) external _kPFKeepState
00007ffc42e50a50 (__DATA,__data) external _kPFLog
00007ffc42e509a8 (__DATA,__data) external _kPFMDNS
00007ffc42e50aa8 (__DATA,__data) external _kPFMaxStates
00007ffc42e50a18 (__DATA,__data) external _kPFNATDest
00007ffc42e50aa0 (__DATA,__data) external _kPFNATPass
00007ffc42e50a28 (__DATA,__data) external _kPFNATRDRAddress
00007ffc42e50a10 (__DATA,__data) external _kPFNATSrc
00007ffc42e50920 (__DATA,__data) external _kPFNLC
00007ffc42e50ab0 (__DATA,__data) external _kPFPacketsIn
00007ffc42e50ab8 (__DATA,__data) external _kPFPacketsOut
00007ffc42e50960 (__DATA,__data) external _kPFPortMapping
00007ffc42e509f8 (__DATA,__data) external _kPFProtocol
00007ffc42e50a00 (__DATA,__data) external _kPFQuick
00007ffc42e50a98 (__DATA,__data) external _kPFRTableID
00007ffc42e509d8 (__DATA,__data) external _kPFReturnOptions
00007ffc42e50ad0 (__DATA,__data) external _kPFRuleID
00007ffc42e50a60 (__DATA,__data) external _kPFScrubOptions
00007ffc42e50938 (__DATA,__data) external _kPFServerFirewall
00007ffc42e50988 (__DATA,__data) external _kPFShared_v4
00007ffc42e50990 (__DATA,__data) external _kPFShared_v6
00007ffc42e50ae0 (__DATA,__data) external _kPFSubAddress
00007ffc42e50ad8 (__DATA,__data) external _kPFSubAddressLabel
00007ffc42e50bc0 (__DATA,__data) external _kPFSubDummyNetPipe
00007ffc42e50bc8 (__DATA,__data) external _kPFSubDummyNetPipeType
00007ffc42e50ae8 (__DATA,__data) external _kPFSubDynInterface
00007ffc42e50b30 (__DATA,__data) external _kPFSubGroupName
00007ffc42e50b48 (__DATA,__data) external _kPFSubGroupOperator
00007ffc42e50b40 (__DATA,__data) external _kPFSubHighGroupID
00007ffc42e50b00 (__DATA,__data) external _kPFSubHighPort
00007ffc42e50b20 (__DATA,__data) external _kPFSubHighUserID
00007ffc42e50b68 (__DATA,__data) external _kPFSubICMPCode
00007ffc42e50b60 (__DATA,__data) external _kPFSubICMPType
00007ffc42e50b50 (__DATA,__data) external _kPFSubLogFlags
00007ffc42e50b58 (__DATA,__data) external _kPFSubLogTo
00007ffc42e50b38 (__DATA,__data) external _kPFSubLowGroupID
00007ffc42e50af8 (__DATA,__data) external _kPFSubLowPort
00007ffc42e50b18 (__DATA,__data) external _kPFSubLowUserID
00007ffc42e50af0 (__DATA,__data) external _kPFSubNegated
00007ffc42e50ba0 (__DATA,__data) external _kPFSubNotTagged
00007ffc42e50b08 (__DATA,__data) external _kPFSubPortOperator
00007ffc42e50b88 (__DATA,__data) external _kPFSubReturnICMP6Code
00007ffc42e50b80 (__DATA,__data) external _kPFSubReturnICMPCode
00007ffc42e50b78 (__DATA,__data) external _kPFSubReturnTTL
00007ffc42e50b70 (__DATA,__data) external _kPFSubReturnType
00007ffc42e50ba8 (__DATA,__data) external _kPFSubScrubFlags
00007ffc42e50bb8 (__DATA,__data) external _kPFSubScrubMaxMSS
00007ffc42e50bb0 (__DATA,__data) external _kPFSubScrubMinTTL
00007ffc42e50b90 (__DATA,__data) external _kPFSubTag
00007ffc42e50b98 (__DATA,__data) external _kPFSubTagged
00007ffc42e50b10 (__DATA,__data) external _kPFSubUserName
00007ffc42e50b28 (__DATA,__data) external _kPFSubUserOperator
00007ffc42e50a78 (__DATA,__data) external _kPFTagDict
00007ffc42e50950 (__DATA,__data) external _kPFThreadBR
00007ffc42e509c8 (__DATA,__data) external _kPFThreadBR_nat64
00007ffc42e50a20 (__DATA,__data) external _kPFTo
00007ffc42e50bd8 (__DATA,__data) external _kPFUnknown
00007ffc42e50a40 (__DATA,__data) external _kPFUser
00007ffc42e50928 (__DATA,__data) external _kPFVPN
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_log_with_args (from libSystem)
00007ffc42e50840 (__DATA,__data) non-external (was a private external) _pfLogSubsystem
00007ffc42e50900 (__DATA,__data) non-external (was a private external) _pfXPCEXTLANAddress
00007ffc42e50908 (__DATA,__data) non-external (was a private external) _pfXPCEXTLANPort
00007ffc42e50910 (__DATA,__data) non-external (was a private external) _pfXPCIPProto
00007ffc42e50860 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppSubType
00007ffc42e50858 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppType
00007ffc42e50898 (__DATA,__data) non-external (was a private external) _pfXPCKeyAuthRef
00007ffc42e50890 (__DATA,__data) non-external (was a private external) _pfXPCKeyGatewayQuery
00007ffc42e50880 (__DATA,__data) non-external (was a private external) _pfXPCKeyInsertID
00007ffc42e50878 (__DATA,__data) non-external (was a private external) _pfXPCKeyPriority
00007ffc42e50870 (__DATA,__data) non-external (was a private external) _pfXPCKeyRule
00007ffc42e50868 (__DATA,__data) non-external (was a private external) _pfXPCKeyRuleArray
00007ffc42e50888 (__DATA,__data) non-external (was a private external) _pfXPCKeyTrafficDescriptors
00007ffc42e50850 (__DATA,__data) non-external (was a private external) _pfXPCKeyType
00007ffc42e508f0 (__DATA,__data) non-external (was a private external) _pfXPCLANAddress
00007ffc42e508f8 (__DATA,__data) non-external (was a private external) _pfXPCLANPort
00007ffc42e508b8 (__DATA,__data) non-external (was a private external) _pfXPCResponseArray
00007ffc42e508c0 (__DATA,__data) non-external (was a private external) _pfXPCResponseDescriptorId
00007ffc42e508e8 (__DATA,__data) non-external (was a private external) _pfXPCResponseGatewayPort
00007ffc42e508d0 (__DATA,__data) non-external (was a private external) _pfXPCResponsePacketCountIn
00007ffc42e508d8 (__DATA,__data) non-external (was a private external) _pfXPCResponsePacketCountOut
00007ffc42e508c8 (__DATA,__data) non-external (was a private external) _pfXPCResponseStatesFound
00007ffc42e508e0 (__DATA,__data) non-external (was a private external) _pfXPCResponseV4GatewayAddress
00007ffc42e50848 (__DATA,__data) non-external (was a private external) _pfXPCService
00007ffc42e508a8 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptor
00007ffc42e508b0 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptorId
00007ffc42e508a0 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptors
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _sleep (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strndup (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strtol (from libSystem)
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _uuid_copy (from libSystem)
                 (undefined) external _xpc_array_append_value (from libSystem)
                 (undefined) external _xpc_array_create (from libSystem)
                 (undefined) external _xpc_array_create_empty (from libSystem)
                 (undefined) external _xpc_bool_get_value (from libSystem)
                 (undefined) external _xpc_connection_cancel (from libSystem)
                 (undefined) external _xpc_connection_create_mach_service (from libSystem)
                 (undefined) external _xpc_connection_resume (from libSystem)
                 (undefined) external _xpc_connection_send_message_with_reply (from libSystem)
                 (undefined) external _xpc_connection_send_message_with_reply_sync (from libSystem)
                 (undefined) external _xpc_connection_set_event_handler (from libSystem)
                 (undefined) external _xpc_copy (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
