00000001e6f3b40c (__TEXT,__text) non-external _DiToMD5
00000001e6f1f3f8 (__TEXT,__text) external _IOThreadLocalStorageSet
000000021de6abc0 (__AUTH_CONST,__const) external _IOThread_Class
000000021de68f70 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
000000021de69120 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001e6f1fe30 (__TEXT,__text) external _IOUserServerMain
00000001e6f4d8f0 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001e6f4da7c (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001e6f4d91c (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001e6f4d948 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001e6f4d974 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001e6f4d9a0 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001e6f4d9cc (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001e6f4d9f8 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001e6f4da24 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001e6f4da50 (__TEXT,__text) non-external _IOUserServerMain.cold.9
000000021de694a0 (__AUTH_CONST,__const) external _IOUserServer_Class
000000021c4075c0 (__DATA_DIRTY,__common) external _IOVMPageSize
000000021de69650 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001e6f3b5f0 (__TEXT,__text) external _MD5Final
00000001e6f3b344 (__TEXT,__text) external _MD5Init
00000001e6f3b570 (__TEXT,__text) non-external _MD5ToDi
00000001e6f3b480 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
000000021de69800 (__AUTH_CONST,__const) external _OSAction_Class
000000021de691c0 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
000000021de6a900 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001e6f2a69c (__TEXT,__text) external _OSArrayAppendValue
00000001e6f2a21c (__TEXT,__text) external _OSArrayApply
00000001e6f2a1b4 (__TEXT,__text) external _OSArrayCreate
00000001e6f29694 (__TEXT,__text) external _OSArrayGetCount
00000001e6f2a744 (__TEXT,__text) external _OSArrayGetStringValue
00000001e6f2a7f4 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001e6f2a6d0 (__TEXT,__text) external _OSArrayGetValue
00000001e6f2a694 (__TEXT,__text) external _OSArrayReplaceValue
00000001e6f2a770 (__TEXT,__text) external _OSArraySetStringValue
00000001e6f2a8fc (__TEXT,__text) external _OSArraySetUInt64Value
00000001e6f2a4bc (__TEXT,__text) external _OSArraySetValue
000000021de699b0 (__AUTH_CONST,__const) external _OSArray_Class
000000021de69aa8 (__AUTH_CONST,__const) external _OSBoolean_Class
000000021de69ba0 (__AUTH_CONST,__const) external _OSBundle_Class
00000001e6f281f0 (__TEXT,__text) external _OSCollectionTypeID
00000001e6f4e88c (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001e6f28120 (__TEXT,__text) external _OSCollectionTypeName
00000001e6f4e834 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
000000021de69c98 (__AUTH_CONST,__const) external _OSCollection_Class
00000001e6f2d908 (__TEXT,__text) external _OSCollectionsInitialize
000000021de69d90 (__AUTH_CONST,__const) external _OSContainer_Class
00000001e6f28278 (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001e6f4e8e4 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001e6f2b3a8 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001e6f4ef6c (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001e6f2b27c (__TEXT,__text) external _OSCreateSerializationFromObject
00000001e6f294d0 (__TEXT,__text) external _OSDataAppendBytes
00000001e6f29420 (__TEXT,__text) external _OSDataCreate
00000001e6f4eaf4 (__TEXT,__text) non-external _OSDataCreate.cold.1
00000001e6f293b4 (__TEXT,__text) external _OSDataGetBytes
00000001e6f29368 (__TEXT,__text) external _OSDataGetBytesPtr
00000001e6f293a4 (__TEXT,__text) external _OSDataGetLength
000000021de69ef0 (__AUTH_CONST,__const) external _OSData_Class
00000001e6f296a0 (__TEXT,__text) external _OSDictionaryApply
00000001e6f29620 (__TEXT,__text) external _OSDictionaryCreate
00000001e6f29688 (__TEXT,__text) external _OSDictionaryGetCount
00000001e6f29e5c (__TEXT,__text) external _OSDictionaryGetStringValue
00000001e6f2a068 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001e6f29db8 (__TEXT,__text) external _OSDictionaryGetValue
00000001e6f29fe4 (__TEXT,__text) external _OSDictionarySetStringValue
00000001e6f2a134 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001e6f299ec (__TEXT,__text) external _OSDictionarySetValue
000000021de69fe8 (__AUTH_CONST,__const) external _OSDictionary_Class
000000021de6a0e0 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001e6f295ac (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001e6f29584 (__TEXT,__text) external _OSNumberGetUInt64Value
000000021de6a1d8 (__AUTH_CONST,__const) external _OSNumber_Class
00000001e6f2b9b0 (__TEXT,__text) external _OSObjectLog
00000001e6f28180 (__TEXT,__text) external _OSObjectRelease
00000001e6f2815c (__TEXT,__text) external _OSObjectRetain
000000021de6a2d0 (__AUTH_CONST,__const) external _OSObject_Class
000000021de6a480 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001e6f1c288 (__TEXT,__text) external _OSReportWithBacktrace
00000001e6f2b4e0 (__TEXT,__text) external _OSSerializationGetBytes
000000021de6a578 (__AUTH_CONST,__const) external _OSSerialization_Class
000000021de6a670 (__AUTH_CONST,__const) external _OSSet_Class
00000001e6f28d38 (__TEXT,__text) external _OSStringCreate
00000001e6f4e9c0 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001e6f4e9ec (__TEXT,__text) non-external _OSStringCreate.cold.2
00000001e6f4ea18 (__TEXT,__text) non-external _OSStringCreate.cold.3
00000001e6f28ce0 (__TEXT,__text) external _OSStringGetLength
00000001e6f28ca4 (__TEXT,__text) external _OSStringGetStringPtr
000000021de6a768 (__AUTH_CONST,__const) external _OSString_Class
00000001e6f1bd10 (__TEXT,__text) external _OSSynchronizeIO
0000000219f182c8 (__DATA,__bss) non-external _OSUniqueStrings
00000001e6f1c6e0 (__TEXT,__text) external _PE_i_can_has_debugger
00000001e6f3b974 (__TEXT,__text) external _SHA1Final
00000001e6f3b6c4 (__TEXT,__text) external _SHA1Init
00000001e6f3b8f8 (__TEXT,__text) non-external _SHA1ToDi
00000001e6f3b808 (__TEXT,__text) external _SHA1Update
00000001e6f3c4bc (__TEXT,__text) external _SHA256_Final
00000001e6f3c41c (__TEXT,__text) external _SHA256_Init
00000001e6f4fa50 (__TEXT,__text) non-external _SHA256_Init.cold.1
00000001e6f3c46c (__TEXT,__text) external _SHA256_Update
00000001e6f3c5a0 (__TEXT,__text) external _SHA384_Final
00000001e6f3c500 (__TEXT,__text) external _SHA384_Init
00000001e6f4fa78 (__TEXT,__text) non-external _SHA384_Init.cold.1
00000001e6f3c550 (__TEXT,__text) external _SHA384_Update
00000001e6f3c684 (__TEXT,__text) external _SHA512_Final
00000001e6f3c5e4 (__TEXT,__text) external _SHA512_Init
00000001e6f4faa0 (__TEXT,__text) non-external _SHA512_Init.cold.1
00000001e6f3c634 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001e6f1d300 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000001e6f3c6c8 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
000000021de6a860 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
0000000219f18298 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001e6f1d664 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001e6f4cd28 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001e6f4cd54 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001e6f1f430 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001e6f4d56c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001e6f4d598 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001e6f4d5c4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001e6f4d5f0 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001e6f4d61c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001e6f1e274 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001e6f4d128 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001e6f4d154 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001e6f4d180 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001e6f4d1ac (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001e6f4d1fc (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00000001e6f1d970 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001e6f4ce04 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001e6f2a6ac (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001e6f2d89c (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001e6f1d4c0 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001e6f4cca4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001e6f4ccd0 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001e6f4ccfc (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001e6f2a820 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001e6f2a8d0 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001e6f2a84c (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001e6f1d6c4 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001e6f2acfc (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001e6f4ee0c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e6f4ee38 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e6f4ee64 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e6f4ee90 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001e6f4eebc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001e6f4eee8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00000001e6f1b85c (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001e6f1b9a0 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001e6f1dcb8 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000001e6f4ce5c (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00000001e6f1de38 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001e6f1fba4 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001e6f1d42c (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001e6f1d378 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001e6f2b4fc (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001e6f4ef98 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001e6f1d864 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001e6f4cdac (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001e6f4cdd8 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00000001e6f28234 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001e6f4e8b8 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001e6f281a4 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001e6f4e860 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001e6f1a650 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001e6f29300 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001e6f2a97c (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001e6f4eba4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001e6f4ebd0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001e6f4ebfc (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001e6f4ec28 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001e6f4ec54 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001e6f292c8 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001e6f29560 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001e6f2aac0 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001e6f4ec80 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e6f4ecac (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e6f4ecd8 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e6f1f524 (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00000001e6f4d648 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00000001e6f4d674 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00000001e6f1fb64 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001e6f1ed28 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001e6f4b31c (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001e6f1b724 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001e6f1cb58 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00000001e6f4cc20 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00000001e6f27f7c (__TEXT,__text) non-external __ZL10uiomessagePv
00000001e6f4b0c0 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001e6f2caac (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001e6f506c0 (__TEXT,__const) non-external __ZL11yytranslate
00000001e6f4c954 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001e6f4a998 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001e6f4b1e0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001e6f4b4bc (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001e6f4b53c (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001e6f29074 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00000001e6f29024 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000001e6f4ea44 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000001e6f4bd74 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001e6f3ccc0 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001e6f41df8 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001e6f26bb0 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001e6f4e5a0 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001e6f4e5cc (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001e6f4e5f8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001e6f4b160 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001e6f41b78 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001e6f21118 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001e6f4de94 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001e6f4dec0 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001e6f4deec (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001e6f4df18 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001e6f3fa34 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001e6f41810 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001e6f4a238 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001e6f4b29c (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001e6f1f7e4 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e6f4d6a0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e6f4d6cc (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e6f4d6f8 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001e6f4d724 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001e6f206e8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001e6f4dc18 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001e6f4dc44 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001e6f4dc70 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001e6f4dc9c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001e6f27960 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001e6f4e6d4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001e6f4e700 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001e6f4e72c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001e6f4e758 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001e6f4e784 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001e6f4e7b0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001e6f4e7dc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
0000000219f182b0 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
