00000001e6fa2c58 (__DATA,__data) non-external _C
00000001803323e4 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180332428 (__TEXT,__text) non-external __GB2312_mbrtowc
00000001803325a0 (__TEXT,__text) non-external __GB2312_mbsinit
000000018033254c (__TEXT,__text) non-external __GB2312_wcrtomb
00000001803325bc (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180332600 (__TEXT,__text) non-external __GBK_mbrtowc
0000000180332724 (__TEXT,__text) non-external __GBK_mbsinit
00000001803326d0 (__TEXT,__text) non-external __GBK_wcrtomb
0000000180332b9c (__TEXT,__text) non-external (was a private external) __MSKanji_init
0000000180332be0 (__TEXT,__text) non-external __MSKanji_mbrtowc
0000000180332d28 (__TEXT,__text) non-external __MSKanji_mbsinit
0000000180332cc0 (__TEXT,__text) non-external __MSKanji_wcrtomb
00000001802e3614 (__TEXT,__text) external __NSGetArgc
00000001802e3608 (__TEXT,__text) external __NSGetArgv
00000001802de3dc (__TEXT,__text) external __NSGetEnviron
00000001802de4a0 (__TEXT,__text) external __NSGetMachExecuteHeader
00000001802e2928 (__TEXT,__text) external __NSGetProgname
00000001e6fa4c70 (__DATA,__common) external __PathLocale
00000001802fe4e4 (__TEXT,__text) external __Read_RuneMagi
0000000180344c64 (__TEXT,__text) non-external (was a private external) __UTF2_init
0000000180344cc8 (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180344ec0 (__TEXT,__text) non-external __UTF2_mbsinit
0000000180344edc (__TEXT,__text) non-external __UTF2_mbsnrtowcs
0000000180344e18 (__TEXT,__text) non-external __UTF2_wcrtomb
0000000180345080 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00000001802fea20 (__TEXT,__text) non-external (was a private external) __UTF8_init
00000001803004a4 (__TEXT,__text) non-external __UTF8_mbrtowc
0000000180333564 (__TEXT,__text) non-external __UTF8_mbsinit
0000000180300738 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
0000000180300f30 (__TEXT,__text) non-external __UTF8_wcrtomb
0000000180333580 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00000001802ec668 (__TEXT,__text) external ___Balloc_D2A
00000001802ec884 (__TEXT,__text) external ___Bfree_D2A
000000018031a6e4 (__TEXT,__text) external ____mb_cur_max
000000018031a710 (__TEXT,__text) external ____mb_cur_max_l
00000001802f1a00 (__TEXT,__text) external ____runetype
00000001802f1a24 (__TEXT,__text) external ____runetype_l
0000000180333478 (__TEXT,__text) external ____tolower
00000001803333d4 (__TEXT,__text) external ____tolower_l
0000000180333540 (__TEXT,__text) external ____toupper
000000018033349c (__TEXT,__text) external ____toupper_l
0000000180353a3c (__TEXT,__text) non-external (was a private external) ___abort
0000000180325b5c (__TEXT,__text) external ___add_ovflpage
00000001803258d8 (__TEXT,__text) external ___addel
00000001802f08c8 (__TEXT,__text) external ___any_on_D2A
0000000180352c04 (__TEXT,__text) external ___assert_rtn
00000001e8289ee0 (__DATA_DIRTY,__bss) non-external ___atexit
00000001802fb570 (__TEXT,__text) non-external (was a private external) ___atexit_init
00000001e8289ee8 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00000001803021fc (__TEXT,__text) external ___b2d_D2A
0000000180324070 (__TEXT,__text) external ___big_delete
0000000180323dbc (__TEXT,__text) external ___big_insert
0000000180324718 (__TEXT,__text) external ___big_keydata
00000001803243a8 (__TEXT,__text) external ___big_return
0000000180324898 (__TEXT,__text) external ___big_split
0000000180356210 (__TEXT,__const) external ___bigtens_D2A
000000018031ebf8 (__TEXT,__text) external ___bt_close
0000000180322914 (__TEXT,__text) external ___bt_cmp
00000001803229dc (__TEXT,__text) external ___bt_defcmp
0000000180322a20 (__TEXT,__text) external ___bt_defpfx
000000018031f070 (__TEXT,__text) external ___bt_delete
000000018031f6e0 (__TEXT,__text) external ___bt_dleaf
000000018032049c (__TEXT,__text) external ___bt_fd
0000000180321500 (__TEXT,__text) non-external ___bt_first
00000001803208a0 (__TEXT,__text) external ___bt_free
000000018031fd6c (__TEXT,__text) external ___bt_get
00000001803208c8 (__TEXT,__text) external ___bt_new
000000018031fe60 (__TEXT,__text) external ___bt_open
000000018031fac0 (__TEXT,__text) non-external ___bt_pdelete
000000018031ed94 (__TEXT,__text) external ___bt_pgin
000000018031ef18 (__TEXT,__text) external ___bt_pgout
0000000180320944 (__TEXT,__text) external ___bt_put
000000018031fcdc (__TEXT,__text) non-external ___bt_relink
0000000180322780 (__TEXT,__text) external ___bt_ret
0000000180320e54 (__TEXT,__text) external ___bt_search
00000001803210ac (__TEXT,__text) external ___bt_seq
00000001803214a4 (__TEXT,__text) external ___bt_setcur
0000000180321718 (__TEXT,__text) external ___bt_split
000000018031f370 (__TEXT,__text) non-external ___bt_stkacq
000000018031ecb8 (__TEXT,__text) external ___bt_sync
0000000180324e08 (__TEXT,__text) external ___buf_free
0000000180324dd8 (__TEXT,__text) non-external (was a private external) ___buf_init
00000001e82879c8 (__DATA_DIRTY,__data) non-external ___c_locale
000000018034e190 (__TEXT,__text) non-external ___calc_left_pad
00000001803238a8 (__TEXT,__text) external ___call_hash
00000001e6fa3108 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180351e2c (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180351e48 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
0000000180309184 (__TEXT,__text) non-external (was a private external) ___chk_init
00000001802e29b0 (__TEXT,__text) non-external (was a private external) ___chk_overlap
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00000001e8289f68 (__DATA_DIRTY,__common) external ___cleanup
00000001802ed9c0 (__TEXT,__text) external ___cmp_D2A
0000000180331540 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00000001803316fc (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180331868 (__TEXT,__text) external ___collate_equiv_match
00000001802f6b64 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
0000000180330cd8 (__TEXT,__text) non-external (was a private external) ___collate_err
00000001e6fa2d68 (__DATA,__data) external ___collate_load_error
00000001802fd688 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00000001e6fa46f0 (__DATA,__bss) non-external ___collate_load_tables.cache
000000018033104c (__TEXT,__text) external ___collate_lookup
0000000180330d94 (__TEXT,__text) external ___collate_lookup_l
000000018033121c (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
0000000180331128 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
0000000180331b78 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00000001e6fa46f8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00000001e6fa4700 (__DATA,__bss) non-external ___collate_range_cmp.s2
0000000180330a9c (__TEXT,__text) non-external (was a private external) ___collate_substitute
0000000180330c84 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00000001803312fc (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00000001802fb560 (__TEXT,__text) non-external (was a private external) ___confstr_init
00000001802efaa0 (__TEXT,__text) external ___copybits_D2A
0000000180313804 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
0000000180313264 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00000001e6fa3dd0 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00000001e6fa4c28 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
0000000180347ca0 (__TEXT,__text) non-external ___cvt
00000001e6fa4be8 (__DATA,__bss) non-external ___cvt.s
00000001802e31e4 (__TEXT,__text) external ___cxa_atexit
00000001803040c4 (__TEXT,__text) external ___cxa_finalize
000000018030410c (__TEXT,__text) external ___cxa_finalize_ranges
0000000180345334 (__TEXT,__text) external ___cxa_thread_atexit
00000001802ec54c (__TEXT,__text) external ___d2b_D2A
00000001e8289f20 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
0000000180322b50 (__TEXT,__text) non-external ___dberr
0000000180322b30 (__TEXT,__text) external ___dbpanic
00000001e875d320 (__AUTH,__data) external ___default_hash
000000018034c494 (__TEXT,__text) external ___default_utx
00000001e6fa30b8 (__DATA,__data) non-external ___default_utx.once
000000018034c4cc (__TEXT,__text) non-external ___default_utx_init
0000000180325018 (__TEXT,__text) external ___delpair
00000001802fd5e0 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00000001802ed864 (__TEXT,__text) external ___diff_D2A
00000001e8288650 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00000001802eb708 (__TEXT,__text) external ___dtoa
000000018034c658 (__TEXT,__text) non-external (was a private external) ___endutxent
00000001e8289f78 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
0000000180345398 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00000001e6fa4b80 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
0000000180309764 (__TEXT,__text) non-external (was a private external) ___errstr
00000001802f1180 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
0000000180323744 (__TEXT,__text) external ___expand_table
00000001e6fa4988 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00000001802ee908 (__TEXT,__text) external ___fflush
00000001803384d4 (__TEXT,__text) external ___fgetwc
0000000180339d58 (__TEXT,__text) non-external (was a private external) ___find_arguments
00000001803241e4 (__TEXT,__text) external ___find_bigpair
000000018032430c (__TEXT,__text) external ___find_last_page
000000018033ab84 (__TEXT,__text) non-external (was a private external) ___find_warguments
00000001802de3e8 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00000001802ff180 (__TEXT,__text) external ___fix_locale_grouping_str
00000001803320e4 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
0000000180338bf8 (__TEXT,__text) non-external (was a private external) ___fputwc
00000001802e8a74 (__TEXT,__text) external ___fread
0000000180326504 (__TEXT,__text) external ___free_ovflpage
00000001802ec8fc (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
00000001e6fa310c (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00000001802ee0cc (__TEXT,__text) non-external ___fts_open
0000000180328778 (__TEXT,__text) external ___gdtoa
00000001e6fa4c38 (__DATA,__common) external ___gdtoa_locks
0000000180324a38 (__TEXT,__text) external ___get_buf
0000000180332750 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00000001802e1c8c (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00000001802e1cac (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00000001802fbda8 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
000000018030638c (__TEXT,__text) non-external (was a private external) ___get_locale_env
0000000180325f74 (__TEXT,__text) external ___get_page
00000001803049e8 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00000001e8289eb8 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
0000000180332770 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
000000018034c768 (__TEXT,__text) non-external (was a private external) ___getutxent
000000018034cba0 (__TEXT,__text) non-external ___getutxid
00000001803081f4 (__TEXT,__text) non-external (was a private external) ___gl_compare
0000000180307cdc (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
0000000180307fe0 (__TEXT,__text) non-external (was a private external) ___gl_globextend
000000018030751c (__TEXT,__text) non-external (was a private external) ___gl_globtilde
0000000180307dd4 (__TEXT,__text) non-external (was a private external) ___gl_match
0000000180306fd0 (__TEXT,__text) non-external ___glob
00000001e82873f8 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00000001802fb664 (__TEXT,__text) non-external (was a private external) ___guard_setup
0000000180322b58 (__TEXT,__text) external ___hash_open
000000018030eca4 (__TEXT,__text) external ___hdtoa
00000001802e9ffc (__TEXT,__text) non-external (was a private external) ___heapsort_r
00000001802ef8b4 (__TEXT,__text) external ___hi0bits_D2A
000000018032875c (__TEXT,__text) external ___hldtoa
00000001802ed4e8 (__TEXT,__text) external ___i2b_D2A
0000000180326444 (__TEXT,__text) external ___ibitmap
00000001803372d0 (__TEXT,__text) non-external ___inaddr_to_index
00000001803534f0 (__TEXT,__text) non-external ___inaddr_to_index.cold.1
0000000180347010 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
0000000180333018 (__TEXT,__text) external ___isctype
0000000180332fd8 (__TEXT,__text) external ___istype
00000001803330ec (__TEXT,__text) external ___istype_l
00000001e8287fd0 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
0000000180332740 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
0000000180348124 (__TEXT,__text) external ___ldtoa
000000018031d788 (__TEXT,__text) external ___libc_init
00000001802ec774 (__TEXT,__text) external ___lo0bits_D2A
00000001802f11c8 (__TEXT,__text) non-external ___loadevp
00000001e82879c0 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
0000000180324fe8 (__TEXT,__text) external ___log2
00000001e6fa4c58 (__DATA,__common) non-external (was a private external) ___logname
00000001e6fa2ca8 (__DATA,__data) non-external (was a private external) ___logname_mutex
0000000180356f20 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00000001802ed764 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
00000001802f19a0 (__TEXT,__text) external ___maskrune
0000000180333084 (__TEXT,__text) external ___maskrune_l
000000018032990c (__TEXT,__text) external ___match_D2A
00000001e6fa2dd4 (__DATA,__data) external ___mb_cur_max
00000001e6fa2dd8 (__DATA,__data) external ___mb_sb_limit
000000018033f500 (__TEXT,__text) non-external ___mbsconv
0000000180332934 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180351e64 (__TEXT,__text) external ___memccpy_chk
00000001802e2bc8 (__TEXT,__text) external ___memcpy_chk
00000001802e3620 (__TEXT,__text) external ___memmove_chk
00000001802ead40 (__TEXT,__text) external ___memset_chk
00000001802ff708 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00000001e6fa4708 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00000001802fea84 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00000001e6fa4718 (__DATA,__bss) non-external ___monetary_load_locale.cache
00000001802ed630 (__TEXT,__text) external ___mult_D2A
00000001802ed430 (__TEXT,__text) external ___multadd_D2A
0000000180338264 (__TEXT,__text) non-external ___nls_free_resources
0000000180356971 (__TEXT,__const) non-external ___nogrouping
00000001802ef85c (__TEXT,__text) external ___nrv_alloc_D2A
000000018031a490 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00000001802ff244 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00000001e6fa4728 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00000001802fdcfc (__TEXT,__text) non-external (was a private external) ___open_path_locale
000000018032cf4c (__TEXT,__text) external ___opendir2
00000001802e3648 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00000001803207d4 (__TEXT,__text) external ___ovfl_delete
00000001803205ec (__TEXT,__text) external ___ovfl_get
00000001803206d4 (__TEXT,__text) external ___ovfl_put
00000001802ef734 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00000001e8289ec8 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00000001e8289ec0 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00000001e8288450 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00000001802fef34 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00000001e6fa4c60 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00000001e6fa2ce8 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00000001802ed518 (__TEXT,__text) external ___pow5mult_D2A
0000000180356200 (__TEXT,__const) non-external ___pow5mult_D2A.p05
000000018034b684 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180353ed0 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
000000018034a4bc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180353cf4 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
000000018034a5fc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
0000000180353d20 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
000000018034b050 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180353d78 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
000000018030c074 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180353da4 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
000000018034bd48 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
0000000180353f54 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
000000018034bd30 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
000000018034b2cc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
0000000180353e4c (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
000000018034b398 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180353e78 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
000000018030c034 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180353ea4 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
000000018034b834 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
0000000180353efc (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
000000018034bb30 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
0000000180353f28 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
000000018030b830 (__TEXT,__text) non-external (was a private external) ___printf_comp
000000018030c10c (__TEXT,__text) non-external (was a private external) ___printf_exec
000000018030cf7c (__TEXT,__text) non-external (was a private external) ___printf_flush
000000018033c024 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
000000018030c7c4 (__TEXT,__text) non-external (was a private external) ___printf_out
000000018034bc8c (__TEXT,__text) non-external (was a private external) ___printf_pad
000000018030c4d4 (__TEXT,__text) non-external (was a private external) ___printf_puts
000000018034b6d0 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
000000018034a4e4 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
000000018034a64c (__TEXT,__text) non-external (was a private external) ___printf_render_float
0000000180353d4c (__TEXT,__text) non-external ___printf_render_float.cold.1
000000018034b080 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
000000018030c878 (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180353dd0 (__TEXT,__text) non-external ___printf_render_int.cold.1
0000000180353e20 (__TEXT,__text) non-external ___printf_render_int.cold.2
000000018034bd70 (__TEXT,__text) non-external (was a private external) ___printf_render_n
000000018034bd38 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
000000018034b304 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
000000018034b3c0 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
000000018030c540 (__TEXT,__text) non-external (was a private external) ___printf_render_str
000000018034b85c (__TEXT,__text) non-external (was a private external) ___printf_render_time
000000018034bb58 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
0000000180304544 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00000001e8288670 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
0000000180326154 (__TEXT,__text) external ___put_page
0000000180356a58 (__TEXT,__const) non-external (was a private external) ___puts_null__
000000018034ce6c (__TEXT,__text) non-external (was a private external) ___pututxline
00000001802ef92c (__TEXT,__text) external ___quorem_D2A
000000018030215c (__TEXT,__text) external ___ratio_D2A
0000000180326ed4 (__TEXT,__text) external ___rec_close
00000001803271c4 (__TEXT,__text) external ___rec_delete
0000000180327310 (__TEXT,__text) external ___rec_dleaf
0000000180327cf4 (__TEXT,__text) external ___rec_fd
0000000180327788 (__TEXT,__text) external ___rec_fmap
0000000180327548 (__TEXT,__text) external ___rec_fpipe
0000000180327440 (__TEXT,__text) external ___rec_get
0000000180328018 (__TEXT,__text) external ___rec_iput
0000000180327978 (__TEXT,__text) external ___rec_open
0000000180327d4c (__TEXT,__text) external ___rec_put
0000000180328620 (__TEXT,__text) external ___rec_ret
0000000180328258 (__TEXT,__text) external ___rec_search
000000018032842c (__TEXT,__text) external ___rec_seq
0000000180326f8c (__TEXT,__text) external ___rec_sync
000000018032789c (__TEXT,__text) external ___rec_vmap
0000000180327660 (__TEXT,__text) external ___rec_vpipe
0000000180324ee0 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00000001802f092c (__TEXT,__text) external ___rshift_D2A
0000000180356064 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00000001802ec828 (__TEXT,__text) external ___rv_alloc_D2A
00000001802ed344 (__TEXT,__text) external ___s2b_D2A
00000001e8287fd8 (__DATA_DIRTY,__data) external ___sF
00000001e82881a0 (__DATA_DIRTY,__data) non-external ___sFX
00000001802fb1a8 (__TEXT,__text) external ___sclose
00000001e82886c0 (__DATA_DIRTY,__bss) non-external ___scounted
00000001e8289f08 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00000001802e2454 (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
000000018033277c (__TEXT,__text) external ___setonlyClocaleconv
00000001802fdf74 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00000001e6fa4908 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00000001e6fa4910 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
000000018034e24c (__TEXT,__text) non-external ___setup_vars
000000018034c534 (__TEXT,__text) non-external (was a private external) ___setutxent
00000001802ed020 (__TEXT,__text) external ___sflags
00000001802eca44 (__TEXT,__text) external ___sflush
00000001802ed0e8 (__TEXT,__text) external ___sfp
00000001802ed2cc (__TEXT,__text) non-external (was a private external) ___sfprelease
00000001802e1ccc (__TEXT,__text) external ___sfvwrite
000000018031e054 (__TEXT,__text) non-external (was a private external) ___sgetrune
00000001e6fa2ef8 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00000001802e8528 (__TEXT,__text) external ___sinit
0000000180310174 (__TEXT,__text) external ___slbexpand
00000001802f0e8c (__TEXT,__text) external ___smakebuf
00000001802e2058 (__TEXT,__text) external ___snprintf_chk
0000000180351ec8 (__TEXT,__text) external ___snprintf_object_size_chk
0000000180325194 (__TEXT,__text) external ___split_page
000000018033fa3c (__TEXT,__text) non-external ___sprint
00000001802e8e74 (__TEXT,__text) external ___sprintf_chk
0000000180351ff0 (__TEXT,__text) external ___sprintf_object_size_chk
000000018031e154 (__TEXT,__text) non-external (was a private external) ___sputrune
000000018030b3c8 (__TEXT,__text) external ___sread
00000001802e8390 (__TEXT,__text) external ___srefill
00000001802e83dc (__TEXT,__text) non-external (was a private external) ___srefill0
00000001802e8988 (__TEXT,__text) non-external (was a private external) ___srefill1
