                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
000000021e44ff7c (__TEXT,__text) external _apr__SHA256_Data
000000021e447ef8 (__TEXT,__text) external _apr_pool_create_core_ex
000000021e4488cc (__TEXT,__text) external _apr_pool_create_core_ex_debug
000000021e44778c (__TEXT,__text) external _apr_pool_create_ex
000000021e4488c8 (__TEXT,__text) external _apr_pool_create_ex_debug
000000021e447efc (__TEXT,__text) external _apr_pool_create_unmanaged_ex
000000021e4488d0 (__TEXT,__text) external _apr_pool_create_unmanaged_ex_debug
000000021e4478e8 (__TEXT,__text) external _apr_pool_destroy
000000021e4488c4 (__TEXT,__text) external _apr_pool_destroy_debug
000000021e447680 (__TEXT,__text) external _apr_pool_initialize
000000021e44845c (__TEXT,__text) external _apr_pool_is_ancestor
000000021e44886c (__TEXT,__text) external _apr_pool_note_subprocess
000000021e44844c (__TEXT,__text) external _apr_pool_parent_get
000000021e448674 (__TEXT,__text) external _apr_pool_pre_cleanup_register
000000021e447890 (__TEXT,__text) external _apr_pool_tag
000000021e447898 (__TEXT,__text) external _apr_pool_terminate
000000021e44863c (__TEXT,__text) external _apr_pool_userdata_get
000000021e448484 (__TEXT,__text) external _apr_pool_userdata_set
000000021e4485ac (__TEXT,__text) external _apr_pool_userdata_setn
000000021e450e04 (__TEXT,__text) external _apr_proc_create
000000021e4516d4 (__TEXT,__text) external _apr_proc_detach
000000021e450cdc (__TEXT,__text) external _apr_proc_fork
000000021e4517bc (__TEXT,__text) external _apr_proc_kill
000000021e446254 (__TEXT,__text) external _apr_proc_mutex_child_init
000000021e44611c (__TEXT,__text) external _apr_proc_mutex_cleanup
000000021e4461ac (__TEXT,__text) external _apr_proc_mutex_create
000000021e446194 (__TEXT,__text) external _apr_proc_mutex_defname
000000021e446100 (__TEXT,__text) external _apr_proc_mutex_destroy
000000021e446270 (__TEXT,__text) external _apr_proc_mutex_lock
000000021e446294 (__TEXT,__text) external _apr_proc_mutex_lockfile
000000021e4461a0 (__TEXT,__text) external _apr_proc_mutex_name
000000021e4462c4 (__TEXT,__text) external _apr_proc_mutex_pool_get
000000021e44627c (__TEXT,__text) external _apr_proc_mutex_trylock
000000021e446128 (__TEXT,__text) external _apr_proc_mutex_unix_setup_lock
000000021e446288 (__TEXT,__text) external _apr_proc_mutex_unlock
000000021e44986c (__TEXT,__text) external _apr_proc_other_child_alert
000000021e4498c8 (__TEXT,__text) external _apr_proc_other_child_refresh
000000021e449960 (__TEXT,__text) external _apr_proc_other_child_refresh_all
000000021e449684 (__TEXT,__text) external _apr_proc_other_child_register
000000021e4497b4 (__TEXT,__text) external _apr_proc_other_child_unregister
000000021e4513ac (__TEXT,__text) external _apr_proc_spawn
000000021e451588 (__TEXT,__text) external _apr_proc_wait
000000021e45157c (__TEXT,__text) external _apr_proc_wait_all_procs
000000021e450d5c (__TEXT,__text) external _apr_procattr_addrspace_set
000000021e450b5c (__TEXT,__text) external _apr_procattr_child_err_set
000000021e450d44 (__TEXT,__text) external _apr_procattr_child_errfn_set
000000021e4508fc (__TEXT,__text) external _apr_procattr_child_in_set
000000021e450a2c (__TEXT,__text) external _apr_procattr_child_out_set
000000021e450cc4 (__TEXT,__text) external _apr_procattr_cmdtype_set
000000021e450768 (__TEXT,__text) external _apr_procattr_create
000000021e450cd0 (__TEXT,__text) external _apr_procattr_detach_set
000000021e450c8c (__TEXT,__text) external _apr_procattr_dir_set
000000021e450d50 (__TEXT,__text) external _apr_procattr_error_check_set
000000021e450dcc (__TEXT,__text) external _apr_procattr_group_set
000000021e4507dc (__TEXT,__text) external _apr_procattr_io_set
000000021e451670 (__TEXT,__text) external _apr_procattr_limit_set
000000021e450d64 (__TEXT,__text) external _apr_procattr_user_set
000000021e448410 (__TEXT,__text) external _apr_psprintf
000000021e43e790 (__TEXT,__text) external _apr_pstrcat
000000021e43e8c4 (__TEXT,__text) external _apr_pstrcatv
000000021e43e608 (__TEXT,__text) external _apr_pstrdup
000000021e43e738 (__TEXT,__text) external _apr_pstrmemdup
000000021e43e6c0 (__TEXT,__text) external _apr_pstrndup
000000021e43b340 (__TEXT,__text) external _apr_punescape_entity
000000021e43b9b0 (__TEXT,__text) external _apr_punescape_hex
000000021e43a66c (__TEXT,__text) external _apr_punescape_url
000000021e447fe8 (__TEXT,__text) external _apr_pvsprintf
000000021e44f514 (__TEXT,__text) external _apr_random_add_entropy
000000021e44f408 (__TEXT,__text) external _apr_random_after_fork
000000021e44f968 (__TEXT,__text) external _apr_random_barrier
000000021e44f25c (__TEXT,__text) external _apr_random_init
000000021e44f93c (__TEXT,__text) external _apr_random_insecure_bytes
000000021e44f994 (__TEXT,__text) external _apr_random_insecure_ready
000000021e44f80c (__TEXT,__text) external _apr_random_secure_bytes
000000021e44f980 (__TEXT,__text) external _apr_random_secure_ready
000000021e44f4a4 (__TEXT,__text) external _apr_random_standard_new
000000021e452238 (__TEXT,__text) external _apr_rfc822_date
000000021e451900 (__TEXT,__text) external _apr_setup_signal_thread
000000021e4504a8 (__TEXT,__text) external _apr_shm_attach
000000021e45062c (__TEXT,__text) external _apr_shm_attach_ex
000000021e450678 (__TEXT,__text) external _apr_shm_baseaddr_get
000000021e4500a0 (__TEXT,__text) external _apr_shm_create
000000021e4503c0 (__TEXT,__text) external _apr_shm_create_ex
000000021e45048c (__TEXT,__text) external _apr_shm_destroy
000000021e450630 (__TEXT,__text) external _apr_shm_detach
000000021e450688 (__TEXT,__text) external _apr_shm_pool_get
000000021e4503c4 (__TEXT,__text) external _apr_shm_remove
000000021e450680 (__TEXT,__text) external _apr_shm_size_get
000000021e4517f0 (__TEXT,__text) external _apr_signal
000000021e451944 (__TEXT,__text) external _apr_signal_block
000000021e451888 (__TEXT,__text) external _apr_signal_description_get
000000021e451884 (__TEXT,__text) external _apr_signal_init
000000021e4518a8 (__TEXT,__text) external _apr_signal_thread
000000021e451994 (__TEXT,__text) external _apr_signal_unblock
000000021e43fbe0 (__TEXT,__text) external _apr_skiplist_add_index
000000021e43f8a8 (__TEXT,__text) external _apr_skiplist_alloc
000000021e440554 (__TEXT,__text) external _apr_skiplist_destroy
000000021e43fd10 (__TEXT,__text) external _apr_skiplist_find
000000021e43fd5c (__TEXT,__text) external _apr_skiplist_find_compare
000000021e43f9f8 (__TEXT,__text) external _apr_skiplist_free
000000021e43fd20 (__TEXT,__text) external _apr_skiplist_getlist
000000021e43fa6c (__TEXT,__text) external _apr_skiplist_init
000000021e43fd18 (__TEXT,__text) external _apr_skiplist_insert
000000021e43feb4 (__TEXT,__text) external _apr_skiplist_insert_compare
000000021e44061c (__TEXT,__text) external _apr_skiplist_merge
000000021e43fd38 (__TEXT,__text) external _apr_skiplist_next
000000021e440534 (__TEXT,__text) external _apr_skiplist_peek
000000021e4404f0 (__TEXT,__text) external _apr_skiplist_pop
000000021e43fe90 (__TEXT,__text) external _apr_skiplist_previous
000000021e44045c (__TEXT,__text) external _apr_skiplist_remove
000000021e440464 (__TEXT,__text) external _apr_skiplist_remove_all
000000021e440290 (__TEXT,__text) external _apr_skiplist_remove_compare
000000021e43fb98 (__TEXT,__text) external _apr_skiplist_set_compare
000000021e4521cc (__TEXT,__text) external _apr_sleep
000000021e43e288 (__TEXT,__text) external _apr_snprintf
000000021e44b848 (__TEXT,__text) external _apr_sockaddr_equal
000000021e44b5b4 (__TEXT,__text) external _apr_sockaddr_info_get
000000021e44b1ec (__TEXT,__text) external _apr_sockaddr_ip_get
000000021e44b140 (__TEXT,__text) external _apr_sockaddr_ip_getbuf
000000021e44b92c (__TEXT,__text) external _apr_sockaddr_is_wildcard
000000021e44b238 (__TEXT,__text) external _apr_sockaddr_vars_set
000000021e44c4d4 (__TEXT,__text) external _apr_socket_accept
000000021e44b29c (__TEXT,__text) external _apr_socket_addr_get
000000021e44d32c (__TEXT,__text) external _apr_socket_atmark
000000021e44c02c (__TEXT,__text) external _apr_socket_atreadeof
000000021e44c438 (__TEXT,__text) external _apr_socket_bind
000000021e44c41c (__TEXT,__text) external _apr_socket_close
000000021e44c77c (__TEXT,__text) external _apr_socket_connect
000000021e44c16c (__TEXT,__text) external _apr_socket_create
000000021e44c920 (__TEXT,__text) external _apr_socket_data_get
000000021e44c980 (__TEXT,__text) external _apr_socket_data_set
000000021e44cbd4 (__TEXT,__text) external _apr_socket_inherit_set
000000021e44cc88 (__TEXT,__text) external _apr_socket_inherit_unset
000000021e44c4a0 (__TEXT,__text) external _apr_socket_listen
000000021e44d314 (__TEXT,__text) external _apr_socket_opt_get
000000021e44ce80 (__TEXT,__text) external _apr_socket_opt_set
000000021e44cbcc (__TEXT,__text) external _apr_socket_pool_get
000000021e44c15c (__TEXT,__text) external _apr_socket_protocol_get
000000021e44a9fc (__TEXT,__text) external _apr_socket_recv
000000021e44ac60 (__TEXT,__text) external _apr_socket_recvfrom
000000021e44a8cc (__TEXT,__text) external _apr_socket_send
000000021e44af34 (__TEXT,__text) external _apr_socket_sendfile
000000021e44ab38 (__TEXT,__text) external _apr_socket_sendto
000000021e44add4 (__TEXT,__text) external _apr_socket_sendv
000000021e44c3e8 (__TEXT,__text) external _apr_socket_shutdown
000000021e44d304 (__TEXT,__text) external _apr_socket_timeout_get
000000021e44cd30 (__TEXT,__text) external _apr_socket_timeout_set
000000021e44c910 (__TEXT,__text) external _apr_socket_type_get
000000021e443ae8 (__TEXT,__text) external _apr_stat
000000021e4489c0 (__TEXT,__text) external _apr_strerror
000000021e43ebb0 (__TEXT,__text) external _apr_strfsize
000000021e452620 (__TEXT,__text) external _apr_strftime
000000021e43ef20 (__TEXT,__text) external _apr_strnatcasecmp
000000021e43ecc4 (__TEXT,__text) external _apr_strnatcmp
000000021e43e958 (__TEXT,__text) external _apr_strtoff
000000021e43e9b0 (__TEXT,__text) external _apr_strtoi64
000000021e43ef28 (__TEXT,__text) external _apr_strtok
000000021e440e18 (__TEXT,__text) external _apr_table_add
000000021e44193c (__TEXT,__text) external _apr_table_addn
000000021e440ef0 (__TEXT,__text) external _apr_table_clear
000000021e440da8 (__TEXT,__text) external _apr_table_clone
000000021e441c10 (__TEXT,__text) external _apr_table_compress
