                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007fff2d6b4220 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007fff2d6b44f3 (__TEXT,__text) external _KClientGetLocalAddress
00007fff2d6b424c (__TEXT,__text) external _KClientGetLocalRealmDeprecated
00007fff2d6b431d (__TEXT,__text) external _KClientGetNthCredentialDeprecated
00007fff2d6b4283 (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
00007fff2d6b428e (__TEXT,__text) external _KClientGetNthServerDeprecated
00007fff2d6b42af (__TEXT,__text) external _KClientGetNthServerMapDeprecated
00007fff2d6b42ba (__TEXT,__text) external _KClientGetNthServerPortDeprecated
00007fff2d6b42db (__TEXT,__text) external _KClientGetNthSessionDeprecated
00007fff2d6b4312 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
00007fff2d6b42d0 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
00007fff2d6b45c4 (__TEXT,__text) external _KClientGetProtectedServiceReply
00007fff2d6b4262 (__TEXT,__text) external _KClientGetRealmDeprecated
00007fff2d6b4509 (__TEXT,__text) external _KClientGetRemoteAddress
00007fff2d6b44dd (__TEXT,__text) external _KClientGetServerPrincipal
00007fff2d6b456c (__TEXT,__text) external _KClientGetServiceKey
00007fff2d6b451f (__TEXT,__text) external _KClientGetSessionKey
00007fff2d6b43f6 (__TEXT,__text) external _KClientGetSessionKeyCompat
00007fff2d6b446f (__TEXT,__text) external _KClientGetSessionUserNameCompat
00007fff2d6b4582 (__TEXT,__text) external _KClientGetTicketForService
00007fff2d6b43b4 (__TEXT,__text) external _KClientGetTicketForServiceCompat
00007fff2d6b43bf (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
00007fff2d6b4328 (__TEXT,__text) external _KClientGetUserNameDeprecated
00007fff2d6b449b (__TEXT,__text) external _KClientGetVersion
00007fff2d6b4556 (__TEXT,__text) external _KClientKeyFileLogin
00007fff2d6b4540 (__TEXT,__text) external _KClientLogin
00007fff2d6b43ca (__TEXT,__text) external _KClientLoginCompat
00007fff2d6b4561 (__TEXT,__text) external _KClientLogout
00007fff2d6b43e0 (__TEXT,__text) external _KClientLogoutCompat
00007fff2d6b447a (__TEXT,__text) external _KClientMakeSendAuthCompat
00007fff2d6b44a6 (__TEXT,__text) external _KClientNewClientSession
00007fff2d6b44b1 (__TEXT,__text) external _KClientNewServerSession
00007fff2d6b439e (__TEXT,__text) external _KClientNewSessionCompat
00007fff2d6b454b (__TEXT,__text) external _KClientPasswordLogin
00007fff2d6b43d5 (__TEXT,__text) external _KClientPasswordLoginCompat
00007fff2d6b4611 (__TEXT,__text) external _KClientPrincipalToV4String
00007fff2d6b461c (__TEXT,__text) external _KClientPrincipalToV4Triplet
00007fff2d6b45e5 (__TEXT,__text) external _KClientProtectIntegrity
00007fff2d6b4417 (__TEXT,__text) external _KClientProtectIntegrityCompat
00007fff2d6b44d2 (__TEXT,__text) external _KClientSetClientPrincipal
00007fff2d6b4535 (__TEXT,__text) external _KClientSetKeyFile
00007fff2d6b44fe (__TEXT,__text) external _KClientSetLocalAddress
00007fff2d6b4257 (__TEXT,__text) external _KClientSetLocalRealmDeprecated
00007fff2d6b42c5 (__TEXT,__text) external _KClientSetNthServerPortDeprecated
00007fff2d6b4514 (__TEXT,__text) external _KClientSetRemoteAddress
00007fff2d6b44e8 (__TEXT,__text) external _KClientSetServerPrincipal
00007fff2d6b43eb (__TEXT,__text) external _KClientStatusCompat
00007fff2d6b4606 (__TEXT,__text) external _KClientV4StringToPrincipal
00007fff2d6b45ae (__TEXT,__text) external _KClientVerifyAuthenticator
00007fff2d6b4598 (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
00007fff2d6b45f0 (__TEXT,__text) external _KClientVerifyIntegrity
00007fff2d6b4422 (__TEXT,__text) external _KClientVerifyIntegrityCompat
00007fff2d6b45a3 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
00007fff2d6b4485 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
00007fff2d6b4490 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
00007fff2d6b4393 (__TEXT,__text) external _KClientVersionCompat
00007fff2d6aee4f (__TEXT,__text) external _KLAcquireInitialTickets
00007fff2d6aefa4 (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
00007fff2d6af6b8 (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
00007fff2d6aef1a (__TEXT,__text) external _KLAcquireNewInitialTickets
00007fff2d6af6de (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
00007fff2d6af058 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
00007fff2d6aeec5 (__TEXT,__text) external _KLAcquireNewTickets
00007fff2d6af013 (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
00007fff2d6aee0d (__TEXT,__text) external _KLAcquireTickets
00007fff2d6aef5f (__TEXT,__text) external _KLAcquireTicketsWithPassword
00007fff2d6af1bb (__TEXT,__text) external _KLCacheHasValidTickets
00007fff2d6afe18 (__TEXT,__text) external _KLCancelAllDialogs
00007fff2d6af6ad (__TEXT,__text) external _KLChangePassword
00007fff2d6afe20 (__TEXT,__text) external _KLChangePasswordWithPasswords
00007fff2d6b0236 (__TEXT,__text) external _KLComparePrincipal
00007fff2d6aff15 (__TEXT,__text) external _KLCountKerberosRealms
00007fff2d6b02cc (__TEXT,__text) external _KLCreateLoginOptions
00007fff2d6b0005 (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
00007fff2d6b0034 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
00007fff2d6aff80 (__TEXT,__text) external _KLCreatePrincipalFromString
00007fff2d6aff43 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
00007fff2d6af66f (__TEXT,__text) external _KLDestroyTickets
00007fff2d6b0484 (__TEXT,__text) external _KLDisposeLoginOptions
00007fff2d6b0290 (__TEXT,__text) external _KLDisposePrincipal
00007fff2d6b04d1 (__TEXT,__text) external _KLDisposeString
00007fff2d6afe51 (__TEXT,__text) external _KLFindKerberosRealmByName
00007fff2d6af1b0 (__TEXT,__text) external _KLGetApplicationOptions
00007fff2d6afe3b (__TEXT,__text) external _KLGetDefaultLoginOption
00007fff2d6b01ae (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
00007fff2d6afd91 (__TEXT,__text) external _KLGetErrorString
00007fff2d6afe33 (__TEXT,__text) external _KLGetIdleCallback
00007fff2d6aff20 (__TEXT,__text) external _KLGetKerberosDefaultRealm
00007fff2d6afeb4 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
00007fff2d6afee8 (__TEXT,__text) external _KLGetKerberosRealm
00007fff2d6b0126 (__TEXT,__text) external _KLGetStringFromPrincipal
00007fff2d6b0063 (__TEXT,__text) external _KLGetTripletFromPrincipal
00007fff2d6afd89 (__TEXT,__text) external _KLHandleError
00007fff2d6aff05 (__TEXT,__text) external _KLInsertKerberosRealm
00007fff2d6af98b (__TEXT,__text) external _KLLastChangedTime
00007fff2d6b0407 (__TEXT,__text) external _KLLoginOptionsSetAddressless
00007fff2d6b036b (__TEXT,__text) external _KLLoginOptionsSetForwardable
00007fff2d6b039f (__TEXT,__text) external _KLLoginOptionsSetProxiable
00007fff2d6b03d3 (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
00007fff2d6b0441 (__TEXT,__text) external _KLLoginOptionsSetServiceName
00007fff2d6b0337 (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
00007fff2d6b0424 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
00007fff2d6aff0d (__TEXT,__text) external _KLRemoveAllKerberosRealms
00007fff2d6afefd (__TEXT,__text) external _KLRemoveKerberosRealm
00007fff2d6af6e9 (__TEXT,__text) external _KLRenewInitialTickets
00007fff2d6af1a8 (__TEXT,__text) external _KLSetApplicationOptions
00007fff2d6afe46 (__TEXT,__text) external _KLSetDefaultLoginOption
00007fff2d6afe2b (__TEXT,__text) external _KLSetIdleCallback
00007fff2d6aff33 (__TEXT,__text) external _KLSetKerberosDefaultRealm
00007fff2d6aff3b (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
00007fff2d6afef5 (__TEXT,__text) external _KLSetKerberosRealm
00007fff2d6afcf0 (__TEXT,__text) external _KLSetSystemDefaultCache
00007fff2d6af6c3 (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
00007fff2d6afc55 (__TEXT,__text) external _KLTicketExpirationTime
00007fff2d6afbba (__TEXT,__text) external _KLTicketStartTime
00007fff2d6af983 (__TEXT,__text) external _KLValidateInitialTickets
00007fff2d6af6d6 (__TEXT,__text) external _KLVerifyInitialTicketCredentials
00007fff2d6af6ce (__TEXT,__text) external _KLVerifyInitialTickets
00007fff2d6b3f2d (__TEXT,__text) external _KPCreatePreferencesFile
00007fff2d6b3f11 (__TEXT,__text) external _KPFreeListOfPreferencesFiles
00007fff2d6b3f06 (__TEXT,__text) external _KPGetListOfPreferencesFiles
00007fff2d6b3efb (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
00007fff2d6b3f17 (__TEXT,__text) external _KPPreferencesFileIsReadable
00007fff2d6b3f22 (__TEXT,__text) external _KPPreferencesFileIsWritable
00007fff2d6b444e (__TEXT,__text) external _KServerAddKeyCompat
00007fff2d6b4459 (__TEXT,__text) external _KServerGetKeyCompat
00007fff2d6b4443 (__TEXT,__text) external _KServerGetReplyTicketCompat
00007fff2d6b4464 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
00007fff2d6b442d (__TEXT,__text) external _KServerNewSessionCompat
00007fff2d6b4438 (__TEXT,__text) external _KServerVerifyTicketCompat
00007fff2d6b2de1 (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007fff8156e2e0 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007fff2d6b0507 (__TEXT,__text) external ___KLAllowAutomaticPrompting
00007fff2d6b04f4 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
00007fff2d6b0522 (__TEXT,__text) external ___KLAllowRememberPassword
00007fff2d6b0586 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
00007fff2d6b052a (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
00007fff2d6b05b5 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
00007fff2d6b05c8 (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
00007fff2d6b0558 (__TEXT,__text) external ___KLGetTripletFromPrincipal
00007fff2d6b05e3 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
00007fff2d6b05f3 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
00007fff2d6b05eb (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
00007fff2d6b05c0 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
00007fff2d6b05d3 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
00007fff2d6b0517 (__TEXT,__text) external ___KLPromptMechanism
00007fff2d6b05db (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
00007fff2d6b04de (__TEXT,__text) external ___KLSetApplicationPrompter
00007fff2d6b04ff (__TEXT,__text) external ___KLSetAutomaticPrompting
00007fff2d6b04e6 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
00007fff2d6b050f (__TEXT,__text) external ___KLSetPromptMechanism
00007fff2d6ae7fe (__TEXT,__text) external ___KerberosDebugLogLevel
00007fff2d6ae806 (__TEXT,__text) external ___KerberosDebugPrint
00007fff2d6ae812 (__TEXT,__text) external ___KerberosDebugPrintMemory
00007fff2d6ae818 (__TEXT,__text) external ___KerberosDebugPrintSession
00007fff2d6ae80c (__TEXT,__text) external ___KerberosDebugVAPrint
00007fff8156dd18 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
00007fff2d6aafa4 (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00007fff8156d7d8 (__DATA,__const) non-external ___block_descriptor_tmp
00007fff8156d858 (__DATA,__const) non-external ___block_descriptor_tmp.11
00007fff8156d818 (__DATA,__const) non-external ___block_descriptor_tmp.6
00007fff8156d7f8 (__DATA,__const) non-external ___block_literal_global
00007fff8156d878 (__DATA,__const) non-external ___block_literal_global.12
00007fff8156d838 (__DATA,__const) non-external ___block_literal_global.7
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
00007fff2d6adf42 (__TEXT,__text) non-external ___error_message_block_invoke
00007fff2d6aa46a (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
00007fff2d6ad69b (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
00007fff2d6af2bf (__TEXT,__text) non-external _acquireticket_ui
00007fff2d6b26be (__TEXT,__text) non-external _add_data_to_buffer
00007fff2d6aa5a0 (__TEXT,__text) external _add_error_table
00007fff2d6b10a8 (__TEXT,__text) non-external _add_to_list
00007fff2d6b5af5 (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
00007fff2d6b5bdb (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _calloc (from libSystem)
00007fff2d6aa5a8 (__TEXT,__text) external _cc_close
00007fff2d6aa5b0 (__TEXT,__text) external _cc_create
00007fff2d6aa5b8 (__TEXT,__text) external _cc_destroy
00007fff2d6aa5c0 (__TEXT,__text) external _cc_free_NC_info
00007fff2d6aa5c8 (__TEXT,__text) external _cc_free_creds
00007fff2d6aa5d0 (__TEXT,__text) external _cc_free_name
00007fff2d6aa5d8 (__TEXT,__text) external _cc_free_principal
00007fff8156dbf8 (__DATA,__data) non-external (was a private external) _cc_functions
00007fff2d6aa5e0 (__TEXT,__text) external _cc_get_NC_info
00007fff2d6aa5e8 (__TEXT,__text) external _cc_get_change_time
00007fff2d6aa5f0 (__TEXT,__text) external _cc_get_cred_version
00007fff2d6aa5f8 (__TEXT,__text) external _cc_get_name
00007fff2d6aa600 (__TEXT,__text) external _cc_get_principal
00007fff2d6abeb8 (__TEXT,__text) external _cc_initialize
00007fff2d6ace81 (__TEXT,__text) non-external _cc_iterator_clone
00007fff2d6ab593 (__TEXT,__text) non-external (was a private external) _cc_iterator_next
00007fff2d6ace41 (__TEXT,__text) non-external _cc_iterator_release
00007fff2d6aa608 (__TEXT,__text) external _cc_open
00007fff2d6aa610 (__TEXT,__text) external _cc_remove_cred
00007fff2d6aa618 (__TEXT,__text) external _cc_seq_fetch_NCs_begin
00007fff2d6aa620 (__TEXT,__text) external _cc_seq_fetch_NCs_end
00007fff2d6aa628 (__TEXT,__text) external _cc_seq_fetch_NCs_next
00007fff2d6aa630 (__TEXT,__text) external _cc_seq_fetch_creds_begin
00007fff2d6aa638 (__TEXT,__text) external _cc_seq_fetch_creds_end
00007fff2d6aa640 (__TEXT,__text) external _cc_seq_fetch_creds_next
00007fff2d6aa648 (__TEXT,__text) external _cc_set_principal
00007fff2d6aa650 (__TEXT,__text) external _cc_shutdown
00007fff2d6aa658 (__TEXT,__text) external _cc_store
00007fff2d6acd95 (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
00007fff2d6acb82 (__TEXT,__text) non-external _ccache_compare
00007fff2d6abf5a (__TEXT,__text) non-external _ccache_destroy
00007fff8156dc60 (__DATA,__data) non-external _ccache_functions
00007fff2d6acb39 (__TEXT,__text) non-external _ccache_get_change_time
00007fff2d6ac033 (__TEXT,__text) non-external _ccache_get_credentials_version
00007fff2d6acc5d (__TEXT,__text) non-external _ccache_get_kdc_time_offset
00007fff2d6acae5 (__TEXT,__text) non-external _ccache_get_last_default_time
00007fff2d6ac04c (__TEXT,__text) non-external _ccache_get_name
00007fff2d6ac0da (__TEXT,__text) non-external _ccache_get_principal
00007fff8156dd00 (__DATA,__data) non-external _ccache_iterator_functions
00007fff2d6acaab (__TEXT,__text) non-external _ccache_lock
00007fff2d6ac9f9 (__TEXT,__text) non-external _ccache_move
00007fff2d6ac945 (__TEXT,__text) non-external _ccache_new_credentials_iterator
00007fff2d6ab54c (__TEXT,__text) non-external (was a private external) _ccache_release
00007fff2d6ac77b (__TEXT,__text) non-external _ccache_remove_credentials
00007fff2d6abfbc (__TEXT,__text) non-external _ccache_set_default
00007fff2d6acd08 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
00007fff2d6ac1e6 (__TEXT,__text) non-external _ccache_set_principal
00007fff2d6ac2f2 (__TEXT,__text) non-external _ccache_store_credentials
00007fff2d6acac8 (__TEXT,__text) non-external _ccache_unlock
00007fff2d6acdf4 (__TEXT,__text) non-external _ccache_wait_for_change
00007fff2d6acdff (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00007fff8156d900 (__DATA,__const) non-external _conf_no
00007fff8156d8c0 (__DATA,__const) non-external _conf_yes
00007fff8156da40 (__DATA,__data) non-external _context_change_time
00007fff2d6abe8c (__TEXT,__text) non-external _context_compare
00007fff2d6ab9a3 (__TEXT,__text) non-external _context_create_ccache
00007fff2d6abb10 (__TEXT,__text) non-external _context_create_default_ccache
00007fff2d6abc94 (__TEXT,__text) non-external _context_create_new_ccache
00007fff2d6ab725 (__TEXT,__text) non-external _context_get_change_time
00007fff2d6ab764 (__TEXT,__text) non-external _context_get_default_ccache_name
00007fff2d6abe7c (__TEXT,__text) non-external _context_lock
00007fff2d6abe07 (__TEXT,__text) non-external _context_new_ccache_iterator
00007fff2d6ab7ea (__TEXT,__text) non-external _context_open_ccache
00007fff2d6ab8da (__TEXT,__text) non-external _context_open_default_ccache
00007fff2d6ab6ed (__TEXT,__text) non-external _context_release
00007fff2d6abe84 (__TEXT,__text) non-external _context_unlock
00007fff2d6abead (__TEXT,__text) non-external _context_wait_for_change
00007fff2d6ab030 (__TEXT,__text) non-external _cred_compare
00007fff2d6ab4f6 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00007fff8156dbe0 (__DATA,__data) non-external (was a private external) _cred_iter_functions
00007fff2d6ab041 (__TEXT,__text) non-external (was a private external) _cred_iter_next
00007fff2d6ab501 (__TEXT,__text) non-external _cred_iter_release
00007fff2d6aaff1 (__TEXT,__text) non-external _cred_release
00007fff8156dbd0 (__DATA,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
00007fff2d6b3f43 (__TEXT,__text) external _decomp_ticket
00007fff2d6b4171 (__TEXT,__text) external _dest_all_tkts
00007fff2d6b4148 (__TEXT,__text) external _dest_tkt
00007fff2d6ad6bd (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00007fff8156deb0 (__DATA,__bss) non-external _do_log
00007fff2d6b227e (__TEXT,__text) non-external _dump_profile
00007fff2d6b269a (__TEXT,__text) non-external _dump_profile_to_buffer_cb
00007fff2d6b25fc (__TEXT,__text) non-external _dump_profile_to_file_cb
00007fff2d6aa660 (__TEXT,__text) external _encode_krb5_as_req
00007fff2d6b1119 (__TEXT,__text) non-external _end_list
00007fff2d6aded6 (__TEXT,__text) external _error_message
00007fff8156ded0 (__DATA,__bss) non-external _error_message.buffer
00007fff8156dec0 (__DATA,__bss) non-external _error_message.et_list
00007fff8156deb8 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
00007fff2d6afa2a (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00007fff8156e2d8 (__DATA,__bss) non-external _g_cc_change_time
00007fff8156dd20 (__DATA,__data) non-external _g_change_time_mutex
00007fff8156e2d0 (__DATA,__bss) non-external _g_kl_change_time
00007fff2d6b3f82 (__TEXT,__text) external _get_ad_tkt
00007fff2d6b3fed (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00007fff8156daf0 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00007fff8156db08 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00007fff8156dac8 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00007fff8156dab0 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00007fff8156da80 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00007fff8156da98 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00007fff8156da68 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
