00000001803ff760 (__TEXT,__text) external _OSAtomicAdd32
00000001803ff9e8 (__TEXT,__text) external _OSAtomicTestAndClear
00000001803ffa2c (__TEXT,__text) external _OSAtomicTestAndClearBarrier
00000001803ff960 (__TEXT,__text) external _OSAtomicTestAndSet
00000001803ff9a4 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
00000001803ff870 (__TEXT,__text) external _OSAtomicXor32
00000001803ff87c (__TEXT,__text) external _OSAtomicXor32Barrier
00000001803ff888 (__TEXT,__text) external _OSAtomicXor32Orig
00000001803ff890 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
00000001803ffb60 (__TEXT,__text) external _OSMemoryBarrier
00000001803fe7d4 (__TEXT,__text) external _OSSpinLockLock
00000001803fe7f0 (__TEXT,__text) external _OSSpinLockTry
00000001803fe820 (__TEXT,__text) external _OSSpinLockUnlock
0000000180401710 (__TEXT,__const) non-external __0x
00000001804017c2 (__TEXT,__cstring) non-external __H
00000001803ffb3c (__TEXT,__text) non-external __OSAtomicDequeue_misalign
00000001803ffabc (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
00000001803fe690 (__TEXT,__text) external __OSSpinLockLockSlow
00000001803fe708 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180400880 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
0000000182450010 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
00000001803fbdc0 (__TEXT,__text) external ___libplatform_init
00000001803ff120 (__TEXT,__text) external ___os_once_reset
00000001803fe45c (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180401700 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
00000001804016d0 (__TEXT,__const) non-external (was a private external) ___platformVersionString
00000001803ffbd8 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
00000001803fca14 (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180400d6c (__TEXT,__text) external __ctx_done
0000000180401094 (__TEXT,__text) non-external (was a private external) __ctx_start
00000001803fd384 (__TEXT,__text) non-external __enlarge
0000000180401174 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
00000001803fd250 (__TEXT,__text) non-external __flush
00000001803fc9e8 (__TEXT,__text) non-external __flush_reset
00000001804017d3 (__TEXT,__cstring) non-external __h
00000001803ffcac (__TEXT,__text) external __longjmp
00000001803ff49c (__TEXT,__text) non-external __os_alloc
0000000180401380 (__TEXT,__text) non-external __os_alloc.cold.1
0000000182450008 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
00000001803ff44c (__TEXT,__text) external __os_alloc_once
00000001803ff558 (__TEXT,__text) non-external __os_alloc_slow
000000018040119c (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
00000001803fe870 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
00000001803fe8c0 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
00000001803fe894 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
00000001803fe8b4 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
00000001803ff0bc (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
00000001803ff0e0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
00000001803ff100 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
00000001804012e8 (__TEXT,__text) non-external __os_lock_recursive_abort
00000001803fe828 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
00000001803fe848 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
00000001803fe864 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180401718 (__TEXT,__const) non-external __os_lock_type_base
000000018248a2b0 (__AUTH_CONST,__const) external __os_lock_type_eliding
000000018248a2d0 (__AUTH_CONST,__const) external __os_lock_type_handoff
000000018248a310 (__AUTH_CONST,__const) external __os_lock_type_nospin
000000018248a2b0 (__AUTH_CONST,__const) external __os_lock_type_spin
000000018248a2b0 (__AUTH_CONST,__const) external __os_lock_type_transactional
000000018248a2f0 (__AUTH_CONST,__const) external __os_lock_type_unfair
00000001803fee50 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
00000001803fee78 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
00000001803fee98 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
00000001803feeb8 (__TEXT,__text) external __os_nospin_lock_lock
00000001803feed8 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001803fefd4 (__TEXT,__text) external __os_nospin_lock_trylock
00000001803feff0 (__TEXT,__text) external __os_nospin_lock_unlock
00000001803ff00c (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000001803ff1e8 (__TEXT,__text) external __os_once
00000001803ff248 (__TEXT,__text) non-external __os_once_callout
00000001803ff13c (__TEXT,__text) non-external __os_once_gate_broadcast
00000001804012c0 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
0000000180401270 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180401298 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
00000001803ff2bc (__TEXT,__text) non-external __os_once_gate_wait
00000001803ff688 (__TEXT,__text) external __os_semaphore_create
00000001804013a8 (__TEXT,__text) non-external __os_semaphore_create.cold.1
00000001804013d0 (__TEXT,__text) non-external __os_semaphore_create.cold.2
00000001803ff6d8 (__TEXT,__text) external __os_semaphore_dispose
00000001804013f8 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
00000001803ff708 (__TEXT,__text) external __os_semaphore_signal
0000000180401420 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
00000001803ff728 (__TEXT,__text) external __os_semaphore_wait
0000000180401448 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
0000000180401214 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
00000001803fe9a8 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
00000001804011c4 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001803feb4c (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
00000001804011ec (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
0000000180400880 (__TEXT,__text) external __platform_bzero
00000001803ffed8 (__TEXT,__text) external __platform_memccpy
00000001804004a0 (__TEXT,__text) external __platform_memchr
00000001804005b0 (__TEXT,__text) external __platform_memcmp
00000001804009c0 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180400070 (__TEXT,__text) external __platform_memmove
00000001804008e0 (__TEXT,__text) external __platform_memset
0000000180400ac0 (__TEXT,__text) external __platform_memset_pattern16
0000000180400a80 (__TEXT,__text) external __platform_memset_pattern4
0000000180400aa0 (__TEXT,__text) external __platform_memset_pattern8
0000000180400c60 (__TEXT,__text) external __platform_strchr
0000000180400350 (__TEXT,__text) external __platform_strcmp
00000001803ffe1c (__TEXT,__text) external __platform_strcpy
000000018248a228 (__AUTH_CONST,__const) non-external __platform_string_functions
00000001803fffd4 (__TEXT,__text) external __platform_strlcat
00000001803ffe5c (__TEXT,__text) external __platform_strlcpy
0000000180400700 (__TEXT,__text) external __platform_strlen
0000000180400770 (__TEXT,__text) external __platform_strncmp
00000001803fff54 (__TEXT,__text) external __platform_strncpy
0000000180400660 (__TEXT,__text) external __platform_strnlen
00000001803ffd98 (__TEXT,__text) external __platform_strstr
00000001803fbf48 (__TEXT,__text) non-external __platform_task_deallocate
00000001803fc4cc (__TEXT,__text) non-external __platform_thread_deallocate
0000000180401000 (__TEXT,__text) non-external (was a private external) __setcontext
00000001803ffc4c (__TEXT,__text) external __setjmp
00000001803ffb84 (__TEXT,__text) non-external (was a private external) __sigtramp
00000001803ffb68 (__TEXT,__text) non-external (was a private external) __sigunaltstack
00000001803fc784 (__TEXT,__text) non-external __simple_asl_escape_key
00000001803fc7f8 (__TEXT,__text) non-external __simple_asl_escape_val
00000001803fc980 (__TEXT,__text) external __simple_asl_log
00000001803fc8a0 (__TEXT,__text) external __simple_asl_log_prog
00000001803fc5ec (__TEXT,__text) external __simple_asl_msg_new
00000001803fc638 (__TEXT,__text) external __simple_asl_msg_set
00000001803fc858 (__TEXT,__text) external __simple_asl_send
00000001803fd2d0 (__TEXT,__text) external __simple_dprintf
00000001803fd620 (__TEXT,__text) external __simple_esappend
00000001803fd540 (__TEXT,__text) external __simple_esprintf
00000001803fc540 (__TEXT,__text) external __simple_getenv
00000001803fd6f0 (__TEXT,__text) external __simple_put
00000001803fd6f8 (__TEXT,__text) external __simple_putline
00000001803fd2fc (__TEXT,__text) external __simple_salloc
00000001803fd5b4 (__TEXT,__text) external __simple_sappend
00000001803fd740 (__TEXT,__text) external __simple_sfree
00000001803fd508 (__TEXT,__text) external __simple_sprintf
00000001803fd580 (__TEXT,__text) external __simple_sresize
00000001803fd570 (__TEXT,__text) external __simple_string
00000001803fc988 (__TEXT,__text) external __simple_vdprintf
00000001803fd4ec (__TEXT,__text) external __simple_vesprintf
00000001803fd4c4 (__TEXT,__text) external __simple_vsprintf
00000001803fe7d4 (__TEXT,__text) external __spin_lock
00000001803fe808 (__TEXT,__text) external __spin_lock_try
00000001803fe820 (__TEXT,__text) external __spin_unlock
0000000182450000 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
00000001803fd7d4 (__TEXT,__text) non-external _dec
0000000180400428 (__TEXT,__text) external _ffs
0000000180400440 (__TEXT,__text) external _ffsl
0000000180400440 (__TEXT,__text) external _ffsll
0000000180400458 (__TEXT,__text) external _fls
0000000180400468 (__TEXT,__text) external _flsl
0000000180400468 (__TEXT,__text) external _flsll
000000018244e430 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001804010c4 (__TEXT,__text) external _getcontext
                 (undefined) external _getrlimit (from libsystem_kernel)
00000001803fdcc8 (__TEXT,__text) non-external _hex
                 (undefined) external _log_data_as_kernel (from libsystem_kernel)
00000001803ffd5c (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_port_mod_refs (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_allocate (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
                 (undefined) external _mach_vm_read (from libsystem_kernel)
                 (undefined) external _mach_vm_remap (from libsystem_kernel)
0000000180400d94 (__TEXT,__text) external _makecontext
00000001803ffed4 (__TEXT,__text) non-external (was a private external) _memset
00000001803fdaf4 (__TEXT,__text) non-external _oct
00000001803fe660 (__TEXT,__text) external _os_lock_lock
00000001803fe670 (__TEXT,__text) external _os_lock_trylock
00000001803fe680 (__TEXT,__text) external _os_lock_unlock
00000001803fec54 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000180401338 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000001803fec24 (__TEXT,__text) external _os_unfair_lock_assert_owner
0000000180401310 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
00000001803fe984 (__TEXT,__text) external _os_unfair_lock_lock
00000001803febf8 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
00000001803feaf4 (__TEXT,__text) external _os_unfair_lock_lock_with_options
00000001803feb14 (__TEXT,__text) external _os_unfair_lock_trylock
00000001803feb30 (__TEXT,__text) external _os_unfair_lock_unlock
00000001803fec10 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
00000001803feca0 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
00000001803fec84 (__TEXT,__text) external _os_unfair_recursive_lock_owned
00000001803fecdc (__TEXT,__text) external _os_unfair_recursive_lock_trylock
00000001803fed8c (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
00000001803fed20 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
00000001803fee0c (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
0000000180401360 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
                 (undefined) external _pid_for_task (from libsystem_kernel)
00000001803fbdf4 (__TEXT,__text) external _platform_task_attach
00000001803fc338 (__TEXT,__text) external _platform_task_copy_next_thread
00000001803fc020 (__TEXT,__text) external _platform_task_detach
00000001803fc024 (__TEXT,__text) external _platform_task_is_64_bit
00000001803fc040 (__TEXT,__text) external _platform_task_perform
00000001803fc038 (__TEXT,__text) external _platform_task_resume_threads
00000001803fc030 (__TEXT,__text) external _platform_task_suspend_threads
00000001803fc048 (__TEXT,__text) external _platform_task_update_threads
00000001803fc400 (__TEXT,__text) external _platform_thread_abort_safely
00000001803fc4c4 (__TEXT,__text) external _platform_thread_get_pthread
00000001803fc464 (__TEXT,__text) external _platform_thread_get_state
00000001803fc3d8 (__TEXT,__text) external _platform_thread_get_unique_id
00000001803fc418 (__TEXT,__text) external _platform_thread_info
00000001803fc4bc (__TEXT,__text) external _platform_thread_perform
00000001803fc3e0 (__TEXT,__text) external _platform_thread_release
000000018040114c (__TEXT,__text) non-external _platform_thread_release.cold.1
00000001803fc410 (__TEXT,__text) external _platform_thread_resume
00000001803fc4b0 (__TEXT,__text) external _platform_thread_set_state
00000001803fc408 (__TEXT,__text) external _platform_thread_suspend
0000000180400efc (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180400f98 (__TEXT,__text) external _setcontext
00000001803ffd1c (__TEXT,__text) external _setjmp
00000001803ffd50 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
00000001803ffd10 (__TEXT,__text) external _sigsetjmp
00000001803fe7d4 (__TEXT,__text) external _spin_lock
00000001803fe808 (__TEXT,__text) external _spin_lock_try
00000001803fe820 (__TEXT,__text) external _spin_unlock
0000000180400cd8 (__TEXT,__text) external _swapcontext
00000001803fe5b8 (__TEXT,__text) external _sys_cache_control
00000001803fe658 (__TEXT,__text) external _sys_dcache_flush
00000001803fe604 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _task_threads (from libsystem_kernel)
                 (undefined) external _thread_abort_safely (from libsystem_kernel)
                 (undefined) external _thread_get_state (from libsystem_kernel)
                 (undefined) external _thread_info (from libsystem_kernel)
                 (undefined) external _thread_resume (from libsystem_kernel)
                 (undefined) external _thread_set_state (from libsystem_kernel)
                 (undefined) external _thread_suspend (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
00000001803fe024 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
00000001803fe208 (__TEXT,__text) non-external _ydec
