                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018a541a90 (__TEXT,__text) non-external _au_assemble
000000018a54c898 (__TEXT,__text) external _audit_get_cond
000000018a54db24 (__TEXT,__text) external _audit_get_ctlmode
000000018a54db04 (__TEXT,__text) external _audit_get_cwd
000000018a54db70 (__TEXT,__text) external _audit_get_expire_after
000000018a54d8f0 (__TEXT,__text) external _audit_get_fsize
000000018a54d728 (__TEXT,__text) external _audit_get_kaudit
000000018a54d858 (__TEXT,__text) external _audit_get_kmask
000000018a54d9d4 (__TEXT,__text) external _audit_get_pinfo
000000018a54da20 (__TEXT,__text) external _audit_get_pinfo_addr
000000018a54d300 (__TEXT,__text) external _audit_get_policy
000000018a54d5a0 (__TEXT,__text) external _audit_get_qctrl
000000018a54d3f0 (__TEXT,__text) external _audit_get_sflags
000000018a54d430 (__TEXT,__text) external _audit_get_sflags_mask
000000018a541744 (__TEXT,__text) external _audit_get_sinfo_addr
000000018a54da6c (__TEXT,__text) external _audit_get_stat
00000001d6773460 (__DATA,__bss) non-external _audit_rec_count
000000018a54d718 (__TEXT,__text) external _audit_send_trigger
000000018a54d80c (__TEXT,__text) external _audit_set_class
000000018a54d288 (__TEXT,__text) external _audit_set_cond
000000018a54d93c (__TEXT,__text) external _audit_set_fsize
000000018a54d774 (__TEXT,__text) external _audit_set_kaudit
000000018a54d8a4 (__TEXT,__text) external _audit_set_kmask
000000018a54d988 (__TEXT,__text) external _audit_set_pmask
000000018a54d378 (__TEXT,__text) external _audit_set_policy
000000018a54d65c (__TEXT,__text) external _audit_set_qctrl
000000018a54d400 (__TEXT,__text) external _audit_set_sflags
000000018a54d4ec (__TEXT,__text) external _audit_set_sflags_mask
000000018a54dab8 (__TEXT,__text) external _audit_set_stat
000000018a54ca44 (__TEXT,__text) non-external _audit_set_terminal_host
000000018a54c910 (__TEXT,__text) external _audit_set_terminal_id
000000018a54cadc (__TEXT,__text) external _audit_set_terminal_id_ex
000000018a54c964 (__TEXT,__text) non-external _audit_set_terminal_port
000000018a54c568 (__TEXT,__text) external _audit_submit
000000018a53f964 (__TEXT,__text) external _audit_token_to_asid
000000018a53f9a4 (__TEXT,__text) external _audit_token_to_au32
000000018a53f984 (__TEXT,__text) external _audit_token_to_auid
000000018a53f98c (__TEXT,__text) external _audit_token_to_egid
000000018a53f974 (__TEXT,__text) external _audit_token_to_euid
000000018a53f96c (__TEXT,__text) external _audit_token_to_pid
000000018a53f99c (__TEXT,__text) external _audit_token_to_pidversion
000000018a53f994 (__TEXT,__text) external _audit_token_to_rgid
000000018a53f97c (__TEXT,__text) external _audit_token_to_ruid
000000018a54cb30 (__TEXT,__text) external _audit_write
000000018a54cf04 (__TEXT,__text) external _audit_write_failure
000000018a54d010 (__TEXT,__text) external _audit_write_failure_ex
000000018a54d200 (__TEXT,__text) external _audit_write_failure_na
000000018a54d244 (__TEXT,__text) external _audit_write_failure_na_ex
000000018a54d11c (__TEXT,__text) external _audit_write_failure_self
000000018a54cd10 (__TEXT,__text) external _audit_write_success
000000018a54cdc4 (__TEXT,__text) external _audit_write_success_ex
000000018a54ce78 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018a54e150 (__TEXT,__const) non-external _bsm_domains
00000001d1f6f730 (__DATA_CONST,__const) non-external _bsm_errnos
000000018a54e3c0 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018a54e378 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018a5497b4 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018a548bc8 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018a5427fc (__TEXT,__text) external _endac
000000018a542354 (__TEXT,__text) external _endauclass
000000018a5433c8 (__TEXT,__text) external _endauevent
000000018a54c0a0 (__TEXT,__text) external _endauuser
00000001d6773b48 (__DATA,__bss) non-external _ev_cache
000000018a54382c (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001d6773b40 (__DATA,__bss) non-external _firsttime
000000018a5495b8 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001d6773650 (__DATA,__bss) non-external _fp
00000001d6773758 (__DATA,__bss) non-external _fp
00000001d6773868 (__DATA,__bss) non-external _fp
00000001d6773b58 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018a542850 (__TEXT,__text) external _getacdir
000000018a54300c (__TEXT,__text) external _getacexpire
000000018a542aec (__TEXT,__text) external _getacfilesz
000000018a542c9c (__TEXT,__text) external _getacflg
000000018a542f5c (__TEXT,__text) external _getachost
000000018a542a68 (__TEXT,__text) external _getacmin
000000018a542d4c (__TEXT,__text) external _getacna
000000018a542dfc (__TEXT,__text) external _getacpol
000000018a542eac (__TEXT,__text) external _getacsflagsmask
000000018a542104 (__TEXT,__text) external _getauclassent
00000001d6773560 (__DATA,__bss) non-external _getauclassent.c
00000001d6773518 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001d6773510 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001d6773578 (__DATA,__bss) non-external _getauclassent.cp
000000018a541f48 (__TEXT,__text) external _getauclassent_r
000000018a541f90 (__TEXT,__text) non-external _getauclassent_r_locked
000000018a54225c (__TEXT,__text) external _getauclassnam
00000001d67735d0 (__DATA,__bss) non-external _getauclassnam.c
00000001d6773588 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001d6773580 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018a5421d0 (__TEXT,__text) external _getauclassnam_r
000000018a542318 (__TEXT,__text) external _getauclassnum
00000001d6773638 (__DATA,__bss) non-external _getauclassnum.c
00000001d67735f0 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001d67735e8 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018a542298 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018a543960 (__TEXT,__text) external _getauditflagsbin
000000018a543ad4 (__TEXT,__text) external _getauditflagschar
000000018a5434f8 (__TEXT,__text) external _getauevent
00000001d67738c0 (__DATA,__bss) non-external _getauevent.e
00000001d677388e (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001d6773870 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018a54341c (__TEXT,__text) external _getauevent_r
000000018a543628 (__TEXT,__text) external _getauevnam
00000001d6773930 (__DATA,__bss) non-external _getauevnam.e
00000001d67738fe (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001d67738e0 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018a543538 (__TEXT,__text) external _getauevnam_r
000000018a54381c (__TEXT,__text) external _getauevnonam
00000001d6773a38 (__DATA,__bss) non-external _getauevnonam.event
000000018a543798 (__TEXT,__text) external _getauevnonam_r
00000001d6773a10 (__DATA,__bss) non-external _getauevnonam_r.e
00000001d6773a30 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001d67739de (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001d67739c0 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018a543754 (__TEXT,__text) external _getauevnum
00000001d67739a0 (__DATA,__bss) non-external _getauevnum.e
00000001d677396e (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001d6773950 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018a54366c (__TEXT,__text) external _getauevnum_r
000000018a54c2a8 (__TEXT,__text) external _getauuserent
00000001d6773b98 (__DATA,__bss) non-external _getauuserent.u
00000001d6773b60 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018a54c0f4 (__TEXT,__text) external _getauuserent_r
000000018a54c13c (__TEXT,__text) non-external _getauuserent_r_locked
000000018a54c39c (__TEXT,__text) external _getauusernam
00000001d6773be8 (__DATA,__bss) non-external _getauusernam.u
00000001d6773bb0 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018a54c314 (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018a54c490 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018a5428fc (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001d6773658 (__DATA,__bss) non-external _linestr
00000001d6773768 (__DATA,__bss) non-external _linestr
00000001d6773a3a (__DATA,__bss) non-external _linestr
00000001d6773c00 (__DATA,__bss) non-external _linestr
000000018a549500 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001d67732e0 (__DATA,__data) non-external _mutex
00000001d6773320 (__DATA,__data) non-external _mutex
00000001d6773360 (__DATA,__data) non-external _mutex
00000001d67733a0 (__DATA,__data) non-external _mutex
00000001d67733e0 (__DATA,__data) non-external _mutex
00000001d6773420 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001d6773470 (__DATA,__bss) non-external _open_desc_table
000000018a548a60 (__TEXT,__text) non-external _print_event
000000018a549180 (__TEXT,__text) non-external _print_group
000000018a548e6c (__TEXT,__text) non-external _print_ip_ex_address
000000018a549294 (__TEXT,__text) non-external _print_ipctype
000000018a549204 (__TEXT,__text) non-external _print_mem
000000018a549334 (__TEXT,__text) non-external _print_retval
000000018a548b34 (__TEXT,__text) non-external _print_sec32
000000018a548f58 (__TEXT,__text) non-external _print_sec64
000000018a548fe8 (__TEXT,__text) non-external _print_string
000000018a548690 (__TEXT,__text) non-external _print_tok_type
000000018a5490fc (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018a542728 (__TEXT,__text) external _setac
000000018a54276c (__TEXT,__text) non-external _setac_locked
00000001d6773760 (__DATA,__bss) non-external _setac_locked.lastctime
000000018a542180 (__TEXT,__text) external _setauclass
000000018a543378 (__TEXT,__text) external _setauevent
000000018a54c050 (__TEXT,__text) external _setauuser
000000018a5431f0 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001d6773b50 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
