                 (undefined) external _CCHmac (from libSystem)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
000000019309547c (__TEXT,__text) external _NEAuditTokenForPID
000000019307ceec (__TEXT,__text) non-external ___Block_byref_object_dispose_
000000019307ada8 (__TEXT,__text) non-external ___NEHelperTrackerDomainIsApproved_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00000001ddca3928 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001d465fdc8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001ddca39a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10
00000001ddca40d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10.96
00000001d465f7c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00000001ddca3c48 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.114
00000001ddca3c78 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.117
00000001ddca39d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.14
00000001d465fda8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.159
00000001ddca41b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001d465f858 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.174
00000001d465f878 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.175
00000001ddca3ca8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.179
00000001ddca3a08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
00000001d465fd00 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.18.155
00000001d465f898 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.182
00000001d465f8b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.187
00000001d465fd20 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00000001ddca3d18 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.193
00000001ddca3d48 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.196
00000001ddca3d78 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.201
00000001ddca3da8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.204
00000001d465f8d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.208
00000001ddca3a38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.21
00000001ddca41e8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.21.254
00000001ddca3dd8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.215
00000001d465f8f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.216
00000001ddca3e08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.219
00000001ddca3e38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.225
00000001ddca3e68 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.228
00000001ddca3e98 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.232
00000001ddca3ec8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.235
00000001d465f918 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.237
00000001ddca4218 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.24
00000001ddca3ef8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.240
00000001ddca3f28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.241
00000001d465fa70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.258
00000001d465fe18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.26
00000001d465fa90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.261
00000001d465fab0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.264
00000001d465fd40 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27
00000001d465fe38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27.179
00000001ddca3f98 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.270
00000001d465fad0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.274
00000001d465fe58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.28
00000001ddca3fe8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.280
00000001d465faf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.283
00000001d465fb10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.285
00000001ddca4018 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.293
00000001ddca3a68 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.30
00000001ddca4048 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.300
00000001d465fd60 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.36
00000001ddca3a98 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.39
00000001ddca4148 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.39.123
00000001d465fe78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.40
00000001d465fe98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.42
00000001ddca3ac8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.43
00000001ddca4248 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.43.204
00000001d465feb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.45
00000001d465f780 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00000001ddca3af8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.47.58
00000001d465fed8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.49
00000001ddca3b28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
00000001d465fef8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.50.184
00000001ddca3b58 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.53
00000001ddca4278 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.53.239
00000001d465f7e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.55
00000001d465ff18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.55.240
00000001d465ff38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.56
00000001d465ff58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.57
00000001d465ff78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.58
00000001ddca40a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6
00000001d465ff98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.60
00000001d465f800 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.62
00000001ddca3b88 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.65
00000001ddca3bb8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
00000001d465ffb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.73
00000001ddca3be8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.74
00000001d465ffd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.74.231
00000001ddca3c18 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.77
00000001ddca3978 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.8
00000001d465f838 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.87
00000001d465f7a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
00000001d465fdf8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9.270
00000001ddca4078 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.94
00000001ddca3958 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ddca4108 (__AUTH_CONST,__const) non-external ___block_literal_global.152
00000001ddca4178 (__AUTH_CONST,__const) non-external ___block_literal_global.157
00000001ddca3cd8 (__AUTH_CONST,__const) non-external ___block_literal_global.184
00000001ddca3cf8 (__AUTH_CONST,__const) non-external ___block_literal_global.189
00000001ddca4128 (__AUTH_CONST,__const) non-external ___block_literal_global.21
00000001ddca3f58 (__AUTH_CONST,__const) non-external ___block_literal_global.260
00000001ddca3f78 (__AUTH_CONST,__const) non-external ___block_literal_global.263
00000001ddca3fc8 (__AUTH_CONST,__const) non-external ___block_literal_global.276
00000001ddca4198 (__AUTH_CONST,__const) non-external ___block_literal_global.3
                 (undefined) external ___chkstk_darwin (from libSystem)
000000019307cc94 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
000000019307ae04 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
000000019308fab8 (__TEXT,__text) non-external ___copy_helper_block_8_32r40r
000000019308079c (__TEXT,__text) non-external ___copy_helper_block_8_32r40r48r56r
000000019307cc88 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
000000019307adf8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
000000019308fa74 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r
0000000193080740 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r48r56r
                 (undefined) external ___error (from libSystem)
000000019307cb60 (__TEXT,__text) non-external ___fetch_status_block_invoke
000000019307cb78 (__TEXT,__text) non-external ___fetch_status_block_invoke.197
000000019307ccf8 (__TEXT,__text) non-external ___fetch_status_block_invoke_2
000000019307d15c (__TEXT,__text) non-external ___get_connection_block_invoke
000000019307c764 (__TEXT,__text) non-external ___get_current_notify_pid_block_invoke
0000000193083cec (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke
0000000193083a54 (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke.281
0000000193083b4c (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke.289
0000000193083a08 (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke_2
0000000193083be4 (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke_2.282
000000019307d314 (__TEXT,__text) non-external ___globals_init_block_invoke
000000019308572c (__TEXT,__text) non-external ___ne_copy_cached_bundle_identifier_for_synthesized_uuid_locked_block_invoke
000000019308562c (__TEXT,__text) non-external ___ne_copy_cached_bundle_identifier_for_uuid_block_invoke
000000019308580c (__TEXT,__text) non-external ___ne_copy_cached_bundle_identifier_for_uuid_block_invoke_2
000000019308535c (__TEXT,__text) non-external ___ne_copy_cached_uuids_for_bundle_identifier_block_invoke
0000000193086cdc (__TEXT,__text) non-external ___ne_filter_connection_queue_block_invoke
000000019308fcc4 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_data_block_invoke
000000019308ff6c (__TEXT,__text) non-external ___ne_filter_data_protocol_send_data_block_invoke.39
0000000193088a68 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_finished_block_invoke
0000000193088cf4 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_finished_block_invoke.48
0000000193090adc (__TEXT,__text) non-external ___ne_filter_data_protocol_send_new_flow_block_invoke
0000000193090d60 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_new_flow_block_invoke.72
0000000193088690 (__TEXT,__text) non-external ___ne_filter_destroy_frames_block_invoke
00000001930886d4 (__TEXT,__text) non-external ___ne_filter_destroy_frames_block_invoke_2
0000000193088718 (__TEXT,__text) non-external ___ne_filter_destroy_frames_block_invoke_3
00000001930878d4 (__TEXT,__text) non-external ___ne_filter_get_definition_block_invoke
0000000193094884 (__TEXT,__text) non-external ___ne_filter_protocol_add_input_handler_block_invoke
000000019309489c (__TEXT,__text) non-external ___ne_filter_protocol_add_input_handler_block_invoke.18
0000000193094938 (__TEXT,__text) non-external ___ne_filter_protocol_add_input_handler_block_invoke_2
0000000193092a78 (__TEXT,__text) non-external ___ne_filter_protocol_finalize_output_frames_block_invoke
000000019308f254 (__TEXT,__text) non-external ___ne_filter_protocol_fulfill_frame_request_block_invoke
000000019308fa24 (__TEXT,__text) non-external ___ne_filter_protocol_fulfill_frame_request_block_invoke.44
0000000193093e84 (__TEXT,__text) non-external ___ne_filter_protocol_get_input_frames_block_invoke
0000000193093edc (__TEXT,__text) non-external ___ne_filter_protocol_get_input_frames_block_invoke.54
0000000193093f30 (__TEXT,__text) non-external ___ne_filter_protocol_get_input_frames_block_invoke_2
0000000193094ff8 (__TEXT,__text) non-external ___ne_filter_protocol_handle_message_block_invoke
0000000193087964 (__TEXT,__text) non-external ___ne_filter_protocol_identifier_block_invoke
000000019308620c (__TEXT,__text) non-external ___ne_filter_request_connection_block_invoke
000000019308628c (__TEXT,__text) non-external ___ne_filter_request_connection_block_invoke.2
0000000193086308 (__TEXT,__text) non-external ___ne_filter_request_connection_block_invoke.7
00000001930866a0 (__TEXT,__text) non-external ___ne_filter_request_xpc_connection_block_invoke
000000019308672c (__TEXT,__text) non-external ___ne_filter_request_xpc_connection_block_invoke.31
0000000193086ad4 (__TEXT,__text) non-external ___ne_filter_request_xpc_connection_block_invoke.35
000000019309015c (__TEXT,__text) non-external ___ne_filter_send_approved_frames_block_invoke
0000000193090408 (__TEXT,__text) non-external ___ne_filter_send_approved_frames_block_invoke.59
0000000193087798 (__TEXT,__text) non-external ___ne_filter_stats_report_register_block_invoke
00000001930805cc (__TEXT,__text) non-external ___ne_parse_necp_drop_dest_dictionary_block_invoke
000000019307e2d4 (__TEXT,__text) non-external ___ne_session_cancel_block_invoke
000000019307d100 (__TEXT,__text) non-external ___ne_session_clear_event_handler_block_invoke
0000000193082740 (__TEXT,__text) non-external ___ne_session_copy_cached_values_locked_block_invoke
00000001930827b8 (__TEXT,__text) non-external ___ne_session_copy_cached_values_locked_block_invoke_2
0000000193082548 (__TEXT,__text) non-external ___ne_session_copy_cached_values_locked_block_invoke_3
0000000193082ee0 (__TEXT,__text) non-external ___ne_session_copy_security_session_info_block_invoke
000000019307dfe8 (__TEXT,__text) non-external ___ne_session_create_block_invoke
000000019307f660 (__TEXT,__text) non-external ___ne_session_establish_ipc_block_invoke
000000019307f814 (__TEXT,__text) non-external ___ne_session_establish_ipc_block_invoke.66
000000019307f7bc (__TEXT,__text) non-external ___ne_session_establish_ipc_block_invoke_2
000000019307f8f8 (__TEXT,__text) non-external ___ne_session_establish_ipc_block_invoke_2.68
000000019307ebb4 (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke
000000019307ede8 (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke.220
000000019307efbc (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke.222
000000019307ef64 (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke.229
000000019307ed90 (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke_2
000000019307e364 (__TEXT,__text) non-external ___ne_session_get_status_block_invoke
000000019307e524 (__TEXT,__text) non-external ___ne_session_get_status_block_invoke.15
000000019307e4d0 (__TEXT,__text) non-external ___ne_session_get_status_block_invoke_2
000000019307dd7c (__TEXT,__text) non-external ___ne_session_is_always_on_vpn_enabled_block_invoke
000000019307e66c (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke
000000019307e898 (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke.34
000000019307ea6c (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke.36
000000019307ea14 (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke.44
000000019307e840 (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke_2
000000019307fed0 (__TEXT,__text) non-external ___ne_session_parse_necp_drop_dest_array_block_invoke
00000001930839bc (__TEXT,__text) non-external ___ne_session_policy_copy_flow_divert_token_block_invoke
000000019307cfc0 (__TEXT,__text) non-external ___ne_session_release_block_invoke
000000019307f184 (__TEXT,__text) non-external ___ne_session_send_barrier_block_invoke
000000019307f1e8 (__TEXT,__text) non-external ___ne_session_send_barrier_block_invoke.54
000000019307e1dc (__TEXT,__text) non-external ___ne_session_set_event_handler_block_invoke
000000019307f2a8 (__TEXT,__text) non-external ___ne_session_start_on_behalf_of_block_invoke
000000019307f510 (__TEXT,__text) non-external ___ne_session_stop_with_reason_block_invoke
00000001930826c8 (__TEXT,__text) non-external ___ne_session_update_cached_values_block_invoke
0000000193081b14 (__TEXT,__text) non-external ___nehelper_copy_connection_for_delegate_class_block_invoke
000000019307cddc (__TEXT,__text) non-external ___notify_client_block_invoke
000000019307cef8 (__TEXT,__text) non-external ___notify_client_block_invoke.212
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
                 (undefined) external ___strncpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external __dispatch_source_type_timer (from libSystem)
00000001d8fa9e2c (__DATA,__bss) non-external __ne_session_cache_lock
00000001d8fa97b0 (__DATA,__data) non-external __ne_session_cache_notify_token
00000001d8fa9e68 (__DATA,__bss) non-external __ne_session_master_cache
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __xpc_error_connection_interrupted (from libSystem)
                 (undefined) external __xpc_error_key_description (from libSystem)
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_data (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_endpoint (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external _audit_session_port (from libSystem)
                 (undefined) external _audit_session_self (from libSystem)
                 (undefined) external _audit_token_to_asid (from libbsm)
                 (undefined) external _audit_token_to_egid (from libbsm)
                 (undefined) external _audit_token_to_euid (from libbsm)
                 (undefined) external _audit_token_to_pid (from libbsm)
                 (undefined) external _bootstrap_port (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cc_cmp_safe (from libSystem)
                 (undefined) external _cchkdf (from libSystem)
                 (undefined) external _cchmac_final (from libSystem)
                 (undefined) external _cchmac_init (from libSystem)
                 (undefined) external _cchmac_update (from libSystem)
                 (undefined) external _ccsha256_di (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _csops (from libSystem)
                 (undefined) external _dispatch_activate (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_group_create (from libSystem)
                 (undefined) external _dispatch_group_enter (from libSystem)
                 (undefined) external _dispatch_group_leave (from libSystem)
                 (undefined) external _dispatch_group_notify (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_resume (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_source_cancel (from libSystem)
                 (undefined) external _dispatch_source_create (from libSystem)
                 (undefined) external _dispatch_source_set_event_handler (from libSystem)
                 (undefined) external _dispatch_source_set_timer (from libSystem)
                 (undefined) external _dispatch_suspend (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
000000019307c800 (__TEXT,__text) non-external _fetch_status
                 (undefined) external _free (from libSystem)
                 (undefined) external _fstat (from libSystem)
00000001d8fa97cc (__DATA,__common) external _g_NEFilterDisable
00000001d8fa9fe8 (__DATA,__bss) non-external _g_filter_protocol_callbacks
00000001d8fa9fbc (__DATA,__bss) non-external _g_filter_protocol_identifier
00000001d8fa97b8 (__DATA,__common) external _g_ne_read_uuid_cache
00000001d8fa97b9 (__DATA,__common) external _g_ne_uuid_cache_hit
00000001d8fa9db0 (__DATA,__bss) non-external _g_queue
00000001d8fa9db8 (__DATA,__bss) non-external _g_sessions
00000001d8fa97c0 (__DATA,__common) external _g_stats_globals
00000001d8fa97c8 (__DATA,__common) external _g_testControlUnit
00000001d8fa9f88 (__DATA,__bss) non-external _g_testProviderFactory
00000001d8fa9e38 (__DATA,__bss) non-external _g_uuid_cache
00000001d8fa9e30 (__DATA,__bss) non-external _g_uuid_cache_lock
000000019307c970 (__TEXT,__text) non-external _get_connection
000000019307d968 (__TEXT,__text) non-external _get_current_config_state
00000001d8fa97ac (__DATA,__data) non-external _get_current_config_state.config_token
00000001d8fa9e58 (__DATA,__bss) non-external _get_current_config_state.current_state
000000019307c6cc (__TEXT,__text) non-external _get_current_notify_pid
00000001d8fa9e48 (__DATA,__bss) non-external _get_current_notify_pid.current_pid
00000001d8fa97a4 (__DATA,__data) non-external _get_current_notify_pid.sm_token
00000001d8fa9f78 (__DATA,__bss) non-external _get_flow_divert_token_from_session_manager.token_init
00000001d8fa9f70 (__DATA,__bss) non-external _get_flow_divert_token_from_session_manager.token_queue
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
00000001d8fa9e60 (__DATA,__bss) non-external _globals_init.sess_init
                 (undefined) external _in6addr_any (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _inet_pton (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kSecRandomDefault (from Security)
                 (undefined) external _mach_absolute_time (from libSystem)
                 (undefined) external _mach_error_string (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _mach_timebase_info (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
000000019308542c (__TEXT,__text) external _ne_copy_cached_bundle_identifier_for_uuid
0000000193085218 (__TEXT,__text) non-external _ne_copy_cached_synthesized_uuids_for_bundle_identifier_locked
000000019308509c (__TEXT,__text) external _ne_copy_cached_uuids_for_bundle_identifier
0000000193084438 (__TEXT,__text) external _ne_copy_signature_info_for_pid
0000000193084244 (__TEXT,__text) external _ne_copy_signing_identifier_for_pid
000000019308505c (__TEXT,__text) external _ne_copy_uuid_cache
000000019308463c (__TEXT,__text) external _ne_copy_uuid_cache_locked
00000001d8fa9e40 (__DATA,__bss) non-external _ne_copy_uuid_cache_locked.g_my_os_version
0000000193086ff0 (__TEXT,__text) external _ne_filter_allocate_globals
000000019308ce18 (__TEXT,__text) non-external _ne_filter_cleanup
00000001d8fa9f90 (__DATA,__bss) non-external _ne_filter_connection_queue.filter_queue
00000001d8fa9f98 (__DATA,__bss) non-external _ne_filter_connection_queue.onceToken
0000000193086d08 (__TEXT,__text) external _ne_filter_copy_connection
000000019308fc14 (__TEXT,__text) non-external _ne_filter_create_wildcard_remote_sockaddr
00000001930957bc (__TEXT,__text) external _ne_filter_crypto_generate_client_key
00000001930958a8 (__TEXT,__text) external _ne_filter_crypto_init_client
00000001930956d4 (__TEXT,__text) external _ne_filter_crypto_init_master
0000000193095cc0 (__TEXT,__text) non-external _ne_filter_crypto_print_data
0000000193095940 (__TEXT,__text) external _ne_filter_crypto_sign_data
0000000193095b8c (__TEXT,__text) non-external _ne_filter_crypto_update_context
00000001930963f4 (__TEXT,__text) external _ne_filter_crypto_validate_data
000000019308d188 (__TEXT,__text) non-external _ne_filter_data_protocol_send_data
000000019308827c (__TEXT,__text) non-external _ne_filter_data_protocol_send_finished
0000000193090448 (__TEXT,__text) non-external _ne_filter_data_protocol_send_new_flow
0000000193087060 (__TEXT,__text) external _ne_filter_deallocate_globals
000000019308852c (__TEXT,__text) non-external _ne_filter_destroy_frames
000000019308875c (__TEXT,__text) non-external _ne_filter_generate_crypto_signature
0000000193087890 (__TEXT,__text) external _ne_filter_get_definition
