00007ff84003e008 (__DATA,__bss) non-external _GlobalMajor
00007ff800186d28 (__TEXT,__text) external ___atomic_load
00007ff800187350 (__TEXT,__text) external ___atomic_load_1
00007ff800187361 (__TEXT,__text) external ___atomic_load_2
00007ff800187373 (__TEXT,__text) external ___atomic_load_4
00007ff800187381 (__TEXT,__text) external ___atomic_load_8
00007ff800186e28 (__TEXT,__text) external ___atomic_store
00007ff800187390 (__TEXT,__text) external ___atomic_store_1
00007ff8001873a2 (__TEXT,__text) external ___atomic_store_2
00007ff8001873b4 (__TEXT,__text) external ___atomic_store_4
00007ff8001873c4 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff800187df8 (__TEXT,__text) external ___clzdi2
00007ff800187e13 (__TEXT,__text) external ___clzsi2
00007ff800187e81 (__TEXT,__text) external ___clzti2
00007ff800187e9a (__TEXT,__text) external ___cmpdi2
00007ff800187ec9 (__TEXT,__text) external ___cmpti2
00007ff800189dcc (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff800187eed (__TEXT,__text) external ___ctzdi2
00007ff800187f07 (__TEXT,__text) external ___ctzsi2
00007ff800187f68 (__TEXT,__text) external ___ctzti2
00007ff800187f7e (__TEXT,__text) external ___divdc3
00007ff800188616 (__TEXT,__text) external ___divdi3
00007ff800188651 (__TEXT,__text) external ___divsc3
00007ff800188bfb (__TEXT,__text) external ___divti3
00007ff800188c4b (__TEXT,__text) external ___divxc3
00007ff800188f96 (__TEXT,__text) external ___extendhfsf2
00007ff800189004 (__TEXT,__text) external ___ffsdi2
00007ff800189020 (__TEXT,__text) external ___ffsti2
00007ff80018903c (__TEXT,__text) external ___fixdfdi
00007ff80018905d (__TEXT,__text) external ___fixdfti
00007ff800189128 (__TEXT,__text) external ___fixsfdi
00007ff800189146 (__TEXT,__text) external ___fixsfti
00007ff8001891f0 (__TEXT,__text) external ___fixunsdfdi
00007ff800189233 (__TEXT,__text) external ___fixunsdfsi
00007ff80018927f (__TEXT,__text) external ___fixunsdfti
00007ff8001892ff (__TEXT,__text) external ___fixunssfdi
00007ff800189344 (__TEXT,__text) external ___fixunssfsi
00007ff80018938e (__TEXT,__text) external ___fixunssfti
00007ff800189403 (__TEXT,__text) external ___fixunsxfdi
00007ff80018947a (__TEXT,__text) external ___fixunsxfsi
00007ff8001894ed (__TEXT,__text) external ___fixunsxfti
00007ff8001895a4 (__TEXT,__text) external ___fixxfdi
00007ff800189641 (__TEXT,__text) external ___fixxfti
00007ff800189727 (__TEXT,__text) external ___floatdidf
00007ff80018972d (__TEXT,__text) external ___floatdisf
00007ff800189733 (__TEXT,__text) external ___floatdixf
00007ff80018973d (__TEXT,__text) external ___floattidf
00007ff800189855 (__TEXT,__text) external ___floattisf
00007ff800189957 (__TEXT,__text) external ___floattixf
00007ff800189a88 (__TEXT,__text) external ___floatundidf
00007ff800189ab4 (__TEXT,__text) external ___floatundisf
00007ff800189ae0 (__TEXT,__text) external ___floatundixf
00007ff800189af6 (__TEXT,__text) external ___floatuntidf
00007ff800189bfe (__TEXT,__text) external ___floatuntisf
00007ff800189cc6 (__TEXT,__text) external ___floatuntixf
00007ff80018b2da (__TEXT,__text) external ___gnu_f2h_ieee
00007ff800188fff (__TEXT,__text) external ___gnu_h2f_ieee
00007ff8001869b8 (__TEXT,__text) external ___isPlatformVersionAtLeast
00007ff800189de4 (__TEXT,__text) external ___lshrdi3
00007ff800189e12 (__TEXT,__text) external ___lshrti3
00007ff800189e3a (__TEXT,__text) external ___moddi3
00007ff800189e89 (__TEXT,__text) external ___modti3
00007ff800189ef1 (__TEXT,__text) external ___muldc3
00007ff80018a0b5 (__TEXT,__text) external ___muldi3
00007ff80018a134 (__TEXT,__text) external ___mulodi4
00007ff80018a1c3 (__TEXT,__text) external ___mulosi4
00007ff80018a236 (__TEXT,__text) external ___muloti4
00007ff80018a33d (__TEXT,__text) external ___mulsc3
00007ff80018a57f (__TEXT,__text) external ___multi3
00007ff80018a5d7 (__TEXT,__text) external ___mulvdi3
00007ff80018a6d6 (__TEXT,__text) external ___mulvsi3
00007ff80018a7b2 (__TEXT,__text) external ___mulvti3
00007ff80018a939 (__TEXT,__text) external ___mulxc3
00007ff80018ac9e (__TEXT,__text) external ___negdi2
00007ff80018aca5 (__TEXT,__text) external ___negti2
00007ff80018acb1 (__TEXT,__text) external ___negvdi2
00007ff80018ace0 (__TEXT,__text) external ___negvsi2
00007ff80018ad06 (__TEXT,__text) external ___negvti2
00007ff80018ad38 (__TEXT,__text) external ___paritydi2
00007ff80018ad64 (__TEXT,__text) external ___paritysi2
00007ff80018ad87 (__TEXT,__text) external ___parityti2
00007ff80018adb6 (__TEXT,__text) external ___popcountdi2
00007ff80018ae18 (__TEXT,__text) external ___popcountsi2
00007ff80018ae51 (__TEXT,__text) external ___popcountti2
00007ff80018aedf (__TEXT,__text) external ___powidf2
00007ff80018af33 (__TEXT,__text) external ___powisf2
00007ff80018af84 (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff80018afe2 (__TEXT,__text) external ___subvdi3
00007ff80018b02a (__TEXT,__text) external ___subvsi3
00007ff80018b06d (__TEXT,__text) external ___subvti3
00007ff80018b0c1 (__TEXT,__text) external ___truncdfhf2
00007ff80018b1ee (__TEXT,__text) external ___truncsfhf2
00007ff80018b2df (__TEXT,__text) external ___ucmpdi2
00007ff80018b30e (__TEXT,__text) external ___ucmpti2
00007ff80018b332 (__TEXT,__text) external ___udivdi3
00007ff80018b3b3 (__TEXT,__text) external ___udivmoddi4
00007ff80018b610 (__TEXT,__text) external ___udivmodti4
00007ff80018b6d0 (__TEXT,__text) external ___udivti3
00007ff80018b6d8 (__TEXT,__text) external ___umoddi3
00007ff80018b759 (__TEXT,__text) external ___umodti3
                 (undefined) external __os_nospin_lock_lock (from libsystem_platform)
                 (undefined) external __os_nospin_lock_unlock (from libsystem_platform)
                 (undefined) external __os_once (from libsystem_platform)
00007ff800187d48 (__TEXT,__text) external _atomic_flag_clear
00007ff800187d4d (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff800187d60 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff800187d68 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff800187d9c (__TEXT,__text) external _atomic_signal_fence
00007ff800187dc8 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff800186a2f (__TEXT,__text) non-external _initializeAvailabilityCheck
00007ff84003e020 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _scalbnl (from libsystem_m)
                 (undefined) external _sscanf (from libsystem_c)
                 (undefined) external _uname (from libsystem_c)
00007ff80018c200 (__TEXT,__const) non-external two
00007ff80018c1d0 (__TEXT,__const) non-external twop52
00007ff80018c210 (__TEXT,__const) non-external twop64
00007ff80018c1f0 (__TEXT,__const) non-external twop84
00007ff80018c1e0 (__TEXT,__const) non-external twop84_plus_twop52
