000000022657b4a8 (__TEXT,__text) non-external _DiToMD5
000000022655b8c8 (__TEXT,__text) external _PE_i_can_has_debugger
000000022657b9a0 (__TEXT,__text) external _SHA1Final
000000022657b728 (__TEXT,__text) external _SHA1Init
000000022657b928 (__TEXT,__text) non-external _SHA1ToDi
000000022657b850 (__TEXT,__text) external _SHA1Update
000000022657c498 (__TEXT,__text) external _SHA256_Final
000000022657c3f8 (__TEXT,__text) external _SHA256_Init
000000022659013c (__TEXT,__text) non-external _SHA256_Init.cold.1
000000022657c448 (__TEXT,__text) external _SHA256_Update
000000022657c57c (__TEXT,__text) external _SHA384_Final
000000022657c4dc (__TEXT,__text) external _SHA384_Init
0000000226590164 (__TEXT,__text) non-external _SHA384_Init.cold.1
000000022657c52c (__TEXT,__text) external _SHA384_Update
000000022657c660 (__TEXT,__text) external _SHA512_Final
000000022657c5c0 (__TEXT,__text) external _SHA512_Init
000000022659018c (__TEXT,__text) non-external _SHA512_Init.cold.1
000000022657c610 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
000000022655c570 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
000000022657c6a4 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
000000029a8e45b8 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
000000029462a500 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
000000022655c8e8 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
000000022658d43c (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
000000022655e6f8 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
000000022658dc04 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
000000022658dc30 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
000000022658dc5c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
000000022658dc88 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
000000022658dcb4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
000000022655d4ec (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
000000022658d810 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
000000022658d83c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
000000022658d868 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
000000022658d894 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
000000022655cc18 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
000000022658d4ec (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
000000022656a480 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
000000022656d658 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
000000022655c73c (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
000000022658d3b8 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
000000022658d3e4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
000000022658d410 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
000000022656a5f4 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
000000022656a6a4 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
000000022656a620 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
000000022655c95c (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
000000022656aaa8 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
000000022658f4d0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
000000022658f4fc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
000000022658f528 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
000000022658f554 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
000000022658f580 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
000000022658f5ac (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
000000022655ab18 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
000000022655ac6c (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
000000022655cf54 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
000000022658d544 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
000000022655d0c8 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
000000022655eb44 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
000000022655c6a8 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
000000022655c5e8 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
000000022656b2c0 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
000000022658f65c (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
000000022655cb28 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
000000022658d494 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
000000022658d4c0 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
0000000226567f5c (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
000000022658ef50 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
0000000226567ed4 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
000000022658eef8 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
0000000226559a84 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
0000000226569048 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
000000022656a750 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
000000022658f268 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
000000022658f294 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
000000022658f2c0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
000000022658f2ec (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
000000022658f318 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
0000000226569010 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000002265692dc (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
000000022656a894 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
000000022658f344 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
000000022658f370 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
000000022658f39c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
000000022655eaf4 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
000000022655dfa0 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
000000022658bbd0 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
000000022655a9e8 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
000000022655bdb0 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
000000022658d334 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
0000000226567918 (__TEXT,__text) non-external __ZL10uiomessagePv
000000022658b9e0 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
000000022656c81c (__TEXT,__text) non-external __ZL11OSSetCreatev
0000000226590dc0 (__TEXT,__const) non-external __ZL11yytranslate
000000022658d080 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
000000022658b2ec (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
000000022658bad0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
000000022658bd28 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
000000022658bd90 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
0000000226568dc4 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
0000000226568d74 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
000000022658f0dc (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
000000022658c54c (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
000000022657cc4c (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
000000022658274c (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
0000000226566200 (__TEXT,__text) non-external __ZL13IOThreadStartPv
000000022658ebe0 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
000000022658ec0c (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
000000022658ec38 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
000000022658ba68 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
0000000226582544 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000002265602e4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
000000022658e4d4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
000000022658e500 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
000000022658e52c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
000000022658e558 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
000000022657f728 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
0000000226582224 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
000000022658abf4 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
000000022658bb68 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
000000022655e934 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
000000022658de14 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
000000022658de40 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
000000022658de6c (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
000000022658de98 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
000000022655f7e8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
000000022658e258 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
000000022658e298 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
000000022658e2c4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
000000022658e2f0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
0000000226567318 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
000000022658ed14 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
000000022658ed40 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
000000022658ed6c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
000000022658ed98 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
000000022658edc4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
000000022658edf0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
000000022658ee1c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
000000029462a518 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
000000022657cd3c (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
000000022658933c (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
000000022658a37c (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
000000022658bb38 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000002265672b0 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
000000022655e7dc (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
000000022658dce0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
000000022658dd0c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
000000022658dd38 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
000000022658dd64 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
000000022658dd90 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.5
000000022658ddbc (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.6
