                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018c21be40 (__TEXT,__text) non-external _au_assemble
000000018c2280d0 (__TEXT,__text) external _au_to_header_ex
000000018c2279cc (__TEXT,__text) external _au_to_identity
000000018c225d24 (__TEXT,__text) external _au_to_in_addr
000000018c225d90 (__TEXT,__text) external _au_to_in_addr_ex
000000018c225e04 (__TEXT,__text) external _au_to_ip
000000018c225e78 (__TEXT,__text) external _au_to_ipc
000000018c225f08 (__TEXT,__text) external _au_to_ipc_perm
000000018c225fdc (__TEXT,__text) external _au_to_iport
000000018c22815c (__TEXT,__text) external _au_to_kevent
000000018c227918 (__TEXT,__text) external _au_to_krb5_principal
000000018c227740 (__TEXT,__text) external _au_to_me
000000018c225c70 (__TEXT,__text) external _au_to_newgroups
000000018c22604c (__TEXT,__text) external _au_to_opaque
000000018c2262a8 (__TEXT,__text) external _au_to_path
000000018c22667c (__TEXT,__text) external _au_to_process
000000018c226354 (__TEXT,__text) external _au_to_process32
000000018c226680 (__TEXT,__text) external _au_to_process32_ex
000000018c2264c8 (__TEXT,__text) external _au_to_process64
000000018c226884 (__TEXT,__text) external _au_to_process64_ex
000000018c226ac8 (__TEXT,__text) external _au_to_process_ex
000000018c226c0c (__TEXT,__text) external _au_to_return
000000018c226acc (__TEXT,__text) external _au_to_return32
000000018c226b5c (__TEXT,__text) external _au_to_return64
000000018c226c10 (__TEXT,__text) external _au_to_seq
000000018c226fbc (__TEXT,__text) external _au_to_sock_inet
000000018c226f38 (__TEXT,__text) external _au_to_sock_inet128
000000018c226ebc (__TEXT,__text) external _au_to_sock_inet32
000000018c226e0c (__TEXT,__text) external _au_to_sock_unix
000000018c226c90 (__TEXT,__text) external _au_to_socket_ex
000000018c2277f0 (__TEXT,__text) non-external _au_to_strings
000000018c2272e8 (__TEXT,__text) external _au_to_subject
000000018c226fc0 (__TEXT,__text) external _au_to_subject32
000000018c2272ec (__TEXT,__text) external _au_to_subject32_ex
000000018c227134 (__TEXT,__text) external _au_to_subject64
000000018c2274f4 (__TEXT,__text) external _au_to_subject64_ex
000000018c22773c (__TEXT,__text) external _au_to_subject_ex
000000018c2261fc (__TEXT,__text) external _au_to_text
000000018c2280d4 (__TEXT,__text) external _au_to_trailer
000000018c227920 (__TEXT,__text) external _au_to_zonename
000000018c2284c4 (__TEXT,__text) external _au_user_mask
000000018c21bcb8 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001d5c3d3f0 (__DATA,__bss) non-external _audit_free_q
000000018c229afc (__TEXT,__text) external _audit_get_car
000000018c2297a8 (__TEXT,__text) external _audit_get_class
000000018c228990 (__TEXT,__text) external _audit_get_cond
000000018c229b0c (__TEXT,__text) external _audit_get_ctlmode
000000018c229aec (__TEXT,__text) external _audit_get_cwd
000000018c229b58 (__TEXT,__text) external _audit_get_expire_after
000000018c2298d8 (__TEXT,__text) external _audit_get_fsize
000000018c229710 (__TEXT,__text) external _audit_get_kaudit
000000018c229840 (__TEXT,__text) external _audit_get_kmask
000000018c2299bc (__TEXT,__text) external _audit_get_pinfo
000000018c229a08 (__TEXT,__text) external _audit_get_pinfo_addr
000000018c229420 (__TEXT,__text) external _audit_get_policy
000000018c229598 (__TEXT,__text) external _audit_get_qctrl
000000018c229510 (__TEXT,__text) external _audit_get_sflags
000000018c229550 (__TEXT,__text) external _audit_get_sflags_mask
000000018c21bae4 (__TEXT,__text) external _audit_get_sinfo_addr
000000018c229a54 (__TEXT,__text) external _audit_get_stat
00000001d5c3d3e8 (__DATA,__bss) non-external _audit_rec_count
000000018c229700 (__TEXT,__text) external _audit_send_trigger
000000018c2297f4 (__TEXT,__text) external _audit_set_class
000000018c2293a8 (__TEXT,__text) external _audit_set_cond
000000018c229924 (__TEXT,__text) external _audit_set_fsize
000000018c22975c (__TEXT,__text) external _audit_set_kaudit
000000018c22988c (__TEXT,__text) external _audit_set_kmask
000000018c229970 (__TEXT,__text) external _audit_set_pmask
000000018c229498 (__TEXT,__text) external _audit_set_policy
000000018c22964c (__TEXT,__text) external _audit_set_qctrl
000000018c229520 (__TEXT,__text) external _audit_set_sflags
000000018c229574 (__TEXT,__text) external _audit_set_sflags_mask
000000018c229aa0 (__TEXT,__text) external _audit_set_stat
000000018c228b38 (__TEXT,__text) non-external _audit_set_terminal_host
000000018c228a08 (__TEXT,__text) external _audit_set_terminal_id
000000018c228bfc (__TEXT,__text) external _audit_set_terminal_id_ex
000000018c228a5c (__TEXT,__text) non-external _audit_set_terminal_port
000000018c228660 (__TEXT,__text) external _audit_submit
000000018c21b3cc (__TEXT,__text) external _audit_token_to_asid
000000018c21b40c (__TEXT,__text) external _audit_token_to_au32
000000018c21b3ec (__TEXT,__text) external _audit_token_to_auid
000000018c21b3f4 (__TEXT,__text) external _audit_token_to_egid
000000018c21b3dc (__TEXT,__text) external _audit_token_to_euid
000000018c21b3d4 (__TEXT,__text) external _audit_token_to_pid
000000018c21b404 (__TEXT,__text) external _audit_token_to_pidversion
000000018c21b3fc (__TEXT,__text) external _audit_token_to_rgid
000000018c21b3e4 (__TEXT,__text) external _audit_token_to_ruid
000000018c228c50 (__TEXT,__text) external _audit_write
000000018c229024 (__TEXT,__text) external _audit_write_failure
000000018c229130 (__TEXT,__text) external _audit_write_failure_ex
000000018c229320 (__TEXT,__text) external _audit_write_failure_na
000000018c229364 (__TEXT,__text) external _audit_write_failure_na_ex
000000018c22923c (__TEXT,__text) external _audit_write_failure_self
000000018c228e30 (__TEXT,__text) external _audit_write_success
000000018c228ee4 (__TEXT,__text) external _audit_write_success_ex
000000018c228f98 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018c22475c (__TEXT,__text) non-external _be64dec
000000018c22a108 (__TEXT,__const) non-external _bsm_domains
00000001d39bc6b8 (__DATA_CONST,__const) non-external _bsm_errnos
000000018c22a390 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018c22a330 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018c225898 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018c224ca0 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018c21cb94 (__TEXT,__text) external _endac
000000018c21c6ec (__TEXT,__text) external _endauclass
000000018c21d6cc (__TEXT,__text) external _endauevent
000000018c2281b4 (__TEXT,__text) external _endauuser
00000001d5c3dad0 (__DATA,__bss) non-external _ev_cache
000000018c21db18 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
000000018c21fbf0 (__TEXT,__text) non-external _fetch_arb_tok
000000018c21e5c4 (__TEXT,__text) non-external _fetch_arg32_tok
000000018c21e648 (__TEXT,__text) non-external _fetch_arg64_tok
000000018c21e6cc (__TEXT,__text) non-external _fetch_attr32_tok
000000018c21e790 (__TEXT,__text) non-external _fetch_attr64_tok
000000018c21fc80 (__TEXT,__text) non-external _fetch_cert_hash_tok
000000018c21e8cc (__TEXT,__text) non-external _fetch_execarg_tok
000000018c21e964 (__TEXT,__text) non-external _fetch_execenv_tok
000000018c21e878 (__TEXT,__text) non-external _fetch_exit_tok
000000018c21e9fc (__TEXT,__text) non-external _fetch_file_tok
000000018c21e190 (__TEXT,__text) non-external _fetch_header32_ex_tok
000000018c21e0c8 (__TEXT,__text) non-external _fetch_header32_tok
000000018c21e3f0 (__TEXT,__text) non-external _fetch_header64_ex_tok
000000018c21e304 (__TEXT,__text) non-external _fetch_header64_tok
000000018c21fdb0 (__TEXT,__text) non-external _fetch_identity_tok
000000018c21eaf4 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
000000018c21eb6c (__TEXT,__text) non-external _fetch_ip_tok
000000018c21ec78 (__TEXT,__text) non-external _fetch_ipc_tok
000000018c21ecc8 (__TEXT,__text) non-external _fetch_ipcperm_tok
000000018c21fd18 (__TEXT,__text) non-external _fetch_krb5_principal_tok
000000018c21ea84 (__TEXT,__text) non-external _fetch_newgroups_tok
000000018c21eda8 (__TEXT,__text) non-external _fetch_process32_tok
000000018c21eebc (__TEXT,__text) non-external _fetch_process32ex_tok
000000018c21f014 (__TEXT,__text) non-external _fetch_process64_tok
000000018c21f158 (__TEXT,__text) non-external _fetch_process64ex_tok
000000018c21f2dc (__TEXT,__text) non-external _fetch_return32_tok
000000018c21f32c (__TEXT,__text) non-external _fetch_return64_tok
000000018c21f52c (__TEXT,__text) non-external _fetch_sock_inet128_tok
000000018c21f418 (__TEXT,__text) non-external _fetch_sock_inet32_tok
000000018c21f484 (__TEXT,__text) non-external _fetch_sock_unix_tok
000000018c21f37c (__TEXT,__text) non-external _fetch_socket_tok
000000018c21facc (__TEXT,__text) non-external _fetch_socketex32_tok
000000018c21f598 (__TEXT,__text) non-external _fetch_subject32_tok
000000018c21f6ac (__TEXT,__text) non-external _fetch_subject32ex_tok
000000018c21f804 (__TEXT,__text) non-external _fetch_subject64_tok
000000018c21f948 (__TEXT,__text) non-external _fetch_subject64ex_tok
000000018c21e56c (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001d5c3dac8 (__DATA,__bss) non-external _firsttime
000000018c225678 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001d5c3d5d8 (__DATA,__bss) non-external _fp
00000001d5c3d6e0 (__DATA,__bss) non-external _fp
00000001d5c3d7f0 (__DATA,__bss) non-external _fp
00000001d5c3dae0 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018c21cbe8 (__TEXT,__text) external _getacdir
000000018c21d314 (__TEXT,__text) external _getacexpire
000000018c21ce84 (__TEXT,__text) external _getacfilesz
000000018c21d030 (__TEXT,__text) external _getacflg
000000018c21d264 (__TEXT,__text) external _getachost
000000018c21ce00 (__TEXT,__text) external _getacmin
000000018c21d0e0 (__TEXT,__text) external _getacna
000000018c21d190 (__TEXT,__text) external _getacpol
000000018c21d240 (__TEXT,__text) external _getacsflagsmask
000000018c21c49c (__TEXT,__text) external _getauclassent
00000001d5c3d4e8 (__DATA,__bss) non-external _getauclassent.c
00000001d5c3d4a0 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001d5c3d498 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001d5c3d500 (__DATA,__bss) non-external _getauclassent.cp
000000018c21c2fc (__TEXT,__text) external _getauclassent_r
000000018c21c344 (__TEXT,__text) non-external _getauclassent_r_locked
000000018c21c5f4 (__TEXT,__text) external _getauclassnam
00000001d5c3d558 (__DATA,__bss) non-external _getauclassnam.c
00000001d5c3d510 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001d5c3d508 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018c21c568 (__TEXT,__text) external _getauclassnam_r
000000018c21c6b0 (__TEXT,__text) external _getauclassnum
00000001d5c3d5c0 (__DATA,__bss) non-external _getauclassnum.c
00000001d5c3d578 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001d5c3d570 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018c21c630 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018c21dc4c (__TEXT,__text) external _getauditflagsbin
000000018c21ddb8 (__TEXT,__text) external _getauditflagschar
000000018c21d7e4 (__TEXT,__text) external _getauevent
00000001d5c3d848 (__DATA,__bss) non-external _getauevent.e
00000001d5c3d816 (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001d5c3d7f8 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018c21d720 (__TEXT,__text) external _getauevent_r
000000018c21d914 (__TEXT,__text) external _getauevnam
00000001d5c3d8b8 (__DATA,__bss) non-external _getauevnam.e
00000001d5c3d886 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001d5c3d868 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018c21d824 (__TEXT,__text) external _getauevnam_r
000000018c21db08 (__TEXT,__text) external _getauevnonam
00000001d5c3d9c0 (__DATA,__bss) non-external _getauevnonam.event
000000018c21da84 (__TEXT,__text) external _getauevnonam_r
00000001d5c3d998 (__DATA,__bss) non-external _getauevnonam_r.e
00000001d5c3d9b8 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001d5c3d966 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001d5c3d948 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018c21da40 (__TEXT,__text) external _getauevnum
00000001d5c3d928 (__DATA,__bss) non-external _getauevnum.e
00000001d5c3d8f6 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001d5c3d8d8 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018c21d958 (__TEXT,__text) external _getauevnum_r
000000018c2283a0 (__TEXT,__text) external _getauuserent
00000001d5c3db20 (__DATA,__bss) non-external _getauuserent.u
00000001d5c3dae8 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018c228208 (__TEXT,__text) external _getauuserent_r
000000018c228250 (__TEXT,__text) non-external _getauuserent_r_locked
000000018c228494 (__TEXT,__text) external _getauusernam
00000001d5c3db70 (__DATA,__bss) non-external _getauusernam.u
00000001d5c3db38 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018c22840c (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018c228588 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018c21cc94 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001d5c3d5e0 (__DATA,__bss) non-external _linestr
00000001d5c3d6f0 (__DATA,__bss) non-external _linestr
00000001d5c3d9c2 (__DATA,__bss) non-external _linestr
00000001d5c3db88 (__DATA,__bss) non-external _linestr
000000018c2255c0 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001d5c3d268 (__DATA,__data) non-external _mutex
00000001d5c3d2a8 (__DATA,__data) non-external _mutex
00000001d5c3d2e8 (__DATA,__data) non-external _mutex
00000001d5c3d328 (__DATA,__data) non-external _mutex
00000001d5c3d368 (__DATA,__data) non-external _mutex
00000001d5c3d3a8 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001d5c3d3f8 (__DATA,__bss) non-external _open_desc_table
000000018c224b38 (__TEXT,__text) non-external _print_event
000000018c225250 (__TEXT,__text) non-external _print_group
000000018c224f44 (__TEXT,__text) non-external _print_ip_ex_address
000000018c22535c (__TEXT,__text) non-external _print_ipctype
000000018c2252d4 (__TEXT,__text) non-external _print_mem
000000018c2253fc (__TEXT,__text) non-external _print_retval
000000018c224c0c (__TEXT,__text) non-external _print_sec32
000000018c225030 (__TEXT,__text) non-external _print_sec64
000000018c2250c0 (__TEXT,__text) non-external _print_string
000000018c224768 (__TEXT,__text) non-external _print_tok_type
000000018c2251cc (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018c21cac0 (__TEXT,__text) external _setac
000000018c21cb04 (__TEXT,__text) non-external _setac_locked
00000001d5c3d6e8 (__DATA,__bss) non-external _setac_locked.lastctime
000000018c21c518 (__TEXT,__text) external _setauclass
000000018c21d67c (__TEXT,__text) external _setauevent
000000018c228164 (__TEXT,__text) external _setauuser
000000018c21d4f8 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001d5c3dad8 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
