000000020ccd3d60 (__DATA,__data) non-external _.compoundliteral
0000000209f625f0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
0000000209f62730 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
0000000209f62230 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
0000000209f62330 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
0000000209f62830 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
0000000209f623a0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001e1b39778 (__TEXT,__text) external _PPParserAttachLLVMIR
00000001e1b394dc (__TEXT,__text) external _PPParserAttachStream
00000001e1b39324 (__TEXT,__text) external _PPParserAttachString
00000001e1b41f7c (__TEXT,__text) external _PPParserBuildErrorString
00000001e1b39240 (__TEXT,__text) external _PPParserCreate
00000001e1b39eb4 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001e1b40cbc (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001e1b393f8 (__TEXT,__text) external _PPParserFree
00000001e1b39b90 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001e1b42f34 (__TEXT,__text) external _PPParserGetErrorString
00000001e1b42f44 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001e1b39f08 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001e1b42f10 (__TEXT,__text) external _PPParserGetLimits
00000001e1b42f2c (__TEXT,__text) external _PPParserGetOptions
00000001e1b39c9c (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001e1b39fb4 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001e1b42f3c (__TEXT,__text) external _PPParserGetStream
00000001e1b38098 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001e1b380d8 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001e1b381a0 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001e1b38124 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001e1b4207c (__TEXT,__text) non-external _PPParserInherit
00000001e1b39298 (__TEXT,__text) external _PPParserInit
00000001e1b43060 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001e1b39474 (__TEXT,__text) non-external _PPParserLabelsFree
00000001e1b37cac (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001e1b37cd4 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001e1b37e5c (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001e1b37f44 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001e1b37de8 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001e1b37da8 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001e1b37ed8 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001e1b42ff4 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001e1b41060 (__TEXT,__text) external _PPParserParse
00000001e1b3ae30 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001e1b3ebe0 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001e1b3ff80 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001e1b40af8 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001e1b3a89c (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001e1b3d2f8 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001e1b3de28 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001e1b3a784 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001e1b3ed58 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001e1b3a96c (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001e1b3f0dc (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001e1b3e6b0 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001e1b42e64 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001e1b3abb0 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001e1b3ea8c (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001e1b40864 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001e1b4004c (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001e1b421d4 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001e1b3a0c4 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001e1b3df64 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001e1b3e580 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001e1b3b76c (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001e1b3d174 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001e1b3aa70 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001e1b3e864 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001e1b3f490 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001e1b422b0 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001e1b3f94c (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001e1b3f7b8 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001e1b3b598 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001e1b3fc60 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001e1b420c8 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001e1b383bc (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001e1b392e8 (__TEXT,__text) non-external (was a private external) _PPParserRemoveScope
00000001e1b39c1c (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001e1b39e30 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001e1b3907c (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001e1b381e0 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001e1b38fd4 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001e1b391b0 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001e1b391f8 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001e1b390d8 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001e1b39138 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveIdentifier
00000001e1b39174 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveMacro
00000001e1b42f18 (__TEXT,__text) external _PPParserSetLimits
00000001e1b42f08 (__TEXT,__text) external _PPParserSetPrefs
00000001e1b3929c (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001e1b3af98 (__TEXT,__text) non-external _PPParserValidateName
00000001e1c5b19c (__TEXT,__text) external _PPStreamAddAddressUsage
00000001e1c5b310 (__TEXT,__text) external _PPStreamAddAttribBinding
00000001e1c5b880 (__TEXT,__text) external _PPStreamAddConstant
00000001e1c5b77c (__TEXT,__text) external _PPStreamAddLabel
00000001e1c5b484 (__TEXT,__text) external _PPStreamAddOperation
00000001e1c5b978 (__TEXT,__text) external _PPStreamAddOption
00000001e1c5b38c (__TEXT,__text) external _PPStreamAddOutputBinding
00000001e1c5b218 (__TEXT,__text) external _PPStreamAddParamBinding
00000001e1c5b294 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001e1c5b8fc (__TEXT,__text) external _PPStreamAddRasterOp
00000001e1c5aed8 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001e1c5af4c (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001e1c5b0a4 (__TEXT,__text) external _PPStreamAddTempUsage
00000001e1c5b120 (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001e1c5b408 (__TEXT,__text) external _PPStreamAddTexImage
00000001e1c5c4ac (__TEXT,__text) external _PPStreamAttachStream
00000001e1c5a4c0 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001e1c5ccb0 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001e1c5a5e0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001e1c5b07c (__TEXT,__text) non-external _PPStreamChunkCreate
00000001e1c5a4e8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001e1c5a85c (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001e1c5abb0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001e1c5ac68 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001e1c5a6e0 (__TEXT,__text) external _PPStreamChunkListCreate
00000001e1c5a708 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001e1c5a894 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001e1c5acd0 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001e1c5aab0 (__TEXT,__text) external _PPStreamChunkListGetStream
00000001e1c5a960 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001e1c5a8f4 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001e1c5a9bc (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001e1c5aa18 (__TEXT,__text) external _PPStreamChunkListSort
00000001e1c5cb84 (__TEXT,__text) external _PPStreamCompare
00000001e1c5ae00 (__TEXT,__text) external _PPStreamCreate
00000001e1c5afd0 (__TEXT,__text) external _PPStreamFree
00000001e1c5b9f4 (__TEXT,__text) external _PPStreamGetStream
00000001e1c5c47c (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001e1c5b678 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001e1c5b56c (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001e1c5a4d4 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001e1c5cd64 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001e1c5a4ac (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001e1c5b828 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001e1c5d3e8 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001e1c5d2c8 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001e1b441e4 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001e1b44dd0 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001e1c5c374 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001e1c5bd40 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001e1b44f60 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001e1b44ec8 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001e1c5c458 (__TEXT,__text) external _PPStreamTokenAlloc
00000001e1b452bc (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001e1b456b8 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001e1b454fc (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001e1b455fc (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001e1c5c478 (__TEXT,__text) external _PPStreamTokenFree
00000001e1b441a4 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001e1b44140 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001e1c8a528 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001e1c8a5e8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001e1c8a6b8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
0000000209f62bf8 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001e1b45778 (__TEXT,__text) external _PPStreamTokenValidateOptions
0000000209f63930 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001e1c8b68c (__TEXT,__const) non-external _PROMOTIONS_110
00000001e1c8b690 (__TEXT,__const) non-external _PROMOTIONS_120
00000001e1c8b6c8 (__TEXT,__const) non-external _PROMOTIONS_400
00000001e1c8b6a0 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001e1c65e90 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001e1c65e08 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001e1c0d5b0 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001e1c0cef0 (__TEXT,__text) non-external (was a private external) _ReadToken
00000001e1c6dfbc (__TEXT,__text) non-external _RecordFunctionCall
00000001e1c0cd7c (__TEXT,__text) non-external (was a private external) _RecordToken
00000001e1c648e4 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001e1c64824 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001e1c63000 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001e1c62f74 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001e1c65484 (__TEXT,__text) non-external (was a private external) _Registerify
00000001e1c64510 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001e1c65634 (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001e1c65424 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001e1c62cc0 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001e1c63068 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001e1c630f8 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001e1c6a7f0 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001e1b42fac (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001e1c0cedc (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001e1c0bc5c (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001e1c0be60 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001e1c0a9fc (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001e1c0c058 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001e1bf0758 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001e1bfdc54 (__TEXT,__text) external _ShAttributeBindingRequest
00000001e1bfdba4 (__TEXT,__text) external _ShCleanup
00000001e1bfd62c (__TEXT,__text) external _ShCompile
00000001e1bfd254 (__TEXT,__text) external _ShConstructCompiler
00000001e1bfd2e0 (__TEXT,__text) external _ShConstructLinker
00000001e1bfd3a0 (__TEXT,__text) external _ShDestruct
00000001e1bfd624 (__TEXT,__text) external _ShFinalize
00000001e1bfed18 (__TEXT,__text) external _ShFragDataBindingRequest
00000001e1bfe448 (__TEXT,__text) external _ShGetActiveAttrib
00000001e1bfe110 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001e1bfe0f8 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001e1bfe0bc (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001e1bffd34 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001e1c002f4 (__TEXT,__text) external _ShGetActiveSubroutineName
00000001e1c0024c (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001e1c000f4 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001e1bffb98 (__TEXT,__text) external _ShGetActiveUniform
00000001e1bff480 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001e1bff1ec (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001e1bff6a8 (__TEXT,__text) external _ShGetActiveUniformIndex
00000001e1bff8e8 (__TEXT,__text) external _ShGetActiveUniformName
00000001e1bfe5c0 (__TEXT,__text) external _ShGetAttribLocation
00000001e1bfe34c (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001e1c00398 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001e1c003b0 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001e1bfe670 (__TEXT,__text) external _ShGetContextStateUniforms
00000001e1bfee9c (__TEXT,__text) external _ShGetFragDataLocation
00000001e1bfdbb4 (__TEXT,__text) external _ShGetInfoLog
00000001e1c003c8 (__TEXT,__text) external _ShGetInteger
00000001e1bfe938 (__TEXT,__text) external _ShGetLinkerPPStream
00000001e1bffe2c (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001e1bffe90 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001e1bff0ac (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001e1bffab0 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001e1bfe3c4 (__TEXT,__text) external _ShGetMaxAttributeLength
00000001e1bfec10 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001e1bfddd4 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001e1bff624 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001e1bffe1c (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001e1bffd98 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
