000000027065a188 (__DATA,__bss) non-external _A
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000025a52a164 (__TEXT,__text) non-external (was a private external) __ext_scan_at
000000025a52c460 (__TEXT,__text) non-external (was a private external) __scan_at
000000025a5351e8 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
000000025a545543 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
000000025a52db7c (__TEXT,__text) non-external (was a private external) __scan_autolink_email
000000025a544643 (__TEXT,__const) non-external __scan_autolink_email.yybm
000000025a52cfac (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
000000025a544543 (__TEXT,__const) non-external __scan_autolink_uri.yybm
000000025a5357d0 (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
000000025a545843 (__TEXT,__const) non-external __scan_close_code_fence.yybm
000000025a5363d0 (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
000000025a535920 (__TEXT,__text) non-external (was a private external) __scan_entity
000000025a5366e8 (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
000000025a545943 (__TEXT,__const) non-external __scan_footnote_definition.yybm
000000025a533380 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
000000025a544e43 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
000000025a533c70 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
000000025a544f43 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
000000025a534050 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
000000025a545043 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
000000025a5343dc (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
000000025a545143 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
000000025a5346e8 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
000000025a545243 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
000000025a531878 (__TEXT,__text) non-external (was a private external) __scan_html_block_start
000000025a532cfc (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
000000025a544d43 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
000000025a531660 (__TEXT,__text) non-external (was a private external) __scan_html_cdata
000000025a544c43 (__TEXT,__const) non-external __scan_html_cdata.yybm
000000025a5310b4 (__TEXT,__text) non-external (was a private external) __scan_html_comment
000000025a544943 (__TEXT,__const) non-external __scan_html_comment.yybm
000000025a531528 (__TEXT,__text) non-external (was a private external) __scan_html_declaration
000000025a544b43 (__TEXT,__const) non-external __scan_html_declaration.yybm
000000025a531240 (__TEXT,__text) non-external (was a private external) __scan_html_pi
000000025a544a43 (__TEXT,__const) non-external __scan_html_pi.yybm
000000025a530794 (__TEXT,__text) non-external (was a private external) __scan_html_tag
000000025a544743 (__TEXT,__const) non-external __scan_html_tag.yybm
000000025a530ddc (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
000000025a544843 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
000000025a534ac8 (__TEXT,__text) non-external (was a private external) __scan_link_title
000000025a545343 (__TEXT,__const) non-external __scan_link_title.yybm
000000025a5354a0 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
000000025a545743 (__TEXT,__const) non-external __scan_open_code_fence.yybm
000000025a52c4c0 (__TEXT,__text) non-external (was a private external) __scan_scheme
000000025a535320 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
000000025a545643 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
000000025a5351ac (__TEXT,__text) non-external (was a private external) __scan_spacechars
000000025a545443 (__TEXT,__const) non-external __scan_spacechars.yybm
000000025a52a3a8 (__TEXT,__text) non-external (was a private external) __scan_table_cell
000000025a544243 (__TEXT,__const) non-external __scan_table_cell.yybm
000000025a52a664 (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
000000025a52a6a0 (__TEXT,__text) non-external (was a private external) __scan_table_row_end
000000025a544343 (__TEXT,__const) non-external __scan_table_row_end.yybm
000000025a52a1bc (__TEXT,__text) non-external (was a private external) __scan_table_start
000000025a544143 (__TEXT,__const) non-external __scan_table_start.yybm
000000025a52a750 (__TEXT,__text) non-external (was a private external) __scan_tasklist
000000025a544443 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
000000025a5394a4 (__TEXT,__text) non-external _add_child
000000025a543370 (__TEXT,__text) non-external _add_child.cold.1
000000025a539c20 (__TEXT,__text) non-external _add_line
000000025a5433f4 (__TEXT,__text) non-external _add_line.cold.1
000000025a53f1bc (__TEXT,__text) non-external _adjust_subj_node_newlines
000000025a542acc (__TEXT,__text) non-external _alloc_arena_chunk
000000025a542c74 (__TEXT,__text) non-external _arena_calloc
000000025a542db8 (__TEXT,__text) non-external _arena_free
000000027065a148 (__DATA,__bss) non-external _arena_lock
0000000270659f60 (__DATA,__data) non-external _arena_once
000000025a542d5c (__TEXT,__text) non-external _arena_realloc
000000025a529680 (__TEXT,__text) non-external _autolink_delim
000000026ba263b0 (__DATA_CONST,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _bzero (from libSystem)
000000025a527f78 (__TEXT,__text) non-external _can_contain
000000025a52acdc (__TEXT,__text) non-external _can_contain
000000025a541210 (__TEXT,__text) non-external _can_contain
000000025a529574 (__TEXT,__text) non-external _check_domain
000000025a53f498 (__TEXT,__text) non-external _chunk_clone
000000025a542b48 (__TEXT,__text) external _cmark_arena_pop
000000025a542a50 (__TEXT,__text) external _cmark_arena_push
000000025a542be4 (__TEXT,__text) external _cmark_arena_reset
000000025a5405f4 (__TEXT,__text) non-external _cmark_chunk_to_cstr
000000025a53ba0c (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
000000025a53b954 (__TEXT,__text) non-external (was a private external) _cmark_clean_title
000000025a53b86c (__TEXT,__text) non-external (was a private external) _cmark_clean_url
000000025a5432c0 (__TEXT,__text) non-external _cmark_clean_url.cold.1
000000025a543480 (__TEXT,__text) non-external _cmark_clean_url.cold.2
000000025a52b1cc (__TEXT,__text) external _cmark_consolidate_text_nodes
000000025a544043 (__TEXT,__const) non-external _cmark_ctype_class
000000025a539cd8 (__TEXT,__text) external _cmark_enable_safety_checks
000000026ba1dee0 (__DATA_CONST,__const) non-external _cmark_entities
000000025a529a9c (__TEXT,__text) external _cmark_find_syntax_extension
000000025a536818 (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
000000025a543184 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
000000025a536898 (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
000000025a542dbc (__TEXT,__text) external _cmark_get_arena_mem_allocator
000000025a526a88 (__TEXT,__text) external _cmark_get_default_mem_allocator
000000025a536940 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
000000025a54229c (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
000000025a5423d4 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
000000025a54240c (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
000000025a542274 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
000000025a542370 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
000000025a527ccc (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
000000025a5422f4 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
000000025a542444 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
000000025a542478 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
000000025a5422c4 (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
000000025a54239c (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
000000025a527c70 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
000000025a539dc8 (__TEXT,__text) external _cmark_init_standard_node_flags
000000025a53f060 (__TEXT,__text) external _cmark_inline_parser_advance_offset
000000025a53f098 (__TEXT,__text) external _cmark_inline_parser_get_chunk
000000025a53f080 (__TEXT,__text) external _cmark_inline_parser_get_column
000000025a53f124 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
000000025a53f12c (__TEXT,__text) external _cmark_inline_parser_get_line
000000025a53f070 (__TEXT,__text) external _cmark_inline_parser_get_offset
000000025a53f0a0 (__TEXT,__text) external _cmark_inline_parser_in_bracket
000000025a53ed04 (__TEXT,__text) external _cmark_inline_parser_is_eof
000000025a53ecf8 (__TEXT,__text) external _cmark_inline_parser_peek_at
000000025a53ecc0 (__TEXT,__text) external _cmark_inline_parser_peek_char
000000025a5434ac (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
000000025a53ede8 (__TEXT,__text) external _cmark_inline_parser_push_delimiter
000000025a53ee74 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
000000025a53ee78 (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
000000025a5434ac (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
000000025a53f078 (__TEXT,__text) external _cmark_inline_parser_set_offset
000000025a53ed18 (__TEXT,__text) external _cmark_inline_parser_take_while
000000025a5434ac (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
000000025a53ba74 (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
000000025a53ba94 (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
000000025a527c18 (__TEXT,__text) external _cmark_isalnum
000000025a527c54 (__TEXT,__text) external _cmark_isalpha
000000025a527c38 (__TEXT,__text) external _cmark_isdigit
000000025a527bfc (__TEXT,__text) external _cmark_ispunct
000000025a527be0 (__TEXT,__text) external _cmark_isspace
000000025a52b0c4 (__TEXT,__text) external _cmark_iter_free
000000025a52b1bc (__TEXT,__text) external _cmark_iter_get_event_type
000000025a52b1b4 (__TEXT,__text) external _cmark_iter_get_node
000000025a52b1c4 (__TEXT,__text) external _cmark_iter_get_root
000000025a52b070 (__TEXT,__text) external _cmark_iter_new
000000025a52b0d0 (__TEXT,__text) external _cmark_iter_next
000000025a54312c (__TEXT,__text) non-external _cmark_iter_next.cold.1
000000025a52b1a8 (__TEXT,__text) external _cmark_iter_reset
000000025a529a08 (__TEXT,__text) external _cmark_list_syntax_extensions
000000025a52c364 (__TEXT,__text) external _cmark_llist_append
000000025a52c420 (__TEXT,__text) external _cmark_llist_free
000000025a52c3c0 (__TEXT,__text) external _cmark_llist_free_full
000000025a5379a8 (__TEXT,__text) external _cmark_manage_extensions_special_characters
000000025a536be4 (__TEXT,__text) non-external (was a private external) _cmark_map_free
000000025a536a68 (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
000000025a536c58 (__TEXT,__text) non-external (was a private external) _cmark_map_new
000000025a526a94 (__TEXT,__text) external _cmark_markdown_to_html
000000025a53b5d4 (__TEXT,__text) external _cmark_node_append_child
000000025a539dcc (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
000000025a53b630 (__TEXT,__text) non-external (was a private external) _cmark_node_check
000000025a53a514 (__TEXT,__text) external _cmark_node_first_child
000000025a539fac (__TEXT,__text) external _cmark_node_free
000000025a53af64 (__TEXT,__text) external _cmark_node_get_attributes
000000025a53a6d8 (__TEXT,__text) external _cmark_node_get_backtick_count
000000025a53b414 (__TEXT,__text) external _cmark_node_get_end_column
000000025a53b408 (__TEXT,__text) external _cmark_node_get_end_line
000000025a53aa80 (__TEXT,__text) external _cmark_node_get_fence_info
000000025a53abf0 (__TEXT,__text) external _cmark_node_get_fenced
000000025a53a85c (__TEXT,__text) external _cmark_node_get_heading_level
000000025a53aa28 (__TEXT,__text) external _cmark_node_get_item_index
000000025a53a91c (__TEXT,__text) external _cmark_node_get_list_delim
000000025a53a97c (__TEXT,__text) external _cmark_node_get_list_start
000000025a53a9d4 (__TEXT,__text) external _cmark_node_get_list_tight
000000025a53a8bc (__TEXT,__text) external _cmark_node_get_list_type
000000025a53a594 (__TEXT,__text) external _cmark_node_get_literal
000000025a53b0d4 (__TEXT,__text) external _cmark_node_get_on_enter
000000025a53b254 (__TEXT,__text) external _cmark_node_get_on_exit
000000025a53b3fc (__TEXT,__text) external _cmark_node_get_start_column
000000025a53b3f0 (__TEXT,__text) external _cmark_node_get_start_line
000000025a53a838 (__TEXT,__text) external _cmark_node_get_string_content
000000025a53b3d4 (__TEXT,__text) external _cmark_node_get_syntax_extension
000000025a53ade4 (__TEXT,__text) external _cmark_node_get_title
000000025a53a0a4 (__TEXT,__text) external _cmark_node_get_type
000000025a53a2f4 (__TEXT,__text) external _cmark_node_get_type_string
000000025a53ac64 (__TEXT,__text) external _cmark_node_get_url
000000025a53a568 (__TEXT,__text) external _cmark_node_get_user_data
000000025a53b4c4 (__TEXT,__text) external _cmark_node_insert_after
000000025a53b44c (__TEXT,__text) external _cmark_node_insert_before
000000025a53a520 (__TEXT,__text) external _cmark_node_last_child
000000025a539f9c (__TEXT,__text) external _cmark_node_new
000000025a539f84 (__TEXT,__text) external _cmark_node_new_with_ext
000000025a539f94 (__TEXT,__text) external _cmark_node_new_with_mem
000000025a539ec4 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
000000025a53a4f0 (__TEXT,__text) external _cmark_node_next
000000025a53a52c (__TEXT,__text) external _cmark_node_nth_child
000000025a52b344 (__TEXT,__text) external _cmark_node_own
000000025a53a508 (__TEXT,__text) external _cmark_node_parent
000000025a53a55c (__TEXT,__text) external _cmark_node_parent_footnote_def
000000025a53b578 (__TEXT,__text) external _cmark_node_prepend_child
000000025a53a4fc (__TEXT,__text) external _cmark_node_previous
000000025a53b53c (__TEXT,__text) external _cmark_node_replace
000000025a53b004 (__TEXT,__text) external _cmark_node_set_attributes
000000025a53ab20 (__TEXT,__text) external _cmark_node_set_fence_info
000000025a53ac2c (__TEXT,__text) external _cmark_node_set_fenced
000000025a53a880 (__TEXT,__text) external _cmark_node_set_heading_level
000000025a53aa4c (__TEXT,__text) external _cmark_node_set_item_index
000000025a53a940 (__TEXT,__text) external _cmark_node_set_list_delim
000000025a53a9a0 (__TEXT,__text) external _cmark_node_set_list_start
000000025a53a9f8 (__TEXT,__text) external _cmark_node_set_list_tight
000000025a53a8e0 (__TEXT,__text) external _cmark_node_set_list_type
000000025a53a6e0 (__TEXT,__text) external _cmark_node_set_literal
000000025a53b17c (__TEXT,__text) external _cmark_node_set_on_enter
000000025a53b2fc (__TEXT,__text) external _cmark_node_set_on_exit
000000025a53a840 (__TEXT,__text) external _cmark_node_set_string_content
000000025a53b3e0 (__TEXT,__text) external _cmark_node_set_syntax_extension
000000025a53ae8c (__TEXT,__text) external _cmark_node_set_title
000000025a53a0b0 (__TEXT,__text) external _cmark_node_set_type
000000025a53ad0c (__TEXT,__text) external _cmark_node_set_url
000000025a53a574 (__TEXT,__text) external _cmark_node_set_user_data
000000025a53a584 (__TEXT,__text) external _cmark_node_set_user_data_free_func
000000025a53b420 (__TEXT,__text) external _cmark_node_unlink
000000025a53f0dc (__TEXT,__text) external _cmark_node_unput
000000025a538190 (__TEXT,__text) external _cmark_parse_document
000000025a537a28 (__TEXT,__text) external _cmark_parse_file
000000025a53bab0 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
000000025a53ea54 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
000000025a53e290 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
000000025a5434ac (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
000000025a5394a0 (__TEXT,__text) external _cmark_parser_add_child
000000025a539584 (__TEXT,__text) external _cmark_parser_advance_offset
000000025a537694 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
000000025a537958 (__TEXT,__text) non-external _cmark_parser_dispose
000000025a5381f8 (__TEXT,__text) external _cmark_parser_feed
000000025a538200 (__TEXT,__text) external _cmark_parser_feed_reentrant
000000025a537cd8 (__TEXT,__text) external _cmark_parser_finish
000000025a5378cc (__TEXT,__text) external _cmark_parser_free
000000025a539468 (__TEXT,__text) external _cmark_parser_get_column
000000025a539470 (__TEXT,__text) external _cmark_parser_get_first_nonspace
000000025a539478 (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
000000025a539480 (__TEXT,__text) external _cmark_parser_get_indent
000000025a539498 (__TEXT,__text) external _cmark_parser_get_last_line_length
000000025a539458 (__TEXT,__text) external _cmark_parser_get_line_number
000000025a539460 (__TEXT,__text) external _cmark_parser_get_offset
000000025a539694 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
000000025a539490 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
000000025a539488 (__TEXT,__text) external _cmark_parser_is_blank
000000025a5378c0 (__TEXT,__text) external _cmark_parser_new
000000025a537754 (__TEXT,__text) external _cmark_parser_new_with_mem
000000025a5377c0 (__TEXT,__text) non-external _cmark_parser_reset
000000025a53968c (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
000000025a52ab0c (__TEXT,__text) external _cmark_plugin_free
000000025a52aadc (__TEXT,__text) external _cmark_plugin_new
000000025a52aaa0 (__TEXT,__text) external _cmark_plugin_register_syntax_extension
000000025a52ab68 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
000000025a537460 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
000000025a543268 (__TEXT,__text) non-external _cmark_reference_create.cold.1
000000025a537524 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
000000025a543294 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
000000025a5375d4 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
000000025a539d40 (__TEXT,__text) external _cmark_register_node_flag
000000025a543420 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
000000025a543450 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
0000000270659e58 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
000000025a5298a8 (__TEXT,__text) external _cmark_register_plugin
000000025a529980 (__TEXT,__text) external _cmark_release_plugins
000000025a529bb8 (__TEXT,__text) non-external (was a private external) _cmark_render
000000025a529b38 (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
000000025a529b7c (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
000000025a5256c8 (__TEXT,__text) external _cmark_render_commonmark
000000025a525704 (__TEXT,__text) external _cmark_render_commonmark_with_mem
000000025a526ad8 (__TEXT,__text) external _cmark_render_html
000000025a526ae0 (__TEXT,__text) external _cmark_render_html_with_mem
000000025a543050 (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
000000025a52b550 (__TEXT,__text) external _cmark_render_latex
000000025a52b584 (__TEXT,__text) external _cmark_render_latex_with_mem
000000025a5281ec (__TEXT,__text) external _cmark_render_man
000000025a528220 (__TEXT,__text) external _cmark_render_man_with_mem
000000025a53ffb0 (__TEXT,__text) external _cmark_render_plaintext
000000025a53ffec (__TEXT,__text) external _cmark_render_plaintext_with_mem
000000025a53f508 (__TEXT,__text) external _cmark_render_xml
000000025a53f510 (__TEXT,__text) external _cmark_render_xml_with_mem
000000025a53b808 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
000000027065a040 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
000000025a53ba10 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
0000000270659e5a (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
000000027065a194 (__DATA,__common) external _cmark_strbuf__initbuf
000000025a536dcc (__TEXT,__text) external _cmark_strbuf_clear
000000025a5370b4 (__TEXT,__text) external _cmark_strbuf_cmp
000000025a536fec (__TEXT,__text) external _cmark_strbuf_copy_cstr
000000025a54323c (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
000000025a537080 (__TEXT,__text) external _cmark_strbuf_detach
000000025a5371c8 (__TEXT,__text) external _cmark_strbuf_drop
000000025a536d80 (__TEXT,__text) external _cmark_strbuf_free
000000025a536d00 (__TEXT,__text) external _cmark_strbuf_grow
000000025a5431dc (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
000000025a543208 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
000000025a536cd8 (__TEXT,__text) external _cmark_strbuf_init
000000025a536d78 (__TEXT,__text) external _cmark_strbuf_len
000000025a537310 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
000000025a536f30 (__TEXT,__text) external _cmark_strbuf_put
000000025a536ee0 (__TEXT,__text) external _cmark_strbuf_putc
000000025a536fa4 (__TEXT,__text) external _cmark_strbuf_puts
000000025a53722c (__TEXT,__text) external _cmark_strbuf_rtrim
000000025a536de8 (__TEXT,__text) external _cmark_strbuf_set
000000025a536e8c (__TEXT,__text) external _cmark_strbuf_sets
000000025a537108 (__TEXT,__text) external _cmark_strbuf_strchr
000000025a53715c (__TEXT,__text) external _cmark_strbuf_strrchr
000000025a537054 (__TEXT,__text) external _cmark_strbuf_swap
000000025a537288 (__TEXT,__text) external _cmark_strbuf_trim
000000025a5371a8 (__TEXT,__text) external _cmark_strbuf_truncate
000000025a5373bc (__TEXT,__text) external _cmark_strbuf_unescape
000000025a5289a4 (__TEXT,__text) external _cmark_syntax_extension_add_node
000000025a5430a8 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
000000025a5288cc (__TEXT,__text) external _cmark_syntax_extension_free
000000025a528a88 (__TEXT,__text) external _cmark_syntax_extension_get_private
000000025a528938 (__TEXT,__text) external _cmark_syntax_extension_new
000000025a528a2c (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
000000025a528aa0 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
000000025a528a3c (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
000000025a528a34 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
000000025a5289ec (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
000000025a528a24 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
000000025a528a6c (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
000000025a528a64 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
000000025a528a14 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
000000025a528a4c (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
000000025a528a5c (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
000000025a528a04 (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
000000025a528a0c (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
000000025a528a90 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
