00000001cf926f04 (__TEXT,__text) external _CGLGetCurrentContext
00000001cf91d9ec (__TEXT,__text) external _glClipPlane
00000001cf91da08 (__TEXT,__text) external _glColor3b
00000001cf91da28 (__TEXT,__text) external _glColor3bv
00000001cf91da40 (__TEXT,__text) external _glColor3d
00000001cf91da54 (__TEXT,__text) external _glColor3dv
00000001cf91da6c (__TEXT,__text) external _glColor3f
00000001cf91da80 (__TEXT,__text) external _glColor3fv
00000001cf91da98 (__TEXT,__text) external _glColor3i
00000001cf91dab8 (__TEXT,__text) external _glColor3iv
00000001cf91dad0 (__TEXT,__text) external _glColor3s
00000001cf91daf0 (__TEXT,__text) external _glColor3sv
00000001cf91db08 (__TEXT,__text) external _glColor3ub
00000001cf91db28 (__TEXT,__text) external _glColor3ubv
00000001cf91db40 (__TEXT,__text) external _glColor3ui
00000001cf91db60 (__TEXT,__text) external _glColor3uiv
00000001cf91db78 (__TEXT,__text) external _glColor3us
00000001cf91db98 (__TEXT,__text) external _glColor3usv
00000001cf91dbb0 (__TEXT,__text) external _glColor4b
00000001cf91dbd4 (__TEXT,__text) external _glColor4bv
00000001cf91dbec (__TEXT,__text) external _glColor4d
00000001cf91dc00 (__TEXT,__text) external _glColor4dv
00000001cf91dc18 (__TEXT,__text) external _glColor4f
00000001cf91dc2c (__TEXT,__text) external _glColor4fv
00000001cf91dc44 (__TEXT,__text) external _glColor4i
00000001cf91dc68 (__TEXT,__text) external _glColor4iv
00000001cf91dc80 (__TEXT,__text) external _glColor4s
00000001cf91dca4 (__TEXT,__text) external _glColor4sv
00000001cf91dcbc (__TEXT,__text) external _glColor4ub
00000001cf91dce0 (__TEXT,__text) external _glColor4ubv
00000001cf91dcf8 (__TEXT,__text) external _glColor4ui
00000001cf91dd1c (__TEXT,__text) external _glColor4uiv
00000001cf91dd34 (__TEXT,__text) external _glColor4us
00000001cf91dd58 (__TEXT,__text) external _glColor4usv
00000001cf91dd70 (__TEXT,__text) external _glColorMask
00000001cf92673c (__TEXT,__text) external _glColorMaskIndexedEXT
00000001cf921f28 (__TEXT,__text) external _glColorMaski
00000001cf91dd94 (__TEXT,__text) external _glColorMaterial
00000001cf91ddb0 (__TEXT,__text) external _glColorPointer
00000001cf91fefc (__TEXT,__text) external _glColorSubTable
00000001cf9259e4 (__TEXT,__text) external _glColorSubTableEXT
00000001cf91fe04 (__TEXT,__text) external _glColorTable
00000001cf9259b8 (__TEXT,__text) external _glColorTableEXT
00000001cf91fe30 (__TEXT,__text) external _glColorTableParameterfv
00000001cf91fe50 (__TEXT,__text) external _glColorTableParameteriv
00000001cf926eb0 (__TEXT,__text) external _glCombinerInputNV
00000001cf926eb4 (__TEXT,__text) external _glCombinerOutputNV
00000001cf926ea4 (__TEXT,__text) external _glCombinerParameterfNV
00000001cf926ea0 (__TEXT,__text) external _glCombinerParameterfvNV
00000001cf926eac (__TEXT,__text) external _glCombinerParameteriNV
00000001cf926ea8 (__TEXT,__text) external _glCombinerParameterivNV
00000001cf926ed4 (__TEXT,__text) external _glCombinerStageParameterfvNV
00000001cf921524 (__TEXT,__text) external _glCompileShader
00000001cf92522c (__TEXT,__text) external _glCompileShaderARB
00000001cf925830 (__TEXT,__text) external _glCompileShaderIncludeARB
00000001cf920774 (__TEXT,__text) external _glCompressedTexImage1D
00000001cf924c60 (__TEXT,__text) external _glCompressedTexImage1DARB
00000001cf920720 (__TEXT,__text) external _glCompressedTexImage2D
00000001cf924c0c (__TEXT,__text) external _glCompressedTexImage2DARB
00000001cf9206c4 (__TEXT,__text) external _glCompressedTexImage3D
00000001cf924bb0 (__TEXT,__text) external _glCompressedTexImage3DARB
00000001cf920864 (__TEXT,__text) external _glCompressedTexSubImage1D
00000001cf924d50 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00000001cf920808 (__TEXT,__text) external _glCompressedTexSubImage2D
00000001cf924cf4 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00000001cf9207a4 (__TEXT,__text) external _glCompressedTexSubImage3D
00000001cf924c90 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00000001cf91ff50 (__TEXT,__text) external _glConvolutionFilter1D
00000001cf91ff7c (__TEXT,__text) external _glConvolutionFilter2D
00000001cf91ffac (__TEXT,__text) external _glConvolutionParameterf
00000001cf91ffc8 (__TEXT,__text) external _glConvolutionParameterfv
00000001cf91ffe8 (__TEXT,__text) external _glConvolutionParameteri
00000001cf920008 (__TEXT,__text) external _glConvolutionParameteriv
00000001cf922640 (__TEXT,__text) external _glCopyBufferSubData
00000001cf91ff28 (__TEXT,__text) external _glCopyColorSubTable
00000001cf91fe70 (__TEXT,__text) external _glCopyColorTable
00000001cf920028 (__TEXT,__text) external _glCopyConvolutionFilter1D
00000001cf920050 (__TEXT,__text) external _glCopyConvolutionFilter2D
00000001cf91ddd4 (__TEXT,__text) external _glCopyPixels
00000001cf91ddfc (__TEXT,__text) external _glCopyTexImage1D
00000001cf91de2c (__TEXT,__text) external _glCopyTexImage2D
00000001cf91de80 (__TEXT,__text) external _glCopyTexSubImage1D
00000001cf91deac (__TEXT,__text) external _glCopyTexSubImage2D
00000001cf91fdac (__TEXT,__text) external _glCopyTexSubImage3D
00000001cf921540 (__TEXT,__text) external _glCreateProgram
00000001cf925244 (__TEXT,__text) external _glCreateProgramObjectARB
00000001cf9214d0 (__TEXT,__text) external _glCreateShader
00000001cf9251f0 (__TEXT,__text) external _glCreateShaderObjectARB
00000001cf9234d0 (__TEXT,__text) external _glCreateShaderProgramv
00000001cf91df00 (__TEXT,__text) external _glCullFace
00000001cf920e74 (__TEXT,__text) external _glDeleteBuffers
00000001cf925074 (__TEXT,__text) external _glDeleteBuffersARB
00000001cf926a08 (__TEXT,__text) external _glDeleteFencesAPPLE
00000001cf921ca4 (__TEXT,__text) external _glDeleteFramebuffers
00000001cf925e80 (__TEXT,__text) external _glDeleteFramebuffersEXT
00000001cf91df18 (__TEXT,__text) external _glDeleteLists
00000001cf925814 (__TEXT,__text) external _glDeleteNamedStringARB
00000001cf9251a4 (__TEXT,__text) external _glDeleteObjectARB
00000001cf9215c4 (__TEXT,__text) external _glDeleteProgram
00000001cf923508 (__TEXT,__text) external _glDeleteProgramPipelines
00000001cf923f38 (__TEXT,__text) external _glDeleteProgramsARB
00000001cf920d90 (__TEXT,__text) external _glDeleteQueries
00000001cf924f90 (__TEXT,__text) external _glDeleteQueriesARB
00000001cf921bf4 (__TEXT,__text) external _glDeleteRenderbuffers
00000001cf925dd0 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00000001cf922ad8 (__TEXT,__text) external _glDeleteSamplers
00000001cf921490 (__TEXT,__text) external _glDeleteShader
00000001cf9228e4 (__TEXT,__text) external _glDeleteSync
00000001cf91df34 (__TEXT,__text) external _glDeleteTextures
00000001cf9231f4 (__TEXT,__text) external _glDeleteTransformFeedbacks
00000001cf921ed8 (__TEXT,__text) external _glDeleteVertexArrays
00000001cf926b28 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00000001cf9259a4 (__TEXT,__text) external _glDepthBoundsEXT
00000001cf91df50 (__TEXT,__text) external _glDepthFunc
00000001cf91df68 (__TEXT,__text) external _glDepthMask
00000001cf91df80 (__TEXT,__text) external _glDepthRange
00000001cf923ea4 (__TEXT,__text) external _glDepthRangeArrayv
00000001cf923ec4 (__TEXT,__text) external _glDepthRangeIndexed
00000001cf923400 (__TEXT,__text) external _glDepthRangef
00000001cf9251d4 (__TEXT,__text) external _glDetachObjectARB
00000001cf9214ac (__TEXT,__text) external _glDetachShader
00000001cf91df94 (__TEXT,__text) external _glDisable
00000001cf91dfac (__TEXT,__text) external _glDisableClientState
00000001cf926780 (__TEXT,__text) external _glDisableIndexedEXT
00000001cf9268c4 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00000001cf9213f8 (__TEXT,__text) external _glDisableVertexAttribArray
00000001cf9243c0 (__TEXT,__text) external _glDisableVertexAttribArrayARB
00000001cf921fac (__TEXT,__text) external _glDisablei
00000001cf91dfc4 (__TEXT,__text) external _glDrawArrays
00000001cf922dfc (__TEXT,__text) external _glDrawArraysIndirect
00000001cf922764 (__TEXT,__text) external _glDrawArraysInstanced
00000001cf925708 (__TEXT,__text) external _glDrawArraysInstancedARB
00000001cf91dfe4 (__TEXT,__text) external _glDrawBuffer
00000001cf920fa4 (__TEXT,__text) external _glDrawBuffers
00000001cf9256b4 (__TEXT,__text) external _glDrawBuffersARB
00000001cf926b94 (__TEXT,__text) external _glDrawElementArrayAPPLE
00000001cf91dffc (__TEXT,__text) external _glDrawElements
00000001cf9227e8 (__TEXT,__text) external _glDrawElementsBaseVertex
00000001cf922e18 (__TEXT,__text) external _glDrawElementsIndirect
00000001cf922788 (__TEXT,__text) external _glDrawElementsInstanced
00000001cf92572c (__TEXT,__text) external _glDrawElementsInstancedARB
00000001cf922840 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00000001cf91e020 (__TEXT,__text) external _glDrawPixels
00000001cf926bb4 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00000001cf91fcd8 (__TEXT,__text) external _glDrawRangeElements
00000001cf922810 (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00000001cf925cb8 (__TEXT,__text) external _glDrawRangeElementsEXT
00000001cf92326c (__TEXT,__text) external _glDrawTransformFeedback
00000001cf923288 (__TEXT,__text) external _glDrawTransformFeedbackStream
00000001cf91e048 (__TEXT,__text) external _glEdgeFlag
00000001cf91e060 (__TEXT,__text) external _glEdgeFlagPointer
00000001cf91e07c (__TEXT,__text) external _glEdgeFlagv
00000001cf926b78 (__TEXT,__text) external _glElementPointerAPPLE
00000001cf91e094 (__TEXT,__text) external _glEnable
00000001cf91e0ac (__TEXT,__text) external _glEnableClientState
00000001cf926764 (__TEXT,__text) external _glEnableIndexedEXT
00000001cf9268a8 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00000001cf9213e0 (__TEXT,__text) external _glEnableVertexAttribArray
00000001cf9243a8 (__TEXT,__text) external _glEnableVertexAttribArrayARB
00000001cf921f90 (__TEXT,__text) external _glEnablei
00000001cf91e0c4 (__TEXT,__text) external _glEnd
00000001cf9220e4 (__TEXT,__text) external _glEndConditionalRender
00000001cf926e40 (__TEXT,__text) external _glEndConditionalRenderNV
00000001cf91e0d8 (__TEXT,__text) external _glEndList
00000001cf920de0 (__TEXT,__text) external _glEndQuery
00000001cf924fe0 (__TEXT,__text) external _glEndQueryARB
00000001cf9232c8 (__TEXT,__text) external _glEndQueryIndexed
00000001cf921ffc (__TEXT,__text) external _glEndTransformFeedback
00000001cf926148 (__TEXT,__text) external _glEndTransformFeedbackEXT
00000001cf91e0ec (__TEXT,__text) external _glEvalCoord1d
00000001cf91e100 (__TEXT,__text) external _glEvalCoord1dv
00000001cf91e118 (__TEXT,__text) external _glEvalCoord1f
00000001cf91e12c (__TEXT,__text) external _glEvalCoord1fv
00000001cf91e144 (__TEXT,__text) external _glEvalCoord2d
00000001cf91e158 (__TEXT,__text) external _glEvalCoord2dv
00000001cf91e170 (__TEXT,__text) external _glEvalCoord2f
00000001cf91e184 (__TEXT,__text) external _glEvalCoord2fv
00000001cf91e19c (__TEXT,__text) external _glEvalMesh1
00000001cf91e1bc (__TEXT,__text) external _glEvalMesh2
00000001cf91e1e4 (__TEXT,__text) external _glEvalPoint1
00000001cf91e1fc (__TEXT,__text) external _glEvalPoint2
00000001cf91e218 (__TEXT,__text) external _glFeedbackBuffer
00000001cf9228b0 (__TEXT,__text) external _glFenceSync
00000001cf926eb8 (__TEXT,__text) external _glFinalCombinerInputNV
00000001cf91e238 (__TEXT,__text) external _glFinish
00000001cf926a6c (__TEXT,__text) external _glFinishFenceAPPLE
00000001cf926aa0 (__TEXT,__text) external _glFinishObjectAPPLE
00000001cf926c40 (__TEXT,__text) external _glFinishRenderAPPLE
00000001cf91e24c (__TEXT,__text) external _glFlush
00000001cf921ea0 (__TEXT,__text) external _glFlushMappedBufferRange
00000001cf926c88 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00000001cf926c2c (__TEXT,__text) external _glFlushRenderAPPLE
00000001cf926ad8 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00000001cf920924 (__TEXT,__text) external _glFogCoordPointer
00000001cf925c98 (__TEXT,__text) external _glFogCoordPointerEXT
00000001cf9208f8 (__TEXT,__text) external _glFogCoordd
00000001cf925c6c (__TEXT,__text) external _glFogCoorddEXT
00000001cf92090c (__TEXT,__text) external _glFogCoorddv
00000001cf925c80 (__TEXT,__text) external _glFogCoorddvEXT
00000001cf9208cc (__TEXT,__text) external _glFogCoordf
00000001cf925c40 (__TEXT,__text) external _glFogCoordfEXT
00000001cf9208e0 (__TEXT,__text) external _glFogCoordfv
00000001cf925c54 (__TEXT,__text) external _glFogCoordfvEXT
00000001cf91e260 (__TEXT,__text) external _glFogf
00000001cf91e278 (__TEXT,__text) external _glFogfv
00000001cf91e294 (__TEXT,__text) external _glFogi
00000001cf91e2b0 (__TEXT,__text) external _glFogiv
00000001cf921d70 (__TEXT,__text) external _glFramebufferRenderbuffer
00000001cf925f4c (__TEXT,__text) external _glFramebufferRenderbufferEXT
00000001cf922a58 (__TEXT,__text) external _glFramebufferTexture
00000001cf921cf4 (__TEXT,__text) external _glFramebufferTexture1D
00000001cf925ed0 (__TEXT,__text) external _glFramebufferTexture1DEXT
00000001cf921d1c (__TEXT,__text) external _glFramebufferTexture2D
00000001cf925ef8 (__TEXT,__text) external _glFramebufferTexture2DEXT
00000001cf921d44 (__TEXT,__text) external _glFramebufferTexture3D
00000001cf925f20 (__TEXT,__text) external _glFramebufferTexture3DEXT
00000001cf926050 (__TEXT,__text) external _glFramebufferTextureEXT
00000001cf92609c (__TEXT,__text) external _glFramebufferTextureFaceEXT
00000001cf921e54 (__TEXT,__text) external _glFramebufferTextureLayer
00000001cf926074 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00000001cf91e2cc (__TEXT,__text) external _glFrontFace
00000001cf91e2e4 (__TEXT,__text) external _glFrustum
00000001cf920e90 (__TEXT,__text) external _glGenBuffers
00000001cf925090 (__TEXT,__text) external _glGenBuffersARB
00000001cf9269ec (__TEXT,__text) external _glGenFencesAPPLE
00000001cf921cc0 (__TEXT,__text) external _glGenFramebuffers
00000001cf925e9c (__TEXT,__text) external _glGenFramebuffersEXT
00000001cf91e2f8 (__TEXT,__text) external _glGenLists
00000001cf923524 (__TEXT,__text) external _glGenProgramPipelines
00000001cf923f54 (__TEXT,__text) external _glGenProgramsARB
00000001cf920d74 (__TEXT,__text) external _glGenQueries
00000001cf924f74 (__TEXT,__text) external _glGenQueriesARB
00000001cf921c10 (__TEXT,__text) external _glGenRenderbuffers
00000001cf925dec (__TEXT,__text) external _glGenRenderbuffersEXT
00000001cf922abc (__TEXT,__text) external _glGenSamplers
00000001cf91e310 (__TEXT,__text) external _glGenTextures
00000001cf923210 (__TEXT,__text) external _glGenTransformFeedbacks
00000001cf921ef4 (__TEXT,__text) external _glGenVertexArrays
00000001cf926b44 (__TEXT,__text) external _glGenVertexArraysAPPLE
00000001cf921db8 (__TEXT,__text) external _glGenerateMipmap
00000001cf925f94 (__TEXT,__text) external _glGenerateMipmapEXT
00000001cf921a14 (__TEXT,__text) external _glGetActiveAttrib
00000001cf925668 (__TEXT,__text) external _glGetActiveAttribARB
00000001cf923110 (__TEXT,__text) external _glGetActiveSubroutineName
00000001cf9230e4 (__TEXT,__text) external _glGetActiveSubroutineUniformName
00000001cf9230bc (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00000001cf92194c (__TEXT,__text) external _glGetActiveUniform
00000001cf9255b4 (__TEXT,__text) external _glGetActiveUniformARB
00000001cf92271c (__TEXT,__text) external _glGetActiveUniformBlockName
00000001cf9226f8 (__TEXT,__text) external _glGetActiveUniformBlockiv
00000001cf9226b4 (__TEXT,__text) external _glGetActiveUniformName
00000001cf92268c (__TEXT,__text) external _glGetActiveUniformsiv
00000001cf925574 (__TEXT,__text) external _glGetAttachedObjectsARB
00000001cf9218c0 (__TEXT,__text) external _glGetAttachedShaders
00000001cf921a48 (__TEXT,__text) external _glGetAttribLocation
00000001cf925698 (__TEXT,__text) external _glGetAttribLocationARB
00000001cf9261d0 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00000001cf921f50 (__TEXT,__text) external _glGetBooleani_v
00000001cf91e32c (__TEXT,__text) external _glGetBooleanv
00000001cf922a38 (__TEXT,__text) external _glGetBufferParameteri64v
00000001cf920f64 (__TEXT,__text) external _glGetBufferParameteriv
00000001cf925164 (__TEXT,__text) external _glGetBufferParameterivARB
00000001cf920f84 (__TEXT,__text) external _glGetBufferPointerv
00000001cf925184 (__TEXT,__text) external _glGetBufferPointervARB
00000001cf920f0c (__TEXT,__text) external _glGetBufferSubData
00000001cf92510c (__TEXT,__text) external _glGetBufferSubDataARB
00000001cf91e348 (__TEXT,__text) external _glGetClipPlane
00000001cf91fe98 (__TEXT,__text) external _glGetColorTable
00000001cf925a10 (__TEXT,__text) external _glGetColorTableEXT
00000001cf91febc (__TEXT,__text) external _glGetColorTableParameterfv
00000001cf925a34 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00000001cf91fedc (__TEXT,__text) external _glGetColorTableParameteriv
00000001cf925a54 (__TEXT,__text) external _glGetColorTableParameterivEXT
00000001cf926ebc (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00000001cf926ec0 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00000001cf926ec4 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00000001cf926ec8 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00000001cf926ed8 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00000001cf920894 (__TEXT,__text) external _glGetCompressedTexImage
00000001cf924d80 (__TEXT,__text) external _glGetCompressedTexImageARB
00000001cf92007c (__TEXT,__text) external _glGetConvolutionFilter
00000001cf9200a0 (__TEXT,__text) external _glGetConvolutionParameterfv
00000001cf9200c0 (__TEXT,__text) external _glGetConvolutionParameteriv
00000001cf923efc (__TEXT,__text) external _glGetDoublei_v
00000001cf91e364 (__TEXT,__text) external _glGetDoublev
00000001cf91e380 (__TEXT,__text) external _glGetError
00000001cf926ecc (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00000001cf926ed0 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00000001cf923edc (__TEXT,__text) external _glGetFloati_v
00000001cf91e394 (__TEXT,__text) external _glGetFloatv
00000001cf922aa0 (__TEXT,__text) external _glGetFragDataIndex
00000001cf922400 (__TEXT,__text) external _glGetFragDataLocation
00000001cf926658 (__TEXT,__text) external _glGetFragDataLocationEXT
00000001cf921d94 (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00000001cf925f70 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00000001cf9251bc (__TEXT,__text) external _glGetHandleARB
00000001cf920160 (__TEXT,__text) external _glGetHistogram
00000001cf920188 (__TEXT,__text) external _glGetHistogramParameterfv
00000001cf9201a8 (__TEXT,__text) external _glGetHistogramParameteriv
00000001cf925550 (__TEXT,__text) external _glGetInfoLogARB
00000001cf922a18 (__TEXT,__text) external _glGetInteger64i_v
00000001cf92293c (__TEXT,__text) external _glGetInteger64v
00000001cf9261b0 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00000001cf921f70 (__TEXT,__text) external _glGetIntegeri_v
00000001cf91e3b0 (__TEXT,__text) external _glGetIntegerv
00000001cf9258bc (__TEXT,__text) external _glGetInternalformativ
00000001cf91e3cc (__TEXT,__text) external _glGetLightfv
00000001cf91e3ec (__TEXT,__text) external _glGetLightiv
00000001cf91e40c (__TEXT,__text) external _glGetMapdv
00000001cf91e42c (__TEXT,__text) external _glGetMapfv
00000001cf91e44c (__TEXT,__text) external _glGetMapiv
00000001cf91e46c (__TEXT,__text) external _glGetMaterialfv
00000001cf91e48c (__TEXT,__text) external _glGetMaterialiv
00000001cf9201c8 (__TEXT,__text) external _glGetMinmax
00000001cf9201f0 (__TEXT,__text) external _glGetMinmaxParameterfv
00000001cf920210 (__TEXT,__text) external _glGetMinmaxParameteriv
00000001cf9229dc (__TEXT,__text) external _glGetMultisamplefv
00000001cf925870 (__TEXT,__text) external _glGetNamedStringARB
00000001cf925898 (__TEXT,__text) external _glGetNamedStringivARB
00000001cf926834 (__TEXT,__text) external _glGetObjectLabelEXT
00000001cf925510 (__TEXT,__text) external _glGetObjectParameterfvARB
00000001cf926ce8 (__TEXT,__text) external _glGetObjectParameterivAPPLE
00000001cf925530 (__TEXT,__text) external _glGetObjectParameterivARB
00000001cf91e4ac (__TEXT,__text) external _glGetPixelMapfv
00000001cf91e4c8 (__TEXT,__text) external _glGetPixelMapuiv
00000001cf91e4e4 (__TEXT,__text) external _glGetPixelMapusv
00000001cf91e500 (__TEXT,__text) external _glGetPointerv
00000001cf91e51c (__TEXT,__text) external _glGetPolygonStipple
00000001cf923428 (__TEXT,__text) external _glGetProgramBinary
00000001cf924590 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
00000001cf9245b0 (__TEXT,__text) external _glGetProgramEnvParameterfvARB
00000001cf921908 (__TEXT,__text) external _glGetProgramInfoLog
00000001cf9245d0 (__TEXT,__text) external _glGetProgramLocalParameterdvARB
00000001cf9245f0 (__TEXT,__text) external _glGetProgramLocalParameterfvARB
00000001cf923590 (__TEXT,__text) external _glGetProgramPipelineInfoLog
00000001cf923558 (__TEXT,__text) external _glGetProgramPipelineiv
00000001cf92317c (__TEXT,__text) external _glGetProgramStageiv
00000001cf924634 (__TEXT,__text) external _glGetProgramStringARB
00000001cf9218a0 (__TEXT,__text) external _glGetProgramiv
00000001cf924654 (__TEXT,__text) external _glGetProgramivARB
00000001cf9232e4 (__TEXT,__text) external _glGetQueryIndexediv
00000001cf922c80 (__TEXT,__text) external _glGetQueryObjecti64v
00000001cf9267d0 (__TEXT,__text) external _glGetQueryObjecti64vEXT
00000001cf920e18 (__TEXT,__text) external _glGetQueryObjectiv
