                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
0000000246a55c3c (__TEXT,__text) external __crypt_blowfish_rn
0000000246a588f8 (__TEXT,__text) external _apr_dbd_error
0000000246a58a9c (__TEXT,__text) external _apr_dbd_escape
0000000246a58800 (__TEXT,__text) external _apr_dbd_get_driver
0000000246a58a7c (__TEXT,__text) external _apr_dbd_get_entry
0000000246a58a8c (__TEXT,__text) external _apr_dbd_get_name
0000000246a58a64 (__TEXT,__text) external _apr_dbd_get_row
0000000246a586dc (__TEXT,__text) external _apr_dbd_init
0000000246a586c4 (__TEXT,__text) external _apr_dbd_mutex_lock
0000000246a586d0 (__TEXT,__text) external _apr_dbd_mutex_unlock
0000000246a589f4 (__TEXT,__text) external _apr_dbd_name
0000000246a589fc (__TEXT,__text) external _apr_dbd_native_handle
0000000246a58a4c (__TEXT,__text) external _apr_dbd_num_cols
0000000246a58a58 (__TEXT,__text) external _apr_dbd_num_tuples
0000000246a58914 (__TEXT,__text) external _apr_dbd_open
0000000246a58844 (__TEXT,__text) external _apr_dbd_open_ex
0000000246a58ff0 (__TEXT,__text) external _apr_dbd_pbquery
0000000246a5900c (__TEXT,__text) external _apr_dbd_pbselect
0000000246a58f28 (__TEXT,__text) external _apr_dbd_pquery
0000000246a58ab0 (__TEXT,__text) external _apr_dbd_prepare
0000000246a58f44 (__TEXT,__text) external _apr_dbd_pselect
0000000246a5902c (__TEXT,__text) external _apr_dbd_pvbquery
0000000246a59070 (__TEXT,__text) external _apr_dbd_pvbselect
0000000246a58f64 (__TEXT,__text) external _apr_dbd_pvquery
0000000246a58fa8 (__TEXT,__text) external _apr_dbd_pvselect
0000000246a58a1c (__TEXT,__text) external _apr_dbd_query
0000000246a58a30 (__TEXT,__text) external _apr_dbd_select
0000000246a58a08 (__TEXT,__text) external _apr_dbd_set_dbname
000000025dc0d790 (__AUTH_CONST,__const) external _apr_dbd_sqlite3_driver
0000000246a5898c (__TEXT,__text) external _apr_dbd_transaction_end
0000000246a589d8 (__TEXT,__text) external _apr_dbd_transaction_mode_get
0000000246a589e4 (__TEXT,__text) external _apr_dbd_transaction_mode_set
0000000246a5891c (__TEXT,__text) external _apr_dbd_transaction_start
0000000246a59298 (__TEXT,__text) external _apr_dbm_close
0000000246a592bc (__TEXT,__text) external _apr_dbm_delete
0000000246a592c8 (__TEXT,__text) external _apr_dbm_exists
0000000246a592a4 (__TEXT,__text) external _apr_dbm_fetch
0000000246a592d4 (__TEXT,__text) external _apr_dbm_firstkey
0000000246a592ec (__TEXT,__text) external _apr_dbm_freedatum
0000000246a593bc (__TEXT,__text) external _apr_dbm_get_usednames
0000000246a59344 (__TEXT,__text) external _apr_dbm_get_usednames_ex
0000000246a592f8 (__TEXT,__text) external _apr_dbm_geterror
0000000246a592e0 (__TEXT,__text) external _apr_dbm_nextkey
0000000246a591f4 (__TEXT,__text) external _apr_dbm_open
0000000246a590d0 (__TEXT,__text) external _apr_dbm_open_ex
0000000246a592b0 (__TEXT,__text) external _apr_dbm_store
000000025dc0d738 (__AUTH_CONST,__const) external _apr_dbm_type_sdbm
0000000257f33248 (__DATA,__common) external _apr_debug_module_hooks
0000000246a5b50c (__TEXT,__text) external _apr_dynamic_fn_register
0000000246a5b4b0 (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
0000000257f33240 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
0000000257f33238 (__DATA,__common) external _apr_hook_debug_current
0000000257f33230 (__DATA,__common) external _apr_hook_debug_enabled
0000000246a5b228 (__TEXT,__text) external _apr_hook_debug_show
0000000246a5b1d4 (__TEXT,__text) external _apr_hook_deregister_all
0000000257f33228 (__DATA,__common) external _apr_hook_global_pool
0000000246a5acec (__TEXT,__text) external _apr_hook_sort_all
0000000246a5ac94 (__TEXT,__text) external _apr_hook_sort_register
0000000246a64ff8 (__TEXT,__text) external _apr_ldap_get_option
0000000246a64fb8 (__TEXT,__text) external _apr_ldap_info
0000000246a64efc (__TEXT,__text) external _apr_ldap_init
0000000246a5b590 (__TEXT,__text) external _apr_ldap_is_ldap_url
0000000246a5b704 (__TEXT,__text) external _apr_ldap_is_ldapi_url
0000000246a5b6b8 (__TEXT,__text) external _apr_ldap_is_ldaps_url
0000000246a653c0 (__TEXT,__text) external _apr_ldap_rebind_add
0000000246a6532c (__TEXT,__text) external _apr_ldap_rebind_init
0000000246a654b4 (__TEXT,__text) external _apr_ldap_rebind_remove
0000000246a65088 (__TEXT,__text) external _apr_ldap_set_option
0000000246a64ef4 (__TEXT,__text) external _apr_ldap_ssl_deinit
0000000246a64e28 (__TEXT,__text) external _apr_ldap_ssl_init
0000000246a5be00 (__TEXT,__text) external _apr_ldap_url_parse
0000000246a5b750 (__TEXT,__text) external _apr_ldap_url_parse_ext
0000000246a5355c (__TEXT,__text) external _apr_md4
0000000246a53470 (__TEXT,__text) external _apr_md4_final
0000000246a52be4 (__TEXT,__text) external _apr_md4_init
0000000246a52c00 (__TEXT,__text) external _apr_md4_set_xlate
0000000246a52c58 (__TEXT,__text) external _apr_md4_update
0000000246a53918 (__TEXT,__text) external _apr_md5
0000000246a539a4 (__TEXT,__text) external _apr_md5_encode
0000000246a53824 (__TEXT,__text) external _apr_md5_final
0000000246a535e4 (__TEXT,__text) external _apr_md5_init
0000000246a53600 (__TEXT,__text) external _apr_md5_set_xlate
0000000246a53658 (__TEXT,__text) external _apr_md5_update
0000000246a5c780 (__TEXT,__text) external _apr_memcache_add
0000000246a5d1a8 (__TEXT,__text) external _apr_memcache_add_multget_key
0000000246a5be54 (__TEXT,__text) external _apr_memcache_add_server
0000000246a5c410 (__TEXT,__text) external _apr_memcache_create
0000000246a5d044 (__TEXT,__text) external _apr_memcache_decr
0000000246a5cc40 (__TEXT,__text) external _apr_memcache_delete
0000000246a5c0d8 (__TEXT,__text) external _apr_memcache_disable_server
0000000246a5c0c4 (__TEXT,__text) external _apr_memcache_enable_server
0000000246a5c050 (__TEXT,__text) external _apr_memcache_find_server
0000000246a5be8c (__TEXT,__text) external _apr_memcache_find_server_hash
0000000246a5bea8 (__TEXT,__text) external _apr_memcache_find_server_hash_default
0000000246a5c7c8 (__TEXT,__text) external _apr_memcache_getp
0000000246a5c508 (__TEXT,__text) external _apr_memcache_hash
0000000246a5c47c (__TEXT,__text) external _apr_memcache_hash_crc32
0000000246a5c4c0 (__TEXT,__text) external _apr_memcache_hash_default
0000000246a5ce28 (__TEXT,__text) external _apr_memcache_incr
0000000246a5d25c (__TEXT,__text) external _apr_memcache_multgetp
0000000246a5c7a4 (__TEXT,__text) external _apr_memcache_replace
0000000246a5c11c (__TEXT,__text) external _apr_memcache_server_create
0000000246a5c560 (__TEXT,__text) external _apr_memcache_set
0000000246a5dad8 (__TEXT,__text) external _apr_memcache_stats
0000000246a5d05c (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
0000000246a5b38c (__TEXT,__text) external _apr_optional_hook_add
0000000246a5b33c (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
0000000246a549c4 (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
0000000246a5944c (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
0000000246a5eec8 (__TEXT,__text) external _apr_queue_create
0000000246a5f414 (__TEXT,__text) external _apr_queue_interrupt_all
0000000246a5f204 (__TEXT,__text) external _apr_queue_pop
0000000246a5efe8 (__TEXT,__text) external _apr_queue_push
0000000246a5f1fc (__TEXT,__text) external _apr_queue_size
0000000246a5f470 (__TEXT,__text) external _apr_queue_term
0000000246a5f334 (__TEXT,__text) external _apr_queue_trypop
0000000246a5f120 (__TEXT,__text) external _apr_queue_trypush
0000000246a5f8e4 (__TEXT,__text) external _apr_reslist_acquire
0000000246a5fba0 (__TEXT,__text) external _apr_reslist_acquired_count
0000000246a5fc3c (__TEXT,__text) external _apr_reslist_cleanup_order_set
0000000246a5f670 (__TEXT,__text) external _apr_reslist_create
0000000246a5f8c8 (__TEXT,__text) external _apr_reslist_destroy
0000000246a5fbdc (__TEXT,__text) external _apr_reslist_invalidate
0000000246a5f4d0 (__TEXT,__text) external _apr_reslist_maintain
0000000246a5faa4 (__TEXT,__text) external _apr_reslist_release
0000000246a5fb98 (__TEXT,__text) external _apr_reslist_timeout_set
0000000246a6067c (__TEXT,__text) external _apr_rmm_addr_get
0000000246a60070 (__TEXT,__text) external _apr_rmm_attach
0000000246a60480 (__TEXT,__text) external _apr_rmm_calloc
0000000246a5fee8 (__TEXT,__text) external _apr_rmm_destroy
0000000246a600fc (__TEXT,__text) external _apr_rmm_detach
0000000246a60688 (__TEXT,__text) external _apr_rmm_free
0000000246a5fcec (__TEXT,__text) external _apr_rmm_init
0000000246a60104 (__TEXT,__text) external _apr_rmm_malloc
0000000246a60670 (__TEXT,__text) external _apr_rmm_offset_get
0000000246a60888 (__TEXT,__text) external _apr_rmm_overhead_get
0000000246a605ac (__TEXT,__text) external _apr_rmm_realloc
0000000246a599e8 (__TEXT,__text) external _apr_sdbm_close
0000000246a59c7c (__TEXT,__text) external _apr_sdbm_delete
0000000246a59a54 (__TEXT,__text) external _apr_sdbm_fetch
0000000246a5a128 (__TEXT,__text) external _apr_sdbm_firstkey
0000000246a5a3b0 (__TEXT,__text) external _apr_sdbm_lock
0000000246a5a21c (__TEXT,__text) external _apr_sdbm_nextkey
0000000246a59810 (__TEXT,__text) external _apr_sdbm_open
0000000246a59d4c (__TEXT,__text) external _apr_sdbm_rdonly
0000000246a59db4 (__TEXT,__text) external _apr_sdbm_store
0000000246a5a4c8 (__TEXT,__text) external _apr_sdbm_unlock
0000000246a55b18 (__TEXT,__text) external _apr_sha1_base64
0000000246a55a1c (__TEXT,__text) external _apr_sha1_final
0000000246a54bec (__TEXT,__text) external _apr_sha1_init
0000000246a55a18 (__TEXT,__text) external _apr_sha1_update
0000000246a54c10 (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
0000000246a6195c (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
0000000246a63028 (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
0000000246a61444 (__TEXT,__text) external _apr_thread_pool_busy_count
0000000246a60898 (__TEXT,__text) external _apr_thread_pool_create
0000000246a60e7c (__TEXT,__text) external _apr_thread_pool_destroy
0000000246a61454 (__TEXT,__text) external _apr_thread_pool_idle_count
0000000246a6147c (__TEXT,__text) external _apr_thread_pool_idle_max_get
0000000246a6148c (__TEXT,__text) external _apr_thread_pool_idle_max_set
0000000246a61484 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
0000000246a6155c (__TEXT,__text) external _apr_thread_pool_idle_wait_set
0000000246a60e9c (__TEXT,__text) external _apr_thread_pool_push
0000000246a61114 (__TEXT,__text) external _apr_thread_pool_schedule
0000000246a61434 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
0000000246a61618 (__TEXT,__text) external _apr_thread_pool_task_owner_get
0000000246a6126c (__TEXT,__text) external _apr_thread_pool_tasks_cancel
0000000246a6142c (__TEXT,__text) external _apr_thread_pool_tasks_count
0000000246a61464 (__TEXT,__text) external _apr_thread_pool_tasks_high_count
0000000246a6145c (__TEXT,__text) external _apr_thread_pool_tasks_run_count
0000000246a6156c (__TEXT,__text) external _apr_thread_pool_thread_max_get
0000000246a61574 (__TEXT,__text) external _apr_thread_pool_thread_max_set
0000000246a6143c (__TEXT,__text) external _apr_thread_pool_threads_count
0000000246a6146c (__TEXT,__text) external _apr_thread_pool_threads_high_count
0000000246a61474 (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
0000000246a61600 (__TEXT,__text) external _apr_thread_pool_threshold_get
0000000246a61608 (__TEXT,__text) external _apr_thread_pool_threshold_set
0000000246a61260 (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
0000000246a61e8c (__TEXT,__text) external _apr_uri_parse
0000000246a622a0 (__TEXT,__text) external _apr_uri_parse_hostinfo
0000000246a61bec (__TEXT,__text) external _apr_uri_port_of_scheme
0000000246a61c40 (__TEXT,__text) external _apr_uri_unparse
0000000246a58394 (__TEXT,__text) external _apr_uuid_format
0000000246a58230 (__TEXT,__text) external _apr_uuid_get
0000000246a5841c (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
0000000246a627a8 (__TEXT,__text) external _apr_xlate_close
0000000246a626b0 (__TEXT,__text) external _apr_xlate_conv_buffer
0000000246a62790 (__TEXT,__text) external _apr_xlate_conv_byte
0000000246a623a8 (__TEXT,__text) external _apr_xlate_open
0000000246a62698 (__TEXT,__text) external _apr_xlate_sb_get
0000000246a63a2c (__TEXT,__text) external _apr_xml_empty_elem
0000000246a628f8 (__TEXT,__text) external _apr_xml_insert_uri
0000000246a62f68 (__TEXT,__text) external _apr_xml_parse_file
0000000246a627c4 (__TEXT,__text) external _apr_xml_parser_create
0000000246a62e14 (__TEXT,__text) external _apr_xml_parser_done
0000000246a62dac (__TEXT,__text) external _apr_xml_parser_feed
0000000246a62e90 (__TEXT,__text) external _apr_xml_parser_geterror
0000000246a631a4 (__TEXT,__text) external _apr_xml_quote_elem
0000000246a63080 (__TEXT,__text) external _apr_xml_quote_string
0000000246a63258 (__TEXT,__text) external _apr_xml_to_text
0000000246a5a944 (__TEXT,__text) external _apu__sdbm_chkpage
0000000246a5a754 (__TEXT,__text) external _apu__sdbm_delpair
0000000246a5a6c4 (__TEXT,__text) external _apu__sdbm_duppair
0000000246a5a504 (__TEXT,__text) external _apu__sdbm_fitpair
0000000246a5a704 (__TEXT,__text) external _apu__sdbm_getnkey
0000000246a5a5c4 (__TEXT,__text) external _apu__sdbm_getpair
0000000246a5a2f4 (__TEXT,__text) external _apu__sdbm_hash
0000000246a68370 (__TEXT,__const) external _apu__sdbm_nullitem
0000000246a5a534 (__TEXT,__text) external _apu__sdbm_putpair
0000000246a5a82c (__TEXT,__text) external _apu__sdbm_splpage
0000000246a61940 (__TEXT,__text) external _apu_version
0000000246a61950 (__TEXT,__text) external _apu_version_string
                 (undefined) external _atof (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _atol (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _crypt (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _iconv (from libiconv)
                 (undefined) external _iconv_close (from libiconv)
                 (undefined) external _iconv_open (from libiconv)
                 (undefined) external _ldap_bind_s (from LDAP)
                 (undefined) external _ldap_err2string (from LDAP)
                 (undefined) external _ldap_get_option (from LDAP)
                 (undefined) external _ldap_init (from LDAP)
                 (undefined) external _ldap_set_option (from LDAP)
                 (undefined) external _ldap_set_rebind_proc (from LDAP)
                 (undefined) external _ldap_start_tls_s (from LDAP)
                 (undefined) external _malloc (from libSystem)
